SOS_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
SOS30,1676,3280,7738,7108,5743,3635,1099,281,67,30632,56040,88960,200104,197642,184110,122550,28271,2513,163,880360,417,981,2644,2008,2015,1584,720,246,20,10637,72,716,3979,5711,4647,2515,468,52,4,18155,3834,8164,19947,22916,22989,16621,3472,356,25,98328,244,811,3317,5377,5095,3141,539,42,0,18567,6489,15848,40118,37758,31871,20507,5138,497,31,158252,1075,3008,8252,10227,10600,7413,1863,196,8,42654,25067,28382,36243,27338,25382,18728,5168,557,32,166895,41701,22834,26763,16512,12423,8002,2251,265,20,130774,1333,5423,17439,19451,19467,16408,4672,481,21,84682,681,2205,5024,4973,4192,2415,574,73,7,20141,412,3709,13118,15699,12879,6638,1614,249,32,54353,642,2506,7086,7812,7482,5601,2460,536,48,34175,1624,11629,35866,37533,29110,16557,5871,753,23,138975,1679,5838,14648,13809,13112,9351,2663,264,4,61368,841,7146,24349,28623,29479,18303,3432,240,13,112422,4002,10910,30732,38598,40698,27604,6431,545,25,159541,4900,25061,69919,65810,61257,46182,10747,801,25,284715,3291,4813,7481,6120,5118,3341,1055,169,15,31390
SOS31,509,643,1438,1346,1342,952,333,117,38,6725,14094,17244,41025,41805,42403,33189,7640,734,72,198212,571,1265,3845,2392,2290,2106,970,278,35,13752,378,1601,5918,6482,5665,3573,515,20,0,24153,1359,2378,5754,5771,5681,4370,944,70,3,26335,140,414,1307,1536,1527,1316,200,20,0,6449,1874,3639,8435,7903,7033,5639,1406,119,8,36053,403,781,1916,2096,2135,1757,405,47,5,9550,7341,4724,7415,6558,6744,5522,1482,159,15,39962,9269,4099,5592,3982,3606,3046,853,111,8,30575,375,948,3132,3763,4624,4586,1463,162,4,19056,102,226,485,442,418,333,95,21,0,2120,79,367,1208,1264,1256,828,211,27,7,5237,151,424,987,1090,1176,1072,493,100,15,5497,378,1187,3229,3458,3055,2417,964,120,3,14811,408,1121,2841,2696,3038,2434,651,52,4,13259,214,1151,4286,5332,5976,4788,903,53,5,22718,620,1998,6387,8586,9135,6817,1651,143,5,35343,1208,4787,12757,12827,13811,12463,2753,158,3,60772,484,375,718,693,631,537,197,41,5,3669
SOS32,70,68,187,221,229,234,80,21,6,1117,1600,1875,4593,5521,6513,5970,1427,150,13,27659,126,253,552,524,562,608,273,73,8,2975,32,145,480,652,616,482,90,13,0,2512,171,279,569,651,751,779,174,23,0,3397,16,46,121,171,216,220,34,0,0,824,279,437,1094,1147,1214,1140,254,27,0,5592,48,69,166,216,268,249,65,9,0,1088,804,470,764,759,994,981,313,41,3,5116,897,409,582,503,630,613,200,31,0,3870,45,101,383,462,743,871,291,30,0,2932,6,23,42,58,71,69,29,5,0,308,4,33,119,170,186,119,28,9,0,671,18,41,90,120,161,155,86,16,0,686,44,116,378,463,470,399,177,31,0,2072,59,108,271,336,490,427,127,20,0,1838,54,214,809,1035,1282,1091,226,4,3,4730,90,310,821,1186,1320,1166,276,22,0,5190,142,453,1202,1449,1939,2047,463,25,0,7718,63,64,103,116,171,104,50,9,0,673
SOS33,334,260,602,762,977,792,336,139,29,4225,6680,6451,14395,19193,24806,20573,6033,1097,92,99322,1314,2012,4671,5281,6957,7775,5310,1982,247,35546,111,459,1930,2650,2680,1770,267,17,0,9887,782,1040,1800,2278,3093,2756,652,104,5,12517,50,138,441,669,860,698,124,6,0,2981,1215,1701,3794,4686,5242,4276,1028,80,0,22018,247,287,648,846,1176,992,287,68,0,4552,2888,1468,1927,2116,3055,2557,689,88,8,14798,3399,1170,1428,1235,1562,1446,472,64,6,10778,220,316,1012,1578,2473,2537,867,83,4,9085,49,84,139,205,268,199,66,8,0,1015,45,136,450,613,713,522,135,20,0,2631,64,143,362,485,690,631,295,67,4,2749,247,545,1411,2005,2308,1830,630,97,3,9075,214,395,799,1080,1446,1312,368,35,4,5652,149,491,1493,2111,3009,2528,462,30,0,10266,348,670,1902,3761,4854,3965,955,75,3,16524,510,1396,3388,4332,6057,5698,1384,111,6,22872,240,219,386,390,505,422,168,30,4,2366
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,13,0,0,11,16,9,6,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,15,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,341,840,1755,1579,1350,982,342,115,37,7333,16097,29112,66378,63978,59021,45137,10431,899,81,291145,136,359,1074,1178,1241,913,376,86,14,5374,29,211,1155,1224,1004,623,128,10,0,4379,1161,2716,7905,9107,9606,7405,1633,180,9,39724,95,335,1731,2077,1943,1335,222,9,0,7755,1752,5158,12873,10712,9237,6808,1728,181,5,48451,327,930,2677,3158,3643,2709,705,87,0,14242,9234,10364,12435,9103,8458,6743,1769,218,22,58339,10804,8188,8662,5187,3704,2646,631,92,5,39917,333,1718,5477,5673,5440,5008,1247,111,4,25010,172,612,1812,2030,1443,846,205,37,0,7151,122,1221,4727,5460,4515,2740,597,89,4,19471,108,541,1625,1660,1608,1417,557,159,19,7695,343,3215,11205,11620,8412,5533,2131,288,22,42775,482,2255,5668,4806,4799,3983,1073,96,6,23163,252,2293,8745,11314,10645,7763,1315,61,0,42384,1138,3913,11302,12851,12121,9595,2517,179,8,53622,1203,8280,26040,23962,21375,18135,4291,321,10,103612,1098,1431,2244,1623,1310,915,336,57,6,9024
SOS41,119,155,334,340,343,307,122,65,6,1790,4755,6064,13920,14373,16086,13122,3133,350,30,71821,230,555,1364,1207,1281,1205,707,226,28,6795,20,189,895,883,756,496,89,10,0,3340,589,1149,2648,2844,3197,2587,491,46,0,13558,23,104,436,402,464,395,89,3,0,1909,581,1330,3076,2629,2532,2060,557,62,3,12834,115,226,548,665,816,705,192,23,0,3295,2740,1962,2920,2472,2648,2319,613,52,0,15743,3116,1470,1764,1334,1297,1085,282,32,0,10384,94,274,845,950,1296,1454,484,66,5,5462,41,91,233,233,206,184,55,0,0,1035,31,147,465,636,667,408,92,28,0,2473,21,114,306,308,353,346,131,19,3,1606,74,352,1107,1341,1394,980,426,68,0,5747,114,410,1027,1031,1277,1250,351,28,3,5499,64,403,1595,2024,2411,1767,336,18,0,8619,224,804,2633,2946,3115,2356,666,52,0,12789,375,1668,4460,4417,5286,5215,1154,63,0,22653,167,173,325,301,288,255,81,9,0,1597
SOS42,22,15,58,52,67,72,24,11,4,329,588,695,1764,1881,2284,2414,623,68,7,10328,74,148,424,378,385,454,289,87,11,2254,10,20,64,89,90,88,20,0,0,368,71,129,255,285,377,368,92,4,0,1582,4,13,60,52,80,74,13,3,0,302,101,192,436,390,453,417,101,5,0,2089,10,31,95,115,126,163,41,3,0,584,300,185,276,288,373,388,129,8,0,1941,316,171,206,176,233,252,65,11,0,1444,10,36,122,162,227,308,117,9,3,995,3,11,22,22,22,19,6,0,0,104,3,17,46,60,70,59,10,3,0,272,4,6,17,41,40,33,24,7,0,169,12,33,123,127,135,146,56,7,0,651,24,38,116,136,211,219,69,13,0,837,7,35,185,294,314,324,61,9,0,1230,33,125,381,434,426,410,139,7,0,1956,41,132,464,458,657,837,194,7,0,2793,25,26,42,49,48,39,23,8,0,250
SOS43,77,64,120,179,221,222,130,47,4,1064,2055,2207,4627,6303,8135,7443,2385,416,41,33609,535,852,2021,2745,3472,3908,2600,791,87,17019,32,164,803,686,608,428,56,6,0,2792,315,368,734,1001,1387,1217,360,46,3,5426,13,35,131,188,247,206,44,5,0,865,314,543,1056,1248,1385,1373,332,20,0,6267,77,108,219,302,417,354,109,18,0,1600,962,541,647,711,1001,895,246,26,0,5045,1032,423,457,392,513,558,149,23,0,3539,48,114,275,444,764,833,261,28,3,2764,14,25,42,84,69,64,31,7,0,325,9,37,124,232,271,159,37,8,0,881,11,25,81,103,152,151,61,18,0,600,49,149,441,642,658,602,223,33,0,2807,60,128,311,342,534,528,153,19,0,2066,41,141,445,706,979,797,133,6,0,3252,107,280,736,1192,1456,1204,383,34,0,5396,141,497,1100,1356,1994,2173,482,27,0,7768,75,78,109,135,161,180,72,18,0,817
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,887,1705,4237,4159,3399,2200,673,186,39,17483,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,219,428,1189,1227,1290,1036,551,160,14,6117,384,2877,14339,17178,13345,7461,1341,92,5,57016,2062,3873,10386,12528,12467,9313,2217,245,10,53099,152,508,2330,3122,2688,1863,372,21,0,11056,3055,7499,21670,21742,17339,12383,2918,230,12,86856,685,1796,5246,6255,6021,4311,1090,135,11,25542,14327,16477,18559,14487,13285,10433,3077,326,24,90989,19661,12746,13296,8753,5861,4036,1090,104,9,65550,857,3013,9603,10613,9973,8671,2621,229,9,45590,421,890,2129,2152,1679,1098,311,54,0,8729,169,1289,5758,7236,6079,3575,968,158,12,25245,217,962,3013,3376,3302,2536,1209,257,26,14893,663,5645,19808,22820,16785,10101,3581,497,30,79931,899,2964,7541,7188,6264,4940,1517,170,10,31493,505,3197,12487,15102,14768,11377,2609,227,10,60286,2299,5666,16838,20498,22477,17270,4687,380,15,90131,2109,11857,34698,33723,30745,24309,6588,505,15,144548,2297,2787,4150,3382,2560,1843,701,118,8,17845
SOS51,193,257,556,626,560,392,155,43,8,2795,5703,6512,17836,19526,19128,14432,3599,341,19,87106,216,384,1042,898,908,925,602,178,21,5179,289,1186,4791,5613,4582,2812,404,17,0,19696,525,855,2240,2409,2140,1538,375,39,4,10129,58,152,530,699,704,616,101,3,0,2873,797,1545,4011,3854,3395,2852,743,53,0,17250,166,301,835,887,919,691,180,24,0,4004,2927,1819,3013,2970,3014,2561,713,85,6,17094,3526,1428,2519,2119,1703,1305,410,51,0,13065,194,465,1494,1766,2184,2156,704,60,4,9026,92,106,233,186,166,136,57,3,0,972,26,117,421,492,510,348,98,17,0,2024,63,195,504,496,559,443,182,45,3,2492,125,362,1356,1536,1340,1029,415,51,6,6225,175,383,1116,1267,1300,1054,299,31,0,5623,166,480,1925,2440,2709,2185,533,26,0,10462,232,696,2794,3826,4260,3155,787,70,0,15819,516,1566,4946,5293,5396,4818,1241,77,3,23861,221,161,373,376,338,275,97,19,0,1863
SOS52,33,36,73,78,82,79,37,14,6,431,529,767,2161,2277,2484,2471,665,90,3,11442,88,153,439,327,291,361,243,77,3,1985,36,162,735,755,665,522,89,3,0,2974,72,110,267,302,306,228,51,9,0,1342,8,18,53,64,87,84,16,0,0,332,80,151,390,409,396,463,125,3,0,2017,19,71,140,120,121,105,41,3,0,621,192,174,282,258,344,353,107,15,0,1713,248,165,349,262,263,316,105,22,0,1733,18,47,140,192,255,398,177,21,0,1243,3,7,13,26,18,12,9,0,0,86,0,3,34,40,47,32,10,0,0,169,8,15,36,35,40,46,13,3,0,195,13,28,103,131,125,144,70,11,0,631,22,57,128,142,193,174,53,5,0,774,29,93,339,380,563,563,128,12,0,2113,37,128,451,520,564,533,151,8,0,2391,55,118,435,516,579,703,156,11,0,2579,23,25,57,44,64,56,24,0,0,293
SOS53,82,98,171,249,335,300,136,45,0,1424,2047,2598,6023,7488,9433,8623,2662,410,20,39300,489,861,2147,2686,3330,3638,2379,816,115,16453,165,1153,4643,4796,4660,3061,434,21,0,18926,253,277,574,797,1036,983,300,50,5,4266,14,32,119,188,233,240,54,5,0,877,331,639,1625,1998,2183,1981,497,40,0,9299,110,144,336,395,486,451,128,18,0,2068,816,538,546,647,1023,992,299,33,0,4892,1021,494,822,637,794,786,286,36,6,4881,45,112,357,531,939,989,388,43,0,3407,15,23,46,71,73,68,29,0,0,317,10,46,131,202,228,191,53,7,0,873,25,54,148,162,251,269,109,19,0,1042,45,188,551,756,830,736,303,41,0,3449,70,172,415,461,603,538,173,17,0,2462,73,338,683,806,1178,1130,246,31,0,4481,106,242,740,1339,1758,1622,409,24,0,6232,117,371,982,1276,1733,1817,495,36,0,6829,97,110,194,182,217,208,85,20,0,1113
SOS57,0,0,5,0,0,3,0,0,0,16,7,23,54,28,32,29,5,5,0,186,3,16,34,25,17,11,3,0,0,106,4,15,78,182,166,88,3,0,0,533,0,0,5,14,13,10,6,0,0,44,0,0,7,13,11,8,0,0,0,50,0,0,37,81,61,23,3,0,0,218,0,0,3,7,8,9,0,0,0,27,0,0,0,7,5,3,0,0,0,10,0,4,9,20,17,14,0,0,0,62,0,16,38,57,54,27,3,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0,7,0,0,10,14,25,10,0,0,0,55,0,7,13,17,16,13,4,0,0,64,0,0,3,0,11,6,0,0,0,25,0,0,0,0,0,3,4,0,0,12,0,0,3,0,6,5,0,0,0,18,0,0,0,0,0,0,3,0,0,8
SOS60,44,85,303,148,152,119,34,20,6,911,2246,4220,12531,10013,9326,7191,1773,160,14,47471,30,110,550,316,268,168,66,16,0,1515,0,9,45,50,38,29,12,3,0,190,206,383,1177,964,899,732,173,20,0,4555,4,79,514,599,512,292,50,6,0,2064,320,828,1988,1493,1169,966,252,28,0,7051,31,105,393,342,363,244,83,14,0,1576,1093,1481,2633,1438,1130,959,311,39,0,9085,1416,1268,2949,1153,649,392,162,15,0,8002,41,177,896,618,577,628,185,16,0,3141,31,93,338,319,260,189,61,0,0,1294,19,104,587,616,495,300,75,13,0,2214,12,92,252,193,245,177,101,34,0,1107,63,377,1754,1566,1267,867,363,51,0,6310,65,219,775,559,520,441,134,13,0,2729,67,423,1950,2464,2708,1773,337,23,0,9746,195,569,2234,2349,2417,1864,499,24,0,10155,129,1259,4793,3454,3201,2903,672,57,5,16476,243,235,522,402,373,293,129,14,4,2213
SOS61,69,101,216,185,191,143,67,22,9,1009,2964,4394,10329,9325,10085,8258,1860,147,15,47383,115,334,983,700,625,494,190,41,4,3484,6,59,264,285,287,217,37,3,0,1158,296,581,1643,1414,1579,1341,241,17,4,7119,10,45,286,336,342,273,45,0,0,1348,496,1091,2273,1525,1404,1279,305,30,0,8401,83,222,538,527,643,515,128,9,0,2670,1543,1435,2236,1695,1751,1444,408,30,0,10536,1869,1146,1679,900,800,659,164,27,0,7247,70,247,828,840,1070,1087,324,38,0,4513,26,70,190,200,164,146,30,3,0,833,26,128,437,471,395,288,59,8,0,1816,21,107,230,183,204,213,73,15,0,1053,78,290,968,843,718,570,234,35,0,3735,64,225,585,593,673,532,141,17,0,2832,42,238,956,1190,1400,1084,195,9,0,5109,107,455,1506,2051,2232,1734,436,35,4,8558,199,1279,4183,3362,3621,3470,788,44,0,16953,143,129,283,208,242,225,67,7,0,1307
SOS62,3,12,23,36,40,35,12,8,4,170,333,408,1136,1222,1487,1447,339,31,4,6409,33,77,222,204,218,212,76,20,0,1065,4,21,100,93,90,83,26,0,0,420,63,64,181,200,189,195,52,3,0,946,3,15,51,51,55,46,12,0,0,224,57,118,267,241,242,257,71,14,0,1266,16,17,59,57,57,63,24,3,0,301,158,119,197,168,251,209,70,12,0,1184,164,103,241,158,184,210,58,4,0,1123,6,20,68,82,110,166,54,8,0,522,0,7,16,22,27,15,6,0,0,87,0,8,26,47,41,38,14,0,0,165,4,7,30,17,35,35,12,3,0,147,3,26,94,108,152,142,59,10,0,596,10,27,79,77,97,119,27,4,0,441,9,23,97,194,246,188,44,9,0,805,15,56,193,295,320,279,60,4,0,1221,24,101,283,322,438,476,115,7,3,1767,20,12,30,43,44,46,23,0,0,222
SOS63,36,25,89,106,146,131,50,31,0,621,1277,1526,3725,4844,5802,5120,1249,188,10,23736,246,444,1156,1176,1353,1484,906,310,34,7109,3,44,159,182,189,182,35,5,0,802,155,251,569,721,875,801,192,21,3,3598,10,13,121,195,237,206,40,4,0,828,321,455,981,1035,1041,954,259,16,0,5066,56,81,160,237,306,273,70,5,0,1190,582,405,524,573,762,634,155,21,0,3655,699,317,508,421,467,458,159,16,0,3051,28,85,229,347,536,642,158,21,0,2044,12,16,55,67,92,90,27,0,0,354,6,40,118,167,146,109,22,4,0,610,16,30,76,90,117,104,60,12,6,505,49,108,357,524,559,470,202,32,0,2299,34,78,190,298,369,336,76,9,0,1385,23,101,408,625,889,729,120,4,0,2905,68,137,536,994,1132,991,239,8,0,4108,71,345,1017,1297,1715,1746,337,15,0,6543,79,63,115,159,178,197,62,5,0,866
SOS67,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,6,3,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,5,29,40,42,23,7,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,17,18,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
SOS70,62,121,325,226,155,107,39,7,0,1054,1512,2859,9567,7964,6246,4359,1132,91,7,33737,21,51,122,98,126,125,56,11,0,599,9,56,307,358,337,188,25,5,0,1283,71,122,374,412,403,266,79,9,0,1730,6,40,244,300,246,202,39,8,0,1075,171,405,1426,1365,1065,710,206,13,0,5363,27,74,253,265,253,200,58,9,0,1128,635,682,1387,867,713,542,194,23,0,5053,1022,720,1777,913,524,363,117,12,0,5453,59,204,791,656,629,577,163,16,0,3103,24,50,165,140,97,79,23,0,0,575,9,49,259,223,187,114,45,3,0,883,10,56,202,205,205,140,77,26,0,929,55,283,1221,1011,679,549,219,21,0,4048,49,168,542,480,453,302,83,8,0,2076,157,1358,3433,3173,2723,1680,360,21,0,12900,119,345,1251,1481,1286,999,259,16,0,5750,138,709,3324,2508,1641,1240,385,27,5,9971,145,223,496,286,200,137,56,3,0,1548
SOS71,22,30,115,78,77,48,14,6,0,395,457,752,3082,2366,2075,1676,438,38,0,10886,10,17,33,27,32,45,20,0,0,179,4,17,73,141,108,67,8,0,0,420,26,27,103,103,59,64,19,0,0,403,4,6,50,50,58,63,15,0,0,245,59,120,421,347,255,238,69,9,0,1526,5,21,60,78,35,52,12,0,0,263,252,172,439,262,183,195,80,10,0,1597,156,114,411,205,146,139,47,0,0,1224,17,50,163,142,160,141,38,6,0,718,7,22,64,47,38,43,11,3,0,232,4,10,42,46,19,30,9,0,0,160,7,21,39,27,27,45,12,0,0,181,8,30,278,208,185,178,52,4,0,946,11,41,129,114,109,105,29,6,0,540,42,199,891,849,798,564,141,5,0,3495,79,150,585,534,506,416,125,6,0,2406,64,289,1457,1203,894,755,208,11,0,4879,42,38,129,88,89,64,29,4,0,488
SOS72,7,14,18,31,24,22,5,0,0,131,142,292,873,830,802,752,187,16,0,3891,8,30,42,50,32,46,35,0,0,240,6,4,70,100,94,75,6,0,0,350,8,6,20,26,22,30,3,0,0,109,0,0,17,22,30,21,7,0,0,96,21,45,87,117,96,89,25,3,0,493,0,3,4,14,10,16,7,0,0,59,35,49,135,111,111,82,31,3,0,559,56,103,217,113,88,101,27,4,0,705,15,24,44,39,47,42,23,3,0,236,0,4,14,7,5,13,0,0,0,40,0,0,3,22,11,13,3,0,0,54,0,0,4,6,9,8,4,0,0,40,0,6,45,43,43,50,18,0,0,205,5,22,57,40,47,49,22,0,0,241,17,81,286,339,315,240,65,5,0,1356,31,70,254,243,253,227,54,6,0,1127,18,52,225,201,208,246,70,0,0,1016,9,29,79,72,52,49,15,4,0,304
