SOS_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS40,442707,460639,903341,952,1002,1949,5459,5147,10608,451,581,1031,4716,5126,9845,13829,16751,30578,761,819,1581,19304,22698,41998,1188,1367,2555,1029,1175,2207,1707,2186,3895,9472,10466,19937,1440,1315,2756,3865,3406,7275,5091,4493,9584,4773,4678,9448,10011,8555,18566,1952,1941,3890,2651,2127,4777,908,846,1756,30685,27363,58045,9915,11761,21674,852,1133,1992,2020,2296,4319,1663,1882,3541,277,282,560,2324,2292,4619,2684,2578,5259,2080,2629,4708,1198,1292,2490,1422,1838,3258,92,85,182,2003,2088,4096,1490,2240,3729,663,889,1551,2096,3191,5289,678,1016,1692,4928,7331,12261,3160,3510,6669,1628,1482,3110,596,1357,1956,325,353,678,9466,11114,20579,22303,22033,44331,138814,148830,287643,23171,22732,45902,1146,1218,2365,605836,633417,1239255
SOS41,145118,153098,298213,307,338,640,178,138,311,369,406,776,114,135,249,520,655,1179,31,45,77,663,836,1501,136,146,279,163,180,341,408,529,936,541,506,1054,48,38,85,53,44,97,141,116,258,86,85,169,579,506,1090,159,147,308,154,102,251,26,24,50,1245,1052,2299,646,700,1350,98,138,236,58,67,127,49,63,120,10,19,32,93,77,169,46,57,102,110,154,265,63,76,143,81,107,185,36,4,40,68,56,126,302,504,805,66,98,166,360,553,912,203,285,491,938,1439,2381,204,225,424,103,81,181,97,229,328,59,52,109,274,358,626,2317,2177,4495,9069,9884,18953,9836,8456,18288,610,198,814,164636,171637,336274
SOS42,22437,22253,44695,43,43,90,16,5,21,872,944,1817,9,6,14,25,63,91,0,0,0,29,76,107,6,0,12,18,16,35,44,76,122,18,19,35,3,6,7,6,5,14,3,8,11,13,19,32,32,16,45,9,7,12,6,3,9,0,4,4,71,60,130,46,32,80,6,14,17,0,0,0,6,3,6,0,0,7,4,0,3,0,7,0,23,19,49,7,3,13,15,8,23,0,0,0,0,0,3,29,41,76,7,9,15,33,47,75,12,23,34,86,116,199,13,14,26,5,0,5,5,21,26,6,0,3,10,24,28,1054,1083,2137,1535,1646,3192,1944,1818,3761,20,17,42,25937,25745,51683
SOS43,68498,61579,130075,102,113,219,46,34,82,385,461,843,24,34,55,121,137,258,6,9,15,148,176,327,29,26,55,68,85,154,193,239,433,451,378,824,13,3,12,21,10,31,33,14,45,23,10,32,175,152,325,11,6,17,3,0,3,3,0,11,274,197,472,376,327,704,13,37,48,85,78,161,26,14,39,9,6,15,10,6,19,28,11,37,53,46,105,22,21,46,44,44,84,11,0,11,35,34,68,68,76,140,41,38,78,74,87,159,58,58,113,233,261,492,76,83,153,21,12,31,45,95,146,42,29,73,307,292,602,939,942,1874,3704,3617,7317,7322,4519,11838,293,103,392,79819,69811,149628
SOS47,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,6,0,6,7,0,7,40,0,40
SOS50,726344,751917,1478263,5383,5862,11244,7838,7497,15337,858,996,1848,8733,10317,19042,22207,26895,49095,1689,2056,3746,32622,39266,71891,2164,2533,4706,3886,4374,8259,3059,3729,6790,1970,2148,4118,1838,1790,3626,4957,4754,9709,5844,5404,11247,2422,2326,4750,10547,9283,19834,2969,2966,5933,4621,3355,7983,1289,1295,2578,34481,31177,65660,10463,11971,22439,2301,3325,5624,632,870,1503,3047,3449,6501,2771,2903,5674,4507,4408,8917,3677,3641,7322,2212,2902,5118,3443,4097,7533,1335,2143,3482,422,361,779,2624,2753,5377,4365,5539,9906,4838,6592,11425,6187,7992,14179,3321,4384,7704,18710,24503,43216,5281,6217,11504,4215,4161,8372,1807,4455,6255,987,937,1923,9757,11636,21391,34940,38172,73115,204703,229653,434358,44496,43161,87657,2636,2568,5203,978179,1027301,2005481
SOS51,161497,163981,325477,1168,1180,2345,270,201,474,1110,1283,2398,209,262,470,797,1044,1841,35,45,85,1047,1346,2393,79,93,173,466,472,938,474,670,1150,137,130,263,89,67,161,183,143,327,296,240,541,125,114,242,345,285,633,197,149,347,219,159,377,71,59,123,1530,1221,2746,875,898,1774,125,207,326,47,41,92,178,186,363,63,64,129,364,316,679,95,82,178,169,221,390,203,237,439,115,153,266,72,52,129,61,54,119,934,1088,2019,310,426,733,1125,1301,2422,666,793,1461,3035,3606,6635,459,478,938,157,133,287,274,844,1118,39,23,65,339,463,801,4314,4230,8539,16260,17742,34009,21788,17296,39082,750,458,1208,200300,199476,399776
SOS52,25842,24348,50192,84,100,179,22,13,30,2120,2361,4476,9,11,24,70,106,169,0,3,5,78,121,206,19,21,35,42,40,86,53,105,158,15,18,34,4,4,3,4,9,14,16,11,30,13,8,21,27,19,49,8,5,19,3,4,5,0,0,4,79,55,135,75,85,157,16,17,28,0,6,11,7,17,21,14,5,20,32,41,66,6,7,9,10,17,29,22,22,40,5,10,19,0,0,0,5,9,12,117,121,236,30,32,63,129,123,248,26,34,59,298,313,613,59,57,115,15,8,25,20,75,95,0,0,3,32,37,79,2399,2653,5052,3463,3906,7369,4610,3549,8165,84,115,194,33998,31926,65920
SOS53,85767,69283,155050,524,415,941,98,44,141,1401,1369,2771,75,65,142,373,276,653,19,6,24,473,351,822,129,94,221,249,224,471,391,428,819,80,57,139,22,7,35,39,15,53,49,12,59,18,5,28,64,26,88,43,10,56,40,11,52,32,8,36,302,100,406,579,495,1078,47,66,118,23,9,30,50,28,82,65,42,99,30,5,36,57,7,68,87,71,159,117,85,200,43,26,64,26,7,29,58,31,87,223,104,328,114,84,201,292,145,437,153,111,264,789,444,1230,225,208,427,32,13,50,79,213,286,11,8,16,254,229,478,2690,2121,4813,7532,5845,13374,24204,8909,33120,503,262,774,118008,84308,202315
SOS57,1404,244,1654,0,0,0,3,0,3,3,0,0,0,0,0,8,3,12,0,0,0,8,3,12,0,0,0,9,4,6,3,0,5,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,5,0,5,3,0,3,0,0,0,16,0,14,3,0,3,4,0,4,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,5,7,0,7,3,3,8,0,0,0,18,0,20,13,0,13,28,0,28,6,0,6,67,7,74,4,0,4,0,0,0,5,4,8,0,0,0,7,0,7,41,5,41,208,22,233,1238,122,1364,143,16,164,3003,413,3413
SOS60,76235,82012,158242,128,138,265,315,315,630,36,41,80,538,593,1135,2744,3346,6091,67,64,131,3346,4008,7352,74,90,171,170,217,389,270,334,606,423,465,892,298,204,503,255,187,442,507,422,927,2443,2023,4471,1006,737,1739,341,319,661,562,300,868,65,57,123,5476,4252,9732,277,287,567,138,184,324,30,29,57,224,217,437,3,12,11,176,198,373,126,122,246,161,217,384,155,178,333,79,104,178,7,3,14,50,55,102,115,187,304,112,143,253,160,248,410,52,86,142,433,660,1100,434,472,900,160,129,287,86,201,281,29,32,60,465,569,1030,1541,1538,3083,14781,15020,29801,4633,4318,8951,312,165,476,95961,101511,197474
SOS61,92741,100714,193450,107,122,225,159,164,324,32,47,74,171,169,339,715,893,1610,27,32,53,904,1096,1999,15,15,26,102,101,203,161,201,362,79,82,160,89,87,170,182,106,291,180,140,321,1317,1210,2531,451,299,748,204,195,403,356,134,489,33,18,50,2807,2191,4995,137,129,265,55,79,135,14,15,21,91,93,178,8,9,11,111,110,223,101,106,204,70,74,141,41,47,87,53,57,113,25,11,35,15,18,37,62,165,225,53,67,123,94,236,328,48,86,142,258,555,814,206,228,433,81,67,141,53,173,221,6,8,16,153,206,364,1275,1269,2539,7082,7211,14292,5427,5319,10750,207,158,369,105453,113412,218867
SOS62,14062,13980,28045,22,15,38,5,4,10,6,5,11,0,4,4,46,61,108,0,0,0,48,66,115,0,0,4,21,35,58,41,56,94,7,14,16,4,0,5,0,0,0,10,3,15,63,39,102,5,6,11,15,13,23,9,0,15,0,0,0,106,61,165,14,10,19,10,12,19,0,0,0,12,15,25,0,0,0,4,4,4,10,4,10,9,4,11,5,6,12,9,16,20,0,0,0,0,4,4,9,21,32,5,6,11,8,14,20,10,18,25,30,60,85,21,24,43,3,5,4,7,24,31,3,10,15,3,16,21,118,103,215,501,570,1070,1017,912,1926,42,20,61,15622,15483,31104
SOS63,49628,46770,96400,62,54,110,17,9,19,9,20,29,26,32,62,97,152,253,0,7,7,122,198,317,8,5,10,75,74,152,184,195,375,29,31,65,11,10,20,10,3,14,19,12,32,93,68,166,39,14,54,24,11,32,99,24,125,3,9,10,296,154,452,65,46,111,39,61,100,3,0,6,10,27,39,0,0,4,11,4,15,18,7,20,36,40,80,16,21,39,25,43,67,4,5,9,8,5,15,22,39,58,15,26,38,10,52,63,16,19,39,63,138,200,97,104,197,24,11,36,22,55,78,4,6,9,18,46,64,349,400,747,1613,1747,3358,3273,2934,6204,89,42,128,54599,51491,106089
SOS67,181,59,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,16,0,16,97,13,110,8,0,13,299,76,378
SOS70,43550,42630,86180,106,102,206,182,112,290,640,864,1506,315,399,713,902,1166,2067,293,321,612,1507,1888,3391,9,10,19,197,246,443,197,268,464,1589,1522,3110,392,261,655,229,195,424,409,332,738,1398,1240,2641,580,526,1102,419,404,823,482,295,777,78,64,146,3993,3317,7309,252,280,533,77,95,176,51,106,162,118,156,278,7,8,14,555,523,1075,57,36,87,36,56,93,231,299,526,55,62,122,38,22,66,20,24,45,755,994,1753,452,675,1126,1078,1414,2494,355,492,849,2645,3578,6223,246,303,547,257,242,502,231,538,772,34,22,61,509,686,1190,2312,2706,5017,15564,17265,32828,8478,7157,15633,2054,530,2586,69642,67583,137228
SOS71,13820,14007,27833,38,48,88,93,59,152,6331,6765,13092,39,53,88,154,215,377,7,9,20,203,285,488,3,0,3,50,80,125,56,77,136,41,34,76,36,23,57,31,23,59,124,102,228,225,187,413,260,222,483,88,62,156,63,40,104,9,11,25,848,674,1524,45,55,100,19,33,52,6,7,11,23,30,57,5,0,4,255,263,514,7,6,14,14,13,29,29,38,66,7,15,25,43,48,92,0,3,8,102,142,245,32,44,75,193,252,448,42,59,95,369,493,861,76,88,166,30,17,53,45,72,120,4,3,3,57,74,135,6919,7345,14263,9433,10009,19443,2929,2689,5613,88,91,174,26274,26787,53072
SOS72,4880,4673,9548,9,5,21,3,0,3,7275,7654,14929,7,4,10,16,29,45,0,6,3,22,33,58,0,3,3,22,20,38,26,30,56,6,7,11,3,0,3,0,0,0,14,7,17,16,11,24,7,0,9,17,10,30,0,0,3,5,0,8,56,36,89,17,10,26,0,4,13,3,8,12,11,8,14,0,0,0,0,0,0,3,9,13,0,0,3,8,5,9,3,0,9,0,0,0,6,5,5,13,24,35,14,14,26,21,26,48,0,9,11,48,70,117,20,17,39,8,3,9,11,23,34,0,0,6,9,6,20,7326,7708,15036,7689,8099,15779,1143,1037,2180,35,44,75,13738,13849,27586
SOS73,15766,13984,29750,28,22,52,9,7,22,3174,3350,6516,11,10,19,47,52,96,3,6,7,61,70,125,0,4,5,42,63,104,77,91,163,58,29,88,3,0,3,0,6,3,9,10,20,13,9,17,3,5,3,4,5,7,6,5,10,3,4,3,38,35,73,43,40,80,7,9,13,20,24,45,6,12,18,0,0,3,3,5,6,3,0,0,10,4,13,7,12,17,4,13,23,5,3,4,3,0,0,29,42,69,28,39,64,17,45,62,12,30,40,88,147,236,41,31,74,0,4,4,33,96,134,0,0,0,134,111,251,3311,3458,6769,4096,4359,8450,4791,2795,7586,246,101,345,24898,21242,46134
SOS77,248,45,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,3,0,4,0,0,0,4,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,29,4,32,133,14,153,12,7,17,429,73,494
SOS80,159006,162169,321181,359,357,722,2019,1852,3871,116,171,289,1967,2279,4243,6701,7720,14418,227,310,539,8892,10308,19201,1063,1169,2233,1081,1250,2334,812,959,1773,1237,1300,2533,1385,1311,2695,917,853,1767,2423,2354,4777,3181,2690,5870,2694,2329,5022,1065,1097,2156,1996,1646,3639,518,484,1007,14172,12766,26935,1323,1499,2826,549,681,1235,196,217,414,1323,1479,2798,361,399,759,1373,1393,2768,636,600,1240,452,554,1009,426,482,909,403,518,920,258,279,536,603,616,1220,702,986,1685,531,674,1207,937,1343,2276,296,389,684,2466,3393,5858,1954,2160,4112,1219,1199,2420,436,859,1285,205,187,393,2181,2841,5023,8039,8237,16271,54060,57568,111625,9453,8786,18241,547,595,1151,223072,229119,452187
SOS82,288,277,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,23,12,8,22,0,0,0,310,299,614
SOS83,281,232,511,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,14,28,19,45,53,37,91,0,0,0,360,289,649
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,320,248,571,6,4,6,0,0,0,0,0,0,28,22,50,89,73,163,13,13,25,127,109,237,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,4,5,0,0,0,0,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,8,13,8,11,16,4,6,9,160,154,311,178,174,354,0,0,0,4,0,4,0,11,6,0,0,0,0,6,3,8,4,18,341,320,661,206,162,372,5,0,6,870,733,1605
SOS92,685,717,1403,0,0,5,4,0,5,4,8,6,4,0,3,0,7,7,0,0,0,4,5,11,0,0,0,0,0,4,0,4,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,3,11,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,4,4,11,0,0,0,17,11,22,178,174,348,194,184,380,0,9,10,0,0,0,3,0,3,0,0,0,0,0,0,288,298,582,517,516,1032,201,188,389,8,3,16,1405,1426,2831
SOS93,186,196,385,0,0,0,0,0,0,6,6,8,0,3,11,45,28,70,6,3,13,51,41,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,7,0,6,0,4,3,0,3,3,0,0,0,0,0,0,0,0,0,86,65,150,150,119,267,279,68,348,4,0,5,622,385,1009
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
