SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
SOS30,40900,19846,21104,40953,20259,21723,41979,20073,21966,42039,19583,21482,41068,99453,107480,206931,19543,21407,40955,18529,20227,38753,17917,19934,37853,17085,19514,36598,16901,18763,35664,89972,99847,189819,16665,18381,35050,16003,17891,33893,15355,17628,32986,15326,17447,32769,15271,16876,32149,78613,88228,166839,14913,16703,31621,14649,16428,31076,14320,15977,30300,14129,15561,29687,14883,16487,31367,72893,81153,154042,12187,13374,25564,11423,12957,24379,10551,11808,22359,8993,10305,19295,8822,10058,18879,51976,58499,110477,32433,39237,71671,17021,24341,41359,7368,13514,20887,1577,4139,5713,153,564,718,4961,4571,9530,1766364,1858838,3625198
SOS31,11341,5591,6089,11680,6035,6312,12345,6141,6532,12671,6255,6642,12893,29542,31397,60936,6196,6684,12881,6064,6443,12503,6136,6328,12469,6029,6297,12325,5880,6083,11967,30307,31837,62141,5819,6219,12040,5856,6199,12054,5725,6131,11856,5905,5770,11674,5856,5810,11664,29158,30127,59289,5571,5656,11225,5450,5624,11066,5286,5414,10701,5271,5186,10451,5445,5409,10856,27014,27298,54311,4421,4415,8834,4262,4319,8581,3874,4064,7946,3297,3600,6896,3157,3415,6574,19023,19810,38828,11709,13222,24931,6000,7921,13919,2259,4086,6343,476,1152,1634,33,168,206,1956,1159,3112,475713,486726,962436
SOS32,1999,987,1111,2098,1105,1224,2331,1226,1225,2450,1242,1252,2495,5539,5827,11372,1225,1330,2551,1302,1312,2616,1290,1216,2501,1240,1296,2535,1247,1227,2476,6303,6384,12691,1181,1207,2386,1233,1246,2470,1322,1141,2463,1211,1216,2426,1256,1060,2319,6190,5869,12063,1250,1056,2312,1197,1042,2243,1104,964,2071,1102,937,2036,1144,1003,2143,5792,5018,10813,884,771,1655,859,689,1556,790,620,1412,620,558,1175,595,510,1109,3743,3154,6902,1875,1673,3545,710,837,1546,258,337,600,51,97,144,5,12,14,281,181,465,75637,73588,149226
SOS33,7360,3845,3722,7565,4106,3860,7960,4060,3921,7979,4261,4025,8284,20044,19106,39150,4386,3933,8316,4187,3895,8081,4143,3799,7937,4059,3626,7691,3957,3503,7455,20732,18759,39484,3970,3344,7310,3820,3393,7211,3652,3256,6908,3701,3221,6926,3503,3035,6535,18648,16245,34892,3459,2813,6273,3368,2930,6292,3148,2579,5718,2942,2428,5373,3085,2427,5508,15997,13175,29173,2427,1919,4355,2305,1847,4154,1967,1579,3546,1680,1303,2977,1602,1247,2852,9986,7899,17887,5030,3936,8965,1926,1671,3597,642,660,1302,100,142,244,3,14,16,1207,563,1770,248595,224806,473398
SOS37,6,0,0,0,3,0,3,0,0,0,0,0,0,17,4,15,4,0,4,4,0,0,3,0,3,3,0,3,0,0,0,14,0,16,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,24,317,65,385
SOS40,14817,7248,7772,15017,7320,7697,15018,7304,7832,15132,7246,7789,15032,36273,38747,75016,7255,7882,15138,6998,7659,14666,6851,7587,14441,6649,7260,13901,6361,7287,13646,34116,37674,71790,6167,7089,13249,6166,6801,12963,5852,6725,12581,5840,6689,12525,5763,6497,12259,29779,33799,63579,5507,6550,12048,5577,6342,11922,5236,6161,11396,5259,6052,11310,5713,6387,12101,27293,31487,58779,4518,5208,9727,4084,4957,9040,3873,4573,8444,3472,4265,7737,3342,3962,7307,19289,22969,42253,12979,17148,30125,7804,11464,19265,3688,6732,10418,892,2259,3151,107,301,410,1146,1218,2365,605836,633417,1239255
SOS41,4118,2102,2120,4221,2133,2253,4384,2241,2274,4512,2233,2370,4601,10722,11111,21838,2296,2431,4724,2156,2368,4524,2184,2373,4566,2218,2233,4450,2096,2279,4378,10944,11684,22630,2123,2275,4396,2087,2195,4279,2082,2289,4372,2138,2281,4427,2018,2224,4240,10458,11262,21723,2054,2235,4292,2016,2183,4205,2033,2138,4174,1878,2132,4013,2142,2363,4501,10126,11054,21182,1684,1938,3625,1686,1855,3541,1457,1677,3135,1350,1496,2849,1274,1526,2791,7448,8489,15938,4945,5929,10878,2700,3658,6356,1167,2036,3200,263,661,928,27,113,140,610,198,814,164636,171637,336274
SOS42,733,399,366,769,374,423,802,417,441,862,413,441,850,1955,2057,4014,473,426,898,440,401,839,427,470,901,428,437,857,495,444,940,2252,2171,4429,465,440,907,417,402,816,451,412,866,452,404,861,419,410,825,2202,2075,4274,423,388,809,440,385,826,401,349,748,369,367,738,404,340,749,2041,1821,3868,298,274,572,299,279,578,302,244,544,216,244,458,193,216,405,1303,1255,2558,765,829,1589,417,509,925,178,337,513,53,98,145,4,12,18,20,17,42,25937,25745,51683
SOS43,2355,1311,1158,2471,1394,1222,2616,1439,1301,2736,1402,1224,2629,6798,6007,12806,1517,1274,2789,1443,1252,2694,1333,1193,2526,1315,1127,2439,1309,1145,2455,6912,5991,12904,1290,1142,2432,1278,1094,2373,1210,975,2185,1218,1003,2221,1099,930,2024,6091,5143,11237,1090,881,1972,1009,836,1840,997,810,1803,885,721,1601,874,773,1653,4848,4025,8875,748,620,1370,697,545,1237,634,457,1087,505,405,912,483,356,839,3066,2382,5449,1546,1251,2794,623,548,1168,192,225,412,41,82,122,0,9,8,293,103,392,79819,69811,149628
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,40,0,40
SOS50,23181,11106,12014,23123,11322,12083,23405,11305,12140,23448,11016,11780,22792,55948,59999,115954,10759,11634,22386,10397,11450,21846,10015,11094,21102,9772,10680,20450,9379,10491,19875,50322,55346,105668,9633,10487,20118,9027,10224,19255,8618,9946,18567,8571,9590,18164,8348,9303,17649,44192,49557,93749,8235,8978,17217,7908,8751,16659,7622,8691,16309,7648,8264,15919,8005,8670,16674,39424,43357,82781,6205,6729,12930,5785,6363,12146,5604,6235,11839,4759,5491,10253,4820,5412,10226,27172,30227,57400,18064,22481,40545,9986,14317,24306,4271,7590,11866,998,2283,3288,85,345,436,2636,2568,5203,978179,1027301,2005481
SOS51,4945,2484,2403,4880,2552,2494,5051,2605,2514,5122,2543,2606,5149,12710,12439,25146,2651,2636,5289,2463,2492,4958,2463,2554,5012,2335,2525,4856,2401,2312,4712,12313,12509,24821,2303,2380,4691,2136,2291,4425,2126,2121,4249,2014,2159,4166,2026,2135,4160,10609,11081,21696,1999,2011,4003,1924,1886,3810,1926,1861,3780,1834,1782,3622,1872,1883,3754,9554,9417,18969,1394,1445,2837,1319,1375,2690,1275,1271,2545,1043,1140,2177,1059,1131,2187,6087,6355,12445,3899,4341,8239,1956,2738,4692,815,1302,2115,172,380,552,19,55,71,750,458,1208,200300,199476,399776
SOS52,911,511,437,946,490,483,978,521,504,1021,486,518,997,2457,2398,4855,599,481,1086,488,478,965,523,529,1052,489,488,974,555,480,1033,2656,2457,5110,536,460,1003,493,469,962,463,439,902,487,502,986,462,436,893,2444,2302,4750,496,413,908,478,403,882,429,352,779,409,332,743,408,346,756,2225,1848,4071,278,278,548,299,255,557,258,247,506,220,186,411,259,206,466,1319,1163,2485,761,748,1510,342,392,735,120,174,294,33,41,76,0,3,9,84,115,194,33998,31926,65920
SOS53,3407,1952,1462,3411,2000,1508,3508,2099,1483,3578,2006,1498,3505,10052,7356,17413,1965,1535,3496,1890,1435,3330,1805,1448,3246,1744,1359,3109,1745,1342,3094,9150,7120,16271,1687,1411,3102,1548,1266,2809,1476,1199,2674,1404,1137,2546,1339,1057,2392,7455,6060,13513,1313,1000,2313,1224,956,2174,1118,822,1939,1087,834,1917,1071,853,1921,5809,4457,10271,804,628,1440,780,560,1334,650,504,1150,565,438,1007,517,418,927,3316,2542,5860,1558,1246,2806,613,537,1156,190,216,406,33,57,96,0,9,3,503,262,774,118008,84308,202315
SOS57,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
SOS60,1996,982,1163,2146,1165,1250,2413,1073,1214,2290,1160,1240,2401,5313,5920,11230,1117,1239,2354,1052,1226,2276,1045,1229,2276,1037,1138,2175,1026,1180,2206,5278,6012,11294,1027,1155,2182,964,1103,2066,877,1106,1992,995,1076,2074,916,1118,2039,4787,5561,10345,890,1077,1964,923,1023,1949,805,959,1767,836,976,1815,940,1090,2037,4396,5136,9531,663,881,1543,638,789,1429,601,781,1383,551,711,1266,547,651,1202,3005,3817,6823,2151,2772,4921,1148,1767,2911,521,977,1499,109,283,389,8,43,48,312,165,476,95961,101511,197474
SOS61,2620,1306,1381,2684,1336,1475,2820,1350,1461,2813,1395,1572,2968,6605,7296,13905,1437,1605,3042,1337,1486,2818,1352,1487,2835,1352,1440,2792,1174,1461,2638,6660,7470,14129,1299,1469,2771,1223,1399,2622,1173,1453,2628,1181,1389,2575,1271,1333,2606,6150,7046,13196,1195,1380,2576,1157,1360,2514,1161,1326,2492,1147,1284,2427,1293,1384,2684,5953,6742,12695,966,1136,2105,860,1106,1965,940,1088,2025,769,876,1643,756,907,1659,4290,5109,9406,2930,3724,6654,1553,2292,3846,641,1169,1812,126,347,475,12,40,46,207,158,369,105453,113412,218867
SOS62,436,204,233,435,243,267,509,252,276,528,275,271,547,1176,1283,2456,280,281,559,275,293,571,294,257,551,249,246,500,259,280,533,1351,1356,2711,288,246,536,274,249,518,224,241,457,236,264,500,268,229,496,1290,1223,2505,268,219,490,239,228,457,214,225,440,205,229,438,235,207,439,1156,1108,2263,200,182,388,175,161,331,165,140,300,129,133,263,135,96,233,804,715,1516,456,462,916,209,257,466,79,119,202,13,22,28,0,0,0,42,20,61,15622,15483,31104
SOS63,1569,868,850,1720,908,903,1810,984,944,1931,1072,912,1986,4622,4390,9011,960,986,1937,965,1001,1957,957,885,1841,945,880,1821,953,880,1832,4771,4618,9394,918,778,1699,883,751,1633,836,749,1587,879,679,1560,820,691,1512,4336,3655,7990,746,592,1340,743,617,1361,661,543,1206,690,541,1234,645,532,1183,3486,2836,6321,519,396,913,477,379,856,412,328,743,369,269,636,341,264,602,2118,1636,3752,1047,839,1882,440,393,831,131,137,264,21,33,60,0,0,0,89,42,128,54599,51491,106089
SOS67,5,11,0,11,7,0,6,8,0,5,7,4,8,40,9,43,9,0,10,5,0,5,8,0,10,4,3,10,0,0,0,24,9,28,7,0,6,7,0,7,0,3,6,4,5,7,0,0,0,20,7,24,4,0,4,5,3,8,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,299,76,378
SOS70,1610,777,742,1520,763,727,1485,815,768,1581,766,766,1526,3960,3773,7733,732,826,1556,701,720,1424,683,698,1382,686,652,1338,633,662,1288,3432,3555,6990,683,613,1300,631,627,1256,626,599,1226,578,561,1137,580,494,1069,3097,2893,5993,520,543,1062,538,471,1006,486,419,902,441,405,838,427,405,836,2405,2233,4639,329,303,633,275,244,523,254,219,481,219,183,406,212,189,402,1293,1138,2431,628,707,1335,246,286,530,96,128,219,15,26,50,0,0,4,2054,530,2586,69642,67583,137228
SOS71,619,282,316,598,288,319,609,312,321,638,298,326,621,1505,1578,3083,326,334,664,278,303,584,265,310,575,282,273,551,278,288,566,1427,1510,2936,239,263,498,240,241,489,237,228,459,202,178,377,188,189,375,1102,1098,2200,186,169,351,177,152,330,131,114,244,135,102,234,139,103,245,767,645,1409,93,85,178,76,71,145,51,69,123,68,57,121,56,47,105,347,325,672,182,196,378,56,100,158,20,48,64,8,9,16,0,4,5,88,91,174,26274,26787,53072
SOS72,348,167,168,337,160,159,316,158,158,311,142,188,323,777,864,1639,171,168,331,114,174,287,128,171,296,151,168,321,151,167,322,718,842,1556,148,143,294,130,136,266,135,130,265,123,119,245,118,108,226,649,637,1288,115,120,235,105,87,195,102,69,176,68,62,126,69,53,121,461,390,851,48,37,87,42,39,78,36,23,66,32,14,48,30,16,44,192,137,322,80,67,143,24,23,40,6,5,14,4,5,3,0,0,0,35,44,75,13738,13849,27586
SOS73,651,341,294,635,388,321,705,342,349,689,386,317,703,1789,1606,3393,393,350,741,371,345,709,425,327,749,373,346,725,360,372,740,1920,1746,3665,410,362,772,364,351,715,351,303,653,361,313,672,382,262,648,1866,1588,3452,295,218,510,290,238,529,266,193,458,237,163,402,223,165,393,1310,977,2286,179,96,275,139,91,229,114,86,194,106,70,177,82,57,141,620,396,1016,215,143,362,49,40,91,19,31,49,0,7,4,0,0,0,246,101,345,24898,21242,46134
SOS77,13,11,0,15,12,0,18,8,3,11,12,0,12,55,3,63,8,3,9,5,0,5,13,0,13,6,0,7,5,0,5,37,3,42,0,3,4,0,3,3,8,3,12,0,5,9,0,5,0,15,17,31,0,4,3,4,0,4,0,0,0,0,0,0,3,0,3,9,6,7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,17,429,73,494
SOS80,4844,2353,2395,4748,2262,2427,4691,2288,2310,4597,2263,2458,4724,11497,12110,23606,2155,2323,4479,2124,2225,4346,1953,2198,4157,1911,2149,4057,1856,2106,3963,10000,11003,21002,1795,2056,3847,1653,1909,3562,1698,1887,3584,1696,1891,3590,1564,1898,3463,8403,9646,18046,1555,1873,3432,1539,1815,3352,1522,1706,3232,1542,1745,3284,1587,1828,3413,7740,8969,16711,1321,1450,2766,1100,1320,2417,1048,1264,2313,893,1091,1982,919,1085,2005,5285,6198,11487,3284,4233,7513,1843,2591,4435,806,1265,2075,193,427,621,11,53,59,547,595,1151,223072,229119,452187
SOS82,5,6,6,7,4,8,10,3,4,7,3,3,5,22,19,34,4,0,4,4,8,12,3,7,4,5,4,8,0,5,3,10,20,30,3,3,9,0,0,0,8,6,10,6,3,10,0,3,7,13,12,27,3,0,4,4,0,8,0,5,5,4,3,3,4,0,6,18,14,30,7,0,0,0,0,4,0,0,4,0,4,4,0,3,3,8,8,16,8,6,16,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,310,299,614
SOS83,7,6,0,4,5,7,14,0,4,4,10,4,12,27,19,46,4,10,5,0,9,9,0,4,6,0,0,9,0,3,6,12,22,32,3,6,8,5,0,7,4,0,5,9,0,9,0,4,5,24,14,38,3,6,4,0,0,3,0,3,3,5,3,6,3,0,3,12,8,25,0,0,0,0,5,5,6,3,3,0,0,0,0,0,0,6,3,7,4,0,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,360,289,649
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,21,14,10,27,8,3,7,16,13,32,9,14,22,65,49,109,10,13,22,10,11,20,11,14,28,13,8,22,6,19,29,56,61,115,11,11,18,25,20,39,11,0,9,11,8,15,11,9,19,65,40,103,15,5,22,17,6,18,8,4,10,5,4,6,3,4,5,53,24,71,0,0,3,13,0,12,4,0,4,0,0,0,5,0,7,17,6,23,8,6,14,5,0,5,0,0,4,0,0,0,0,0,0,5,0,6,870,733,1605
SOS92,56,15,20,33,22,34,61,34,20,52,29,33,58,124,130,259,26,23,47,41,29,66,30,37,61,32,30,59,29,32,54,147,141,289,21,26,46,17,27,44,17,16,38,22,22,43,19,25,37,88,119,208,22,13,39,19,26,47,21,15,33,16,11,27,8,15,23,87,85,169,15,19,33,14,19,30,12,8,22,11,15,26,3,5,10,61,60,122,32,31,63,16,16,35,4,4,18,0,0,0,0,0,0,8,3,16,1405,1426,2831
SOS93,10,3,7,9,10,3,9,4,8,12,4,8,18,29,32,59,5,11,18,4,5,10,7,0,9,9,9,13,3,7,12,33,28,62,10,9,15,3,14,16,5,5,12,7,0,11,9,5,13,36,27,71,9,3,14,11,3,15,11,5,14,8,7,7,4,0,4,33,18,49,0,7,7,0,3,3,3,5,8,5,6,11,3,3,6,12,21,33,16,19,34,0,4,10,5,0,5,0,0,0,0,0,0,4,0,5,622,385,1009
