SOS_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOS61,428,778,1205,232,342,568,267,1169,1435,426,2508,2938,1355,7158,8509,1620,4141,5754,5666,2359,8026,4505,2826,7334,4754,2761,7512,5605,1844,7450,3822,1435,5252,3713,1030,4746,7543,1273,8815,4835,240,5081,3386,267,3659,1924,81,2003,3580,480,4067,3985,371,4358,709,1419,2132,58353,32493,90845
SOS62,62,137,198,44,47,94,44,174,218,48,369,421,199,981,1180,247,525,770,860,345,1209,667,378,1044,720,359,1080,731,222,954,531,215,746,527,166,695,936,226,1162,760,45,806,495,50,539,264,14,280,535,104,638,715,36,755,113,212,323,8510,4596,13102
SOS63,273,295,572,164,157,323,143,377,521,186,826,1009,676,2167,2843,671,983,1654,2359,794,3145,1959,1028,2986,2259,982,3236,2543,611,3159,1792,516,2300,1928,370,2300,3773,504,4276,2745,79,2833,1913,151,2070,1152,40,1194,2407,254,2655,2545,113,2653,343,432,778,29836,10671,40512
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,165,386,553,51,110,162,104,297,400,158,773,934,308,1083,1395,381,693,1070,761,714,1475,756,1028,1787,1170,1246,2418,1459,1307,2770,1315,1179,2493,1502,1081,2576,3992,1942,5931,3240,408,3644,2838,529,3365,2104,212,2319,5463,930,6393,3185,593,3777,234,723,956,29176,15233,44406
SOS71,45,123,165,88,61,151,146,164,312,111,191,301,227,357,589,181,236,414,338,275,616,368,374,739,520,521,1041,517,543,1062,451,472,923,465,404,862,1135,743,1877,1035,141,1169,907,217,1129,613,83,697,1478,325,1804,1070,200,1272,143,373,519,9823,5823,15642
SOS72,11,57,68,48,28,74,107,97,200,51,87,137,267,128,397,148,106,249,305,173,484,330,207,532,298,271,569,367,249,611,250,209,459,222,174,401,389,397,781,268,72,338,215,128,344,131,39,168,262,186,449,449,40,484,110,290,397,4211,2944,7152
SOS73,52,186,242,44,75,122,64,122,186,45,180,223,163,366,524,105,262,367,318,358,674,300,413,710,320,557,875,383,456,837,262,379,642,305,349,653,691,597,1280,594,237,836,586,246,831,462,132,594,1189,432,1619,966,101,1061,206,766,972,7037,6216,13255
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,7
SOS80,546,1045,1591,240,390,632,249,992,1237,319,1925,2242,854,4218,5069,1092,2761,3854,2534,2709,5239,2727,3380,6112,4038,4168,8201,5681,4431,10111,5098,4861,9966,5475,4218,9692,14005,8429,22435,12093,1020,13114,12007,2043,14053,9787,619,10408,33621,3510,37130,6028,1098,7125,535,1010,1549,116933,52822,169756
SOS82,0,0,0,0,0,0,0,0,3,0,4,4,0,10,6,0,0,0,0,5,4,9,0,7,4,8,8,4,3,6,3,0,4,6,0,6,16,6,18,16,0,16,12,0,17,19,0,19,60,0,62,9,0,9,4,0,4,173,32,203
SOS83,0,0,4,0,0,0,0,0,0,0,4,4,0,4,4,0,3,6,0,0,0,0,6,6,5,3,7,5,9,14,4,5,8,3,10,8,10,3,15,16,0,14,11,0,13,7,0,7,30,3,30,6,0,13,4,0,0,106,52,156
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,5,5,0,3,8,0,3,3,0,9,9,0,15,16,0,3,3,9,5,8,5,7,13,15,16,29,10,20,32,18,14,32,16,17,34,34,20,57,33,0,33,40,4,44,20,3,18,57,6,57,37,0,37,3,3,6,291,159,444
SOS92,8,6,15,0,9,8,6,7,13,4,24,28,13,57,66,9,40,50,36,47,79,41,36,78,34,40,72,52,20,76,35,19,58,48,22,71,75,15,85,48,0,54,32,12,43,31,0,35,36,7,40,51,3,57,6,20,26,567,381,947
SOS93,0,4,4,0,4,4,0,3,3,5,0,7,5,11,18,8,8,19,7,7,11,10,12,21,12,8,23,11,8,20,7,3,6,5,3,8,18,0,18,15,0,15,7,6,5,8,0,8,10,3,13,13,0,13,20,4,25,155,82,236
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
