SOS_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SOS30,71458,133470,58640,32701,81238,19249,1426,398179,41246,85737,55447,36622,84624,17202,1304,322187,21469,37955,25814,19297,63234,14383,479,182628,7703,8879,4564,3315,34196,10013,123,68796,620479,837994,349062,229750,718287,181292,8911,2945773
SOS31,20023,36631,17562,11552,27614,9697,239,123313,12797,26581,18801,15331,31627,8461,197,113792,6620,11562,8565,8156,22768,6092,94,63854,2275,2612,1429,1298,11165,3318,23,22123,141143,200608,93199,72821,198379,70812,3027,779988
SOS32,3785,6873,3683,2567,5144,2011,34,24095,2642,5174,3708,3421,6000,1936,46,22915,1057,1841,1515,1463,3498,1070,22,10470,269,306,181,173,1084,299,0,2314,21431,31116,16196,13361,28276,12282,452,123116
SOS33,11448,22701,12790,9754,14053,7891,92,78733,7374,14292,10808,10891,14818,5884,112,64173,3136,4986,3819,4241,7853,2816,38,26888,746,787,495,441,2096,599,3,5166,68567,100906,53489,45841,77343,46641,1732,394529
SOS37,0,5,0,6,9,16,0,34,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,6,5,81,220,24,380
SOS40,26360,50848,22148,11921,30558,4961,400,147206,15793,34343,22163,14184,31408,4461,415,122775,8703,15927,11124,7948,24685,3989,132,72511,3776,4767,2515,1814,17598,2782,42,33295,216335,294492,126381,80968,263406,43625,2208,1027419
SOS41,7519,14838,7048,3929,8829,2303,58,44528,4845,10871,8169,6093,10652,2271,55,42956,2715,5233,4023,3609,9205,2025,18,26839,1090,1415,815,664,5496,1140,11,10636,51842,78208,37993,26787,65070,17455,793,278149
SOS42,1403,2743,1396,824,1434,639,11,8455,906,1961,1443,1255,1905,674,7,8150,399,743,596,659,1323,436,0,4153,147,191,140,85,784,252,0,1601,7846,12050,6229,4811,8821,3720,42,43526
SOS43,4110,8201,4490,2830,4069,2001,15,25719,2456,4971,3798,3282,4048,1559,27,20137,883,1663,1337,1352,2205,799,12,8252,212,310,191,173,623,206,3,1723,23402,34723,18714,13987,21901,11547,386,124656
SOS47,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
SOS50,40664,73666,31411,19290,48050,8531,910,222529,23094,47733,29737,21440,47111,7417,788,177310,11486,20937,13941,11281,33226,7065,267,98207,4611,5816,2973,2182,18828,5478,78,39957,349476,447152,183760,136880,412992,82217,4837,1617314
SOS51,8422,15086,6682,4245,10648,4888,124,50096,5027,9972,6478,5267,10531,3392,89,40752,2338,4064,2835,2628,6712,2100,35,20711,823,995,605,518,3288,1206,7,7447,59999,84327,36597,29205,74278,34471,1167,320040
SOS52,1687,2747,1240,900,2112,1275,7,9975,1059,1962,1271,1218,2203,1112,15,8829,403,700,515,573,1216,590,0,3999,121,153,85,87,487,185,0,1114,9691,13217,6258,5419,12057,7550,195,54391
SOS53,5017,9177,4564,3357,6607,4954,75,33753,3047,5563,3826,3563,5304,2478,40,23823,1043,1702,1289,1333,2346,948,12,8679,244,322,163,139,625,163,5,1662,29247,40235,19337,16166,36779,32078,733,174575
SOS57,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
SOS60,4104,8076,3362,1684,4412,891,56,22581,2524,5673,3637,2246,4858,932,44,19915,1306,2664,1700,1313,3955,812,14,11761,587,755,367,280,2410,456,7,4857,35135,48372,19773,11963,40907,8503,456,165114
SOS61,4668,8946,4072,2438,6612,1288,28,28057,2876,6120,4415,3393,7640,1451,27,25916,1527,2919,2083,2043,6185,1303,15,16066,590,817,437,334,3270,741,9,6191,34027,48722,22491,16405,48968,10534,355,181488
SOS62,802,1613,862,562,1035,293,3,5166,469,1239,903,724,1119,318,8,4781,225,450,343,367,796,257,0,2431,57,82,51,46,336,121,0,697,4575,7289,3800,2930,5776,1833,63,26264
SOS63,2791,5984,3326,2246,3015,1041,15,18414,1583,3639,2833,2405,2947,905,3,14315,584,1117,886,964,1592,492,3,5638,167,186,108,105,451,138,4,1154,16005,25568,13672,10398,16583,5752,124,88099
SOS67,7,15,3,3,16,25,0,77,3,13,0,0,7,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,53,20,13,125,116,13,374
SOS70,2603,4428,1667,891,3247,1877,144,14864,1591,2658,1364,826,2917,1281,77,10705,507,785,434,273,1304,468,24,3789,103,117,38,30,388,134,6,809,21841,28699,10367,6660,27433,13847,2519,111361
SOS71,1198,1683,611,287,1457,784,44,6056,571,909,402,227,1001,505,12,3621,155,214,96,74,377,139,8,1060,30,19,9,12,135,33,0,242,9285,10753,3961,2498,10120,4986,169,41773
SOS72,666,881,353,190,688,413,11,3211,350,466,232,150,619,327,9,2149,70,70,41,30,193,62,0,469,13,8,5,0,31,0,0,59,5297,5405,2612,1535,4347,2232,75,21506
SOS73,1146,1852,820,535,1490,1211,22,7082,783,1333,709,502,1488,933,14,5758,166,259,153,138,429,228,0,1379,23,26,9,12,61,20,0,145,6816,9315,4151,2802,7787,7508,343,38714
SOS77,4,6,4,0,54,34,0,106,0,0,0,0,20,11,0,40,0,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,22,44,12,9,237,155,17,494
SOS80,8245,17506,7434,3303,6630,1489,179,44784,4725,11543,6926,3767,6446,1346,153,34910,2496,5112,3263,2196,4854,1077,49,19045,1017,1314,679,434,2991,757,7,7199,85237,121957,46584,24414,73488,16981,1016,369675
SOS82,22,24,13,4,3,4,0,69,6,19,11,11,0,10,0,62,4,7,5,0,7,4,0,33,0,4,0,0,0,0,0,6,117,164,66,35,64,22,0,479
SOS83,13,29,12,4,3,15,0,74,4,13,9,14,9,8,0,58,0,0,4,0,4,0,0,9,0,0,0,0,0,0,0,7,112,134,65,30,124,88,0,553
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,37,56,26,21,36,46,0,227,20,34,19,9,54,33,0,175,6,6,6,8,8,3,0,36,0,0,0,0,0,0,0,4,211,265,119,74,301,349,6,1332
SOS92,93,176,64,33,87,88,0,547,33,110,52,50,72,51,0,377,13,44,9,19,62,35,0,187,8,8,5,3,18,4,0,48,373,630,277,192,568,347,16,2404
SOS93,15,33,18,6,20,23,0,120,11,28,17,19,17,19,0,120,8,16,4,8,19,14,0,69,5,0,0,6,0,0,0,10,128,182,69,69,104,333,5,893
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
