SOS_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SOS30,2116,100131,5798,122,108161,15585,212781,12638,196,241196,5117,102928,5749,156,113953,3587,110593,8181,439,122802,5492,232186,17962,1284,256926,5649,223360,14354,640,244003,7376,206172,12188,568,226305,10253,169666,9494,627,190049,14743,128900,7868,628,152134,16650,62692,5066,251,84656,11195,12435,2493,56,26176,97756,1561849,101796,4961,1766364,1174,94906,5454,101,101638,7723,208684,11825,200,228437,3249,101199,5361,156,109966,2655,113485,7160,388,123691,5109,248367,16386,981,270845,5959,242153,13349,486,261947,9006,223271,10790,487,243551,12060,186287,8980,800,208129,16440,145315,7617,681,170056,22364,69450,5934,225,97972,22968,15106,4480,67,42619,108710,1648226,97332,4571,1858838,3295,195031,11253,221,209798,23308,421467,24461,396,469636,8367,204126,11113,312,223919,6243,224079,15346,827,246490,10600,480554,34351,2263,527767,11612,465514,27697,1127,505947,16374,429444,22980,1057,469859,22320,355955,18481,1426,398179,31178,274222,15487,1304,322187,39009,132140,10995,479,182628,34164,27542,6972,123,68796,206470,3210076,199126,9530,3625198
SOS31,597,25613,1947,19,28181,5023,55604,4739,32,65401,1682,24986,2095,22,28779,1092,21949,2667,258,25974,1624,49232,6897,912,58669,1699,47274,6128,323,55429,2627,48902,5849,106,57491,4252,50238,5352,123,59965,6407,45725,4038,93,56267,6185,22309,2232,46,30771,3672,4215,883,13,8788,34864,396059,42840,1956,475713,359,24341,1748,15,26457,2555,55347,4479,26,62411,1081,23970,1838,18,26908,682,22561,2089,137,25469,1282,53687,4821,475,60263,1763,52377,4187,134,58460,2934,52459,3990,80,59462,4608,54770,3854,118,63345,5893,48170,3367,104,57527,7466,23314,2258,50,33083,7059,4836,1428,9,13330,35674,415826,34067,1159,486726,958,49950,3698,35,54640,7576,110959,9219,54,127808,2762,48956,3935,39,55691,1773,44510,4759,400,51439,2908,102913,11720,1389,118935,3468,99650,10317,462,113894,5565,101362,9841,183,116955,8858,105010,9208,239,123313,12301,93894,7405,197,113792,13647,45626,4483,94,63854,10734,9051,2317,23,22123,70540,811886,76907,3112,962436
SOS32,49,3486,377,4,3915,580,8094,908,0,9578,181,3338,341,6,3870,132,2755,408,21,3316,167,5931,1049,149,7297,221,6455,986,38,7693,356,8069,987,12,9426,853,9980,1011,14,11861,1182,9898,904,29,12015,884,4289,446,11,5635,417,510,95,5,1028,5032,62809,7514,281,75637,36,3307,324,3,3667,306,7825,806,0,8941,124,3057,310,6,3492,69,2724,328,13,3140,154,6567,700,78,7486,201,7163,664,25,8055,411,8394,720,10,9547,817,10527,869,18,12227,972,9143,772,16,10902,924,3532,370,9,4830,640,530,116,3,1286,4651,62771,5985,181,73588,85,6798,704,6,7586,885,15919,1709,3,18524,309,6397,655,4,7362,203,5478,739,37,6460,315,12497,1750,221,14786,425,13617,1650,60,15750,772,16466,1714,21,18971,1670,20508,1880,34,24095,2153,19046,1673,46,22915,1810,7822,814,22,10470,1058,1038,211,0,2314,9687,125574,13504,465,149226
SOS33,141,9906,928,0,10985,1545,25764,2617,14,29939,592,12189,1284,9,14072,366,9144,1746,164,11420,565,18464,4700,556,24278,666,22661,4805,239,28372,1113,29889,5185,97,36287,2224,33974,4573,50,40822,2980,28681,2984,61,34702,2165,11619,1232,17,15041,980,1453,234,0,2674,13341,203752,30295,1207,248595,81,9429,873,8,10394,810,24423,2314,13,27559,392,11369,1091,6,12865,217,8155,1093,87,9544,445,18519,2589,226,21775,562,23395,2597,66,26627,1173,30060,3046,48,34321,2004,32764,3098,44,37907,2218,24909,2296,46,29466,2137,8768,934,14,11855,1190,1094,201,0,2492,11226,192880,20129,563,224806,225,19334,1805,15,21375,2354,50188,4933,24,57500,989,23558,2377,16,26935,581,17294,2842,245,20966,1004,36980,7286,783,46059,1234,46055,7408,304,55002,2285,59948,8223,147,70611,4230,66737,7673,92,78733,5196,53591,5281,112,64173,4298,20385,2170,38,26888,2173,2548,441,3,5166,24568,396630,50422,1770,473398
SOS37,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,3,5,0,8,0,26,42,6,69,0,27,73,6,107,0,30,42,0,77,0,9,16,0,26,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,108,191,17,317,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,3,4,5,9,0,9,12,7,35,0,5,3,0,7,0,3,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,10,65,0,0,0,0,0,0,0,0,0,6,0,8,10,0,11,0,3,8,5,18,0,35,60,15,102,5,30,74,6,114,0,33,47,0,79,0,12,16,0,34,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,5,133,222,24,385
SOS40,809,32434,1305,33,34574,5638,65661,2926,57,74285,1755,32735,1335,53,35872,1271,39231,1706,73,42285,1904,82178,3959,227,88267,2076,76303,3512,159,82056,2912,69787,3032,151,75880,4189,63608,2590,152,70541,5633,49595,1844,168,57243,6114,24838,1309,60,32322,5632,6145,726,19,12519,37925,542521,24243,1146,605836,496,30836,1295,21,32644,2660,64984,2642,41,70332,1108,31681,1203,42,34043,840,38105,1559,56,40562,1776,83845,3515,190,89325,2189,79531,3082,138,84941,3414,72235,2622,131,78403,4968,69153,2298,244,76664,6448,56855,1982,247,65531,9539,28883,1695,71,40191,11904,7574,1281,25,20777,45346,563686,23175,1218,633417,1296,63265,2603,57,67219,8300,130652,5565,97,144617,2866,64414,2539,92,69913,2116,77340,3260,132,82852,3677,166024,7477,418,177588,4269,155834,6595,297,166999,6327,142021,5657,284,154288,9152,132769,4885,400,147206,12079,106458,3826,415,122775,15653,53727,3007,132,72511,17532,13715,2006,42,33295,83267,1106207,47414,2365,1239255
SOS41,230,8358,493,0,9079,1625,17736,1165,11,20541,558,8392,529,7,9487,359,7834,600,56,8856,609,16990,1509,298,19413,582,16132,1417,130,18262,869,17875,1342,49,20135,1393,19052,1226,21,21692,1943,17712,931,26,20610,2197,9538,660,5,12402,1645,2192,314,5,4162,12011,141823,10188,610,164636,108,8052,470,3,8630,763,17985,1122,6,19876,326,8064,454,0,8842,264,7660,391,3,8312,488,17754,1034,49,19320,571,17593,997,33,19198,952,19388,1013,16,21361,1488,20321,987,32,22834,1996,19361,968,30,22347,2922,10751,751,12,14437,3445,2538,491,5,6477,13309,149456,8667,198,171637,336,16410,960,6,17704,2388,35728,2289,10,40414,877,16457,982,9,18328,626,15498,987,66,17171,1096,34749,2547,346,38733,1160,33729,2416,162,37463,1817,37263,2350,62,41496,2878,39375,2214,58,44528,3937,37071,1899,55,42956,5116,20289,1409,18,26839,5094,4728,805,11,10636,25324,291275,18854,814,336274
SOS42,17,1164,77,0,1259,184,2517,214,0,2914,65,1137,93,0,1298,35,1017,88,3,1141,57,2211,201,8,2478,61,2250,211,6,2525,134,2763,259,0,3155,246,3647,322,4,4211,382,3539,324,0,4242,306,1597,169,0,2066,244,343,71,0,651,1726,22176,2018,20,25937,10,1143,94,0,1251,112,2413,216,0,2740,36,1072,95,0,1198,30,929,71,3,1037,52,2333,178,0,2573,59,2382,195,0,2643,118,2783,221,0,3128,248,3703,278,9,4242,328,3311,262,3,3906,350,1576,157,0,2084,481,366,107,0,955,1828,22012,1879,17,25745,32,2307,168,0,2506,295,4930,429,0,5653,103,2203,187,0,2496,71,1942,155,0,2178,103,4548,379,6,5043,120,4631,402,3,5167,249,5550,482,0,6282,495,7352,599,11,8455,707,6848,584,7,8150,657,3168,326,0,4153,723,702,181,0,1601,3562,44186,3894,42,51683
SOS43,50,3182,221,0,3450,463,8370,633,0,9468,168,3954,316,6,4445,108,3179,414,38,3738,147,6444,1111,130,7828,145,7629,1224,64,9068,265,10104,1275,25,11668,551,11979,1186,7,13719,680,9464,804,13,10961,526,3733,353,5,4611,244,553,68,5,865,3328,68587,7603,293,79819,31,3118,229,0,3379,270,7857,550,7,8681,107,3553,282,5,3942,57,2705,224,14,3000,124,5761,537,23,6449,145,7401,540,11,8098,301,9562,721,18,10591,509,10711,775,10,12000,542,8016,608,11,9174,516,2853,267,3,3641,310,464,77,0,854,2904,62004,4814,103,69811,79,6297,444,0,6828,732,16228,1187,4,18152,272,7508,600,13,8389,166,5883,637,58,6734,274,12207,1647,153,14280,294,15034,1769,73,17164,559,19666,1993,34,22253,1058,22690,1961,15,25719,1220,17483,1409,27,20137,1039,6582,615,12,8252,551,1017,146,3,1723,6229,130590,12414,392,149628
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,19,0,8,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,19,0,8,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,7,40
SOS50,995,60869,2726,68,64648,6534,122293,5691,117,134627,2193,56037,2418,63,60713,1545,58595,3189,190,63523,2390,127751,7789,548,138475,2218,131063,7035,388,140711,3061,115114,5572,372,124118,4415,97546,4307,397,106670,6379,73989,3246,342,83955,7707,35113,2415,118,45355,6048,7758,1534,28,15374,43499,886127,45922,2636,978179,583,57994,2539,70,61180,3152,119020,5423,113,127708,1454,54237,2340,67,58103,1135,58819,2706,187,62845,2217,139243,7016,478,148949,2548,140756,6179,242,149730,3653,123420,4803,262,132138,5433,106079,3834,513,115861,7321,82233,3353,446,93356,11021,38706,2979,140,52848,12529,9437,2574,45,24582,51049,929938,43753,2568,1027301,1574,118858,5259,137,125835,9680,241308,11113,230,262338,3648,110275,4766,129,118813,2682,117410,5900,379,126375,4604,266994,14801,1024,287428,4772,271814,13215,632,290440,6715,238539,10369,635,256255,9854,203626,8142,910,222529,13702,156219,6604,788,177310,18728,73813,5399,267,98207,18579,17198,4106,78,39957,94543,1816061,89672,5203,2005481
SOS51,165,11527,1110,8,12814,1382,24278,2587,16,28257,481,10027,1049,14,11570,323,8627,1185,130,10267,464,21706,3561,264,25995,444,22712,3613,128,26902,646,22252,3286,64,26243,1023,21237,2767,69,25084,1432,17087,1646,39,20197,1687,7487,814,19,10005,1135,1526,298,7,2966,9181,168457,21909,750,200300,101,10872,998,6,11974,690,23528,2457,13,26688,264,9634,875,12,10774,198,8427,973,62,9654,420,23486,2715,165,26791,531,24080,2432,32,27075,786,22768,2182,32,25763,1125,21846,1977,56,25011,1559,17526,1415,57,20555,2044,7854,797,14,10709,2240,1785,455,7,4481,9939,171806,17271,458,199476,262,22402,2107,11,24782,2068,47804,5042,27,54946,741,19661,1920,20,22341,518,17056,2155,193,19925,880,45196,6274,432,52783,975,46791,6043,170,53975,1432,45017,5466,89,52008,2152,43084,4739,124,50096,2991,34611,3061,89,40752,3730,15336,1617,35,20711,3375,3316,748,7,7447,19125,340264,39178,1208,399776
SOS52,15,1725,197,0,1935,166,3390,447,0,4007,60,1379,159,0,1595,28,1345,218,20,1605,59,3276,681,44,4051,80,3238,675,11,4001,125,3541,764,0,4429,225,4192,699,3,5112,380,3747,552,8,4676,300,1545,239,0,2080,147,292,59,0,496,1576,27652,4685,84,33998,11,1593,211,0,1809,79,3247,448,3,3776,35,1341,152,4,1533,24,1316,190,20,1551,46,3350,493,54,3946,77,3265,451,14,3816,170,3337,430,11,3953,282,4039,534,3,4860,313,3382,448,5,4157,299,1385,226,0,1914,263,278,77,0,616,1608,26532,3666,115,31926,23,3320,405,0,3752,252,6634,894,3,7782,93,2720,312,4,3128,58,2660,408,31,3154,113,6624,1176,91,8001,153,6504,1131,28,7821,293,6883,1192,16,8375,506,8229,1229,7,9975,686,7130,1001,15,8829,600,2926,468,0,3999,413,566,133,0,1114,3185,54189,8348,194,65920
SOS53,45,3587,331,5,3965,375,9163,890,24,10455,148,4179,475,3,4807,85,4253,1541,59,5940,134,10886,5399,174,16591,127,12530,5358,100,18116,224,14690,4894,64,19874,405,15272,3522,48,19251,581,11254,1426,28,13287,537,3889,446,5,4877,251,506,82,0,840,2918,90219,24368,503,118008,33,3349,269,0,3652,188,8620,852,16,9669,69,3736,390,3,4197,65,3107,621,47,3843,108,7744,1546,113,9515,125,9201,1340,28,10697,263,11326,1483,12,13079,431,12725,1319,22,14508,523,9108,894,14,10535,550,2908,335,0,3797,371,392,50,4,818,2727,72220,9093,262,84308,75,6936,601,5,7622,557,17783,1739,37,20119,214,7914,859,7,8998,148,7364,2160,111,9785,246,18631,6941,290,26105,251,21735,6699,126,28811,486,26017,6384,74,32959,839,28001,4842,75,33753,1106,20363,2317,40,23823,1091,6797,780,12,8679,625,902,132,5,1662,5645,162439,33464,774,202315
SOS57,0,0,0,0,0,0,0,0,0,0,0,5,3,0,14,0,46,31,0,81,0,243,189,24,459,0,494,412,37,945,7,459,374,53,896,0,259,195,24,473,4,75,39,0,119,0,8,0,0,15,0,0,0,0,0,7,1603,1244,143,3003,0,0,0,0,0,0,4,0,0,4,0,7,3,0,8,0,21,15,0,37,0,57,28,3,94,0,30,19,7,55,0,34,23,0,57,3,54,24,3,86,0,42,12,0,61,0,10,5,0,17,0,0,0,4,3,0,269,122,16,413,0,0,0,0,0,0,3,0,0,3,0,11,6,0,19,0,72,44,0,121,0,300,217,33,549,0,528,431,37,999,7,496,391,61,951,0,313,214,29,560,4,119,53,0,178,0,26,6,0,32,0,0,0,4,3,12,1869,1369,164,3413
SOS60,104,4918,239,5,5262,771,10098,510,12,11387,269,4875,233,0,5386,195,5782,327,53,6359,325,15875,969,139,17311,340,11325,711,42,12417,437,10064,558,21,11078,623,9500,473,19,10611,840,7929,408,22,9198,979,3888,290,7,5165,754,914,117,4,1787,5647,85164,4838,312,95961,58,4674,224,3,4960,396,9836,514,5,10749,190,4695,228,6,5120,166,5757,291,9,6227,302,15893,761,28,16985,344,12144,583,10,13073,553,11022,448,20,12046,725,10767,438,38,11972,995,9292,417,22,10716,1428,4830,327,13,6599,1652,1206,208,4,3070,6809,90112,4426,165,101511,162,9590,465,8,10226,1162,19930,1022,16,22133,464,9570,467,6,10503,359,11542,615,69,12586,623,31769,1723,169,34293,681,23466,1295,51,25494,993,21087,1001,34,23122,1352,20269,908,56,22581,1835,17209,827,44,19915,2408,8722,618,14,11761,2411,2118,329,7,4857,12452,175284,9260,476,197474
SOS61,139,5453,314,3,5904,1100,11372,711,6,13186,396,5477,367,3,6246,294,5713,383,57,6454,433,13160,823,51,14471,395,10708,656,38,11801,706,11093,634,11,12439,989,11637,635,15,13282,1500,10022,575,10,12113,1406,5429,386,7,7225,959,1183,189,4,2333,8319,91244,5681,207,105453,86,5278,302,3,5666,549,11394,672,0,12617,264,5396,307,5,5973,193,5767,339,8,6314,388,13501,725,71,14682,464,11835,610,19,12926,808,12514,612,16,13946,1134,13023,608,13,14776,1476,11724,585,12,13805,1966,6386,478,9,8838,2011,1564,274,7,3862,9334,98391,5520,158,113412,229,10735,612,8,11576,1648,22760,1385,10,25804,663,10874,674,11,12214,486,11484,729,69,12764,820,26659,1550,124,29152,859,22542,1267,53,24730,1510,23607,1248,28,26388,2120,24667,1242,28,28057,2972,21748,1166,27,25916,3372,11817,868,15,16066,2966,2745,468,9,6191,17655,189638,11202,369,218867
SOS62,18,673,47,0,738,119,1499,111,0,1732,36,633,54,0,728,30,590,54,3,679,30,1418,115,17,1576,53,1483,91,10,1636,93,1767,130,0,1992,155,2225,151,0,2530,233,2067,141,0,2450,188,975,91,0,1256,118,145,38,0,298,1078,13467,1033,42,15622,14,602,44,0,658,67,1553,88,0,1706,25,617,30,0,671,21,534,34,0,590,23,1464,104,9,1600,57,1524,95,3,1679,107,1813,114,0,2031,162,2338,140,4,2637,216,1995,116,8,2336,233,853,95,0,1171,178,174,50,0,399,1095,13455,912,20,15483,27,1273,93,0,1396,185,3054,201,0,3442,60,1249,93,0,1401,55,1123,91,8,1273,58,2879,216,21,3179,108,3013,181,14,3315,202,3572,241,0,4026,312,4557,291,3,5166,450,4064,259,8,4781,421,1822,187,0,2431,292,316,90,0,697,2173,26920,1944,61,31104
SOS63,35,2415,166,0,2622,344,5881,432,0,6653,127,2809,184,0,3123,82,2152,140,9,2381,141,4651,386,34,5210,150,5435,401,13,5993,304,6845,470,13,7630,564,8283,547,7,9405,597,6775,450,3,7827,458,2508,196,5,3167,182,356,46,5,591,2988,48109,3418,89,54599,22,2291,166,0,2474,151,5719,369,0,6245,79,2518,146,0,2746,51,1922,150,3,2118,106,4722,378,16,5219,170,5821,390,7,6385,335,7005,417,3,7761,497,8041,467,4,9014,483,5635,367,0,6485,356,1968,146,0,2469,239,279,48,0,565,2482,45915,3054,42,51491,50,4708,337,0,5094,492,11598,803,0,12901,207,5323,328,0,5864,135,4070,288,12,4502,251,9368,759,47,10426,320,11257,789,23,12382,636,13854,896,20,15396,1062,16328,1012,15,18414,1082,12411,817,3,14315,816,4473,347,3,5638,419,635,101,4,1154,5468,94021,6471,128,106089
SOS67,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,9,0,34,25,3,58,0,40,24,3,67,0,50,22,0,71,0,37,20,0,63,3,20,0,0,25,0,4,0,0,4,0,0,0,0,0,7,189,97,8,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,6,0,10,0,0,13,0,9,3,0,16,0,14,4,0,18,0,13,3,0,11,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,5,63,13,0,76,0,0,0,0,0,0,0,0,0,5,3,3,0,0,5,0,13,0,0,15,0,41,25,3,69,0,52,25,4,78,0,57,31,0,90,0,49,25,0,77,3,31,0,0,33,0,3,0,0,3,0,0,0,0,0,11,250,110,13,378
SOS70,79,4083,416,9,4591,448,7308,839,15,8610,128,2949,326,89,3492,92,3896,693,1096,5770,134,10493,1756,505,12888,143,8746,1370,153,10412,223,7105,1186,68,8585,305,6078,1006,72,7457,445,4395,669,32,5539,357,1352,209,7,1928,153,163,44,0,364,2503,56570,8520,2054,69642,32,3908,428,20,4388,215,7240,803,18,8283,75,2919,329,12,3331,62,3593,435,114,4207,105,11612,1421,167,13310,157,9431,1120,46,10752,217,7232,963,24,8441,313,6167,850,73,7408,439,4148,536,44,5167,445,1210,190,8,1858,268,107,63,8,448,2334,57574,7144,530,67583,108,7987,846,32,8974,670,14547,1643,35,16890,209,5863,660,99,6828,145,7490,1125,1217,9975,240,22108,3182,675,26196,299,18178,2495,199,21165,439,14346,2152,84,17025,618,12241,1859,144,14864,878,8543,1204,77,10705,805,2565,403,24,3789,422,272,104,6,809,4836,114142,15663,2586,137228
SOS71,21,1751,185,4,1962,138,3471,336,0,3942,59,1533,152,0,1741,36,1376,169,14,1594,58,3884,563,32,4537,73,3373,495,16,3952,116,2594,398,6,3116,132,2406,395,13,2946,147,1456,268,6,1873,97,370,64,0,530,44,28,13,0,81,909,22247,3038,88,26274,17,1573,141,3,1736,48,3271,323,3,3657,21,1439,145,4,1610,29,1467,175,3,1676,54,4582,508,28,5165,78,3499,422,8,4013,127,2885,371,6,3391,184,2511,390,24,3111,191,1326,221,6,1747,148,325,52,10,531,92,52,13,0,158,996,22941,2765,91,26787,36,3328,331,3,3701,187,6742,662,3,7593,77,2972,300,4,3349,67,2842,348,16,3274,111,8466,1069,60,9704,153,6875,916,19,7963,244,5483,769,9,6509,316,4915,789,44,6056,334,2785,488,12,3621,238,696,111,8,1060,133,81,23,0,242,1903,45186,5800,174,53072
SOS72,8,944,89,0,1044,43,1966,170,0,2177,13,917,70,0,998,6,938,83,0,1030,22,1928,226,22,2198,25,1581,179,3,1782,62,1351,185,0,1600,69,1212,208,6,1497,88,861,161,4,1116,47,186,39,0,271,8,18,0,0,31,397,11903,1410,35,13738,3,822,63,0,889,17,1801,155,0,1975,3,876,79,0,963,8,966,98,0,1070,10,2144,222,26,2407,25,1664,154,6,1843,72,1476,179,9,1734,104,1379,218,5,1713,126,759,141,0,1036,70,118,12,0,194,20,10,3,0,31,455,12020,1329,44,13849,9,1765,154,0,1933,57,3764,327,0,4150,13,1795,146,0,1958,10,1900,173,3,2093,37,4075,452,42,4611,54,3239,331,4,3629,134,2832,361,3,3331,172,2596,427,11,3211,218,1624,299,9,2149,115,299,53,0,469,27,21,6,0,59,850,23920,2738,75,27586
SOS73,7,1014,126,0,1149,94,2271,316,0,2685,25,1052,188,6,1266,23,1109,386,68,1579,20,2506,963,91,3583,38,2308,859,39,3241,58,2645,854,18,3576,135,2876,699,18,3721,169,2498,506,11,3187,98,611,130,0,841,28,37,3,0,67,704,18916,5036,246,24898,10,921,123,0,1053,45,2211,281,0,2536,8,973,146,0,1123,15,971,196,22,1205,21,2418,488,57,2986,48,2319,427,7,2800,66,2492,431,4,2994,124,2759,463,8,3365,145,2055,368,8,2573,84,381,72,0,541,45,26,5,0,75,621,17527,2995,101,21242,22,1933,243,4,2204,138,4476,598,0,5214,29,2020,330,8,2392,40,2078,580,86,2781,44,4926,1449,141,6564,83,4626,1289,44,6046,127,5138,1283,15,6569,259,5627,1166,22,7082,315,4556,872,14,5758,183,992,198,0,1379,77,62,8,0,145,1321,36438,8031,345,46134
SOS77,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,14,5,0,17,0,34,14,0,54,0,59,41,0,106,4,71,40,0,117,0,63,33,0,96,0,14,7,0,22,0,4,0,0,4,0,0,0,0,0,6,280,138,12,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,4,5,7,16,0,6,0,0,3,0,7,0,0,7,0,11,0,0,12,0,13,5,0,21,0,4,0,0,5,0,0,0,0,0,6,50,17,7,73,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,23,3,0,27,0,40,15,9,65,0,65,38,0,112,4,79,40,0,124,0,71,34,0,106,0,26,11,0,40,0,5,3,0,10,0,0,0,0,0,8,326,151,17,494
