SOS_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS30,50405,35138,23397,14101,5027,831,170938,1727,14631,17148,16883,12236,7964,2356,401,73346,39201,139049,127476,92374,56410,38173,15589,3609,511879,22936,53184,61712,62377,48628,31141,13405,3279,296658,61251,105740,97816,92244,77767,49464,22669,5839,512793,14129,7416,5420,4469,3752,2760,918,167,39033,5024,6372,8648,10158,9617,8332,4024,1140,53313,80402,119529,111885,106864,91141,60556,27616,7145,605137,1404,2582,3042,2901,2729,2863,2058,707,18286,29264,38819,32115,27775,24347,24222,22088,14550,213183,177256,407507,403788,344301,258885,179018,88142,30535,1889431
SOS31,3619,3378,2971,2242,694,116,16210,264,1966,2386,2638,2403,1829,514,78,12077,4205,17410,16731,12958,10200,8165,3100,637,73404,2377,8630,11161,12662,12576,9148,3584,776,60903,15852,34293,32507,30267,28780,20358,8433,1720,172207,4681,2647,2030,1468,1284,993,297,34,13430,1226,1582,2020,2387,2460,2400,1083,240,13405,21757,38523,36557,34120,32527,23748,9814,2000,199043,221,495,472,571,653,776,586,175,3949,9889,12594,11463,11438,11647,11443,9216,4821,82501,38863,82641,82384,77767,72977,57343,27507,8602,448087
SOS32,443,494,596,477,139,10,2434,24,208,298,385,470,398,100,3,1881,465,1712,1948,1939,1911,1724,529,72,10300,286,963,1478,2001,2420,1868,637,80,9725,1905,4212,4493,4804,5504,4235,1467,192,26805,599,366,324,284,301,185,65,3,2133,147,175,264,367,506,499,180,17,2144,2645,4753,5084,5453,6309,4912,1710,215,31080,21,47,66,89,120,142,87,23,581,1659,1771,1684,2032,2459,2588,1590,435,14218,5116,9708,11003,12388,14279,12102,4789,841,70217
SOS33,1664,2164,2176,1551,457,46,8892,76,604,1035,1449,1514,1096,241,22,6029,1613,6361,8360,8542,7086,5196,1589,219,38972,1175,3127,5238,7656,7837,5138,1588,197,31953,6846,13429,15355,17188,17474,11409,3463,468,85631,1694,870,751,838,815,553,139,7,5666,469,609,940,1448,1672,1292,478,58,6957,9007,14898,17038,19468,19967,13254,4078,534,98253,109,152,209,308,423,494,221,41,1961,5618,6517,7113,8809,9082,7391,3805,859,49197,17650,32442,40659,48399,48083,34122,11979,1921,235260
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,6,3,4,0,3,0,0,0,9,4,20,6,9,0,5,0,0,37,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,6,4,17,15,15,3,3,0,0,56,0,0,0,0,0,0,0,0,0,13,57,78,46,16,6,0,0,223,20,79,96,65,27,12,0,0,308
SOS40,19092,11145,7782,5388,2089,448,65958,438,4383,5675,5148,4665,3574,1097,172,25157,14140,50090,43360,29025,19867,15128,6246,1686,179550,4196,14396,17944,18530,16994,12582,5237,1481,91353,16631,33652,30514,29561,26773,17614,8593,2851,166198,2822,3286,2460,1853,1487,1008,332,92,13337,1141,1839,2552,3478,3456,3077,1581,578,17697,20594,38772,35525,34884,31718,21701,10504,3520,197232,498,1003,1044,925,905,948,709,271,6305,6761,8751,7816,7230,6867,7234,7067,4805,56528,47785,136254,130463,106888,88799,66546,32957,12394,622078
SOS41,1556,1392,1137,914,342,55,6838,80,672,912,1012,1012,963,282,43,4961,1494,6115,6025,5143,3834,3566,1512,363,28059,513,2614,3619,4569,4746,4035,1704,380,22181,5066,11439,10141,10126,9536,6943,3124,845,57227,850,1146,875,634,567,408,117,27,4629,312,528,724,943,930,980,502,131,5047,6231,13111,11735,11708,11040,8330,3745,1008,66912,98,156,190,204,234,264,228,83,1460,2303,2525,2490,2778,3088,3533,3412,1916,22053,10815,26538,26532,26804,25089,21609,11225,3848,152465
SOS42,138,108,172,127,44,8,770,8,65,97,112,166,146,32,0,634,159,743,692,578,564,593,196,39,3555,59,288,447,630,838,642,224,49,3170,643,1495,1482,1576,1883,1308,434,85,8913,122,166,130,94,112,65,13,3,700,36,84,96,141,189,173,73,18,815,799,1741,1704,1811,2186,1551,521,108,10424,10,21,26,38,35,51,32,12,231,466,419,494,618,827,920,670,356,4769,1510,3439,3595,3897,4790,4022,1725,581,23555
SOS43,564,691,668,534,172,12,3050,25,201,377,473,562,398,79,4,2111,656,2396,2906,2687,2314,1842,564,75,13417,191,906,1582,2403,2579,1937,526,65,10189,2125,4226,4724,5239,5348,3090,980,146,25887,312,337,363,328,276,172,38,5,1825,125,162,316,524,555,438,136,21,2272,2559,4720,5405,6085,6177,3703,1155,170,29979,31,83,107,113,142,141,91,17,720,1484,1609,1626,2113,2386,1974,1106,299,12591,4958,10294,12568,14562,14808,10521,3684,641,72044
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,12,7,5,0,0,0,28
SOS50,29764,19357,12492,7493,2691,544,98086,792,8034,10219,9334,7201,4222,1340,222,41369,20563,78237,77979,53611,34068,22652,9001,2303,298420,9626,27909,33902,31685,26539,18474,8273,2288,158681,29577,57255,52315,46880,41069,26502,11902,3285,268788,10067,4490,3231,2601,2147,1433,554,117,24642,2110,3053,4468,5859,5630,4475,2348,766,28709,41755,64801,60020,55335,48839,32412,14805,4162,322135,900,1955,2436,2233,2022,2156,1504,544,13751,11966,17199,15929,13298,11734,11847,11295,8139,101419,87243,222239,230253,184862,142892,99255,48913,18211,1033862
SOS51,1891,1411,1116,831,240,43,7214,96,963,1356,1269,1047,696,174,31,5625,1448,7928,8186,6284,4595,3391,1301,296,33433,811,3809,5300,5193,5011,3624,1452,312,25510,6511,15004,14529,12886,10846,6769,2484,570,69601,2559,1400,929,714,586,355,117,21,6689,371,597,877,1140,1163,931,378,98,5556,9442,17007,16337,14733,12596,8062,2978,687,81837,103,265,311,321,325,384,241,71,2027,4582,6555,6332,6019,5700,4530,3195,1787,38698,16586,38108,39710,35233,30395,21511,9585,3229,194353
SOS52,187,175,210,143,47,3,961,5,114,117,145,166,123,19,0,689,162,944,913,721,726,574,201,45,4289,76,437,587,641,837,690,213,39,3521,721,1864,1748,1690,1928,1359,426,78,9802,274,194,121,114,122,74,21,0,922,54,93,122,144,177,178,52,10,828,1051,2150,1985,1942,2235,1607,495,90,11552,10,22,41,34,45,73,42,13,285,891,1277,1264,1376,1520,1402,781,252,8761,2209,5135,5097,5027,5738,4613,1808,438,30061
SOS53,828,760,825,584,182,27,3929,24,336,489,633,652,459,63,11,2675,788,3694,3945,3787,3152,2284,613,75,18338,394,1467,2189,3047,3385,2373,682,110,13634,2865,6517,7148,7327,6958,3868,1061,118,35860,895,446,446,376,328,190,41,4,2728,162,230,391,602,706,567,178,34,2867,3925,7193,7983,8303,7998,4623,1281,156,41456,51,96,134,176,209,225,93,18,1008,3038,6248,6156,6327,5235,3048,1318,241,31614,8289,19688,21721,23041,21451,13598,4235,628,112651
SOS57,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
SOS60,3503,2100,1591,1153,419,107,16119,77,923,1078,1031,960,691,209,34,5005,2102,9298,6441,4567,3576,2953,1194,357,30489,537,2187,2241,2541,2362,1968,1020,323,13177,2200,5387,4645,4296,3870,2483,1269,391,24547,563,559,382,274,269,146,57,20,2269,179,292,302,374,494,509,239,123,2511,2943,6239,5322,4950,4631,3138,1560,535,29322,70,203,162,125,145,158,126,44,1034,1217,1870,1351,1179,1202,1466,1414,790,10488,7159,27769,20096,16488,14466,11527,5941,2194,105633
SOS61,1365,976,878,663,280,46,6770,43,494,616,582,581,488,169,25,3005,1057,5236,4210,3288,2828,2264,886,213,19990,390,1775,2209,2757,2684,2176,1072,296,13356,3261,7738,6462,6343,6111,3830,1822,485,36051,844,913,543,434,385,227,72,25,3439,230,336,379,507,617,649,313,103,3133,4334,8985,7385,7276,7115,4700,2204,614,42620,85,180,127,147,145,183,159,42,1075,1689,1853,1529,1640,1851,2274,2264,1113,14226,7683,21014,17452,16671,16087,12757,7028,2354,101043
SOS62,184,184,206,168,66,8,999,3,52,83,107,119,94,18,3,484,79,473,558,537,557,535,187,29,2950,37,189,307,418,477,431,179,46,2078,308,967,905,974,1136,732,300,52,5383,83,87,77,55,79,43,16,6,435,23,39,49,89,107,144,42,14,502,408,1091,1037,1119,1323,916,361,67,6319,7,13,20,24,36,39,22,4,159,250,247,226,304,415,470,380,157,2448,790,2241,2418,2690,3133,2654,1209,316,15444
SOS63,645,635,710,532,190,15,3268,12,184,261,383,440,348,71,10,1708,299,1673,2232,2094,2097,1649,472,69,10576,126,664,1191,1684,2026,1410,447,75,7617,1337,3369,3650,3947,3988,2272,677,105,19345,283,283,263,214,245,130,35,3,1455,84,146,193,272,442,288,101,13,1535,1708,3800,4097,4436,4670,2694,810,115,22334,23,43,58,84,91,94,54,15,455,851,858,914,1097,1410,1394,763,204,7483,3040,7725,9399,10409,11460,8111,2799,501,53447
SOS67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,11,10,9,3,7,0,0,46,0,4,13,12,14,10,0,0,44,7,15,18,17,11,13,0,0,76,4,0,0,3,0,0,0,0,6,0,0,0,3,10,0,0,0,13,6,15,20,23,24,12,0,0,98,0,3,0,0,0,0,0,0,3,0,25,25,29,25,0,0,0,114,10,58,67,71,70,27,4,0,303
SOS70,2188,1207,960,532,134,11,8030,58,703,766,672,563,305,61,6,3124,1164,6384,4641,2699,1940,1286,371,57,18537,438,1961,2172,2101,1586,937,289,38,9520,1894,4395,3853,3091,2633,1535,454,65,17919,528,363,252,160,116,93,16,4,1538,136,209,274,330,263,239,94,17,1559,2554,4971,4389,3586,3014,1870,563,82,21018,51,165,146,108,83,91,25,16,677,1766,3050,2478,2251,2047,1468,578,171,13802,6113,20144,16770,12619,10189,6484,2029,384,74718
SOS71,607,326,320,165,36,0,2196,13,217,223,197,189,85,20,0,951,249,1892,1251,824,677,396,79,9,5378,101,555,614,602,587,275,66,11,2805,515,1382,1257,1091,940,505,121,22,5831,129,136,125,84,62,22,10,0,576,54,118,136,111,111,83,19,3,629,698,1639,1522,1277,1112,613,150,22,7031,14,44,26,30,24,20,4,5,174,879,1248,1005,942,952,611,147,43,5823,1974,6311,5248,4207,3861,2166,506,98,24359
SOS72,99,80,121,87,5,0,522,0,41,57,58,79,55,3,0,293,66,411,290,230,325,183,31,0,1535,40,153,170,189,273,168,32,5,1021,183,473,515,525,506,312,59,4,2574,70,111,90,88,56,22,0,0,447,31,76,62,77,58,45,7,0,363,287,667,673,695,624,372,71,4,3385,5,3,0,0,3,4,5,0,14,487,531,407,399,509,377,78,11,2799,881,1939,1695,1648,1928,1252,214,17,9577
SOS73,202,152,204,157,30,0,932,8,98,125,146,173,121,12,0,681,121,834,644,547,619,542,96,5,3410,84,337,463,617,686,532,95,0,2815,637,1377,1318,1493,1469,983,202,15,7495,223,140,86,87,74,61,11,0,682,45,61,80,118,129,110,18,0,575,907,1580,1488,1701,1669,1152,231,20,8748,3,17,17,18,18,24,14,0,114,941,1374,1183,1318,1288,1040,280,32,7457,2069,4425,4112,4496,4667,3581,752,55,24164
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,5,5,6,11,7,0,0,0,42,0,6,16,14,18,4,0,0,63,7,11,23,30,20,5,0,0,96,0,0,3,0,3,0,0,0,10,3,0,3,9,5,0,0,0,23,12,13,29,32,30,5,0,0,131,0,0,3,3,0,0,0,0,0,10,17,38,40,38,14,3,0,157,27,46,97,109,96,35,6,0,406
SOS80,14770,9883,6574,4107,1691,394,52397,302,3256,3847,3430,2808,2167,713,81,16602,7750,25761,20534,14046,9554,7217,3432,955,89245,1954,6113,7626,7045,5428,3644,1752,552,34107,4411,9462,8009,6915,5353,3168,1711,559,39588,1032,709,528,420,361,284,105,41,3483,365,498,722,971,1123,1117,579,206,5578,5810,10668,9259,8301,6837,4577,2396,808,48647,182,399,412,285,280,285,217,97,2166,3403,4189,3187,2310,1924,1889,1592,1056,19545,19954,64807,59629,45294,33411,23878,11803,3939,262713
SOS82,7,7,15,5,0,0,41,0,0,7,7,3,3,0,0,22,7,16,25,27,15,9,4,0,98,0,9,19,14,9,9,5,0,58,6,12,18,19,13,5,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,18,22,13,10,5,0,85,0,0,0,0,0,0,0,0,0,4,0,3,3,9,10,0,0,32,15,41,81,83,52,41,15,4,335
SOS83,0,0,4,4,0,0,26,0,0,4,4,3,0,0,0,15,16,41,21,12,12,10,3,0,106,3,11,6,9,8,5,0,0,43,15,33,13,13,11,11,0,0,92,5,3,0,0,0,0,0,0,14,0,0,0,0,3,5,0,0,6,19,37,18,14,14,15,0,0,110,0,0,0,0,0,0,0,0,5,31,15,4,14,17,8,0,0,90,69,109,52,55,54,42,4,0,398
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,12,10,3,0,3,0,35,0,6,10,10,3,0,0,0,27,4,22,34,31,23,19,5,0,127,3,21,21,21,15,13,3,0,94,19,59,48,45,35,21,4,0,229,5,7,0,7,4,4,0,0,34,0,0,3,0,0,0,0,0,10,25,67,55,51,44,23,4,0,277,0,0,0,0,0,8,0,0,12,32,96,66,75,59,37,3,0,377,69,216,203,195,151,102,19,0,947
SOS92,14,14,15,13,0,0,78,6,11,10,7,17,3,0,0,52,17,69,49,44,40,46,16,4,287,6,21,33,32,61,30,8,0,195,40,38,69,71,117,62,17,11,418,21,9,3,4,6,3,0,0,49,0,3,8,3,9,11,7,0,39,59,49,79,83,126,78,23,11,499,0,3,4,3,5,10,5,0,27,44,49,60,60,88,60,58,13,417,132,227,240,237,357,237,111,20,1555
SOS93,6,6,7,3,0,0,33,0,0,0,0,0,0,0,0,10,4,9,17,14,3,10,7,0,63,0,9,11,11,6,14,7,0,55,12,16,10,31,25,10,13,0,117,0,0,0,3,0,3,0,0,13,0,5,0,4,3,0,0,0,8,10,14,18,36,30,16,13,0,137,0,0,0,0,0,0,0,0,9,36,123,66,50,27,25,20,4,346,51,164,117,120,71,70,43,8,649
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
