SOS_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
SOS73,8,8,136,30,7,54,32,179,7,455,29,56,231,72,19,33,72,236,17,774,230,239,594,161,60,36,215,304,42,1884,367,246,569,150,66,25,228,171,45,1865,439,243,560,162,106,48,351,237,32,2167,413,225,436,116,100,41,299,187,49,1855,153,86,108,32,42,18,82,62,18,605,31,8,12,3,5,0,6,7,0,81,0,5,0,0,0,0,0,0,0,5,1671,1116,2647,724,397,250,1279,1380,215,9689,7,20,23,92,44,151,6,110,15,466,26,87,53,135,95,52,22,136,16,621,169,449,123,252,322,88,41,135,21,1614,294,461,74,243,344,79,36,123,32,1671,357,446,90,277,472,103,49,136,20,1940,234,386,76,196,387,83,32,134,24,1549,68,97,27,33,97,33,7,27,14,399,8,6,0,0,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,1169,1943,463,1218,1770,586,187,804,158,8293
SOS77,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,12,0,9,0,4,0,0,3,24,0,33,0,26,16,0,0,0,0,13,0,60,3,20,18,0,0,0,6,22,0,75,0,22,19,0,0,0,0,8,0,60,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,54,7,0,0,8,77,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,12,0,35
SOS80,342,250,927,1165,264,1458,253,1319,91,6067,1082,2460,2665,1980,1265,1400,513,1191,270,12830,4345,10467,6132,2713,2901,1719,1482,2313,756,32824,7013,10603,4259,1824,2507,816,1052,1498,715,30276,6583,7527,3065,1343,2266,592,973,1052,590,23995,3512,4489,1851,725,1469,439,891,809,310,14507,750,1488,490,213,350,190,335,256,95,4163,112,194,55,23,47,49,23,37,18,563,9,15,5,0,0,5,0,4,5,49,23751,37496,19447,9983,11080,6670,5521,8474,2847,125273,190,314,246,2284,573,2546,46,551,74,6831,815,2983,701,3572,2957,1815,62,402,245,13559,4333,12697,1366,4226,5880,1658,109,992,722,31985,6542,11144,900,2896,5578,832,56,678,623,29247,5579,7785,662,2237,5354,763,95,574,431,23479,2514,4285,406,1522,3639,669,88,532,233,13881,359,1070,87,344,862,242,12,155,44,3178,28,100,17,25,83,19,0,9,15,294,4,4,0,0,5,3,0,5,6,29,20349,40384,4382,17109,24925,8550,473,3899,2396,122472
SOS82,0,0,0,3,0,6,0,3,0,13,0,0,6,0,0,0,3,0,0,14,4,6,6,0,5,0,0,0,0,28,5,12,14,0,6,0,0,3,0,41,21,11,6,4,0,0,0,0,0,46,5,7,0,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,32,49,29,13,9,3,14,11,4,166,0,0,0,4,0,5,0,3,0,14,0,0,0,10,6,0,0,0,0,15,8,6,4,0,5,0,0,0,0,20,6,18,0,0,7,0,0,0,4,38,6,17,0,9,15,0,0,0,0,44,6,8,0,0,3,0,0,0,0,25,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,58,6,18,40,10,0,6,6,166
SOS83,11,0,0,4,0,3,0,0,0,23,29,4,5,4,0,0,0,0,0,42,29,5,14,7,0,0,0,0,0,58,8,6,6,0,0,0,0,5,0,30,14,4,6,0,0,0,0,0,0,29,13,0,4,0,3,0,0,6,0,21,11,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,24,37,19,7,0,0,11,6,221,0,0,0,0,0,3,0,3,0,7,8,0,4,0,8,0,0,6,0,20,13,8,5,9,6,0,0,5,3,48,7,9,4,0,7,0,0,0,0,26,3,4,0,3,5,5,0,0,0,21,8,4,0,4,0,6,0,0,0,28,3,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,6,21,28,10,0,9,3,156
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,7,0,0,0,3,0,14,0,0,8,5,0,0,9,0,0,24,11,3,36,25,0,0,5,11,3,99,8,9,23,13,3,0,11,5,0,72,15,12,18,16,0,0,14,6,7,87,21,12,23,4,0,0,9,6,4,90,8,7,18,0,5,0,11,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,46,130,65,11,0,67,41,12,436,0,0,0,10,0,0,0,3,0,22,0,3,0,7,0,0,0,0,0,13,4,18,4,15,12,3,0,7,0,63,12,27,5,15,18,0,3,10,0,89,10,18,4,16,12,0,0,13,0,80,13,6,0,7,20,4,0,5,0,57,3,4,0,5,4,0,3,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,79,6,77,69,15,4,42,6,346
SOS92,17,0,8,8,0,6,0,5,0,53,21,10,13,3,0,4,0,11,0,59,39,23,25,14,6,0,4,18,0,126,33,13,30,8,8,4,12,14,8,122,30,19,45,10,6,3,13,11,0,130,45,25,60,10,3,11,14,20,3,186,11,7,13,3,4,3,8,3,0,58,0,3,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,198,94,196,60,30,36,46,75,12,756,7,0,0,18,0,0,0,3,0,39,11,12,4,21,3,0,0,8,0,60,25,31,5,22,12,9,6,0,0,108,25,23,5,18,24,12,0,11,0,122,32,18,3,17,34,13,0,18,0,136,32,34,10,24,35,16,0,16,0,168,10,11,0,8,16,15,0,11,4,69,8,0,0,5,4,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,136,126,32,140,128,77,9,66,7,721
SOS93,0,0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,0,3,0,9,3,0,8,3,0,0,0,3,0,22,4,3,8,3,8,0,3,4,0,34,9,0,10,0,7,4,7,5,0,44,9,7,10,0,0,0,3,5,0,29,3,3,7,3,0,0,5,5,0,27,3,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,36,18,51,11,8,9,14,24,5,180,0,0,0,8,0,0,0,0,0,10,0,4,0,0,0,0,0,3,0,11,0,3,3,12,7,0,0,0,4,31,6,4,0,5,0,3,0,3,0,26,14,13,0,7,11,3,0,0,0,49,0,5,5,0,10,8,0,0,0,35,0,0,0,6,0,0,0,5,0,19,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,31,6,37,37,15,0,14,3,178
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
