SOS_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SOS30,666581,450027,505637,490754,454688,379709,302618,172266,65293,3487576,406,486,490,427,422,558,659,529,253,4227,956,1318,1703,1283,1287,1982,2451,1077,271,12338,370,528,990,738,741,1936,4116,2490,415,12331,10117,16316,15791,10998,10894,11251,9057,4843,2278,91545,30,123,129,117,104,262,543,287,51,1654,92,183,213,165,183,252,259,100,8,1463,67,61,169,99,156,376,694,370,75,2063,89,135,186,103,163,120,78,22,0,886,110,88,194,127,171,301,390,165,22,1563,8,0,3,3,0,8,15,0,0,34,11828,18756,19374,13638,13693,16487,17608,9356,3124,123865,12237,19242,19860,14066,14114,17044,18269,9886,3379,128096,618,1137,2263,1127,1057,1426,1304,479,123,9530,679436,470412,527767,505947,469859,398179,322187,182628,68796,3625198
SOS31,177280,99890,108825,105691,107315,109564,99130,58433,20853,886984,275,345,300,239,275,342,395,297,142,2616,280,250,442,414,501,1434,2284,738,77,6427,258,126,295,275,395,1611,3664,1384,137,8150,4062,5914,7325,6511,7904,9182,6690,2405,838,50837,35,37,67,60,66,255,484,195,17,1222,30,34,92,53,98,159,225,48,3,747,45,36,66,67,91,308,474,164,13,1267,53,34,57,66,56,65,38,11,0,380,36,19,80,48,70,143,206,79,6,688,4,0,0,3,0,0,0,0,0,8,4800,6460,8417,7505,9174,13165,14072,5029,1100,69731,5083,6805,8718,7745,9455,13506,14472,5328,1242,72346,89,440,1389,462,183,239,197,94,23,3112,182452,107134,118935,113894,116955,123313,113792,63854,22123,962436
SOS32,25110,12739,13123,14362,17120,20424,17951,8882,2140,131854,91,62,72,58,80,111,99,61,12,647,105,47,98,104,149,534,938,307,31,2316,80,46,84,67,111,530,1142,411,31,2496,652,844,1138,1027,1371,2165,2260,629,86,10173,20,14,12,26,25,97,216,86,5,496,20,7,23,23,36,57,70,10,0,249,15,3,7,8,19,94,128,30,4,312,10,6,9,5,27,6,28,5,0,91,3,4,10,9,6,32,39,18,0,131,0,0,0,0,0,0,0,0,0,0,904,973,1367,1269,1744,3519,4815,1504,161,16262,990,1037,1442,1329,1824,3633,4923,1567,172,16910,11,43,221,60,21,34,46,22,0,465,26107,13822,14786,15750,18971,24095,22915,10470,2314,149226
SOS33,76103,43416,39032,49042,63561,69049,54392,24195,4846,423641,146,144,162,125,175,224,247,133,33,1389,214,287,372,323,407,1067,1763,481,39,4953,192,140,228,186,240,986,1683,475,21,4152,2015,3493,5202,4803,5789,6681,5068,1353,189,34606,56,62,64,56,90,205,412,124,5,1076,36,46,107,83,76,180,169,25,5,734,27,15,30,41,64,137,225,40,5,588,18,23,38,17,30,38,27,8,0,195,24,15,35,28,31,72,78,20,5,303,0,0,0,0,0,0,0,0,0,0,2586,4079,6076,5528,6724,9370,9425,2531,279,46599,2728,4224,6244,5653,6900,9596,9677,2665,316,47985,37,260,783,304,147,92,112,38,3,1770,78869,47906,46059,55002,70611,78733,64173,26888,5166,473398
SOS37,0,6,20,46,38,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,13,21,11,11,0,3,0,0,60,0,0,3,0,4,0,0,0,0,11,6,6,35,33,25,30,5,0,0,139,0,0,3,12,0,0,3,0,0,19,0,0,3,9,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,71,61,46,34,14,0,0,240,6,20,71,61,46,34,14,0,0,240,0,5,15,6,0,0,4,0,0,24,6,28,102,114,79,34,23,0,0,385
SOS40,207729,146921,171196,162406,150027,142708,119002,70429,32119,1202545,148,132,130,158,160,205,278,199,121,1529,83,165,219,167,154,168,132,47,6,1144,94,173,344,209,148,212,132,34,7,1349,22,75,129,91,117,108,86,16,0,648,3484,4914,4966,3492,3203,3182,2577,1627,990,28429,39,50,83,72,85,74,66,18,3,487,9,18,23,31,25,51,37,8,0,204,54,68,77,62,65,86,44,8,0,463,6,13,13,16,18,11,6,0,0,88,0,0,0,0,0,0,0,0,0,0,3797,5481,5853,4138,3820,3887,3081,1755,1011,32818,3946,5608,5978,4294,3977,4094,3359,1951,1133,34344,158,228,418,297,284,400,415,132,42,2365,211832,152760,177588,166999,154288,147206,122775,72511,33295,1239255
SOS41,56733,33517,36204,35529,39259,41578,40222,25782,10249,319061,79,64,71,78,89,125,157,113,52,834,24,27,28,43,66,83,99,26,3,404,56,49,81,100,111,277,309,87,0,1064,21,20,49,38,58,84,97,18,0,383,1154,1721,1883,1464,1774,2180,1843,748,310,13075,10,8,20,22,29,65,66,9,3,236,17,10,28,19,23,51,91,26,0,262,12,10,19,13,19,22,19,3,0,123,0,0,4,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1294,1840,2113,1696,2083,2769,2528,922,322,15564,1370,1906,2191,1773,2175,2894,2683,1038,373,16397,21,80,346,162,62,58,55,18,11,814,58125,35500,38733,37463,41496,44528,42956,26839,10636,336274
SOS42,7928,4326,4695,4829,5796,7598,7261,3864,1521,47824,17,18,12,21,32,27,32,24,12,195,0,0,3,0,10,25,37,13,0,98,11,4,3,10,18,57,118,9,0,233,0,0,10,0,7,25,24,3,0,80,183,299,289,282,390,649,598,218,66,2984,10,5,12,4,12,16,32,0,0,89,0,6,0,6,5,30,23,10,0,84,8,8,4,6,3,23,3,0,0,59,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,209,325,330,316,450,816,851,255,71,3621,225,340,343,334,481,845,881,288,79,3816,0,0,6,3,0,11,7,0,0,42,8160,4674,5043,5167,6282,8455,8150,4153,1601,51683
SOS43,24330,13896,11900,15302,20278,23352,18382,7752,1636,136833,31,47,43,44,50,80,68,35,9,414,31,23,47,77,36,72,81,17,3,382,34,41,107,83,88,169,173,36,4,742,9,28,117,130,162,140,73,10,0,665,505,1002,1844,1372,1506,1748,1228,373,64,9637,12,12,28,49,40,56,38,8,4,245,4,3,14,18,35,49,51,12,0,191,8,11,12,24,18,29,13,3,0,116,0,0,3,0,0,12,0,0,0,21,0,0,0,0,0,0,0,0,0,0,609,1123,2173,1742,1884,2269,1657,457,69,11996,639,1166,2224,1793,1938,2355,1730,488,76,12404,7,64,153,73,34,15,27,12,3,392,24978,15130,14280,17164,22253,25719,20137,8252,1723,149628
SOS47,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,25,0,0,0,15,7,3,0,0,0,25,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
SOS50,381284,236434,277301,282555,248932,215014,171134,94852,38316,1945823,284,218,308,317,293,421,458,323,146,2761,62,202,288,244,219,222,199,66,11,1518,91,137,276,224,215,284,240,64,9,1534,42,72,154,188,205,252,152,29,3,1104,16,32,85,93,139,114,69,25,5,570,5940,7515,7818,6042,5486,5123,4101,2534,1381,45952,20,20,44,44,57,93,125,28,7,434,34,29,74,65,44,48,28,8,0,319,20,23,56,33,23,21,15,4,0,188,10,4,8,10,10,17,17,5,0,77,6234,8028,8789,6936,6400,6178,4942,2763,1420,51692,6519,8244,9097,7254,6693,6600,5398,3089,1563,54455,366,511,1024,632,635,910,788,267,78,5203,388166,245189,287428,290440,256255,222529,177310,98207,39957,2005481
SOS51,76891,38757,46540,48489,46031,42090,32808,18017,6892,356514,118,99,117,123,137,176,201,128,48,1150,134,68,135,172,179,330,444,62,6,1525,196,34,170,189,204,469,688,102,6,2067,85,37,149,195,215,404,390,42,3,1520,35,25,64,85,105,256,321,80,0,977,2178,2992,5084,4467,4957,6027,5652,2209,468,34032,20,16,37,32,45,129,115,25,0,416,18,19,56,35,30,72,15,13,0,262,21,3,0,16,10,21,22,3,0,100,0,4,0,0,0,0,10,0,0,8,2679,3193,5696,5199,5748,7704,7655,2532,488,40900,2799,3299,5811,5319,5883,7877,7859,2664,541,42049,44,215,432,170,89,124,89,35,7,1208,79733,42262,52783,53975,52008,50096,40752,20711,7447,399776
