SOS_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
SOS30,36669,140674,115527,834607,9163,1136634,1196,7013,4147,94858,1389,108597,126679,3405,6277,9625,764,146752,7704,1712,900,3394,87,13797,26775,8710,5653,16994,264,58399,329950,124058,95709,787773,9860,1347348,44643,1586,8015,1960,295,56495,13796,2369,1786,7477,133,25566,41274,14025,10410,131842,1198,198753,10372,3996,1975,11752,143,28236,6873,1443,754,2284,67,11422,78577,2566,1759,2013,213,85127,70857,28552,20198,281443,2124,403174,35769,13027,6397,53633,601,109426,22407,175,1024,224,50,23886,3484,1202,590,3103,34,8412,1881,351,237,554,23,3043,4202,1952,1161,6135,66,13520,41175,6037,4256,2510,356,54335,30335,10481,7615,3864,331,52622,13543,2675,2148,7747,130,26239,8934,1098,1180,3095,114,14419,27691,2890,1379,645,312,32913,83984,30575,23109,228646,1815,368127,6645,827,499,1026,64,9061,22063,2816,2236,899,97,28113,14445,1429,1129,3587,102,20698,6719,630,459,637,32,8481,28454,822,1475,780,135,31660,11107,2698,1795,10285,102,25984,322372,34887,34465,64059,3469,459249,18721,2126,1937,16813,176209,215809,1195081,261901,208564,1747561,202563,3615673
SOS31,5277,29126,23717,300926,4109,363159,199,2096,1265,60738,937,65237,5825,329,534,2959,70,9713,888,254,98,558,10,1807,6376,1860,1220,4146,87,13696,61145,26982,20877,269587,4373,382967,10787,280,1976,587,106,13732,2231,347,285,1866,27,4743,8321,3427,2476,50999,503,65725,839,443,150,1513,34,2973,1091,258,126,507,19,1999,5868,305,174,441,27,6817,11985,5366,3798,79981,810,101948,6572,2735,1022,14870,201,25388,1040,22,114,26,6,1212,190,78,38,366,10,677,102,36,8,61,0,208,1373,683,305,2711,38,5114,5108,1116,840,759,70,7898,4598,2081,1519,1167,65,9438,1788,441,299,1597,36,4158,932,193,149,752,12,2039,1319,248,115,134,22,1832,15718,6502,4898,70278,649,98042,416,92,38,152,11,712,3556,407,373,184,26,4546,1918,247,143,977,23,3313,565,82,61,111,0,819,1410,37,109,52,8,1609,1930,570,363,2547,45,5460,32919,5796,5000,24926,830,69465,2487,488,429,7880,69005,80290,161189,54015,41838,622964,79320,959325
SOS32,724,4172,3230,44776,738,53634,27,352,172,14332,313,15200,361,41,57,418,10,884,130,32,9,89,3,263,1076,284,174,489,10,2029,9659,3971,2952,39639,792,57014,776,17,159,85,12,1049,343,56,42,281,3,724,1463,533,387,7503,84,9965,96,54,15,222,9,395,139,38,20,53,4,256,320,40,22,64,4,450,1828,796,611,12269,161,15668,973,468,179,2231,42,3898,68,0,7,3,0,77,25,18,5,52,0,103,21,3,3,10,0,36,219,75,35,362,12,702,395,101,81,76,3,657,631,256,197,118,16,1209,278,85,34,250,7,658,120,22,15,96,3,256,69,16,5,27,0,117,2428,1032,708,10453,138,14752,50,9,11,16,0,88,417,48,26,29,0,519,193,25,13,133,3,369,44,6,10,27,0,83,64,4,5,0,3,71,252,67,60,358,5,747,3703,875,722,7768,233,13293,271,83,72,1149,11589,13164,21148,7977,5883,100166,13590,148766
SOS33,2336,13550,11401,153550,1966,182814,79,644,379,15824,262,17188,1534,161,217,1194,25,3128,470,149,53,329,12,1013,3605,1140,702,1981,56,7487,30215,12711,10341,133607,2159,189034,1837,47,511,140,39,2565,1100,183,151,860,19,2311,4730,1745,1388,28519,288,36676,380,213,78,672,3,1342,486,133,42,177,3,841,968,106,100,173,8,1360,5724,2733,2071,41097,448,52069,3603,1720,739,8565,135,14764,167,9,24,22,0,220,98,41,23,149,7,315,42,16,4,25,0,87,827,347,204,1592,19,2983,1310,308,209,238,21,2077,2109,820,696,420,37,4081,938,215,164,752,17,2089,415,103,82,339,17,956,274,60,41,24,0,402,7380,3250,2476,37051,410,50571,190,46,13,61,0,308,1621,199,169,83,11,2082,642,112,83,500,12,1361,121,25,36,49,0,228,515,15,54,12,3,598,1019,266,191,1267,29,2774,11987,2419,2291,7737,299,24729,760,231,202,3804,46280,51280,67725,25537,20298,306952,51117,471627
SOS37,0,8,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,14,4,0,32,0,56,16,0,0,0,0,16,0,0,0,0,0,0,5,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,17,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,220,220,45,10,7,74,218,354
SOS40,14659,44099,33229,266490,3312,361788,243,1358,695,17814,385,20507,51036,900,1853,1570,254,55613,4783,852,484,2101,45,8264,8556,3061,1935,5797,96,19459,106971,43102,33498,253233,3913,440719,14112,405,1893,494,82,16983,2686,508,416,2287,25,5931,13984,5981,4106,53673,493,78235,18382,3850,1767,11915,230,36148,2719,613,287,1161,33,4818,39400,685,509,460,82,41135,18430,7142,4951,61476,589,92588,39856,10007,4204,33827,556,88448,4025,81,266,121,9,4507,2838,784,429,1263,20,5344,924,161,104,421,5,1620,2616,837,499,2416,41,6404,1360,507,276,361,32,2534,2179,1143,799,502,23,4638,9698,1650,1055,4161,108,16669,4126,397,429,885,50,5885,309,112,33,17,0,472,22938,8880,6896,58801,599,98109,4967,561,334,798,29,6691,3624,496,423,193,12,4752,3217,320,285,789,20,4630,2680,184,175,101,13,3156,19410,695,745,517,107,21482,4305,989,739,3066,35,9133,134454,10239,8028,15317,1178,169212,6245,463,406,4246,39060,50421,483820,87543,63819,552646,49061,1236891
SOS41,2114,11171,8785,109954,1737,133766,58,454,221,11050,219,11997,1799,85,149,333,13,2390,634,165,63,424,15,1308,2838,907,607,1993,36,6389,27825,11509,9076,98022,1808,148242,2566,79,446,124,35,3247,528,129,81,674,17,1422,3804,1806,1260,26633,347,33851,1165,330,130,1206,30,2860,355,120,67,241,9,793,1620,94,53,115,11,1893,4214,1709,1177,19947,249,27287,3089,1233,529,5029,99,9979,162,12,46,22,0,241,128,63,20,155,4,366,68,13,7,30,0,113,333,146,70,451,7,1009,579,175,128,106,8,995,591,326,261,176,13,1367,1000,283,168,908,18,2381,357,63,53,148,5,625,63,12,6,3,0,87,6119,2409,1838,21489,276,32125,244,48,21,82,3,399,766,117,102,58,5,1041,459,81,37,227,11,813,199,24,30,45,3,306,605,41,42,37,7,736,1021,254,149,926,15,2370,10374,1799,1415,4074,203,17868,621,130,102,2444,16111,19407,61964,20664,15515,217129,20188,335457
SOS42,250,1435,1151,17540,288,20662,4,63,21,2824,89,3002,106,9,20,53,3,186,77,22,5,24,4,129,474,96,88,263,22,946,3891,1458,1254,15226,367,22199,261,7,32,3,0,300,81,14,11,99,3,202,527,241,191,4161,69,5194,59,13,15,64,0,148,68,18,5,29,0,126,101,11,0,24,0,136,533,207,157,3144,37,4075,267,124,50,468,10,923,9,0,3,0,0,18,15,4,0,29,0,47,7,0,0,3,0,9,40,20,4,35,0,107,70,13,21,11,0,118,81,30,24,24,0,161,175,45,16,117,0,355,56,14,7,20,0,94,3,0,0,0,0,8,728,308,251,3279,68,4631,19,9,0,15,0,45,118,14,5,7,0,148,31,5,0,35,0,67,14,0,0,4,0,18,27,6,4,4,0,45,144,35,26,138,4,339,936,211,151,529,39,1871,46,24,11,412,3348,3848,7405,2579,2022,35494,4142,51642
SOS43,789,4164,3521,50973,644,60089,17,120,52,3547,102,3830,456,28,49,135,15,678,219,57,32,156,3,460,1247,383,280,689,22,2629,10543,4109,3581,42898,731,61865,491,12,147,52,13,704,221,42,38,283,3,595,1626,718,636,13901,144,17025,796,109,60,487,23,1476,203,63,8,97,4,377,346,29,27,35,5,441,1565,629,432,8728,106,11462,1642,484,181,2066,42,4412,41,0,15,12,0,58,55,26,13,80,3,174,32,6,7,23,0,67,135,42,44,121,3,347,185,60,27,24,7,309,286,155,97,81,6,619,394,99,71,372,4,941,176,26,18,77,3,302,21,4,0,6,0,32,2174,870,670,9999,122,13823,101,22,6,39,0,169,245,28,34,20,5,327,132,23,23,91,4,273,34,8,6,7,0,55,568,11,27,14,13,632,358,77,71,371,7,888,3509,682,552,1510,65,6316,196,41,45,1100,11033,12418,23334,7575,6233,99465,12621,149237
SOS47,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,8,7,13,0,0,8,6,34
SOS50,28287,90857,74661,361200,4260,559261,575,2722,1695,31754,699,37446,101070,2242,4247,2937,522,111021,9139,2601,1408,7403,145,20693,20093,5500,3732,10049,183,39558,286096,81242,64814,299968,5402,737527,33922,535,2663,592,132,37847,9366,1087,931,2416,71,13867,23022,5053,4237,23805,359,56474,5880,1999,1060,5162,70,14169,3004,543,353,835,31,4767,66703,2255,1599,1690,189,72444,67326,14882,10927,82283,983,176398,44640,14634,7144,44490,613,111529,7461,114,404,118,16,8110,1887,431,240,505,9,3071,6333,1088,690,2228,60,10402,1923,671,368,1338,24,4322,17791,2483,1619,781,179,22849,12542,4924,2953,1448,101,21960,11532,1829,1531,4038,97,19023,4410,356,601,727,37,6132,2227,318,94,55,19,2713,67644,16959,13122,74413,921,173060,6337,554,350,635,40,7908,22927,2184,1897,571,100,27673,7566,617,556,1704,56,10505,5449,468,303,355,24,6609,20411,511,931,412,68,22328,11260,1988,1396,4093,64,18805,246912,18960,18991,20337,1931,307127,12089,991,834,5148,76150,95213,948214,161077,127978,672926,90077,2000278
SOS51,3258,16472,14129,108902,1442,144205,77,1213,612,23200,552,25653,3029,154,244,530,28,3987,563,244,143,854,13,1814,3657,1180,710,2417,60,8023,41261,15661,12890,90321,1756,161898,5945,87,605,176,32,6854,1257,157,146,573,10,2142,3919,1064,920,7478,106,13495,397,184,88,632,10,1307,301,79,37,130,7,566,3073,173,127,259,18,3644,8287,2684,2000,22246,278,35492,4207,1846,844,8973,111,15984,401,5,52,14,5,476,138,31,24,52,0,247,229,67,38,211,3,553,204,121,65,199,5,593,4454,673,510,245,91,5977,2615,1150,664,391,39,4862,1428,320,267,960,25,2990,409,47,71,165,7,702,380,37,27,21,4,477,9837,3243,2618,20542,256,36491,256,35,25,63,5,377,2984,330,293,123,10,3734,818,82,81,376,10,1361,257,22,40,26,3,352,694,21,63,13,12,801,1495,352,235,947,16,3040,18237,2481,2575,5328,313,28936,1114,222,189,1996,36066,39596,98205,29176,23562,207492,40129,398565
SOS52,439,2330,1907,16213,372,21265,22,198,62,9933,220,10440,219,12,10,61,5,307,81,38,5,111,8,243,519,160,95,248,3,1024,6288,2256,1817,13274,397,24037,686,0,50,8,9,761,142,20,15,54,4,233,572,143,144,1031,33,1920,42,18,11,53,0,121,58,17,6,11,0,92,250,30,16,38,0,340,1196,377,277,3261,71,5184,499,210,101,937,23,1763,19,0,3,0,0,26,10,0,5,7,0,21,31,5,3,8,0,47,34,12,4,19,0,70,445,63,67,31,14,623,315,127,83,27,13,568,177,42,28,113,4,369,51,10,13,11,0,83,39,4,0,0,0,39,1499,484,390,2959,64,5398,38,7,4,9,0,57,269,25,29,11,0,337,101,17,3,50,0,173,23,7,4,3,0,40,66,0,9,0,5,81,236,50,32,145,3,467,1886,322,255,615,59,3132,147,30,36,372,7530,8110,12794,4109,3164,37085,8572,65723
SOS53,1447,7362,6687,51329,723,67551,46,267,154,7058,124,7659,1200,48,89,180,14,1545,523,157,93,545,14,1330,2195,636,448,1069,28,4380,23128,7079,6311,42661,862,80039,1125,12,130,28,17,1305,704,56,73,261,3,1100,2246,523,518,3668,56,7017,222,89,38,233,9,586,166,41,30,70,5,309,661,80,47,85,8,878,4454,1217,967,10357,170,17158,2639,973,476,3950,83,8124,86,0,14,3,0,107,46,7,12,23,0,94,153,43,23,107,0,329,143,62,26,115,0,344,1299,124,102,46,15,1594,1203,396,289,136,19,2042,640,140,100,358,11,1245,163,13,30,84,3,291,89,7,5,3,0,101,5183,1508,1286,10218,147,18339,150,40,9,34,0,235,1312,110,100,38,0,1563,341,40,21,173,3,576,81,19,17,22,0,132,409,15,23,13,0,461,784,154,133,462,4,1535,6718,1077,997,1761,117,10676,365,86,56,784,31956,33246,46904,13055,11083,96691,33819,201544
SOS57,20,58,69,409,3,557,0,0,0,41,0,45,21,0,6,0,0,25,3,0,0,11,0,14,27,11,4,13,0,54,334,60,75,381,3,853,47,0,0,0,0,46,8,0,0,0,0,11,24,11,0,56,0,97,0,3,0,5,0,10,3,0,0,0,0,5,17,0,0,0,0,17,97,8,6,142,0,259,32,12,6,36,0,73,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,5,31,0,0,0,0,36,18,0,4,0,0,29,9,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,132,15,11,106,0,266,3,0,0,0,0,0,9,0,0,0,0,6,6,0,0,0,0,6,5,0,0,0,0,5,5,0,0,0,0,5,7,3,0,7,0,16,139,9,6,16,0,176,17,0,0,7,1357,1376,803,107,119,850,1369,3250
SOS60,1019,6726,4491,58457,677,71372,33,246,117,7299,98,7793,8023,120,233,298,33,8704,346,104,40,207,7,709,1388,574,370,1335,11,3687,10924,6538,4372,58985,827,81644,1108,36,244,39,3,1429,397,89,73,315,12,877,1740,640,425,4189,46,7043,804,214,71,607,9,1704,203,107,28,135,5,476,3384,83,82,105,5,3664,2083,1377,839,16554,168,21015,1334,545,177,1802,23,3884,506,18,54,27,3,615,113,37,22,63,0,234,38,7,4,16,0,69,85,66,23,115,0,292,155,101,62,87,0,405,387,221,134,165,3,912,929,312,138,778,7,2165,286,42,36,126,3,502,32,23,11,3,0,72,2631,1610,1057,12926,97,18321,172,36,17,42,0,271,440,77,54,45,0,613,393,48,32,122,3,590,366,15,10,16,0,409,957,16,17,22,3,1014,461,159,105,525,6,1261,16004,1621,1157,2783,146,21716,650,67,39,1147,7798,9702,48505,12372,8163,118399,9554,196998
SOS61,880,6240,4542,80561,1205,93431,20,311,170,11417,129,12042,2239,70,104,344,14,2778,129,75,12,120,0,342,1876,707,470,1753,16,4818,11202,5907,4343,74656,1413,97519,980,40,318,57,17,1402,287,54,40,358,8,749,1380,603,305,4852,66,7202,222,89,20,233,11,572,162,79,23,90,4,355,1611,74,74,81,12,1843,1985,1022,672,16951,202,20835,760,435,114,1527,28,2861,199,9,25,15,3,245,63,35,10,44,0,151,21,12,3,18,0,55,106,48,16,129,5,303,229,114,71,94,3,506,396,229,152,180,7,969,471,144,80,406,0,1108,189,19,16,76,0,299,63,20,7,11,0,102,2765,1414,1023,14668,151,20017,78,15,8,35,0,143,330,57,48,30,4,464,252,26,25,140,3,454,198,20,19,20,0,257,338,14,39,5,0,390,450,118,78,409,10,1058,9713,1117,908,2489,126,14361,409,82,63,1906,9116,11584,33098,11036,7930,154517,11917,218497
SOS62,105,891,690,11184,211,13076,7,32,18,1577,24,1661,139,5,23,30,0,204,30,15,0,22,3,63,322,75,59,166,4,626,2174,897,610,10354,238,14269,106,0,25,4,0,129,78,10,8,40,0,136,305,92,55,731,17,1212,21,8,9,20,5,65,45,9,4,9,0,69,66,5,7,11,0,83,386,153,126,2666,48,3377,110,56,12,192,0,375,21,0,8,0,0,36,11,0,0,3,0,8,4,0,0,0,0,8,11,5,5,9,3,37,36,15,10,17,0,76,62,29,18,24,0,132,76,33,14,56,0,169,37,7,3,12,0,56,3,0,0,3,0,6,551,216,157,2142,37,3104,6,0,0,0,0,8,76,11,11,5,0,105,30,7,0,12,0,51,12,0,0,3,0,23,17,4,4,0,0,26,106,16,16,96,0,233,834,172,144,405,21,1576,43,10,0,237,1614,1910,4553,1591,1162,21640,2096,31039
SOS63,407,3163,2580,39111,547,45812,27,128,66,5006,108,5337,392,21,49,149,9,619,73,35,10,56,3,178,1101,363,287,798,17,2561,7388,3034,2366,34598,660,48043,276,6,104,35,3,422,250,43,19,172,3,490,1142,349,237,2509,48,4283,110,52,26,105,5,289,118,41,15,61,0,238,196,23,19,40,0,275,1369,609,381,8501,109,10969,408,206,55,658,17,1352,58,4,9,3,0,79,20,8,6,33,0,62,7,0,0,0,0,14,90,29,20,88,3,228,167,35,22,40,0,269,323,143,99,73,5,643,304,87,41,228,5,662,113,19,19,45,0,192,20,9,3,3,0,38,1765,763,532,7601,101,10748,20,12,3,7,0,49,200,26,43,11,0,281,119,14,15,55,0,198,37,3,3,7,0,48,69,5,14,0,3,86,329,55,50,230,6,663,2706,590,533,1299,58,5190,94,36,43,907,5496,6578,15219,5647,4391,73895,6815,105965
SOS67,0,10,7,85,0,103,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,12,17,83,0,127,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,22,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,22,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,19,0,0,0,0,110,110,44,19,22,166,110,366
SOS70,1437,3953,4025,26323,249,35976,64,635,339,10424,406,11866,4497,192,322,718,41,5776,109,49,20,103,5,290,683,295,189,571,9,1743,8055,3193,2963,21732,304,36237,5695,125,567,209,24,6615,434,57,76,219,0,781,1199,416,389,3280,31,5322,2008,619,289,1014,29,3964,150,33,22,54,0,260,3857,76,58,58,9,4049,2155,803,702,7752,62,11476,1087,373,172,1525,19,3175,323,5,27,10,3,361,76,14,8,53,3,158,33,9,3,19,0,66,96,49,21,170,0,342,575,117,128,94,4,919,479,232,130,85,6,938,340,93,52,244,0,735,164,25,24,71,0,284,141,28,4,31,6,207,1947,778,685,6444,43,9908,79,19,0,21,0,117,372,66,42,30,3,514,497,32,30,85,9,644,540,28,26,22,3,613,1205,33,89,26,3,1358,292,64,68,298,0,728,16903,1215,1529,3053,171,22868,669,54,41,498,14220,15488,47066,7853,7374,56951,15399,134643
SOS71,358,1020,981,8340,93,10801,13,219,128,18446,293,19100,584,22,45,140,7,795,28,3,6,22,0,65,264,66,69,145,4,546,2461,939,799,6580,130,10903,965,17,112,28,9,1137,129,14,18,51,0,218,527,130,108,1134,14,1897,75,39,12,64,3,192,38,12,7,22,0,69,1136,14,15,17,0,1184,689,280,180,2437,29,3622,288,93,49,400,12,837,78,5,13,0,0,96,11,3,0,19,0,34,3,3,0,3,0,11,13,19,6,28,3,74,434,67,55,48,5,607,228,58,35,28,6,354,112,20,20,81,3,237,45,7,6,18,0,79,173,10,7,5,3,202,642,239,189,2004,30,3104,9,5,0,4,0,21,132,14,12,7,0,163,121,7,8,22,0,151,100,3,0,9,0,118,129,3,3,4,0,141,82,23,17,80,0,202,4200,338,312,825,57,5731,208,19,9,236,4738,5210,11506,2088,1811,32170,5316,52888
SOS72,68,331,281,2924,51,3655,9,56,29,16847,196,17132,94,5,4,57,0,161,16,3,4,7,0,31,117,30,16,44,3,212,705,291,251,2392,38,3683,117,3,28,8,0,150,51,6,4,20,0,80,152,42,30,330,6,559,16,5,3,31,0,52,11,5,3,9,0,29,58,3,0,5,0,66,170,64,52,852,10,1147,79,35,8,91,0,217,17,0,0,0,0,17,0,0,0,3,0,10,0,0,0,0,0,3,11,10,0,8,0,29,65,10,6,4,0,85,60,22,18,8,0,103,33,4,8,20,0,60,14,0,0,0,0,17,5,0,0,4,0,16,190,83,57,675,0,1011,9,0,0,0,0,10,28,4,4,0,0,38,27,3,0,11,0,40,14,4,0,0,0,21,18,0,0,0,0,18,22,9,3,30,0,62,582,94,68,299,12,1052,29,4,4,153,1851,2037,2206,646,508,22003,2147,27506
SOS73,190,1136,1031,11094,163,13616,15,118,76,8810,152,9167,219,13,30,106,14,387,27,9,6,20,0,73,300,103,62,159,3,630,2376,1048,861,8792,168,13238,253,3,61,25,4,341,104,23,5,50,3,190,408,141,96,1263,14,1932,71,25,17,76,3,195,37,10,4,16,0,59,72,7,3,10,5,98,529,202,175,2765,47,3718,238,108,49,432,11,833,20,0,6,7,0,32,4,0,0,16,0,20,7,3,5,4,0,19,53,17,6,39,5,110,108,22,23,22,0,180,150,54,41,25,9,271,75,20,17,55,0,166,32,6,9,21,0,70,16,0,0,6,0,22,592,248,176,2393,36,3441,13,0,0,9,0,29,77,7,16,9,0,110,64,6,10,37,0,114,9,5,0,8,0,22,201,0,19,0,9,235,77,17,14,94,0,204,1276,187,229,579,65,2335,75,6,14,247,7286,7626,6088,2078,1754,28019,7849,45785
SOS77,0,18,13,83,0,111,0,0,3,4,0,14,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,4,39,14,13,77,3,147,5,0,0,0,0,5,0,0,0,0,0,5,4,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,3,3,27,0,48,0,5,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,16,5,5,25,0,57,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,22,3,0,3,0,27,0,0,0,0,149,149,99,35,21,172,155,482
