SOS_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SOS30,268,2348,103,294,155,18,3186,100,3021,173,199,103,16,3614,831,13143,743,1624,568,95,16997,2526,6439,1446,3212,994,127,14748,3637,2603,837,3635,827,98,11634,16638,2775,1070,6432,4166,177,31260,57055,2016,987,14546,4139,306,79046,125850,803,599,21179,7543,411,156383,70917,205,146,10659,2857,161,84941,28506,51,54,4275,959,71,33918,11412,27,17,1916,354,15,13746,5124,15,13,960,157,11,6280,2570,11,6,497,64,7,3156,3628,12,6,1071,237,13,4956,5174,2669,418,3816,1569,1024,14670,334235,36133,6627,74306,24690,2544,478542
SOS31,151,1086,105,173,2466,19,3999,55,1062,139,121,568,9,1956,677,3867,525,1004,942,70,7086,2805,2405,1060,1961,881,111,9220,3875,818,407,2609,699,76,8482,10879,867,453,4403,1011,122,17736,19916,462,289,5804,1100,123,27687,20085,162,116,3801,717,57,24941,6025,37,28,1054,236,14,7394,1609,12,3,308,124,3,2059,533,4,0,128,126,0,791,198,4,6,68,87,0,357,94,4,0,36,50,0,180,172,0,0,215,149,0,549,1353,784,180,1297,1458,303,5378,68424,11578,3316,22974,10610,914,117811
SOS32,12,320,102,55,671,4,1157,10,284,112,34,143,10,596,85,1024,293,284,257,27,1967,293,653,292,546,271,43,2096,319,68,21,561,152,9,1132,817,80,46,695,179,14,1824,1045,42,25,703,143,12,1960,952,6,5,426,94,4,1490,347,4,0,116,31,0,501,103,0,0,41,13,0,159,62,0,0,24,14,0,101,18,0,0,10,21,0,46,17,0,0,11,19,0,45,59,0,0,50,26,0,141,97,119,68,232,432,38,985,4231,2608,972,3788,2458,167,14221
SOS33,20,56,17,233,410,3,742,23,42,29,135,166,0,401,79,111,75,841,402,13,1529,197,90,154,1211,456,24,2125,338,22,10,1254,319,23,1966,833,20,13,1424,331,19,2631,1491,20,5,1591,344,20,3470,1598,8,4,1179,185,19,2996,939,6,0,492,65,7,1514,480,0,0,180,34,3,703,209,3,0,72,33,0,320,105,0,0,42,15,0,172,50,0,0,25,18,0,90,73,0,0,112,67,0,253,154,43,25,1197,1493,90,3009,6593,415,345,10005,4337,223,21910
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,55,687,110,183,32,9,1069,26,1480,223,130,37,14,1911,338,8944,1161,1094,237,110,11884,993,3812,2472,1902,275,104,9553,1329,1539,781,2046,221,42,5967,7737,1833,1102,4722,1158,127,16694,23175,1506,809,10143,1195,114,36949,26640,651,402,8111,874,82,36765,9803,108,62,2489,222,16,12704,2951,24,29,731,71,4,3803,1111,16,16,268,33,4,1448,490,20,3,158,16,0,684,266,13,0,68,5,0,363,344,6,3,183,34,4,578,945,1241,457,1387,442,380,4852,76217,21870,7622,33633,4848,1020,145208
SOS41,35,215,32,109,36,5,431,42,528,70,90,53,8,789,475,2735,263,569,402,38,4483,2226,1543,457,1264,509,59,6058,1601,588,166,1251,291,22,3925,4156,539,161,1763,416,33,7078,5224,200,99,1791,211,26,7552,3325,57,38,806,102,13,4340,621,18,11,170,50,3,872,148,5,7,39,29,0,232,41,3,0,23,35,0,103,22,0,0,16,27,0,69,8,6,0,8,20,0,35,28,0,0,63,51,0,140,290,387,84,464,430,116,1773,18241,6822,1405,8424,2658,337,37887
SOS42,4,71,20,39,36,0,177,3,173,39,27,17,5,265,40,200,85,172,92,3,592,184,78,62,441,89,9,867,158,17,21,285,45,0,528,327,20,14,301,35,0,702,245,3,5,169,23,0,444,124,5,3,78,14,0,222,23,0,0,22,12,0,60,5,0,0,6,8,0,26,0,0,0,8,11,0,19,4,0,0,4,9,0,20,0,0,0,0,4,0,5,0,5,0,14,14,0,33,5,49,17,109,149,15,347,1117,619,265,1690,562,46,4295
SOS43,0,55,41,139,184,8,431,0,66,28,92,44,0,234,40,87,37,495,180,6,851,170,26,34,564,168,12,965,140,5,7,419,98,6,668,309,6,4,455,104,7,888,390,0,3,399,60,3,855,293,0,0,244,42,0,578,101,0,0,73,20,0,197,31,0,0,36,0,0,74,17,4,0,16,13,0,41,6,0,0,11,10,0,30,0,0,0,10,7,0,13,4,0,0,38,15,0,62,19,29,36,378,444,22,933,1534,276,189,3362,1389,67,6822
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,133,704,85,239,40,11,1209,29,1140,144,171,30,12,1532,427,7257,610,1458,241,76,10067,1400,3358,1381,2181,355,74,8747,2638,1295,379,2578,326,53,7266,9388,1784,554,5259,1093,64,18149,28880,1288,379,12692,1507,147,44890,45624,556,290,14987,1545,167,63173,20113,95,63,5293,433,43,26044,7236,18,11,1764,115,16,9162,3153,21,15,797,63,7,4058,1673,19,5,430,51,0,2187,939,12,5,227,27,5,1213,1543,10,0,469,90,8,2124,1801,1142,296,2459,713,485,6892,124981,18710,4229,51005,6632,1168,206721
SOS51,85,230,99,73,1939,10,2436,30,308,112,50,263,4,775,206,1982,305,396,1319,35,4240,626,1424,527,674,729,45,4015,838,745,144,965,548,17,3254,2039,1115,203,1545,800,26,5729,4990,810,168,2719,786,28,9506,5991,241,82,2285,622,29,9257,2303,56,8,586,238,10,3195,929,16,0,210,94,4,1257,441,18,0,105,100,0,664,267,14,5,70,60,3,415,172,5,0,41,41,0,262,286,4,0,164,203,0,664,555,518,136,624,1353,105,3289,19750,7485,1782,10523,9108,309,48957
SOS52,11,399,183,25,197,7,832,8,239,171,21,113,4,563,22,467,238,172,186,12,1093,121,260,144,278,159,14,979,103,124,32,267,84,4,609,219,140,46,332,113,14,862,284,86,25,283,118,5,802,192,27,11,154,73,5,448,63,8,0,34,24,0,132,24,0,3,19,10,0,54,8,3,0,4,8,0,27,5,0,0,11,16,0,34,0,0,0,12,6,0,17,13,12,0,35,79,0,131,36,143,61,161,369,13,782,1109,1915,918,1806,1564,76,7380
SOS53,0,179,227,122,179,4,708,5,124,85,56,88,4,362,22,92,100,376,248,9,853,63,32,50,382,190,8,730,83,17,6,352,183,4,641,127,17,18,426,190,7,790,244,17,12,467,182,11,926,388,7,0,416,106,4,926,211,0,0,223,49,4,478,114,0,0,94,25,0,233,67,0,0,40,11,0,123,27,0,0,30,14,0,67,10,0,0,17,13,0,40,19,0,0,89,110,5,220,59,51,67,546,986,33,1731,1436,537,572,3630,2569,80,8827
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SOS60,11,121,15,31,7,0,178,10,198,30,22,0,3,260,61,1452,151,164,33,14,1878,176,872,388,374,70,14,1893,197,422,140,346,33,9,1142,629,485,183,666,72,20,2047,1998,308,133,1337,140,21,3941,4343,157,54,1770,207,23,6548,2571,18,20,865,109,6,3592,1094,0,3,326,23,5,1460,357,3,7,138,11,0,515,136,3,0,52,5,0,198,59,0,0,24,5,0,93,48,0,0,76,11,0,133,172,211,51,249,80,62,821,11851,4256,1173,6437,810,179,24708
SOS61,15,117,39,50,50,4,270,16,251,70,44,19,0,394,163,1479,249,358,101,33,2383,787,969,448,767,147,37,3157,879,523,278,947,98,20,2749,2544,641,313,1596,195,36,5322,4100,216,74,1911,208,29,6539,2925,45,21,984,121,15,4118,760,8,7,212,22,4,1011,160,7,0,51,7,0,222,34,4,0,18,3,0,56,9,3,0,13,5,0,32,6,0,3,3,0,0,12,8,0,0,32,3,0,44,184,224,69,289,106,78,953,12586,4485,1565,7271,1100,253,27269
SOS62,11,11,0,22,59,0,102,3,13,17,13,12,0,45,30,51,35,47,36,5,198,108,24,30,136,27,9,335,63,8,3,135,19,5,228,163,16,3,196,27,0,400,235,4,3,208,23,4,474,151,0,0,127,7,0,288,52,0,0,35,4,0,95,14,0,0,12,3,0,27,9,0,0,6,0,0,10,0,0,0,3,0,0,5,0,0,0,0,0,0,3,3,0,0,17,8,0,31,23,7,3,73,37,8,148,864,137,98,1021,248,24,2389
SOS63,7,7,6,82,95,3,189,3,0,3,44,16,3,80,15,23,13,247,87,4,392,86,14,13,340,93,10,553,85,4,0,320,69,6,485,202,0,0,383,72,4,664,339,3,7,408,57,3,819,338,0,0,304,28,0,669,124,0,0,71,14,0,205,43,0,0,22,3,0,67,10,0,0,12,0,0,26,3,0,0,6,0,0,9,0,0,0,4,0,0,7,5,0,0,26,9,0,36,24,8,4,227,196,9,473,1284,66,46,2478,750,50,4674
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,6,140,17,5,20,0,196,9,361,7,7,0,6,389,29,692,52,57,37,3,873,107,394,32,131,35,7,705,163,152,42,165,48,5,576,654,218,46,243,730,14,1903,1883,161,36,656,353,12,3095,3329,93,15,1031,250,10,4727,2682,64,9,647,113,9,3524,1620,8,0,291,53,3,1976,704,3,0,109,19,3,844,273,0,0,58,16,0,354,134,5,0,26,11,0,168,137,4,0,129,80,0,346,223,335,29,219,225,44,1081,11940,2631,282,3769,1998,125,20748
SOS71,6,376,276,5,199,19,886,0,352,103,0,36,7,504,12,512,160,23,90,6,801,28,341,84,43,115,7,617,25,151,48,33,58,0,320,103,153,36,65,112,0,469,410,58,28,132,110,4,733,728,43,7,264,69,8,1125,570,21,0,230,64,0,883,272,6,0,106,36,3,422,115,0,0,31,19,0,172,56,0,0,20,15,0,92,21,0,0,10,8,0,44,24,0,0,19,30,0,71,91,205,40,75,412,15,833,2469,2218,796,1048,1382,61,7971
SOS72,3,845,346,10,185,18,1404,0,462,164,3,170,6,814,0,376,113,13,161,0,668,0,213,64,11,84,6,374,0,46,21,16,88,0,169,4,37,12,24,43,0,121,10,17,5,31,43,0,108,24,10,0,14,29,0,78,14,6,0,14,9,0,39,6,0,0,7,3,0,16,3,0,0,0,0,0,6,4,0,0,3,0,0,10,0,0,0,0,3,0,10,0,0,0,6,16,0,28,4,136,61,42,287,10,541,73,2156,797,184,1133,43,4379
SOS73,0,225,241,19,91,14,589,0,86,42,3,23,0,160,0,39,37,34,80,3,200,0,30,12,34,47,0,122,3,12,6,49,54,0,129,8,19,4,78,168,3,271,27,7,4,97,77,0,214,74,0,0,122,68,3,268,84,0,0,89,25,0,202,76,0,0,35,10,0,124,24,0,0,34,13,0,75,9,0,0,8,7,0,21,9,0,0,0,8,0,16,6,0,0,30,45,0,84,12,61,65,146,356,15,654,324,475,409,781,1076,42,3111
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,13,421,15,39,21,0,514,0,468,42,23,7,3,555,34,3234,107,164,42,12,3593,94,1188,170,306,71,9,1837,75,597,71,297,46,11,1091,295,646,112,462,510,3,2031,1108,603,182,900,559,9,3366,6723,648,185,2604,635,13,10814,9707,252,45,2694,355,10,13057,5980,42,16,1527,215,13,7803,2573,14,8,647,83,7,3328,981,11,3,313,35,0,1341,426,10,0,117,14,3,564,588,4,3,219,28,6,842,408,501,66,463,204,117,1755,29012,8639,1027,10766,2824,213,52476
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,27
SOS83,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,4,0,0,0,0,5,0,6,0,0,0,4,0,0,7,0,4,0,0,0,0,7,0,0,0,3,0,0,14,0,0,0,8,6,0,12,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,9,0,15,8,9,0,27,25,0,65
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,9,0,0,23,0,35,0,13,0,0,3,0,26,0,23,0,3,4,0,32,0,23,0,5,3,0,32,0,0,0,11,0,0,13,0,3,0,6,0,0,12,0,3,0,10,0,0,13,0,0,0,13,7,0,16,0,0,0,5,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,10,6,0,24,0,86,5,65,54,0,213
SOS92,0,7,0,3,11,0,21,0,0,0,3,0,0,4,0,8,0,17,3,0,27,15,5,0,17,7,0,40,8,0,6,23,0,0,40,15,15,3,23,7,0,69,30,6,0,14,4,0,63,16,0,0,5,5,0,24,3,0,3,5,4,0,11,4,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,5,14,0,38,96,49,14,129,59,0,349
SOS93,0,0,23,4,0,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,6,0,0,4,6,0,0,0,0,0,8,9,0,0,4,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,28,22,4,0,71
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
