SOS_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOS30,115,38,23,25,113589,113797,2694,210,70,65,119330,122368,69025,3867,3970,204,178573,255643,139644,9664,14673,493,78896,243362,136359,12280,26739,1290,49070,225732,119110,9368,30363,2949,27627,189420,103001,6343,23990,6205,11969,151506,59013,2499,9738,9180,3979,84410,14754,473,1744,8078,1075,26120,2057,132,319,118,2024,4647,645776,44866,111623,28605,586128,1417003,162,31,13,23,109576,109809,5216,448,129,68,117445,123301,92142,6799,6569,413,163941,269863,152504,13949,21780,1483,71733,261455,139778,15583,39338,4193,44172,243062,118164,11282,44620,10451,22804,207333,94540,6558,35257,23411,9605,169375,43246,2070,14625,34364,3444,97742,7458,292,3183,30156,1464,42553,1737,112,295,475,1645,4264,654945,57133,165805,105045,545839,1528766,283,68,35,47,223170,223606,7907,656,202,126,236773,245667,161171,10662,10538,619,342516,525498,292149,23610,36450,1972,150627,504823,276135,27864,66077,5486,93241,468803,237276,20652,74985,13406,50436,396753,197545,12902,59248,29621,21575,320885,102260,4568,24362,43536,7424,182152,22209,770,4926,38236,2541,68675,3791,242,611,598,3670,8911,1300722,102003,277429,133648,1131964,2945773
SOS31,26,9,4,6,28715,28763,778,79,26,13,24819,25714,16572,1071,950,66,39089,57751,29165,2709,3575,137,19515,55103,31350,3583,7354,441,14654,57382,35170,3405,10278,1126,9863,59842,37046,2689,9552,2634,4248,56172,20816,968,3852,3604,1490,30727,4801,175,627,2801,366,8774,775,33,73,37,979,1902,176516,14721,36290,10864,143742,382130,29,19,11,5,26826,26886,1424,121,33,23,23725,25326,21080,1983,1466,134,35127,59791,31230,4033,5014,430,17626,58328,31863,4218,9887,1222,12193,59387,36376,3749,12854,3445,6810,63232,34113,2139,10267,8197,2704,57426,15346,663,4052,12058,921,33034,2372,84,761,9745,366,13321,329,33,82,63,613,1121,174165,17035,44431,35324,126905,397857,62,32,8,9,55544,55655,2204,204,57,40,48542,51041,37651,3056,2409,201,74219,117540,60394,6736,8593,570,37134,113431,63216,7798,17244,1663,26844,116765,71549,7152,23134,4568,16671,123073,71156,4831,19820,10830,6952,113604,36167,1627,7903,15659,2414,63758,7170,259,1385,12546,733,22098,1109,62,161,100,1592,3027,350679,31753,80726,46183,270645,779988
SOS32,12,0,6,0,3854,3867,59,8,0,0,3229,3299,1827,140,94,7,5081,7148,3727,307,411,18,3202,7657,4863,538,1156,77,2790,9415,6762,669,2002,262,2149,11846,7767,605,2088,609,917,11986,3693,196,784,627,323,5618,552,23,80,294,77,1026,104,0,19,3,147,280,29364,2487,6627,1901,21760,62143,5,0,0,0,3487,3492,135,10,0,3,2980,3124,2287,196,157,10,4761,7413,4109,423,579,64,2862,8032,5242,511,1360,173,2242,9528,7380,584,2219,613,1412,12215,6926,374,1688,1341,557,10880,2496,84,523,1593,138,4825,242,14,87,922,26,1283,51,6,9,9,94,175,28874,2202,6614,4726,18553,60975,14,0,6,0,7340,7356,191,24,0,4,6205,6421,4118,335,256,18,9838,14563,7835,728,985,79,6060,15692,10105,1047,2510,251,5030,18948,14145,1259,4226,873,3560,24061,14689,974,3778,1954,1476,22869,6189,284,1304,2217,454,10444,792,37,164,1212,107,2310,155,9,34,13,245,452,58235,4685,13245,6630,40312,123116
SOS33,23,4,4,7,14029,14066,345,42,9,5,10861,11261,7226,531,372,24,15571,23724,16239,1148,1584,66,9104,28136,22093,1792,4069,208,8023,36188,26186,1875,6225,653,5823,40774,23590,1554,5614,1474,2417,34645,10298,522,1889,1609,694,15015,1493,49,215,784,126,2673,537,16,41,27,566,1186,108044,7530,20027,4860,67208,207676,22,8,0,0,12821,12859,492,23,13,3,8932,9461,8595,514,459,39,11947,21550,16832,1091,1696,196,6745,26557,22585,1652,4141,516,5383,34269,26051,1465,5567,1573,3212,37865,20314,877,3975,3175,1075,29417,6740,194,1119,3541,242,11838,620,18,149,1669,37,2494,151,13,20,30,335,545,102407,5846,17139,10731,50730,186853,50,8,8,8,26850,26922,838,64,24,4,19796,20722,15820,1037,831,62,27514,45278,33079,2235,3282,259,15842,54695,44678,3440,8209,727,13407,70455,52242,3339,11790,2221,9041,78639,43903,2433,9590,4646,3496,64062,17039,716,3010,5156,937,26853,2118,66,367,2446,160,5159,692,32,60,55,897,1732,210450,13380,37165,15591,117943,394529
SOS37,0,0,0,0,8,8,0,0,0,0,8,8,8,6,0,4,43,69,43,11,7,0,43,102,39,5,11,0,19,77,9,0,9,0,0,26,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,6,17,124,20,29,4,134,317,0,0,0,0,6,6,0,0,0,0,3,3,0,0,0,0,23,23,0,0,0,0,7,7,0,0,0,0,8,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0,4,0,61,65,0,0,0,0,11,11,0,0,0,0,15,15,8,6,0,4,72,87,43,11,7,0,53,111,47,5,11,0,23,79,17,0,15,0,0,34,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,19,24,129,20,36,4,192,380
SOS40,19,13,10,10,35777,35821,829,58,23,14,41286,42208,25578,1074,1224,40,60130,88040,47979,2929,4517,140,26330,81893,43776,3757,8651,458,19093,75735,42321,3267,11181,1125,12492,70387,38357,2248,8920,2482,5063,57073,22975,813,3512,3585,1377,32262,7084,188,677,4202,355,12494,542,37,66,24,381,1059,229458,14394,38773,12090,202270,496985,51,13,9,6,33916,33998,1960,162,54,16,38319,40510,34023,1890,1995,120,51104,89134,50651,4069,6618,508,22954,84806,44289,4644,12376,1414,15548,78270,42496,3815,16135,3887,10090,76421,36183,2192,13415,9176,4319,65282,17971,693,5361,14704,1391,40119,3593,113,1388,15118,543,20757,513,26,99,182,333,1148,231733,17610,57448,45133,178513,530439,73,23,20,18,69688,69824,2787,214,84,26,79604,82717,59598,2962,3219,158,111231,177179,98629,6998,11131,653,49284,166703,88063,8408,21020,1872,34639,154004,84816,7082,27313,5006,22581,146810,74537,4445,22334,11663,9379,122359,40946,1510,8877,18291,2770,72376,10682,298,2064,19316,891,33254,1056,59,165,210,720,2208,461188,32001,96228,57219,380786,1027419
SOS41,4,0,0,0,9468,9479,205,14,4,6,8569,8796,5323,331,247,12,13201,19117,9511,814,1075,47,6684,18136,10910,1100,2478,139,5457,20083,12714,1051,3714,374,3820,21670,14073,869,3177,978,1489,20587,8921,302,1239,1422,504,12394,2345,51,234,1414,117,4153,333,4,25,8,236,604,64352,4526,12188,4401,49554,135016,15,0,0,3,8815,8838,373,39,10,5,7884,8313,6727,593,453,39,11455,19269,10362,1135,1675,105,5885,19165,11468,1453,3495,440,4493,21342,13035,1203,4708,1225,2629,22798,13544,776,3832,3150,1022,22321,7034,240,1502,5288,351,14423,1197,37,340,4758,142,6469,68,4,19,24,70,187,63825,5475,16030,15043,42755,143133,23,4,0,3,18287,18318,572,53,16,13,16457,17106,12051,929,706,51,24656,38388,19878,1945,2746,157,12574,37298,22375,2555,5971,581,9947,41431,25749,2253,8424,1599,6447,44468,27621,1647,7006,4123,2511,42908,15961,540,2745,6711,861,26815,3540,85,574,6171,258,10623,405,9,39,33,304,793,128176,10006,28219,19440,92306,278149
SOS42,13,0,0,0,1282,1298,78,5,0,0,1057,1141,741,33,36,0,1655,2466,1362,109,134,10,908,2521,1643,190,375,28,914,3153,2437,242,745,77,709,4210,2713,219,765,211,333,4241,1402,60,263,245,100,2066,337,15,43,229,36,651,4,0,6,0,12,20,10737,871,2370,794,6995,21769,21,0,0,0,1180,1198,91,6,0,0,932,1030,989,70,50,3,1458,2566,1505,163,172,25,778,2637,1754,209,455,72,630,3126,2626,170,765,236,442,4234,2468,117,617,528,172,3900,1049,35,198,763,34,2082,164,7,33,718,23,955,4,3,0,0,3,17,10667,792,2293,2354,5646,21754,33,0,0,0,2467,2496,171,7,0,4,1988,2171,1736,100,88,10,3108,5035,2863,280,305,33,1680,5163,3396,403,831,103,1543,6277,5064,407,1508,311,1147,8441,5182,339,1383,734,505,8139,2449,100,465,1009,127,4153,499,23,77,947,58,1601,10,3,3,0,21,42,21407,1660,4661,3150,12637,43526
SOS43,7,0,0,7,4423,4437,85,0,5,4,3602,3700,2342,96,91,9,5167,7702,5284,331,452,18,2913,9008,7255,500,1199,69,2625,11644,8653,636,2088,216,2121,13717,7555,412,1698,460,820,10944,3275,146,498,472,219,4607,503,14,58,249,31,859,141,8,6,11,128,296,35103,2142,6096,1510,22048,66900,14,0,0,0,3932,3940,147,6,0,0,2821,2983,2644,95,84,9,3588,6418,5425,291,457,30,1879,8090,7159,411,1129,179,1689,10575,8366,425,1638,476,1085,11994,6564,219,1094,944,348,9164,2178,39,322,1008,79,3638,231,3,33,566,19,853,32,4,7,4,53,88,32763,1507,4772,3220,15491,57752,19,0,0,7,8356,8378,239,10,4,4,6425,6688,4985,195,173,16,8756,14123,10711,622,916,48,4789,17090,14420,911,2327,247,4313,22217,17018,1060,3727,694,3203,25707,14120,630,2789,1406,1166,20110,5450,187,822,1483,298,8245,733,23,91,815,51,1710,176,12,12,7,181,386,67865,3646,10867,4730,37535,124656
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40
SOS50,64,15,14,17,60540,60648,1234,81,43,32,61946,63332,40033,1900,1940,118,93945,137925,85145,5129,7332,204,42503,140322,78665,6171,12832,696,25387,123749,69407,4806,15605,1606,14851,106272,58504,3215,12414,3327,6152,83614,32378,1288,5027,4585,1956,45232,8983,269,955,4667,476,15345,1250,83,177,72,869,2453,375668,22954,56329,15322,308629,778901,69,21,10,21,57922,58036,2864,204,79,34,59475,62657,57789,3626,3452,195,83410,148478,93918,7196,10976,821,36574,149485,81521,7636,19109,2157,21453,131874,69671,5693,22922,5609,11454,115347,53623,3270,18352,12815,4853,92912,24045,1021,7660,18304,1673,52702,4699,170,1755,17290,627,24539,1042,60,169,380,735,2380,389246,28895,84490,57610,278163,838412,134,32,24,37,118461,118685,4097,283,126,61,121420,125988,97819,5529,5389,312,177350,286403,179063,12331,18305,1029,79080,289808,160182,13805,31940,2852,46842,255624,139080,10496,38521,7206,26310,221618,112129,6483,30761,16142,11012,176529,56423,2311,12695,22890,3621,97942,13679,438,2710,21958,1101,39885,2292,146,344,455,1600,4837,764914,51847,140821,72933,586797,1617314
SOS51,22,3,3,3,11525,11558,292,29,3,10,9804,10134,7028,404,371,23,17906,25733,14330,1203,1473,66,9695,26771,14672,1572,2971,167,6797,26182,15198,1254,4034,468,4066,25018,13648,882,3220,935,1471,20161,7012,291,1111,1149,426,9988,1684,45,195,938,96,2961,271,22,30,14,391,729,74155,5711,13410,3771,62177,159227,20,0,3,4,10731,10769,489,43,7,9,9044,9598,9172,714,620,65,16049,26622,14840,1532,2025,202,8428,27038,14147,1682,3803,500,5603,25734,14521,1328,4974,1227,2905,24947,12350,764,3644,2763,973,20502,5099,202,1313,3802,272,10695,891,40,286,3166,93,4476,123,12,30,34,242,441,71655,6308,16710,11789,54352,160814,43,6,11,6,22260,22321,785,72,12,19,18851,19729,16200,1115,989,90,33960,52349,29172,2739,3499,267,18124,53805,28825,3254,6769,668,12390,51916,29713,2584,9008,1700,6968,49969,26002,1649,6863,3703,2447,40660,12111,489,2427,4953,701,20677,2576,79,482,4107,187,7433,393,33,61,43,639,1167,145812,12020,30117,15563,116528,320040
SOS52,20,0,0,4,1563,1595,113,4,3,6,1468,1588,1063,71,57,4,2820,4014,1981,182,205,10,1621,3992,2225,244,468,42,1448,4426,2815,322,838,107,1022,5113,2926,205,836,244,459,4669,1347,87,289,234,128,2080,290,7,29,145,21,496,20,0,4,0,53,81,12791,1129,2733,799,10603,28053,30,0,0,0,1497,1532,141,14,9,4,1373,1532,1238,92,68,17,2476,3890,1857,205,231,46,1446,3800,1968,273,534,90,1082,3940,2746,272,843,289,696,4851,2536,145,665,553,242,4149,960,40,218,636,61,1914,132,8,42,430,12,613,18,3,4,7,76,114,11631,1062,2621,2070,8964,26339,52,0,0,4,3062,3122,254,18,10,6,2834,3119,2301,169,126,18,5296,7910,3838,391,439,55,3067,7789,4191,518,994,135,2528,8361,5564,595,1686,399,1721,9967,5469,353,1503,800,698,8821,2305,122,507,874,186,3999,415,17,71,578,31,1111,39,6,10,7,136,195,24419,2187,5349,2864,19569,54391
SOS53,19,4,8,3,4774,4805,194,7,3,9,5673,5878,4310,239,272,19,11573,16417,9860,692,1077,26,6358,18019,12003,1043,2223,106,4433,19811,12578,972,2794,315,2541,19205,9422,532,1970,488,854,13265,3557,163,530,457,166,4870,505,17,56,225,40,842,170,12,30,4,266,483,52621,3681,8968,1643,36681,103590,19,3,0,0,4167,4189,155,17,0,4,3622,3795,3039,157,194,20,5993,9400,6553,388,647,55,3022,10667,8364,604,1559,203,2337,13071,10105,520,2082,510,1265,14487,7719,236,1286,953,329,10520,2293,52,373,1001,77,3798,216,8,48,531,17,820,45,5,13,9,174,251,38502,1998,6193,3288,21008,70987,39,4,8,6,8939,8990,343,27,7,7,9291,9679,7352,396,461,36,17567,25814,16417,1080,1721,85,9383,28684,20376,1650,3781,307,6772,32883,22689,1497,4874,819,3809,33687,17138,771,3250,1444,1184,23786,5843,215,901,1453,246,8666,720,22,105,758,58,1662,220,17,37,12,438,733,91129,5676,15155,4933,57685,174575
SOS57,0,0,0,0,13,13,0,0,0,0,81,81,116,6,0,0,301,430,528,48,48,3,285,908,565,42,76,3,153,842,314,24,65,3,37,449,91,6,12,4,0,117,8,0,0,0,0,15,0,0,0,0,0,0,95,4,12,0,33,143,1728,131,216,13,908,3002,0,0,0,0,8,8,3,0,0,0,33,36,9,0,0,0,68,89,15,4,5,0,30,49,15,5,11,0,18,60,45,7,19,0,9,77,48,0,6,4,0,61,14,0,0,0,0,17,0,0,0,0,0,0,9,0,3,4,5,16,163,19,40,13,173,405,0,0,0,0,20,20,3,0,0,0,115,116,128,8,3,0,370,518,546,44,48,3,311,957,575,49,87,5,173,896,360,32,84,3,50,533,139,9,18,7,0,176,23,0,0,4,0,32,0,0,0,0,0,0,104,4,16,4,39,164,1892,147,262,29,1085,3410
SOS60,3,4,0,0,5381,5381,161,7,8,4,6121,6303,5120,192,216,21,11619,17165,6574,422,647,21,4711,12380,5993,525,1365,80,3103,11063,6037,522,1794,230,2007,10594,5959,334,1501,427,961,9183,3496,140,632,628,254,5156,968,25,91,644,52,1785,119,6,9,0,157,300,34441,2172,6267,2066,34368,79311,4,0,0,7,5101,5111,375,18,6,0,5821,6215,6059,356,322,20,10198,16957,6701,626,1032,71,4637,13066,6218,705,1939,191,2968,12024,6236,642,2731,593,1733,11931,5551,351,2420,1623,753,10693,2686,112,1037,2466,280,6591,490,18,218,2238,104,3064,63,6,14,23,45,154,34381,2834,9726,7227,31644,85810,8,4,0,4,10478,10496,533,24,12,4,11939,12516,11181,545,538,41,21822,34119,13273,1051,1678,93,9350,25445,12210,1233,3306,266,6072,23082,12274,1164,4532,818,3736,22522,11513,679,3916,2048,1716,19880,6188,254,1672,3101,534,11745,1450,44,313,2880,158,4848,178,12,24,31,206,456,68820,5006,15994,9294,66009,165114
SOS61,4,4,0,0,6233,6239,198,14,6,5,6180,6394,4149,221,209,9,9827,14418,5930,511,769,32,4526,11769,6343,744,1741,87,3523,12431,7582,732,2386,274,2293,13263,7848,504,1993,694,1067,12103,4925,183,797,984,335,7219,1262,36,136,805,90,2332,55,4,8,3,121,198,38295,2953,8044,2880,34194,86367,3,0,0,0,5958,5970,366,26,8,3,5902,6307,5107,435,362,19,8688,14613,6376,816,1161,94,4465,12913,6891,968,2569,315,3191,13932,7885,854,3272,937,1821,14764,7431,540,2840,2212,770,13790,3736,156,1080,3586,273,8834,667,16,224,2829,109,3848,40,3,11,24,75,155,38495,3819,11530,10018,31261,95124,9,0,0,4,12191,12205,560,33,16,9,12077,12701,9259,662,570,32,18518,29027,12300,1331,1931,127,8993,24674,13225,1713,4303,402,6716,26362,15461,1592,5656,1204,4116,28025,15273,1043,4833,2907,1844,25894,8666,336,1874,4567,609,16055,1931,54,361,3633,197,6182,96,11,26,27,202,355,76789,6770,19572,12898,65459,181488
SOS62,0,0,0,0,723,723,14,0,0,0,666,678,417,24,26,4,1093,1563,796,65,88,7,678,1623,1051,114,237,16,575,1987,1477,120,448,53,422,2525,1584,99,488,96,176,2445,826,45,168,168,55,1256,144,0,24,118,12,298,9,0,4,0,32,46,6316,474,1475,458,4430,13150,4,0,0,0,672,671,28,5,0,0,553,588,538,37,44,5,975,1594,881,77,135,8,580,1673,1155,124,285,41,414,2031,1596,112,502,135,289,2640,1401,77,407,323,122,2330,556,22,149,423,28,1173,73,0,29,289,14,399,5,0,3,6,6,19,6236,453,1547,1229,3650,13118,4,0,0,0,1396,1398,43,5,0,0,1222,1262,951,64,68,7,2068,3154,1678,144,213,11,1259,3303,2212,236,525,60,989,4018,3071,236,956,188,712,5168,2982,175,899,420,300,4774,1379,65,316,592,84,2432,215,4,48,408,22,697,17,0,8,3,36,63,12548,930,3030,1680,8075,26264
SOS63,5,0,0,0,3112,3117,57,0,0,3,2309,2375,1448,83,77,3,3563,5178,3209,198,325,13,2232,5977,4353,350,885,58,1976,7619,5762,426,1542,163,1497,9391,5188,345,1285,370,640,7821,2177,93,383,373,143,3166,330,15,43,172,27,588,36,0,6,0,47,89,22562,1505,4554,1153,15546,45324,5,0,0,0,2733,2742,94,10,10,0,2007,2115,1883,104,121,12,3081,5201,3764,235,424,35,1923,6379,4818,319,952,146,1518,7764,5936,332,1412,398,932,9010,4400,169,930,689,297,6485,1397,24,260,725,64,2470,134,4,46,366,7,565,21,0,3,0,12,41,22455,1196,4159,2366,12591,42774,11,0,0,0,5847,5861,153,10,12,0,4314,4492,3333,181,202,16,6648,10379,6976,435,750,47,4153,12363,9171,669,1832,204,3497,15378,11693,759,2959,560,2433,18400,9589,512,2212,1060,943,14309,3573,114,644,1093,203,5634,465,15,93,541,38,1154,49,0,9,0,58,124,45013,2705,8715,3524,28140,88099
SOS67,0,0,0,0,0,0,0,0,0,0,9,9,8,0,4,0,39,58,28,0,3,0,38,65,37,6,4,0,24,70,36,3,12,0,4,62,13,0,0,0,5,25,4,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,8,125,12,35,4,122,296,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,10,13,3,0,0,0,6,12,4,0,4,0,7,18,10,0,0,0,0,11,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,12,0,32,75,0,0,0,0,5,5,0,0,0,0,15,15,10,0,4,0,48,62,33,3,3,0,43,80,40,8,11,6,30,90,42,3,20,0,8,75,24,0,0,0,5,33,4,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,13,154,13,49,7,158,374
SOS70,23,0,0,3,3382,3406,220,13,6,0,4433,4673,3984,135,168,12,8085,12383,5945,338,521,25,3422,10260,4845,413,919,64,2276,8516,4291,387,1141,129,1439,7389,3417,262,986,219,612,5506,1232,75,242,212,159,1926,175,14,34,114,29,362,676,9,61,4,1271,2027,24805,1651,4083,795,25121,56444,16,0,0,0,3312,3327,341,21,5,7,3718,4084,4969,280,295,20,7578,13140,5885,498,765,70,3484,10705,4557,454,1145,191,2068,8421,4044,397,1316,446,1123,7334,2715,211,1015,785,396,5127,687,41,323,709,85,1845,60,6,56,308,16,442,163,15,29,37,250,491,23438,1919,4954,2576,22026,54913,32,0,0,3,6690,6730,559,32,12,5,8149,8761,8959,411,463,30,15656,25522,11834,842,1285,96,6914,20971,9401,863,2065,261,4346,16938,8331,785,2457,586,2564,14722,6128,479,2005,1007,1011,10630,1922,113,562,924,245,3766,237,14,91,422,48,808,838,24,95,43,1526,2519,48248,3568,9035,3366,47143,111361
SOS71,69,7,3,0,1668,1741,246,7,3,5,1315,1583,1474,64,60,11,2892,4505,2055,120,158,24,1583,3936,1590,169,298,46,1006,3110,1648,181,393,73,634,2933,1140,106,292,100,234,1875,321,26,62,68,51,528,40,4,3,16,8,81,31,0,6,0,52,86,8618,680,1284,355,9437,20379,95,6,0,0,1507,1606,355,22,6,5,1292,1671,1790,110,76,44,3116,5141,1962,199,203,63,1575,4003,1551,199,388,118,1129,3387,1524,152,468,260,685,3088,882,77,262,291,230,1733,174,20,79,188,58,520,21,5,14,102,21,158,27,3,4,9,43,84,8382,778,1502,1078,9666,21395,159,4,0,5,3177,3350,600,31,8,11,2606,3259,3260,168,140,52,6014,9646,4017,326,363,80,3156,7941,3143,361,680,171,2135,6496,3173,330,867,332,1318,6016,2025,178,551,387,466,3606,496,48,144,258,109,1051,65,9,18,124,33,242,59,3,7,10,88,169,16996,1467,2782,1432,19103,41773
SOS72,85,4,0,0,909,998,329,21,6,0,666,1027,947,35,38,10,1154,2182,999,51,76,5,640,1783,878,85,132,37,466,1598,951,70,163,47,266,1492,760,38,143,61,111,1114,158,11,38,40,23,271,7,0,0,17,9,31,10,0,0,0,26,35,5122,315,602,219,4265,10519,138,0,6,0,816,957,365,16,11,6,676,1068,1094,88,43,27,1129,2381,1003,90,74,32,644,1844,876,75,164,100,510,1723,906,67,219,209,306,1711,568,41,118,192,108,1030,61,9,13,86,23,194,5,0,0,24,7,31,14,3,4,0,31,44,5029,390,646,684,4238,10983,224,3,6,4,1726,1959,699,36,13,7,1336,2092,2044,122,81,41,2281,4561,2007,144,151,42,1282,3621,1756,163,294,136,972,3326,1858,131,378,251,574,3199,1328,80,267,250,218,2145,220,21,53,125,53,471,11,0,5,35,10,59,20,3,7,0,53,75,10147,704,1247,900,8507,21506
