SOS_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOS41,577,62,173,14,826,307,34,74,7,419,198,39,219,9,467,183,24,412,13,631,1145,149,830,39,2161,869,176,1416,56,2515,6230,502,1640,95,8469,4196,672,1966,177,7011,4047,1366,1951,154,7518,4433,2166,1572,131,8302,2094,2148,1042,76,5358,2469,2284,840,79,5673,4669,5402,1128,122,11317,2920,4349,469,60,7796,1973,3260,239,22,5495,924,2137,79,20,3157,1863,4307,186,18,6376,1976,3428,1194,47,6642,734,213,258,42,1245,41818,32700,15689,1179,91384
SOS42,97,3,22,0,129,59,9,15,3,75,52,15,40,0,104,35,3,68,0,109,268,45,114,0,429,161,36,183,8,388,1129,105,198,23,1452,715,129,223,32,1097,678,228,202,19,1123,752,367,153,26,1286,344,338,99,14,792,400,347,83,8,832,716,732,110,15,1574,425,546,49,6,1025,302,408,19,0,729,130,231,8,0,366,211,408,21,0,644,397,613,194,11,1218,141,58,55,9,260,7005,4614,1855,173,13648
SOS43,359,78,46,8,490,143,34,26,0,207,110,28,65,7,207,97,30,88,3,221,638,81,190,10,927,461,103,279,6,850,2265,264,302,24,2859,1634,431,456,60,2581,1651,731,360,37,2779,1980,1160,331,48,3516,986,1018,258,14,2284,1318,1111,182,23,2634,2172,2348,281,34,4838,1409,1919,129,19,3474,948,1554,76,9,2593,485,952,36,4,1483,1309,2418,90,11,3829,1029,2262,384,18,3691,371,165,91,15,651,19355,16722,3680,350,40106
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,4158,787,1512,164,6631,1519,203,494,86,2304,1200,358,1078,128,2761,872,345,1930,86,3231,4405,823,3315,247,8794,3444,1235,5786,285,10751,17944,2623,6375,434,27381,12813,3995,8004,832,25650,14228,7249,8848,822,31153,15960,10796,7802,971,35533,9741,11581,6157,685,28164,11201,12814,5193,662,29863,24535,32211,8816,1235,66798,18627,28371,3881,745,51624,14910,26807,2740,462,44925,9259,18367,1079,251,28960,24341,61996,3208,432,89982,14372,29736,6317,339,50760,2452,1535,1050,123,5164,205986,251858,83590,8990,550426
SOS51,579,80,225,16,908,254,29,87,16,383,220,42,261,13,538,159,35,473,11,678,941,117,830,45,1935,721,165,1337,48,2271,4314,395,1516,79,6305,2634,584,1691,119,5044,2808,1077,1818,117,5823,3104,1755,1435,142,6427,1698,1874,1058,94,4730,2121,2172,862,88,5234,4716,5513,1385,144,11759,3519,4961,533,85,9094,2871,4502,411,69,7857,1629,2755,152,24,4560,3868,7249,341,49,11506,3355,6275,1333,80,11053,630,333,312,36,1305,40142,39936,16070,1270,97412
SOS52,111,14,31,5,155,62,14,33,0,111,43,22,134,9,207,48,6,147,4,210,251,104,170,21,545,159,97,254,15,523,883,211,274,39,1402,535,180,312,45,1064,469,226,257,35,992,553,282,179,18,1040,234,269,112,8,622,349,310,93,11,757,685,670,128,23,1504,480,465,64,11,1019,359,428,29,6,827,174,250,18,4,447,395,538,46,0,973,537,856,264,22,1673,171,81,114,16,385,6485,5035,2645,291,14467
SOS53,433,88,53,11,588,222,32,23,0,282,142,37,83,9,269,106,28,129,15,269,663,125,227,20,1022,362,130,255,18,761,1865,214,275,29,2385,1311,337,358,54,2060,1515,574,347,46,2479,1638,779,304,25,2748,906,764,220,15,1905,1131,842,200,19,2196,2193,1917,292,25,4436,1536,1764,153,17,3470,1241,1504,89,10,2842,729,1073,58,9,1863,1905,3059,111,19,5098,1567,3374,444,16,5407,406,205,102,23,735,19878,16840,3732,375,40824
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,298,66,114,16,500,102,18,44,10,172,98,32,118,13,263,79,19,209,10,320,413,96,458,28,993,362,134,818,40,1353,1901,282,872,47,3105,1605,474,1072,117,3259,1963,736,1179,111,3989,2318,1267,969,102,4653,1403,1143,697,62,3302,1511,1180,597,76,3371,2920,2916,899,119,6854,1886,2492,334,50,4761,1218,2161,209,29,3609,788,1474,71,11,2341,1678,3706,235,25,5644,789,1558,705,31,3083,216,90,135,13,452,21554,19832,9737,904,52028
SOS61,304,42,118,12,478,161,17,56,7,239,135,22,133,3,300,147,21,321,11,505,742,95,645,24,1509,516,159,1134,24,1834,4181,403,1316,63,5959,2390,629,1577,139,4728,2356,1070,1432,122,4973,2826,1679,1180,120,5802,1471,1609,777,53,3909,1567,1581,569,73,3791,3214,3509,786,84,7593,1783,2637,278,37,4735,1162,1929,141,19,3254,573,1157,41,6,1780,1044,2092,127,15,3279,1102,1930,828,42,3907,405,117,199,30,747,26091,20694,11666,885,59334
SOS62,49,7,9,0,66,38,0,8,0,52,32,4,15,0,53,20,5,38,0,66,141,16,60,0,221,126,19,123,4,268,702,55,134,9,907,449,82,147,12,691,421,157,152,10,742,423,227,106,4,759,249,222,71,3,552,243,229,56,9,538,428,444,88,13,975,300,406,35,3,740,165,280,24,4,469,94,157,5,0,252,165,317,10,6,497,249,336,121,0,709,81,21,19,4,120,4371,2992,1203,91,8655
SOS63,219,40,45,3,309,141,18,16,9,181,102,13,54,0,174,113,18,87,6,219,513,65,155,6,746,373,74,289,10,746,1999,227,297,19,2538,1318,343,406,41,2108,1322,612,434,21,2390,1441,863,336,21,2671,833,799,206,18,1856,969,839,155,13,1976,1736,1821,244,34,3831,1071,1542,109,16,2734,741,1062,60,6,1864,390,679,31,4,1103,763,1404,56,4,2219,737,1426,345,11,2516,222,79,54,5,363,14994,11923,3379,249,30550
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,144,32,72,10,261,30,9,24,0,70,36,11,67,7,128,37,11,142,3,197,134,45,191,10,371,102,50,294,17,459,409,109,329,17,859,345,174,346,32,901,455,368,448,40,1309,672,518,450,46,1684,508,532,426,35,1493,607,653,355,51,1663,1727,1796,651,91,4278,1341,1594,271,66,3270,1056,1519,187,27,2803,685,1187,87,18,1984,1528,3137,232,36,4930,1056,1646,392,21,3107,99,80,75,8,263,10978,13475,5035,533,30033
SOS71,46,15,25,3,93,61,65,83,15,223,30,82,219,6,333,10,32,132,4,184,169,225,187,16,601,41,127,156,7,335,178,189,181,24,575,132,187,161,24,506,131,225,209,24,582,166,198,170,16,557,127,173,120,18,429,136,198,115,10,453,468,503,170,21,1163,436,524,81,15,1060,371,468,59,11,906,195,346,32,9,581,485,739,53,11,1285,271,595,181,21,1066,55,66,72,7,195,3494,4981,2383,263,11116
SOS72,15,0,6,0,24,52,55,67,5,183,27,70,245,13,358,5,28,106,0,143,238,301,175,26,735,52,149,95,8,297,154,247,128,32,570,78,225,126,27,463,61,212,92,16,378,83,170,87,17,356,38,97,46,9,190,52,81,39,6,177,134,128,47,12,323,95,98,11,0,207,86,92,12,0,195,59,60,4,0,122,96,126,8,0,230,89,237,119,10,451,43,59,55,8,166,1463,2436,1480,188,5568
SOS73,56,9,13,0,82,42,25,16,0,80,25,32,103,7,167,14,14,58,0,87,122,108,79,12,324,54,58,60,3,170,228,134,77,14,455,153,106,94,21,376,147,123,98,10,386,190,122,88,12,404,119,96,53,0,275,132,111,56,4,307,323,305,92,8,730,273,309,46,4,629,246,331,22,0,598,173,269,19,0,456,330,680,36,6,1049,269,559,123,11,961,114,88,53,7,259,3006,3477,1177,128,7792
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,560,92,196,19,868,157,29,80,20,288,121,31,170,5,320,87,35,266,8,392,398,98,477,30,1006,380,183,697,32,1296,1719,313,760,59,2853,1523,478,973,99,3078,2251,849,1279,121,4496,3431,1398,1312,181,6322,2604,1506,1375,110,5590,2755,1818,1274,129,5973,6626,5232,2717,300,14870,5498,5433,1128,239,12295,4628,6191,938,133,11896,3367,5618,422,96,9504,8995,21618,1237,123,31974,1572,3007,1181,63,5819,268,199,134,15,609,46948,54131,16611,1768,119459
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,3,0,3,0,0,0,0,4,6,0,0,0,6,0,0,0,0,3,3,7,5,0,20,14,3,0,0,20,3,6,0,0,14,3,19,0,0,18,18,43,0,0,57,4,3,5,0,13,5,0,0,0,5,66,92,19,0,178
SOS83,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,3,0,0,0,5,4,0,0,0,5,3,0,0,0,6,9,0,0,0,6,4,3,4,0,16,8,7,4,0,20,6,6,0,0,13,4,0,0,0,6,5,19,0,0,28,3,6,0,0,11,0,0,0,0,0,51,45,19,3,116
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,3,0,0,0,3,5,3,3,0,15,3,8,4,0,14,11,6,3,0,22,5,7,3,0,20,9,20,5,0,37,15,18,0,0,30,11,22,3,0,39,5,11,0,0,17,24,31,0,0,51,13,21,0,0,35,0,0,0,0,4,114,149,34,0,294
SOS92,3,0,0,0,7,4,0,0,0,4,0,4,0,0,3,0,0,0,0,7,11,0,7,0,17,14,0,5,0,14,34,3,3,0,43,29,6,13,0,41,25,9,18,0,51,37,20,3,4,58,23,13,9,0,47,24,14,5,3,51,34,39,4,0,78,18,28,0,0,52,8,18,5,0,28,16,15,6,0,29,12,12,0,0,23,12,26,7,0,48,5,0,0,0,7,310,212,81,11,604
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,8,0,0,0,4,11,0,0,0,8,6,0,5,0,14,7,5,3,0,16,7,0,0,0,12,5,0,0,0,3,0,4,0,0,5,9,5,0,0,22,4,7,0,0,13,3,4,0,0,3,0,4,0,0,4,5,5,0,0,3,0,4,3,0,11,6,7,5,3,20,73,54,27,10,159
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
