SOS_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SOS30,408,4591,29,5031,102458,6307,156,113953,3649,3269,118,7034,106481,8849,439,122802,55048,5315,1374,61737,174256,19643,1284,256926,124030,4262,3016,131311,96794,15262,640,244003,76111,5557,1564,83235,130002,12501,568,226305,13242,12739,261,26244,153598,9581,627,190049,2208,17551,104,19857,123418,8225,628,152134,350,4243,29,4618,73686,6106,251,84656,25,180,3,207,22601,3310,56,26176,275067,57715,6497,339282,983299,89780,4647,1417003,714,7931,67,8712,95197,5909,156,109966,7596,6256,430,14276,101226,7793,388,123691,87447,9545,3716,100704,151754,17400,981,270845,155373,6965,6180,168513,79375,13570,486,261947,74729,13326,2489,90538,141542,10988,487,243551,5853,33588,439,39878,158342,9112,800,208129,1402,30589,221,32216,128984,8179,681,170056,328,5179,40,5544,84530,7667,225,97972,59,271,7,332,35681,6539,67,42619,333496,113641,13580,460712,976625,87152,4264,1528766,1120,12521,98,13741,197652,12217,312,223919,11246,9524,549,21315,207708,16640,827,246490,142496,14855,5089,162441,326012,37050,2263,527767,279405,11230,9191,299825,176164,28833,1127,505947,150838,18877,4056,173773,271541,23487,1057,469859
SOS31,161,1336,19,1521,24715,2530,22,28779,1606,841,65,2508,20359,2840,258,25974,16672,1440,585,18702,31783,7266,912,58669,26341,1200,921,28465,20339,6296,323,55429,14292,1901,474,16674,34715,5992,106,57491,2605,3924,87,6620,47769,5454,123,59965,529,3904,24,4460,47348,4373,93,56267,80,854,6,942,27079,2706,46,30771,12,43,0,50,7542,1177,13,8788,62303,15447,2186,79939,261649,38642,1902,382130,349,2357,39,2748,21938,2205,18,26908,3481,1624,190,5294,17845,2193,137,25469,25810,2400,1692,29906,24876,5000,475,60263,33755,1908,1988,37653,16453,4229,134,58460,13849,4673,689,19212,36124,4051,80,59462,1244,9980,106,11329,47949,3952,118,63345,281,6570,32,6886,46781,3760,104,57527,90,1143,8,1240,28725,3071,50,33083,17,84,0,97,11198,2026,9,13330,78874,30734,4745,114358,251888,30482,1121,397857,512,3690,59,4264,46655,4736,39,55691,5084,2458,253,7797,38205,5038,400,51439,42482,3841,2279,48614,56658,12267,1389,118935,60095,3111,2907,66116,36787,10526,462,113894,28147,6578,1162,35887,70836,10043,183,116955
SOS32,36,167,0,201,3172,488,6,3870,225,121,3,358,2503,439,21,3316,2095,193,79,2368,3710,1078,149,7297,3431,179,130,3734,2918,1010,38,7693,2170,348,65,2582,5821,1017,12,9426,429,712,26,1168,9625,1051,14,11861,92,646,6,745,10249,996,29,12015,25,129,0,153,4945,526,11,5635,0,6,0,6,877,133,5,1028,8495,2511,310,11314,43817,6740,280,62143,69,321,3,394,2696,403,6,3492,491,231,38,756,2031,334,13,3140,3261,348,234,3841,2847,722,78,7486,4408,335,260,5005,2348,682,25,8055,2062,753,127,2947,5854,721,10,9547,195,1607,24,1825,9486,901,18,12227,65,1043,7,1110,8932,842,16,10902,17,152,0,172,4172,483,9,4830,0,15,0,15,1111,162,3,1286,10564,4804,694,16066,39480,5263,175,60975,103,487,3,595,5866,894,4,7362,715,356,41,1116,4537,774,37,6460,5358,539,313,6208,6558,1796,221,14786,7839,513,383,8737,5259,1694,60,15750,4232,1107,196,5534,11677,1738,21,18971
SOS33,51,518,5,572,11829,1658,9,14072,429,298,9,739,8683,1843,164,11420,6273,521,192,6987,11959,4779,556,24278,13372,488,370,14234,9056,4853,239,28372,9009,1065,224,10295,20646,5247,97,36287,1819,2541,53,4415,31719,4636,50,40822,331,2472,15,2818,28640,3189,61,34702,64,480,4,544,13029,1440,17,15041,8,24,0,34,2328,308,0,2674,31362,8415,862,40638,137885,27959,1186,207676,101,945,10,1058,10409,1392,6,12865,841,598,48,1486,6860,1114,87,9544,9210,805,511,10527,8404,2620,226,21775,15739,823,806,17370,6574,2609,66,26627,8161,2513,346,11029,20167,3074,48,34321,754,5991,53,6791,27938,3132,44,37907,172,3784,18,3973,22976,2468,46,29466,45,542,9,595,10098,1140,14,11855,6,33,0,38,2191,259,0,2492,35031,16035,1801,52864,115628,17810,545,186853,151,1466,16,1635,22243,3054,16,26935,1277,898,57,2228,15541,2952,245,20966,15480,1334,700,17516,20359,7395,783,46059,29109,1315,1173,31600,15631,7467,304,55002,17170,3583,567,21324,40811,8326,147,70611
SOS37,0,0,0,0,0,0,0,8,0,0,0,0,6,5,0,8,9,0,0,9,15,40,6,69,5,0,0,5,28,74,6,107,4,0,0,4,27,45,0,77,0,0,0,0,7,16,0,26,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,104,187,17,317,0,0,0,0,3,4,0,6,0,0,0,0,3,4,5,9,0,0,0,0,9,12,7,35,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,29,10,65,0,0,0,0,8,10,0,11,0,0,0,0,5,8,5,18,9,0,0,9,26,57,15,102,3,0,0,3,30,77,6,114,3,0,0,3,28,45,0,79
SOS40,108,1445,11,1564,32750,1507,53,35872,743,1230,24,2001,38357,1855,73,42285,17236,1963,425,19615,64070,4357,227,88267,41726,1415,1121,44269,33978,3654,159,82056,24779,1686,656,27120,45568,3046,151,75880,4533,5352,109,9996,57903,2491,152,70541,789,9419,37,10241,44814,2020,168,57243,140,2470,4,2616,28110,1533,60,32322,9,139,0,152,11408,941,19,12519,90064,25114,2389,117571,356949,21401,1059,496985,175,2418,17,2607,30045,1343,42,34043,1769,2209,97,4083,34787,1642,56,40562,27836,3362,1262,32455,52943,3738,190,89325,50862,2341,2403,55604,26118,3085,138,84941,23166,4171,914,28252,47469,2548,131,78403,2135,14417,171,16723,57482,2214,244,76664,572,15489,81,16145,46950,2192,247,65531,143,2761,15,2916,34933,2269,71,40191,20,146,0,175,18858,1732,25,20777,106673,47310,4973,158958,349586,20751,1148,530439,283,3862,31,4172,62798,2849,92,69913,2516,3441,120,6081,73141,3496,132,82852,45066,5325,1686,52076,117012,8086,418,177588,92586,3753,3527,99873,60096,6736,297,166999,47946,5856,1570,55371,93041,5594,284,154288
SOS41,54,437,4,501,8297,678,7,9487,364,302,9,670,7491,633,56,8856,5553,523,175,6247,11304,1566,298,19413,9311,389,359,10060,6672,1406,130,18262,5560,640,168,6364,12353,1364,49,20135,1006,1827,33,2870,17542,1260,21,21692,195,2294,4,2487,17036,1056,26,20610,41,482,0,521,11024,850,5,12402,4,18,0,23,3715,419,5,4162,22076,6909,756,29745,95428,9245,604,135016,70,743,7,826,7442,576,0,8842,838,614,40,1489,6413,404,3,8312,8305,841,536,9687,8549,1038,49,19320,11506,605,761,12873,5326,971,33,19198,5258,1690,254,7204,13126,1011,16,21361,432,4316,46,4796,17024,976,32,22834,125,3566,17,3707,17520,1095,30,22347,34,585,3,623,12761,1042,12,14437,6,35,0,44,5747,674,5,6477,26580,13002,1662,41238,93909,7797,187,143133,125,1184,14,1323,15739,1258,9,18328,1202,913,50,2158,13904,1038,66,17171,13859,1364,707,15935,19849,2604,346,38733,20820,990,1123,22926,11998,2377,162,37463,10820,2329,418,13571,25482,2382,62,41496
SOS42,8,81,5,92,1076,136,0,1298,52,67,6,130,920,91,3,1141,793,112,41,940,1334,195,8,2478,1302,81,62,1436,857,226,6,2525,740,137,31,905,1989,261,0,3155,149,361,5,517,3365,328,4,4211,34,362,8,403,3479,363,0,4242,5,55,0,59,1797,214,0,2066,0,0,0,3,555,91,0,651,3082,1250,150,4482,15367,1902,20,21769,17,125,4,144,915,140,0,1198,103,115,16,237,727,64,3,1037,1135,159,107,1400,999,173,0,2573,1526,133,132,1792,657,184,0,2643,639,286,39,957,1937,230,0,3128,72,808,5,882,3054,292,9,4242,18,490,0,515,3086,306,3,3906,3,75,0,77,1805,198,0,2084,0,3,0,3,793,155,0,955,3512,2192,310,6011,13976,1743,17,21754,22,205,8,236,1988,277,0,2496,156,181,21,368,1646,157,0,2178,1923,267,151,2342,2324,366,6,5043,2831,210,195,3233,1521,407,3,5167,1374,421,69,1866,3925,488,0,6282
SOS43,16,197,0,216,3778,446,6,4445,95,115,0,216,3068,412,38,3738,2136,196,56,2390,4180,1135,130,7828,4624,150,170,4953,2806,1246,64,9068,3239,357,85,3675,6686,1281,25,11668,601,1089,13,1703,10798,1212,7,13719,101,1174,8,1286,8793,866,13,10961,17,224,0,242,3922,439,5,4611,3,5,0,10,759,90,5,865,10836,3512,342,14685,44793,7127,296,66900,33,319,0,352,3187,402,5,3942,206,211,11,428,2331,228,14,3000,2780,286,169,3233,2658,534,23,6449,5122,270,326,5714,1875,496,11,8098,2632,839,108,3577,6263,733,18,10591,210,2424,14,2653,8570,773,10,12000,61,1758,8,1829,6691,648,11,9174,17,211,0,232,3077,327,3,3641,0,5,0,5,732,114,0,854,11050,6330,643,18023,35379,4258,88,57752,44,518,0,565,6964,852,13,8389,300,331,10,641,5400,645,58,6734,4912,481,231,5624,6834,1661,153,14280,9742,421,502,10665,4681,1749,73,17164,5868,1194,188,7257,12946,2015,34,22253
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15
SOS50,192,2861,17,3072,54916,2666,63,60713,1343,1999,46,3384,56421,3527,190,63523,29372,3335,775,33490,95766,8675,548,138475,71692,2526,2028,76248,56556,7519,388,140711,42542,2947,1118,46599,71411,5739,372,124118,7686,8374,205,16271,85684,4324,397,106670,1362,13341,58,14763,65460,3393,342,83955,250,3467,21,3736,38604,2894,118,45355,36,180,0,216,13237,1891,28,15374,154478,39031,4267,197779,538058,40614,2453,778901,305,4646,46,5000,50409,2620,67,58103,3383,3939,195,7519,52126,3017,187,62845,51030,6363,2512,59909,81084,7486,478,148949,89743,4592,5100,99436,43775,6278,242,149730,41204,8074,1868,51148,75912,4819,262,132138,3462,23865,288,27606,83909,3829,513,115861,945,23115,133,24194,65076,3641,446,93356,219,4230,29,4479,44359,3872,140,52848,35,246,0,280,20840,3421,45,24582,190328,79073,10170,279563,517489,38980,2380,838412,501,7504,72,8076,105319,5289,129,118813,4725,5937,239,10897,108550,6540,379,126375,80407,9700,3290,93390,176844,16159,1024,287428,161436,7122,7123,175687,100330,13795,632,290440,83743,11023,2982,97751,147322,10552,635,256255
SOS51,59,576,8,644,9697,1215,14,11570,531,340,22,892,7995,1243,130,10267,6828,652,253,7727,14284,3715,264,25995,12460,532,499,13491,9612,3674,128,26902,6790,710,219,7720,15128,3331,64,26243,1202,1728,36,2967,19246,2813,69,25084,177,1773,4,1958,16436,1769,39,20197,46,347,0,390,8656,935,19,10005,3,18,0,21,2488,442,7,2966,28091,6677,1046,35811,103536,19148,729,159227,92,1005,22,1119,8614,1035,12,10774,1153,653,79,1881,6679,1035,62,9654,10630,1097,857,12586,11236,2799,165,26791,15150,918,1203,17267,7335,2436,32,27075,6143,1922,376,8441,15135,2159,32,25763,474,4393,53,4921,18082,1947,56,25011,106,2975,18,3099,15866,1533,57,20555,44,459,4,501,9128,1064,14,10709,10,32,0,41,3713,723,7,4481,33793,13450,2606,49848,95791,14740,441,160814,147,1586,28,1765,18307,2253,20,22341,1683,990,103,2773,14677,2282,193,19925,17455,1748,1108,20315,25524,6509,432,52783,27610,1445,1702,30754,16944,6111,170,53975,12937,2628,595,16162,30255,5493,89,52008
SOS52,17,143,7,167,1207,214,0,1595,126,126,8,260,1100,228,20,1605,1053,156,77,1285,2032,701,44,4051,1567,139,108,1819,1492,686,11,4001,842,181,46,1066,2585,771,0,4429,188,329,10,521,3874,722,3,5112,45,291,0,332,3744,596,8,4676,4,57,0,62,1734,288,0,2080,0,6,0,6,400,85,0,496,3843,1422,259,5522,18166,4286,81,28053,41,207,9,264,1051,221,4,1533,253,160,38,450,881,199,20,1551,1496,209,189,1894,1519,480,54,3946,1792,244,230,2259,1095,436,14,3816,699,419,62,1172,2329,436,11,3953,77,699,15,796,3509,553,3,4860,24,498,11,537,3124,491,5,4157,3,69,5,79,1552,282,0,1914,0,3,3,9,506,106,0,616,4393,2514,550,7459,15565,3209,114,26339,59,358,15,430,2257,435,4,3128,385,286,43,714,1988,423,31,3154,2548,364,265,3179,3546,1179,91,8001,3361,380,335,4078,2588,1124,28,7821,1533,599,102,2237,4916,1210,16,8375
SOS53,21,213,0,239,3985,575,3,4807,122,173,14,309,4018,1552,59,5940,2833,300,98,3234,7735,5447,174,16591,6486,288,254,7028,5533,5459,100,18116,4282,475,129,4888,9995,4934,64,19874,779,1153,31,1966,13656,3581,48,19251,118,1135,4,1261,10521,1482,28,13287,15,182,3,199,4143,531,5,4877,3,0,0,7,742,86,0,840,14663,3924,546,19126,60339,23641,483,103590,26,385,6,418,3299,473,3,4197,206,239,27,471,2701,623,47,3843,2955,406,217,3574,4282,1544,113,9515,5795,364,441,6593,2755,1321,28,10697,2941,929,141,4013,7566,1486,12,13079,280,2530,27,2837,10317,1333,22,14508,62,1669,10,1740,7852,930,14,10535,18,200,3,225,3191,379,0,3797,5,13,0,15,730,69,4,818,12284,6734,872,19884,42698,8152,251,70987,50,598,6,656,7283,1052,7,8998,328,408,39,779,6717,2178,111,9785,5785,706,311,6805,12017,6991,290,26105,12282,651,689,13619,8294,6780,126,28811,7230,1402,274,8902,17564,6416,74,32959
SOS57,0,0,0,0,8,7,0,14,0,0,0,0,48,28,0,81,35,3,0,37,198,192,24,459,152,0,6,161,333,413,37,945,101,10,4,115,351,376,53,896,9,10,0,21,237,196,24,473,0,5,0,5,73,40,0,119,0,0,0,7,7,0,0,15,0,0,0,0,0,0,0,0,300,30,9,347,1254,1251,143,3002,0,0,0,0,5,3,0,8,0,0,0,0,23,15,0,37,4,3,0,8,52,28,3,94,8,0,0,4,23,20,7,55,0,0,0,3,34,23,0,57,0,0,0,0,55,29,3,86,0,11,0,11,36,11,0,61,0,4,0,4,6,5,0,17,0,0,0,0,0,0,4,3,5,21,0,26,233,123,16,405,0,0,0,0,8,10,0,19,0,4,0,4,75,43,0,121,39,10,0,52,246,224,33,549,154,0,6,165,359,429,37,999,104,9,4,110,387,391,61,951
SOS60,16,233,3,248,4854,280,0,5386,184,190,4,380,5590,342,53,6359,3033,437,88,3559,12545,1061,139,17311,6014,245,225,6489,5169,724,42,12417,3579,335,133,4047,6482,535,21,11078,684,842,18,1546,8585,460,19,10611,124,1492,3,1618,7128,433,22,9198,20,413,0,432,4396,329,7,5165,0,19,0,21,1603,158,4,1787,13662,4202,482,18342,56346,4322,300,79311,34,444,9,483,4383,247,6,5120,373,415,26,816,5099,295,9,6227,4545,730,250,5534,10593,826,28,16985,7211,462,517,8193,4310,564,10,13073,3626,792,176,4600,7003,422,20,12046,322,2278,18,2621,8912,396,38,11972,78,2561,12,2648,7588,456,22,10716,21,497,0,519,5617,453,13,6599,0,20,0,24,2742,300,4,3070,16219,8211,1007,25436,56249,3968,154,85810,45,677,6,732,9239,528,6,10503,556,606,37,1196,10684,632,69,12586,7585,1165,340,9090,23140,1887,169,34293,13226,708,743,14677,9481,1284,51,25494,7209,1130,311,8646,13487,954,34,23122
SOS61,33,281,0,313,5511,423,3,6246,331,244,9,580,5398,410,57,6454,3889,387,148,4427,9103,890,51,14471,5991,272,235,6506,4602,658,38,11801,3210,403,107,3721,8079,634,11,12439,657,1031,18,1707,10916,644,15,13282,95,1215,8,1326,10116,660,10,12113,20,255,0,284,6402,534,7,7225,0,12,0,11,2050,272,4,2333,14234,4102,530,18859,62170,5136,198,86367,62,540,7,604,4995,368,5,5973,694,434,39,1168,4781,356,8,6314,5770,681,434,6886,7003,720,71,14682,7365,462,521,8352,3978,582,19,12926,3167,1210,172,4544,8812,579,16,13946,270,2781,32,3078,11081,605,13,14776,69,2038,11,2116,10976,699,12,13805,16,335,3,355,7750,726,9,8838,5,18,0,23,3392,436,7,3862,17418,8500,1216,27128,62766,5070,155,95124,89,816,7,916,10504,790,11,12214,1022,679,45,1743,10183,770,69,12764,9659,1070,583,11311,16108,1611,124,29152,13360,737,756,14851,8579,1239,53,24730,6379,1610,278,8265,16888,1213,28,26388
SOS62,0,33,0,33,614,81,0,728,37,27,0,58,555,59,3,679,506,49,12,563,892,104,17,1576,808,37,43,885,646,90,10,1636,498,64,20,582,1280,126,0,1992,133,185,6,323,2050,151,0,2530,19,208,0,225,2052,166,0,2450,0,37,0,35,1104,118,0,1256,0,4,0,4,245,54,0,298,2000,636,79,2713,9451,947,46,13150,5,50,0,58,561,49,0,671,75,32,0,114,439,37,0,590,706,68,39,813,681,97,9,1600,961,59,74,1087,491,98,3,1679,464,154,31,645,1275,107,0,2031,52,446,3,500,2005,137,4,2637,14,316,0,323,1867,135,8,2336,0,40,0,39,1014,125,0,1171,0,0,0,0,333,64,0,399,2269,1167,148,3583,8661,845,19,13118,5,87,0,89,1182,131,0,1401,114,59,3,171,1000,95,8,1273,1210,118,48,1380,1575,200,21,3179,1766,94,116,1975,1137,184,14,3315,962,218,51,1233,2558,231,0,4026
SOS63,10,99,0,111,2734,271,0,3123,113,66,0,177,2056,149,9,2381,1536,141,43,1722,3076,382,34,5210,3230,128,110,3476,2116,389,13,5993,2096,259,54,2408,4754,461,13,7630,474,684,13,1167,7667,561,7,9405,89,702,0,793,6516,511,3,7827,17,135,0,153,2761,249,5,3167,0,3,0,3,518,74,5,591,7563,2226,224,10011,32187,3036,89,45324,14,204,0,219,2296,219,0,2746,194,157,11,359,1613,145,3,2118,2195,214,146,2552,2288,364,16,5219,3768,203,231,4201,1818,361,7,6385,1784,635,89,2506,4867,389,3,7761,178,1591,15,1781,6767,456,4,9014,33,1009,5,1052,5040,399,0,6485,4,136,0,141,2115,213,0,2469,0,4,0,7,496,62,0,565,8177,4151,493,12817,27299,2618,41,42774,25,304,6,334,5036,490,0,5864,304,225,12,536,3663,293,12,4502,3730,356,186,4270,5363,746,47,10426,7002,332,342,7673,3932,750,23,12382,3882,893,139,4917,9619,844,20,15396
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,4,3,0,5,22,25,3,58,10,0,0,10,28,24,3,67,12,0,0,9,33,22,0,71,0,4,0,0,33,27,0,63,0,0,0,0,24,0,0,25,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,29,4,0,36,157,102,8,296,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,0,3,0,5,8,0,0,13,0,0,0,0,7,3,0,16,3,0,0,3,12,4,0,18,0,0,0,0,9,3,0,11,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,48,13,0,75,0,0,0,0,6,0,0,5,0,0,0,0,9,0,0,15,3,3,0,9,34,25,3,69,12,0,0,9,33,30,4,78,13,0,0,18,42,31,0,90
SOS70,7,186,0,193,2843,373,89,3492,124,152,7,281,3659,735,1096,5770,2178,262,68,2503,8050,1831,505,12888,4190,194,137,4524,4326,1405,153,10412,2225,241,57,2522,4785,1211,68,8585,459,448,14,919,5464,1008,72,7457,120,537,3,655,4152,694,32,5539,13,111,3,130,1565,229,7,1928,0,11,0,10,298,48,0,364,9315,2133,285,11732,35155,7530,2027,56444,30,320,9,357,2625,345,12,3331,311,235,13,563,3049,480,114,4207,3578,480,203,4267,7379,1501,167,13310,5078,340,324,5745,3821,1137,46,10752,1973,522,112,2605,4854,961,24,8441,199,1079,6,1286,5201,847,73,7408,45,946,5,1003,3556,563,44,5167,5,168,0,173,1447,226,8,1858,5,9,0,11,358,73,8,448,11227,4103,679,16010,32288,6127,491,54913,34,498,9,547,5471,714,99,6828,431,388,23,837,6707,1217,1217,9975,5761,743,271,6768,15430,3325,675,26196,9275,536,465,10277,8144,2549,199,21165,4195,767,163,5127,9640,2166,84,17025
