SOS_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOS37,76,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,3,0,0,192,29,222,17,10,24,317,65,385
SOS40,411332,424981,836313,4422,3432,7853,1131,1019,2152,948,1050,2000,10652,13926,24579,1172,1274,2445,816,742,1563,514,584,1095,3028,3673,6703,3443,3925,7369,2052,1988,4039,22926,19510,42439,776,1209,1988,2605,2465,5071,854,725,1578,1345,1262,2611,7200,7806,15005,400,1019,1419,1647,1966,3618,864,868,1731,3651,4529,8180,3578,3448,7026,1883,1973,3856,4523,4487,9006,3030,2356,5385,4427,7813,12236,1885,2463,4347,1155,1391,2544,2959,3217,6179,2487,2352,4839,593,906,1503,879,1943,2824,38712,40493,79207,1983,1954,3936,6970,9019,15988,26329,28775,55097,21510,21668,43170,1146,1218,2365,605836,633417,1239255
SOS41,132251,137551,269802,216,79,298,35,35,67,165,210,378,356,500,861,156,116,272,58,35,91,74,66,136,811,951,1763,231,208,435,74,76,146,1061,845,1912,112,153,264,57,44,96,24,25,45,211,222,435,579,465,1037,39,111,141,73,104,171,31,30,57,314,331,636,86,89,173,659,735,1394,1383,1368,2750,158,100,256,846,1641,2491,124,147,275,56,113,169,670,728,1398,208,180,394,46,118,166,182,378,554,10044,11327,21372,391,445,838,248,318,564,2577,2473,5049,9424,9139,18563,610,198,814,164636,171637,336274
SOS42,21070,20855,41929,0,0,5,9,3,9,20,21,36,13,41,54,20,5,27,0,0,3,0,14,12,128,118,250,3,5,8,6,5,14,73,53,125,0,21,23,0,4,5,0,0,0,30,32,57,33,20,57,0,8,9,5,7,10,0,0,0,7,20,26,12,12,27,123,105,226,212,205,417,6,3,11,82,171,249,20,22,45,3,9,15,89,89,175,11,14,24,8,24,29,9,47,54,1401,1490,2888,36,47,82,8,17,25,310,246,555,2151,1998,4152,20,17,42,25937,25745,51683
SOS43,63862,56025,119882,36,9,43,9,3,13,70,121,189,67,103,172,48,31,82,14,4,21,34,34,68,345,332,674,169,146,315,15,34,46,241,186,426,37,61,101,28,15,39,7,3,9,97,90,187,301,217,514,19,35,51,32,18,52,14,16,25,119,114,234,15,8,25,296,283,581,730,549,1285,10,3,11,174,334,514,41,54,96,24,35,64,227,215,440,36,17,54,19,27,44,61,140,200,3914,3908,7820,148,207,353,224,223,446,971,886,1850,7088,5228,12314,293,103,392,79819,69811,149628
SOS47,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,0,8,7,0,7,40,0,40
SOS50,587114,604198,1191319,3070,2305,5377,1384,1258,2647,2191,2843,5035,11534,15426,26953,2011,2138,4152,1238,1105,2341,470,541,1011,3808,4674,8487,947,1033,1982,2874,3311,6184,29855,27814,57670,4862,7955,12815,3161,2989,6144,1835,1662,3495,8027,7568,15592,8176,7786,15967,1235,3071,4310,2634,3321,5956,603,534,1135,13851,16977,30827,2144,2051,4190,3224,3381,6608,28190,26974,55156,4392,2748,7144,12484,17635,30116,2127,2935,5059,6792,8282,15076,17876,19153,37031,4386,4145,8528,1148,2216,3361,2181,5979,8156,95422,96181,191611,4156,4312,8467,7211,9672,16876,54164,61826,115993,38773,38735,77508,2636,2568,5203,978179,1027301,2005481
SOS51,141843,141918,283761,172,94,262,73,53,126,285,460,744,413,596,1011,96,79,172,86,50,134,171,140,309,693,977,1667,55,46,101,90,125,216,1446,1162,2608,263,597,868,95,68,159,40,39,75,749,708,1456,686,583,1275,69,199,271,176,184,364,44,31,74,408,467,876,113,103,221,643,668,1303,6624,6002,12624,220,151,373,2352,3243,5594,142,204,352,253,300,557,2484,2630,5112,264,209,472,142,326,470,310,1079,1388,12350,13061,25411,526,590,1112,270,399,667,4759,4791,9549,20148,16679,36831,750,458,1208,200300,199476,399776
SOS52,24147,22923,47070,10,5,14,0,5,3,38,44,81,21,44,70,15,14,25,0,7,10,25,18,46,106,159,265,5,8,13,11,13,26,109,115,218,28,62,90,10,3,9,10,0,10,110,101,206,91,67,163,11,20,28,3,15,15,4,0,3,43,35,89,10,3,20,106,110,219,945,833,1781,11,4,14,288,367,651,15,23,38,25,22,49,230,233,458,20,11,30,17,48,66,22,100,123,2063,1965,4034,60,83,154,24,38,65,565,571,1134,4711,3726,8431,84,115,194,33998,31926,65920
SOS53,74820,58311,133126,69,6,75,31,5,42,186,239,424,234,149,383,96,58,156,30,10,44,88,29,116,459,522,980,36,19,54,51,49,107,387,170,554,139,147,283,96,10,105,39,11,46,536,311,847,479,313,790,22,88,109,56,34,91,24,4,33,264,210,468,24,4,25,413,354,763,3877,2230,6108,57,18,74,639,485,1129,87,88,174,143,141,284,1268,960,2226,95,35,136,31,77,113,64,260,331,7736,6993,14727,316,318,634,258,201,455,2953,1907,4864,21397,9270,30664,503,262,774,118008,84308,202315
SOS57,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
SOS60,71330,76120,147450,52,57,107,284,168,456,198,220,411,2363,2994,5357,77,75,154,52,46,97,54,74,131,391,426,819,160,190,349,289,305,591,2262,1674,3940,134,190,328,133,123,258,27,42,67,140,170,315,240,201,446,75,192,270,226,255,479,39,26,67,344,477,821,2213,1845,4060,288,305,594,795,832,1625,559,250,808,365,688,1054,116,194,314,129,177,307,439,461,901,423,370,792,164,200,363,128,294,427,3748,3638,7392,411,467,876,429,555,985,2487,2692,5178,4083,4337,8426,312,165,476,95961,101511,197474
SOS61,85820,92988,178806,81,88,176,68,52,122,132,186,315,499,671,1172,29,17,47,44,41,84,37,52,92,305,306,608,39,30,73,92,113,205,1164,769,1933,63,119,187,135,137,273,20,26,45,114,121,237,154,125,279,28,77,99,100,97,200,18,16,34,222,275,495,1007,927,1934,440,470,910,991,1012,1999,381,142,523,223,788,1010,71,97,168,85,80,163,295,343,632,243,223,467,85,144,233,58,227,292,4054,4183,8233,263,300,560,136,200,335,1859,1859,3720,5889,5958,11841,207,158,369,105453,113412,218867
SOS62,12571,12433,24999,0,0,0,4,0,5,28,34,62,23,45,72,6,3,13,3,0,3,3,5,9,60,66,127,0,0,0,8,5,12,40,26,58,12,18,20,6,3,9,5,0,5,26,13,37,19,17,33,9,12,17,12,21,32,0,0,0,11,30,38,60,39,94,67,87,150,192,188,383,10,3,15,24,84,106,14,15,20,11,22,36,72,73,141,17,13,29,7,14,19,6,28,34,824,804,1630,58,72,126,3,8,15,205,228,437,1172,1073,2243,42,20,61,15622,15483,31104
SOS63,44486,41753,86232,3,4,11,6,5,10,113,121,236,50,122,173,10,4,14,10,4,17,16,16,35,235,282,518,17,12,34,24,33,52,130,78,206,34,49,77,15,4,20,3,0,8,88,85,164,67,36,108,13,56,73,22,38,61,3,0,7,43,57,102,87,73,153,231,189,422,738,732,1472,112,25,129,57,214,272,35,45,84,25,56,82,215,210,424,42,31,73,19,37,59,19,90,107,2743,2456,5197,245,246,493,19,48,68,688,715,1406,3859,3525,7382,89,42,128,54599,51491,106089
SOS67,224,61,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,4,5,5,36,0,35,8,0,13,299,76,378
SOS70,42465,40574,83039,27,7,34,385,250,631,116,130,244,558,848,1412,16,8,26,43,23,63,142,161,299,253,332,585,628,507,1138,126,152,280,2113,1812,3923,401,823,1221,64,36,98,7,3,16,293,315,608,220,158,376,53,108,160,125,156,284,33,16,48,287,345,635,1366,1168,2529,109,133,242,1191,1067,2254,400,206,607,2109,3003,5109,46,66,106,114,172,287,344,304,645,556,517,1072,127,281,410,202,611,816,2349,2252,4609,193,211,416,412,610,1020,2877,3238,6116,6849,6445,13292,2054,530,2586,69642,67583,137228
SOS71,18920,19502,38425,3,4,5,34,20,59,33,42,73,94,157,252,5,0,7,4,5,13,100,89,189,76,87,163,24,17,34,12,26,42,628,548,1177,36,66,98,9,6,14,17,7,23,66,49,123,46,43,90,8,25,40,22,33,56,3,4,11,38,46,91,232,183,412,36,46,88,580,568,1142,57,28,82,366,553,919,15,21,35,13,12,22,118,141,256,104,75,179,30,55,79,37,87,118,575,586,1158,387,323,705,56,63,119,817,837,1651,2574,2358,4933,88,91,174,26274,26787,53072
SOS72,11724,11857,23586,0,0,0,3,0,3,6,27,33,13,19,31,0,0,5,0,0,0,13,9,19,25,37,58,4,0,4,5,3,7,30,23,52,19,17,29,3,0,0,0,0,0,13,14,25,20,13,30,7,7,8,10,7,19,0,0,0,9,15,23,20,9,29,20,26,45,150,154,302,0,3,0,42,74,109,5,5,9,5,10,10,34,21,50,18,9,35,0,7,11,8,32,37,217,234,452,11,22,28,10,11,18,187,167,350,1080,987,2068,35,44,75,13738,13849,27586
SOS73,17934,15840,33768,0,0,5,8,0,8,29,37,66,16,28,47,0,5,6,5,0,4,19,14,30,99,107,204,18,9,26,0,6,8,34,29,64,28,60,94,5,0,5,0,0,0,58,39,101,48,31,75,0,13,13,16,15,23,0,0,0,30,42,70,8,10,18,66,60,126,405,330,740,5,3,6,60,170,237,11,9,17,8,11,19,73,66,143,9,11,17,9,11,16,35,109,145,736,666,1401,53,71,122,96,106,204,486,410,891,4247,2815,7063,246,101,345,24898,21242,46134
SOS77,204,37,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,18,3,24,0,0,0,0,0,0,15,3,16,133,17,146,12,7,17,429,73,494
SOS80,151391,153252,304641,445,294,734,1001,927,1928,638,736,1371,5366,6802,12165,637,710,1345,296,251,544,487,568,1058,986,1182,2166,456,546,1003,930,962,1900,9146,8098,17244,485,828,1313,583,532,1115,402,344,742,461,430,900,950,949,1899,235,610,846,1163,1386,2554,252,221,464,1279,1555,2836,3068,2635,5699,459,527,990,2631,2452,5087,1667,1235,2902,1987,3069,5057,423,571,995,538,626,1173,1121,1215,2337,1599,1680,3277,288,401,687,503,1109,1614,8101,7719,15816,1571,1758,3333,1704,2377,4073,10923,12089,23009,8324,7886,16209,547,595,1151,223072,229119,452187
SOS82,271,256,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,23,0,4,3,0,0,0,3,4,13,10,9,22,0,0,0,310,299,614
SOS83,255,216,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,3,0,3,0,4,5,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,11,10,24,4,0,0,0,0,0,13,10,25,57,39,89,0,0,0,360,289,649
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,395,328,721,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,0,0,0,4,6,11,6,11,17,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,0,0,118,111,230,0,0,0,0,0,0,12,17,30,5,0,5,15,9,23,0,0,0,21,10,37,5,3,15,0,0,0,0,0,0,4,6,15,27,19,46,0,5,5,0,0,3,16,7,28,222,174,397,5,0,6,870,733,1605
SOS92,891,910,1809,0,0,0,0,0,0,8,5,8,0,5,3,0,0,0,0,0,0,14,19,28,3,3,9,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,26,0,0,0,0,0,3,125,147,273,0,0,0,15,21,37,0,0,0,3,0,6,12,0,17,3,0,3,0,0,0,3,0,0,45,39,84,4,10,12,0,0,5,30,35,69,207,197,410,8,3,16,1405,1426,2831
SOS93,212,198,414,4,0,4,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,11,0,11,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,38,32,72,0,0,0,0,0,0,37,44,75,4,0,4,4,8,9,0,0,0,6,0,9,0,0,0,12,0,12,0,0,0,3,0,3,24,16,37,8,3,9,7,0,7,108,10,119,75,68,147,4,0,5,622,385,1009
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
