SOS_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SOS30,46,1141,102389,103571,2177,16364,89462,108006,61162,63385,105247,229793,129764,36488,57494,223743,127777,25536,55366,208679,110290,16295,47623,174209,93137,8028,35011,136170,51963,2581,19033,73574,11350,377,7832,19559,587664,170187,519451,1277297,88,2039,96873,98998,4288,23366,81718,109370,83929,67176,95530,246642,143418,34972,66552,244939,130921,24311,73297,228529,108047,14358,69687,192091,85053,5977,62832,153863,37513,1615,45945,85080,5175,183,22870,28226,598427,173990,615307,1387722,129,3177,199261,202570,6458,39733,171177,217372,145096,130560,200780,476429,273182,71456,124040,468675,258699,49841,128664,437206,218338,30649,117307,366292,178191,14002,97848,290040,89478,4201,64981,158653,16519,560,30700,47781,1186092,344172,1134755,2665022
SOS31,8,485,25083,25582,651,4584,16120,21355,13807,13339,19729,46876,24464,7990,13287,45732,26240,6632,14939,47804,28645,5110,15697,49448,29931,2907,13080,45910,17446,1058,7137,25635,3725,154,2657,6533,144913,42255,127722,314884,28,918,22863,23802,1262,6590,13651,21508,19008,14365,18826,52188,28587,8345,15669,52593,28525,6760,17886,53168,30687,4805,19040,54540,27960,2357,18082,48404,12903,720,14398,28024,1670,78,6926,8680,150623,44935,147348,342903,41,1399,47947,49388,1911,11173,29775,42860,32809,27705,38554,99069,53048,16327,28954,98329,54761,13388,32827,100973,59335,9917,34740,103987,57883,5264,31168,94315,30347,1783,21530,53654,5397,237,9579,15216,295534,87190,275062,657786
SOS32,0,65,3366,3426,35,506,2121,2664,1389,1737,2336,5467,2962,1345,1786,6093,3878,1341,2453,7676,5191,1139,3070,9395,5438,671,2772,8879,2771,204,1392,4366,429,25,360,815,22091,7026,19649,48774,3,107,2949,3057,116,746,1684,2543,1994,1958,2361,6308,3592,1442,1981,7019,4509,1349,2406,8270,5734,1084,3035,9855,4884,553,2714,8145,1873,117,1918,3914,191,12,773,971,22891,7371,19827,50083,3,174,6310,6488,150,1250,3807,5209,3388,3693,4701,11774,6549,2787,3767,13105,8392,2692,4866,15949,10922,2224,6100,19253,10319,1218,5486,17028,4644,321,3310,8279,622,39,1129,1787,44983,14401,39481,98860
SOS33,7,112,12068,12189,225,1118,6849,8194,5206,3909,6879,15995,12410,3339,4931,20676,17450,3921,6751,28119,20592,3546,8227,32359,18303,1879,7141,27328,8512,533,3610,12658,1285,46,1031,2363,83983,18408,57487,159881,14,232,10895,11143,423,1628,5192,7245,7442,4476,5323,17240,14982,3779,4207,22966,19997,4137,5631,29764,21613,3349,6590,31552,16059,1363,6209,23635,5637,293,4119,10043,538,18,1560,2115,86698,19283,49726,155703,20,348,22959,23330,647,2750,12045,15436,12645,8385,12203,33234,27394,7118,9133,43645,37447,8058,12384,57885,42199,6899,14813,63910,34359,3248,13352,50959,14151,830,7730,22703,1821,70,2590,4473,170683,37688,107206,315580
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
SOS40,13,211,33052,33279,646,3689,34317,38654,22667,18165,40748,81579,44872,10485,21338,76700,41622,7911,21725,71260,40280,5894,20309,66481,36466,3042,14178,53684,21218,915,7321,29455,5703,143,3844,9685,213484,50456,196837,460777,30,368,30825,31224,1552,5460,29888,36904,31283,19361,32866,83515,48140,10315,22161,80620,42114,7652,24958,74727,40073,5396,27339,72804,34236,2532,25049,61820,16270,604,19331,36205,2598,66,11371,14039,216296,51770,223792,491855,37,582,63880,64502,2197,9155,64202,75552,53952,37526,73619,165094,93016,20803,43499,157313,83740,15565,46682,145987,80351,11289,47652,139289,70706,5580,39226,115509,37488,1517,26652,65665,8305,211,15212,23724,429781,102225,420626,952632
SOS41,0,101,8679,8780,166,1320,6236,7722,4640,4809,7102,16555,8445,2838,4633,15919,9746,2485,5657,17886,11200,2011,6095,19308,12609,1135,4733,18477,8049,366,2647,11066,1874,60,1291,3223,56729,15125,47076,118925,9,203,7907,8121,344,2036,5042,7422,6220,5107,6246,17574,9737,2868,5151,17758,10589,2526,6607,19723,11750,1876,7166,20790,12179,928,7177,20280,6267,249,6293,12811,884,39,3323,4243,57981,15839,54911,128733,7,302,16588,16900,507,3356,11281,15140,10860,9920,13345,34126,18178,5714,9785,33676,20334,5009,12263,37614,22951,3886,13262,40099,24788,2064,11911,38760,14318,616,8940,23872,2754,93,4619,7465,114708,30961,101985,247654
SOS42,9,18,1162,1185,52,147,765,963,643,588,891,2124,1164,378,617,2158,1377,395,906,2682,2008,394,1150,3556,2223,237,1044,3510,1175,71,504,1749,262,3,215,477,8923,2236,7248,18409,12,30,1022,1063,69,211,603,885,874,661,770,2304,1353,429,590,2374,1542,410,830,2771,2199,388,1047,3632,2046,197,1064,3307,888,41,865,1799,114,5,442,558,9094,2369,7235,18702,21,49,2178,2251,120,360,1368,1851,1519,1253,1661,4435,2517,803,1208,4533,2918,803,1729,5454,4214,780,2197,7187,4267,434,2111,6811,2068,111,1365,3551,380,9,650,1042,18018,4610,14485,37111
SOS43,0,24,3973,4004,65,294,2499,2859,1748,1318,2292,5368,4156,1105,1487,6750,5906,1291,2243,9441,7119,1304,3022,11450,6386,666,2356,9408,2878,163,1068,4105,456,16,325,794,28720,6181,19272,54172,0,63,3460,3528,139,453,1779,2371,2374,1430,1568,5379,4991,1203,1096,7290,6489,1404,1548,9444,7358,1205,1953,10526,5724,501,1756,7976,1926,95,1226,3245,206,9,519,742,29218,6370,14917,50503,5,94,7438,7535,198,745,4281,5229,4128,2754,3864,10740,9147,2308,2582,14043,12397,2697,3791,18887,14483,2513,4976,21975,12111,1162,4111,17385,4800,252,2294,7349,664,23,844,1537,57938,12557,34188,104679
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,25,396,56259,56677,968,6160,50701,57828,35610,31339,59857,126810,79413,18712,32658,130776,74330,12468,29199,115989,65437,8545,25967,99948,55211,4190,19165,78560,29840,1282,10215,41338,7320,223,4500,12039,348143,83304,288524,719973,32,728,52884,53643,2325,9850,44987,57165,53421,35683,49466,138571,89261,18656,34012,141934,77572,12473,35656,125698,65301,7687,36569,109560,50258,3196,34087,87535,21779,833,24801,47413,3477,107,13544,17124,363434,89216,325998,778648,60,1123,109145,110322,3292,16014,95695,114996,89034,67021,109319,265379,168678,37366,66667,272710,151899,24941,64853,241689,130741,16235,62533,209507,105465,7385,53252,166100,51620,2116,35013,88751,10796,325,18046,29163,711576,172522,614517,1498619
SOS51,6,173,9867,10042,206,1740,6075,8021,5475,6113,7945,19538,11059,4054,5565,20678,11186,3026,6018,20236,11121,2276,5733,19135,9733,1066,4242,15044,5426,282,2076,7789,1261,47,882,2186,55469,18786,48406,122663,16,348,9056,9418,424,2570,4733,7724,7997,6934,7147,22076,13048,4248,6158,23457,12145,3163,6901,22207,11263,2049,6774,20088,9003,793,6100,15895,3981,208,4468,8660,612,20,2301,2937,58492,20319,53648,132461,26,517,18917,19459,631,4314,10809,15747,13473,13045,15096,41616,24110,8302,11722,44132,23331,6190,12922,42441,22387,4327,12511,39222,18739,1857,10344,30939,9409,493,6545,16447,1866,67,3182,5115,113965,39106,102059,255121
SOS52,13,35,1298,1349,81,239,843,1157,686,784,1096,2568,1203,526,875,2608,1374,473,1132,2984,1689,468,1320,3474,1771,239,1118,3132,942,81,513,1528,219,7,152,376,7973,2852,8360,19180,22,60,1220,1306,105,341,729,1173,965,875,1091,2933,1462,596,970,3024,1512,530,1082,3125,1814,415,1269,3500,1635,176,1064,2870,670,45,777,1491,94,4,315,416,8285,3050,8510,19845,38,101,2521,2657,178,580,1572,2331,1652,1663,2189,5500,2665,1119,1844,5630,2885,1002,2217,6107,3503,881,2588,6975,3405,415,2181,6001,1608,123,1289,3021,313,12,472,797,16255,5899,16872,39025
SOS53,10,46,3680,3730,64,292,2414,2779,1546,1294,2276,5116,4094,1209,1577,6883,5974,1357,2107,9444,7123,1269,2528,10923,6135,684,2219,9032,2691,159,974,3826,437,15,266,722,28078,6322,18046,52443,17,78,3293,3388,106,431,1702,2241,2313,1574,1672,5552,5243,1358,1267,7866,6767,1552,1616,9939,7488,1221,1878,10593,5386,442,1674,7498,1802,102,1165,3067,182,3,511,694,29292,6770,14782,50847,25,117,6972,7117,177,723,4114,5017,3858,2864,3946,10671,9333,2570,2845,14750,12746,2911,3725,19377,14609,2496,4408,21514,11515,1125,3896,16537,4491,260,2144,6891,616,22,773,1421,57375,13092,32829,103293
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,3,42,4842,4884,119,684,4688,5483,3983,3519,7992,15492,5919,2073,3263,11257,5547,1513,3055,10106,5591,1084,3078,9756,5565,583,2256,8411,3204,214,1222,4639,798,30,597,1420,30723,9738,30995,71457,3,76,4513,4589,284,1000,4095,5374,5048,3823,6726,15596,6207,2051,3916,12176,5768,1463,3999,11229,5749,988,4399,11141,5141,483,4334,9959,2468,121,3341,5933,388,13,1722,2129,31056,10017,37046,78121,7,115,9358,9477,401,1685,8777,10862,9031,7344,14718,31087,12123,4122,7181,23429,11313,2970,7049,21340,11342,2073,7482,20889,10711,1072,6591,18374,5672,338,4568,10567,1187,44,2318,3546,61781,19751,68039,149573
SOS61,0,56,5550,5605,170,1042,4364,5571,3577,3487,5864,12920,5467,2048,3164,10679,5878,1647,3805,11324,7024,1342,3828,12193,7303,684,3166,11153,4556,212,1792,6563,1012,27,755,1798,34983,10550,32282,77815,6,116,5226,5339,331,1492,3716,5540,4614,3703,5121,13431,5997,1959,4039,12001,6450,1693,4836,12982,7260,1168,5266,13692,6924,540,5411,12878,3409,140,4378,7924,491,15,2123,2632,35484,10817,40120,86430,6,174,10776,10953,506,2532,8077,11115,8184,7188,10987,26355,11462,4011,7203,22680,12327,3336,8645,24306,14284,2511,9093,25888,14230,1228,8573,24023,7963,355,6170,14486,1502,42,2885,4429,70467,21369,72404,164236
SOS62,0,5,661,663,12,85,477,576,364,406,569,1332,705,322,413,1439,932,292,540,1763,1269,277,668,2216,1413,182,600,2194,742,47,334,1125,114,3,99,220,5553,1622,4359,11532,4,14,603,616,27,128,347,503,479,456,474,1406,800,335,387,1521,1060,294,483,1842,1416,267,668,2355,1257,121,705,2088,503,30,495,1033,53,0,196,252,5602,1643,4364,11614,4,14,1266,1282,41,215,825,1076,838,861,1040,2737,1506,655,797,2959,1991,589,1027,3607,2690,548,1336,4574,2669,307,1301,4282,1252,79,833,2154,171,3,300,470,11156,3272,8715,23142
SOS63,3,15,2848,2870,40,264,1763,2070,1224,1232,1929,4379,2912,1169,1237,5326,3969,1261,1634,6869,5194,1153,2158,8496,4726,623,1808,7156,2003,136,800,2940,291,15,230,530,20362,5872,14406,40637,5,35,2472,2507,90,384,1325,1794,1674,1429,1347,4453,3471,1244,1078,5794,4502,1249,1392,7141,5417,1037,1759,8219,4060,412,1470,5943,1301,68,915,2276,118,3,372,490,20629,5860,12129,38618,10,46,5326,5377,122,646,3086,3860,2896,2663,3281,8841,6386,2421,2313,11120,8477,2514,3025,14009,10607,2191,3916,16716,8782,1036,3276,13097,3298,202,1714,5219,407,17,599,1023,40989,11732,26532,79256
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,3,44,2820,2865,92,581,2620,3293,2802,2277,4258,9336,4513,1367,2061,7946,3553,958,1950,6467,2825,628,1725,5181,1923,267,1286,3479,820,72,459,1347,124,3,118,242,16666,6197,17292,40154,8,79,2704,2795,260,808,2057,3117,4000,2592,3972,10561,4911,1498,2469,8876,3582,928,2241,6751,2600,537,2066,5201,1534,195,1653,3374,464,34,866,1356,39,0,259,302,17389,6657,18289,42336,13,121,5525,5657,346,1389,4674,6414,6797,4867,8228,19890,9425,2863,4530,16818,7137,1884,4189,13212,5427,1166,3789,10379,3454,459,2942,6848,1288,98,1321,2704,163,3,381,548,34052,12858,35576,82483
