SOS_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOS42,7,6,8,93,62,151,5,0,0,0,0,0,5,0,7,7732,6347,14075,399,443,837,216,5,219,44,6,49,58,19,80,113,45,155,612,809,1420,9268,7744,17014,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,8,5,7,0,0,0,0,0,0,27,32,56,3,7,10,0,0,0,30,33,66,82,35,121,123,75,195,0,0,0,4,0,4,3,4,7,13,4,14,580,910,1492,1003,1487,2490,124,112,232,11104,10328,21432
SOS43,19,13,31,978,239,1217,14,3,22,4,0,6,8,10,20,24043,19799,43840,1384,1263,2650,811,34,842,212,28,243,95,19,112,961,243,1205,2327,1306,3633,30852,22968,53818,0,5,4,0,0,0,0,0,0,21,23,46,0,0,0,0,0,0,24,30,52,0,0,0,0,0,0,52,63,116,20,23,42,30,6,37,100,90,194,346,161,504,470,283,749,6,3,16,28,3,34,38,12,49,75,26,96,6310,5785,12098,2684,4222,6904,441,328,769,40829,33609,74441
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,16,0,16,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
SOS50,11341,11327,22662,13950,13155,27098,128,76,209,31,15,45,1966,1679,3644,334514,296171,630681,17966,25004,42971,4560,134,4693,2464,255,2711,5224,1495,6715,8767,2178,10939,6941,7011,13950,407844,358480,766327,6731,6529,13258,9,7,25,0,4,5,4523,4112,8630,658,912,1570,495,188,681,12413,11755,24171,13,8,24,8,8,15,725,766,1495,450,877,1326,502,350,855,1699,2006,3704,3833,2067,5899,17947,15828,33771,2108,2514,4617,324,225,549,196,78,274,2628,2815,5442,33695,43286,76978,50297,65332,115625,2236,1566,3799,514630,487315,1001946
SOS51,79,72,154,2389,649,3039,34,7,41,0,0,5,193,202,393,63226,57992,121215,5815,5405,11217,1165,52,1218,566,129,701,1080,543,1627,1556,471,2031,2493,2945,5448,78602,68475,147083,49,37,83,0,0,0,0,0,0,94,73,169,3,10,18,0,0,4,152,123,278,0,0,0,0,0,0,354,120,478,48,47,95,82,24,106,489,191,677,1001,471,1473,1640,781,2428,36,27,63,70,12,89,65,23,93,175,67,241,2787,5203,7993,11502,12134,23640,624,435,1065,95336,87106,182442
SOS52,9,11,14,604,184,789,6,0,8,0,0,0,10,0,10,7804,6285,14092,793,638,1427,335,10,344,36,5,41,130,94,227,388,113,507,1025,1414,2437,11146,8758,19902,4,5,3,0,0,0,0,0,0,13,16,34,0,0,0,0,0,0,18,22,38,0,0,0,0,0,0,20,6,29,9,0,11,13,6,22,44,14,56,152,68,223,212,112,319,11,0,9,29,4,33,15,3,19,54,8,62,476,756,1232,1654,1653,3309,196,154,354,13738,11442,25180
SOS53,130,123,253,5884,1057,6940,14,4,17,0,4,6,97,25,120,25927,19673,45593,3259,1796,5055,1408,84,1489,199,26,229,133,55,189,4377,1103,5480,3655,2460,6116,45087,26411,71494,20,20,47,0,0,0,0,0,0,123,129,252,14,10,19,3,0,3,155,166,322,0,0,0,0,0,0,74,21,99,48,13,66,324,68,389,452,108,555,921,252,1174,1529,521,2053,43,43,88,277,52,325,87,17,106,406,114,517,6052,6223,12278,5466,5665,11126,599,375,976,59138,39300,98440
SOS57,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
SOS60,13,10,21,1833,2927,4764,38,48,84,0,0,0,211,218,429,30508,24799,55306,1943,3811,5760,391,11,397,469,54,526,862,383,1244,256,132,391,2428,2857,5287,38965,35248,74212,0,7,7,0,0,0,0,0,0,10,11,14,0,0,3,0,0,4,11,16,31,3,8,11,0,0,0,143,235,374,88,214,306,51,63,111,281,522,805,403,371,775,694,916,1610,0,5,9,44,65,108,14,8,24,55,81,139,3581,4011,7592,4158,7032,11188,207,198,403,47668,47471,95146
SOS61,7,5,11,427,561,992,6,3,10,0,0,4,119,183,297,35260,31188,66446,2186,2883,5077,471,5,467,283,31,315,307,87,388,220,113,335,1532,1759,3288,40811,36817,77634,0,0,0,0,0,0,0,0,0,6,12,17,0,0,0,0,0,0,11,14,22,0,0,0,0,0,0,33,57,87,41,78,116,12,23,33,84,152,235,312,221,533,408,382,787,4,4,6,14,30,47,19,10,26,36,43,79,2270,3136,5407,4063,6761,10826,296,234,532,47888,47383,95263
SOS62,0,0,0,40,61,108,0,0,3,0,0,0,4,3,10,4868,3957,8824,291,285,580,129,6,139,32,5,28,27,24,52,48,21,63,266,333,606,5708,4704,10406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,10,9,17,7,9,13,0,0,0,16,18,33,54,30,79,70,51,118,0,0,0,5,5,7,0,0,0,9,5,8,498,629,1129,645,952,1598,67,68,135,6992,6409,13402
SOS63,6,0,4,100,122,222,3,4,7,0,0,0,12,3,18,17600,14917,32521,859,1082,1937,695,26,721,223,35,263,60,25,82,209,73,286,929,607,1535,20696,16898,37596,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,35,52,89,21,25,51,3,0,3,62,78,139,195,101,292,257,184,444,0,0,0,5,7,15,11,0,12,11,14,24,3168,3196,6365,2260,3251,5506,264,198,461,26660,23736,50394
SOS67,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,14,39,4,0,4,5,0,5,0,0,0,0,0,0,89,8,94,20,4,24,147,26,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,10,9,19,67,10,80,228,48,277
SOS70,14,4,17,631,946,1580,15,3,20,3,3,7,146,165,315,23684,20936,44623,1449,2617,4060,222,13,238,688,148,833,766,510,1274,668,254,925,1416,1291,2711,29705,26885,56591,0,6,3,0,0,0,0,0,0,8,9,17,3,0,3,0,4,7,18,17,39,0,0,0,0,0,0,43,40,84,32,92,128,24,25,54,107,161,265,325,209,540,446,387,837,3,0,3,24,35,60,26,11,33,51,45,97,1257,1828,3082,3412,4442,7855,188,144,335,35058,33737,68792
SOS71,3,3,6,211,104,316,5,4,3,0,0,0,30,40,72,6778,6213,12995,684,1123,1811,86,4,98,143,41,187,412,305,720,86,54,146,909,1215,2126,9355,9118,18471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,3,15,0,5,8,0,0,4,22,10,30,123,107,228,145,111,258,0,0,0,4,3,12,10,11,18,13,11,27,261,389,656,867,1127,1991,153,127,278,10792,10886,21677
SOS72,0,0,0,100,84,188,0,3,5,4,0,3,0,0,0,1607,1229,2834,322,389,710,40,6,42,24,3,28,55,48,110,55,31,90,953,1255,2209,3159,3064,6225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,5,5,8,3,3,0,13,8,23,62,60,122,79,72,151,0,0,0,4,9,11,4,5,11,7,16,23,88,148,242,458,514,971,96,82,181,3890,3891,7785
SOS73,0,5,6,277,65,339,5,0,5,0,0,3,4,5,15,4837,4220,9057,394,436,831,213,10,230,81,15,102,78,40,123,432,163,593,953,855,1805,7281,5826,13105,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,8,5,0,5,0,0,0,0,12,18,10,0,10,24,5,28,39,21,61,110,57,167,149,81,235,0,0,0,17,8,24,12,3,13,32,10,41,620,699,1324,1453,1574,3028,152,102,247,9689,8293,17978
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,5,0,0,0,8,0,8,0,0,0,0,0,0,164,11,174,47,7,54,224,16,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,5,4,13,7,0,6,249,35,282
SOS80,64,44,106,4047,5038,9083,26,0,28,1038,1252,2287,277,320,600,78987,67856,146845,4187,8365,12553,969,33,1001,1603,186,1781,3488,1744,5236,697,294,987,5107,4950,10056,100493,90076,190571,18,12,30,0,0,0,0,0,0,12,20,37,0,0,4,3,0,5,40,42,78,0,0,0,646,736,1387,251,300,554,151,456,603,164,147,308,1211,1640,2849,1357,1065,2425,2610,2748,5352,7,6,19,172,237,407,76,39,110,254,282,535,12814,14270,27083,8772,14844,23610,340,259,595,125273,122472,247742
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,96,216,0,3,6,3,0,7,0,0,0,0,0,0,0,0,0,4,6,8,126,112,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,25,52,10,25,39,4,0,7,166,166,332
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,78,161,4,4,10,3,0,3,0,0,0,0,0,0,46,7,58,35,17,57,169,111,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,58,12,22,31,0,0,0,221,156,378
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,26,32,57,0,0,0,0,0,0,0,0,0,299,189,489,18,30,52,3,0,3,11,3,14,3,0,4,7,8,9,13,14,26,376,279,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,7,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,14,27,31,43,73,10,3,9,436,346,777
SOS92,0,0,0,0,3,4,16,12,19,0,0,0,0,0,0,316,387,706,11,26,41,60,6,70,40,12,45,13,12,24,30,20,48,127,83,210,610,553,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,9,20,28,15,13,28,27,33,58,0,0,0,4,9,13,0,0,0,6,9,15,37,46,88,72,77,143,5,6,11,756,721,1470
SOS93,0,0,0,8,11,14,0,0,0,0,0,0,0,0,0,115,123,234,8,8,20,12,0,17,5,0,6,0,0,0,3,0,3,3,5,11,155,149,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,16,24,7,7,16,3,4,10,180,178,361
