SOS_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOS30,0,0,0,10,98,340,1149,1753,252,251,163,215,139,129,108,4614,0,0,5,37,60,259,1142,647,133,150,192,155,78,28,28,2922,17,84,462,935,1093,1215,2447,1722,326,386,478,486,297,132,151,10232,115,348,339,390,2518,3847,16759,10879,3166,3483,3488,4742,1651,245,970,52948,27,291,1082,368,196,709,217,69,20,7,7,12,11,4,89,3108,85,255,292,149,186,189,563,356,83,87,90,143,72,28,81,2659,32,86,291,690,2740,2700,3247,1343,219,236,252,268,141,69,262,12586,1558,2393,1535,1127,1951,1315,2509,1008,218,221,244,358,161,77,383,15045,135,785,1008,332,173,120,114,171,18,24,23,16,6,12,167,3109,37,90,230,648,2012,2528,2070,1585,461,387,501,653,516,195,252,12169,168,155,703,798,1295,2502,22605,14968,3548,3827,5071,6050,2208,489,1122,65500,73,269,236,352,647,1157,1867,1009,270,281,304,382,238,40,145,7259,3,20,27,114,517,491,1869,2834
SOS31,0,0,0,0,0,4,34,50,3,0,9,0,4,0,3,115,0,0,0,0,0,23,151,88,11,25,26,21,12,4,0,354,8,26,102,200,200,171,317,242,48,64,47,60,38,21,35,1590,17,42,20,19,81,116,521,384,98,180,244,412,90,20,70,2305,6,55,139,48,28,25,12,10,0,0,3,0,4,0,19,346,4,20,43,13,10,7,37,27,6,18,15,45,15,6,11,278,6,13,41,90,198,196,335,204,28,45,51,70,36,9,47,1359,346,792,504,342,467,213,382,174,28,33,46,54,35,6,115,3520,7,53,85,25,10,9,8,11,0,0,5,0,0,0,17,230,11,12,30,35,53,51,86,87,19,17,22,34,14,0,17,482,28,19,106,69,71,129,1634,1278,348,337,375,526,199,97,133,5356,19,72,49,32,41,96,169,133,38,35,82,109,53,5,36,980,0,0,12,9,27,20,40,94
SOS32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,16,0,4,21,44,34,34,43,31,8,8,9,7,0,0,3,245,0,9,4,4,7,5,40,22,5,13,3,9,4,0,11,129,3,7,13,12,6,7,0,0,0,4,0,0,0,0,6,50,0,3,3,0,0,4,5,0,0,0,0,0,0,0,0,19,0,10,3,13,18,19,40,13,0,9,3,8,7,3,4,152,61,143,97,66,106,42,79,39,8,0,7,5,5,0,17,673,0,7,7,6,0,0,0,5,0,0,0,0,0,0,4,26,0,3,3,6,5,4,12,3,4,0,0,0,0,0,0,41,0,6,22,12,10,12,67,51,14,19,32,15,3,0,10,284,4,15,10,6,8,8,31,8,0,5,5,9,10,0,3,116,0,0,0,6,0,0,6,0
SOS33,0,0,0,3,0,4,3,4,0,3,0,0,0,0,0,13,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,18,0,26,85,134,92,136,195,118,14,8,21,26,17,9,19,892,5,11,23,4,33,33,111,83,28,25,33,32,18,0,16,461,5,26,81,26,5,15,9,3,0,0,0,0,0,0,5,167,6,13,10,7,3,0,5,0,3,0,0,0,0,0,0,56,4,15,25,43,73,69,66,31,13,3,8,15,4,0,19,387,145,324,267,182,381,187,257,122,13,25,14,43,22,0,52,2047,3,21,22,6,7,4,0,0,0,0,0,0,0,0,6,74,0,0,25,17,20,25,28,12,3,5,8,6,6,6,10,175,11,15,48,35,56,58,253,115,20,20,24,41,14,3,22,739,9,41,29,23,27,33,50,39,9,13,23,34,20,0,19,379,0,0,3,4,14,6,10,14
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,0,0,0,0,32,357,2451,2859,407,393,379,556,150,156,111,7853,0,0,4,3,13,58,677,685,101,152,196,135,96,12,22,2152,3,21,122,218,276,248,447,252,52,63,67,95,63,29,27,2000,23,125,117,240,838,1155,7467,5836,1717,1904,1691,2335,685,78,364,24579,33,339,770,275,131,576,209,26,7,9,3,4,3,0,56,2445,33,205,122,48,97,98,321,236,52,84,59,110,55,6,33,1563,7,19,38,78,233,197,284,94,20,28,34,26,13,3,21,1095,1160,2056,942,456,502,320,559,269,24,52,44,70,43,7,192,6703,90,2484,3143,649,227,114,117,220,28,19,3,26,10,3,241,7369,13,15,64,155,504,531,687,579,228,242,239,318,307,66,84,4039,72,73,380,353,371,829,13079,8420,2624,2942,4630,5639,2281,226,523,42439,9,70,44,86,145,237,447,367,106,95,130,129,75,6,39,1988,0,3,10,27,388,509,1048,1766
SOS41,0,0,0,0,0,14,74,139,15,26,0,19,9,0,8,298,0,0,0,0,0,0,14,28,0,3,12,0,5,0,0,67,0,9,34,50,51,54,91,37,9,16,3,11,9,0,10,378,0,6,13,8,16,27,242,206,65,80,84,78,7,11,23,861,5,60,127,43,16,7,0,5,0,0,0,0,0,0,11,272,6,15,7,0,9,0,21,0,0,8,4,17,3,4,0,91,3,3,8,3,12,17,31,24,3,4,0,13,0,0,8,136,255,603,271,135,153,86,126,42,8,4,10,18,7,0,55,1763,13,130,190,38,14,7,6,8,0,0,0,5,0,0,32,435,6,0,9,7,14,14,21,23,10,12,8,8,12,0,7,146,15,8,41,45,39,58,556,388,86,136,197,205,82,17,37,1912,3,22,7,15,13,20,48,37,10,6,22,36,23,0,3,264,0,0,0,0,11,17,26,25
SOS42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,3,3,8,9,4,5,4,0,0,4,0,0,0,4,36,0,0,0,0,0,5,5,11,9,6,8,10,0,0,0,54,0,5,11,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,12,27,91,43,23,21,13,11,8,0,4,0,0,0,0,8,250,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,5,6,3,3,27,28,4,9,7,17,3,0,0,125,0,0,0,0,0,0,8,4,3,0,5,0,0,0,0,23,0,0,0,0,0,0,0,7
SOS43,0,0,0,0,0,3,10,19,0,3,0,0,0,0,6,43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,10,27,29,25,39,16,0,8,7,9,4,0,7,189,0,8,8,5,10,12,45,22,14,9,5,25,0,0,6,172,0,20,33,9,0,8,0,0,0,0,0,0,0,0,0,82,0,3,6,0,0,0,0,4,0,0,0,0,0,0,0,21,0,4,6,3,14,8,9,9,0,0,0,6,0,0,0,68,67,202,94,63,97,32,51,36,0,3,0,5,6,0,17,674,3,98,130,30,21,5,5,3,0,0,0,0,0,0,31,315,0,0,3,3,10,4,0,14,0,0,0,8,0,0,0,46,4,11,21,30,31,47,111,47,12,19,22,36,7,0,11,426,0,11,0,5,4,11,18,12,5,0,3,15,4,0,10,101,0,0,0,0,5,3,15,9
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,0,0,0,17,157,632,1837,1533,190,201,160,283,142,115,109,5377,0,6,17,88,72,151,1022,725,96,102,120,126,85,6,29,2647,6,43,280,551,587,704,1266,787,137,145,143,179,109,42,63,5035,32,35,74,221,1372,2201,10098,6205,1284,1289,1144,1790,628,76,505,26953,80,506,1255,432,282,880,412,117,12,17,5,10,7,0,138,4152,82,150,243,137,175,208,485,497,77,74,60,53,32,8,59,2341,7,23,40,90,207,125,208,173,15,19,34,30,5,10,27,1011,929,908,730,644,1298,755,1610,816,108,117,136,172,86,30,155,8487,108,523,648,230,100,47,70,140,9,18,5,18,4,6,55,1982,15,28,149,469,1020,997,1287,953,217,195,232,267,198,55,112,6184,352,264,2201,1939,1875,2658,18780,13955,2911,2382,3499,4199,1446,287,921,57670,43,129,100,280,1110,2814,3784,1841,404,431,453,555,557,62,258,12815,5,4,11,61,677,681,1486,2119
SOS51,0,0,0,0,0,12,68,88,10,12,10,38,6,4,14,262,0,0,0,3,0,8,37,38,8,12,8,9,8,0,3,126,0,4,44,89,65,96,187,101,33,22,25,30,18,6,18,744,5,3,0,6,27,38,267,206,40,56,70,192,43,17,36,1011,4,31,60,11,17,14,8,7,0,0,0,0,0,0,8,172,4,4,12,8,5,12,14,21,8,0,4,16,9,9,6,134,0,3,4,17,31,28,80,49,3,14,15,11,13,26,5,309,267,209,134,119,199,107,295,141,23,25,23,45,15,5,50,1667,0,21,32,15,4,7,10,10,0,5,0,0,0,0,4,101,0,0,12,17,14,26,37,51,8,7,8,14,15,0,13,216,44,23,119,73,56,91,800,688,125,125,146,173,77,28,48,2608,7,16,3,14,43,84,229,196,57,50,42,55,46,10,18,868,0,0,0,0,24,4,28,68
