SOS_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOS30,272,985,3465,6934,13658,23417,30131,21386,7108,107354,24034,18739,20338,19808,16410,12751,10495,5673,1571,129807,349,525,1074,2052,4158,9437,16056,12914,4091,50658,33,32,62,95,179,556,1980,4539,3631,11106,522,1290,2327,5452,12053,19075,23412,14792,3508,82436,679,694,1073,2321,6965,16086,26012,21469,7923,83236,357,317,524,867,1555,2492,3885,3842,1809,15649,711,395,605,1148,2548,5735,9099,7975,2551,30769,9687,19400,24086,23371,22654,17878,12211,5862,2093,137236,120,130,234,547,1411,3007,4936,4962,1994,17338,19105,11852,12794,15846,19398,21225,18699,10758,4281,133955,272813,169907,178670,162747,135379,91808,52221,20243,4390,1088176,28069,20958,23478,20307,18697,14277,10424,6311,2853,145381,349049,236161,255643,243362,225732,189420,151506,84410,26120,1761402,314,1535,4446,9703,22771,39021,51945,38483,17420,185635,17194,21050,27818,27617,25550,22030,19624,11009,3691,175590,291,482,1397,3679,8334,12436,15418,10863,4293,57196,25,21,50,63,167,479,1885,5269,7211,15172,543,1242,2696,5208,9937,15197,18056,12279,4234,69389,573,688,1053,1714,3875,8401,14897,15759,9951,56904
SOS31,87,253,848,1885,4084,8820,13124,8939,2578,40620,7402,4200,4552,4573,4198,4192,4088,2171,516,35891,92,117,249,462,1123,3067,5857,4453,1298,16717,8,10,11,30,66,271,798,1495,1117,3808,178,336,567,1454,3494,6556,9159,5604,1256,28612,216,216,327,656,2127,5614,10014,7673,2606,29453,95,84,144,224,454,881,1614,1572,632,5706,214,93,157,391,1051,2786,4420,3431,969,13506,2964,4811,5298,5674,6331,6324,5069,2301,716,39491,34,46,80,156,430,1033,1945,1772,649,6144,5402,2803,2687,3520,4998,6605,6142,3458,1249,36859,69381,37071,37627,33424,30955,25736,17618,7115,1507,260429,9790,6739,8318,7599,7555,6787,5000,2701,1044,55541,93529,54475,57751,55103,57382,59842,56172,30727,8774,473761,105,365,1197,3068,7076,14120,19562,13770,5788,65049,5320,5209,6911,7140,7035,7593,7095,3709,1042,51057,75,120,342,865,1900,3581,5143,3509,1228,16757,7,10,15,17,58,217,587,1683,2287,4881,184,367,814,1543,3167,5458,6587,4531,1474,24129,180,189,328,543,1353,3245,5574,5669,3310,20396
SOS32,18,45,98,254,721,1812,2783,1488,302,7528,921,497,489,595,654,791,801,382,58,5196,16,10,32,58,196,582,1153,729,132,2917,0,0,0,3,12,37,102,163,125,448,18,35,78,217,571,1219,1804,913,158,5012,37,41,38,87,356,1099,1968,1342,279,5250,12,14,22,25,69,185,320,250,93,982,26,19,28,43,177,519,874,611,113,2397,331,509,558,712,1020,1214,970,307,61,5680,3,0,7,24,56,219,347,279,86,1015,632,332,286,471,817,1331,1218,535,122,5739,9932,4977,4675,4607,5033,5153,4063,1439,201,40078,1777,963,1189,1173,1290,1319,1145,572,105,9535,13494,7159,7148,7657,9415,11846,11986,5618,1026,75355,7,51,128,381,1055,2651,3392,1863,553,10096,668,576,760,859,1056,1350,1239,541,109,7146,16,12,33,113,343,697,894,440,112,2666,0,0,4,4,9,25,82,172,185,478,13,51,120,246,552,995,1202,633,139,3940,27,37,64,106,211,619,994,709,310,3087
SOS33,31,102,300,807,2301,5487,7324,3847,745,20957,2743,1691,1534,2012,2238,2646,2251,978,174,16256,44,59,92,226,621,1770,3270,1960,376,8412,10,3,6,11,36,108,258,403,222,1055,49,130,190,461,1472,3330,4418,2243,335,12631,75,80,92,249,1059,3041,5242,3409,723,13972,32,30,44,92,211,433,713,579,182,2310,69,47,45,163,466,1433,2124,1326,235,5905,932,1528,1620,2118,2973,3499,2432,760,134,16000,10,14,32,75,171,510,926,719,181,2627,1780,1120,927,1487,2518,3886,3337,1314,303,16666,31052,17450,14576,16773,20147,18920,12327,4078,555,135873,4771,3824,5198,5446,6160,5497,3696,1615,295,36503,40903,25322,23724,28136,36188,40774,34645,15015,2673,247391,40,139,384,1170,3437,7508,8782,4334,1002,26804,1808,1685,2021,2745,3472,3837,3192,1229,215,20201,43,32,103,339,1129,2076,2334,1135,193,7389,0,3,3,6,30,69,193,352,296,957,77,111,222,433,1028,2213,2533,1281,216,8102,77,81,93,174,526,1511,2411,1681,577,7125
SOS37,0,0,0,3,0,0,3,0,0,9,0,0,5,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,19,19,20,6,3,0,0,87,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,86,290,1082,2166,4543,8704,11369,8434,3813,40488,7901,6314,7079,6707,5647,4932,4243,2322,821,45968,115,144,321,647,1207,3212,5790,4550,1891,17868,0,10,20,35,72,242,741,1759,1878,4757,188,438,901,2416,4894,8428,10518,6734,2166,36683,192,200,332,696,2418,6077,9845,8224,3957,31943,161,153,198,293,503,912,1355,1358,749,5689,222,124,202,327,814,2044,3153,2664,1195,10748,2110,5878,8245,7955,8205,7168,4813,2263,1085,47731,36,33,72,165,510,1159,1945,1847,1028,6781,6015,3783,4103,5247,6761,8309,7273,4063,1995,47544,86718,58307,64264,56076,45580,33820,19445,7878,2143,374240,7093,5194,5646,5280,5122,4291,2806,1761,929,38140,108763,78031,88040,81893,75735,70387,57073,32262,12494,604691,100,472,1521,3286,7901,15237,21046,16859,9490,75905,5363,6770,9136,9113,8286,8429,7782,4548,1887,61312,96,139,363,991,2438,4236,5688,4085,1948,19991,11,17,16,23,64,200,787,2345,4062,7515,171,431,1060,2094,3966,6598,8194,5953,2810,31264,173,187,323,490,1292,3013,5485,6147,5042,22153
SOS41,26,82,318,691,1524,3176,4542,3467,1307,15143,2661,1806,1897,1772,1673,1781,1560,954,297,14390,35,41,76,150,334,965,1956,1793,594,5944,5,3,4,8,25,72,263,646,571,1600,62,125,220,486,1271,2637,3729,2585,754,11878,62,63,103,187,693,1916,3534,3141,1284,10988,42,34,40,91,146,329,473,490,222,1855,60,38,63,107,333,807,1295,1164,431,4286,701,1706,2124,2053,2343,2348,1830,873,306,14274,8,10,24,27,148,371,645,702,314,2243,1709,991,1042,1249,1828,2474,2298,1313,560,13460,22462,12582,12522,11267,11249,9766,6901,2965,723,90432,2473,1669,1930,1809,1881,1720,1300,884,379,14044,29608,18272,19117,18136,20083,21670,20587,12394,4153,164020,32,145,456,1022,2535,5108,7241,6055,2894,25486,1898,1983,2622,2578,2734,2904,2852,1738,599,19908,26,40,83,279,659,1289,1839,1469,585,6287,0,4,0,12,16,74,275,846,1170,2393,64,124,282,544,1164,2081,2858,2226,942,10291,56,50,83,179,400,1015,1922,2268,1514,7481
SOS42,3,12,34,109,242,649,912,575,208,2737,320,184,225,253,230,321,315,141,53,2045,0,0,12,15,63,167,404,259,104,1015,0,0,0,0,0,18,40,88,74,221,6,17,27,69,197,474,711,400,109,2025,10,13,16,31,114,356,677,476,179,1871,3,0,10,13,18,40,95,88,34,301,3,0,12,5,41,145,274,181,57,723,76,184,254,282,365,462,349,124,55,2163,0,0,3,6,24,73,123,90,47,366,194,106,94,137,286,471,410,178,70,1950,3233,1740,1684,1582,1737,1849,1423,524,113,13875,385,247,234,266,336,416,396,208,93,2585,4166,2434,2466,2521,3153,4210,4241,2066,651,25919,7,11,56,126,364,953,1194,789,386,3892,226,222,283,322,338,461,463,229,77,2628,6,6,9,34,88,213,303,197,65,926,0,0,0,0,3,4,54,88,178,335,9,11,38,80,156,377,438,316,108,1521,14,15,23,28,65,191,306,295,211,1136
SOS43,13,33,102,267,682,1840,2167,1169,222,6500,990,654,573,765,836,948,760,335,53,5907,6,14,29,53,175,563,979,559,117,2499,0,0,0,0,7,23,59,119,55,264,26,58,74,149,530,1217,1577,778,147,4554,7,20,31,62,306,1039,1579,992,246,4282,12,17,17,20,51,144,190,124,41,611,18,11,16,41,105,413,568,319,72,1565,188,450,486,663,929,1108,717,203,29,4773,3,4,6,10,56,165,274,204,47,773,484,314,283,430,813,1227,960,341,74,4940,10185,5834,5093,5615,6892,6640,4095,1288,198,45843,1146,954,1251,1402,1496,1488,1012,447,84,9267,12917,8136,7702,9008,11644,13717,10944,4607,859,79519,21,57,121,350,1072,2301,2619,1302,339,8172,656,642,680,883,1049,1195,968,392,74,6538,3,13,34,107,320,617,670,319,40,2126,0,0,0,0,4,18,33,101,61,214,31,33,71,158,375,776,898,432,115,2887,26,15,18,53,160,429,629,422,155,1903
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,148,473,1479,3160,6111,11091,14825,10769,3990,52041,12619,9114,9692,9781,8092,6267,5033,2733,872,64198,213,253,518,1036,2047,4666,8109,6433,2244,25515,4,18,21,44,100,287,932,2217,1968,5584,304,604,1240,3328,6804,10843,13607,8527,2377,47632,273,251,460,1084,3539,8541,13648,10975,4302,43074,202,152,243,482,699,1211,1874,2056,1037,7967,271,161,254,469,1117,2590,4408,3833,1438,14536,4016,9132,12002,11573,10490,8356,5484,2570,975,64597,48,59,103,295,638,1387,2428,2589,1172,8713,9422,5904,5977,7439,9378,10636,9683,5308,2371,66128,161173,92497,100712,99327,78439,55419,31131,11753,2729,633176,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,215,791,2259,4895,11128,19964,26622,20365,10048,96289,8740,9863,13175,13227,11835,10690,9124,5016,1835,83514,171,229,667,1859,4081,6351,7945,5441,2203,28945,12,21,16,28,56,259,857,2808,4098,8152,298,663,1309,2847,5262,8577,10775,7133,2912,39772,211,231,327,704,1760,4080,7223,7670,5174,27378
SOS51,33,99,325,710,1469,2870,3880,2494,809,12689,2976,1628,1771,1851,1558,1528,1209,618,175,13313,33,31,95,179,397,1083,1855,1328,427,5430,0,0,5,6,18,69,206,489,376,1170,82,137,273,606,1408,2531,3001,1786,442,10264,70,48,100,210,718,1797,3000,2262,849,9057,48,28,73,84,179,302,461,434,191,1802,70,36,53,76,248,735,1148,888,272,3524,826,1598,2012,2090,2188,2109,1406,601,216,13049,4,3,23,33,137,302,565,534,225,1835,1822,972,954,1210,1641,2057,1936,1057,404,12041,30805,14764,16922,16911,14983,11683,7168,2483,534,116255,4947,3043,4188,4286,4048,3473,2083,1030,348,27430,41048,21690,25733,26771,26182,25018,20161,9988,2961,199548,57,130,432,1063,2606,4679,5996,4085,1848,20905,1966,1779,2589,2665,2511,2437,2114,1022,352,17434,25,21,123,357,774,1265,1674,1125,392,5751,4,0,6,7,24,63,215,579,830,1736,57,130,322,588,1185,1961,2369,1369,553,8516,55,54,80,159,439,972,1569,1419,943,5682
SOS52,5,14,34,104,243,626,975,515,125,2646,359,206,256,284,267,290,311,133,21,2126,3,8,14,20,49,229,387,290,70,1065,0,0,0,4,9,10,43,59,43,167,15,36,54,124,286,495,713,361,77,2152,10,22,17,54,138,410,706,441,121,1918,13,0,3,16,34,55,99,81,22,319,12,0,8,21,44,167,330,208,43,834,128,197,259,339,341,405,341,109,35,2149,0,0,4,8,20,76,138,111,28,389,227,118,106,195,280,447,431,165,53,2018,4388,2249,2613,2345,2374,2243,1514,488,103,18319,873,450,775,763,858,827,640,281,62,5525,5943,3187,4014,3992,4426,5113,4669,2080,496,33918,9,19,69,161,394,907,1239,673,240,3706,221,220,315,349,408,492,474,175,53,2701,3,6,18,52,111,253,300,178,52,977,0,0,0,0,6,17,33,60,72,194,12,14,57,134,291,446,470,238,66,1736,17,23,26,51,103,218,344,243,121,1129
SOS53,7,57,132,337,844,1919,2318,1084,217,6917,863,612,810,1006,943,908,703,260,46,6143,11,26,35,85,260,692,1117,621,110,2951,0,4,0,4,8,20,48,133,47,265,28,51,112,248,734,1276,1495,676,102,4726,22,21,40,85,415,1146,1714,1009,215,4667,14,12,24,37,85,157,192,158,48,730,17,13,14,26,123,362,602,359,64,1579,297,504,652,834,1042,1053,713,228,28,5356,3,5,8,18,61,142,276,198,54,766,532,351,368,581,865,1264,1056,403,85,5514,11194,7030,8864,9662,10407,9150,5111,1452,209,63077,1611,2257,5641,5670,5320,3933,1719,559,99,26806,14398,10683,16417,18019,19811,19205,13265,4870,842,117502,10,49,152,378,1104,2433,2843,1274,325,8555,566,573,697,886,1124,1192,942,335,62,6374,15,11,33,131,361,738,803,361,61,2509,0,5,0,7,6,29,68,120,108,341,18,38,75,161,382,678,843,421,108,2736,15,15,33,50,153,432,708,521,163,2091
SOS57,0,0,5,10,26,25,13,4,0,83,0,0,17,34,19,17,5,0,0,96,0,0,0,0,5,12,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,4,4,0,34,0,0,0,0,5,13,13,3,0,40,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,13,0,0,9,21,9,6,0,3,0,57,0,0,0,0,0,0,0,0,0,5,0,0,3,9,21,11,0,3,0,48,0,58,202,419,365,180,32,0,0,1267,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,0,0,5,0,0,5,13,0,0,27,0,3,5,0,4,0,3,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOS60,15,66,227,430,882,1576,2162,1498,582,7440,1298,1027,1088,1019,893,777,645,353,120,7222,17,28,52,106,193,533,968,745,277,2925,0,4,3,4,8,44,148,294,254,760,43,79,149,296,570,1044,1389,887,251,4704,30,26,48,104,325,860,1474,1251,531,4658,18,19,23,48,71,152,270,233,99,932,18,21,25,66,157,349,488,429,165,1718,467,1294,1617,1529,1472,1210,790,364,161,8905,0,5,7,23,82,151,317,330,152,1087,952,673,671,823,1036,1203,1077,629,311,7379,12857,8098,12756,8035,6186,4824,3080,1240,302,57376,1311,955,1273,970,937,765,576,339,143,7270,16639,11689,17165,12380,11063,10594,9183,5156,1785,95650,21,119,325,713,1503,2852,3950,2966,1501,13949,926,1257,1487,1443,1378,1353,1289,719,270,10119,16,28,62,183,393,681,986,713,326,3397,5,0,3,4,9,23,156,364,511,1076,36,80,181,278,516,865,1103,804,336,4194,22,35,56,75,190,432,814,956,691,3259
SOS61,31,69,250,512,1196,2262,3144,2246,772,10485,1981,1249,1258,1145,1029,1032,1009,584,162,9445,11,25,48,105,242,616,1200,967,334,3533,3,3,3,7,28,55,145,334,285,861,27,86,178,341,782,1449,2019,1390,377,6650,45,50,58,135,454,1136,2010,1827,652,6362,23,23,37,43,136,183,373,409,166,1393,25,13,50,98,301,595,997,776,217,3068,678,1375,1700,1531,1727,1533,1082,475,171,10261,5,0,12,33,122,263,506,471,199,1610,1142,707,751,822,1203,1546,1377,759,326,8643,14052,8512,9906,7317,6705,5889,3781,1621,388,58166,1652,1201,1140,985,1006,970,824,549,236,8565,19080,12636,14418,11769,12431,13263,12103,7219,2332,105253,30,104,333,787,2041,3787,5174,4027,1818,18102,1371,1437,1877,1857,1811,1766,1828,1089,315,13360,16,24,69,173,479,864,1217,894,353,4079,5,0,5,9,20,46,112,387,504,1086,40,77,226,353,789,1269,1684,1179,407,6026,41,32,50,98,278,611,1162,1258,814,4333
SOS62,5,6,28,70,157,428,606,355,99,1748,196,134,135,132,162,194,162,89,20,1224,0,0,3,18,36,133,231,183,37,653,0,3,0,4,0,5,18,41,49,114,4,12,20,43,97,248,369,218,42,1043,8,0,0,20,77,238,348,283,78,1066,7,0,4,16,14,43,43,45,12,174,0,4,0,15,36,90,166,118,26,450,78,133,162,189,272,274,218,78,19,1427,0,0,0,6,15,37,88,58,24,231,129,63,70,119,164,302,261,116,41,1268,1871,955,1068,1033,1111,1137,820,306,43,8351,228,147,137,138,189,209,190,111,46,1393,2473,1405,1563,1623,1987,2525,2445,1256,298,15579,0,15,38,97,328,647,843,494,191,2652,146,123,168,203,246,300,295,140,25,1651,0,7,5,19,76,144,205,129,29,616,0,0,0,0,3,3,16,53,58,135,6,9,20,38,103,193,227,162,44,801,0,8,8,14,51,97,177,177,77,611
SOS63,3,30,68,230,687,1526,1939,928,162,5578,683,442,393,460,505,628,560,199,35,3915,11,13,30,59,133,433,713,430,83,1903,0,0,0,0,5,27,49,74,35,188,24,37,30,110,311,742,980,482,92,2803,24,19,13,61,236,729,1180,697,163,3108,11,11,11,22,40,93,158,126,40,515,5,12,19,38,122,343,449,279,70,1326,226,433,468,645,812,922,590,164,22,4284,0,5,4,10,54,133,217,163,41,629,396,237,260,347,660,1001,832,282,60,4069,7212,3941,3628,3886,4484,4453,2827,873,117,31418,834,522,493,556,697,757,609,235,70,4779,9274,5490,5178,5977,7619,9391,7821,3166,588,54513,10,36,161,368,1002,2076,2183,1011,243,7085,499,438,594,724,832,874,692,212,50,4913,10,9,22,92,266,471,502,243,54,1668,0,0,0,0,0,9,25,53,59,153,16,22,56,130,293,513,567,263,56,1919,20,6,13,35,113,329,443,302,125,1389
SOS67,0,0,0,0,0,8,6,0,0,18,0,0,0,0,7,6,4,0,0,16,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,3,0,0,9,0,10,28,35,29,20,8,0,0,131,0,0,25,24,26,23,0,0,0,97,0,12,58,65,70,62,25,4,0,294,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,3,32,130,249,468,754,921,408,76,3046,660,393,626,505,437,371,302,91,9,3392,12,9,31,66,141,322,510,252,32,1378,0,0,0,9,10,29,55,92,49,242,8,46,75,224,462,722,794,338,56,2730,29,28,47,85,254,531,801,387,100,2266,21,14,22,63,79,101,128,92,19,536,40,9,21,37,80,210,255,155,24,829,192,366,547,580,556,441,276,88,19,3060,0,4,3,20,38,103,170,100,23,462,626,313,413,541,619,667,556,226,74,4035,10299,5878,8850,6860,4940,3463,1944,508,67,42809,1460,1145,1907,1539,1303,1108,738,217,55,9488,13170,8082,12383,10260,8516,7389,5506,1926,362,67594,11,40,137,293,655,1091,1292,621,175,4317,432,464,933,778,639,636,461,180,39,4571,3,11,42,102,243,319,369,165,25,1291,0,0,0,4,8,15,50,91,74,241,13,42,138,252,381,624,613,252,61,2366,24,25,49,68,154,293,362,242,102,1309
SOS71,4,10,30,76,84,246,273,86,17,831,223,115,201,210,193,183,128,48,13,1304,3,0,12,19,49,88,124,53,9,363,0,0,0,4,5,16,28,32,12,100,13,18,57,121,217,319,246,98,15,1099,79,83,55,82,155,260,291,108,14,1124,12,6,23,26,53,73,58,27,4,287,15,11,12,27,30,58,87,34,8,293,63,138,240,228,181,150,93,25,0,1121,0,4,5,13,22,56,45,23,6,169,250,140,152,187,222,287,177,66,20,1502,4618,2492,3249,2617,1764,1327,655,140,10,16881,658,383,618,509,448,452,291,69,8,3432,5897,3323,4505,3936,3110,2933,1875,528,81,26189,3,23,54,82,211,361,343,153,64,1296,149,161,344,300,309,320,176,57,17,1827,0,4,11,20,63,136,101,48,13,398,0,0,0,0,3,11,38,36,42,131,9,38,87,188,316,355,261,86,36,1363,61,104,101,124,145,182,131,83,37,975
SOS72,0,3,15,27,48,100,174,33,3,389,84,24,54,70,82,83,66,10,0,468,0,0,0,5,14,45,69,24,3,157,0,0,0,0,3,6,12,9,0,38,7,18,40,101,165,168,136,39,7,680,47,56,52,41,93,140,123,39,3,588,10,6,6,12,37,40,26,3,5,149,13,3,0,20,16,35,51,20,7,153,21,43,68,75,66,69,47,8,0,400,0,0,3,3,10,17,20,12,0,67,86,37,55,63,95,112,90,32,5,574,2652,1703,1691,1256,935,708,411,75,5,9443,314,138,232,171,186,229,176,43,0,1506,3216,2021,2182,1783,1598,1492,1114,271,31,13709,0,0,11,31,89,184,185,34,13,550,53,50,93,110,142,160,96,19,6,719,0,0,0,3,24,44,61,16,0,151,0,0,0,0,3,9,17,10,3,48,11,19,85,183,244,255,147,36,5,979,46,73,74,79,92,110,76,27,4,569
SOS73,0,11,33,66,157,387,527,164,7,1342,172,108,141,142,168,195,179,46,3,1173,4,3,9,14,40,123,246,94,10,532,0,0,0,0,0,3,14,13,5,41,5,16,18,65,152,282,371,121,13,1038,18,42,27,32,99,254,400,144,13,1026,4,7,6,16,32,35,68,32,7,202,11,4,3,13,41,104,136,60,4,365,47,76,116,131,172,188,147,22,5,902,0,0,0,6,14,37,66,41,7,162,135,72,86,136,176,280,272,78,5,1249,2917,1849,2096,1787,1851,1649,1105,238,21,13515,540,622,1017,908,917,771,568,150,9,5513,3833,2770,3494,3209,3556,3708,3175,835,67,24652,0,10,35,89,217,472,545,164,37,1568,93,102,167,203,232,284,199,45,4,1332,0,0,7,27,64,172,156,42,3,480,0,5,0,0,4,6,13,13,7,44,3,25,45,94,181,228,202,61,12,850,13,29,33,39,78,129,164,51,18,556
