SOS_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOS30,273789,35029,38454,4218,792,352289,390983,38296,34746,256,418,464691,165433,68889,98683,302,929,334235,16657,8960,10429,15,72,36133,1574,2099,2884,20,50,6627,40893,13117,19659,224,414,74306,7637,8453,5980,2117,500,24690,1023,724,730,48,22,2544,233207,102245,138362,2736,1995,478542,8667,7908,4948,140,193,21858,34946,13625,18221,2390,608,69787,941592,197106,234730,9744,3997,1387158
SOS31,102110,5157,2600,6056,1122,117047,105685,2481,1342,366,194,110066,48014,12739,7256,221,201,68424,6681,3290,1554,18,36,11578,1420,1184,672,12,22,3316,18471,2377,1652,284,194,22974,5494,1679,895,1900,640,10610,471,247,166,30,0,914,80556,21513,12194,2456,1096,117811,4469,1722,521,275,234,7225,17029,3750,2311,2584,531,26212,309846,34621,18968,11742,3181,378361
SOS32,19888,179,152,2719,386,23332,15834,102,53,179,54,16230,3661,361,173,29,11,4231,2207,192,179,19,8,2608,769,95,90,7,4,972,3422,126,126,69,39,3788,1443,173,90,580,180,2458,123,17,16,10,0,167,11633,970,666,717,231,14221,1137,71,40,103,81,1429,3972,210,142,642,86,5054,52465,1530,1063,4363,840,60265
SOS33,64344,460,169,4721,1126,70811,54852,332,104,491,221,55998,6250,134,102,65,42,6593,329,17,31,18,18,415,273,24,27,10,9,345,9382,100,91,250,181,10005,2905,45,17,942,426,4337,192,0,0,14,10,223,19334,323,264,1309,682,21910,6489,80,132,441,324,7465,13509,161,145,1919,308,16041,158524,1356,810,8878,2666,172232
SOS37,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
SOS40,124398,17499,6158,529,168,148746,149151,19954,6406,104,263,175875,39540,19354,16936,134,255,76217,8786,9729,3298,0,58,21870,2784,3191,1593,7,43,7622,20464,7449,5451,112,161,33633,2590,921,962,285,94,4848,444,344,219,5,9,1020,74611,40985,28460,536,612,145208,4016,5426,2338,48,53,11885,10118,4725,2718,457,166,18189,362297,88582,46079,1673,1267,499902
SOS41,43393,2861,380,842,211,47690,43944,1923,192,79,93,46235,13313,3506,1353,30,41,18241,2951,3174,671,4,15,6822,676,595,131,0,3,1405,6882,1087,344,62,58,8424,1697,343,128,361,128,2658,169,118,40,8,0,337,25692,8824,2670,459,240,37887,2326,1324,146,57,58,3910,5150,1614,368,603,126,7864,120505,16547,3760,2045,731,143589
SOS42,8567,97,14,338,68,9091,6850,65,13,39,16,6988,1015,74,17,13,9,1117,475,83,52,6,6,619,151,85,30,0,4,265,1535,74,21,51,8,1690,355,24,13,145,25,562,36,3,4,0,0,46,3564,343,127,213,52,4295,485,72,18,34,4,609,1371,61,39,228,33,1734,20832,639,208,861,173,22708
SOS43,23895,160,29,700,252,25033,18167,91,8,93,58,18423,1476,18,28,5,12,1534,253,10,0,5,9,276,172,4,0,6,6,189,3198,46,19,43,53,3362,1053,14,7,194,118,1389,60,0,0,4,0,67,6213,98,52,253,196,6822,2447,26,11,68,91,2634,3620,54,16,283,74,4048,54341,424,123,1395,665,56953
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,180964,24321,8558,1514,164,215520,276766,28235,10926,109,159,316201,69612,28449,26676,105,145,124981,7088,8757,2836,7,26,18710,1194,1996,1010,6,21,4229,33778,10567,6452,121,88,51005,3957,1318,824,458,74,6632,601,379,180,6,5,1168,116224,51468,37979,698,347,206721,6109,5095,2170,74,44,13494,19759,6508,4671,1704,298,32943,599829,115629,64306,4103,1012,784879
SOS51,35425,2232,264,3479,199,41599,45889,1650,165,206,72,47975,14721,3799,1126,51,53,19750,4719,2451,272,11,31,7485,806,742,206,8,18,1782,8845,1235,210,157,72,10523,6063,1123,377,1363,189,9108,183,91,19,15,0,309,35331,9442,2211,1609,366,48957,2501,1051,180,247,109,4087,8793,2243,545,1964,221,13767,127941,16613,3362,7502,969,156386
SOS52,7075,86,22,1137,99,8417,5674,42,17,83,9,5824,987,74,34,10,3,1109,1595,252,33,8,25,1915,732,126,38,10,9,918,1614,89,26,53,20,1806,986,134,23,353,62,1564,62,14,4,5,0,76,5974,692,162,434,112,7380,1069,96,23,83,45,1319,2266,190,75,625,102,3253,22053,1106,295,2368,365,26193
SOS53,21602,130,51,3724,530,26046,17137,106,24,310,122,17706,1363,15,4,37,17,1436,479,21,8,18,12,537,482,19,14,39,18,572,3226,30,19,237,111,3630,1315,25,21,954,264,2569,58,3,0,13,5,80,6924,119,63,1301,421,8827,3061,46,31,374,263,3772,4417,50,36,1042,395,5943,53138,450,217,6751,1737,62293
SOS57,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
SOS60,23416,938,1119,125,32,25621,23126,794,846,25,15,24810,7528,1456,2792,52,23,11851,2540,797,889,0,28,4256,557,314,279,0,16,1173,4391,711,1253,50,34,6437,469,112,183,38,5,810,91,46,45,4,0,179,15583,3427,5438,143,112,24708,806,291,272,11,6,1390,2008,362,549,139,26,3075,64937,5817,8214,446,200,79611
SOS61,29747,1286,654,301,46,32038,27363,704,334,49,21,28472,9160,1931,1372,100,24,12586,2745,1327,405,0,13,4485,769,579,210,0,7,1565,5761,894,526,66,28,7271,622,183,109,172,19,1100,155,75,24,6,0,253,19214,4978,2636,340,94,27269,922,262,72,35,11,1299,3257,816,303,285,27,4688,80508,8049,3997,1007,193,93757
SOS62,5710,49,19,94,28,5895,4146,30,10,18,13,4210,785,62,18,4,3,864,76,25,31,0,0,137,41,43,15,0,0,98,948,39,15,14,3,1021,179,25,6,29,12,248,20,9,0,0,0,24,2043,197,82,54,22,2389,245,7,4,11,17,280,698,39,13,81,10,843,12845,325,120,252,85,13631
SOS63,18320,67,18,214,50,18660,14967,47,12,47,24,15094,1260,8,6,9,0,1284,53,7,3,0,0,66,37,0,0,0,0,46,2410,9,11,28,20,2478,653,10,13,53,29,750,45,0,0,0,0,50,4455,36,36,96,49,4674,1300,8,8,35,23,1378,2468,22,4,117,10,2622,41506,182,84,504,157,42432
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,4985,562,1058,875,42,7520,10960,1009,2014,55,10,14049,3991,1694,6214,12,28,11940,1149,758,706,4,9,2631,152,31,90,4,7,282,1730,597,1357,44,41,3769,1123,107,401,296,75,1998,46,18,55,4,0,125,8196,3206,8816,367,165,20748,350,87,146,43,23,651,1686,490,1098,711,124,4102,26172,5349,13137,2047,357,47064
SOS71,1387,198,24,436,108,2155,3012,596,44,37,13,3706,1117,1089,234,6,24,2469,1586,540,78,9,11,2218,626,111,15,8,24,796,648,304,45,22,25,1048,819,235,63,170,93,1382,43,17,3,0,0,61,4842,2298,445,214,177,7971,701,190,73,51,45,1059,786,322,105,360,71,1647,10731,3600,698,1095,416,16531
SOS72,366,16,0,558,66,1002,403,11,0,49,11,474,55,14,3,0,0,73,1837,255,44,3,10,2156,637,116,28,8,9,797,110,16,7,35,12,184,519,266,117,148,84,1133,34,8,0,0,0,43,3189,681,201,199,123,4379,600,99,43,69,52,864,408,131,78,181,51,852,4961,932,323,1055,308,7570
SOS73,2256,9,3,1812,335,4416,3348,5,0,132,37,3524,297,0,0,22,13,324,422,26,12,13,9,475,373,8,10,9,4,409,568,12,7,140,55,781,411,21,3,452,197,1076,37,0,0,5,0,42,2106,61,26,640,282,3111,798,16,5,212,98,1135,1139,10,10,659,198,2014,9652,103,46,3462,942,14198
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,7
SOS80,34959,5879,4088,102,30,45066,48869,9889,9102,7,31,67896,9459,6290,13215,0,49,29012,4432,2727,1447,18,10,8639,394,324,299,0,8,1027,4846,2385,3480,9,42,10766,1676,480,591,40,30,2824,112,54,52,0,0,213,20922,12265,19090,67,134,52476,1054,843,843,4,20,2770,2940,1253,1972,182,25,6378,108743,30126,35098,365,254,174586
SOS82,66,4,0,0,0,66,102,0,0,0,0,102,13,6,0,0,0,9,3,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,27,3,0,0,0,0,3,9,0,0,0,0,9,193,14,0,0,0,212
SOS83,35,0,0,0,0,37,32,0,0,0,0,32,3,0,0,0,0,8,9,0,0,0,0,9,0,0,0,0,0,0,23,0,0,0,4,27,19,0,0,0,14,25,0,0,0,0,0,0,48,0,0,0,16,65,12,0,0,0,0,17,29,0,0,0,0,29,156,0,0,0,19,176
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,63,25,24,0,0,109,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,26,19,12,0,0,65,29,9,17,0,0,54,0,0,0,0,0,0,66,56,89,0,0,213,32,7,11,0,3,52,18,9,24,0,0,59,223,106,152,3,6,497
SOS92,301,0,5,0,0,313,182,5,0,0,3,184,91,4,4,0,0,96,47,0,0,0,0,49,9,0,0,0,0,14,117,4,5,0,4,129,50,0,0,0,4,59,0,0,0,0,0,0,326,9,11,0,11,349,51,0,0,0,5,60,130,4,8,0,6,146,991,14,22,5,29,1051
SOS93,81,0,0,0,3,91,44,0,0,0,0,44,16,0,0,0,0,16,0,0,0,0,0,0,28,0,0,0,0,28,26,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,67,0,0,0,3,71,13,0,0,0,0,14,46,0,0,0,0,46,250,0,0,5,4,256
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
