SOS_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS30,..,7888,7356,2226,1558,1297,656,227,55,21263,..,21657,22111,5495,5127,6276,4171,1588,329,66753,..,7469,19664,15858,20419,32860,39634,32147,15445,183499,3727,6872,5366,2748,2904,3711,3474,1689,695,31190,141,302,517,220,291,581,487,145,33,2718,314419,215535,252518,247905,231726,196380,157834,86916,28951,1732182,..,6595,145096,273182,258699,218338,178191,89478,16519,1186092,..,42912,130560,71456,49841,30649,14002,4201,560,344172,..,4265,22087,41969,48809,24597,11415,7334,4686,165160,638958,..,..,..,..,..,..,..,..,638958,..,168626,..,..,..,..,..,..,..,168626,..,104573,53004,18107,12205,6539,1360,56,0,195848,..,20886,16070,6321,6872,11769,12683,8163,4207,86969,..,15973,17967,6228,4551,3251,1694,556,136,50344,..,41869,50513,14321,12122,13143,8939,3449,683,145034,..,14241,41134,37102,44113,58011,61767,45418,20992,322776,7578,12610,11228,6630,6130,6611,6053,2904,1010,60760,281,545,1011,490,568,935,886,283,56,5051,646817,433092,488668,475794,443902,373836,296983,161841,48851,3369792
SOS31,..,1760,1162,394,373,349,183,59,22,4303,..,2430,2568,876,1482,1912,1440,585,101,11392,..,1888,3508,2795,5157,9795,11935,10536,4949,50560,1448,2055,1446,870,1092,1565,1406,647,250,10780,25,45,123,34,35,68,53,28,5,422,82768,47415,53761,53499,54298,56174,49858,28694,8934,435405,..,1951,32809,53048,54761,59335,57883,30347,5397,295534,..,12578,27705,16327,13388,9917,5264,1783,237,87190,..,1842,8164,11967,11224,5584,3004,2184,1387,45363,166816,..,..,..,..,..,..,..,..,166816,..,31370,..,..,..,..,..,..,..,31370,..,27357,10212,4512,3547,2038,383,6,0,48067,..,4969,2658,1306,1948,3299,3139,2065,1043,20431,..,3469,2992,1330,1146,892,489,158,48,10525,..,4850,6068,2339,3203,3910,3151,1252,197,24968,..,3853,8466,7499,11756,19017,20997,15852,6907,94350,2927,3857,3196,2078,2310,2783,2689,1175,363,21377,47,87,240,77,65,123,83,48,16,788,169791,96192,102505,100485,103352,106885,97089,54877,15591,846766
SOS32,..,221,130,46,58,68,38,15,0,580,..,188,196,96,204,395,249,85,18,1438,..,174,363,343,682,1559,1710,1264,454,6552,203,303,215,141,179,272,278,143,34,1776,0,3,13,5,4,11,7,6,0,51,11496,5904,6536,7166,8458,10133,8434,4058,1014,63201,..,155,3388,6549,8392,10922,10319,4644,622,44983,..,1423,3693,2787,2692,2224,1218,321,39,14401,..,262,1093,1491,1454,831,475,391,190,6181,23385,..,..,..,..,..,..,..,..,23385,..,3976,..,..,..,..,..,..,..,3976,..,3933,1632,741,613,318,48,8,0,7287,..,775,388,195,369,575,573,388,192,3454,..,417,313,146,200,160,120,35,14,1403,..,357,424,243,433,780,598,208,39,3075,..,400,857,948,1799,3444,3675,2286,698,14100,397,569,454,335,390,535,551,290,56,3580,5,11,23,6,10,10,13,12,0,93,23792,12269,12254,13445,16354,19795,17590,8578,1847,125920
SOS33,..,826,516,257,274,267,206,72,25,2450,..,388,445,268,535,941,722,218,36,3559,..,363,558,597,1449,2909,3234,2153,653,11916,635,1004,689,381,494,835,914,424,131,5512,6,27,36,10,18,21,26,3,0,149,34710,19413,17968,23355,30277,32408,24571,10481,2250,195432,..,670,12645,27394,37447,42199,34359,14151,1821,170683,..,3092,8385,7118,8058,6899,3248,830,70,37688,..,345,1741,2883,3496,2078,1270,966,545,13330,70716,..,..,..,..,..,..,..,..,70716,..,16435,..,..,..,..,..,..,..,16435,..,13710,5871,2497,1916,921,150,3,0,25076,..,1375,649,425,787,1533,1938,1495,701,8898,..,1536,1169,634,738,724,532,209,44,5592,..,776,1093,707,1232,1979,1671,567,70,8102,..,827,1668,1995,4220,7578,7787,4485,1223,29779,1306,1887,1490,880,1049,1630,1903,798,202,11135,22,41,91,29,38,43,46,10,3,329,72036,40694,34817,44557,58970,65587,52911,23515,4675,397766
SOS37,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,..,2294,2316,550,317,218,113,22,16,5845,..,5825,6384,1531,1402,1723,1236,388,98,18587,..,2242,6714,5958,7569,13921,17398,14912,8600,77308,1317,2148,1844,1033,915,1065,762,411,206,9700,26,58,108,60,80,204,184,50,5,782,99528,70337,85463,81711,75726,74075,62770,36667,14251,600521,..,2236,53952,93016,83740,80351,70706,37488,8305,429781,..,9733,37526,20803,15565,11289,5580,1517,211,102225,..,1124,6532,13657,16930,10476,4612,2945,2088,58353,202027,..,..,..,..,..,..,..,..,202027,..,61622,..,..,..,..,..,..,..,61622,..,36671,24607,7326,4992,2874,487,17,0,76975,..,7059,5814,1965,2099,3832,3636,2111,1302,27823,..,4745,5511,1630,983,723,359,70,27,14051,..,12467,16314,4532,3640,3837,2622,837,177,44423,..,4395,14834,14394,18044,25908,27514,20675,11610,137370,2698,4033,4009,2487,2119,2011,1433,687,309,19796,59,141,212,130,169,293,324,87,21,1436,204788,144227,169316,159933,148275,141594,117260,66441,24056,1175897
SOS41,..,381,273,95,66,65,36,12,3,936,..,651,711,235,369,494,355,152,20,2986,..,750,1443,1046,2184,4258,5459,5222,2737,23108,456,656,458,278,319,435,336,143,61,3132,8,7,14,20,12,23,12,0,0,106,27040,16210,18048,18053,20059,21251,20636,12952,4317,158556,..,516,10860,18178,20334,22951,24788,14318,2754,114708,..,3658,9920,5714,5009,3886,2064,616,93,30961,..,494,2449,3924,4458,2243,989,690,435,15692,54319,..,..,..,..,..,..,..,..,54319,..,12375,..,..,..,..,..,..,..,12375,..,10040,4158,1490,1137,597,123,0,0,17545,..,1352,795,351,473,799,826,499,279,5379,..,780,704,302,253,211,102,25,10,2385,..,1376,1757,721,833,1032,751,305,61,6844,..,1446,3478,2992,5098,8385,9121,7420,3828,41765,903,1269,1051,715,712,806,611,241,98,6407,9,22,59,43,23,36,27,10,3,235,55230,33333,35233,34435,38347,40940,39399,24118,7567,308615
SOS42,..,47,19,11,6,6,5,0,4,105,..,60,93,40,49,100,75,32,3,453,..,78,170,108,314,641,825,711,362,3213,65,113,52,58,58,73,63,32,14,532,0,0,0,0,0,4,4,0,0,10,3741,2066,2360,2431,2834,3713,3377,1832,570,22915,..,139,1519,2517,2918,4214,4267,2068,380,18018,..,406,1253,803,803,780,434,111,9,4610,..,54,270,440,525,294,122,90,63,1854,7510,..,..,..,..,..,..,..,..,7510,..,1535,..,..,..,..,..,..,..,1535,..,1287,572,201,146,86,21,0,0,2325,..,265,135,59,86,156,118,75,41,936,..,86,54,34,33,41,9,0,4,267,..,133,180,92,124,202,159,55,12,967,..,197,443,383,815,1419,1673,1137,538,6606,143,195,120,121,140,151,137,52,14,1066,0,0,3,5,0,4,4,0,0,13,7652,4291,4560,4657,5590,7336,6957,3605,1058,45697
SOS43,..,178,122,47,39,39,21,8,0,460,..,95,117,70,155,247,156,46,12,895,..,114,180,194,454,1018,1150,808,309,4233,178,271,196,117,157,175,175,84,33,1377,0,6,10,0,5,5,5,0,0,38,11339,6172,5576,7418,9606,10708,8158,3331,776,63083,..,206,4128,9147,12397,14483,12111,4800,664,57938,..,840,2754,2308,2697,2513,1162,252,23,12557,..,83,401,723,1086,663,344,233,152,3680,23094,..,..,..,..,..,..,..,..,23094,..,5681,..,..,..,..,..,..,..,5681,..,4659,1984,684,472,253,36,0,0,8092,..,412,214,106,173,338,343,297,156,2025,..,340,277,121,110,126,66,26,3,1057,..,221,350,209,333,532,358,106,18,2121,..,328,645,750,1616,3070,2968,1637,517,11525,371,529,434,275,300,339,332,146,40,2767,0,29,55,20,12,3,6,5,0,146,23467,13322,11230,14344,19203,22318,17724,7502,1577,130687
SOS47,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,..,2815,2886,857,512,408,180,52,22,7744,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2182,3119,2662,1575,1430,1688,1439,768,369,15227,117,142,247,146,175,428,381,101,30,1764,181979,114072,141479,143653,127302,111674,89363,48284,17520,975321,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4394,5807,5617,3790,3225,3085,2491,1255,519,30184,234,249,471,317,349,673,654,195,47,3191,373970,231372,271466,276821,245264,213261,169248,90197,29735,1901339
SOS51,..,582,454,154,109,88,41,17,3,1444,..,833,1115,368,442,553,334,114,21,3775,..,830,1678,1296,2384,3862,4375,3501,1813,19743,576,795,689,423,434,739,665,277,84,4674,12,22,60,16,18,33,35,12,7,214,35034,17963,22822,23891,22659,20860,16593,8944,3023,171797,..,654,13473,24110,23331,22387,18739,9409,1866,113965,..,4823,13045,8302,6190,4327,1857,493,67,39106,..,548,2653,4582,4387,1989,954,595,370,16067,70974,..,..,..,..,..,..,..,..,70974,..,11817,..,..,..,..,..,..,..,11817,..,10764,3495,1391,966,495,113,6,0,17224,..,1946,1062,543,642,1005,906,513,250,6866,..,1146,1098,469,331,234,104,33,9,3421,..,1748,2641,1040,1082,1190,713,240,45,8699,..,1762,4141,3704,5523,7597,7550,5161,2504,37953,1186,1493,1427,1033,965,1288,1267,515,130,9307,33,50,119,40,28,58,49,22,7,401,72188,36751,43160,45205,43433,40563,32264,16980,5258,335805
SOS52,..,48,36,18,8,20,6,3,0,135,..,51,107,31,83,111,66,34,9,489,..,133,229,197,357,697,708,565,237,3128,104,133,110,89,85,104,83,25,10,738,0,6,8,0,3,0,8,0,0,26,4853,2618,3053,3111,3207,3603,2959,1516,431,25355,..,215,1652,2665,2885,3503,3405,1608,313,16255,..,685,1663,1119,1002,881,415,123,12,5899,..,120,473,672,617,366,208,137,44,2647,9795,..,..,..,..,..,..,..,..,9795,..,1285,..,..,..,..,..,..,..,1285,..,1637,609,309,236,95,10,0,0,2900,..,548,264,180,199,248,198,94,48,1781,..,98,98,48,42,49,24,9,0,362,..,121,215,103,168,240,166,59,12,1090,..,278,532,528,958,1587,1571,987,359,6812,236,266,202,190,166,205,177,51,15,1500,0,6,13,4,4,0,8,0,0,35,10026,5270,5719,5827,6271,7179,6184,3073,813,50356
SOS53,..,188,160,71,68,64,35,22,7,611,..,108,153,76,136,191,146,52,0,869,..,163,265,216,481,956,984,663,221,3948,247,322,271,176,183,254,240,107,54,1857,5,13,17,6,5,10,7,4,4,63,11535,5964,5845,8045,10121,10856,7751,3176,751,64047,..,193,3858,9333,12746,14609,11515,4491,616,57375,..,846,2864,2570,2911,2496,1125,260,22,13092,..,83,410,850,1021,620,350,253,146,3734,23525,..,..,..,..,..,..,..,..,23525,..,4871,..,..,..,..,..,..,..,4871,..,4602,1798,699,478,235,39,0,0,7852,..,548,239,150,207,382,494,369,235,2626,..,335,341,151,171,154,108,41,7,1327,..,219,391,215,300,426,353,126,8,2044,..,427,771,777,1539,2580,2554,1351,378,10373,519,621,511,372,359,471,474,204,81,3614,11,17,41,14,10,21,18,6,3,141,24061,12773,11223,15137,19744,22012,17029,7105,1495,130583
SOS57,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,15
SOS60,..,503,1131,199,50,40,24,6,3,1963,..,1041,1955,333,232,300,214,78,22,4175,..,323,1053,982,1276,2434,3150,2643,1345,13199,233,444,383,196,180,217,147,51,29,1887,3,5,18,4,11,31,13,4,5,97,15042,10416,15993,12374,11422,11382,10119,5984,2161,94902,..,405,9031,12123,11313,11342,10711,5672,1187,61781,..,1800,7344,4122,2970,2073,1072,338,44,19751,..,279,1390,2444,2670,1547,695,446,269,9736,30520,..,..,..,..,..,..,..,..,30520,..,7906,..,..,..,..,..,..,..,7906,..,5257,2859,993,723,376,74,0,0,10291,..,974,861,263,308,555,566,339,172,4030,..,1038,2707,492,157,97,66,23,15,4588,..,2094,4646,868,527,590,416,149,48,9342,..,586,2253,2121,2667,4312,4769,3608,1817,22138,458,810,859,473,390,392,273,103,40,3790,9,15,33,12,18,37,26,7,4,165,30986,21161,31982,23913,21748,21329,18668,10672,3590,184049
SOS61,..,377,356,79,42,48,23,14,6,951,..,661,739,195,247,341,317,113,25,2633,..,462,1143,854,1640,3149,4134,3562,1732,16668,314,486,319,196,220,264,165,92,34,2105,0,6,21,11,4,11,3,0,0,62,17449,11375,13773,12204,13208,13968,13046,8016,2664,105720,..,508,8184,11462,12327,14284,14230,7963,1502,70467,..,2704,7188,4011,3336,2511,1228,355,42,21369,..,428,1987,2992,3125,1521,729,560,317,11669,35045,..,..,..,..,..,..,..,..,35045,..,7844,..,..,..,..,..,..,..,7844,..,6685,2795,1053,902,452,90,0,0,11982,..,957,639,253,337,637,533,365,155,3880,..,761,1018,230,145,116,71,32,9,2378,..,1279,2048,520,576,735,617,237,59,6073,..,894,2504,2149,3557,5629,6537,4975,2347,28587,598,962,758,503,500,528,309,147,37,4351,7,11,36,16,16,22,13,0,3,124,35651,23038,27156,23204,24819,26437,24349,14643,4474,203756
SOS62,..,39,31,9,8,8,0,0,0,99,..,26,31,18,33,64,46,21,6,240,..,39,100,80,174,412,528,386,161,1875,35,59,37,31,35,47,34,10,6,296,0,0,0,0,0,0,4,0,0,4,2243,1177,1444,1546,1871,2408,2125,1043,257,14123,..,41,838,1506,1991,2690,2669,1252,171,11156,..,230,861,655,589,548,307,79,3,3272,..,33,187,293,302,184,94,70,35,1200,4490,..,..,..,..,..,..,..,..,4490,..,943,..,..,..,..,..,..,..,943,..,820,394,150,129,63,5,0,0,1564,..,72,60,32,42,66,77,47,16,420,..,71,73,32,16,24,13,6,0,238,..,61,86,54,72,124,101,44,8,546,..,75,239,237,463,872,1011,655,240,3801,79,106,86,59,60,94,66,17,4,571,0,0,0,0,3,0,3,0,0,9,4568,2466,2826,3020,3667,4671,4350,2170,482,28216
SOS63,..,167,132,45,32,34,23,4,0,428,..,66,117,66,108,173,137,47,4,714,..,63,173,198,461,947,956,596,208,3608,137,233,170,99,97,124,107,61,23,1039,0,3,6,0,3,4,0,0,0,19,8191,4537,4629,5890,7238,8342,6047,2333,516,47728,..,132,2896,6386,8477,10607,8782,3298,407,40989,..,697,2663,2421,2514,2191,1036,202,17,11732,..,80,417,773,926,617,280,211,80,3380,16615,..,..,..,..,..,..,..,..,16615,..,3916,..,..,..,..,..,..,..,3916,..,3463,1559,552,385,171,29,0,0,6164,..,293,133,81,134,299,282,185,134,1548,..,315,277,119,94,90,58,16,5,971,..,175,369,160,238,350,302,113,20,1722,..,169,520,635,1254,2388,2322,1193,357,8838,309,424,363,224,206,237,191,95,36,2084,0,4,20,10,11,10,0,4,0,59,16925,9665,9218,11349,14232,16966,13284,5315,1056,98012
SOS67,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,..,269,484,114,56,42,18,8,0,990,..,500,1153,299,204,202,107,36,4,2503,..,257,798,653,727,966,962,537,137,5043,198,291,378,228,210,382,371,118,27,2201,3,15,26,8,10,47,23,10,0,144,11166,6217,10965,9112,6975,5630,3771,1484,328,55644,..,358,6797,9425,7137,5427,3454,1288,163,34052,..,1511,4867,2863,1884,1166,459,98,3,12858,..,181,810,1385,1332,735,365,154,77,5040,22431,..,..,..,..,..,..,..,..,22431,..,4057,..,..,..,..,..,..,..,4057,..,2993,1453,543,271,112,9,0,0,5389,..,768,693,209,289,425,431,224,80,3120,..,542,1100,280,151,123,60,15,0,2276,..,1096,2460,710,511,473,277,84,11,5624,..,564,1717,1397,1624,1918,1793,836,209,10070,425,510,692,451,392,637,728,238,45,4124,6,27,60,20,16,54,42,13,0,245,22859,12610,20646,17293,13626,11075,7621,2953,592,109282
SOS71,..,63,133,33,30,17,6,0,0,287,..,125,339,108,92,82,31,20,7,792,..,72,317,218,319,401,266,118,48,1756,102,127,159,84,82,113,74,24,3,766,0,0,8,0,0,16,3,7,0,31,4889,2841,4289,3410,2745,2206,1078,387,93,21943,..,447,2508,3151,2291,1920,932,280,33,11556,..,465,1753,1161,834,474,168,28,11,4892,..,159,510,649,528,295,168,58,17,2379,10004,..,..,..,..,..,..,..,..,10004,..,1297,..,..,..,..,..,..,..,1297,..,1860,747,244,124,28,4,0,0,3007,..,781,512,386,368,368,204,73,18,2713,..,130,300,87,56,43,17,0,0,637,..,235,674,244,196,166,71,28,7,1618,..,177,664,514,627,774,519,214,61,3548,221,230,310,188,141,191,136,42,5,1469,5,6,8,3,6,18,11,7,0,56,10229,5785,7984,6624,5168,4286,2221,731,148,43172
SOS72,..,35,17,14,10,4,6,3,0,87,..,20,37,14,17,22,6,7,0,123,..,49,120,70,95,163,90,22,0,608,58,49,81,49,48,45,37,10,3,378,0,0,0,0,0,6,0,0,0,8,2669,1869,2028,1580,1381,1044,553,142,27,11283,..,563,1489,1445,1170,799,378,77,7,5924,..,253,525,428,327,175,57,9,0,1776,..,113,358,322,310,203,111,49,9,1475,5515,..,..,..,..,..,..,..,..,5515,..,448,..,..,..,..,..,..,..,448,..,1313,570,193,84,25,0,0,0,2187,..,734,402,298,331,299,212,69,22,2367,..,70,32,26,22,17,9,9,0,180,..,43,72,26,43,37,22,14,0,254,..,81,262,187,248,295,173,51,4,1299,126,102,139,91,81,85,85,24,5,739,0,3,0,0,0,6,0,0,0,13,5634,3732,3856,3023,2613,1942,1046,287,47,22184
SOS73,..,70,44,27,33,27,10,6,0,216,..,29,45,20,33,62,32,9,3,240,..,41,97,52,116,181,122,42,8,647,81,98,113,80,89,153,173,55,8,845,0,3,8,4,0,4,0,0,0,25,3013,1681,1915,2019,2126,1840,1174,350,65,14174,..,234,1138,1960,2179,1829,1186,333,31,8892,..,274,998,767,781,521,196,42,4,3586,..,71,171,274,275,199,104,69,19,1174,6007,..,..,..,..,..,..,..,..,6007,..,803,..,..,..,..,..,..,..,803,..,1204,468,199,119,31,10,0,0,2026,..,439,226,163,182,248,204,91,31,1586,..,147,121,62,80,69,31,14,6,526,..,81,111,64,102,136,88,28,8,611,..,89,229,169,352,511,396,123,16,1892,180,185,209,133,145,261,379,111,10,1613,3,5,18,6,0,10,0,0,0,49,6187,3536,3687,3792,4215,3809,2594,817,121,28764
SOS77,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12
