SOS_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
SOS71,613,248,52,37,589,202,0,1741,478,307,81,54,482,181,14,1594,1151,1136,262,144,1227,580,32,4537,901,1121,334,182,928,476,16,3952,756,859,239,120,726,408,6,3116,663,766,219,90,792,412,13,2946,338,468,160,82,547,279,6,1873,93,106,37,26,202,69,0,530,8,7,4,3,46,13,0,81,5000,5024,1385,738,5538,2615,86,20379,570,262,80,48,461,182,4,1610,466,423,134,98,382,162,3,1676,1120,1447,554,466,1025,528,28,5165,666,1115,638,489,667,424,8,4013,614,1003,472,264,653,380,6,3391,538,919,390,198,671,375,24,3111,235,436,245,139,453,228,6,1747,61,108,63,52,181,65,10,531,20,15,7,6,83,24,0,158,4283,5723,2584,1766,4580,2371,84,21395,1183,515,130,85,1056,382,4,3349,941,736,216,148,867,345,16,3274,2274,2586,809,616,2252,1107,60,9704,1565,2228,974,673,1594,901,19,7963,1372,1865,718,381,1377,790,9,6509
SOS72,363,187,80,43,244,86,0,998,367,217,96,42,225,77,0,1030,654,537,213,109,453,213,22,2198,472,492,211,99,347,165,3,1782,415,414,167,87,337,175,0,1600,361,366,118,58,373,206,6,1497,197,223,109,55,357,165,4,1116,37,42,23,7,115,43,0,271,5,3,0,0,21,0,0,31,2878,2491,1015,510,2466,1130,35,10519,309,212,108,32,200,96,0,963,331,243,150,95,174,79,0,1070,570,641,371,245,341,214,26,2407,353,518,330,247,242,148,6,1843,355,524,259,162,258,173,9,1734,305,510,236,129,313,209,5,1713,151,238,125,92,266,161,0,1036,35,21,19,23,75,20,0,194,11,0,5,0,12,4,0,31,2425,2916,1595,1025,1882,1098,44,10983,667,397,190,78,442,181,0,1958,698,462,246,136,400,153,3,2093,1229,1178,583,361,790,427,42,4611,825,1008,545,343,587,308,4,3629,770,937,424,249,594,346,3,3331
SOS73,424,184,45,25,340,231,6,1266,376,209,68,33,419,399,68,1579,678,711,218,111,798,976,91,3583,575,768,283,142,556,878,39,3241,660,886,307,162,682,860,18,3576,706,879,304,177,909,720,18,3721,507,741,289,192,908,531,11,3187,117,153,75,67,278,143,0,841,9,16,0,4,29,11,0,67,4060,4555,1605,924,4919,4756,248,21060,438,196,46,28,233,186,0,1123,289,268,110,63,253,193,22,1205,498,799,359,344,428,508,57,2986,347,813,509,431,258,429,7,2800,411,1012,502,277,343,445,4,2994,432,969,513,354,582,491,8,3365,275,589,418,309,582,400,8,2573,52,105,75,69,151,85,0,541,9,12,8,4,36,10,0,75,2757,4754,2550,1877,2860,2747,98,17650,858,379,93,56,578,415,8,2392,668,481,182,99,673,594,86,2781,1181,1509,577,453,1222,1484,141,6564,922,1579,798,572,818,1312,44,6046,1070,1894,811,436,1028,1306,15,6569
SOS77,0,0,0,0,0,0,0,10,0,3,0,3,10,5,0,17,0,5,3,0,25,18,0,54,0,10,8,0,53,41,0,106,3,8,0,3,53,43,0,117,4,8,7,0,50,33,0,96,0,0,0,0,13,7,0,22,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,21,32,9,8,210,141,12,429,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,15,0,0,0,0,3,5,7,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,12,0,3,0,0,12,5,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,10,0,5,31,17,7,67,0,0,0,0,0,0,0,11,3,4,0,3,10,3,0,27,0,9,3,0,29,16,9,65,4,10,8,0,50,43,0,112,3,12,0,4,57,43,0,124
SOS80,6685,1239,82,32,4660,679,19,13398,6611,3364,327,144,5597,1120,50,17207,11400,11903,2082,757,10157,2247,88,38635,7940,13457,3901,1291,5975,1595,100,34260,7005,11367,3046,923,4291,1095,72,27816,5186,8496,2477,897,3626,815,60,21554,3000,6014,2375,916,3212,630,64,16208,1518,2592,1205,603,2181,476,22,8592,462,536,274,153,1160,273,5,2859,49810,58970,15770,5716,40847,8921,494,180542,6634,1655,141,53,3850,659,20,13019,6452,4874,692,276,3946,996,43,17276,8015,13928,4447,3397,7305,1806,84,38983,4281,12814,7421,5118,4004,1221,75,34928,3730,11883,6142,2719,2786,888,63,28214,3060,9014,4952,2401,3006,671,122,23233,1724,5528,4549,2853,3237,719,87,18701,979,2523,2057,1588,2677,604,21,10452,555,769,409,282,1838,483,3,4340,35427,62987,30809,18694,32639,8055,523,189138,13322,2895,221,90,8509,1335,45,26420,13066,8235,1022,419,9535,2114,92,34485,19416,25828,6524,4153,17459,4053,179,77611,12220,26262,11324,6408,9975,2817,177,69193,10736,23256,9187,3645,7081,1985,139,56022
SOS82,15,0,0,0,5,0,0,28,6,0,0,0,0,0,0,13,9,11,0,0,10,0,0,30,4,28,3,0,4,5,0,47,12,23,10,0,3,0,0,47,13,7,0,0,3,3,0,25,6,10,3,0,0,4,0,28,4,3,3,0,0,4,0,15,0,0,0,0,0,0,0,0,75,84,25,8,33,16,0,239,11,6,0,0,8,0,0,23,6,3,0,0,5,0,0,17,5,13,3,0,3,0,0,23,8,8,15,8,4,3,0,46,3,26,8,6,3,0,0,52,10,12,11,4,3,0,0,41,0,11,7,11,0,0,0,25,0,0,4,0,6,0,0,16,0,0,0,0,0,0,0,3,47,81,46,26,35,11,0,239,25,5,0,0,16,4,0,47,11,6,0,0,7,0,0,24,21,20,3,4,8,0,0,54,10,43,24,8,5,3,0,94,20,40,14,7,9,0,0,99
SOS83,0,0,0,0,20,8,0,33,8,3,0,3,34,8,0,55,24,15,3,0,25,8,0,70,9,8,8,0,9,0,0,30,6,12,3,0,3,8,0,38,9,12,0,0,3,4,0,30,3,8,0,6,4,5,0,33,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,3,52,64,17,16,101,49,0,303,11,3,0,0,3,3,0,19,9,13,0,0,3,9,0,36,19,17,13,0,7,5,0,60,6,6,10,0,0,0,0,30,4,8,10,5,0,9,0,32,7,15,12,4,0,9,0,45,5,10,5,3,0,7,0,21,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,61,67,51,15,26,37,0,255,11,3,0,0,19,7,0,51,13,16,0,0,32,15,0,87,39,32,9,5,33,15,0,134,15,17,14,0,4,4,0,61,11,21,12,4,7,13,0,71
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,4,3,0,0,10,10,0,27,7,4,0,0,11,13,0,36,29,24,3,0,45,55,0,163,30,15,7,4,25,40,0,110,17,29,9,3,31,38,0,125,24,28,10,6,22,26,0,125,20,22,9,5,37,25,0,113,3,3,6,3,8,5,0,24,0,0,0,0,0,0,0,4,132,132,44,26,188,203,5,728,10,6,0,0,13,3,0,34,10,0,0,4,9,8,0,28,18,18,3,6,19,32,0,106,13,36,15,12,20,28,0,131,16,32,19,9,19,29,0,127,13,26,18,12,16,23,0,111,5,10,13,9,18,12,0,57,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,82,133,78,48,111,152,0,604,19,12,0,0,20,8,0,59,14,6,0,4,19,24,0,67,45,46,9,12,68,91,0,264,40,50,28,17,44,66,0,240,31,62,26,12,49,71,0,258
SOS92,20,7,0,4,34,8,0,71,15,12,0,0,37,11,5,77,28,26,8,5,56,21,3,147,29,48,23,6,26,18,0,154,34,44,17,12,33,23,0,167,60,78,25,13,46,47,0,275,12,58,21,19,31,28,0,173,7,19,6,9,33,21,0,91,0,0,3,3,12,3,0,21,224,303,96,72,299,181,8,1183,20,3,0,0,17,8,0,59,12,23,5,0,27,6,0,79,20,38,13,15,36,23,0,142,18,49,37,15,24,27,0,170,20,54,36,21,29,22,0,181,27,96,46,20,39,36,0,272,21,49,32,35,44,28,0,200,5,24,6,11,31,19,0,89,4,5,3,0,9,0,0,29,152,329,184,124,261,167,3,1217,47,8,4,4,55,12,0,134,31,34,9,3,61,16,5,158,47,66,22,20,87,39,4,294,48,94,57,23,55,45,0,322,59,93,53,33,58,50,0,347
SOS93,11,0,0,0,3,3,0,17,6,3,0,0,5,25,0,38,9,6,6,0,10,116,0,144,14,10,0,3,11,61,0,99,17,22,7,6,8,36,0,95,9,13,13,3,5,19,0,59,7,18,10,11,21,14,0,70,3,4,0,4,13,6,0,26,0,0,0,0,0,0,0,9,80,81,26,26,68,275,4,554,9,0,0,0,0,7,0,15,4,9,0,4,0,5,0,21,3,13,3,0,3,13,0,44,7,16,9,0,3,0,0,33,13,24,10,10,3,13,0,70,4,22,8,4,15,6,0,60,9,14,5,10,4,11,0,49,0,9,9,4,4,8,0,41,6,0,0,6,0,0,0,4,51,104,43,41,38,60,0,340,14,5,0,0,6,6,0,37,11,7,0,4,3,29,0,58,17,17,7,5,17,121,0,188,17,26,9,4,15,61,0,130,32,49,16,15,10,48,0,165
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
