SOS_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOS30,33165,99442,191247,177190,140829,90559,67355,30886,7394,838070,3783,5734,14648,14847,17470,16348,9926,4394,1013,88166,6190,7124,25247,28542,43962,57165,45301,22179,5632,241337,1893,1343,4169,5266,6853,8992,9124,6028,2024,45702,612,528,1813,2530,3353,4951,9133,12214,5318,40452,112,314,1381,1349,1416,1491,1172,781,420,8434,5086,7678,16978,13523,11721,9803,9402,7873,4302,86360,50830,122165,255481,243250,225605,189306,151417,84359,26102,1348513,35320,104653,215903,205676,163278,100729,62552,27062,8206,923377,2765,4336,12511,12969,17430,16758,11267,5214,1452,84696,4285,5554,19212,22038,41003,64995,62510,31556,10676,261826,1225,910,3099,3894,5679,8533,10652,7389,3283,44660,374,390,1451,2177,2995,4738,10897,15395,9746,48172,98,278,1259,1579,1796,1757,1512,1113,761,10151,4831,6997,16263,12991,10754,9686,9865,9946,8399,89737,48886,123124,269699,261326,242935,207195,169248,97679,42525,1462621,68483,204099,407150,382860,304106,191292,129909,57951,15594,1761443,6545,10070,27154,27819,34904,33107,21193,9601,2467,172864,10465,12671,44458,50578,84968,122162,107804,53737,16310,503156,3118,2255,7270,9161,12529,17527,19773,13416,5312,90360
SOS31,6306,17404,33725,30196,24635,16548,15422,7156,1541,152932,1541,1926,4742,4648,5443,5382,3666,1489,275,29117,2740,2994,10164,10887,16636,24797,21135,8633,1700,99694,842,566,1667,2242,3118,4570,5135,2786,744,21683,293,232,640,916,1347,2505,5578,6950,2821,21274,38,73,269,201,276,289,306,267,132,1854,1899,2481,6506,5960,5886,5714,4910,3421,1561,38338,13665,25676,57711,55049,57349,59807,56149,30698,8776,364880,6415,18912,41459,38609,31048,20628,14233,6285,1670,179265,1055,1459,4089,4382,5582,5940,3781,1573,345,28199,1950,2293,7533,8721,15109,26256,24544,10704,3032,100148,580,424,1254,1647,2318,4095,5034,3039,1126,19529,142,119,379,566,1008,1815,5069,7205,4318,20611,28,56,189,171,209,270,274,240,168,1618,1716,2032,4854,4192,4062,4215,4462,3963,2659,32154,11893,25297,59755,58294,59341,63204,57401,33012,13317,381515,12727,36320,75178,68805,55681,37172,29653,13441,3211,332190,2598,3391,8828,9028,11031,11319,7447,3060,622,57314,4699,5287,17694,19610,31743,51052,45680,19344,4733,199837,1428,995,2922,3894,5442,8662,10177,5825,1868,41210
SOS32,807,2063,3802,3764,3586,3050,3197,1313,199,21766,226,303,606,703,897,1042,855,251,44,4919,439,493,1520,1848,3046,5094,4316,1477,173,18415,148,72,260,355,592,960,1157,522,81,4141,43,35,109,146,286,588,1286,1341,340,4171,0,9,22,17,33,36,75,41,19,258,313,313,824,815,978,1073,1098,680,174,6266,1977,3291,7138,7659,9415,11840,11977,5622,1024,59942,765,2205,4813,5035,4705,4053,2835,1013,181,25604,168,220,629,682,944,1134,817,261,51,4905,315,299,1011,1306,2590,4865,4325,1427,311,16453,84,59,172,221,391,819,906,384,98,3138,33,28,63,85,139,362,989,1067,406,3162,0,5,13,19,20,24,38,42,24,181,298,311,706,680,742,962,967,622,211,5495,1672,3121,7407,8017,9525,12208,10877,4824,1283,58944,1574,4262,8617,8798,8292,7097,6034,2329,379,47376,391,522,1235,1385,1834,2177,1668,514,94,9819,759,801,2528,3153,5639,9965,8640,2900,488,34871,234,128,437,581,983,1779,2058,904,179,7285
SOS33,3064,7406,12314,13862,14491,11360,9723,3619,493,76333,670,701,1638,2145,2991,3176,2126,613,84,14144,1416,1418,5028,6523,11014,16672,12514,3883,520,58993,370,211,663,1033,1823,3143,3028,1319,236,11825,82,76,260,384,760,1533,3661,3737,946,11427,14,21,63,72,104,149,166,148,48,786,1202,1426,3751,4116,4982,4726,3419,1699,345,25661,6822,11257,23708,28128,36177,40763,34638,15013,2672,199163,3310,7208,15023,18109,18763,13806,8365,2745,435,87754,372,406,1179,1656,2855,3455,1945,584,81,12526,685,683,2381,3529,8089,14461,12000,3812,627,46272,184,90,353,550,1066,1999,2107,864,201,7424,43,26,101,167,350,779,2176,2387,794,6817,9,14,49,59,83,102,105,85,38,546,1016,1024,2445,2476,3045,3252,2716,1356,322,17653,5623,9454,21538,26543,34256,37855,29406,11831,2490,178996,6375,14610,27334,31972,33257,25166,18085,6364,923,164083,1038,1109,2816,3795,5850,6627,4075,1198,160,26673,2102,2102,7410,10048,19108,31135,24516,7698,1148,105263,558,302,1014,1578,2893,5148,5132,2181,434,19248
SOS37,0,7,8,15,8,8,4,0,0,52,0,0,0,3,0,0,0,0,0,9,0,0,12,8,13,4,0,0,0,36,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,40,74,45,16,6,0,0,192,6,9,69,102,77,26,14,0,0,300,0,3,8,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,3,0,0,0,0,0,29,6,3,21,7,3,5,0,0,0,53,0,4,16,20,8,10,4,0,0,70,0,0,0,3,0,0,0,0,0,13,0,0,12,8,11,3,0,0,0,33,0,0,0,0,5,0,0,0,0,11
SOS40,9620,33661,64202,56459,45028,32578,24733,11086,3282,280640,1832,4002,9969,10109,13886,16619,11224,4034,1065,72748,1241,1976,7010,7999,9352,12221,10893,6789,2161,59642,351,369,1497,1870,2151,3227,3104,2450,1136,16157,181,235,837,1184,1290,1980,3725,4972,3019,17435,33,158,604,814,979,960,813,625,399,5393,1124,1606,3814,3387,2986,2760,2548,2280,1421,21932,14396,42007,87930,81828,75676,70340,57033,32249,12489,473941,10236,34236,71227,64537,51095,36995,23425,10444,3930,306123,1130,2575,6861,7617,12452,18243,13366,4760,1829,68831,787,1453,5066,6036,7901,12471,15851,9856,3963,63385,228,284,1071,1476,1769,3039,3917,3763,2215,17748,98,132,698,1090,1172,1926,4721,6896,5288,22026,23,88,605,972,1262,1189,1032,1044,897,7114,1067,1493,3500,3025,2564,2525,2935,3318,2628,23047,13573,40254,89029,84740,78219,76379,65246,40089,20742,508271,19853,67897,135426,120993,96129,69566,48163,21524,7213,586763,2964,6581,16830,17727,26338,34862,24587,8794,2896,141580,2039,3426,12079,14033,17255,24687,26745,16641,6125,123025,581,653,2564,3343,3911,6261,7023,6221,3344,33902
SOS41,1879,5584,10312,9063,8888,6422,6099,3034,804,52085,818,1580,3772,3558,4976,6282,4418,1542,359,27304,522,857,2900,3128,3490,5194,5154,2899,776,24918,147,138,569,756,963,1571,1766,1349,469,7738,58,65,238,313,331,709,1763,2315,1137,6937,14,25,91,121,124,113,89,97,45,715,477,527,1215,1175,1313,1374,1290,1142,560,9079,3922,8775,19097,18119,20075,21666,20576,12388,4152,128770,2078,6223,13112,12297,11687,8128,6109,2901,933,63469,450,1013,2579,2918,4850,6842,4987,1769,492,25906,297,520,1920,2190,2763,4837,6365,3923,1302,24114,98,89,382,495,618,1265,1800,1722,774,7246,39,32,149,184,241,519,1529,2469,1935,7095,5,16,66,68,98,81,88,113,63,595,413,388,1045,1000,1067,1114,1435,1521,972,8952,3379,8280,19257,19149,21331,22789,22313,14413,6467,137378,3959,11806,23425,21361,20575,14549,12207,5934,1733,115554,1272,2589,6351,6480,9826,13120,9406,3311,854,53206,814,1375,4820,5316,6253,10030,11523,6830,2074,49035,250,226,949,1257,1580,2833,3571,3070,1246,14982
SOS42,243,659,1202,1112,1133,1055,1030,436,82,6943,121,221,506,522,851,1226,919,227,56,4648,101,120,410,479,617,1045,1098,515,117,4495,43,26,101,110,171,340,383,226,65,1458,15,13,45,54,87,143,403,419,209,1391,0,4,3,6,6,12,12,11,4,70,88,95,206,234,284,378,403,247,106,2042,612,1135,2467,2514,3145,4205,4241,2072,651,21045,264,724,1669,1633,1588,1398,1034,378,109,8802,68,138,359,387,708,1340,902,264,63,4225,46,61,267,322,416,849,1060,578,184,3774,24,15,63,62,121,215,296,246,98,1138,3,8,24,39,38,92,245,347,307,1107,0,0,10,12,7,12,19,10,11,70,88,73,175,190,249,333,342,255,193,1893,487,1023,2563,2639,3129,4230,3900,2081,955,21001,508,1383,2868,2740,2722,2455,2066,813,192,15750,188,355,863,906,1556,2566,1824,490,118,8871,143,181,672,802,1036,1891,2160,1092,300,8272,62,43,163,175,284,556,677,473,163,2601
SOS43,927,2349,3875,4166,4844,4019,3394,1116,154,24845,376,568,1408,1726,2781,3788,2227,528,58,13455,252,338,1131,1641,2177,3281,2559,1047,162,12586,65,40,233,330,476,967,919,513,103,3648,20,32,90,122,185,408,900,871,252,2883,4,5,15,35,33,49,52,38,21,248,289,360,945,979,1140,1201,895,490,106,6410,1940,3687,7699,9001,11642,13708,10941,4603,859,64076,1020,2383,4616,5574,6049,4743,2925,873,136,28309,141,229,653,1039,2205,3448,2032,494,73,10302,118,114,498,736,1188,2229,2311,897,141,8244,31,30,79,139,251,513,579,364,85,2072,9,6,44,64,120,189,521,566,258,1786,0,3,3,17,24,37,37,36,26,195,268,215,525,516,736,832,750,404,137,4390,1590,2982,6421,8091,10575,11992,9163,3636,851,55297,1943,4732,8493,9741,10894,8761,6321,1987,288,53155,518,792,2061,2762,4978,7236,4254,1018,132,23756,371,457,1629,2376,3370,5513,4871,1944,304,20830,102,73,307,470,729,1473,1499,880,188,5725
SOS47,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS50,17586,49823,99275,99529,75884,54584,40602,18180,4719,460191,2672,4379,11801,12051,12253,10304,5703,2575,584,62322,3367,5025,16033,17533,24580,29642,23465,11055,2971,133665,957,702,1958,2426,2972,3955,4779,3847,1518,23111,252,262,866,1254,1501,2224,3935,4954,2657,17901,45,141,696,871,982,913,794,619,352,5409,2102,2872,7184,6568,5485,4556,4269,3963,2532,39543,26981,63205,137805,140229,123663,106186,83549,45196,15337,742150,18455,52003,116856,115446,86415,61009,38870,17086,5554,511699,1717,3223,9463,9852,12765,13604,7805,3331,947,62707,2495,3907,12448,13965,22564,29061,30043,15371,5666,135515,705,511,1366,1900,2373,3596,5363,4683,2548,23040,202,179,767,1321,1791,2586,4826,5953,4303,21942,48,89,620,986,1107,1236,1098,928,789,6906,2026,2631,6853,5918,4760,4164,4831,5301,4701,41183,25634,62543,148379,149396,131784,115258,92837,52655,24513,802983,36042,101823,216135,214980,162295,115599,79475,35268,10276,971889,4382,7604,21261,21900,25019,23913,13506,5902,1537,125032,5859,8929,28484,31492,47146,58703,53507,26426,8638,269181,1660,1207,3325,4331,5346,7550,10141,8529,4065,46156
SOS51,2137,5753,13148,13075,10573,7979,6478,2660,596,62405,982,1311,3213,3442,3445,2768,1604,566,124,17456,1206,1596,5078,5749,7457,9186,7107,2823,564,40758,320,230,618,760,945,1439,1714,1210,362,7591,84,82,216,257,379,611,1192,1417,706,4948,13,23,119,123,136,138,113,95,56,815,1020,1138,3331,3352,3225,2897,1950,1211,548,18668,5775,10125,25717,26757,26167,25013,20155,9980,2959,152642,2332,6336,17058,16653,12828,9533,6268,2624,779,74416,582,835,2644,2857,3408,3748,2248,733,167,17218,806,1183,3544,4275,6231,7999,7695,3358,1041,36135,252,178,409,502,646,975,1445,1149,537,6096,63,47,132,223,281,460,916,1339,879,4339,8,25,79,73,102,95,111,92,85,669,845,985,2749,2433,2231,2126,1809,1402,975,15555,4888,9592,26614,27019,25725,24931,20489,10692,4471,154428,4469,12094,30205,29731,23403,17505,12746,5281,1381,136820,1568,2150,5855,6296,6853,6511,3854,1296,296,34673,2017,2773,8629,10026,13685,17187,14793,6172,1604,76892,568,409,1023,1267,1591,2416,3155,2354,898,13682
SOS52,313,793,1775,1603,1397,1353,1309,469,94,9116,139,190,509,472,540,492,327,125,14,2812,239,298,833,955,1333,1937,1592,567,103,7852,78,47,122,164,213,342,426,216,63,1663,40,32,65,80,114,194,346,344,133,1350,6,7,11,10,21,24,23,27,9,140,157,225,695,707,796,774,649,335,80,4410,973,1590,4008,3990,4420,5111,4670,2081,496,27338,339,862,2161,1948,1588,1631,1150,455,117,10245,108,164,443,477,521,668,370,121,22,2900,181,222,622,733,1138,1557,1502,550,136,6647,51,52,94,126,155,239,300,213,65,1291,35,34,63,41,70,131,232,231,121,961,4,4,9,12,13,24,34,32,13,149,144,188,494,447,455,610,549,323,135,3344,868,1529,3889,3792,3937,4851,4148,1912,613,25539,653,1648,3934,3552,2985,2983,2464,926,211,19359,249,356,953,951,1062,1161,705,246,38,5711,421,520,1452,1689,2468,3492,3093,1117,246,14498,134,103,221,285,368,574,727,424,122,2954
SOS53,1087,3136,7030,7515,7254,6260,4621,1463,191,38545,344,523,1551,1856,2168,1876,1031,330,39,9720,486,804,2793,3355,4884,6246,4289,1348,187,24383,104,73,256,405,590,899,1041,501,103,3970,35,24,112,130,220,358,711,621,198,2402,12,13,35,72,121,96,45,54,26,465,447,1306,4643,4671,4563,3459,1527,557,102,21274,2510,5874,16407,18008,19795,19191,13258,4871,842,100763,1069,2595,6022,6772,6806,6405,3926,1119,206,34909,187,250,721,988,1590,2042,986,259,33,7054,255,279,985,1366,2794,3975,3564,1142,215,14572,79,36,101,132,241,483,618,377,100,2176,20,15,47,58,115,179,370,393,162,1356,3,10,15,24,28,29,28,38,14,186,372,614,1519,1314,1488,1375,1025,467,85,8252,1978,3792,9401,10661,13068,14482,10520,3788,820,68501,2152,5725,13044,14292,14061,12660,8548,2581,391,73453,531,776,2269,2846,3760,3916,2015,590,77,16771,741,1082,3776,4725,7679,10226,7853,2486,403,38956,185,111,351,536,836,1378,1656,876,209,6141
SOS57,0,37,164,325,243,122,47,6,0,942,0,3,33,72,81,43,8,0,0,246,6,7,31,96,118,83,22,3,0,366,0,0,5,5,8,10,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,6,28,190,414,378,198,35,4,0,1263,13,81,430,908,839,449,117,15,0,2854,7,19,53,29,29,38,22,7,0,198,0,0,3,0,0,7,3,0,0,22,0,6,0,0,4,7,12,3,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,29,20,23,24,12,5,0,124,8,36,89,49,60,77,61,17,0,392,5,59,216,349,273,156,75,7,0,1134,0,3,43,74,83,53,13,0,0,272,6,9,31,95,129,92,39,10,0,402,0,0,7,3,8,8,0,0,0,38
SOS60,1169,4810,13197,8761,6069,4592,4014,1768,585,44974,320,454,1040,928,962,665,399,225,71,5072,426,653,1691,1720,3017,3867,2848,1373,399,15993,59,60,177,169,298,630,878,756,171,3194,39,30,112,131,132,256,410,543,324,1985,7,9,80,54,70,76,75,41,17,434,212,275,866,601,501,493,549,445,216,4157,2221,6296,17156,12367,11048,10589,9175,5154,1785,75803,1262,4988,13501,9717,7151,5546,4039,1802,653,48660,267,407,984,915,1001,926,610,317,93,5521,248,444,1338,1585,2926,4111,3815,2126,906,17500,47,49,136,124,272,578,1142,1047,323,3713,28,31,118,103,137,224,397,618,650,2301,3,11,76,76,100,73,67,49,33,493,186,282,790,544,425,468,615,614,413,4342,2026,6207,16946,13061,12018,11929,10691,6576,3064,82526,2430,9802,26700,18483,13225,10135,8060,3575,1233,93633,590,863,2027,1843,1967,1595,1009,544,165,10593,668,1095,3028,3304,5944,7974,6670,3504,1307,33492,97,108,316,292,567,1209,2018,1801,496,6905
SOS61,1058,3868,8151,6025,4279,3440,3276,1596,428,32121,522,772,1454,1373,1056,789,580,329,78,6971,793,1206,3396,3200,5479,6531,4384,2088,469,27550,90,70,309,259,548,1237,2050,1453,295,6305,41,52,151,153,236,438,903,960,644,3574,12,20,83,86,104,94,73,44,29,542,315,388,867,666,712,726,820,750,395,5651,2833,6379,14410,11763,12425,13254,12095,7219,2330,82710,1202,4296,9218,7616,5775,4499,3400,1646,572,38221,438,655,1554,1397,1505,1219,873,348,100,8091,501,878,2710,2886,5334,6746,5569,2978,909,28515,73,68,208,184,438,1127,2216,1754,488,6554,30,33,123,145,154,347,734,965,1108,3630,3,25,77,78,113,84,60,47,31,513,284,338,719,600,618,738,929,1077,636,5942,2531,6291,14603,12905,13922,14766,13779,8830,3846,91476,2257,8165,17365,13637,10058,7938,6678,3241,1002,70346,961,1427,3011,2774,2561,2009,1455,681,180,15066,1291,2088,6108,6087,10811,13273,9955,5066,1379,56068,162,140,512,435,981,2364,4266,3206,778,12858
SOS62,122,378,744,762,713,732,816,324,65,4658,54,84,194,204,181,145,139,53,15,1069,103,144,483,490,823,1172,744,313,53,4329,9,6,23,47,98,228,355,236,29,1040,4,4,10,18,23,70,181,186,78,578,0,0,0,8,9,3,7,3,0,29,48,52,100,95,141,176,202,138,55,1015,349,677,1563,1628,1990,2525,2445,1256,298,12727,131,380,970,1022,930,929,738,288,63,5459,50,73,202,180,209,208,160,45,8,1126,51,95,297,338,690,1088,801,351,87,3798,6,6,13,27,64,201,342,217,48,918,12,3,9,6,19,56,102,112,100,415,0,4,0,3,4,4,9,5,3,38,35,31,96,99,116,157,182,154,76,946,280,588,1591,1673,2031,2640,2330,1172,399,12697,251,758,1715,1790,1643,1656,1555,614,136,10116,103,161,392,383,389,350,296,100,22,2197,160,239,778,827,1513,2258,1550,670,138,8126,18,14,42,72,157,426,696,453,84,1960
SOS63,480,1318,2454,2855,2640,2774,2629,918,148,16220,258,286,570,684,702,577,421,124,21,3644,493,582,1633,1826,3269,4256,2587,782,102,15527,58,29,84,145,382,853,1094,595,63,3309,17,12,40,42,116,291,484,396,155,1558,3,0,15,13,11,23,25,16,13,120,172,138,386,413,492,620,574,326,91,3212,1488,2370,5174,5977,7615,9392,7813,3162,588,43579,537,1412,3246,3964,3618,3491,2311,687,106,19371,185,250,572,676,799,803,438,130,12,3868,234,288,950,1254,2651,3575,2194,768,147,12064,33,14,49,73,222,501,808,435,67,2199,10,5,13,26,44,107,248,181,133,765,6,0,6,7,9,10,6,11,3,64,144,146,373,376,423,510,478,269,87,2800,1150,2116,5203,6373,7758,9005,6483,2470,565,41130,1016,2728,5700,6821,6253,6270,4944,1604,251,35595,445,534,1138,1358,1502,1380,857,249,37,7505,731,868,2582,3082,5922,7830,4786,1552,248,27590,96,46,133,224,599,1357,1900,1029,130,5512
SOS67,0,9,24,30,14,9,8,0,0,100,0,0,3,4,8,7,0,0,0,20,0,3,7,11,23,22,6,0,0,68,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,24,22,20,3,0,0,95,5,9,58,65,70,62,25,4,0,286,0,0,9,9,9,7,3,0,0,34,0,0,0,0,4,3,0,0,0,9,0,0,0,0,3,4,4,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,0,6,13,12,18,11,9,0,0,71,6,7,30,40,25,19,14,0,0,131,0,4,0,4,10,8,0,0,0,25,0,0,7,11,28,27,10,0,0,78,0,0,0,0,0,3,4,6,0,6
SOS70,748,3164,8271,6502,4372,2925,2136,686,103,28907,201,421,1002,869,1085,1138,588,133,12,5446,256,435,1342,1364,1500,1724,1242,348,47,8267,83,50,177,228,243,329,358,156,30,1663,36,23,104,124,213,242,396,291,75,1504,7,22,60,44,62,56,61,39,24,363,281,537,1421,1112,1037,973,728,259,70,6426,1614,4658,12373,10256,8513,7383,5499,1921,362,52572,788,3031,9799,7557,4897,3280,1896,584,97,31935,137,296,768,767,936,1105,588,135,26,4757,158,249,888,915,1182,1441,1243,410,67,6557,57,48,173,185,202,287,302,140,33,1429,24,18,70,134,179,255,360,281,115,1416,0,7,32,58,64,92,102,55,25,434,305,436,1405,1077,952,862,617,243,84,5989,1472,4080,13138,10698,8406,7325,5118,1847,441,52516,1540,6194,18070,14061,9271,6205,4037,1274,204,60846,339,711,1768,1636,2020,2240,1178,265,31,10201,417,687,2229,2283,2678,3164,2484,755,116,14817,142,96,356,419,448,614,660,296,65,3093
