SOS_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOS60,1012,3122,39,4171,17498,855,56,22581,201,4048,10,4264,14720,887,44,19915,35,905,5,950,10010,787,14,11761,3,44,0,47,4344,460,7,4857,29881,12413,1485,43776,112599,8286,456,165114
SOS61,927,3813,52,4788,22000,1240,28,28057,167,3257,16,3440,21093,1357,27,25916,40,590,3,634,14153,1268,15,16066,7,29,0,37,5434,712,9,6191,31646,12602,1744,45989,124935,10208,355,181488
SOS62,182,628,11,826,4051,286,3,5166,29,523,0,550,3926,304,8,4781,0,75,0,74,2119,243,0,2431,0,5,0,5,576,119,0,697,4268,1805,227,6297,18109,1795,63,26264
SOS63,647,2280,28,2950,14432,1018,15,18414,123,1721,9,1844,11549,910,3,14315,22,266,0,291,4876,468,3,5638,0,5,0,10,1009,136,4,1154,15740,6375,715,22828,59488,5661,124,88099
SOS67,0,6,0,3,42,30,0,77,0,0,0,0,33,0,0,33,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,35,10,0,47,211,110,13,374
SOS70,660,1526,21,2209,10662,1851,144,14864,162,1482,8,1661,7713,1260,77,10705,15,280,3,300,3016,449,24,3789,3,13,0,22,661,127,6,809,20541,6236,964,27743,67440,13661,2519,111361
SOS71,227,698,62,989,4238,790,44,6056,66,425,16,512,2605,494,12,3621,6,66,6,83,838,132,8,1060,5,6,0,9,200,34,0,242,7490,4308,1245,13039,23619,4950,169,41773
SOS72,109,550,60,727,2056,417,11,3211,36,279,23,335,1488,313,9,2149,7,43,7,55,349,62,0,469,0,11,0,12,40,4,0,59,3738,3685,1083,8511,10705,2217,75,21506
SOS73,168,658,38,861,4994,1201,22,7082,51,513,14,574,4244,922,14,5758,8,73,3,82,1057,232,0,1379,0,6,0,12,116,18,0,145,5423,3156,553,9135,21798,7441,343,38714
SOS77,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
SOS80,2639,5734,112,8481,34687,1434,179,44784,421,8229,50,8695,24783,1272,153,34910,88,2026,15,2129,15841,1026,49,19045,9,105,0,110,6328,753,7,7199,77435,24259,3046,104741,247295,16623,1016,369675
SOS82,0,8,0,8,53,4,0,69,0,8,0,12,41,9,0,62,0,6,0,6,18,4,0,33,0,0,0,0,6,0,0,6,125,41,0,166,294,23,0,479
SOS83,8,15,0,19,44,15,0,74,0,9,0,9,39,13,0,58,0,3,0,3,9,0,0,9,0,0,0,0,7,0,0,7,85,27,0,117,350,90,0,553
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,13,18,0,32,152,46,0,227,0,16,0,15,125,33,0,175,0,3,0,3,30,3,0,36,0,0,0,0,4,0,0,4,208,45,7,264,712,353,6,1332
SOS92,20,53,0,73,381,89,0,547,0,32,0,38,283,52,0,377,0,8,0,8,138,39,0,187,0,0,0,0,46,6,0,48,305,161,25,490,1541,355,16,2404
SOS93,4,10,0,19,79,23,0,120,6,11,0,13,87,19,0,120,0,4,0,4,50,16,0,69,0,0,0,0,9,0,0,10,76,46,12,133,426,328,5,893
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
