SOS_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOS30,286797,177533,186535,172271,146226,102163,59528,23421,5376,1159856,31803,33312,38602,41341,45556,48074,46177,26183,7571,318627,2259,4019,6201,7634,11312,16526,21510,15784,5306,90564,113,337,819,1810,3946,8383,13868,12706,5016,46985,34176,37671,45624,50780,60810,72981,81554,54676,17895,456177,28069,20958,23478,20307,18697,14277,10424,6311,2853,145381,349049,236161,255643,243362,225732,189420,151506,84410,26120,1761402,277760,160394,182504,175865,149400,107501,67055,26677,7640,1154787,23939,45150,52377,50528,52952,53353,51354,31299,12438,373379,1735,7955,11958,12730,16586,20759,24378,18072,8916,123078,115,621,1718,3350,7101,11610,15642,14176,8407,62741,25786,53721,66047,66604,76644,85716,91372,63550,29763,559202,26220,18997,21305,18991,17026,14113,10955,7521,5147,140275,329768,233113,269863,261455,243062,207333,169375,97742,42553,1854269,564555,337924,369039,348142,295630,209660,126580,50098,13017,2314645,55740,78463,90978,91864,98507,101422,97535,57483,20015,692009,3997,11973,18156,20361,27903,37287,45889,33855,14222,213643,227,958,2535,5162,11044,19990,29505,26883,13420,109724,59966,91394,111671,117384,137453,158701,172929,118224,47653,1015372,54289,39959,44790,39299,35719,28393,21377,13831,8001,285653
SOS31,73324,38797,39228,35313,33440,28498,19697,7982,1786,278066,9612,7864,8515,9648,11567,15042,16730,9133,2452,90559,752,980,1457,1971,3365,5967,8489,5732,1720,30431,46,99,237,575,1445,3537,6261,5178,1777,19169,10412,8941,10210,12190,16382,24552,31473,20048,5943,140153,9790,6739,8318,7599,7555,6787,5000,2701,1044,55541,93529,54475,57751,55103,57382,59842,56172,30727,8774,473761,71496,34380,38084,35613,32825,29334,20209,8228,2243,272406,7398,10122,12270,12276,13388,16297,17571,10468,3887,103674,576,2006,2952,3693,5008,7366,8923,6214,2897,39627,27,165,507,1163,2597,4889,6230,5231,2688,23493,8000,12296,15731,17135,20993,28554,32723,21914,9467,166796,9338,5543,5974,5586,5573,5342,4500,2896,1613,46362,88831,52216,59791,58328,59387,63232,57426,33034,13321,485567,144811,73174,77307,70926,66273,57835,39903,16206,4032,550469,17011,17986,20781,21926,24952,31344,34302,19601,6330,194236,1326,2984,4413,5658,8375,13336,17406,11943,4611,70060,74,265,749,1736,4042,8425,12488,10407,4469,42658,18409,21236,25940,29321,37369,53104,64194,41953,15410,306953,19135,12283,14289,13183,13121,12130,9496,5594,2654,101901
SOS32,10416,5174,4829,4883,5409,5719,4479,1597,232,42738,1216,897,948,1292,1915,2992,3404,1675,309,14643,76,108,159,243,573,1126,1772,1023,192,5258,10,20,27,71,229,695,1190,761,188,3182,1301,1022,1126,1605,2715,4811,6361,3455,692,23087,1777,963,1189,1173,1290,1319,1145,572,105,9535,13494,7159,7148,7657,9415,11846,11986,5618,1026,75355,9980,4446,4820,5013,5299,5782,4100,1356,254,41049,923,1151,1375,1640,2190,3084,3165,1544,374,15446,75,210,332,423,768,1408,1632,808,275,5926,3,11,53,127,334,833,970,645,245,3233,1003,1376,1760,2194,3292,5323,5765,3000,890,24605,1631,791,837,821,940,1113,1022,471,135,7757,12606,6618,7413,8032,9528,12215,10880,4825,1283,73408,20393,9623,9649,9897,10711,11493,8578,2950,485,83782,2134,2054,2318,2935,4107,6077,6563,3220,679,30091,147,314,489,666,1343,2528,3399,1830,467,11188,13,32,83,200,557,1524,2168,1405,435,6412,2296,2400,2886,3802,6009,10135,12129,6457,1583,47689,3406,1758,2021,1993,2227,2429,2170,1034,242,17289
SOS33,32385,18204,15151,17690,21519,20688,13641,4484,635,144398,3539,2950,2899,4040,6316,9535,9874,4543,830,44533,199,314,409,771,1595,3314,4623,2525,488,14236,9,29,69,185,600,1744,2815,1852,421,7722,3750,3293,3374,5001,8510,14592,17312,8915,1738,66492,4771,3824,5198,5446,6160,5497,3696,1615,295,36503,40903,25322,23724,28136,36188,40774,34645,15015,2673,247391,30905,15476,13898,16857,20352,19102,11699,3670,579,132544,2604,3423,3749,4904,6889,9246,8515,3635,791,43752,163,547,804,1265,2257,3559,3908,1882,465,14842,12,49,123,336,947,2026,2344,1384,397,7614,2773,4016,4678,6503,10092,14833,14762,6897,1654,66202,4254,2830,2971,3196,3826,3933,2956,1270,258,25492,37932,22319,21550,26557,34269,37865,29417,11838,2494,224238,63292,33680,29051,34552,41874,39791,25340,8151,1216,276939,6149,6368,6646,8942,13208,18783,18390,8175,1622,88282,359,865,1210,2034,3851,6874,8524,4409,946,29075,22,70,198,521,1543,3768,5152,3235,821,15334,6529,7305,8053,11500,18602,29423,32075,15814,3390,132696,9021,6655,8168,8644,9983,9432,6649,2887,555,61993
SOS37,0,5,19,25,24,6,3,0,0,89,0,0,5,0,6,3,4,0,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,10,6,3,5,0,0,26,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,4,3,3,4,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,12,3,0,0,0,0,0,29,0,13,23,7,3,5,0,0,0,53,0,12,27,24,28,7,3,0,0,103,0,0,6,4,6,4,4,0,0,24,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,6,14,6,7,5,0,0,32,0,13,60,75,43,16,12,0,0,220
SOS40,91309,60730,66755,59211,49407,37744,22319,9095,2579,399148,9766,10761,13202,14171,15686,18612,18224,10435,3716,114581,560,1239,2141,2643,4056,6492,8347,6115,2649,34240,36,104,291,583,1469,3253,5369,4854,2624,18584,10364,12101,15636,17401,21207,28349,31942,21403,8986,167400,7093,5194,5646,5280,5122,4291,2806,1761,929,38140,108763,78031,88040,81893,75735,70387,57073,32262,12494,604691,88736,53234,62640,58244,48258,39797,25677,10713,3626,390930,7071,13844,16855,16364,17263,19926,20404,13564,6392,131693,536,2561,4173,4230,5572,7965,9920,7614,4632,47199,31,189,592,1174,2572,4646,6105,5813,4519,25640,7632,16587,21617,21773,25407,32547,36427,26991,15545,204531,6534,4678,4872,4792,4609,4078,3176,2411,1586,36742,102912,74506,89134,84806,78270,76421,65282,40119,20757,632198,180046,113971,129396,117456,97659,77538,48000,19810,6210,790083,16838,24602,30059,30535,32951,38540,38631,24003,10111,246269,1095,3801,6315,6875,9626,14456,18264,13728,7279,81436,68,294,881,1759,4040,7904,11470,10666,7146,44221,17996,28697,37259,39171,46611,60899,68372,48396,24533,371929,13634,9877,10518,10072,9729,8374,5987,4174,2515,74880
SOS41,23704,13205,13118,11955,12195,10811,7743,3334,821,96892,3217,2934,3383,3441,4266,5749,6401,3804,1249,34449,190,430,590,736,1237,2140,3094,2361,845,11623,13,33,97,194,510,1245,2049,2010,861,7017,3429,3398,4070,4373,6008,9136,11539,8177,2949,53087,2473,1669,1930,1809,1881,1720,1300,884,379,14044,29608,18272,19117,18136,20083,21670,20587,12394,4153,164020,23464,11305,12049,11776,12131,10928,8451,3812,1140,95052,2458,3758,4485,4337,4998,6079,6837,4541,1940,39440,155,743,1197,1298,1861,2591,3408,2798,1414,15472,3,69,182,399,905,1734,2229,2223,1357,9106,2619,4569,5856,6039,7758,10408,12478,9566,4713,64010,2418,1271,1363,1344,1456,1463,1388,1044,614,12373,28497,17151,19269,19165,21342,22798,22321,14423,6469,171438,47166,24510,25171,23731,24325,21744,16194,7145,1965,191940,5681,6692,7865,7777,9259,11833,13244,8347,3187,73881,345,1180,1782,2034,3093,4731,6497,5165,2261,27094,26,101,278,601,1415,2986,4277,4229,2220,16124,6053,7968,9931,10413,13765,19543,24022,17741,7665,117098,4891,2939,3292,3155,3344,3182,2695,1925,999,26417
SOS42,3382,1812,1729,1643,1884,2042,1574,576,124,14773,377,342,433,485,669,1122,1227,615,185,5446,25,34,64,93,183,397,648,366,129,1933,0,0,9,29,77,235,394,301,129,1179,404,381,503,608,926,1750,2269,1289,444,8558,385,247,234,266,336,416,396,208,93,2585,4166,2434,2466,2521,3153,4210,4241,2066,651,25919,3268,1504,1685,1619,1801,1967,1530,599,180,14164,301,431,527,572,678,1122,1117,659,299,5711,28,74,126,160,282,468,553,357,169,2219,4,8,18,44,95,287,366,257,178,1248,335,509,675,777,1050,1878,2034,1278,646,9173,385,217,206,247,270,388,334,207,123,2384,3989,2230,2566,2637,3126,4234,3900,2082,955,25724,6649,3321,3413,3262,3686,4013,3110,1173,304,28941,681,772,964,1056,1346,2238,2344,1273,479,11156,53,111,191,251,455,860,1203,724,300,4149,4,8,26,71,174,516,761,564,304,2424,737,883,1180,1381,1974,3621,4303,2558,1090,17735,776,462,448,514,613,807,730,417,215,4968
SOS43,10559,6031,5290,5883,7354,7218,4473,1394,231,48449,1148,1061,1012,1458,2137,3344,3233,1514,245,15148,51,84,126,225,478,1116,1442,751,174,4460,0,12,20,35,173,538,785,505,126,2193,1209,1153,1163,1720,2792,5009,5458,2770,545,21806,1146,954,1251,1402,1496,1488,1012,447,84,9267,12917,8136,7702,9008,11644,13717,10944,4607,859,79519,10118,4939,4246,5361,6517,6320,3851,1193,241,42794,827,1151,1231,1579,2152,2975,2739,1152,240,14045,51,181,265,405,693,1097,1181,567,158,4583,9,14,44,93,277,568,601,371,120,2096,890,1343,1533,2076,3122,4646,4517,2082,512,20721,1044,641,642,647,937,1027,802,356,99,6197,12057,6926,6418,8090,10575,11994,9164,3638,853,69716,20685,10973,9527,11247,13875,13543,8324,2586,475,91240,1980,2206,2237,3035,4290,6322,5968,2658,487,29190,105,265,391,629,1172,2221,2620,1316,326,9045,14,24,59,129,453,1107,1383,871,244,4285,2093,2495,2692,3801,5914,9650,9976,4850,1058,42530,2193,1591,1899,2048,2428,2512,1811,801,181,15469
SOS47,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6
SOS50,168388,96430,104506,104108,84169,61022,35324,13435,3295,670680,16166,16335,19638,21631,23398,26439,25980,14348,4620,168551,890,1715,2675,3624,5338,8055,11132,8214,2977,44623,40,131,311,706,1649,3694,6335,6178,2699,21736,17094,18179,22618,25959,30382,38190,43445,28739,10301,234910,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,163140,86118,105260,106080,85329,63702,39679,14936,4616,668864,11905,22118,26979,26602,27499,29245,28282,17667,7709,198015,773,3614,5620,6126,7808,10464,12510,9503,4991,61400,47,287,696,1395,2836,5180,7186,6652,4360,28628,12724,26014,33295,34123,38139,44885,47981,33816,17058,288046,12838,8559,9914,9281,8407,6761,5251,3953,2858,67830,188700,120692,148478,149485,131874,115347,92912,52702,24539,1024731,331532,182548,209769,210183,169498,124722,75005,28377,7915,1339542,28074,38451,46610,48232,50896,55687,54265,32013,12334,366565,1664,5329,8293,9751,13148,18519,23640,17720,7971,106032,82,419,1002,2100,4480,8870,13523,12828,7060,50365,29815,44198,55911,60079,68528,83077,91431,62561,27363,522954,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776
SOS51,32169,15422,17530,17656,15957,12659,7960,2796,618,122776,3721,2872,3397,4024,4580,5944,5893,3030,879,34332,198,327,526,652,1216,1947,2654,1781,576,9882,10,25,88,161,385,997,1567,1346,539,5122,3928,3226,4014,4830,6176,8891,10121,6162,1994,49340,4947,3043,4188,4286,4048,3473,2083,1030,348,27430,41048,21690,25733,26771,26182,25018,20161,9988,2961,199548,31243,13460,17078,17258,14854,12506,8024,2975,770,118156,2606,3650,5059,5048,5507,6071,6082,3453,1329,38812,182,651,1079,1314,1805,2393,2766,1871,942,13011,9,60,139,362,756,1359,1699,1340,860,6586,2798,4364,6288,6731,8065,9825,10548,6663,3129,58411,4604,2537,3261,3049,2820,2613,1930,1055,581,22443,38639,20360,26622,27038,25734,24947,20502,10695,4476,199016,63414,28882,34613,34911,30805,25167,15981,5767,1387,240930,6330,6519,8465,9076,10082,12018,11976,6484,2207,73148,373,984,1611,1968,3014,4345,5424,3654,1520,22898,23,86,229,524,1137,2358,3271,2689,1396,11710,6727,7584,10295,11563,14238,18711,20671,12827,5120,107750,9553,5584,7444,7331,6868,6083,4010,2086,923,49877
SOS52,4559,2319,2679,2461,2527,2461,1696,556,119,19376,478,365,477,619,776,1193,1293,621,155,5985,27,42,75,124,195,411,616,353,92,1943,0,6,8,30,70,212,427,272,66,1089,508,414,559,773,1048,1819,2338,1242,316,9017,873,450,775,763,858,827,640,281,62,5525,5943,3187,4014,3992,4426,5113,4669,2080,496,33918,4369,2113,2566,2340,2152,2267,1488,551,133,17988,306,469,616,697,842,1172,1166,589,186,6045,17,61,130,211,313,481,586,294,105,2202,0,6,22,57,141,288,365,207,98,1182,325,540,775,961,1291,1943,2119,1088,392,9424,890,413,553,498,494,638,538,276,89,4395,5587,3062,3890,3800,3940,4851,4149,1914,613,31810,8931,4433,5242,4802,4677,4735,3179,1105,256,37364,787,831,1095,1313,1618,2361,2462,1219,340,12029,46,105,207,335,503,897,1203,647,203,4140,0,11,31,88,207,501,797,474,165,2273,830,951,1331,1730,2332,3766,4454,2338,706,18444,1765,865,1327,1254,1349,1468,1178,556,153,9920
SOS53,11575,7269,9146,10071,10967,9817,5588,1604,234,66270,1150,1038,1451,1950,2784,3883,3747,1448,255,17710,53,101,161,282,573,1140,1515,778,150,4753,4,17,20,48,165,440,696,477,105,1971,1206,1160,1630,2280,3525,5457,5962,2707,510,24429,1611,2257,5641,5670,5320,3933,1719,559,99,26806,14398,10683,16417,18019,19811,19205,13265,4870,842,117502,11005,5413,5970,6811,7842,7727,4474,1202,199,50642,779,1160,1467,1858,2481,3472,3032,1202,286,15730,43,191,251,405,700,1157,1250,580,158,4739,0,15,32,76,246,447,602,383,110,1913,823,1368,1750,2334,3430,5076,4887,2165,549,22383,1486,1205,1678,1522,1794,1676,1159,430,73,11018,13308,7985,9400,10667,13071,14487,10520,3798,820,84045,22581,12678,15118,16879,18810,17539,10063,2806,432,116906,1928,2203,2914,3803,5263,7356,6776,2651,536,33434,94,290,416,688,1278,2296,2764,1358,306,9491,7,31,55,125,409,891,1298,856,215,3883,2027,2524,3385,4613,6951,10538,10843,4867,1057,46815,3091,3462,7313,7191,7115,5607,2881,991,168,37824
SOS57,0,58,206,427,380,184,41,0,0,1305,0,0,31,57,68,52,27,7,0,232,0,0,6,5,7,15,11,0,0,44,0,0,0,0,0,8,0,0,0,9,0,0,31,63,80,69,38,7,0,287,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,3,21,43,24,29,49,24,9,0,201,0,8,12,4,4,8,18,4,0,55,0,0,3,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,8,12,4,4,7,22,3,0,67,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,3,80,249,453,414,233,64,12,0,1503,0,4,41,64,72,56,47,9,0,292,0,0,3,5,7,18,13,0,0,53,0,0,0,0,0,8,0,0,0,12,0,4,45,73,80,74,57,17,0,350,0,51,220,435,397,221,57,6,0,1396
SOS60,13566,8521,13153,8501,6741,5384,3517,1400,373,61153,1632,1896,2291,2324,2453,2940,2866,1657,546,18607,127,289,393,475,681,1006,1349,998,370,5695,0,28,54,98,248,495,875,760,359,2922,1763,2213,2739,2906,3383,4439,5088,3414,1279,27221,1311,955,1273,970,937,765,576,339,143,7270,16639,11689,17165,12380,11063,10594,9183,5156,1785,95650,13118,7142,11961,8280,6792,5833,3936,1663,522,59247,1265,2718,3083,2936,2991,3261,3433,2243,984,22917,114,577,807,788,1012,1343,1662,1270,703,8275,3,56,101,228,458,807,1082,968,615,4312,1390,3346,3988,3953,4463,5419,6164,4482,2297,35504,1189,839,1005,830,771,685,589,442,250,6602,15697,11327,16957,13066,12024,11931,10693,6591,3064,101348,26682,15661,25116,16785,13531,11219,7447,3067,892,120404,2897,4611,5371,5262,5445,6204,6298,3896,1528,41523,247,863,1198,1263,1693,2349,3006,2270,1072,13967,7,83,154,324,710,1300,1953,1723,974,7234,3148,5557,6726,6858,7846,9858,11258,7896,3571,62722,2504,1796,2276,1803,1706,1445,1171,784,385,13871
SOS61,14815,8928,10316,7756,7267,6577,4272,1830,443,62203,2403,2137,2427,2328,2890,3510,3697,2172,695,22253,202,351,464,528,877,1389,1949,1456,507,7718,10,17,73,172,386,813,1363,1226,450,4510,2612,2505,2963,3026,4164,5710,7008,4844,1654,34483,1652,1201,1140,985,1006,970,824,549,236,8565,19080,12636,14418,11769,12431,13263,12103,7219,2332,105253,14687,7820,9206,7494,7407,6796,4752,2145,712,61020,1809,2773,3320,3216,3464,4015,4225,2952,1218,27000,151,616,945,959,1353,1831,2286,1695,847,10684,11,45,165,307,745,1188,1645,1346,719,6183,1966,3439,4431,4486,5567,7037,8156,5990,2783,43862,1634,1015,977,925,957,930,881,697,351,8363,18286,12276,14613,12913,13932,14764,13790,8834,3848,113251,29498,16747,19523,15252,14672,13375,9021,3974,1161,123226,4208,4912,5748,5538,6360,7526,7921,5122,1912,49255,350,968,1411,1490,2233,3220,4234,3146,1358,18403,16,64,232,486,1136,2004,3014,2575,1169,10692,4578,5945,7387,7509,9728,12750,15162,10842,4440,78344,3282,2215,2119,1917,1966,1901,1701,1243,587,16929
SOS62,1969,996,1111,1098,1183,1256,901,334,54,8903,254,229,264,308,443,664,804,408,88,3454,19,30,43,58,130,241,322,234,55,1139,0,4,3,25,51,145,235,169,55,688,275,260,312,389,617,1061,1355,813,198,5278,228,147,137,138,189,209,190,111,46,1393,2473,1405,1563,1623,1987,2525,2445,1256,298,15579,1962,853,1033,1008,1094,1234,847,311,67,8399,188,252,333,391,474,711,693,366,116,3512,16,48,82,123,212,312,376,210,82,1454,0,5,12,26,99,183,245,187,74,833,205,303,431,537,783,1205,1309,754,273,5803,203,103,126,135,155,205,175,103,58,1266,2367,1258,1594,1673,2031,2640,2330,1173,399,15459,3928,1846,2142,2104,2274,2487,1749,647,122,17300,446,477,600,697,907,1378,1495,769,202,6966,34,81,132,183,333,553,696,440,141,2590,0,5,18,43,149,329,473,357,132,1519,476,567,742,923,1395,2265,2668,1571,471,11079,429,254,266,272,349,413,359,217,107,2653
SOS63,7496,4088,3794,4094,4819,4928,3149,961,132,33474,895,784,759,1075,1524,2410,2335,1012,173,10967,44,91,121,216,415,875,1085,540,120,3510,4,8,10,34,165,422,653,411,88,1793,940,881,892,1330,2104,3705,4069,1963,386,16264,834,522,493,556,697,757,609,235,70,4779,9274,5490,5178,5977,7619,9391,7821,3166,588,54513,7263,3278,3329,3993,4537,4499,2611,757,122,30389,680,972,1101,1395,1769,2398,1983,823,175,11302,41,133,283,395,615,976,880,451,117,3886,0,11,43,97,277,459,530,240,87,1747,717,1122,1429,1890,2656,3837,3394,1509,388,16935,737,465,439,501,562,675,478,205,56,4131,8714,4860,5201,6379,7764,9010,6485,2470,565,51453,14761,7367,7128,8084,9361,9430,5760,1721,253,63860,1571,1753,1859,2471,3293,4811,4319,1835,352,22266,87,223,411,614,1024,1852,1961,990,239,7396,0,25,55,131,437,877,1181,644,175,3541,1658,1997,2325,3218,4755,7539,7466,3475,769,33201,1573,992,938,1063,1263,1436,1087,442,126,8907
SOS67,0,10,28,32,30,19,7,0,0,137,0,4,0,5,6,14,11,4,0,48,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,7,10,17,16,4,0,57,0,0,25,24,26,23,0,0,0,97,0,12,58,65,70,62,25,4,0,294,0,9,7,7,7,8,3,0,0,43,0,5,3,0,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,5,0,0,0,23,0,0,0,3,4,3,0,0,0,15,0,7,13,12,18,11,9,0,0,72,0,17,37,40,41,26,16,0,0,179,0,3,4,5,11,17,12,3,0,58,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,3,4,10,15,23,20,3,0,76,0,0,28,25,30,30,0,0,0,114
SOS70,10797,6114,9142,7203,5312,3819,2190,586,80,45239,866,759,1167,1264,1454,1725,1544,571,112,9465,46,63,142,197,340,472,639,332,61,2297,0,6,18,52,104,265,401,211,49,1103,913,825,1326,1510,1902,2464,2580,1118,226,12867,1460,1145,1907,1539,1303,1108,738,217,55,9488,13170,8082,12383,10260,8516,7389,5506,1926,362,67594,10598,5328,9451,7372,5202,3739,2128,546,79,44441,607,1023,1762,1696,1588,1736,1434,562,133,10548,26,143,334,323,425,631,600,298,79,2856,5,14,43,74,149,265,361,213,85,1201,636,1181,2134,2091,2169,2632,2389,1078,298,14608,1397,899,1556,1240,1046,962,605,225,65,8001,12629,7414,13140,10705,8421,7334,5127,1845,442,67050,21394,11442,18594,14582,10514,7557,4319,1125,159,89679,1473,1784,2927,2961,3048,3461,2976,1137,250,20017,72,203,477,517,763,1107,1237,629,146,5151,4,17,58,122,255,528,752,426,134,2302,1547,2011,3467,3607,4072,5091,4970,2194,523,27470,2860,2043,3470,2785,2355,2072,1339,444,120,17490
