SA2_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
101031016,2434,6767,68,159,203,542,276,707,536,1427,109,297,16,27,0,0,16,35,677,1788,18,30,9,22,29,46,5,18,62,111,126,246,3579,9624,1388,..,4968,9624
101041017,2801,6915,213,331,160,281,372,615,439,690,26,28,31,39,0,0,0,4,496,761,35,53,53,71,0,0,0,11,92,132,17,30,3770,8449,1085,..,4865,8449
101041018,3220,7423,214,347,238,447,453,799,294,467,0,0,0,0,0,0,7,19,308,487,33,54,26,40,0,0,4,13,65,107,15,24,4063,8838,1798,..,5864,8838
101041019,3291,7943,233,314,93,145,326,461,86,110,5,7,0,0,0,0,7,10,95,122,42,73,22,42,9,11,3,13,75,140,13,32,3796,8698,468,..,4261,8698
101041020,3914,9265,25,41,4,7,28,44,5,5,0,0,0,0,0,3,0,3,5,11,39,70,15,34,15,21,12,18,75,150,3,14,4029,9487,577,..,4602,9487
101041021,1337,3209,157,243,43,89,193,327,34,57,0,0,0,0,0,0,0,6,36,67,48,76,41,70,0,0,5,16,89,168,8,13,1672,3778,925,..,2593,3778
101041022,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,9,..,20,31
101041023,1167,2733,135,190,48,82,185,277,47,79,7,12,0,0,0,0,0,0,58,92,15,36,76,131,0,0,0,0,95,169,13,32,1516,3299,246,..,1766,3299
101041024,1459,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,15,31,24,48,10,22,4,9,60,108,10,17,1530,3533,563,..,2099,3533
101041025,3777,8725,393,597,357,617,745,1207,519,814,29,54,3,9,0,0,10,13,558,888,16,25,81,174,0,0,7,4,98,203,49,88,5230,11113,1188,..,6419,11113
101041026,3564,7918,149,253,110,182,259,434,24,32,0,3,0,0,0,3,6,6,34,46,59,78,31,63,4,6,10,16,100,163,11,11,3966,8573,1009,..,4976,8573
101041027,3810,8412,191,294,135,218,323,510,231,363,38,62,9,13,0,0,7,9,285,455,36,83,143,193,14,21,9,25,204,325,25,49,4651,9749,1351,..,6005,9749
101051539,8360,20614,930,1525,186,328,1112,1854,309,449,67,93,0,0,0,0,20,32,396,578,28,38,30,30,0,0,47,74,100,146,30,41,9995,23235,877,..,10872,23235
101051540,5482,13550,65,89,8,13,64,98,11,14,0,0,0,0,0,0,3,7,13,18,21,25,12,12,3,4,5,17,43,64,14,38,5618,13768,1600,..,7218,13768
101061541,2337,5985,191,293,20,42,210,332,90,124,0,0,0,0,0,0,5,12,92,132,16,15,0,0,0,0,0,4,14,23,22,27,2675,6504,217,..,2891,6504
101061542,4377,12349,17,45,3,6,18,54,0,0,0,0,0,0,0,0,7,14,10,15,7,18,4,6,3,5,6,12,21,43,35,72,4458,12530,462,..,4918,12530
101061543,3892,9795,400,622,13,27,412,648,122,164,0,0,0,0,0,0,0,7,120,166,9,14,7,13,0,0,8,24,23,52,14,30,4461,10681,456,..,4917,10681
101061544,3128,7313,91,132,0,4,93,140,22,34,0,0,0,0,0,0,3,3,26,39,18,19,14,19,0,3,19,27,46,68,17,38,3312,7596,684,..,3998,7596
102011028,2391,6823,16,40,105,232,125,274,77,170,39,74,31,49,0,6,11,34,153,327,0,0,0,0,0,0,7,19,8,19,0,0,2677,7448,973,..,3649,7448
102011029,4092,10552,34,58,61,134,94,195,94,146,12,21,0,0,0,0,18,34,120,202,136,188,3,7,0,0,5,14,145,203,7,10,4457,11159,1031,..,5491,11159
102011030,1719,4518,4,8,3,6,3,9,26,30,0,3,0,0,0,0,0,5,27,36,13,18,20,43,0,0,6,6,39,63,28,71,1817,4698,372,..,2195,4698
102011031,4809,12376,508,796,158,309,658,1110,231,384,63,100,0,0,0,4,10,29,305,520,0,4,7,10,0,0,4,4,10,19,10,22,5804,14049,329,..,6126,14049
102011032,3799,10129,357,516,1241,2477,1600,2999,1475,2523,683,1196,1636,2991,477,863,13,23,4278,7598,0,0,0,0,0,0,7,7,10,5,48,66,9730,20802,923,..,10655,20802
102011033,1974,6012,124,287,20,49,150,336,3,9,0,0,0,0,0,0,8,22,13,32,0,0,4,4,0,0,0,0,4,4,8,10,2145,6394,49,..,2194,6394
102011034,2062,5792,787,1114,195,342,982,1454,99,142,23,39,0,0,0,0,8,16,129,196,0,0,0,0,0,3,0,0,0,3,3,8,3175,7451,178,..,3350,7451
102011035,2266,6533,214,404,62,118,272,523,5,15,0,0,0,0,0,0,12,18,22,36,0,0,0,0,0,0,0,0,0,0,3,9,2561,7094,73,..,2629,7094
102011036,2414,7142,195,352,238,511,434,864,0,0,0,0,0,0,0,0,7,22,15,20,0,0,0,0,0,0,0,0,0,0,3,9,2862,8042,118,..,2975,8042
102011037,2309,5883,106,168,44,92,150,256,105,173,8,14,0,0,0,0,3,18,120,206,0,0,7,15,0,0,0,0,7,19,6,12,2589,6377,206,..,2794,6377
102011038,2388,6452,67,113,72,127,137,236,186,271,29,44,0,0,0,0,15,41,232,355,0,0,3,9,0,0,0,0,6,13,0,3,2760,7057,201,..,2966,7057
102011039,4179,11586,71,131,332,694,399,831,837,1782,193,390,136,228,0,0,19,44,1182,2435,0,0,0,0,0,0,0,0,0,0,8,21,5769,14871,925,..,6693,14871
102011040,7548,18744,1545,2661,623,1212,2169,3872,675,1044,16,23,70,127,0,6,59,132,820,1333,9,18,265,410,0,0,30,54,308,487,53,72,10904,24508,1629,..,12532,24508
102011041,3192,9398,257,430,97,223,353,652,158,329,20,35,11,19,0,0,24,57,214,442,0,0,0,0,0,0,7,9,7,9,9,26,3776,10522,386,..,4160,10522
102011042,4216,10353,1231,2131,412,764,1645,2895,302,461,52,72,0,0,0,0,40,74,397,611,0,6,85,133,0,0,18,34,104,173,9,19,6380,14050,524,..,6900,14050
102011043,3446,9389,666,933,223,462,889,1397,107,182,0,0,0,0,0,0,17,36,123,214,42,52,0,0,0,0,4,0,43,53,3,3,4502,11055,244,..,4746,11055
102021044,7367,19878,469,705,389,731,854,1441,450,742,0,0,0,0,0,0,11,20,463,756,16,19,0,0,0,0,4,6,16,26,6,14,8717,22115,530,..,9248,22115
102021045,3909,10870,85,171,8,24,97,196,4,16,25,31,0,0,0,0,16,18,42,69,0,0,0,0,0,4,8,13,8,18,5,5,4052,11158,253,..,4302,11158
102021046,3806,9026,63,101,7,14,71,112,143,237,0,0,0,0,0,0,17,37,159,269,72,99,31,47,0,5,16,46,119,193,3,18,4157,9615,384,..,4544,9615
102021047,5174,14547,392,643,64,133,453,779,229,323,0,0,0,0,0,0,13,25,245,344,0,0,0,0,0,0,3,8,3,8,9,16,5885,15689,262,..,6140,15689
102021048,7371,18824,537,928,187,310,728,1243,896,1467,0,0,9,17,0,0,28,47,929,1534,9,9,48,70,0,3,0,0,62,81,5,20,9095,21699,598,..,9690,21699
102021049,1087,3378,6,15,0,0,6,15,0,0,0,0,0,0,0,0,6,7,6,7,0,0,0,0,0,0,0,5,0,5,0,6,1101,3408,125,..,1222,3408
102021050,4597,10334,175,263,11,22,184,289,42,75,0,0,0,0,0,0,18,34,60,105,12,28,24,41,0,0,6,5,36,72,8,12,4886,10814,377,..,5264,10814
102021051,1403,4141,181,368,157,318,339,682,0,0,0,3,0,0,0,0,10,22,12,25,0,0,0,0,0,0,0,0,0,0,5,18,1763,4873,90,..,1849,4873
102021052,2481,6235,25,44,12,27,36,72,41,68,0,0,0,0,0,0,8,21,49,86,0,0,6,4,5,11,0,6,10,11,8,16,2574,6417,358,..,2931,6417
102021053,3436,8668,1040,1673,1150,2295,2197,3968,329,514,416,733,688,1176,154,276,12,23,1608,2718,77,121,70,120,6,7,27,61,181,307,27,45,7447,15698,2389,..,9836,15698
102021054,3437,8077,397,609,103,220,507,829,331,503,7,8,51,58,0,0,18,32,397,598,36,54,5,11,0,0,0,3,44,71,8,25,4401,9594,496,..,4897,9594
102021055,1538,4368,164,333,190,431,354,766,27,53,0,0,0,0,0,0,4,5,27,58,0,4,0,0,0,0,0,0,0,4,10,15,1928,5206,83,..,2016,5206
102021056,6151,18828,299,568,74,158,372,727,9,15,0,0,0,0,0,0,0,11,12,30,0,0,0,0,0,0,0,0,4,0,17,39,6550,19623,252,..,6804,19623
102021057,2920,7584,224,409,270,553,494,958,162,254,53,103,55,93,0,0,9,19,285,464,12,35,0,0,0,0,3,12,20,48,3,4,3724,9066,191,..,3914,9066
103011059,4090,11435,187,313,57,109,246,421,22,21,0,0,0,0,0,0,8,17,32,39,3,9,9,17,4,9,0,0,19,25,4,10,4396,11936,221,..,4616,11936
103011060,2512,6599,6,6,0,3,3,10,0,0,0,0,0,0,0,0,0,5,3,3,7,20,0,0,0,3,0,0,9,26,22,51,2556,6686,427,..,2983,6686
103011061,1919,4452,97,153,0,3,98,153,16,20,19,24,0,0,0,0,0,0,33,41,14,23,3,3,4,5,0,0,18,31,7,17,2074,4693,440,..,2521,4693
103011612,2641,5956,1003,1686,266,421,1268,2102,695,1040,9,8,0,0,0,0,4,10,707,1056,23,39,0,0,11,18,18,44,54,96,18,25,4684,9240,619,..,5305,9240
103011613,5161,13530,156,264,99,195,255,457,26,44,0,0,0,0,0,0,8,4,32,52,0,3,0,0,0,0,0,15,3,14,10,18,5460,14078,334,..,5790,14078
103021062,2429,5880,67,86,0,5,67,86,74,118,0,0,0,0,0,0,0,0,74,118,12,22,3,8,3,15,4,13,28,51,21,59,2620,6200,497,..,3116,6200
103021063,3564,8394,257,346,29,46,283,389,97,133,9,17,0,0,0,0,7,4,107,154,23,34,15,27,3,3,11,14,49,80,8,19,4013,9030,400,..,4410,9030
103021064,2357,5469,53,105,0,9,56,115,12,20,0,0,0,0,0,0,0,0,14,20,5,15,0,4,0,5,4,8,19,29,7,9,2446,5643,441,..,2893,5643
103021065,3749,9126,172,266,9,18,181,284,190,240,5,7,0,0,0,0,4,0,198,249,18,39,29,41,4,3,22,34,68,117,17,23,4214,9794,479,..,4696,9794
103021066,1499,3305,44,64,5,5,44,72,53,62,0,0,0,3,0,0,0,0,53,65,5,5,0,0,0,0,3,11,8,16,3,7,1609,3464,253,..,1861,3464
103021067,3892,9762,158,283,18,18,182,309,319,434,6,12,0,0,0,0,3,7,324,447,23,29,7,16,0,0,12,31,44,84,35,62,4479,10665,528,..,5005,10665
103021068,1263,3095,27,30,0,0,27,30,18,24,0,0,0,0,0,0,0,0,18,24,14,21,3,4,3,0,3,8,19,34,10,31,1348,3222,254,..,1597,3222
103021069,2176,5055,97,147,0,0,97,147,51,80,0,0,0,0,0,0,3,3,51,81,25,45,25,31,4,10,11,22,69,110,52,97,2445,5494,635,..,3079,5494
103031070,4619,10505,549,812,94,148,638,959,131,176,14,14,0,0,0,0,8,16,152,211,0,0,5,12,3,3,20,42,32,59,13,29,5458,11759,631,..,6083,11759
103031071,3353,8157,37,72,16,38,58,109,4,6,0,0,0,0,0,5,0,6,3,15,15,18,3,8,0,3,26,58,45,81,20,38,3484,8395,630,..,4115,8395
103031072,4239,11024,597,979,21,42,616,1021,44,59,10,12,0,0,0,0,0,0,53,72,35,44,77,138,0,0,14,26,131,205,16,34,5051,12354,655,..,5708,12354
103031073,1567,3319,30,36,0,0,30,36,11,15,0,0,0,0,0,3,0,0,15,20,4,7,3,3,0,0,8,13,20,28,3,7,1629,3405,343,..,1972,3405
103031074,4275,10748,47,93,0,0,47,93,29,44,0,0,0,0,0,0,0,0,28,45,25,28,17,21,4,4,15,29,58,88,10,27,4424,11005,828,..,5250,11005
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
103041076,2820,7110,77,112,8,16,91,122,27,36,0,0,0,0,0,0,0,0,27,36,12,8,0,0,0,0,13,28,19,41,11,31,2977,7339,270,..,3249,7339
103041077,6537,15696,994,1473,172,295,1163,1766,340,476,29,40,0,0,0,0,6,8,369,531,18,24,3,5,0,0,29,54,45,83,33,79,8157,18154,944,..,9102,18154
103041078,7513,20940,511,896,57,103,572,1002,236,377,35,59,0,0,0,0,8,21,281,453,13,17,0,0,0,0,12,25,26,37,19,44,8412,22474,494,..,8902,22474
103041079,4153,11046,31,65,8,21,43,86,44,57,0,5,0,0,0,0,0,3,45,58,19,32,3,13,0,4,181,465,208,509,11,22,4453,11726,423,..,4882,11726
104011080,6604,16306,349,512,276,507,627,1022,662,974,17,20,17,28,0,0,5,5,700,1029,43,52,43,51,11,10,80,186,175,308,28,49,8137,18724,584,..,8711,18724
104011081,6035,14934,36,80,16,36,48,119,28,57,0,0,0,0,0,0,4,10,32,67,62,115,88,130,20,28,53,149,220,423,39,78,6377,15617,938,..,7319,15617
104011082,6331,14706,549,893,267,517,823,1412,170,282,113,209,20,31,0,0,40,67,333,586,235,447,301,461,12,23,41,71,587,998,69,145,8140,17844,1628,..,9768,17844
104021083,2335,5873,75,93,18,27,87,126,11,17,0,0,0,0,5,5,5,6,15,36,15,20,5,4,10,5,3,4,23,42,11,29,2470,6098,240,..,2709,6098
104021084,4876,12878,675,1176,642,1352,1319,2529,815,1409,119,188,95,150,118,182,15,19,1152,1947,55,91,171,247,5,8,4,7,233,357,45,80,7629,17794,554,..,8184,17794
104021085,2585,6604,316,609,408,835,719,1438,924,1685,195,348,153,222,0,0,14,15,1284,2264,0,6,7,11,47,42,3,7,60,67,27,40,4675,10415,522,..,5196,10415
104021086,1383,3785,4,7,5,12,10,19,4,13,0,0,0,0,0,0,0,0,4,13,6,10,28,51,6,6,0,0,42,75,0,0,1437,3890,94,..,1525,3890
104021087,1439,3063,24,40,0,0,22,44,6,10,0,0,0,0,0,0,0,6,10,15,6,10,27,50,4,3,8,9,38,69,8,7,1517,3194,288,..,1807,3194
104021088,3244,8923,134,290,182,387,320,675,101,189,0,0,45,91,0,0,20,35,171,314,51,88,23,36,0,0,9,9,76,135,24,55,3835,10108,366,..,4202,10108
104021089,6196,16619,864,1445,172,388,1044,1830,541,894,88,162,0,0,0,0,29,50,660,1105,57,102,138,188,3,3,12,20,211,326,31,57,8135,19938,539,..,8669,19938
104021090,1767,4193,71,142,37,77,109,217,163,242,0,0,0,0,0,0,3,7,168,248,114,224,56,97,0,0,0,0,175,322,17,32,2236,5017,235,..,2473,5017
104021091,5043,13026,190,393,189,394,375,786,69,131,28,81,0,0,0,0,17,35,110,243,190,437,93,171,3,4,0,0,282,614,41,98,5859,14771,596,..,6457,14771
105011092,1269,3151,54,105,0,3,53,104,15,20,0,0,0,3,0,0,0,5,21,27,31,49,10,31,7,13,4,8,57,101,58,98,1459,3485,422,..,1881,3485
105011093,1557,3718,64,107,3,6,66,108,105,143,0,0,0,0,0,0,0,0,105,143,25,44,28,61,4,5,8,27,60,126,15,35,1813,4131,531,..,2343,4131
105011094,1482,3683,26,48,0,6,28,53,57,78,0,0,0,0,0,0,0,0,57,78,18,35,8,4,0,0,3,17,27,57,14,33,1607,3908,264,..,1868,3908
105011095,1747,4212,103,139,9,6,106,149,17,26,0,0,0,0,0,0,0,0,17,26,20,39,0,4,0,0,7,11,31,56,35,83,1942,4521,440,..,2385,4521
105011096,1882,4600,98,123,0,0,98,123,38,58,0,0,0,0,0,0,0,5,43,59,109,206,9,21,283,474,13,35,406,729,134,252,2568,5766,438,..,3008,5766
105021097,7470,16384,187,263,23,48,206,308,226,287,0,0,0,0,0,0,0,0,226,289,70,148,3,4,0,3,5,7,80,160,40,59,8021,17206,1528,..,9551,17206
105021098,823,2080,30,36,0,3,34,35,14,17,0,0,0,0,0,0,0,5,13,18,60,121,8,29,3,12,0,0,70,162,151,314,1093,2615,251,..,1345,2615
105031099,3185,7475,38,56,7,7,44,57,70,97,0,0,0,0,0,0,3,3,74,96,43,59,11,10,4,19,9,19,65,104,37,89,3409,7821,604,..,4008,7821
105031100,3247,9062,519,947,39,59,557,1009,145,225,0,0,0,0,0,0,4,4,144,229,6,14,0,3,0,0,3,13,15,31,14,21,3978,10351,218,..,4199,10351
105031101,6261,16370,627,1047,32,70,657,1118,905,1427,21,26,0,0,0,0,12,34,933,1490,13,13,3,8,0,0,29,44,39,63,39,66,7933,19103,580,..,8513,19103
105031102,3310,9075,319,526,7,11,328,539,192,342,0,0,0,0,0,0,8,19,198,351,47,90,0,0,0,0,8,12,53,113,19,23,3907,10106,219,..,4130,10106
105031103,2043,5703,21,65,0,3,25,66,0,0,0,0,0,0,0,0,0,3,0,3,6,12,0,0,0,0,0,3,8,12,18,39,2093,5828,156,..,2250,5828
105031104,1666,4008,42,50,0,0,42,50,63,93,0,0,0,0,0,0,0,0,63,87,27,46,23,28,4,9,7,13,60,91,11,9,1836,4252,315,..,2148,4252
105031105,2353,5982,98,132,6,7,100,143,51,78,0,0,0,0,0,0,0,0,51,78,29,47,0,0,0,3,9,11,31,60,15,35,2549,6299,318,..,2873,6299
105031106,3032,7458,118,193,0,3,116,194,67,89,0,0,0,0,0,0,0,3,67,90,15,20,13,15,8,11,28,62,65,105,20,44,3307,7898,465,..,3767,7898
106011107,4359,12171,210,402,24,38,232,440,8,25,0,0,0,0,0,0,8,10,16,35,5,10,0,3,4,6,0,7,12,19,15,30,4628,12694,559,..,5192,12694
106011108,7359,19192,951,1591,126,201,1075,1797,136,190,0,5,0,0,0,0,20,44,156,240,31,42,0,3,9,14,17,24,58,82,22,48,8679,21351,779,..,9458,21351
106011109,3290,9112,5,11,0,0,5,11,0,3,0,0,0,0,0,0,3,11,3,10,0,0,0,0,0,0,0,5,5,8,9,23,3312,9154,476,..,3783,9154
106011110,3654,9230,54,88,0,0,54,88,8,11,0,0,0,0,0,0,0,0,8,11,18,31,14,35,4,5,11,14,47,87,21,56,3788,9472,416,..,4206,9472
106011111,7096,19073,423,737,139,222,557,956,123,167,0,0,0,0,0,0,29,72,156,235,0,0,0,0,5,14,7,5,10,24,15,22,7833,20310,382,..,8216,20310
106011112,5285,14478,430,800,243,419,681,1214,259,384,0,0,0,0,0,0,4,0,263,385,56,76,50,72,3,8,11,16,121,166,12,25,6356,16271,434,..,6784,16271
106011113,1884,5306,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,6,8,8,6,13,0,4,3,13,20,44,9,13,1918,5372,289,..,2205,5372
106021114,2629,7426,232,396,67,111,294,500,28,50,0,0,30,57,0,0,10,22,69,126,163,200,10,10,4,0,40,73,210,285,17,39,3232,8385,182,..,3409,8385
106021116,2850,8248,142,257,7,14,151,268,13,30,0,0,0,0,0,0,3,7,14,38,0,0,0,0,0,0,0,0,0,0,3,11,3029,8572,128,..,3152,8572
106021614,5691,15434,737,1282,255,426,997,1708,363,495,0,0,0,0,0,0,11,16,368,509,0,0,0,0,0,0,0,0,4,6,5,11,7067,17664,351,..,7416,17664
106021615,5657,16131,493,949,93,112,580,1058,62,93,0,0,0,0,0,0,14,20,76,116,0,0,0,0,0,0,0,0,0,0,4,7,6317,17312,303,..,6617,17312
106021616,2775,7229,181,302,104,213,281,525,88,125,0,0,0,0,0,0,3,5,95,129,0,0,0,0,0,0,4,3,4,3,7,19,3161,7895,239,..,3402,7895
106021617,3369,8643,586,915,118,213,697,1127,124,158,0,0,0,0,0,0,13,22,135,186,0,0,0,0,0,0,0,0,0,0,9,16,4214,9974,252,..,4465,9974
106021618,5130,15075,213,456,32,62,246,520,22,40,0,0,0,0,0,3,24,61,43,99,0,0,0,0,0,8,0,0,3,9,9,13,5433,15718,245,..,5680,15718
106031119,2309,5549,121,236,176,409,298,648,4,3,0,0,0,0,0,0,8,21,7,25,48,85,0,0,0,5,12,10,63,100,24,40,2696,6363,406,..,3097,6363
106031120,2636,6257,152,251,71,151,218,405,12,21,0,3,0,0,0,0,4,11,20,37,7,0,19,38,0,0,12,19,29,62,0,5,2908,6759,298,..,3210,6759
106031121,5920,14531,1183,1963,1358,2854,2541,4819,296,456,242,381,459,787,0,0,16,37,1008,1666,18,30,108,187,0,0,11,17,130,233,59,100,9667,21340,3664,..,13327,21340
106031122,4665,12310,652,1075,216,356,862,1429,38,58,0,0,0,0,0,0,19,36,60,97,111,146,145,247,13,11,18,26,284,424,8,15,5879,14273,322,..,6197,14273
106031123,1845,5557,3,6,0,0,3,7,0,0,0,0,0,0,0,0,4,12,4,12,4,4,0,0,0,8,0,0,7,16,3,13,1857,5604,85,..,1942,5604
106031124,2454,5017,91,152,138,279,236,427,45,84,24,32,13,21,0,0,0,0,80,143,10,15,4,4,0,0,14,20,27,49,20,29,2817,5663,1226,..,4043,5663
106031125,5122,14242,77,148,34,73,107,221,9,16,0,0,0,0,0,0,13,20,22,41,40,53,61,110,0,4,0,0,108,169,6,12,5371,14687,346,..,5719,14687
106041126,4199,10850,434,670,185,268,621,939,22,32,13,27,0,0,0,0,0,0,33,63,28,38,4,4,0,0,3,5,35,53,22,32,4915,11937,609,..,5525,11937
106041127,1428,3723,85,135,0,0,88,142,29,41,0,0,0,0,0,0,0,6,33,41,11,21,5,0,0,0,10,10,21,40,12,26,1578,3966,194,..,1771,3966
106041128,2086,5257,304,527,33,45,336,575,32,47,0,0,0,0,0,0,0,0,32,47,9,18,0,0,0,0,5,8,13,26,5,10,2479,5913,209,..,2685,5913
106041129,3240,7740,92,146,0,0,92,146,7,23,0,0,0,0,0,0,0,0,11,27,8,13,43,65,8,11,4,9,64,94,19,31,3427,8043,639,..,4064,8043
107011131,7984,21216,730,1250,474,932,1200,2180,190,278,10,17,0,0,0,0,28,64,224,360,0,0,0,0,0,0,7,17,4,16,15,21,9430,23808,374,..,9804,23808
107011132,3718,11456,174,393,63,161,241,549,3,0,0,0,0,0,0,0,3,7,10,14,0,0,0,0,0,4,0,0,5,6,0,6,3968,12033,74,..,4044,12033
107011133,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,..,0,4
107011134,4901,13801,154,246,149,324,303,567,267,378,9,26,0,0,0,0,14,29,289,433,0,0,0,0,0,0,17,26,17,26,5,10,5509,14838,197,..,5709,14838
107011545,4689,12639,44,92,130,324,175,414,400,697,44,82,0,0,0,0,46,138,495,917,0,0,0,0,0,0,10,23,10,23,3,10,5373,14004,321,..,5686,14004
107011546,2821,7278,147,274,288,698,437,975,443,769,242,353,41,49,0,0,24,50,751,1217,0,0,0,0,0,0,13,28,14,34,8,16,4036,9518,376,..,4405,9518
107011547,1564,3574,137,216,57,104,196,320,102,156,0,0,0,0,0,0,8,10,106,166,0,4,87,127,0,0,0,0,91,138,5,6,1958,4199,239,..,2190,4199
107021135,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,..,0,6
107031136,5694,16960,410,808,364,876,780,1681,24,41,0,0,0,0,0,0,23,47,45,82,0,0,0,0,0,0,4,3,4,3,12,29,6526,18750,207,..,6734,18750
107031137,2077,5641,385,658,179,362,564,1020,18,38,0,0,0,0,0,0,6,16,22,45,0,0,0,0,0,0,3,4,3,4,5,4,2668,6717,130,..,2798,6717
107031138,2168,5713,205,375,622,1235,828,1607,175,299,152,276,325,477,0,0,17,42,668,1094,13,19,9,23,0,0,26,52,51,98,10,16,3734,8526,685,..,4415,8526
