SA2_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
206011106,1136,3488,1099,237,86,6054,254,6304
206011107,977,3385,1537,334,149,6383,267,6655
206011109,270,1355,1477,395,219,3712,110,3820
206011495,1142,2881,1194,285,99,5605,174,5779
206011496,1312,3144,1109,240,89,5903,289,6185
206011497,741,2451,1309,371,147,5026,233,5260
206011498,595,2280,1650,407,211,5136,159,5299
206021110,441,1719,1131,259,135,3679,118,3796
206021112,1142,3757,2284,503,210,7898,264,8159
206021499,804,2924,1726,378,186,6026,237,6266
206021500,602,2285,1076,223,68,4251,132,4379
206031113,725,2753,1908,400,147,5928,400,6323
206031115,892,2237,762,141,47,4081,367,4441
206031116,1063,3174,1947,438,210,6830,250,7088
206031501,445,2361,2155,671,410,6038,213,6254
206031502,528,2577,1484,384,213,5191,228,5417
206041117,3477,2810,631,106,50,7071,605,7675
206041118,3094,3586,771,97,36,7584,808,8394
206041119,469,1307,559,75,47,2456,141,2601
206041120,3,15,7,0,0,34,0,34
206041121,805,2570,1120,176,46,4715,208,4922
206041124,396,1216,432,83,32,2154,101,2255
206041125,617,1715,632,75,37,3074,181,3258
206041127,0,0,0,0,0,0,0,0
206041503,3125,1401,173,14,17,4726,607,5335
206041504,6781,1786,144,22,14,8747,826,9567
206041505,5527,2258,208,21,18,8035,833,8874
206041506,2297,3476,912,130,44,6856,762,7614
206041507,0,0,0,0,0,0,0,6
206041508,1217,1792,304,31,14,3358,273,3634
206041509,3613,4212,649,50,20,8552,486,9037
206041510,1279,1803,379,53,15,3537,213,3742
206051128,1093,3927,1780,288,99,7181,334,7519
206051129,804,3959,1883,313,126,7092,455,7542
206051130,888,3954,2029,322,100,7300,443,7738
206051134,1418,4088,1604,234,84,7432,528,7962
206051511,137,403,195,43,12,787,144,929
206051512,1300,3149,1018,131,62,5667,364,6030
206051513,1562,3707,944,134,64,6400,492,6894
206051514,1652,3838,1126,171,68,6852,648,7501
206061135,582,2214,1241,205,96,4344,145,4487
206061136,2161,5221,1862,301,118,9659,542,10195
206061138,494,2442,1799,521,307,5562,330,5883
206061515,1966,3368,691,113,59,6198,502,6697
206061516,1342,2619,851,151,48,5008,358,5359
206071139,939,2497,800,127,36,4401,270,4669
206071140,569,1770,890,175,66,3466,141,3605
206071141,1305,2411,629,90,34,4471,320,4782
206071142,1253,2408,727,114,46,4544,405,4956
206071143,1061,2826,1235,257,84,5461,267,5729
206071145,372,2046,1207,241,87,3950,144,4094
206071517,1282,4311,1930,374,103,8001,377,8374
206071518,1546,3620,1167,218,41,6594,381,6974
207011146,178,957,1147,279,129,2686,76,2770
207011147,426,2437,2344,612,271,6097,185,6282
207011148,295,2147,3062,990,502,6996,181,7179
207011149,456,3010,2960,821,399,7645,210,7861
207011150,218,2086,2593,700,336,5940,157,6095
207011152,749,3257,1987,424,219,6633,249,6881
207011154,96,821,993,243,138,2306,62,2368
207011155,302,2108,2348,683,316,5753,150,5904
207011519,510,1946,1206,261,112,4042,194,4233
207011520,840,2851,1314,295,133,5427,256,5679
207011521,227,1730,1625,438,225,4243,125,4366
207011522,331,1984,1816,483,227,4836,215,5051
207021156,263,1399,1790,525,286,4254,109,4364
207021157,700,4373,3555,841,380,9851,356,10211
207021159,170,1504,2554,911,550,5694,172,5865
207021160,177,1669,2249,611,314,5025,122,5140
207021424,177,1642,2338,757,403,5317,143,5458
207021425,297,2371,2310,457,224,5651,186,5839
207031161,499,3372,3204,732,409,8226,215,8440
207031162,363,1398,1597,407,222,3989,128,4120
207031163,1660,4303,2288,573,248,9064,591,9655
207031164,460,2625,2603,661,283,6628,226,6847
207031165,540,1871,1495,395,156,4457,209,4663
207031166,275,1571,1561,388,196,3989,126,4119
207031167,197,1464,1590,372,184,3800,90,3892
208011168,146,1441,2367,700,365,5023,131,5155
208011169,442,3470,3470,939,478,8799,307,9104
208011170,217,1949,2585,699,326,5784,181,5967
208011171,279,1881,1953,394,164,4671,160,4835
208011172,468,2637,2691,722,313,6833,293,7122
208011173,371,2609,2757,692,340,6766,242,7011
208021174,680,3807,3550,822,349,9206,353,9558
208021176,1034,4166,2268,416,205,8090,278,8369
208021177,904,3848,2964,616,306,8631,380,9011
208021178,418,2583,2831,592,297,6722,243,6966
208021179,512,2429,1585,310,121,4961,176,5135
208021180,290,1279,1027,241,98,2933,97,3028
208021181,345,1622,1313,293,147,3718,139,3862
208021182,638,2725,1569,348,138,5420,230,5652
208021426,266,2091,2549,602,280,5795,179,5971
208021427,256,1766,2282,579,261,5149,132,5281
208031183,67,678,1295,534,296,2862,53,2913
208031184,0,10,9,4,0,19,0,23
208031185,293,1674,1999,578,285,4826,168,4991
208031186,482,2884,2440,453,164,6416,333,6751
208031187,75,660,879,245,115,1981,60,2036
208031188,699,4332,3605,742,354,9731,381,10109
208031189,225,1789,2242,539,254,5061,159,5218
208031190,427,2514,2031,431,225,5629,153,5785
208031191,207,1249,1416,350,132,3361,146,3501
208031192,0,0,0,0,0,0,0,0
208031193,518,3197,3281,825,408,8231,255,8480
208041194,693,3828,2771,675,312,8284,327,8617
208041195,699,3208,3050,791,395,8140,273,8417
209011196,188,1170,1417,471,242,3483,130,3613
209011197,330,2478,3347,948,518,7622,196,7820
209011198,467,2740,2277,512,200,6199,171,6373
209011199,682,2579,2044,441,179,5925,382,6308
209011200,364,2041,1795,446,230,4879,174,5049
209011201,99,854,1191,432,206,2786,72,2858
209011202,179,2254,2712,720,437,6302,168,6464
209011203,289,2469,2912,768,324,6759,159,6917
209011204,222,1248,1457,379,182,3491,126,3613
209021205,349,1337,1306,406,240,3634,170,3802
209021428,1226,4202,2318,566,252,8556,458,9013
