SA2_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
107031142,901,676,301,144,5217
107031143,1484,1086,600,207,8848
107041144,1791,1318,717,289,11372
107041145,1346,912,416,158,8213
107041146,1708,1294,741,327,12389
107041147,885,511,206,77,4993
107041148,1475,1064,375,118,7099
107041150,1788,1240,658,269,10921
107041548,1400,1084,655,268,10484
107041549,1237,861,434,175,9753
108011151,557,449,206,53,2498
108011152,1429,1593,978,391,7584
108011153,957,867,329,52,3964
108011154,564,716,452,235,3076
108021155,1188,968,449,173,7155
108021156,1227,953,332,78,4939
108021157,556,442,204,83,2542
108021158,749,801,444,136,3563
108021159,1025,825,300,54,4174
108021160,665,741,361,128,3095
108031161,54,38,22,4,282
108041162,1997,2157,1232,334,9571
108041164,1554,1632,1085,553,10747
108041165,631,572,163,28,2791
108041166,1064,858,426,173,6027
108041619,1365,1201,493,124,6994
108041620,1549,1410,934,430,8941
108051167,573,564,261,83,2638
108051168,1374,1468,644,166,6730
108051169,1627,1383,928,426,9519
108051170,1587,1528,604,113,6732
108051171,475,377,196,65,2367
109011172,1232,881,460,152,8906
109011173,846,553,261,86,4950
109011174,1042,809,413,143,5860
109011175,1201,802,328,72,5785
109011176,992,867,428,144,6946
109021177,268,153,83,31,1232
109021178,526,378,181,55,2973
109021179,321,209,74,16,1751
109031180,463,391,244,97,2451
109031181,569,574,276,89,3285
109031182,612,420,238,91,3214
109031183,637,435,208,61,3013
109031184,476,478,281,89,3105
109031185,836,772,413,184,4470
110011186,1980,1485,927,338,13068
110011187,434,320,181,48,2239
110011188,661,519,214,46,3121
110011189,295,275,134,30,1534
110021190,838,737,353,119,4271
110021191,877,705,423,130,5319
110021192,439,338,154,27,2277
110021193,499,376,189,49,2458
110021194,760,757,269,71,3362
110031195,636,469,230,63,4027
110031196,479,287,118,22,2667
110031197,547,335,164,56,3171
110031198,408,262,97,28,2012
110041199,658,446,280,121,4344
110041200,372,244,82,35,2058
110041201,625,521,250,59,3390
110041202,1512,1151,637,159,9740
110041203,1143,933,708,370,8569
110041204,256,186,99,19,2189
110041205,1663,1287,531,132,8910
111011206,1513,1192,694,297,8946
111011207,563,451,205,49,2754
111011208,1945,1383,763,278,13226
111011209,1809,1360,687,197,12268
111011210,662,454,300,132,4150
111011211,358,292,187,127,2030
111011212,1236,1105,511,178,6351
111011213,1264,1073,537,120,6746
111011214,1376,1087,545,157,7744
111021215,807,590,454,207,4918
111021216,860,756,421,104,4836
111021217,881,588,291,142,7617
111021218,1413,1312,970,496,8942
111021219,1288,1287,682,252,7156
111021220,992,1007,395,83,5028
111021221,493,404,141,26,3353
111031222,1218,818,510,163,8853
111031223,493,364,209,39,3322
111031224,1151,877,359,156,7403
111031225,1637,1121,645,260,9958
111031226,927,580,194,36,7641
111031227,1098,742,319,172,8280
111031228,1466,985,431,195,8535
111031229,1342,966,433,92,8548
111031230,4,0,0,0,23
111031231,534,391,284,219,6134
111031232,806,889,385,130,4565
111031233,1430,1161,663,342,10411
111031234,863,627,427,396,7201
111031235,760,462,156,34,5510
112011236,1654,1888,1075,539,9836
112011237,1903,1574,744,233,9776
112011238,832,590,182,80,4221
112011239,997,799,290,67,5406
112011240,1079,882,294,86,7051
112011241,575,547,208,64,2930
112011242,1005,794,248,60,5387
112011243,1047,914,258,54,5246
112021244,723,699,433,178,5041
112021245,842,595,210,48,3470
112021246,1029,882,445,186,6554
112021247,894,733,238,101,3739
112021248,1505,1099,479,232,8226
112021249,2043,1521,429,85,8937
112031250,1602,1305,558,185,8155
112031251,854,687,384,233,4724
112031252,1391,1028,304,68,5727
112031253,1361,1007,471,182,7376
112031254,1849,1783,1048,495,11165
112031550,1259,1091,807,406,7756
112031551,319,240,89,22,1702
112031552,659,711,520,235,4068
113011256,1219,719,382,226,8886
113011257,949,591,219,60,5642
113011258,686,441,239,92,4213
113011259,435,332,166,66,2431
113021260,319,250,131,36,1728
113021261,507,321,227,97,2913
113021262,505,348,146,37,2265
113031263,644,639,352,104,3484
113031264,307,234,105,28,1650
113031265,497,353,147,40,3311
113031266,518,464,193,80,2830
113031267,1337,1004,488,160,8132
113031268,288,156,152,100,2806
113031269,1569,1039,441,205,10131
113031270,924,691,383,176,6500
113031271,1334,968,328,109,8637
114011272,1242,1267,657,232,5825
114011273,511,401,179,43,2013
114011274,608,460,308,67,2688
114011275,16,12,0,0,44
114011276,630,596,214,64,2889
114011277,1447,1224,611,184,8145
114011278,1517,1123,623,257,11024
114011279,1216,1320,713,199,7150
114011280,524,570,313,122,2419
114011281,453,322,106,19,2029
114011282,1735,1754,871,280,8845
114011283,853,813,276,47,3390
114021284,1372,1711,1333,562,8166
114021285,524,317,136,22,3019
114021286,961,904,541,173,5951
114021287,981,900,537,162,5700
114021288,523,465,215,29,2349
114021289,946,1016,492,124,4530
115011290,1733,1283,769,240,13678
115011291,2202,1617,623,124,12740
115011294,641,502,422,156,3464
115011296,1591,1327,409,82,7477
115011553,600,458,251,55,4329
115011554,574,385,446,565,3467
115011555,1230,1008,416,99,6895
115011556,872,708,332,75,5990
115011557,598,328,97,21,2940
115011558,2148,1505,665,350,11345
115011621,1471,858,331,66,9398
115011622,738,512,334,216,6560
115021297,2217,1550,809,280,11973
115021298,604,445,270,86,3035
115031299,416,270,125,23,1684
115031300,2081,1289,462,110,11125
115041301,856,567,248,52,5399
115041623,409,231,60,11,5468
115041624,828,465,157,90,9221
115041625,1313,634,252,40,9189
116011303,880,651,352,186,9437
116011304,1073,794,313,92,9811
116011306,1659,1079,340,75,11400
116011307,1795,1272,514,160,12508
116011560,807,453,201,49,5836
116011561,1035,575,293,166,8214
116011626,1039,722,307,49,7523
116011627,620,394,200,48,5984
116021309,1257,649,207,31,8447
116021562,272,127,38,6,1934
116021563,1536,926,247,64,12922
116021628,1023,627,281,70,10835
116021629,450,282,93,9,8059
116021630,609,336,107,27,6798
116021631,439,180,46,4,5288
116021632,773,389,86,12,13675
116021633,873,465,154,28,7540
116031313,837,563,254,44,6233
116031314,479,288,96,62,3825
116031315,1532,701,185,62,9449
116031316,801,502,295,67,7748
116031317,1128,714,257,80,9079
116031318,6,0,0,0,27
116031319,1609,937,409,360,10792
117011320,20,20,0,0,355
117011321,868,471,200,81,6930
117011323,981,608,295,79,7975
117011324,4,3,0,0,10
117011325,23,3,0,0,76
117011634,605,383,233,64,4490
117011635,957,441,194,48,14692
117021327,1508,866,336,93,12920
117021328,499,271,85,23,4962
117021636,782,431,176,56,7337
117021637,932,502,208,58,8270
117031329,982,638,332,126,8531
117031330,1151,522,153,35,13896
117031331,1622,1189,471,106,14018
117031333,1731,1204,570,294,16635
117031336,1123,575,281,88,11898
117031638,570,379,202,123,5917
117031639,259,134,32,12,5831
117031640,1119,540,148,40,10111
117031641,982,779,295,60,8953
117031642,998,612,290,87,9347
117031643,574,293,84,17,8233
117031644,868,594,280,73,7469
117031645,864,414,153,31,15978
117031646,281,160,53,24,5273
117031647,767,572,282,117,11559
117031648,415,218,67,8,9483
118011339,1359,908,489,212,12676
118011340,1241,745,345,145,13789
118011341,1320,947,612,315,11780
118011342,0,0,0,0,0
118011344,997,740,356,117,6617
118011345,1251,886,530,162,10059
118011346,1247,933,564,290,7008
118011347,640,640,464,204,4913
118011649,1392,1180,601,217,9050
118011650,878,845,618,240,6762
118021564,747,475,300,141,7226
118021565,929,568,254,94,8108
118021566,832,566,333,220,5768
118021567,891,614,300,100,6397
118021568,749,445,234,55,5810
118021569,1169,795,488,398,10622
118021570,973,667,407,232,8708
118021651,1494,945,365,88,13067
118021652,1024,748,475,192,6432
118021653,1157,687,330,83,6719
118021654,528,332,167,77,3036
119011354,1181,810,500,266,9354
119011355,75,46,6,0,768
119011356,632,364,173,45,4869
119011358,1381,795,437,286,8528
119011360,1167,711,355,275,8394
119011361,1162,701,295,124,8895
119011571,784,489,207,86,7462
119011572,844,537,321,233,8016
119011655,795,445,191,85,5809
119011656,664,336,142,51,5049
119011657,821,486,254,53,5305
119011658,1278,746,300,112,7748
119021362,1276,663,333,168,9432
119021366,980,495,231,61,8470
119021367,940,490,262,124,6606
119021573,704,372,214,143,7601
119021574,383,190,79,22,4470
119021659,655,348,194,102,5560
119021660,495,278,125,88,4541
119021661,709,301,180,117,6440
119021662,1456,773,409,186,8882
119021663,388,249,116,45,2794
119031370,986,650,303,193,6845
119031371,1283,911,373,144,7057
119031372,1679,1165,721,404,10505
119031373,743,473,283,88,5445
119031374,2114,1233,580,280,13868
119031664,558,337,173,74,7170
119031665,931,550,259,192,6160
119031666,1252,819,345,153,8130
119031667,716,414,175,108,5285
119041377,1005,627,320,96,6452
119041378,842,538,380,298,8355
119041379,1321,738,390,214,9010
119041380,1134,730,413,167,7429
119041381,1058,660,304,126,11088
119041382,1490,999,556,224,8744
119041668,878,534,283,127,8981
119041669,722,451,217,174,4721
119041670,1053,620,311,179,8335
119041671,286,138,46,4,8036
120011383,2245,1614,834,244,13296
120011385,1773,1259,564,277,10949
120011386,1904,1301,617,287,12118
120011672,1097,749,370,174,7867
120011673,503,338,106,46,8344
120021387,1715,1322,615,147,10115
120021389,1240,851,319,96,8591
120021674,863,613,221,64,6217
120021675,1323,843,311,104,10543
120031392,987,503,179,47,6843
120031393,1392,843,436,235,9136
120031394,1430,726,268,116,11278
120031395,1294,818,258,94,8106
120031396,840,446,179,52,13188
120031576,291,174,79,16,1942
120031676,821,553,249,105,7438
120031677,929,571,362,311,7534
120031678,804,502,243,124,9792
120031679,1043,556,261,162,6069
120031680,1009,585,347,160,10854
120031681,938,639,318,152,5356
121011399,1638,1206,559,222,13591
121011401,996,733,354,179,9208
121011682,674,476,212,80,5839
121011683,1591,1086,605,303,7827
121011684,1325,964,517,262,12183
121011685,1451,1023,592,213,8267
121011686,1239,902,512,232,9860
121011687,1144,705,340,178,7259
121021403,2072,1274,560,125,12584
121021404,1252,785,391,82,6580
121021406,1827,1235,773,317,11068
121021577,847,573,295,128,7674
121021578,974,715,343,169,6249
121021579,730,614,461,282,7291
121031407,2338,1554,921,403,13841
121031408,2460,1737,1023,403,14639
121031409,1923,1235,604,220,10189
121031410,2175,1578,1162,419,12591
121031411,2056,1511,1219,739,12133
121031412,2002,1379,950,487,11148
121041413,1787,1500,768,209,12449
121041414,1420,1180,605,163,12887
121041416,1571,1244,810,316,12154
121041417,1224,906,502,77,9317
121041688,1452,1200,821,328,8769
121041689,1593,1145,733,247,9096
122011418,2176,1279,737,224,11782
122011419,2144,1295,767,249,14998
122021420,1694,1360,683,247,7736
122021421,1311,979,685,218,6419
122021422,1749,1236,622,142,8110
122021690,1349,1105,823,467,8274
122021691,1027,654,282,82,5921
122031424,1299,732,470,183,7447
122031425,636,472,336,118,4188
122031427,1242,706,575,259,7099
122031429,1755,1041,438,151,13082
122031430,1437,918,481,275,9694
122031432,405,294,181,77,2124
122031692,733,550,527,237,4633
122031693,1323,801,416,161,7773
122031694,893,438,181,71,5258
122031695,1227,679,325,91,10769
122031696,1549,1066,732,222,9498
122031697,921,791,601,431,6592
123011433,965,878,474,306,6678
123011698,293,137,36,5,2760
123011699,844,577,253,60,6493
123011700,691,336,129,14,5110
123011701,1259,604,201,34,8604
123011702,339,158,40,5,4412
123021436,969,710,331,42,8051
123021437,1304,981,538,173,10893
123021438,1368,802,187,43,8593
123021439,0,0,0,0,0
123021441,1038,915,376,65,7369
123021443,1312,795,260,55,9256
123021444,1519,1138,449,125,8988
123021703,564,314,128,23,7426
123021704,690,406,219,173,5469
123021705,1284,742,237,58,7879
123021706,873,515,221,59,6060
123031445,422,309,158,43,2664
123031446,814,583,258,125,5407
123031447,1330,959,419,174,9017
123031448,725,581,182,33,4676
124011449,816,734,353,79,3673
124011450,1941,1596,689,154,10691
124011451,4,4,0,0,10
124011452,1658,1622,719,237,8309
124011453,1342,937,352,66,6479
124011454,2231,1828,836,370,12311
124011455,762,823,371,125,3898
124021456,0,3,0,0,5
124031457,935,722,223,48,6807
124031459,1021,845,403,112,6800
124031460,1468,743,212,48,9768
124031461,1016,853,378,106,7785
124031462,1220,825,475,193,12149
124031463,773,422,182,28,5459
124031464,1019,737,497,323,9448
124031465,397,205,77,4,2650
124031707,1149,575,194,36,7498
124031708,390,235,101,25,6069
124041466,993,813,555,266,7581
124041467,1134,586,284,82,7064
124041468,528,289,109,19,3926
124051469,586,230,56,11,2905
124051470,1476,905,192,41,8545
124051580,637,418,164,27,5155
124051581,904,603,310,180,7481
125011475,0,0,0,0,0
125011582,668,422,203,101,8572
125011583,330,174,113,84,5158
125011584,476,231,85,36,3324
125011585,506,298,119,50,3663
125011586,1273,699,269,107,11119
125011587,292,171,65,20,2113
125011709,605,353,115,19,5740
125011710,814,416,100,17,14290
125021477,1768,957,442,174,12869
125021478,1620,895,463,203,9842
125021711,1103,710,421,206,6559
125021712,1574,1074,556,112,10647
125031479,1095,641,260,186,8213
125031480,683,535,257,219,5779
125031481,1035,575,219,65,10873
125031483,992,527,261,85,8464
125031484,1079,635,318,127,9261
125031486,0,0,0,0,7
125031487,0,0,0,0,3
125031713,987,768,403,115,7275
125031714,1247,656,299,92,10793
125031715,676,412,222,102,5234
125031716,431,207,107,36,3362
125041489,1450,823,382,217,13939
125041490,774,601,336,59,4799
125041491,1168,918,548,266,13193
125041493,1660,1053,626,267,12060
125041494,833,628,404,107,5801
125041588,738,457,240,145,7344
125041589,1054,533,234,118,12783
125041717,327,221,69,26,8542
125041718,337,211,73,26,6038
125041719,365,198,52,39,5600
126011496,2359,1717,970,363,12992
126011720,1293,794,396,157,8993
126011721,1587,1162,460,165,11378
126021498,1388,914,470,231,9297
126021499,995,847,536,435,5812
126021500,1473,1022,589,335,15760
126021501,1394,803,368,183,9629
126021503,1493,927,412,126,12540
126021590,500,317,108,34,2385
126021722,795,573,243,133,4198
126021723,1727,1207,545,175,11164
126021724,1636,1020,473,218,11365
126021725,629,409,227,164,7920
127011504,819,425,228,71,5593
127011505,527,388,200,138,5496
127011592,0,0,3,0,15
127011593,526,276,63,12,2904
127011594,750,391,135,27,4684
127011595,803,362,108,17,5097
127011596,689,285,92,10,5340
127011597,851,330,115,11,6974
127011726,284,219,100,21,2264
127011727,510,219,56,9,6754
127011728,520,379,172,33,5696
127011729,489,250,96,41,7978
127021509,855,515,185,104,5983
127021510,1435,878,292,88,7631
127021511,935,615,310,191,7583
127021512,788,440,210,68,5971
127021513,863,475,271,126,7080
127021514,642,387,144,54,3825
127021515,918,576,254,71,5980
127021516,871,544,282,72,6475
127021517,491,380,194,81,3276
127021518,331,200,84,28,1908
127021519,999,703,329,166,6850
127021520,534,460,194,63,3914
127021521,9,0,6,0,24
127031522,1109,588,248,97,7280
127031523,1237,873,389,71,9481
127031524,1574,768,389,233,11031
127031599,588,347,194,42,4340
127031601,322,183,72,26,2852
127031730,413,169,44,4,5909
127031731,879,601,325,113,9473
127031732,745,451,237,96,5322
127031733,1032,403,166,142,6680
128011529,1691,1069,588,173,9883
128011530,1489,1096,733,449,11225
128011531,1338,1041,850,468,8612
128011602,900,654,386,207,7225
128011603,1260,917,406,184,6956
128011604,2579,1908,803,348,14651
128011605,355,257,106,39,1795
128011606,893,618,264,77,5026
128021533,498,386,267,194,3508
128021534,1235,870,256,56,5682
128021535,2176,1355,417,124,10986
128021536,1913,1415,700,229,12037
128021537,0,0,0,0,30
128021538,1677,1087,682,363,13232
128021607,1172,957,591,184,8851
128021608,633,456,243,55,3927
128021609,443,237,65,9,1938
197979799,12,0,0,0,15
201011001,982,649,309,57,7973
201011002,1242,1049,609,229,7290
201011005,691,567,189,41,3786
201011006,544,381,193,76,4874
201011007,384,239,68,14,1973
201011008,863,732,444,217,6679
201011481,694,592,315,182,4938
201011482,1257,905,360,117,7544
201011483,770,667,321,148,6234
201011484,789,679,348,125,5882
201021009,589,394,160,55,3244
201021010,808,708,299,102,4061
201021011,1338,1183,458,132,5958
201021012,646,393,150,21,3170
201031013,316,387,138,38,1677
201031014,407,350,147,43,2163
201031015,408,384,122,4,2383
201031016,567,606,379,114,3404
201031017,580,500,238,41,2519
202011018,1219,959,524,325,8142
202011019,819,638,308,103,5620
202011020,1152,941,558,238,7238
202011021,771,562,256,97,4926
202011022,1364,1169,791,398,9877
202011023,382,265,73,8,2517
202011024,786,591,299,53,5205
202011025,848,604,216,49,6498
202021026,826,507,174,25,4133
202021027,1146,1164,697,308,6429
202021028,1234,1093,428,78,5326
202021029,532,456,242,66,2531
202021030,992,871,402,122,5629
202021031,762,644,309,66,4298
202031032,518,341,147,15,2367
202031033,740,593,246,117,3383
203011034,453,316,162,67,3638
203011035,744,463,142,30,4046
203011036,669,475,181,63,3521
203021037,1000,810,436,216,8359
203021039,1289,989,431,136,8395
203021040,1562,958,401,151,11538
203021042,2026,1473,805,224,13211
203021043,1279,859,351,87,9368
203021044,972,712,472,148,6488
203021045,1023,875,544,235,7252
203021046,1008,700,351,91,5873
203021047,984,894,443,232,7574
203021485,403,274,231,127,5454
203021486,971,609,301,72,6996
203021487,1470,1128,651,316,12775
203021488,489,344,166,70,3808
203031048,1446,1314,660,181,8306
203031049,1013,980,381,111,4426
203031051,1143,1259,554,172,5235
203031052,727,915,530,172,3594
203031053,2018,1604,690,246,13447
203031489,814,697,284,64,6153
203031490,1832,1598,671,266,10565
204011054,726,694,320,115,3569
204011055,718,744,323,110,3559
204011056,1093,790,388,133,7157
204011057,1268,1031,396,114,6533
204011058,448,393,182,70,2259
204011059,526,378,193,79,2973
204011060,412,302,110,27,2422
204011061,17,7,0,0,108
204011062,509,417,216,36,2284
204021063,961,841,530,201,5290
204021064,489,396,122,19,1999
204021065,369,320,134,45,1945
204021066,1442,1185,742,360,9540
204021067,1115,826,285,56,5147
204031068,576,526,202,61,2781
204031069,1187,931,391,90,6774
204031070,354,240,115,9,1616
204031071,443,359,153,65,2277
204031072,709,510,230,98,3072
204031073,1096,798,314,99,6952
204031075,581,409,173,33,2781
204031491,786,502,215,75,6221
204031492,1084,879,472,118,7281
205011076,1374,1141,563,141,9056
205011077,729,545,240,42,3440
205011078,670,591,233,89,3951
205011079,1805,1379,724,209,11371
205021080,0,0,0,0,0
205021081,1159,1049,650,282,7259
205021082,851,663,270,50,4067
205021083,0,0,0,0,0
205021084,1114,1315,603,132,5739
205021085,792,697,322,76,3447
205021086,779,973,494,120,3637
205031087,1129,1045,434,114,5044
205031088,16,15,9,0,75
205031089,890,674,290,80,4641
205031090,957,858,409,121,5394
205031091,1550,1430,608,215,7462
205031092,3,0,0,0,18
205031093,2605,2495,1208,354,13512
205041094,1166,786,323,61,5795
205041095,1283,1070,540,200,7680
205041096,1010,758,442,235,6260
205041098,441,274,78,15,2210
205041493,883,592,337,165,5642
205041494,1267,1014,583,255,8734
205051099,6,9,0,0,16
205051100,573,478,157,23,2632
205051101,1227,1039,417,101,6823
205051102,343,268,70,19,2113
205051103,1078,870,461,220,7265
205051104,576,558,206,61,2681
206011106,668,362,129,31,8931
206011107,909,546,193,78,8954
206011109,806,337,122,69,5354
206011495,745,406,148,49,8323
206011496,786,472,167,43,9064
206011497,810,443,151,32,7361
206011498,887,488,149,94,7589
206021110,836,443,117,22,5374
206021112,1294,644,245,177,11282
206021499,1244,651,247,94,9159
206021500,759,419,148,49,6576
206031113,1180,664,241,67,8807
206031115,512,343,106,36,5539
206031116,1325,824,287,125,9719
206031501,1439,833,330,174,8782
206031502,1039,636,232,69,7330
206041117,604,479,294,132,11449
206041118,892,495,131,18,11883
206041119,593,553,274,99,4130
206041120,3,0,0,0,71
206041121,659,402,132,54,6862
206041124,461,350,259,120,5065
206041125,571,565,428,205,4883
206041127,0,0,0,0,0
206041503,605,331,135,20,8350
206041504,325,175,57,8,12649
206041505,506,231,54,14,12600
206041506,873,538,203,67,10693
206041507,0,0,0,0,5
206041508,448,260,118,23,5120
206041509,605,370,144,18,12659
206041510,313,144,52,6,5413
206051128,1576,1111,596,139,10674
206051129,1341,714,245,58,9899
206051130,1512,1013,474,79,9891
206051134,1022,654,273,81,10688
206051511,101,22,4,0,1388
206051512,1012,669,344,175,7921
206051513,878,492,171,36,8701
206051514,1316,800,377,210,10142
206061135,694,653,428,120,6171
206061136,1194,789,419,181,13503
206061138,1362,1279,821,296,8416
206061515,566,403,194,54,8786
206061516,681,505,270,100,6962
206071139,494,315,139,29,6646
206071140,654,574,272,67,5646
206071141,455,234,89,17,6379
206071142,884,565,255,93,7596
206071143,971,753,408,121,8612
206071145,874,675,221,40,6418
206071517,1174,662,284,58,12362
206071518,847,563,268,101,9409
207011146,801,492,248,122,4480
207011147,1560,1203,737,336,9461
207011148,2246,1331,711,270,11696
207011149,2253,1627,930,500,12869
207011150,1828,1165,611,177,10028
207011152,1271,910,523,185,10247
207011154,689,422,217,81,3726
207011155,1812,1390,673,328,9552
207011519,823,627,328,82,6360
207011520,884,676,403,162,8107
207011521,1199,912,553,264,7112
207011522,1318,924,475,230,8040
207021156,960,589,410,130,5903
207021157,1875,1364,940,381,14161
207021159,1714,1278,743,278,9277
207021160,1122,776,696,292,7618
207021424,1452,1075,571,179,8534
207021425,1008,694,584,192,8221
207031161,1951,1210,721,353,12656
207031162,864,623,384,201,5934
207031163,1583,1070,675,422,14134
207031164,1526,972,489,154,10234
207031165,810,508,343,217,7339
207031166,810,540,444,126,6021
207031167,1048,822,360,159,6220
208011168,1606,1132,616,210,7716
208011169,2606,2006,1245,567,13536
208011170,1709,1127,634,403,9258
208011171,955,577,290,123,6807
208011172,2007,1176,594,165,10338
208011173,2010,1505,830,369,10166
208021174,2188,1271,668,329,14175
208021176,1337,919,481,237,11964
208021177,1724,1651,671,345,13560
208021178,1655,1481,658,399,10959
208021179,1017,768,343,131,7220
208021180,587,257,125,58,4349
208021181,782,477,176,56,5573
208021182,1015,675,291,73,8218
208021426,1254,742,281,116,8784
208021427,1115,689,324,154,7495
208031183,760,389,199,62,4348
208031184,8,3,5,3,38
208031185,1054,754,297,100,6185
208031186,1156,818,396,201,8312
208031187,371,248,124,35,2605
208031188,1771,1164,618,372,13206
208031189,1158,621,342,94,7175
208031190,1080,772,460,188,7503
208031191,690,485,299,143,5168
208031192,0,0,0,0,21
208031193,1856,1162,522,244,11532
208041194,1842,1423,918,393,12762
208041195,1985,1308,654,310,13162
209011196,643,440,290,90,4910
209011197,1698,1340,601,216,11046
209011198,1334,1004,609,314,9805
209011199,1001,561,255,124,8219
209011200,1255,889,381,145,7673
209011201,948,689,320,111,4631
209011202,1339,1188,597,125,9021
209011203,1404,1035,601,223,10143
209011204,666,458,245,73,4840
209021205,757,371,210,135,5881
209021428,1173,608,194,75,11833
209021429,858,405,157,91,7000
209021523,783,384,224,94,7822
209021524,469,328,223,102,4211
209021525,696,479,267,194,6653
209021526,800,401,158,73,7611
209031209,2446,1798,672,169,13001
209031210,360,236,86,10,1943
209031211,445,283,78,7,2266
209031212,658,489,161,25,2850
209031213,864,508,215,82,4757
209031214,798,487,205,28,3807
209031215,1364,704,279,67,7548
209041216,513,246,121,56,3807
209041217,404,297,177,41,3184
209041220,1434,756,222,97,8409
