SA2_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
210011534,209,81,44,51,77,11,14,82,3204,0,0,0,0,0,0,0,0,0,0,3,3137,426,297,106,62,66,102,17,14,122,4342
210021232,64,14,12,15,11,14,0,19,455,5,0,0,0,0,0,0,0,0,20,21,1219,260,148,40,21,27,19,18,8,68,1820
210021233,10,0,0,4,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,376,66,41,5,5,5,0,3,0,19,527
210021234,6,3,4,3,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,380,40,31,3,8,4,7,9,0,14,491
210021235,31,3,15,0,0,0,0,5,217,0,0,0,0,0,0,0,0,0,0,0,777,117,97,25,27,6,8,4,3,39,1097
210031236,171,58,81,78,67,20,8,33,1775,0,0,0,0,4,0,0,0,0,0,4,1554,311,275,80,109,94,84,24,15,49,2575
210031237,760,195,284,314,327,108,25,143,5439,3,0,0,0,0,0,0,0,0,8,19,3007,875,889,208,315,341,354,115,27,170,6301
210031439,31,19,5,6,14,0,0,3,519,0,0,0,0,0,0,0,0,0,0,0,583,65,38,20,15,17,21,3,0,7,762
210031440,199,55,51,57,68,11,10,29,1563,0,0,0,0,0,0,0,0,0,0,3,1179,234,257,73,72,70,77,12,5,51,2026
210031535,821,265,292,391,349,153,25,113,5125,5,0,0,0,0,0,4,0,0,3,16,2554,862,961,277,328,412,385,170,26,151,6122
210031536,534,199,308,356,407,114,18,85,3273,0,0,0,0,0,0,0,0,0,81,81,1172,530,636,214,327,382,440,117,16,187,4012
210031537,361,139,136,137,167,52,16,17,2020,0,0,0,0,0,0,0,0,0,3,5,1131,403,465,158,161,160,180,56,13,37,2770
210031538,590,121,207,170,209,67,32,66,3621,0,0,0,0,0,0,0,0,0,7,7,2574,696,793,174,259,210,245,85,33,107,5175
210041240,127,32,21,19,24,25,3,13,772,5,0,0,0,0,0,0,0,0,4,5,1425,287,254,44,31,31,42,31,3,32,2183
210041539,237,33,36,34,62,21,0,13,834,0,0,0,0,0,0,0,0,0,0,0,394,302,293,45,46,32,66,24,0,31,1239
210041540,239,50,42,33,40,11,3,22,1198,6,0,3,0,0,0,0,0,0,0,7,1663,399,387,76,69,49,68,23,3,85,2828
210041541,116,25,21,11,17,4,0,5,553,0,0,0,0,0,0,0,0,0,0,0,1049,243,235,39,39,31,32,9,8,20,1704
210051242,1064,430,408,480,532,136,20,152,5741,4,0,0,0,0,0,0,0,0,245,252,2157,852,1141,445,425,507,556,144,21,429,6680
210051243,956,314,259,241,252,88,26,163,6692,3,4,0,0,0,0,0,0,0,19,24,3933,940,1001,329,279,255,273,98,26,208,7332
210051245,420,193,136,158,123,58,3,74,3799,5,0,0,0,0,0,0,0,0,4,9,3612,475,531,206,152,164,136,64,9,133,5480
210051246,764,188,138,114,84,37,13,68,5902,3,0,0,0,0,0,0,0,0,4,15,4592,1116,886,217,165,129,106,48,13,108,7372
210051247,856,401,265,183,206,67,17,134,6277,0,0,3,0,0,0,0,0,0,4,13,3846,792,903,413,271,195,212,69,15,158,6865
210051248,3,0,0,5,0,0,11,0,40,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,5,0,0,12,0,70
210051250,175,78,73,106,94,11,5,27,1554,0,0,4,0,0,0,0,0,0,6,4,1329,199,214,83,82,121,104,16,9,42,2197
