SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
101031016,55,77,130,819,828,1647,0,0,0,57,44,102,0,0,0,1044,985,2030,0,0,0,31,25,58,22,24,52,0,3,3,22,17,36,5,0,5,12,12,25,26,23,42,91,84,170,3,5,6,12,17,30,143,197,344,97,105,197,0,0,0,2380,2380,4758,7,0,7,14,10,19,19,15,37,0,0,0,0,5,5,18,19,32,18,16,35,3600,3140,6734,30,21,46,26,19,39,3644,3181,6827,958,717,1672,77,68,143,7174,6459,13626
101041017,21,40,64,759,901,1657,0,0,0,36,33,73,0,0,0,826,911,1743,0,4,3,40,31,76,21,28,51,3,0,3,8,22,31,0,0,0,3,5,10,42,45,85,83,85,165,10,10,26,3,9,11,91,142,231,65,87,155,5,11,8,2008,2318,4330,25,19,42,15,11,20,0,5,10,0,0,0,6,10,17,5,14,21,14,23,41,1788,1652,3445,12,9,25,6,6,11,1806,1666,3479,362,348,713,4,3,12,4261,4439,8705
101041018,32,56,84,680,882,1561,0,0,0,31,49,84,0,0,0,888,1019,1905,0,0,5,22,23,45,38,60,92,0,0,4,21,23,40,8,7,15,14,12,29,27,42,75,113,124,239,8,13,15,10,5,11,92,145,234,100,98,199,5,5,4,2052,2504,4553,16,13,32,7,8,17,0,0,3,3,4,3,4,10,15,13,20,28,16,27,51,1794,1688,3481,19,15,40,10,22,33,1821,1730,3551,430,378,809,6,3,14,4380,4722,9107
101041019,34,71,102,663,786,1445,0,0,0,27,23,55,0,0,0,698,780,1480,0,0,0,9,13,24,28,57,86,9,5,18,3,11,17,0,0,0,47,43,88,15,17,30,53,75,130,12,14,24,11,13,23,103,104,210,65,86,146,0,7,11,1749,2038,3788,16,25,40,11,10,19,6,3,9,0,0,0,0,6,4,19,13,31,19,18,40,2097,2043,4141,15,9,24,13,17,30,2119,2081,4199,408,370,776,3,3,4,4361,4608,8971
101041020,29,49,71,729,749,1478,0,0,0,37,35,69,0,0,0,623,592,1215,0,0,0,11,10,26,24,23,47,10,7,15,3,9,13,0,0,0,20,23,49,19,21,37,77,86,162,5,7,14,27,29,58,91,129,219,130,133,262,5,9,12,1807,1859,3671,6,8,19,5,4,12,6,6,8,0,8,8,0,0,0,19,34,51,23,37,59,2446,2236,4679,30,23,57,9,24,37,2490,2279,4770,488,402,889,3,6,11,4857,4649,9507
101041021,8,14,23,262,340,605,0,0,0,16,18,35,0,0,0,334,368,702,0,0,3,5,6,8,16,8,21,0,0,0,11,9,19,0,0,0,3,0,5,14,18,26,33,53,84,0,3,3,7,9,14,44,61,115,25,37,63,0,0,4,773,934,1705,0,0,7,11,7,13,0,10,9,0,0,0,0,0,0,3,5,14,3,11,11,945,875,1819,9,8,14,0,4,4,948,881,1838,135,144,279,5,0,3,1878,1998,3880
101041022,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,16,0,0,0,0,0,0,7,8,16,5,0,5,0,0,0,18,11,31
101041023,5,14,17,297,319,613,0,0,0,8,0,12,0,0,0,289,346,631,0,4,5,7,6,9,0,3,3,0,5,5,0,0,3,5,0,3,5,8,14,0,0,8,39,46,87,0,0,4,0,0,3,52,62,115,23,34,61,0,4,4,738,848,1581,3,6,14,3,0,9,0,0,0,4,0,4,0,0,0,4,6,9,5,6,12,758,727,1480,5,0,7,0,8,8,761,733,1493,194,163,362,6,4,7,1719,1771,3492
101041024,13,14,31,286,293,579,0,0,0,10,9,21,0,0,0,301,289,588,0,0,0,6,9,13,8,8,16,0,0,0,4,8,14,0,0,0,6,0,4,4,5,9,37,31,73,5,5,12,4,7,12,40,39,76,20,29,51,0,3,6,734,746,1482,0,0,4,0,0,5,0,0,0,4,0,3,0,0,0,0,4,10,5,3,14,820,745,1567,3,7,16,3,4,6,830,757,1589,208,230,435,0,0,0,1804,1758,3558
101041025,30,80,109,847,1097,1943,0,0,0,60,71,129,0,0,0,890,968,1859,0,0,0,19,16,40,47,74,122,5,9,12,20,26,42,0,0,0,19,19,31,36,44,81,129,133,261,6,10,14,3,8,9,137,236,378,93,115,212,5,4,5,2324,2843,5161,33,20,47,9,9,18,9,4,15,0,0,0,3,6,7,12,14,25,16,18,34,2750,2617,5372,19,6,26,13,10,24,2777,2640,5421,456,443,900,9,14,13,5659,6062,11721
101041026,22,21,44,613,780,1389,0,0,0,42,33,78,0,0,0,842,906,1750,3,0,7,10,13,19,6,18,23,3,4,3,9,14,21,0,0,0,9,10,17,22,33,53,120,157,274,5,8,16,3,0,7,71,85,158,67,72,142,0,3,9,1840,2131,3972,13,8,21,4,6,8,0,3,5,0,0,0,0,0,0,6,19,25,5,22,24,1972,1716,3690,17,18,36,12,21,28,2000,1752,3749,446,410,859,6,3,5,4332,4359,8690
101041027,39,82,119,806,895,1703,0,0,0,37,36,71,0,0,0,677,796,1473,0,3,4,31,14,47,30,35,63,5,3,5,15,29,44,0,0,0,7,15,21,14,15,24,92,137,226,0,7,9,17,14,33,109,169,279,65,88,154,0,3,6,1903,2253,4154,21,17,35,15,15,32,4,0,9,10,8,16,0,0,0,15,27,33,22,28,54,2363,2275,4641,27,22,45,7,15,22,2398,2309,4708,489,485,972,5,5,10,4892,5203,10093
101051539,98,120,217,2349,2772,5119,0,0,0,133,144,274,89,83,176,2960,3322,6281,9,10,19,103,84,187,42,43,83,8,16,27,22,25,43,0,5,10,28,38,66,56,55,110,199,217,421,33,44,80,25,34,59,341,397,736,173,174,348,6,3,13,6566,7476,14047,155,148,308,104,80,179,3,5,7,0,0,0,29,26,56,44,59,105,75,82,161,4057,3697,7751,33,36,74,19,23,40,4114,3751,7863,1373,827,2205,18,15,34,12510,12507,25022
101051540,15,32,45,1529,1541,3073,0,0,0,55,52,112,0,0,4,1885,1828,3715,0,4,5,68,56,128,17,25,40,6,3,10,9,11,29,4,4,3,12,17,33,16,29,49,158,120,282,9,15,21,16,17,33,265,275,535,110,122,233,13,12,26,4181,4141,8324,23,18,42,31,16,46,5,8,17,0,0,0,9,8,12,11,24,39,17,27,50,2111,1838,3952,11,9,22,13,16,26,2140,1863,4002,717,648,1371,3,5,9,7137,6762,13900
101061541,9,29,36,570,695,1268,0,0,0,53,54,105,0,0,0,829,915,1736,0,0,3,6,13,18,4,9,10,0,0,0,7,10,17,0,0,0,4,9,12,18,9,28,50,64,114,7,3,10,3,12,18,99,118,219,64,65,132,4,7,5,1723,1985,3705,19,19,43,13,13,25,0,5,4,3,0,3,6,5,8,3,14,17,14,11,29,1264,1160,2425,5,6,16,3,3,4,1268,1169,2442,363,253,614,7,9,14,3421,3484,6907
101061542,22,45,63,921,1087,2009,0,0,0,39,44,86,0,0,0,1395,1387,2779,0,0,0,30,42,69,11,12,32,3,0,5,33,40,70,0,3,7,19,24,45,46,39,82,102,95,199,12,17,27,12,9,19,210,239,450,102,138,237,6,3,9,2945,3186,6130,5,9,15,25,17,41,5,7,13,0,0,0,4,3,11,22,26,47,29,31,56,2723,2592,5316,25,16,43,4,18,20,2755,2625,5383,496,408,903,0,8,5,6282,6334,12611
101061543,21,20,42,944,1086,2029,0,0,0,43,48,92,49,62,119,1536,1774,3315,0,0,0,20,19,33,11,22,30,3,6,8,6,25,34,0,0,0,17,9,24,18,14,28,147,158,304,18,16,36,12,19,30,141,176,324,76,89,165,0,0,0,3048,3525,6570,25,22,46,237,244,480,0,0,0,4,4,6,18,14,30,8,12,16,29,29,57,1467,1413,2883,6,4,18,7,6,16,1485,1424,2914,421,430,854,4,4,3,5272,5702,10970
101061544,4,14,25,896,919,1817,0,0,0,15,26,39,5,0,3,1137,1156,2289,0,0,0,17,17,35,6,11,17,0,4,5,16,15,32,0,0,0,3,6,10,5,12,17,83,85,169,11,20,29,5,5,8,169,160,325,66,54,117,9,0,8,2440,2482,4921,3,0,0,26,25,52,0,0,0,0,0,0,0,0,3,6,9,10,3,14,18,1003,859,1863,4,0,7,6,9,9,1013,871,1879,426,366,787,4,4,8,3924,3771,7686
102011028,35,40,69,510,581,1091,0,0,0,55,44,97,0,0,0,720,774,1494,6,12,15,20,18,39,15,21,38,0,0,0,11,9,17,0,0,0,37,38,76,29,46,76,54,55,116,6,0,6,13,8,20,92,109,194,93,110,200,0,0,0,1653,1835,3492,8,5,17,9,6,13,11,19,33,3,0,3,0,0,0,7,9,11,8,7,15,1816,1749,3568,9,15,21,6,17,29,1832,1784,3618,182,148,335,6,9,17,3746,3858,7603
102011029,29,50,83,890,1084,1976,0,0,0,73,77,152,0,0,0,1169,1308,2478,9,14,22,22,32,54,43,52,94,6,4,11,13,11,26,0,0,0,33,32,58,26,34,58,91,87,182,4,10,18,8,10,12,112,154,270,121,141,261,3,6,6,2626,3052,5685,6,4,7,8,16,23,12,23,46,0,3,3,0,0,0,15,13,25,14,18,30,2429,2212,4644,25,13,36,14,25,41,2477,2256,4727,278,277,552,6,10,15,5457,5706,11164
102011030,19,23,37,346,341,690,0,0,0,51,55,108,0,0,0,480,461,940,3,0,3,59,50,109,3,5,8,5,3,5,9,4,13,0,0,0,14,20,33,7,17,26,59,54,111,5,0,4,11,9,20,64,59,118,50,44,92,5,7,9,1162,1134,2292,8,4,12,18,15,37,3,3,5,6,3,6,0,4,8,3,12,25,15,19,35,934,812,1749,7,10,21,3,0,8,948,831,1776,254,247,503,0,0,5,2430,2276,4705
102011031,58,96,157,1084,1522,2602,0,0,0,115,167,284,8,0,3,1424,1739,3158,5,4,9,71,60,127,22,37,65,3,6,14,22,30,52,23,27,49,120,137,255,80,109,186,175,229,403,17,30,47,37,58,103,199,262,459,193,241,431,13,12,32,3608,4675,8286,41,28,67,20,18,34,16,17,34,0,0,0,12,19,28,7,14,26,28,37,62,2591,2363,4958,26,14,44,16,13,25,2630,2391,5026,407,516,919,13,3,15,6821,7781,14603
102011032,158,226,376,1073,1415,2489,0,0,3,146,170,316,3,5,10,1967,2277,4244,13,15,30,78,81,163,20,34,52,26,26,54,18,19,35,29,30,57,115,130,242,123,167,291,188,232,416,7,21,22,61,72,135,211,280,491,259,332,594,11,23,39,4358,5326,9683,317,277,593,138,117,261,24,16,34,3,0,3,76,49,128,34,53,83,119,101,221,4360,4096,8453,46,34,78,28,34,66,4442,4159,8595,858,805,1661,11,10,26,10420,11038,21458
102011033,36,37,68,443,496,944,0,0,0,67,77,145,10,13,22,674,655,1331,0,0,0,28,45,70,12,8,17,13,20,30,4,12,17,3,5,3,11,13,24,23,27,48,60,64,124,0,0,0,18,25,42,81,89,168,80,76,156,3,0,3,1525,1629,3155,36,45,87,28,27,54,10,5,12,0,0,0,7,8,19,6,9,15,14,20,29,1435,1297,2736,13,15,29,3,4,6,1443,1321,2768,160,149,305,3,7,12,3248,3232,6484
102011034,30,30,60,547,809,1355,0,0,0,67,73,135,0,0,0,719,945,1666,7,18,26,8,10,21,6,23,33,0,6,9,0,6,11,3,3,10,54,55,103,19,33,56,70,102,174,3,4,6,10,6,15,101,148,255,93,123,215,0,6,3,1722,2367,4094,9,18,25,4,5,14,9,9,18,0,0,0,4,0,4,10,17,32,16,20,36,1479,1440,2917,11,4,16,0,6,6,1489,1446,2941,170,233,402,5,3,8,3449,4135,7590
102011035,43,61,109,441,551,993,0,0,0,81,112,194,16,28,42,633,728,1361,4,10,15,28,27,62,8,9,18,15,14,28,12,10,18,3,0,7,34,51,85,62,72,131,58,57,116,6,10,9,17,14,29,72,96,172,135,145,286,0,6,11,1629,1948,3578,33,29,62,23,19,50,5,9,12,5,0,5,7,5,7,7,10,18,16,20,32,1571,1394,2966,15,14,31,3,13,13,1590,1417,3012,144,129,269,0,0,4,3488,3640,7122
102011036,24,43,57,548,613,1159,0,0,0,104,151,256,41,43,87,686,800,1492,0,3,4,21,32,49,19,22,39,17,22,41,14,14,33,4,4,9,38,44,85,69,79,150,83,78,162,0,6,13,23,25,54,97,128,227,113,151,262,14,3,18,1911,2228,4141,30,31,61,6,8,19,5,5,12,0,0,0,0,0,4,7,6,14,8,8,19,1812,1645,3457,22,10,30,9,15,23,1841,1675,3512,169,159,332,4,0,3,4003,4161,8159
102011037,34,51,89,434,518,949,0,0,0,47,50,94,0,0,0,612,712,1327,0,0,10,28,24,51,4,12,14,16,8,26,10,16,20,6,6,10,54,59,117,27,20,48,77,80,164,0,0,9,11,15,23,72,99,172,63,80,141,0,3,4,1469,1699,3168,27,20,41,8,8,18,3,4,14,0,0,0,4,4,6,6,13,14,7,14,23,1450,1357,2809,21,18,34,4,7,11,1474,1380,2860,150,146,302,7,4,11,3178,3341,6524
102011038,13,20,31,633,734,1365,0,0,0,87,96,184,0,0,0,629,755,1383,0,6,8,12,11,25,5,14,27,0,0,0,10,3,10,0,0,0,62,63,131,22,34,52,79,83,164,3,4,9,3,4,14,74,112,184,84,109,189,9,4,6,1720,2033,3755,6,5,13,7,5,16,9,3,15,0,0,0,0,0,0,10,4,9,10,4,17,1502,1391,2891,13,14,24,7,5,16,1512,1408,2925,165,139,306,4,0,4,3447,3624,7071
102011039,66,99,161,1025,1185,2215,0,0,0,65,61,120,0,0,0,1649,1788,3436,6,4,10,62,69,130,35,29,61,6,3,11,9,9,17,3,10,14,123,133,255,41,54,102,119,155,278,3,9,10,50,54,108,172,228,399,169,193,360,3,7,9,3530,3986,7524,46,39,82,37,34,67,17,18,34,0,0,0,3,3,11,10,19,25,14,20,35,3126,2925,6052,37,26,54,9,14,22,3166,2966,6132,441,407,846,12,12,27,7331,7580,14910
102011040,103,175,280,1953,2439,4385,0,0,0,108,144,247,0,0,0,2350,2903,5250,6,10,17,92,125,220,26,49,79,11,23,38,25,37,68,0,0,0,56,55,108,66,92,161,220,241,461,11,34,41,16,23,39,229,338,561,214,244,462,8,7,10,5393,6757,12151,53,32,87,46,35,81,14,15,36,6,8,9,13,17,32,15,37,55,40,62,101,5249,4945,10190,41,33,75,23,56,75,5310,5027,10343,831,873,1704,19,13,32,11808,12999,24808
102011041,28,49,76,774,966,1740,0,0,0,48,61,108,0,0,0,1085,1241,2330,0,4,10,47,45,91,26,34,58,0,5,4,10,13,23,0,5,7,87,90,177,46,43,90,87,91,177,0,4,3,31,41,74,106,152,254,107,122,230,0,0,0,2460,2922,5380,22,20,39,29,16,48,9,6,16,0,0,0,10,3,15,3,8,8,14,10,23,2287,2090,4376,17,17,31,4,25,30,2311,2123,4437,253,258,510,5,5,13,5133,5415,10544
102011042,72,145,218,1016,1364,2381,0,0,0,66,94,159,0,0,0,1368,1679,3048,5,4,13,47,47,88,15,24,39,4,9,21,10,12,23,7,0,12,41,42,89,58,76,129,155,184,337,13,23,38,12,11,22,158,170,327,121,149,260,4,3,11,3105,3896,6998,38,39,77,27,24,49,9,11,13,5,4,7,5,9,15,18,34,51,35,37,74,3053,2832,5881,26,31,52,9,23,31,3087,2878,5963,492,519,1010,3,3,14,6857,7553,14415
102011043,61,116,175,707,920,1624,0,0,0,69,109,173,15,20,39,973,1153,2123,8,18,27,31,34,65,22,22,47,23,21,42,14,12,26,11,9,12,80,94,174,64,78,144,128,150,277,12,13,25,17,29,43,140,207,342,142,157,297,3,9,8,2457,3037,5495,49,39,84,48,37,87,7,3,7,0,0,0,16,24,37,27,32,60,44,54,96,2387,2209,4598,16,17,38,14,16,26,2421,2244,4660,373,381,752,6,5,12,5461,5913,11378
102021044,68,84,151,1743,2208,3955,5,11,8,129,177,303,0,0,0,2448,2828,5281,0,11,11,68,63,135,30,42,73,13,15,26,15,18,31,5,10,18,93,93,188,90,111,204,162,237,395,14,20,35,41,41,79,211,311,523,209,240,450,3,10,8,5268,6444,11719,36,21,58,28,23,52,9,6,14,0,0,0,5,3,12,24,22,45,34,26,57,4563,4307,8873,36,23,58,7,18,30,4607,4350,8955,739,909,1651,7,3,14,10792,11872,22668
102021045,15,35,48,893,1037,1923,0,0,0,58,57,116,0,0,0,1043,1260,2301,3,3,3,26,21,47,25,30,54,7,11,20,5,7,12,5,5,12,22,26,43,39,55,97,72,104,174,13,16,31,13,15,28,85,111,201,95,86,176,0,7,0,2399,2836,5231,17,11,33,29,21,52,0,4,5,5,0,6,4,4,3,27,36,61,28,36,69,2641,2427,5066,7,9,16,13,24,36,2659,2457,5118,287,306,588,4,0,5,5445,5708,11158
102021046,38,56,94,865,1105,1975,0,0,0,52,75,129,0,0,0,1055,1180,2237,0,3,0,19,15,35,20,33,48,8,19,33,0,5,9,0,0,3,26,23,46,33,33,65,87,110,197,8,26,36,7,18,28,98,114,216,66,69,141,4,6,3,2358,2828,5184,0,0,4,4,9,13,0,0,5,7,3,12,0,0,0,17,12,30,24,18,43,1936,1678,3613,19,4,22,6,12,21,1957,1698,3654,310,309,618,7,0,12,4703,4920,9625
