SA2_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
114011281,27,0,0,0,0,27,12,0,0,0,0,12,12,0,0,0,0,12,8,0,0,0,0,8,23,0,0,0,0,23,67,0,0,0,0,69,61,0,0,0,0,61,103,0,0,0,0,103,65,0,0,0,0,72,58,0,0,0,0,58,36,0,0,0,0,36,39,0,0,0,0,39,516,0,0,0,0,518
114011282,117,8,3,0,0,124,52,0,0,0,0,53,38,0,0,0,0,40,62,0,0,0,0,63,100,5,3,0,0,105,264,12,0,0,0,273,257,12,0,0,0,269,323,8,8,0,0,332,184,0,0,0,0,187,107,0,0,0,0,111,73,0,0,0,0,75,98,5,0,0,0,103,1666,54,22,5,4,1742
114011283,41,0,0,0,0,41,15,0,0,0,0,15,11,0,0,0,0,11,30,0,0,0,0,33,30,0,0,0,0,30,112,0,0,0,0,112,100,0,0,0,0,103,97,0,0,0,0,97,47,0,0,0,0,47,55,0,0,0,0,55,36,0,0,0,0,36,45,0,0,0,0,46,619,0,0,0,3,623
114021284,81,8,4,0,0,92,22,0,0,0,0,22,20,4,0,0,0,18,32,5,0,0,0,34,41,0,3,0,0,44,109,9,0,0,0,121,114,11,6,0,0,129,207,15,0,0,0,224,151,4,0,0,0,159,219,5,0,0,0,225,253,0,0,0,0,254,91,4,0,0,0,97,1339,65,14,3,0,1424
114021285,34,0,0,0,0,35,17,0,0,0,0,17,19,0,0,0,0,19,26,0,0,0,0,26,48,0,0,0,0,48,109,0,0,0,0,110,178,0,0,0,0,178,320,0,0,0,0,324,168,0,0,0,0,166,105,0,0,0,0,109,61,0,0,0,0,57,85,0,0,0,0,82,1169,4,4,6,0,1178
114021286,59,3,0,0,0,62,22,0,0,0,0,22,10,0,0,0,0,13,16,0,0,0,0,23,35,5,0,0,0,40,114,6,9,0,0,123,146,3,0,0,0,157,321,0,5,0,0,323,226,0,4,0,0,228,167,0,0,0,0,165,108,0,0,0,0,107,77,0,0,0,0,76,1312,13,16,0,0,1347
114021287,71,0,0,0,0,73,21,0,0,0,0,24,19,0,0,0,0,22,26,0,0,0,0,26,37,0,0,0,0,43,143,12,0,0,0,148,180,3,5,3,0,190,315,6,3,0,0,319,187,0,0,0,0,193,132,3,0,0,0,136,103,0,0,0,0,103,63,5,0,0,0,65,1300,36,13,6,0,1344
114021288,25,0,0,0,0,25,11,0,0,0,0,11,6,0,0,0,0,6,17,0,0,0,0,20,15,0,0,0,0,15,35,0,0,0,0,35,60,0,0,0,0,60,83,0,0,0,0,83,45,0,0,0,0,52,60,0,3,0,0,60,82,0,0,0,0,82,19,0,0,0,0,19,456,0,0,0,0,464
114021289,61,0,0,0,0,61,19,0,0,0,0,19,18,0,0,0,0,18,26,0,0,0,0,26,42,0,0,0,0,42,89,0,0,0,0,89,89,0,0,0,0,90,151,0,0,0,0,151,95,0,0,0,0,95,102,0,0,0,0,102,156,0,0,0,0,156,63,0,0,0,0,64,899,0,0,3,0,910
115011290,129,16,11,0,0,161,39,4,6,0,0,48,11,8,0,0,0,19,37,4,3,0,0,46,46,15,3,0,0,67,132,27,34,0,0,193,180,46,36,0,0,261,339,140,132,0,0,617,286,116,77,0,0,484,519,125,45,0,0,695,597,45,18,0,0,659,172,21,18,0,0,215,2509,572,388,0,4,3468
115011291,156,3,0,0,0,159,25,0,0,0,0,23,22,3,0,0,0,29,38,3,5,0,0,48,64,4,0,0,0,67,151,10,8,0,0,172,143,12,13,0,0,168,299,20,42,0,0,365,239,33,38,0,5,314,478,57,31,0,10,569,766,44,14,0,0,829,198,12,9,0,0,223,2581,202,162,0,17,2960
115011294,47,9,0,0,0,57,8,0,0,0,0,8,5,6,0,0,0,10,7,12,0,0,0,21,11,0,0,0,0,11,36,3,0,0,0,38,30,4,0,0,0,37,77,6,0,0,0,93,56,9,0,0,0,67,134,13,0,0,0,146,262,17,0,0,0,276,51,5,0,0,0,60,736,73,0,0,0,808
115011296,118,3,3,0,0,131,22,0,0,0,0,23,10,0,0,0,0,13,28,0,0,0,0,27,28,0,0,0,0,28,74,4,0,0,0,80,57,7,0,0,0,69,156,7,3,0,0,165,130,7,0,0,0,138,238,36,5,0,0,277,536,19,3,0,0,561,106,5,0,0,0,112,1505,94,21,0,0,1620
115011553,29,0,6,0,0,43,7,0,0,0,0,12,4,0,0,0,0,3,12,0,3,0,0,12,13,3,5,0,0,19,34,13,9,0,0,54,59,15,12,0,0,84,96,17,34,0,0,145,46,21,31,0,0,95,144,47,30,0,0,222,145,26,10,0,0,183,39,4,5,0,0,53,631,142,153,0,0,930
115011554,34,0,0,0,0,36,10,0,0,0,0,12,3,5,0,0,0,7,8,0,0,0,0,11,12,0,0,0,0,16,24,0,0,0,0,30,30,0,0,0,0,36,61,5,0,0,0,61,37,9,0,0,0,44,78,6,0,0,0,87,182,9,0,0,0,188,38,0,3,0,0,42,528,38,8,0,0,572
115011555,80,3,5,0,0,89,12,0,0,0,0,18,12,0,0,0,0,13,23,4,0,0,0,29,22,0,0,0,0,23,78,5,0,0,0,86,72,4,4,0,0,85,156,13,13,0,0,178,123,13,5,0,0,144,240,24,10,0,0,273,459,13,4,0,0,480,98,4,0,0,0,102,1367,96,50,0,0,1506
115011556,65,8,11,0,0,77,14,0,0,0,0,20,3,0,0,0,0,5,16,0,3,0,0,16,23,4,3,0,0,29,47,9,7,0,0,63,67,6,8,0,0,87,94,13,25,0,0,132,77,17,27,0,0,119,196,19,20,0,0,240,323,8,9,0,0,336,93,5,8,0,0,101,1011,99,122,0,0,1225
115011557,48,3,0,0,0,58,17,0,0,0,0,17,11,0,0,0,0,11,7,0,0,0,0,8,13,0,0,0,0,13,26,3,0,0,0,34,40,7,0,0,0,46,77,12,0,0,0,91,59,10,0,0,0,69,110,10,0,0,0,122,223,8,0,0,0,236,58,11,0,0,0,67,687,70,0,0,0,760
115011558,161,15,0,0,0,176,28,3,0,0,0,31,29,5,0,0,0,35,35,3,0,0,0,41,41,0,0,0,0,49,115,22,0,0,0,140,115,38,0,0,0,158,239,50,0,0,0,294,210,39,0,0,0,250,379,108,0,0,0,483,673,57,0,0,0,734,146,22,0,0,0,168,2167,373,9,0,0,2552
115011621,89,3,4,0,0,96,26,4,0,0,0,33,21,0,0,0,0,23,38,0,0,0,0,40,64,3,0,0,0,71,143,9,4,0,0,158,161,13,0,0,0,167,340,25,4,0,0,367,324,23,3,0,0,355,583,24,3,0,0,613,629,11,3,0,0,645,190,14,5,0,0,203,2597,135,22,0,3,2759
115011622,53,5,0,0,0,61,12,0,0,0,0,12,9,0,0,0,0,12,8,0,0,0,0,10,14,0,0,0,0,14,54,0,5,0,0,62,56,3,12,0,0,77,132,16,61,0,0,210,148,28,29,0,0,211,313,26,24,0,5,360,556,13,10,0,0,573,110,5,8,0,0,122,1457,104,163,0,6,1723
115021297,157,5,3,0,0,168,37,0,0,0,0,35,18,4,0,0,0,25,33,3,0,0,0,42,45,6,0,0,0,48,128,14,0,0,0,145,147,6,4,0,0,153,273,12,0,0,0,291,211,10,0,5,0,225,445,27,0,0,0,468,844,11,0,0,0,855,220,9,3,0,0,233,2564,92,20,3,6,2681
