SA2_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
510011265,64,1045,1114,530,920,1450,301,137,432,270,122,391,154,66,220,175,26,199,1488,2320,3806
510011266,10,311,319,141,884,1026,84,47,131,94,74,165,68,37,110,71,10,75,467,1364,1825
510021267,7,300,300,67,307,378,40,14,56,47,20,68,43,3,49,93,4,95,298,648,948
510021268,40,532,571,323,109,431,203,37,243,212,38,250,106,12,118,64,15,80,942,748,1687
510021269,51,648,700,351,245,601,193,48,244,216,40,251,92,11,105,50,4,52,955,1003,1956
510021270,115,1255,1373,807,347,1155,535,123,660,475,79,557,261,44,305,204,19,229,2410,1872,4279
510031271,61,775,836,423,706,1129,209,79,285,255,74,325,152,30,183,70,26,94,1166,1699,2862
510031272,176,1494,1668,1181,619,1802,769,187,959,977,162,1142,459,84,533,222,42,265,3774,2595,6372
510031273,28,415,446,319,421,738,190,41,232,212,41,254,134,24,161,71,15,86,960,960,1916
511011274,137,1495,1631,1401,370,1770,566,78,640,497,65,563,238,40,274,109,13,119,2950,2055,5009
511011275,53,516,566,453,119,578,169,22,196,158,12,172,70,8,77,38,4,42,943,685,1628
511021276,50,679,728,487,609,1099,205,60,267,194,63,256,67,33,106,58,16,75,1065,1461,2529
511021277,62,844,910,448,2027,2477,175,186,361,200,226,422,91,76,167,58,59,117,1039,3412,4453
511031278,62,956,1021,630,291,924,311,81,393,293,65,366,147,30,179,87,11,100,1522,1449,2972
511031279,91,1527,1614,1216,331,1553,694,84,775,625,43,671,315,28,338,181,3,180,3122,2014,5128
511031280,83,836,917,862,163,1018,501,59,561,493,23,517,214,20,227,99,12,105,2248,1103,3347
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,39,688,732,420,204,623,175,44,220,133,50,181,57,15,68,40,5,40,872,999,1869
511031283,21,554,574,198,180,377,108,22,126,98,25,122,72,5,75,116,4,123,615,790,1400
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,109,2179,2287,1497,370,1868,551,102,658,361,45,410,160,25,181,107,13,122,2777,2736,5511
511041286,97,619,718,759,127,881,404,62,471,365,36,395,162,34,196,118,21,140,1908,897,2805
511041287,118,581,698,917,244,1164,507,55,560,463,36,500,197,15,212,80,13,92,2282,941,3225
511041288,128,889,1013,1199,173,1366,570,35,612,505,31,540,234,13,249,127,9,130,2774,1145,3916
511041289,60,520,578,517,183,705,168,27,194,143,24,167,61,11,73,19,0,20,973,766,1746
511041290,13,560,572,182,289,474,80,40,120,35,32,65,34,19,56,42,15,56,388,958,1345
511041291,36,618,654,497,225,717,137,32,172,124,21,144,48,13,64,36,8,42,875,920,1795
511041292,55,752,811,775,586,1358,228,64,293,188,73,256,103,33,136,55,18,68,1405,1526,2931
597979799,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
601011001,39,793,829,788,147,938,523,64,585,370,41,411,186,23,205,150,7,159,2055,1070,3123
601011002,42,466,506,754,81,835,458,15,474,373,14,387,164,3,163,62,0,62,1844,580,2428
601011003,31,325,355,675,58,730,329,18,338,306,4,307,98,0,102,39,3,41,1469,408,1874
601021004,53,964,1013,865,112,979,361,35,391,285,15,298,121,5,125,55,10,59,1740,1136,2879
601021005,52,514,567,1029,84,1114,519,20,540,524,10,534,235,7,244,90,3,96,2449,643,3092
601021006,26,374,397,454,46,499,208,10,223,202,3,212,69,0,75,21,0,21,985,445,1430
601021007,81,1093,1174,1618,154,1772,690,32,724,650,16,668,236,12,252,89,0,88,3363,1311,4674
601021008,39,952,993,1077,103,1184,393,38,436,361,21,384,121,9,127,51,7,57,2052,1130,3180
601021009,31,645,678,527,128,657,338,34,375,220,17,238,98,7,105,41,5,46,1253,837,2087
601021010,22,351,373,338,57,393,187,13,203,123,12,133,52,5,60,46,3,49,771,436,1205
601021011,61,824,886,861,133,996,506,48,556,393,37,428,158,13,177,99,10,105,2085,1061,3142
601021012,41,323,363,603,57,665,257,11,275,269,12,282,99,0,107,48,3,47,1323,412,1732
601031013,20,301,326,509,39,550,294,10,312,262,8,267,89,8,93,57,0,57,1228,371,1599
601031014,35,669,705,644,112,754,342,42,386,291,13,306,116,10,124,63,5,70,1497,850,2348
601031015,44,1162,1210,959,141,1094,493,44,533,373,25,398,186,8,198,91,4,99,2146,1387,3537
601031016,38,590,622,521,95,614,231,35,266,203,25,222,90,8,102,64,10,73,1149,766,1912
601031017,66,1818,1884,1296,234,1527,694,80,772,475,46,520,267,28,295,169,10,180,2972,2209,5182
601031018,23,608,635,621,69,684,296,27,326,250,13,263,106,6,113,58,0,60,1358,726,2081
601031019,37,781,821,586,118,709,315,48,359,267,23,290,116,15,128,71,4,73,1395,992,2382
601031020,57,835,890,912,110,1020,407,39,444,359,18,373,148,14,167,81,0,82,1955,1023,2978
