SA2_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
310021277,8,3,4,3,4,9,0,0,0,0,0,0,0,0,0,1899,1607,3511,100,135,235,123,9,126,22,0,23,3,4,8,22,10,31,85,74,158,2261,1851,4105,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,28,23,18,39,0,0,0,0,0,0,3,0,3,4,0,4,406,476,886,255,350,601,33,30,63,2975,2724,5706
310021278,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,581,536,1119,32,45,74,40,3,40,3,0,3,7,3,6,8,3,10,52,38,93,725,632,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,131,147,275,86,116,206,12,8,19,967,906,1864
310021279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310021280,0,9,6,4,13,19,0,0,0,0,0,0,0,0,0,3056,2665,5715,200,202,399,137,7,142,43,3,45,10,3,14,33,18,53,70,60,132,3552,2979,6534,0,3,8,0,0,0,0,0,0,11,20,26,0,0,4,0,0,0,12,22,32,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,3,43,16,58,57,40,95,0,0,0,0,0,0,0,3,3,0,3,3,359,549,907,376,579,959,21,30,53,4369,4179,8551
310021281,7,3,11,7,0,12,0,0,0,0,0,0,0,0,0,2007,1772,3781,122,111,231,113,0,112,34,0,35,3,0,8,25,13,37,60,51,113,2387,1951,4342,0,0,0,0,0,0,0,0,0,10,17,33,0,0,0,0,0,0,15,22,37,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,9,17,9,22,27,36,60,0,0,6,0,0,0,4,0,4,5,4,7,309,392,697,259,352,607,28,27,48,3016,2756,5775
310021282,28,22,57,14,8,18,0,0,0,0,0,0,3,3,6,2088,1825,3912,125,129,256,126,8,127,35,7,41,24,3,25,25,3,30,69,53,120,2536,2059,4597,0,10,9,0,0,0,0,0,0,8,13,22,4,3,3,4,3,3,11,24,38,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,6,33,15,49,44,49,95,0,0,0,3,0,3,3,0,3,5,0,8,318,394,714,230,371,596,14,17,31,3152,2890,6039
310031283,13,35,49,11,11,19,0,0,0,0,0,0,5,7,13,1894,1655,3553,117,151,268,30,3,33,29,0,32,3,6,7,10,11,19,12,29,39,2130,1904,4035,0,0,7,0,0,0,0,0,0,6,16,22,0,0,0,0,0,0,13,18,33,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,5,19,14,34,27,40,68,9,5,12,4,0,4,0,0,0,5,5,11,174,273,448,208,369,575,9,13,20,2563,2601,5162
310031284,54,70,125,4,7,11,0,0,0,0,0,0,0,13,13,1464,1161,2622,107,109,215,40,0,34,23,0,27,5,0,5,10,6,18,18,17,36,1723,1381,3107,3,9,15,0,0,0,0,0,0,13,12,17,0,3,10,0,5,4,20,28,46,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,13,8,23,33,34,75,3,0,9,0,0,0,0,0,0,9,0,10,152,219,374,187,261,448,12,6,19,2120,1915,4034
310031285,5,6,11,3,8,12,0,0,0,0,0,0,0,0,0,1134,1074,2209,84,78,161,23,0,23,24,0,24,5,0,4,8,4,9,8,19,21,1293,1198,2494,4,5,9,0,0,0,0,0,0,13,16,23,0,0,0,0,0,0,15,20,35,0,0,0,0,0,0,4,5,7,0,0,4,3,0,3,3,4,8,15,11,22,34,31,65,5,0,4,0,0,0,0,0,0,4,3,10,91,156,250,166,253,422,4,7,15,1594,1654,3252
310031286,33,25,55,7,5,7,0,0,0,0,0,0,4,3,9,882,722,1604,58,75,136,16,0,16,17,0,17,16,7,19,5,4,10,57,81,141,1097,930,2025,4,9,14,0,0,0,0,0,0,9,3,6,0,0,0,0,0,4,9,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,10,27,27,22,53,0,0,0,0,0,0,0,3,3,0,0,8,160,220,382,123,182,305,9,4,14,1418,1365,2782
