SA2_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
312021342,28,52,104,66,65,48,8,0,0,372,23,50,80,62,78,49,11,0,0,344,525,723,1635,1544,1512,1128,257,17,0,7343
312021343,4,6,18,5,11,8,10,3,0,61,6,3,17,13,10,10,4,0,0,62,127,170,376,343,410,323,92,10,0,1856
312021344,23,54,103,65,60,30,6,0,0,341,20,33,77,59,48,25,6,0,0,266,486,599,1539,1581,1375,916,203,14,0,6722
312021345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,12
312021346,6,15,35,11,18,11,0,0,0,91,0,13,26,13,15,16,3,0,0,94,88,242,494,380,371,317,64,10,0,1958
312021347,0,0,0,0,5,0,0,0,0,14,0,0,0,5,3,9,0,0,0,21,28,21,47,55,95,97,23,0,0,366
312021348,26,29,57,74,78,36,10,0,0,317,18,18,39,48,54,44,14,4,0,244,486,460,987,1303,1342,917,288,27,3,5810
312021349,16,12,51,35,29,22,6,0,0,169,9,17,41,30,25,23,3,4,0,152,174,334,653,579,550,477,109,13,0,2896
312021350,15,12,38,38,25,19,3,0,0,154,4,14,30,28,26,12,3,0,0,123,196,290,671,748,530,456,112,9,0,2997
312021351,23,24,55,38,31,15,3,0,0,184,13,21,36,54,42,26,12,7,0,208,257,324,796,901,835,615,192,30,4,3949
312021352,30,29,58,40,46,34,10,4,0,244,24,23,57,52,48,49,17,6,3,275,357,397,868,1088,1233,1004,262,19,4,5221
312021353,20,10,27,34,29,30,9,0,0,168,22,26,14,38,48,40,16,7,4,204,243,243,454,726,906,881,243,42,0,3745
312021354,11,14,31,27,21,22,7,0,0,135,3,14,25,22,23,15,0,3,0,110,239,221,588,669,639,505,107,16,0,2979
312021355,4,12,18,19,15,10,3,0,0,61,7,12,16,11,13,12,3,0,0,86,111,134,279,282,362,303,82,10,0,1548
312021356,20,32,59,34,31,24,6,0,0,207,12,14,37,26,44,16,8,5,0,151,257,321,712,668,647,564,123,13,0,3313
312021357,15,29,59,59,37,30,16,5,0,249,19,18,25,29,43,19,7,4,0,173,288,341,812,787,886,817,198,35,4,4166
312021358,5,22,41,37,31,17,5,4,0,162,11,21,28,21,27,19,7,0,0,124,187,295,611,664,661,551,174,18,4,3164
312031359,11,28,77,83,77,37,14,0,0,331,10,29,81,70,77,46,29,6,0,343,465,907,2283,1822,1588,1317,418,48,0,8843
312031360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312031361,20,19,25,52,36,37,16,0,0,196,23,23,19,37,42,35,15,4,3,194,291,240,595,826,965,828,282,46,9,4082
313011362,10,29,43,44,60,52,17,6,0,261,20,38,57,68,91,56,5,10,0,340,377,423,842,1180,1424,1260,345,32,3,5883
313011363,12,22,45,37,61,47,20,0,0,241,18,22,39,36,67,79,20,5,0,284,372,346,622,965,1449,1645,524,55,3,5985
313021364,3,20,44,40,39,22,6,0,0,171,11,19,42,46,28,19,4,0,0,170,267,347,812,728,760,448,63,3,3,3435
313021366,16,46,84,75,72,34,3,4,0,335,28,62,145,104,88,58,13,0,0,501,618,1033,2382,1853,1584,1182,279,24,0,8965
313021367,5,4,18,20,20,20,4,0,0,95,9,14,16,22,21,15,3,0,0,93,153,202,346,433,549,371,77,12,0,2148
313021368,13,31,66,34,41,16,3,0,0,205,9,35,69,54,37,29,11,0,0,243,305,626,1381,1014,886,591,120,8,0,4934
313021369,3,3,19,13,28,14,0,0,0,91,8,10,21,20,14,21,11,3,0,110,139,160,358,419,483,392,113,14,0,2071
313021572,15,25,90,63,48,35,15,0,0,278,19,43,117,67,64,28,10,0,3,356,449,753,1819,1591,1331,893,210,13,0,7068
313021573,17,27,61,48,44,26,8,0,0,224,11,35,62,59,48,37,13,0,0,268,307,426,1112,998,956,743,158,13,0,4714
313031370,4,8,17,18,11,11,9,0,0,76,5,8,25,41,22,15,9,7,0,140,144,131,480,568,539,476,175,36,0,2551
313031371,13,13,26,24,30,18,0,0,0,130,21,17,30,31,48,23,11,4,0,193,226,219,649,647,800,621,180,25,5,3368
313041372,16,47,92,62,71,47,17,0,0,348,21,49,93,92,84,49,8,7,0,412,565,876,1716,1605,1647,1252,241,16,3,7919
313041373,28,52,85,76,99,49,19,0,0,405,29,37,95,109,87,65,24,4,0,462,598,858,1537,1861,1883,1526,349,27,3,8637
313041374,3,17,30,28,24,27,0,0,0,139,10,11,40,23,26,33,9,0,0,150,220,327,536,563,665,553,95,7,0,2957
313041375,23,57,105,88,97,65,10,3,0,445,21,49,120,98,113,48,5,0,0,455,937,996,2128,2554,2517,1272,231,12,0,10654
313041376,14,0,15,16,21,12,3,0,0,77,0,5,11,19,28,17,7,0,0,85,137,135,280,296,430,275,86,9,0,1644
313051377,9,9,31,27,34,34,5,0,0,153,6,18,29,48,33,25,4,6,0,168,202,269,626,784,946,697,175,15,0,3711
