SA3_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
19797,12,0,0,0,15
20101,8216,6454,3152,1206,57176
20102,3377,2676,1073,307,16431
20103,2276,2232,1025,239,12149
20201,7342,5723,3023,1270,50016
20202,5490,4728,2258,664,28350
20203,1254,933,392,139,5746
20301,1870,1249,479,162,11206
20302,14466,10615,5583,2110,107094
20303,8995,8371,3767,1209,51723
20401,5720,4764,2135,677,30863
20402,4368,3567,1822,682,23926
20403,6805,5160,2265,651,39765
20501,4578,3661,1757,487,27819
20502,4696,4711,2335,667,24141
20503,7151,6522,2955,889,36147
20504,6045,4494,2299,934,36319
20505,3800,3217,1309,421,21524
20601,5609,3065,1067,406,55579
20602,4135,2157,761,343,32387
20603,5491,3312,1193,472,40175
20604,7455,4889,2282,786,111819
20605,8761,5479,2483,785,69303
20606,4502,3629,2131,746,43838
20607,6357,4350,1931,528,63072
20701,16698,11672,6403,2722,101683
20702,8129,5766,3946,1451,53713
20703,8592,5747,3421,1625,62548
20801,10892,7526,4210,1840,57823
20802,12676,8931,4009,1903,92296
20803,9904,6404,3245,1440,66099
20804,3827,2740,1572,708,25929
20901,10284,7608,3899,1412,70288
20902,5545,2980,1436,765,51004
20903,6934,4502,1698,399,36185
20904,12518,7358,3020,1028,115168
21001,4298,2976,1688,575,30041
21002,3020,2009,894,217,16745
21003,4139,2144,1256,834,41327
21004,3240,2020,814,252,22110
21005,9010,4573,1800,476,85099
21101,12639,8372,4172,1636,82879
21102,2735,1789,917,340,14169
21103,8728,5947,3285,1435,60328
21104,4718,3474,2157,995,34940
21105,12754,9018,4175,1138,78599
21201,6753,4263,2039,631,56047
21202,9426,5510,2522,907,64592
21203,10317,5271,2112,551,101379
21204,9378,6757,3503,1329,85001
21205,13519,9058,5775,2714,104422
21301,9723,6070,2662,984,78824
21302,6532,3784,1606,655,44369
21303,4788,2432,889,452,48924
21304,9019,5278,2017,520,87356
21305,12375,6914,2436,680,145588
21401,9976,6696,3415,1374,69227
21402,15559,13860,8232,2980,88351
21501,4971,3823,1887,792,27443
21502,4003,2731,1309,488,25077
21503,2871,2200,1024,428,16316
21601,3187,2275,1221,518,17417
21602,2340,1935,1083,347,13385
21603,4512,3114,1625,694,30018
21701,3230,2588,1144,426,17000
21703,3299,2588,1107,393,17744
21704,4306,3244,1526,616,25740
29797,147,17,0,0,530
30101,6112,4158,1720,693,36297
30102,8502,6717,3466,1171,47524
30103,5485,3378,1571,624,37316
30201,3330,2162,1084,423,24319
30202,5084,3211,1912,1134,41168
30203,2891,1766,788,343,24707
30204,4260,2800,1454,613,31251
30301,4202,2580,1106,396,30235
30302,5584,3364,1723,736,50177
30303,5141,3279,1707,624,43400
30304,2707,1611,832,315,22556
30305,3865,2399,887,338,33862
30306,3179,2208,1042,291,26113
30401,3032,2248,1005,316,18289
30402,4626,3325,1879,674,27430
30403,3816,2976,1626,552,32268
30404,3840,2606,1366,488,29387
30501,6701,3983,1660,562,65642
30502,3433,1690,632,177,26473
30503,7444,4195,2001,629,64339
30504,4829,3036,1278,376,37679
30601,5674,3824,1461,300,31464
30602,8492,5911,2685,815,57303
30603,3523,2949,1135,285,17183
30604,1885,1692,621,105,9112
30605,4292,3871,1708,479,22233
30701,3440,2245,923,293,21792
30702,3135,2114,1061,410,18687
30703,3449,3035,1440,388,18736
30801,2505,1296,364,84,15981
30803,9039,6473,2903,998,54645
30804,1200,731,310,100,7582
30805,5316,3271,1149,280,30598
30901,5584,4382,2109,728,38827
30902,5002,3987,1919,785,32290
30903,6004,5201,3090,979,36910
30904,2305,1696,732,153,11588
30905,2842,1794,760,219,18171
30906,5027,3448,1724,577,34499
30907,9523,6001,2623,636,75579
30908,3779,2790,1764,804,28916
30909,4733,3440,2133,1020,36282
30910,4624,3974,2039,489,29573
31001,4040,2352,1274,438,33622
31002,5315,3872,1678,425,29883
31003,7599,4667,2234,810,53227
31004,4701,2449,867,145,45739
31101,1122,888,418,155,6307
31102,2629,1881,998,255,20599
31103,4918,2926,1152,323,38562
31104,3619,2088,696,128,26823
31105,4033,3018,1437,543,30115
31106,4330,3309,1483,416,34874
31201,4629,2126,721,109,28498
31202,9037,5623,2410,764,55686
31203,2616,2066,642,91,14908
31301,3525,4293,2440,625,18009
31302,4662,3422,1670,580,34978
31303,1148,937,350,79,6536
31304,4439,3035,1456,404,31295
31305,5689,4781,2470,937,31909
31401,7653,4595,1807,346,46790
31402,4435,2551,1242,445,41666
31403,2444,1674,659,171,18443
31501,3258,2125,489,50,17303
31502,3213,2252,611,77,19061
31503,2066,1845,581,137,10048
31601,4644,3578,2082,886,30862
31602,8099,6602,3822,1372,50514
31603,6704,5782,2866,934,38196
31605,4977,4787,2635,833,27470
31606,5758,4633,2048,516,31271
31607,4291,3037,1518,485,25168
31608,2815,2223,921,223,13135
31701,11348,8172,4183,1328,77367
31801,3359,2820,1268,371,18750
31802,14282,9439,3968,1101,93993
31901,7669,6881,3582,921,43008
31902,4171,3678,1600,354,21773
31903,5029,4083,1777,401,24864
31904,5951,6097,3302,908,31674
31905,4574,4205,1685,391,21674
39797,27,12,0,0,308
40101,2245,1954,972,405,19964
40102,7304,5670,2366,681,41775
40103,4494,3909,2279,780,26840
40104,3890,2682,1680,655,28528
40105,3226,2565,1291,517,21873
40106,2591,1926,778,338,17270
40107,3496,3083,1509,675,22701
40201,2727,1734,921,358,16634
40202,4899,3047,1469,601,37663
40203,3889,2801,1412,478,38524
40204,7495,5064,2437,907,58351
40205,7086,5462,2928,966,47380
40301,3637,3223,1625,638,20292
40302,6964,5293,2383,895,50001
40303,6197,4908,2665,983,37580
40304,13336,10533,4980,1595,84262
40401,8553,6047,2812,1032,59067
40402,4559,2886,1067,395,28344
40403,4422,2878,1504,740,35115
40501,3115,2367,998,312,17350
40502,1963,1698,714,223,9989
40503,2203,1709,779,220,11421
40504,2350,2290,1170,367,11625
40601,4532,3236,1444,508,25491
40602,2887,1739,642,117,16393
40701,5418,6103,3104,886,27679
40702,4646,3534,1669,569,28187
40703,5350,4357,2002,620,29840
49797,5,0,0,0,28
50101,4972,4186,1885,574,29039
50102,8015,5539,2511,900,48625
50103,2294,1934,846,183,11334
50201,7794,6782,3943,1414,46619
50301,7337,5751,3557,1453,43391
50302,9191,6306,2768,1107,74491
50401,5796,4211,2042,661,44241
50402,3654,2802,1369,393,20574
50403,8816,5006,2195,689,66197
50501,14558,10363,3990,1238,83276
50502,14115,10168,5747,2249,111545
50503,12085,6929,3282,1135,92453
50601,5232,3439,1532,449,43021
50602,4968,3114,1314,507,43091
50603,6507,4656,2473,1066,52854
50604,6858,4628,2187,760,56325
50605,4252,3381,1816,615,27910
50606,1826,1031,393,90,13625
50607,3835,3030,1508,752,26155
50701,7430,4554,1878,720,57579
50702,4244,3091,1375,559,24254
50703,2127,1226,479,135,19937
50704,9591,7724,3982,1724,59579
50705,8727,5071,2736,902,60042
50901,5396,4180,2041,714,29182
50902,4992,4039,1764,443,25942
50903,1613,1110,489,168,8740
51001,4814,3823,902,106,26396
51002,3482,1046,183,23,24997
51003,3837,1548,331,18,26475
51101,1240,799,477,111,7693
51102,1939,2048,584,64,9923
51103,3745,1598,401,105,24965
51104,5211,3867,1556,478,30459
59797,465,123,24,0,2853
60101,997,778,302,63,7581
60102,4620,3544,1837,665,29912
60103,3524,2371,1348,499,27194
60104,2973,2460,1225,382,19715
60105,5107,4268,1947,741,36362
60106,1693,1190,518,129,9096
60201,6234,4630,2608,927,42510
60202,2335,1928,844,187,11259
60203,3624,3114,1367,366,18102
60301,1100,735,273,54,5451
60302,2405,1868,753,178,11292
60303,968,856,355,108,4161
60401,4016,2927,1599,484,22296
60402,3915,3204,1535,472,22159
60403,1627,1173,456,112,8477
69797,70,27,4,0,303
70101,3301,2074,628,98,21991
70102,4219,2897,1003,187,30561
70103,2468,1777,463,56,14089
70104,2009,973,269,77,17772
70201,3513,2156,488,82,20584
70202,519,397,75,5,2714
70203,1699,1286,226,15,7890
70204,756,267,47,5,5025
70205,2162,1659,301,30,12187
79797,96,35,6,0,406
80101,7093,5948,3034,886,60289
80103,185,120,50,4,1102
80104,4631,2496,997,165,48022
80105,4445,2965,1387,643,40180
80106,3376,2594,1286,530,22164
80107,7778,5258,2010,551,45901
80108,1993,1744,1161,381,13928
80109,3525,2583,1835,769,24578
80110,433,217,52,13,6929
80111,60,29,3,0,357
89797,0,0,0,0,0
90101,164,107,18,0,1243
90102,82,50,22,0,364
90103,28,26,13,0,281
90104,298,227,111,27,1274
99797,0,0,0,0,0
