SA3_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
60401,2288,3356,3169,2991,2318,2033,1884,2717,361,21110
60402,2458,3098,3256,2965,2159,2001,1620,2885,400,20845
60403,1419,948,1127,850,667,481,901,1487,163,8056
69797,14,78,74,21,9,0,18,58,0,277
70101,3286,5151,2219,2602,2488,1127,685,1148,320,19031
70102,3263,7408,3529,4147,3776,2053,1323,2357,524,28379
70103,1729,1820,2236,1559,1695,664,862,968,265,11790
70104,2073,2953,3079,3109,3059,1546,1201,1500,390,18907
70201,2325,4494,2253,3211,2121,1031,800,1482,429,18146
70202,307,454,258,393,232,94,109,376,42,2261
70203,875,1364,618,804,478,205,303,577,170,5389
70204,421,967,569,552,371,199,356,280,124,3834
70205,1164,1816,1195,1320,910,374,500,1007,192,8488
79797,12,85,63,17,0,0,8,86,4,282
80101,8764,16418,6356,6761,8115,3848,1498,3355,1148,56272
80103,148,115,106,81,79,36,45,70,17,691
80104,8066,14196,5221,5795,7596,3361,1362,2627,1081,49299
80105,8027,14078,2093,3870,4361,1912,409,1378,743,36868
80106,4400,7540,845,1475,2089,833,173,464,421,18243
80107,7333,11536,5954,5181,8470,3098,1764,2658,1059,47047
80108,2405,3983,1119,1161,1671,636,241,470,239,11921
80109,3913,7368,1603,2127,2700,1149,375,1131,400,20768
80110,1173,2728,555,678,971,356,132,247,140,6979
80111,83,87,59,32,42,12,11,25,11,365
89797,0,0,0,0,0,0,0,0,0,0
90101,114,141,161,169,98,19,80,102,18,904
90102,50,62,49,40,23,11,13,42,0,288
90103,131,45,13,25,11,0,0,6,0,237
90104,201,154,202,165,160,117,47,115,18,1181
99797,0,0,0,0,0,0,0,0,0,0
