SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
10304,189,234,432,4954,5723,10684,0,0,0,422,480,900,153,173,326,7630,8354,15987,15,23,40,115,114,226,70,90,156,29,29,59,52,54,108,16,6,24,270,292,562,303,399,696,666,745,1409,36,59,102,41,51,93,1353,1677,3032,740,775,1512,6,11,13,16885,19052,35933,276,234,509,175,147,322,25,17,41,4,0,6,73,58,129,62,122,190,143,184,325,10261,9264,19527,79,63,141,20,39,59,10365,9365,19730,2160,2161,4322,40,35,71,30257,31432,61685
10401,130,241,371,4943,5672,10611,0,0,0,310,327,642,0,0,0,4356,5016,9368,5,7,16,37,40,72,153,167,316,28,33,61,38,50,88,0,0,10,59,59,119,145,209,351,1171,1329,2497,88,105,190,66,92,152,718,834,1548,488,565,1054,0,6,10,12598,14505,27099,53,55,104,48,43,88,9,13,21,10,11,20,49,57,104,67,105,173,125,164,287,10854,9812,20663,76,64,141,38,60,97,10965,9939,20904,3284,2330,5616,67,19,84,27272,27304,54577
10402,410,608,1022,6144,7296,13437,0,0,0,667,741,1406,5,9,13,7014,8318,15330,27,28,54,94,94,192,245,318,568,36,46,81,85,117,204,17,17,37,183,220,398,611,754,1361,1145,1329,2474,61,112,169,134,163,295,1005,1360,2362,954,1279,2229,32,35,64,18453,22236,40686,195,180,378,259,218,472,57,50,107,17,22,38,962,898,1859,367,495,868,1353,1410,2761,20330,19617,39944,175,125,299,100,189,291,20601,19927,40535,3780,3767,7554,153,142,293,45262,48545,93800
10501,47,55,102,2142,2254,4400,0,0,0,110,115,231,3,7,10,2910,2982,5893,8,6,15,44,35,79,23,31,53,5,16,18,24,20,41,7,4,11,32,14,43,40,53,92,315,339,656,10,11,24,25,31,54,284,288,578,132,151,288,4,3,6,6114,6370,12491,57,56,118,52,24,79,0,0,0,0,8,8,15,9,27,10,20,34,29,36,66,3258,2624,5884,28,20,43,12,7,21,3291,2649,5942,2126,1963,4088,27,18,41,11750,11173,22928
10502,47,45,92,926,1011,1936,0,0,0,79,100,173,0,0,0,1695,2038,3732,17,22,38,25,29,50,10,14,28,15,21,33,65,86,143,6,5,17,47,53,101,51,66,113,98,91,191,49,79,131,14,22,41,490,700,1195,117,142,256,4,0,0,3708,4477,8187,41,29,69,30,24,53,0,0,3,4,0,4,0,4,0,27,41,66,33,38,74,5032,4626,9654,30,24,57,15,17,27,5070,4668,9739,1165,1130,2296,7,9,15,10101,10429,20531
10503,192,244,437,6686,7664,14347,0,0,3,533,573,1102,7,3,8,8510,9661,18169,18,17,27,74,84,153,70,85,151,21,29,49,106,112,220,20,13,31,84,94,180,264,328,595,1226,1320,2546,64,91,156,135,146,277,1358,1644,2999,759,880,1645,15,10,29,19933,22758,42688,674,615,1286,302,259,562,18,13,31,29,24,56,169,146,312,39,70,106,240,241,480,10509,9352,19860,69,49,118,32,39,64,10612,9433,20044,4601,4023,8625,51,42,93,36620,37625,74246
10601,201,347,547,9513,10785,20292,0,0,0,571,616,1189,72,69,138,8868,9565,18436,17,20,36,113,105,219,117,179,295,79,93,172,61,81,148,17,9,26,229,253,480,294,327,618,1015,1107,2119,106,143,252,179,192,370,1577,2065,3646,769,872,1642,61,56,117,23664,26530,50193,176,148,320,97,77,170,25,20,40,5,18,22,36,23,59,97,158,249,137,197,333,20388,18132,38521,137,105,245,60,85,146,20585,18322,38906,4741,2835,7575,25,40,64,49651,48508,98154
10602,190,296,484,7188,8544,15736,0,0,0,607,659,1261,95,94,191,9342,10648,19995,27,40,62,146,145,288,80,124,203,64,73,138,35,66,102,13,18,38,219,295,514,309,408,719,883,1024,1903,128,158,283,89,103,199,1215,1701,2918,869,1018,1893,27,21,42,21335,25144,46478,343,300,645,285,248,532,12,25,42,3,11,18,158,130,290,86,172,256,247,319,567,17120,15905,33022,111,100,215,42,70,112,17273,16077,33352,2284,2122,4409,37,33,72,42009,44568,86581
10603,188,332,524,7118,8220,15333,0,0,0,608,689,1301,0,0,5,7018,8005,15029,30,47,79,229,214,438,89,120,208,36,43,80,75,93,165,11,5,17,145,163,305,386,476,865,881,1030,1910,56,104,167,57,78,136,1272,1587,2855,756,854,1605,21,17,40,18787,21749,40537,148,111,252,118,77,193,27,29,48,12,8,23,30,22,46,64,119,179,103,145,250,15352,13666,29010,110,83,200,48,85,130,15512,13829,29342,2356,2205,4561,31,26,64,37273,38503,75774
10604,71,109,181,4012,4519,8529,0,0,0,142,165,313,3,5,7,3338,3391,6729,0,3,3,20,22,43,39,49,96,22,14,34,9,19,21,14,5,21,33,25,62,48,45,94,329,314,639,19,23,44,41,29,71,408,518,930,219,207,425,7,12,15,8699,9365,18063,72,56,131,58,39,102,7,8,16,6,0,0,21,19,43,26,39,63,51,61,110,5313,4434,9753,32,22,53,16,30,46,5362,4485,9847,1468,1029,2497,27,21,49,15812,15182,30996
10701,219,413,630,4864,6120,10984,0,0,0,318,343,657,62,63,118,9237,10030,19262,38,43,82,2166,2147,4311,136,171,303,55,62,113,126,141,265,45,63,112,107,127,237,351,361,718,582,699,1275,71,110,181,53,69,119,793,1078,1871,1295,1389,2681,24,25,48,20306,23035,43346,189,176,361,1219,1238,2450,14,8,23,10,5,17,33,29,61,97,127,226,139,160,301,14488,13048,27536,117,105,222,52,74,121,14653,13226,27880,2281,2124,4409,21,26,43,39051,40404,79456
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
10703,229,432,657,7139,8676,15824,0,0,0,347,435,782,0,0,3,11196,12687,23879,33,39,65,1463,1454,2918,239,313,554,45,57,105,153,204,354,65,55,123,96,119,208,348,387,737,786,964,1757,56,87,147,35,53,91,1151,1515,2669,1247,1395,2646,16,22,36,24418,28473,52896,153,170,320,454,489,948,33,25,61,14,15,22,21,24,51,85,152,234,117,188,308,19543,17836,37373,133,106,240,63,92,158,19743,18029,37774,2956,2780,5737,42,40,82,48143,50627,98766
10704,745,1078,1829,7265,8753,16022,7,6,12,503,581,1082,90,96,190,13678,15713,29393,41,66,107,2459,2512,4973,186,246,432,57,76,139,148,201,350,138,108,247,238,266,509,436,580,1017,1072,1264,2337,113,157,270,60,84,141,1369,1897,3268,1609,1790,3393,39,40,76,29525,34438,63962,938,656,1599,1680,1459,3144,68,71,140,8,6,10,120,108,224,165,272,436,291,382,678,28294,25619,53913,301,252,559,116,201,318,28717,26074,54788,3983,3952,7940,77,92,164,66023,68209,134238
10801,94,156,246,3524,4179,7704,3,0,3,188,221,403,0,0,0,2908,3364,6272,15,23,34,50,36,86,91,115,207,27,39,66,35,30,73,8,7,19,89,122,215,35,68,98,396,499,887,40,52,97,23,39,62,519,712,1235,267,353,628,6,12,19,8230,9873,18103,75,73,151,40,29,68,10,9,14,10,7,13,9,13,28,34,40,74,63,59,118,6366,5783,12146,44,29,76,28,44,72,6439,5855,12291,1402,1449,2852,20,15,42,16372,17521,33899
10802,149,213,366,4088,4626,8719,0,0,0,159,176,337,0,0,0,4436,4926,9359,7,15,19,55,52,107,209,268,479,18,19,37,23,54,76,0,0,3,63,79,142,193,261,458,648,777,1425,115,150,270,283,342,623,863,1175,2036,432,510,937,11,12,15,11599,13433,25031,89,80,165,41,25,63,17,22,43,26,41,66,48,37,87,66,103,177,144,177,323,10405,9656,20057,66,65,135,50,70,122,10517,9794,20314,3280,2516,5791,37,23,59,25874,26285,52157
10803,7,0,6,21,31,58,0,0,0,0,0,0,0,0,0,21,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,13,24,37,0,0,0,7,11,18,0,0,0,73,100,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,108,228,4,0,4,0,0,0,129,107,238,31,24,49,4,4,8,231,235,464
10804,241,371,614,7707,9330,17033,0,0,0,409,487,896,5,5,6,8078,9776,17846,16,32,50,111,122,235,160,210,362,34,43,80,91,122,210,23,27,53,314,336,657,313,392,707,1134,1312,2448,110,157,264,198,258,454,1304,1802,3106,996,1233,2225,20,30,49,21026,25668,46696,201,190,394,104,108,209,34,25,58,8,7,15,55,34,88,96,169,264,155,205,364,17013,15866,32885,149,106,258,52,127,182,17221,16109,33326,2885,2791,5678,67,53,119,41928,45521,87451
10805,148,239,389,5969,6657,12626,0,0,0,531,566,1096,3,0,4,4215,4758,8975,24,29,45,77,83,153,187,249,441,50,60,109,40,52,94,9,11,19,94,88,186,149,189,342,858,968,1819,121,170,283,112,144,258,965,1340,2302,656,779,1432,11,26,31,14057,16171,30227,71,75,148,68,69,133,20,26,44,29,20,44,20,21,35,52,101,151,99,138,240,11034,10349,21384,63,58,120,45,63,106,11140,10477,21618,2433,2325,4757,18,13,33,28056,29538,57600
10901,195,303,499,3842,4794,8638,0,0,0,310,321,633,69,69,141,6813,7733,14548,15,24,42,153,142,295,88,136,227,33,36,72,800,958,1757,6,13,17,62,69,132,339,423,766,847,991,1839,40,65,100,113,118,226,909,1256,2159,667,743,1413,16,19,37,15125,17908,33028,709,606,1314,198,156,355,19,20,44,0,3,3,370,307,682,80,118,198,452,427,885,13008,12411,25417,84,50,138,38,51,95,13130,12519,25645,2557,2330,4885,25,23,52,32412,34292,66703
10902,53,61,116,867,960,1827,0,0,0,29,37,68,0,0,0,1507,1493,2998,10,11,24,22,20,44,16,17,32,3,11,11,40,40,80,3,0,0,20,21,36,41,45,88,199,219,424,5,6,10,20,29,48,248,306,553,142,136,279,4,7,7,3169,3362,6530,24,13,42,26,26,53,0,0,0,3,5,3,16,16,28,10,10,20,29,29,60,2587,2092,4681,12,7,14,8,4,18,2607,2105,4713,1033,825,1857,70,24,91,7022,6442,13467
10903,79,110,185,2992,3491,6479,0,0,0,226,237,461,0,5,6,4770,5179,9949,12,28,44,37,50,88,33,47,78,15,47,60,99,110,210,3,3,11,36,46,90,42,51,91,808,817,1625,28,29,58,10,12,22,1129,1406,2541,259,294,552,7,3,11,10506,11868,22379,60,40,102,52,28,77,9,7,14,4,5,11,23,19,46,27,40,66,55,65,121,8265,7468,15728,28,20,50,12,12,26,8303,7500,15805,2056,1895,3953,10,24,39,21124,21543,42669
11001,141,215,356,3296,3816,7108,0,0,0,123,165,288,89,73,169,2957,3405,6365,8,7,21,42,45,88,77,96,180,20,20,40,40,37,80,3,4,0,50,39,89,102,130,236,663,760,1426,47,59,104,81,85,164,384,508,893,303,384,690,13,14,26,8288,9666,17955,222,224,446,208,175,382,15,14,26,13,9,22,46,52,98,305,375,688,369,438,807,6612,6290,12900,81,60,136,27,44,75,6720,6391,13112,2073,2170,4240,34,20,52,18062,19317,37382
11002,70,95,164,4425,4897,9328,4,0,4,135,146,279,6,0,3,3430,3824,7254,14,20,40,25,24,53,71,98,168,8,11,21,40,56,93,0,3,6,51,36,86,123,158,279,831,830,1657,101,141,239,63,91,158,690,837,1529,462,558,1019,30,24,55,10515,11757,22276,72,58,127,31,21,55,9,12,22,14,11,22,10,13,20,40,71,111,68,88,157,6035,5503,11536,36,23,59,25,29,50,6095,5552,11646,2405,2093,4502,111,56,168,19377,19742,39121
11003,42,56,105,2889,3028,5916,0,0,0,64,76,137,0,0,0,2765,2891,5656,3,8,9,29,30,61,17,36,53,6,10,18,41,45,88,3,0,3,25,28,54,84,103,187,432,422,850,43,48,88,31,32,66,266,300,565,276,286,558,4,3,9,6984,7331,14316,51,38,95,31,23,57,4,0,4,19,15,37,11,7,14,13,25,39,45,50,90,3498,2933,6420,13,9,19,9,5,17,3515,2949,6464,2299,2117,4414,26,17,41,12985,12586,25572
11004,214,276,487,9548,10937,20481,0,0,0,360,385,743,86,94,182,8678,9799,18472,11,17,25,63,55,113,123,155,277,36,39,74,50,76,130,13,16,24,120,103,219,316,388,706,1155,1325,2480,94,106,190,84,77,159,1304,1562,2863,836,888,1719,32,22,52,22903,26026,48929,300,278,578,208,156,358,14,3,13,30,25,56,103,79,182,74,150,228,203,257,457,14057,12319,26381,76,70,151,29,44,68,14159,12434,26594,4032,3717,7751,74,32,105,42109,43168,85278
11101,361,545,910,8806,10800,19607,4,0,4,1135,1312,2447,28,30,57,10843,12800,23643,24,33,60,543,548,1091,163,211,376,123,137,256,110,154,264,13,25,39,288,325,620,886,973,1858,1269,1565,2828,144,222,371,198,244,440,2061,3073,5134,1326,1612,2945,89,89,176,28057,34147,62205,329,294,622,219,217,432,35,50,88,8,10,18,87,60,147,124,225,344,214,296,517,28218,25655,53876,203,153,359,84,145,225,28509,25954,54467,3094,2932,6023,42,43,90,60871,64478,125348
11102,238,399,632,5968,7294,13265,0,0,0,688,804,1488,35,38,75,6518,7678,14198,16,32,48,190,163,353,195,256,454,61,59,116,57,92,149,19,18,37,167,236,402,396,483,880,793,870,1661,143,185,323,1323,1560,2888,1410,1910,3317,1124,1269,2393,151,173,322,19255,23110,42369,273,253,525,209,170,382,13,19,35,7,14,20,40,42,87,80,118,191,125,172,297,18136,16378,34511,159,124,282,62,115,180,18358,16616,34977,2349,2255,4602,25,35,54,40852,43024,83872
11103,827,1062,1895,10271,12194,22472,0,0,0,1175,1273,2448,29,22,48,15548,17989,33543,45,48,89,1358,1431,2794,128,179,307,104,128,236,104,121,234,47,44,93,512,563,1079,737,872,1609,1429,1664,3085,205,247,454,208,246,460,2186,3008,5195,2064,2403,4471,56,79,134,36215,42521,78735,1018,852,1865,1623,1226,2849,83,78,161,25,20,44,184,142,325,204,314,522,413,469,889,40528,38226,78752,447,359,809,120,236,357,41101,38817,79916,5893,5477,11368,126,135,258,87299,90643,177937
11201,485,773,1257,4786,5531,10313,0,3,3,281,364,652,0,0,6,6507,7674,14182,7,13,21,127,147,278,173,206,382,28,31,59,81,105,181,10,7,14,81,100,181,297,411,714,1046,1217,2257,49,54,104,131,191,318,1004,1303,2302,663,842,1508,36,45,80,15312,18243,33554,162,157,322,73,68,140,265,260,525,18,22,42,76,69,153,163,245,405,258,340,594,21489,21399,42890,154,130,289,178,334,515,21828,21864,43691,4201,4143,8345,121,107,227,42704,45958,88665
11202,312,420,728,4434,5197,9630,0,0,0,303,356,659,4,6,17,6395,7123,13520,14,19,30,57,69,133,154,177,328,32,36,69,50,64,108,7,5,7,96,95,187,313,424,739,1301,1398,2701,67,78,150,205,212,417,1265,1536,2802,865,980,1846,132,127,252,15697,17896,33594,106,117,227,91,90,178,39,29,71,15,20,27,69,73,141,184,326,512,263,411,682,14855,13785,28637,142,139,278,89,116,200,15085,14037,29121,3901,3796,7700,84,64,156,35583,36877,72453
11203,377,611,989,6549,7949,14492,0,0,0,387,466,850,0,0,0,8849,10430,19283,43,66,110,145,161,308,345,416,761,44,64,106,108,158,264,18,18,33,117,169,283,430,561,985,1220,1428,2648,40,76,116,324,386,708,1049,1440,2491,948,1171,2117,31,40,70,20644,24999,45638,375,360,731,56,52,107,64,75,142,16,16,31,152,140,291,140,230,370,308,384,689,20688,19736,40421,137,122,259,122,231,353,20944,20092,41032,4417,4380,8797,53,63,123,47229,51015,98247
11301,117,173,291,3163,3618,6775,0,0,3,161,179,343,106,122,229,8028,8331,16363,20,9,29,45,35,84,53,77,131,85,80,165,98,99,197,17,15,31,113,97,211,281,325,602,675,781,1457,36,48,84,155,192,345,994,1141,2139,391,457,850,13,7,22,14448,15617,30065,805,679,1482,528,368,896,4,8,17,4,0,7,610,515,1120,47,48,90,660,559,1226,5976,5077,11053,56,38,98,10,17,30,6045,5136,11179,2488,2175,4666,133,57,185,25235,24774,50003
11302,43,59,93,1706,1796,3507,0,0,0,84,91,175,0,0,0,1687,1807,3494,0,0,0,16,17,37,34,39,67,4,0,8,23,31,54,0,0,0,15,16,26,58,65,123,216,203,420,6,7,15,34,44,78,171,219,388,126,147,267,5,3,6,4177,4505,8681,37,37,71,20,11,32,0,3,4,4,7,11,9,4,11,12,20,32,27,30,59,2406,2054,4454,8,13,17,3,13,17,2419,2076,4495,861,671,1535,6,0,13,7591,7389,14978
11303,266,298,565,7915,9240,17155,0,0,0,582,626,1207,98,93,194,12900,14292,27191,41,33,74,129,126,262,93,119,212,56,49,109,452,570,1024,112,118,232,256,205,458,386,481,865,1677,1917,3590,73,96,169,108,106,218,1692,2105,3792,897,996,1893,17,17,32,27491,31198,58687,463,377,841,387,335,720,15,20,33,6,13,19,144,106,249,487,580,1072,642,699,1342,15588,14154,29739,117,81,196,36,61,99,15743,14292,30037,4609,3316,7925,146,42,192,49756,50575,100334
