SA3_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
10304,51,283,1637,8576,7516,1535,325,1098,21025,6,223,855,335,38,0,9,145,1617,0,90,74,49,8,0,0,33,253,10,312,930,388,48,0,3,177,1869,10,152,322,69,15,0,4,78,647,0,3,27,3,0,0,0,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,0,0,0,18,10,167,350,69,16,4,0,108,727,16,53,36,61,68,25,5,32,304,7,10,11,23,11,3,0,12,77,86,831,2959,9127,7658,1570,348,1420,23994
10401,125,441,2420,8663,5037,944,217,1130,18972,5,134,432,246,20,7,0,97,936,0,33,229,221,29,7,0,44,562,11,168,656,466,44,7,0,135,1494,10,142,428,173,15,5,4,84,857,0,6,73,32,0,0,0,14,129,0,5,16,6,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,19,11,9,5,0,0,8,47,10,171,532,218,25,7,4,109,1066,159,342,155,109,55,13,0,149,976,16,51,25,13,4,6,0,12,137,318,1173,3781,9480,5169,973,225,1533,22655
10402,139,696,2915,12048,9167,1929,494,1469,28864,5,159,1214,705,65,11,0,192,2351,5,82,486,806,129,19,4,108,1653,9,234,1703,1511,197,28,11,299,4001,23,343,1485,491,34,5,0,262,2637,3,63,264,57,5,0,0,31,429,0,54,133,73,10,0,0,21,289,5,0,75,43,0,0,0,0,121,3,34,26,12,9,7,0,3,91,40,494,1978,674,48,9,3,319,3567,195,388,220,106,35,5,7,208,1156,23,52,47,40,13,4,0,20,207,405,1870,6863,14380,9467,1980,518,2313,37796
10501,39,232,937,2916,1979,374,113,1341,7938,0,95,148,29,0,4,0,66,345,0,0,0,0,0,0,0,0,8,0,95,154,34,6,4,0,63,354,8,74,88,21,0,0,0,53,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,74,90,21,0,3,0,53,249,68,186,98,65,21,5,3,144,589,16,57,55,37,23,15,15,46,262,134,638,1333,3074,2031,393,131,1651,9382
10502,26,190,1430,4247,1363,254,86,693,8289,0,62,86,24,11,0,0,26,216,0,3,14,12,0,0,0,4,25,0,68,97,34,11,0,0,30,242,0,101,85,7,0,0,0,47,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,101,85,7,3,0,0,47,240,39,70,13,10,0,3,0,30,153,25,43,27,31,23,9,8,26,188,88,469,1646,4324,1402,268,94,820,9114
10503,86,373,2104,9732,8650,1531,345,2285,25108,3,136,1014,316,70,8,0,219,1773,0,8,39,19,0,4,0,20,84,3,145,1049,335,70,12,4,239,1860,24,344,808,88,13,0,3,206,1496,0,8,11,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,3,0,0,4,28,24,359,824,95,21,0,3,218,1540,34,58,78,34,22,4,0,108,335,12,31,13,27,22,8,5,57,180,166,967,4067,10215,8785,1553,361,2904,29023
10601,99,529,3490,13620,11162,2000,523,1509,32926,0,172,891,760,63,0,0,182,2079,0,99,243,117,17,0,0,43,525,0,270,1137,878,81,3,0,227,2605,4,150,247,72,5,0,0,56,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,9,6,3,0,4,66,4,157,275,84,18,3,0,60,610,28,113,37,18,4,0,4,64,272,6,16,33,14,18,9,3,6,97,140,1093,4972,14610,11282,2016,535,1864,36513
10602,22,154,1718,10111,12970,1936,338,852,28109,4,172,1274,853,128,3,3,140,2584,0,142,279,137,47,8,4,51,671,4,319,1555,987,173,8,10,190,3253,12,253,315,49,4,0,0,70,698,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,7,32,11,9,0,0,6,75,15,270,362,62,17,0,0,76,806,14,60,102,26,3,3,0,16,227,5,13,3,17,11,3,0,4,51,62,816,3744,11200,13175,1958,351,1146,32449
10603,60,317,2347,9660,9320,1816,423,1018,24957,0,101,1185,765,64,7,0,153,2281,0,69,309,1175,299,26,6,110,1987,0,167,1491,1937,366,26,6,261,4267,4,103,165,67,13,3,3,46,405,0,26,137,82,3,0,0,11,266,0,14,274,157,13,0,0,13,475,0,0,0,0,0,0,0,0,0,0,6,21,19,7,0,0,0,61,6,146,602,323,43,8,6,74,1205,60,190,185,59,10,6,0,139,645,11,30,31,27,9,0,0,17,121,137,851,4648,12015,9741,1853,437,1512,31197
10604,28,172,953,4477,3778,730,156,654,10948,3,134,398,242,33,3,4,99,911,0,30,89,64,5,0,0,31,220,5,156,495,307,37,3,3,125,1135,0,25,45,16,0,4,0,5,92,0,0,9,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,57,20,0,4,0,6,115,7,48,43,11,3,3,0,13,139,12,13,8,12,5,4,4,0,60,57,420,1555,4833,3822,748,161,805,12392
10701,39,302,2148,12059,8121,1650,365,998,25678,12,160,560,486,62,9,0,94,1388,3,97,290,599,54,7,4,106,1165,16,253,847,1087,115,14,6,203,2547,17,346,668,200,20,11,3,140,1409,3,50,144,44,5,0,0,53,303,0,25,14,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,22,43,29,11,10,0,3,122,25,443,868,272,39,11,8,202,1876,0,22,59,22,4,3,0,20,128,0,7,7,11,0,0,0,7,38,87,1029,3929,13448,8282,1688,378,1425,30268
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,30,174,1215,12366,11678,2475,462,1041,29441,12,117,1066,922,74,4,0,130,2333,0,134,788,1661,305,16,6,154,3062,13,249,1855,2583,382,22,5,287,5399,10,240,718,219,30,3,6,109,1339,0,18,169,103,0,0,0,14,301,0,95,232,67,6,0,5,24,429,0,0,0,0,0,0,0,0,0,3,15,34,32,23,10,0,7,114,10,370,1151,418,63,10,8,154,2188,16,116,206,28,9,0,0,79,457,0,13,21,20,8,0,0,10,65,78,918,4449,15405,12139,2513,478,1566,37542
10704,33,317,2704,13423,10314,2809,620,895,31105,14,290,1293,909,82,10,5,162,2770,7,371,1588,2555,244,27,7,262,5055,24,659,2873,3463,329,35,13,423,7824,46,800,2592,812,99,23,14,290,4658,16,329,1979,398,12,3,0,247,2982,26,444,2318,959,37,0,3,226,4013,12,243,1114,657,37,0,0,95,2168,3,45,63,27,26,9,7,13,194,97,1860,8067,2854,209,37,17,872,14019,27,128,193,75,24,12,0,46,516,6,25,33,29,7,4,9,30,145,194,2989,13875,19851,10880,2901,654,2262,53608
10801,54,222,1298,4938,3162,589,128,654,11038,3,62,537,831,35,0,0,75,1537,0,41,108,102,18,0,0,20,286,3,103,642,932,46,0,6,98,1819,15,206,528,140,8,4,4,85,982,5,43,301,52,0,0,3,27,428,0,29,283,73,5,0,0,25,414,0,4,36,48,0,0,0,12,100,0,3,7,0,0,0,0,0,5,15,275,1152,313,9,6,10,149,1940,43,138,165,39,7,0,0,74,470,9,20,14,11,4,0,0,12,66,120,758,3271,6227,3234,596,137,986,15335
10802,115,523,2873,8395,4381,805,217,1313,18625,12,66,247,175,27,6,0,77,607,0,48,125,85,4,4,0,27,295,12,119,372,262,25,10,0,103,905,13,168,523,131,17,0,0,129,986,0,14,118,51,0,0,0,21,202,0,0,8,16,0,0,0,7,36,0,0,0,0,0,0,0,4,0,3,4,5,3,8,0,0,5,33,21,185,660,201,21,0,3,157,1252,107,222,123,45,21,3,0,216,738,14,34,39,15,4,0,0,15,125,273,1085,4068,8918,4463,820,220,1801,21644
10803,0,14,21,55,33,4,0,17,150,0,0,0,0,0,0,0,0,0,0,11,0,3,7,0,0,6,32,0,11,0,5,7,0,0,6,34,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,13,0,5,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,66,43,6,0,26,193
10804,70,377,2859,11545,9171,1851,382,1153,27403,5,187,1826,1226,101,8,8,349,3718,3,66,352,595,95,16,0,66,1191,10,257,2171,1825,197,21,8,417,4904,6,410,872,294,12,4,0,133,1735,0,32,476,95,6,0,0,30,640,14,144,560,259,7,0,0,50,1032,0,13,78,58,0,0,0,3,155,3,0,4,9,22,0,0,7,45,24,605,1991,716,47,4,3,224,3613,68,174,128,38,17,0,5,140,567,7,35,37,28,12,3,0,28,149,177,1450,7178,14147,9441,1880,397,1967,36641
10805,110,380,2343,9676,6097,1047,273,1295,21223,13,182,821,252,21,0,0,108,1398,0,10,86,125,26,5,0,19,269,13,192,909,374,47,10,0,127,1664,12,215,518,94,10,5,0,106,966,7,15,27,14,0,0,0,6,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,16,22,227,555,106,13,3,0,118,1050,37,106,92,30,11,0,3,114,389,10,19,18,14,4,0,0,33,101,186,930,3909,10202,6164,1063,281,1686,24428
10901,34,199,2349,10095,7495,1137,223,1201,22737,10,447,2454,530,36,4,5,331,3826,0,126,181,103,19,10,0,70,495,14,575,2633,633,55,9,5,397,4320,0,90,102,21,0,0,0,19,240,4,8,64,0,0,0,0,11,84,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,3,95,186,29,4,0,0,40,363,18,25,28,19,13,0,0,44,144,0,3,8,21,14,0,5,18,69,69,911,5209,10787,7569,1151,235,1698,27631
10902,15,84,556,1946,1269,221,54,599,4755,0,45,131,22,8,0,0,51,259,0,0,4,0,0,0,0,0,3,0,43,133,22,7,0,0,51,268,0,4,31,8,0,0,0,26,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,10,0,0,0,26,75,14,36,19,8,4,0,0,70,148,8,12,11,13,8,3,4,19,78,41,179,753,2003,1287,227,59,764,5319
10903,44,220,1764,7554,4681,716,152,1314,16440,0,157,1056,200,16,7,0,164,1598,0,0,9,12,3,0,0,3,32,0,157,1071,212,16,9,0,164,1628,3,17,72,11,3,0,0,22,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,72,11,3,0,0,22,139,23,63,79,37,16,0,3,67,284,6,12,30,23,15,5,0,54,145,78,474,3009,7836,4730,730,159,1617,18631
11001,35,241,1340,5544,3762,896,247,829,12903,6,150,621,192,20,7,0,102,1094,0,33,81,43,10,0,0,16,184,6,179,698,234,25,11,0,121,1279,8,158,245,49,4,0,3,71,540,0,7,34,5,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,10,8,172,284,58,4,5,3,74,605,11,30,38,13,6,0,0,59,158,0,6,12,4,6,0,4,12,47,67,627,2368,5862,3812,913,253,1106,14997
11002,117,446,2076,6663,3690,742,189,1393,15316,10,140,291,116,13,5,3,120,688,0,24,41,3,4,0,0,14,98,10,171,333,119,16,5,3,133,783,0,89,93,16,0,3,0,33,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,93,92,19,9,0,0,42,253,58,88,28,20,17,3,0,91,301,17,32,11,16,3,4,7,14,102,199,824,2538,6842,3732,750,204,1667,16755
11003,37,156,770,3328,2335,482,145,1342,8590,14,111,430,95,46,14,12,193,913,0,11,57,23,0,0,0,26,116,14,117,487,117,51,13,12,219,1035,0,31,55,18,0,0,0,52,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,33,55,18,0,0,0,52,159,53,114,23,19,8,0,5,51,263,13,35,8,21,11,5,7,14,123,121,457,1343,3494,2405,503,162,1676,10164
11004,80,382,2631,12669,9893,1833,440,2153,30085,21,318,1382,430,34,4,0,334,2526,5,96,238,66,11,0,0,56,471,26,413,1619,489,48,7,0,393,2989,14,126,261,48,7,6,0,73,541,0,0,21,0,0,0,0,10,29,0,0,23,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,4,0,27,14,135,317,60,10,6,3,84,627,38,103,38,22,7,5,8,150,370,7,32,31,31,12,3,4,33,158,166,1066,4632,13282,9976,1845,460,2810,34224
11101,49,454,4543,18173,13087,2946,493,1204,40951,7,387,2056,1050,60,10,5,208,3773,3,157,736,997,106,5,5,134,2133,10,534,2789,2042,162,18,10,343,5908,26,500,800,209,14,0,3,170,1719,3,58,116,52,0,0,0,18,245,0,169,311,130,5,0,0,33,647,0,58,134,61,0,0,0,0,258,4,23,34,26,5,3,0,12,108,28,804,1401,471,27,7,3,236,2977,26,65,61,22,7,3,0,27,216,5,15,11,4,3,0,0,19,65,125,1880,8812,20711,13287,2978,504,1832,50114
