SA3_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
31401,39,2080,983,440,2626,0.8,2413,2.9
31402,33,1820,861,380,2071,0.8,1858,2.8
31403,36,1625,764,360,1891,0.8,1605,2.6
31501,36,1500,656,144,1426,1,1418,2.9
31502,37,1473,988,220,2328,0.9,1843,2.6
31503,49,929,782,160,1825,0.8,1309,2.3
31601,40,2000,773,465,2059,0.8,1736,2.6
31602,44,1950,747,450,1908,0.8,1541,2.5
31603,47,1826,778,420,1905,0.8,1485,2.2
31605,48,2000,784,500,1921,0.7,1593,2.4
31606,44,1863,715,400,1856,0.8,1622,2.6
31607,41,1777,713,385,1843,0.8,1526,2.6
31608,48,1799,670,415,1742,0.8,1491,2.6
31701,37,1517,752,310,1892,0.7,1496,2.5
31801,47,1213,657,205,1669,0.8,1243,2.3
31802,36,1517,846,310,2082,0.8,1689,2.5
31901,47,1300,599,285,1441,0.8,1165,2.4
31902,48,1083,529,230,1304,0.8,1024,2.3
31903,48,1326,554,290,1359,0.8,1116,2.4
31904,52,1430,556,340,1329,0.7,1107,2.3
31905,51,1177,502,260,1243,0.8,1005,2.3
39797,40,400,1359,0,2750,1,2250,1.5
40101,34,1733,778,400,2220,0.9,1476,1.8
40102,42,1733,851,350,2244,0.8,1890,2.6
40103,44,2300,959,360,2686,0.8,2067,2.5
40104,40,1733,759,345,2063,0.8,1594,2.5
40105,40,2000,871,340,2338,0.8,1661,2.2
40106,39,2000,965,345,2543,0.8,2013,2.5
40107,42,2167,975,350,2697,0.8,1995,2.3
40201,40,1500,732,290,1895,0.7,1489,2.5
40202,33,1300,625,265,1486,0.8,1252,2.6
40203,35,1603,736,320,1917,0.8,1551,2.5
40204,36,1300,642,300,1591,0.8,1362,2.7
40205,41,1517,777,330,2030,0.8,1628,2.5
40301,48,1950,885,340,2347,0.8,1610,2.2
40302,39,1700,772,330,2036,0.8,1551,2.4
40303,42,1985,879,335,2518,0.8,1983,2.6
40304,41,1451,708,314,1783,0.7,1412,2.5
40401,40,1733,775,325,2067,0.8,1555,2.4
40402,40,1517,689,295,1815,0.8,1382,2.3
40403,38,1742,802,310,2120,0.8,1587,2.3
40501,44,1397,734,285,1874,0.8,1477,2.5
40502,49,1080,627,220,1473,0.7,1154,2.3
40503,47,888,576,184,1433,0.7,1052,2.2
40504,55,1083,555,240,1308,0.7,995,2.1
40601,43,1160,704,200,1672,0.7,1257,2.3
40602,39,1131,904,190,1727,0.8,1419,2.4
40701,55,1300,587,280,1369,0.7,1085,2.2
40702,43,1083,729,206,1734,0.7,1316,2.3
40703,47,1083,615,220,1425,0.7,1115,2.3
49797,42,0,1828,0,0,0,0,0
50101,43,1733,757,365,1867,0.7,1482,2.5
50102,40,1612,742,300,1962,0.7,1550,2.5
50103,48,1387,663,250,1613,0.7,1237,2.3
50201,44,1733,617,300,1664,0.7,1283,2.4
50301,41,3285,1091,460,3945,0.8,2773,2.6
50302,36,2167,1136,390,2945,0.9,2082,2.1
50401,38,1853,853,340,2236,0.8,1733,2.3
50402,42,1950,789,330,2219,0.7,1830,2.6
50403,35,1842,825,340,2116,0.8,1849,2.8
50501,41,2080,893,400,2529,0.7,2158,2.7
50502,38,1950,890,350,2313,0.8,1779,2.4
50503,35,1896,800,350,2147,0.8,1889,2.8
50601,34,1750,801,305,2061,0.8,1768,2.8
50602,36,1842,938,350,2259,0.8,1757,2.3
50603,36,1820,751,350,2125,0.8,1795,2.7
50604,36,1733,717,330,1930,0.8,1652,2.8
50605,40,1907,820,370,2215,0.7,1863,2.6
50606,33,1975,884,380,2241,0.8,2094,3
50607,39,2200,992,360,2761,0.8,1997,2.2
50701,36,1946,902,370,2340,0.8,1982,2.6
50702,43,2167,971,380,2694,0.8,1936,2.3
50703,33,1725,792,315,1996,0.8,1712,2.7
50704,42,2197,896,400,2654,0.7,2099,2.6
50705,36,1733,767,330,2077,0.7,1718,2.6
50901,44,1480,708,280,1723,0.7,1318,2.4
50902,47,1424,719,231,1759,0.7,1358,2.3
50903,45,1105,817,200,1858,0.7,1378,2.3
51001,39,2123,904,216,1950,1,1680,2.8
51002,37,1479,1879,189,3164,0.9,2497,2.7
51003,37,2000,1750,220,3426,0.9,2795,2.8
51101,41,1517,854,260,2014,0.7,1539,2.4
51102,50,1733,801,255,1998,0.9,1444,2.4
51103,36,1517,1346,280,2663,0.8,2157,2.5
51104,43,1517,794,250,1908,0.7,1445,2.4
59797,45,1733,2700,0,1375,0.7,1833,1.7
60101,35,1400,700,280,1612,0.8,1363,2.6
60102,40,1538,823,350,1996,0.8,1598,2.4
60103,37,1300,680,320,1609,0.9,1307,2.4
60104,39,1647,811,385,2072,0.8,1712,2.6
60105,38,1800,888,390,2323,0.9,1835,2.3
60106,42,1404,730,350,1732,0.8,1410,2.4
60201,39,1300,708,285,1737,0.8,1344,2.3
60202,48,1300,612,250,1517,0.8,1210,2.4
60203,49,1194,600,230,1426,0.8,1106,2.3
60301,45,1200,647,240,1562,0.8,1279,2.4
60302,47,1300,617,290,1521,0.8,1243,2.4
60303,56,1100,584,250,1248,0.8,986,2
60401,44,1200,626,240,1540,0.8,1167,2.3
60402,45,1300,639,250,1523,0.8,1214,2.3
60403,44,1051,677,200,1577,0.8,1236,2.3
69797,47,0,1643,0,0,0,0,0
70101,37,2000,1246,420,2636,0.9,2232,2.3
70102,36,2015,991,350,2401,0.9,2112,2.7
70103,40,2212,1069,380,2670,1,2189,2.8
70104,31,2037,1110,400,2455,0.9,2185,2.8
70201,35,1798,908,280,2089,1,1822,2.8
70202,35,1144,593,143,1084,1.1,1459,3
70203,36,1300,383,85,772,1.4,1317,3.5
70204,31,1448,380,80,1143,1.4,1955,4
70205,35,1575,654,200,1316,1.2,1627,3.2
79797,48,0,2208,0,0,0.7,1649,2.3
80101,35,2000,1096,430,2628,0.8,2224,2.5
80103,39,1701,932,295,2010,0.9,1222,2
80104,32,2123,1193,462,2829,0.9,2531,2.9
80105,31,2078,1235,480,3175,0.9,2337,2.2
80106,40,2256,1596,500,3726,0.9,2715,2.2
80107,38,2000,1138,425,2709,0.8,2302,2.6
80108,41,2251,1207,420,3018,0.7,2375,2.6
80109,39,2167,1253,440,3106,0.8,2367,2.4
80110,31,2098,1459,475,3153,0.9,2731,2.7
80111,33,2296,1320,340,3026,0.9,2931,3.1
89797,52,0,1625,0,0,0,0,0
90101,39,1300,1322,150,2659,1,2073,2.5
90102,45,1528,829,231,1678,1.1,2449,3.8
90103,30,1849,1061,100,1687,0.8,1821,3
90104,51,1300,750,250,1630,0.8,1197,2.1
99797,0,0,0,0,0,0,0,0
