SA3_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
50501,61114,65500,126617,30641,16835,47476,9152,21265,30416,1879,2383,4266,2141,1719,3860,43810,42201,86013,15712,21639,37352,4.9,4.1,4.5,71.7,64.4,67.9,68.2,61.8,64.9,3406,3075,6475,1281,2578,3863,10244,13935,24180,6388,7856,14240,15927,7401,23331,663,991,1653,859,1808,2666,17445,10200,27651,65135,68049,133184,8704,9265,17969,46544,48512,95054,23588,25215,48804
50502,79789,88201,167992,38440,24732,63170,12519,24417,36929,2344,2957,5302,2705,2495,5202,56009,54595,110602,20296,29961,50254,4.8,4.6,4.7,70.2,61.9,65.8,66.8,59.1,62.7,5972,6091,12065,1859,3376,5231,16909,21046,37948,7866,9384,17256,14363,7802,22166,767,1190,1958,1000,1929,2927,16128,10923,27056,79083,85363,164443,13622,14722,28347,49451,53901,103352,37869,41169,79040
50503,74814,82160,156971,38147,21940,60084,10618,24642,35258,2959,3088,6049,3158,3148,6311,54879,52820,107704,17237,26354,43591,5.8,6,5.9,73.4,64.3,68.6,69.1,60.5,64.6,2248,2400,4655,796,1911,2699,7717,12436,20152,6490,9639,16124,20736,11881,32622,1159,1805,2959,1089,2052,3137,22980,15738,38718,81814,86627,168441,11876,13134,25014,53994,56170,110165,33505,37477,70978
50601,33884,36333,70226,17299,9424,26726,4362,9796,14155,1148,1380,2530,1472,1520,2994,24278,22117,46404,8003,12558,20562,6.1,6.9,6.5,71.7,60.9,66.1,67.3,56.7,61.8,1421,1582,3000,422,826,1251,3894,5878,9772,2991,3848,6838,8779,5532,14308,567,816,1390,440,769,1211,9788,7119,16903,37070,38604,75678,5372,5765,11133,23244,23784,47028,15979,17561,33544
50602,31884,31379,63258,15599,9914,25514,4881,8116,13000,1096,1123,2212,1216,1056,2268,22792,20206,43000,6811,9240,16051,5.3,5.2,5.3,71.5,64.4,68,67.7,61,64.4,2373,2414,4788,600,1031,1631,6068,7280,13345,3005,3287,6291,5966,3171,9138,450,507,960,390,555,946,6809,4233,11043,28193,27978,56170,6581,6475,13057,16062,16044,32107,16924,16639,33560
50603,39048,40684,79734,17292,10040,27338,7134,11472,18610,1159,1200,2362,1596,1465,3060,27196,24174,51368,10185,14756,24943,5.9,6,6,69.6,59.4,64.4,65.5,55.8,60.6,3726,3550,7279,707,1282,1990,8396,9698,18090,3754,4113,7870,6391,3392,9783,499,564,1059,432,732,1163,7323,4685,12006,38525,39736,78255,7377,7072,14451,23538,24958,48491,19920,19584,39503
50604,48592,49484,98071,22508,12037,34547,6998,12693,19685,1588,1523,3112,2189,2074,4259,33287,28323,61606,13013,18947,31963,6.6,7.3,6.9,68.5,57.2,62.8,64,53,58.5,2331,2403,4732,506,967,1468,5888,8097,13985,4120,4687,8804,10722,6058,16774,700,971,1668,596,1060,1658,12020,8083,20102,50575,51628,102209,7031,7135,14163,34011,34441,68447,19973,20787,40759
50605,22142,23697,45834,10880,6104,16981,3000,6623,9620,775,859,1634,740,644,1386,15392,14234,29621,5973,8617,14588,4.8,4.5,4.7,69.5,60,64.6,66.2,57.3,61.6,823,850,1669,331,654,986,2590,3882,6473,1961,2676,4637,6268,3207,9478,315,484,802,323,585,909,6909,4278,11187,23690,24571,48262,2993,3304,6297,17240,17891,35130,8006,8655,16660
50606,11185,11981,23162,6161,3367,9528,1278,3641,4916,515,539,1063,300,362,661,8261,7913,16166,2545,3656,6205,3.7,4.6,4.1,73.9,66,69.8,71.2,63,66.9,215,264,480,97,283,381,807,1474,2276,836,1443,2281,3748,2181,5923,163,274,433,162,311,469,4072,2761,6836,12451,13116,25570,1771,2004,3773,8247,8393,16640,4803,5570,10372
50607,17456,18949,36406,8151,5452,13603,2926,5174,8100,474,572,1044,596,496,1093,12142,11695,23839,4566,6350,10916,4.9,4.2,4.6,69.6,61.7,65.5,66.1,59.1,62.5,2100,1889,3991,535,889,1422,4830,5380,10210,1555,1872,3424,2180,1286,3459,146,202,348,188,341,530,2509,1830,4340,16320,17093,33417,3522,3705,7223,9723,10493,20210,9181,9390,18575
