SA3_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
30603,20,17,58,84,109,246,490,616,305,1937,0,8,31,17,36,42,37,28,19,213,203,155,507,442,487,537,570,294,111,3297,933,1609,4037,3841,4524,6025,5706,2624,828,30122
30604,4,6,9,10,25,55,107,113,47,371,0,0,9,3,6,4,10,5,3,45,57,93,330,220,259,375,432,195,42,2009,262,582,1864,1695,1997,2754,2626,1119,217,13127
30605,12,18,55,58,92,208,570,729,360,2105,8,0,24,14,17,29,40,38,32,210,258,229,596,477,583,664,704,442,249,4196,1105,1695,4425,4543,5644,6865,6856,3575,1130,35841
30701,18,25,47,70,150,304,678,713,268,2288,3,9,14,13,6,20,40,32,9,157,266,330,942,782,811,783,585,403,203,5116,1251,2566,6263,5820,6183,6401,5095,2589,797,36960
30702,17,9,52,66,129,260,625,845,360,2361,0,0,13,15,13,20,36,28,13,135,210,210,460,441,525,535,435,371,262,3449,1216,2221,4574,4700,5577,5859,4916,2865,1045,32968
30703,15,10,32,52,127,215,597,786,361,2195,0,0,14,16,16,39,42,36,23,181,149,164,328,325,429,481,502,430,171,2984,1024,1834,3923,4026,5160,6112,6121,3426,1118,32748
30801,9,7,29,40,77,142,232,226,60,820,0,7,10,9,9,7,15,16,3,80,165,297,801,918,893,785,400,152,62,4468,853,1936,4828,4904,4580,4280,2575,933,206,25089
30803,38,29,129,216,313,550,1364,1967,891,5503,4,23,57,54,57,81,62,56,36,434,497,522,1134,1095,1048,1084,1141,890,527,7944,3527,6895,15007,14679,14491,15749,13225,7173,2553,93304
30804,3,0,15,33,40,73,179,295,106,740,0,3,0,7,3,11,12,5,8,46,116,141,352,403,433,412,265,151,65,2338,431,857,2062,2256,2200,2198,1506,849,261,12622
30805,23,17,50,84,152,280,614,621,247,2092,4,7,11,7,30,29,27,13,12,139,210,206,648,683,706,729,594,302,119,4196,1664,3186,8002,8462,9071,9037,6463,2581,680,49151
30901,7,5,22,42,56,135,268,443,265,1238,3,3,23,14,25,11,27,28,40,171,126,296,872,601,486,611,528,469,289,4276,1277,4023,10610,9164,8891,8256,7624,4433,1681,55955
30902,7,4,34,36,50,122,259,381,288,1187,0,6,9,4,7,15,21,17,21,96,108,175,492,429,392,402,448,453,335,3248,1285,2997,7657,7705,7561,7610,6963,3861,1683,47320
30903,26,18,49,76,108,218,484,690,346,2015,3,7,35,51,37,38,50,49,25,309,188,249,546,494,561,548,696,769,472,4514,1510,3807,7840,7928,9169,9503,9589,6378,2176,57893
30904,5,4,6,18,19,41,103,116,37,353,0,4,0,0,6,4,8,0,0,30,78,62,138,203,185,185,146,111,45,1152,492,805,1800,2592,3133,3241,2637,1275,290,16258
