GCCSA_PEP_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
4RSAU,1328,742,1143,986,1139,2024,1994,939,245,10536,467,664,1276,1245,1644,2963,5967,3429,871,18529,408,769,1510,1428,1879,2944,5215,4235,2283,20672,495,1118,2238,2228,2336,2883,3286,1937,923,17453,312,1194,2403,2478,2599,2674,2218,1139,364,15381,169,1154,2540,2573,2761,2673,1398,569,168,13994,89,811,2300,2268,2795,2540,1019,310,106,12228,27,493,1488,1524,1857,1556,555,158,55,7693,25,205,1205,1222,1462,1226,441,207,56,6055,9,103,695,795,1039,759,257,71,13,3743,3,77,660,1061,1296,1045,309,102,23,4571,4,12,95,140,197,155,84,35,0,727,3,39,106,242,309,327,167,106,30,1333,892,614,1530,1432,1791,1984,2103,1741,1107,13189,5,22,68,37,20,41,26,19,4,241,9626,8622,20697,21112,24856,29373,27473,15778,6542,164081,6855,891,1523,1452,1872,4041,2776,937,328,20676,4388,412,601,598,786,1440,1470,562,163,10412,2444,1421,1924,1659,2005,3495,3615,1693,442,18694,881,1275,2161,2113,3029,5284,11185,7268,1860,35063
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,8645,6602,5863,6119,4991,6358,7096,3599,1196,50462,3649,6225,6906,7021,6635,8670,15963,10525,2849,68448,2445,5706,7473,7385,6877,8243,16404,13472,7073,75082,2180,7436,11875,11275,9819,9411,11440,7077,3166,73684,1288,6940,13025,12544,10745,9051,7466,3771,1462,66287,816,7290,15809,14203,13083,9996,5632,2286,941,70052,384,6101,18223,15882,14781,11657,4568,1328,482,73405,159,3678,15058,12665,11585,8609,2755,681,239,55428,76,1788,12877,11395,10434,7435,2116,613,277,47001,21,586,8148,8326,7751,5068,1342,306,101,31644,28,561,9492,14066,13237,7923,1832,425,177,47734,11,84,1372,2682,2507,1528,446,176,61,8875,32,90,1182,4058,4458,2377,863,427,149,13636,2870,3412,7981,6774,5605,4590,4751,5072,5067,46113,71,193,492,247,264,517,449,141,48,2431,60338,64599,152630,154105,137389,120801,96990,54492,25072,866413,51053,10512,18171,18626,15121,20944,16241,5774,2018,158452,26584,5785,4298,4801,3917,5700,6332,2449,818,60691,15562,12360,9176,8473,7574,9850,12067,6448,2026,83535,6458,11290,11524,10403,10343,13869,28200,20781,6048,118904
5RWAU,1592,897,1722,1791,1563,2231,2198,939,275,13212,663,800,1775,1917,1955,3047,5814,2998,660,19633,624,749,1853,2027,2031,2852,5078,3435,1478,20129,754,1250,2767,3084,2817,3085,3637,1868,680,19940,574,1467,2945,3205,3171,2896,2341,1029,288,17918,374,1652,3339,3504,3602,3261,1676,591,211,18206,209,1400,3615,3589,3957,3531,1334,358,85,18073,83,967,2813,2721,2797,2470,751,182,49,12827,47,554,2568,2382,2606,2054,594,189,67,11075,22,267,1740,1762,1922,1450,410,94,20,7680,26,326,2196,2731,3018,2211,568,102,35,11204,0,33,379,479,501,392,125,41,17,1964,16,33,317,652,726,577,287,108,31,2736,1580,1744,4624,4022,3971,3914,3125,1908,1164,26041,16,126,320,73,52,77,72,20,7,753,14265,13300,36567,37203,37549,39430,31609,14779,5429,230139,9780,1400,3510,3017,3079,5854,4305,1179,376,32494,5827,510,1019,1117,950,1751,1852,614,207,13846,2997,1728,2812,2809,2541,3593,4105,1738,522,22845,1217,1443,2795,2866,3186,5061,10892,6416,1489,35362
59799,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,6,3,0,13,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,5,8,0,0,20,3,3,7,3,0,3,3,0,0,28,0,4,6,0,8,3,3,0,0,37,0,6,6,0,0,0,0,0,0,25,0,4,6,3,4,4,0,0,0,17,0,5,7,10,6,3,0,0,0,32,0,0,0,0,3,0,0,0,0,10,0,0,9,3,7,13,3,0,0,39,3,14,28,20,21,28,11,8,0,127,0,0,3,7,0,3,0,0,4,16,8,37,94,55,57,86,61,17,3,405,0,0,0,0,0,8,12,0,0,21,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0,4,0,0,0,12,0,0,5,4,3,9,5,0,0,26
6GHOB,920,775,822,518,512,770,931,480,176,5895,347,744,1050,706,728,1214,2156,1409,375,8726,232,681,1236,952,957,1392,2580,2122,1038,11181,204,875,2006,1360,1176,1359,1820,1079,460,10338,121,835,2071,1529,1290,1259,1288,673,275,9346,73,819,2334,1750,1436,1358,921,397,175,9255,34,733,2581,1976,1779,1605,714,267,88,9788,9,437,1819,1516,1420,1164,398,95,35,6886,0,151,1319,1309,1391,1027,274,102,50,5618,4,50,850,961,1085,688,169,44,12,3873,4,27,789,1423,1506,984,184,50,26,4988,0,0,79,186,245,146,35,19,8,728,7,13,99,316,403,254,89,51,20,1252,338,386,945,711,596,581,681,703,619,5564,6,9,33,15,17,42,22,15,4,161,6449,7385,19892,16307,15460,15488,13454,7935,3504,105882,5769,1216,2297,1163,978,1741,1230,459,152,15006,2877,606,585,397,372,658,723,296,70,6588,1682,1575,1447,899,880,1263,1513,814,285,10366,603,1419,1939,1233,1268,2048,3865,2724,734,15837
6RTAS,1213,729,856,837,905,1539,1457,626,160,8324,454,710,1190,1073,1463,2494,4571,2457,517,14918,369,702,1347,1340,1649,2324,4229,3214,1626,16805,311,1052,2110,1906,2068,2323,2412,1401,626,14210,198,1075,2265,1931,2081,2027,1509,759,227,12085,103,1113,2356,1980,2138,1991,926,376,134,11115,46,740,2118,1951,2210,1998,670,209,63,10005,10,376,1441,1340,1441,1151,363,104,15,6239,7,159,1073,1089,1235,993,321,124,46,5050,4,51,612,779,944,720,175,46,0,3331,0,32,517,916,1138,831,192,55,21,3712,0,10,45,140,158,128,57,20,4,554,14,10,86,215,296,241,115,60,15,1052,543,512,1093,948,1053,1245,1260,1176,760,8599,4,12,86,29,17,22,17,10,10,204,8055,7867,18583,17764,20323,22917,19884,11155,4390,130938,6381,868,1456,1259,1616,3158,1851,633,190,17419,3383,454,559,516,688,1165,1058,382,101,8294,2140,1477,1520,1350,1561,2587,2711,1199,274,14833,819,1283,2086,1769,2551,4348,8593,5342,1127,27930
69799,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,0,0,0,0,7,0,0,0,4,3,4,0,0,0,13,0,0,3,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,6,13,16,18,11,9,0,0,75,0,0,0,9,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,6
7GDAR,427,216,339,335,212,311,346,126,28,2343,189,280,439,360,321,475,779,329,68,3242,147,261,512,408,394,454,800,425,139,3543,156,379,849,588,457,492,578,261,58,3809,122,450,989,699,498,460,412,166,39,3832,117,566,1352,925,732,601,442,129,20,4887,81,619,1767,1242,1008,817,372,91,10,5992,30,465,1599,1131,876,621,229,46,5,4999,16,202,1396,1156,939,653,186,41,3,4589,0,77,983,848,772,513,128,19,4,3348,3,51,1129,1708,1542,995,206,22,4,5666,0,9,97,206,217,167,45,5,0,753,3,10,105,309,318,208,84,15,3,1055,402,496,1505,1201,1011,927,729,256,87,6624,12,126,177,46,23,78,43,8,8,509,3867,4577,14305,12046,9906,8744,6102,2136,504,62191,2915,586,1256,946,708,1255,982,294,68,9003,1429,182,264,231,180,248,321,80,14,2949,784,440,523,469,357,521,610,280,53,4045,358,488,741,603,600,818,1497,708,119,5931
7RNTE,628,907,1593,1138,894,650,436,94,21,6364,168,355,734,637,515,520,585,175,20,3709,86,160,384,387,345,436,583,202,67,2655,88,177,473,398,338,402,404,84,18,2381,98,218,424,372,255,335,263,66,11,2036,102,261,602,403,362,352,228,53,13,2382,60,263,840,492,500,508,233,18,5,2917,25,201,753,456,439,414,167,15,0,2472,8,113,700,453,418,409,114,16,0,2236,3,39,460,348,350,282,95,5,0,1587,6,29,478,592,673,568,132,11,0,2487,0,3,63,99,85,72,35,4,0,372,0,0,44,87,122,103,43,6,0,415,509,456,1197,905,871,989,656,150,21,5758,5,19,102,15,11,37,16,8,0,208,3163,3582,9563,7360,6645,6843,4410,989,211,42763,2065,315,491,335,317,715,503,103,10,4861,945,548,787,667,499,416,292,58,28,4241,1273,1774,3050,2152,1664,1147,778,181,44,12069,307,629,1284,1110,906,911,1128,383,41,6688
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,0,0,0,0,9,0,6,0,0,0,4,5,0,0,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,5,0,0,17,0,0,7,0,0,0,0,0,0,7,0,15,16,3,7,12,21,5,0,67,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,1939,1248,807,677,520,789,1158,727,202,8066,775,1354,1015,780,634,1023,1791,1254,362,8981,529,1409,1328,945,837,1123,2264,1881,937,11252,493,1802,2163,1403,1025,1280,1831,1262,541,11803,362,1636,2431,1507,1157,1312,1728,1036,376,11549,308,1839,3397,2209,1597,1653,1672,884,325,13898,162,2058,4391,3047,2190,2013,1618,654,227,16364,65,1865,4840,3142,2158,1867,1109,372,155,15576,17,932,5242,3691,2900,2062,850,290,99,16093,9,253,3468,3384,2750,1772,602,184,55,12490,7,178,4771,7709,6652,3443,758,198,72,23782,4,16,461,1207,1165,626,170,55,19,3720,5,20,364,1648,1975,1072,252,99,46,5485,660,998,1772,1276,935,716,776,680,685,8489,20,43,88,75,63,122,87,21,3,520,13059,17328,39065,35004,28290,23317,18755,10468,4342,189630,10176,2488,3178,2469,1918,2598,2154,784,222,25987,5874,1153,703,627,564,799,1049,502,146,11411,3460,2390,1320,1004,873,1175,1749,1105,317,13386,1354,2544,1839,1265,1178,1695,2924,2269,672,15740
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,11,6,6,12,11,25,19,6,0,92,0,6,7,12,6,16,36,27,6,116,4,8,9,17,18,29,42,32,11,177,5,13,18,23,27,42,32,15,0,173,6,14,22,30,24,28,30,10,0,159,4,21,32,32,44,42,22,4,0,199,3,11,41,29,38,35,11,0,0,165,3,7,26,20,25,28,17,0,0,127,0,5,15,29,28,29,4,0,0,119,0,0,17,11,17,15,3,4,0,75,0,0,19,28,45,21,9,0,0,128,0,0,0,3,11,0,5,6,0,24,0,0,0,0,4,3,0,0,0,11,17,25,66,57,69,74,45,26,3,378,0,7,0,0,0,0,0,0,0,10,113,130,290,332,379,442,309,142,34,2163,51,10,15,17,21,45,38,18,0,211,47,4,0,16,12,19,32,7,0,133,16,14,6,13,14,31,38,20,0,149,4,6,12,20,15,34,79,56,13,229
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
