GCCSA_PEP_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
4RSAU,63431,35865,38409,39273,46131,53845,50740,29199,10546,367446,105,111,117,123,148,202,225,156,68,1240,51,49,70,109,92,176,211,48,6,805,101,84,184,177,196,476,569,128,3,1921,24,41,163,159,217,242,172,24,0,1041,1477,2416,3571,2791,3389,4250,3400,1222,365,22874,27,18,48,79,69,119,139,21,6,527,24,19,47,35,60,118,157,44,0,508,22,25,34,48,37,61,33,7,0,257,0,0,9,3,3,13,6,0,0,32,0,0,0,0,0,0,0,0,0,0,1725,2649,4126,3397,4068,5449,4683,1488,379,27970,1828,2758,4244,3520,4210,5649,4908,1640,446,29212,14,129,494,231,78,64,58,25,15,1113,65276,38758,43146,43018,50426,59562,55704,30871,11011,397774
49799,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,25,0,0,0,15,7,3,0,0,0,25,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
5GPER,394340,244862,284608,290885,259004,224672,178261,98190,39163,2013982,295,249,340,350,308,440,481,343,156,2954,66,209,317,255,224,224,216,67,11,1599,91,142,281,228,223,290,255,63,10,1584,48,78,164,189,215,253,168,30,3,1153,15,36,85,100,145,119,71,32,5,592,6211,7892,8263,6392,5747,5382,4356,2653,1415,48324,22,25,44,45,57,93,127,28,7,442,31,31,75,69,47,60,27,8,0,348,20,26,56,39,29,21,15,4,0,199,10,4,8,10,15,17,17,5,0,83,6516,8436,9282,7314,6701,6468,5246,2895,1456,54321,6807,8682,9622,7663,7008,6907,5730,3238,1612,57274,376,577,1078,653,644,929,798,268,80,5399,401525,254124,295309,299200,266653,232513,184787,101701,40849,2076653
5RWAU,100355,50905,61603,65973,66129,64708,50181,25480,8611,493940,197,175,211,197,265,304,338,191,63,1948,320,134,388,445,410,784,913,116,9,3513,545,121,365,525,514,1103,1417,184,14,4784,222,119,420,582,599,1037,942,112,3,4034,125,89,211,248,331,573,680,128,6,2388,3659,6474,14811,13339,14278,14707,11016,3597,610,82498,54,36,96,102,120,257,197,26,0,888,44,37,132,101,103,136,53,15,0,628,45,13,15,41,22,41,51,3,0,226,0,4,0,0,0,4,10,0,0,14,5013,7018,16429,15378,16381,18644,15284,4174,640,98966,5213,7194,16643,15575,16645,18946,15622,4370,707,100912,74,299,763,298,172,186,134,41,15,1988,105646,58398,79006,81843,82943,83843,65939,29890,9332,596836
59799,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,0,0,33,37,61,29,0,0,4,164,3,141,549,999,951,560,178,32,3,3413
6GHOB,40656,26732,38071,30558,28422,28281,24461,13899,5380,236459,49,30,43,45,50,59,57,61,18,416,14,55,58,36,35,64,45,11,0,310,40,93,188,116,75,105,67,19,6,709,13,50,74,57,69,87,49,8,0,409,8,22,46,35,48,49,59,15,0,288,17,14,56,28,39,62,35,9,3,260,745,1186,1169,826,844,821,644,311,186,6727,9,4,10,10,11,7,5,0,0,53,8,13,28,20,9,17,4,4,0,98,0,0,0,0,0,0,0,0,0,0,847,1430,1630,1124,1137,1216,909,372,195,8866,890,1466,1676,1169,1191,1272,964,434,210,9285,21,76,182,51,41,61,40,22,7,502,41572,28275,39927,31784,29652,29621,25470,14348,5603,246246
6RTAS,49646,30667,34678,32475,37324,42280,37807,20832,7041,292762,82,72,83,65,84,141,161,103,53,833,27,42,68,36,58,79,87,23,8,428,48,90,159,114,137,179,120,33,3,886,53,50,103,71,99,163,96,19,4,647,23,28,74,33,47,56,45,8,0,316,29,25,102,48,73,100,40,6,0,422,1070,1754,1633,1182,1403,1537,1065,508,175,10319,11,5,15,11,3,13,6,0,0,60,3,4,21,15,12,16,3,0,0,77,0,0,0,0,0,0,0,0,0,8,1250,2000,2172,1510,1830,2143,1460,599,195,13159,1331,2077,2256,1576,1911,2284,1617,708,244,13999,14,98,177,90,40,38,42,16,15,529,50999,32836,37116,34140,39277,44606,39463,21554,7305,307286
69799,0,0,4,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,0,30,0,3,17,28,18,16,7,0,0,90,0,0,9,11,8,9,4,0,0,41,0,0,3,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,9,5,9,20,17,47,48,21,4,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,63,71,82,75,33,7,0,347,5,19,63,71,82,75,33,7,0,350,0,0,3,4,0,0,0,0,0,13,5,21,69,78,90,77,33,3,0,378
7GDAR,27594,15639,24170,20785,17113,13570,8830,3417,783,131901,28,80,59,33,25,41,24,15,0,311,192,239,478,301,271,403,442,95,7,2424,397,212,625,520,554,1002,1148,229,19,4702,139,159,338,311,389,478,504,94,9,2420,172,173,310,283,336,598,683,221,27,2800,169,152,335,256,342,544,543,156,9,2511,13,15,24,43,66,100,86,26,0,365,672,687,1094,845,741,698,373,150,40,5307,37,41,69,62,70,75,59,6,0,415,0,0,0,0,0,0,0,0,0,0,1795,1682,3273,2609,2760,3891,3831,978,113,20940,1823,1763,3335,2642,2787,3939,3859,990,110,21248,70,1319,688,198,87,150,83,22,6,2629,29482,18723,28189,23627,19990,17665,12766,4433,904,155778
7RNTE,19415,12190,15175,12321,10182,8191,4445,1404,307,83626,88,95,106,62,60,48,16,7,0,483,164,169,266,190,204,541,580,114,7,2223,360,194,529,431,523,1257,1528,261,8,5089,170,203,497,418,567,896,845,104,5,3702,149,127,309,233,376,859,909,185,7,3161,95,92,277,245,263,547,510,78,6,2110,31,46,55,42,50,155,151,24,0,552,687,707,1386,1113,1120,929,383,69,14,6409,25,5,64,38,54,63,58,19,0,326,0,0,0,0,0,0,0,0,0,0,1667,1544,3365,2719,3162,5250,4971,841,44,23572,1753,1637,3478,2781,3217,5298,4989,849,48,24051,8,114,231,63,33,65,33,13,0,562,21177,13932,18888,15167,13439,13556,9464,2264,357,108242
79799,0,15,23,22,20,17,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3,0,9,18,11,11,0,0,46,0,0,4,8,10,3,6,0,0,31,0,10,10,15,18,22,0,0,0,78,0,0,4,12,3,8,5,0,0,23,0,11,12,25,32,30,8,0,0,122,0,0,3,3,3,5,0,4,0,23,0,0,5,14,7,10,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,88,103,82,35,6,0,384,0,24,33,88,103,82,35,6,0,384,0,0,9,0,0,0,0,0,0,17,0,37,65,112,124,106,40,10,0,494
8ACTE,81393,58071,74896,67414,54425,43147,33591,18422,6890,438251,37,54,58,33,46,32,64,50,19,391,274,1112,852,528,599,665,565,198,85,4880,29,187,204,114,97,136,81,24,4,870,30,132,137,119,111,135,95,9,3,777,3,38,25,13,24,41,38,12,0,188,13,47,49,32,32,41,34,5,3,248,4,30,22,11,30,29,33,9,0,160,11,12,16,13,13,7,3,0,0,70,819,1304,1369,897,676,519,388,310,188,6465,0,0,0,0,0,0,0,0,0,0,1176,2863,2668,1724,1584,1572,1222,567,286,13657,1220,2916,2724,1752,1624,1603,1286,617,306,14051,129,132,177,177,139,179,152,49,7,1151,82742,61121,77804,69342,56195,44930,35030,19085,7204,453453
