GCCSA_PEP_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
4RSAU,1762,4796,12868,13251,14778,13237,3642,468,30,64833,2941,1639,2633,2163,2806,4083,2681,668,52,19668,203,224,599,591,716,1051,425,70,11,3887,186,198,385,327,380,320,158,87,25,2061,5091,6852,16484,16329,18681,18694,6907,1298,118,90452,249,491,743,529,640,680,72,3,6,3415,344,224,238,166,203,329,83,8,5,1595,592,717,978,691,844,1014,152,13,7,5007,5689,7570,17470,17015,19524,19707,7060,1308,121,95458,4350,1376,2705,2923,3890,8301,19360,12555,3867,59337,686,729,1845,1777,2101,2159,1785,1212,471,12760,10723,9683,22021,21717,25511,30165,28199,15081,4463,167558,690,2681,6165,6387,8691,6538,1319,150,12,32637,3904,2873,6690,8177,8468,8959,2819,380,26,42307,271,322,1250,684,741,976,336,68,12,4647,169,151,278,213,302,264,124,75,11,1591,5037,6035,14382,15455,18198,16745,4594,671,54,81185,133,236,346,261,364,287,29,4,0,1665,351,187,308,290,332,402,83,10,0,1966,484,426,651,550,699,684,112,12,3,3627
49799,0,0,0,10,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,6832,25347,89649,102457,88813,61082,12482,889,51,387601,19449,20439,20610,14989,13234,15182,10908,2177,154,117129,913,1273,3787,3735,3408,3518,1150,137,17,17936,422,1188,2818,2037,1456,935,301,99,29,9285,27611,48243,116861,123215,106918,80709,24845,3299,251,531954,1420,2824,4467,3484,3474,2973,528,34,3,19209,4708,2058,1501,719,740,1027,586,62,4,11410,6126,4887,5972,4201,4217,4003,1116,93,6,30617,33738,53129,122834,127421,111131,84710,25962,3396,259,562577,27119,9552,12024,10749,12470,22474,58163,40850,13601,206996,2235,3100,7234,6522,5292,4121,3325,2840,1887,36556,63093,65776,142092,144688,128889,111304,87449,47087,15749,806125,2870,18567,59952,52973,55089,34315,5363,214,8,229353,25491,27054,42853,54424,45284,35668,11745,1185,62,243744,967,1639,7834,5319,3019,3393,975,110,5,23263,477,952,1871,1280,1099,725,234,88,37,6754,29801,48210,112517,113988,104492,74101,18310,1591,109,503124,899,1527,2585,2295,2252,1462,136,11,0,11162,4750,2000,2874,3077,2231,1834,380,27,3,17178,5646,3521,5459,5366,4483,3296,517,36,7,28337
5RWAU,2946,7570,23716,26070,26161,20901,5160,606,51,113186,3823,1846,3448,3315,3557,4766,3263,732,79,24830,314,453,1538,1882,2095,2435,854,115,19,9691,202,302,745,634,545,441,177,94,29,3186,7279,10170,29446,31902,32351,28548,9461,1555,182,150893,389,608,910,751,746,717,122,4,0,4252,538,195,252,198,223,290,159,18,3,1878,932,809,1156,953,970,1006,283,21,3,6128,8209,10976,30602,32851,33317,29552,9743,1576,181,157018,5828,1875,3530,3554,4060,8350,21114,11943,3188,63447,1471,2306,7861,8003,7896,6400,3409,1571,526,39434,15511,15160,41996,44414,45271,44303,34267,15090,3896,259902,1537,4805,12269,11867,14199,10164,1910,190,7,56943,5093,3026,8737,12352,11061,10018,3531,458,19,54301,303,536,2136,1566,1466,2056,562,60,0,8691,196,226,440,379,376,287,129,64,13,2104,7129,8584,23581,26166,27108,22525,6136,772,37,122040,273,279,451,408,437,347,45,0,4,2242,559,234,464,502,431,422,83,5,3,2710,833,517,916,908,870,774,125,9,8,4950
59799,3,49,219,432,404,198,25,6,0,1339,0,0,7,19,13,12,3,0,0,54,0,0,12,27,33,21,7,0,0,99,0,0,0,6,3,6,0,0,0,18,3,54,237,494,451,234,32,6,0,1517,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,5,0,0,0,7,6,54,242,491,457,240,32,6,0,1525,0,0,4,10,5,19,46,6,0,87,10,28,191,410,372,193,35,0,0,1247,13,81,430,908,842,449,117,15,0,2854,7,22,51,25,22,18,0,0,0,139,0,0,5,0,3,4,0,0,0,20,0,0,4,3,7,8,3,5,0,25,0,0,0,0,0,0,0,0,0,3,7,23,54,28,32,29,5,5,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,681,2652,10700,9626,8869,6362,1158,95,0,40143,1722,2082,4411,2482,1925,2322,1456,249,13,16659,115,148,381,357,384,401,143,16,0,1958,47,127,331,178,134,88,39,9,7,954,2566,5012,15827,12643,11311,9179,2796,366,23,59717,194,484,818,418,297,249,33,6,0,2496,533,363,405,135,109,111,57,6,0,1714,733,845,1220,549,408,357,90,3,0,4201,3293,5861,17041,13190,11720,9535,2886,368,23,63920,3319,1335,1994,1620,1893,4031,8593,5660,1903,30355,276,302,855,624,556,538,512,371,172,4198,6892,7497,19889,15438,14164,14104,11990,6404,2096,98480,250,1909,6776,5518,6136,4031,563,28,0,25215,2428,2871,6643,6259,5290,4670,1506,150,11,29827,148,235,1035,651,465,515,147,17,0,3215,51,94,271,123,88,86,26,10,5,764,2877,5112,14729,12544,11980,9299,2244,207,19,59019,112,240,596,261,182,118,14,0,0,1527,535,318,534,288,210,195,31,0,0,2110,650,561,1130,550,390,306,47,0,0,3643
6RTAS,1292,3837,10677,10025,10885,9139,2026,221,20,48124,2054,1553,2919,2206,2454,3329,2031,419,37,17001,161,175,497,443,586,737,227,33,11,2879,83,185,337,244,257,231,95,49,9,1492,3587,5754,14427,12916,14185,13443,4373,720,78,69489,273,560,757,466,516,453,55,6,0,3088,393,244,247,159,172,219,64,11,0,1509,664,810,1007,625,686,664,118,12,0,4590,4253,6561,15435,13542,14872,14105,4495,726,86,74082,3850,1189,1864,1844,3022,6441,13942,8895,2467,43512,477,500,1136,925,1038,1116,1125,766,360,7451,8577,8254,18439,16316,18936,21670,19558,10392,2906,125043,510,2441,5667,5265,6836,4866,788,56,3,26419,3133,2624,6089,6817,7068,6936,1930,203,9,34823,192,252,1025,620,605,766,198,30,0,3692,101,112,215,159,217,139,68,35,10,1048,3937,5429,12995,12866,14723,12705,2976,319,25,65978,158,249,384,252,295,238,37,4,0,1615,408,234,352,287,289,350,56,0,0,1979,565,482,735,539,584,588,96,7,0,3598
69799,0,8,42,54,52,35,7,0,0,208,0,0,4,0,0,0,0,0,0,11,0,0,3,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,52,60,57,44,10,0,0,230,3,3,0,0,3,5,16,0,0,31,0,0,0,4,15,11,0,0,0,31,0,9,58,65,70,62,25,4,0,289,0,6,3,9,11,4,0,0,0,30,0,0,3,0,3,6,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,552,2467,7943,7268,6134,4142,1036,79,4,29637,1074,915,1696,1114,874,868,538,87,3,7160,68,113,425,431,460,520,184,15,0,2220,50,109,242,162,135,98,34,3,3,838,1754,3608,10301,8974,7605,5627,1787,179,14,39852,123,168,295,190,199,193,46,3,0,1218,179,82,95,48,45,71,37,7,0,558,301,245,391,242,244,266,83,5,0,1772,2058,3854,10695,9213,7843,5895,1870,187,18,41625,1578,696,1217,1024,1036,1890,3969,1864,337,13617,331,576,1455,1187,1135,1063,789,236,43,6815,3969,5127,13365,11420,10017,8842,6629,2289,397,62064,334,1710,6177,5567,5056,3133,572,36,0,22582,1373,1194,3082,2685,1837,1469,571,56,6,12270,66,155,852,588,424,513,159,9,0,2769,42,73,202,118,89,75,31,7,0,635,1821,3121,10312,8956,7407,5185,1333,108,4,38261,72,119,234,155,108,103,15,0,0,807,196,85,184,130,87,60,13,3,0,762,267,201,423,288,196,170,30,0,0,1571
7RNTE,331,1040,3615,3224,2777,2316,635,62,0,13997,317,267,669,625,454,507,278,43,4,3168,21,64,293,320,365,566,212,9,0,1856,35,61,161,101,81,70,30,12,0,552,705,1432,4732,4274,3681,3452,1165,127,10,19578,135,212,384,257,179,103,14,0,0,1291,87,64,131,88,52,38,26,8,0,482,219,277,505,348,232,140,35,10,0,1772,925,1709,5245,4625,3912,3597,1197,133,10,21348,2187,1465,2573,2001,1702,1956,3041,942,119,15985,321,493,1377,1138,1149,1129,791,197,17,6623,3433,3673,9190,7761,6767,6678,5037,1273,143,43957,293,879,3087,2239,2321,1801,393,28,0,11051,399,367,1156,1183,843,718,297,27,0,4987,36,105,455,361,421,570,128,5,0,2078,26,52,123,88,70,62,16,8,0,441,756,1399,4824,3876,3648,3149,826,65,0,18550,114,161,306,215,138,63,13,0,4,1000,69,88,132,102,75,50,13,0,0,530,187,245,434,320,215,110,22,0,4,1527
79799,5,8,24,60,64,54,6,0,0,215,0,0,3,5,3,4,0,0,0,12,0,0,0,0,4,0,0,0,0,11,0,0,7,0,0,0,0,0,0,12,3,12,33,60,75,60,4,0,0,249,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,33,59,75,63,4,0,0,253,0,0,0,0,0,3,8,4,0,29,4,5,15,41,43,33,7,0,0,136,10,17,51,101,111,97,19,4,0,414,0,10,3,6,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,1413,7059,25738,25356,20428,10995,2159,152,13,93307,4309,5237,5784,3835,2749,2824,1775,376,28,26922,311,381,827,821,668,628,211,29,8,3880,68,212,560,340,214,103,33,6,4,1550,6096,12885,32909,30347,24066,14544,4183,570,49,125659,206,489,816,553,465,357,67,3,0,2952,1083,544,344,159,121,160,85,12,0,2515,1288,1031,1164,707,585,519,151,18,0,5469,7388,13916,34072,31058,24651,15065,4338,590,56,131129,5478,2314,2685,1829,2229,5757,11305,7567,2543,41700,577,1000,1885,1355,952,739,573,430,260,7760,13445,17225,38646,34238,27823,21556,16210,8589,2860,180590,782,6213,20466,17694,16025,8250,1106,44,0,70590,5621,6684,8994,9702,6528,4867,1852,224,21,44490,388,523,2197,1717,851,729,208,23,5,6647,58,173,391,196,142,77,29,11,0,1072,6850,13594,32054,29313,23547,13928,3191,293,29,122796,119,261,588,368,263,179,17,0,0,1799,1019,452,429,337,229,214,60,3,0,2749,1133,714,1020,702,491,394,80,3,0,4548
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,39,77,195,176,198,223,79,9,0,998,28,12,33,42,41,65,40,15,0,268,5,4,4,16,15,15,17,3,0,68,0,0,11,3,3,4,4,0,0,32,70,98,242,228,257,306,142,22,3,1370,0,0,0,5,0,0,0,0,0,11,0,0,0,5,0,3,0,0,0,16,0,6,0,3,0,12,0,0,0,26,71,96,247,238,260,316,138,27,0,1397,29,25,119,64,50,58,159,88,25,620,10,26,85,60,77,76,62,35,5,430,110,149,448,365,389,452,361,148,30,2445,15,47,121,126,162,131,41,0,0,649,46,31,63,89,80,114,57,17,0,500,0,3,14,9,13,18,13,0,0,77,0,5,0,0,4,5,0,0,0,20,66,83,203,231,266,266,106,20,0,1244,0,0,0,3,0,10,0,0,0,15,0,0,0,4,5,8,4,0,0,14,0,0,0,9,4,11,4,0,0,33
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
