GCCSA_PEP_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
4RSAU,43,198,305,282,299,389,151,19,1689,114,303,301,197,189,113,20,0,1237,1493,4578,4365,4993,5647,4989,2340,528,28949,581,1679,1203,1202,1432,1215,636,142,8094,500,1036,1313,1416,1150,805,265,61,6548,131,484,498,579,710,587,190,48,3232,69,536,472,500,640,1001,393,56,3662,330,1086,1379,1574,1614,1501,552,92,8129,324,781,787,793,946,870,349,53,4912,147,240,203,178,200,177,58,17,1210,331,730,723,686,562,363,133,30,3569,11,15,17,13,13,11,15,7,95,67,189,239,238,256,217,83,35,1329,2011,2449,2434,2764,2963,2579,1858,733,17791,6158,14310,14249,15428,16627,14818,7043,1819,90449,93,254,300,269,213,171,50,11,1360,24,93,98,92,75,68,4,0,459,88,274,260,294,221,137,99,54,1419,39,97,105,89,73,50,13,3,462,304,483,584,444,343,164,24,3,2355,845,2505,2299,2537,3710,2756,1020,304,15969,532,1943,2028,1953,1871,2180,949,186,11638,764,2692
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,12,7,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1623,3798,4041,3786,3189,2471,1129,221,20251,2307,5507,7801,4282,2163,807,159,11,23037,9029,31088,33117,29281,27083,20826,9670,2530,162623,3331,10364,9317,7972,6990,5300,2736,842,46846,656,1762,2161,2015,1620,1086,577,154,10038,1716,6339,5951,5070,3816,2435,1216,351,26887,684,2746,2891,2977,3380,3053,1484,382,17599,6441,15572,20032,16698,12095,8192,3496,761,83289,4095,8057,7671,6770,5223,4087,1683,357,37947,2969,4181,3367,1973,1279,989,340,84,15175,1979,4709,4765,3292,2343,1302,617,120,19129,335,155,78,66,71,63,39,12,820,584,1570,1814,1684,1225,785,443,139,8239,7113,10207,9572,7913,6192,5128,4401,2708,53230,42858,106046,112571,93782,76657,56517,27997,8684,525111,2213,5068,5148,3648,2281,1189,385,102,20030,426,2117,2531,1379,873,316,65,7,7716,1099,4116,4018,2356,1479,891,454,280,14685,487,2005,1633,1045,639,287,67,22,6195,621,1599,1739,1142,672,287,67,29,6152,7123,22649,19402,15313,13175,8604,4109,1350,91723,3564,11733,13713,14021,11910,8630,3693,995,68263,8459,26437
5RWAU,178,707,747,693,550,526,176,29,3595,319,535,561,337,243,166,29,0,2198,3069,10808,10983,10215,9430,6655,2385,451,54003,944,3049,2764,2333,2466,1950,747,160,14409,571,1023,1455,1499,1352,986,409,93,7383,206,912,1065,1175,1186,728,269,55,5606,126,565,846,1051,1179,1165,373,58,5363,765,1709,2403,2466,2298,1719,581,95,12033,534,1079,1139,1065,1066,891,309,59,6136,252,457,407,309,254,247,89,14,2024,404,1017,1188,1069,824,425,178,20,5130,69,42,21,10,33,11,11,4,203,133,321,486,487,430,269,107,23,2255,4537,8904,9098,8940,7366,4344,2147,739,46068,12108,31118,33166,31654,28665,20089,7795,1808,166408,228,770,845,612,416,246,51,8,3171,39,161,210,154,149,95,18,0,825,303,935,684,446,307,183,100,46,3007,58,243,237,217,135,64,11,0,971,410,765,928,705,508,191,46,6,3549,1399,4134,3855,3510,4195,3027,1217,336,21684,822,2908,3824,3947,3713,2777,905,190,19085,1887,4972
59799,0,8,10,12,4,0,0,0,40,0,0,4,0,0,0,0,0,11,27,126,271,262,140,20,6,0,849,0,13,27,15,10,4,0,0,74,0,8,7,6,0,4,0,0,24,0,5,13,13,7,0,0,0,38,0,5,0,4,3,0,0,0,17,0,8,17,18,8,7,0,0,64,0,8,6,11,0,3,0,0,30,0,0,0,3,5,0,0,0,10,3,12,19,20,11,0,0,0,67,0,0,3,0,0,0,0,0,0,0,4,7,7,6,0,0,0,39,37,196,422,380,194,44,0,0,1283,75,396,816,754,397,86,7,0,2532,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,16,5,5,3,0,0,0,34,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,10,4,5,0,7,3,3,0,0,21,0,0,3,6,11,9,0,0,25,4,3
6GHOB,146,553,527,555,459,401,186,53,2880,313,1568,988,443,284,118,23,0,3726,545,2521,2091,2163,2346,1951,1151,329,13111,474,1495,1194,1089,1086,711,428,113,6600,94,309,383,373,324,212,77,25,1803,155,813,611,572,544,419,156,56,3325,44,362,451,411,480,588,250,66,2651,566,3976,2210,1617,1360,978,426,103,11227,327,1264,1053,1053,904,802,279,54,5724,195,519,438,343,247,190,77,23,2031,251,740,612,444,316,187,68,15,2625,28,29,10,0,9,10,3,0,90,67,225,201,199,143,125,63,15,1042,802,1259,994,863,837,800,641,296,6485,3990,15621,11769,10114,9341,7506,3826,1156,63327,218,645,560,456,283,192,56,14,2432,78,564,217,120,75,53,9,0,1111,61,311,251,205,151,106,55,40,1176,38,202,162,108,73,33,4,0,614,75,200,180,209,146,65,19,3,894,771,2508,1922,1683,1767,1385,621,220,10872,181,1155,1389,1332,1503,1424,674,212,7864,944,4955
6RTAS,42,220,263,299,345,313,168,31,1677,208,691,499,295,248,142,21,0,2103,931,3288,2991,3498,4152,3375,1639,391,20266,647,1717,1183,1376,1589,1149,568,134,8364,279,672,800,819,707,450,194,45,3952,105,602,562,619,676,502,208,41,3319,48,323,471,493,630,740,330,63,3098,373,1993,1431,1410,1333,1054,391,81,8066,272,733,711,782,787,744,251,49,4334,133,336,312,249,254,252,101,14,1659,281,666,603,577,529,301,105,22,3076,12,21,7,5,6,15,3,0,71,62,173,205,227,188,152,77,20,1086,1427,1532,1284,1520,1675,1703,1302,509,10959,4822,12959,11321,12178,13104,10894,5357,1394,72032,77,286,313,253,259,149,35,10,1391,28,200,91,108,95,62,10,0,594,84,253,212,229,233,142,66,34,1258,49,160,116,78,84,35,11,0,544,134,381,351,328,253,103,29,10,1585,725,2406,2006,2008,2509,1862,817,222,12556,295,1240,1766,1772,1806,1658,874,233,9650,816,3045
69799,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,15,18,25,19,6,0,0,89,0,0,4,0,5,0,0,0,14,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,25,24,26,20,4,0,0,100,4,50,54,64,54,19,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,0,0
7GDAR,43,188,213,185,168,134,38,9,971,241,607,457,225,120,66,6,0,1729,791,2502,2184,2081,1866,1291,416,65,11191,214,726,657,536,525,358,144,22,3178,88,176,248,235,188,140,34,0,1114,101,561,550,395,300,171,45,11,2129,39,220,249,228,280,257,93,12,1373,335,1879,1372,1041,732,459,131,7,5955,277,791,822,635,456,325,92,17,3402,73,199,177,112,92,50,25,0,730,173,427,385,242,168,96,23,0,1516,11,9,11,9,3,4,0,0,45,44,149,176,183,107,72,16,3,746,1093,1741,1456,1399,1275,952,325,75,8313,3514,10171,8951,7503,6282,4367,1387,218,42402,81,287,277,194,128,63,13,0,1041,40,205,183,95,61,25,3,0,616,69,283,228,132,84,51,18,4,872,21,101,79,46,28,13,0,0,283,79,180,180,129,62,29,7,5,662,432,2211,1478,979,872,542,159,37,6716,189,953,1085,917,831,590,180,15,4763,623,2708
7RNTE,13,85,93,63,101,86,20,0,462,19,116,116,46,55,28,4,0,382,293,1102,979,908,1044,872,193,15,5415,113,413,386,331,361,261,52,10,1922,130,203,224,192,176,121,34,0,1077,41,298,287,194,229,117,24,0,1198,26,171,157,169,230,213,43,0,1014,82,519,410,340,391,303,45,0,2084,86,420,410,329,290,207,39,3,1788,33,112,112,64,61,41,8,0,444,89,209,189,137,108,60,11,0,805,9,4,8,3,3,0,0,0,29,19,59,77,60,37,26,9,0,294,1154,1720,1371,1383,1317,918,238,32,8132,2118,5435,4812,4220,4413,3255,714,62,25035,22,121,82,70,63,41,11,0,413,7,45,32,21,25,9,0,0,137,25,98,66,47,45,26,5,0,314,7,43,27,23,13,8,0,0,122,127,149,113,94,67,25,5,0,584,179,1107,705,590,850,426,58,17,3928,98,506,493,542,622,446,73,6,2786,181,871
79799,0,0,5,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,24,41,52,36,4,0,0,158,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,11,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,15,41,40,32,3,0,0,137,16,38,92,101,90,15,4,0,361,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,8,0,0,9,0,0
8ACTE,489,1622,1412,1308,1222,1089,620,172,7934,1234,4261,4528,2638,1676,651,110,3,15109,841,4360,3961,3450,2948,2359,1284,474,19674,773,2302,1748,1439,1121,787,525,170,8858,107,512,513,487,428,286,171,51,2572,316,1509,1263,899,689,462,211,77,5430,100,802,873,771,633,602,359,84,4218,1136,5677,5643,4451,2998,1849,710,175,22627,1417,4890,4421,3770,2804,2456,1182,299,21240,511,1313,1183,721,422,281,101,20,4554,397,1093,932,665,362,166,89,18,3724,42,24,9,10,8,15,9,0,121,159,456,520,416,280,241,144,71,2286,1827,2472,1944,1358,1037,772,604,329,10341,9360,31291,28956,22396,16631,12002,6105,1935,128686,589,1763,1552,1241,863,588,213,57,6870,388,1455,1312,778,578,240,47,3,4807,117,739,710,368,281,195,90,47,2560,128,461,347,258,171,94,20,3,1484,155,450,379,377,199,96,45,12,1705,1232,4743,3623,2656,2296,1686,887,330,17465,559,2608,2804,2352,2093,2112,1193,304,14025,1633,7564
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,5,11,5,4,17,8,7,0,48,0,0,12,0,4,3,0,0,28,25,63,49,68,85,62,15,4,373,11,23,14,31,34,22,6,5,151,3,8,4,4,10,0,0,0,30,3,6,10,10,0,15,3,0,47,0,4,10,9,10,9,3,0,48,6,20,23,16,21,16,9,0,110,8,22,32,17,5,15,8,0,110,0,3,4,4,5,4,0,0,25,4,14,16,13,18,0,0,0,53,0,0,0,0,0,0,0,0,0,0,5,4,6,8,3,0,0,24,64,193,121,109,96,75,42,3,705,134,372,297,296,317,237,87,14,1755,0,5,12,8,0,0,0,0,26,0,7,6,6,0,0,0,0,13,0,0,4,6,4,0,0,0,19,4,0,0,0,0,0,0,0,11,0,5,3,9,4,0,0,0,18,7,27,19,23,31,37,9,4,158,7,22,33,30,30,24,11,0,164,18,42
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
