GCCSA_PEP_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
4RSAU,1980,5605,10771,9572,9706,7628,7394,3254,716,56623,1038,1873,4421,4385,6492,8760,5989,1777,354,35088,686,1061,3599,4201,4963,7586,7228,3558,831,33714,210,173,735,956,1315,2381,2631,1724,527,10643,86,94,319,418,508,1088,2601,3075,1349,9530,16,30,101,129,147,146,119,111,55,849,707,812,2058,2039,2378,2569,2228,1578,623,14996,4716,9652,22000,21700,25501,30156,28190,15075,4458,161439,2127,6187,13553,12918,12710,9717,7153,2947,834,68155,475,1103,2806,3378,5803,9076,6160,1941,490,31224,354,553,2118,2487,3350,6228,7776,4195,1238,28301,119,112,432,561,793,1625,2189,1889,771,8490,42,44,193,246,346,672,1918,2840,2052,8350,10,14,73,77,104,95,114,108,65,651,611,558,1441,1402,1715,1910,2134,1839,1074,12681,3741,8567,20614,21063,24822,29319,27435,15752,6530,157853,4104,11792,24327,22488,22413,17348,14546,6202,1554,124773,1514,2977,7229,7764,12290,17835,12146,3715,849,66315,1043,1613,5718,6690,8313,13813,15000,7756,2067,62016,327,283,1163,1514,2105,4008,4818,3609,1291,19135
49799,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5GPER,18157,51328,101188,101476,77972,56384,42032,18802,4812,472146,2818,4594,12268,12577,12907,10865,6006,2698,597,65320,3603,5433,17238,18814,26307,31602,24810,11560,3056,142415,1021,734,2050,2561,3163,4232,5099,4039,1566,24471,261,279,898,1295,1564,2334,4147,5206,2751,18742,53,148,709,904,1048,965,817,634,359,5626,2234,3143,7617,6971,5830,4833,4484,4115,2591,41818,28153,65648,141969,144594,128803,111216,87389,47041,15737,770547,19065,53317,119258,118285,89259,63199,40229,17556,5682,525848,1809,3345,9827,10326,13443,14339,8146,3423,969,65626,2650,4052,13022,14654,23850,30574,31369,15908,5779,141850,751,535,1422,1977,2505,3810,5589,4842,2598,24031,218,183,784,1348,1833,2649,4979,6150,4389,22538,43,97,624,997,1119,1251,1106,946,794,6981,2135,2755,7086,6169,5013,4375,5048,5465,4794,42846,26664,64284,152033,153762,137029,120192,96463,54297,24998,829718,37225,104644,220444,219758,167238,119584,82256,36357,10491,997998,4624,7939,22100,22903,26345,25205,14149,6121,1559,130951,6253,9488,30262,33463,50157,62172,56169,27470,8843,284264,1773,1269,3476,4539,5670,8043,10681,8882,4163,48499
5RWAU,2962,8173,20039,20256,17142,13792,10981,3977,783,98103,1323,1814,4796,5239,5513,4579,2656,904,162,26987,1703,2288,7494,8776,11938,15413,11644,4226,764,64247,431,320,901,1196,1555,2392,2860,1733,478,11867,142,121,357,419,649,1056,2031,2126,941,7856,27,36,148,172,210,203,158,160,88,1208,1489,2391,8232,8336,8238,6853,3919,1955,668,42077,8087,15143,41973,44392,45243,44291,34255,15082,3888,252350,3130,8479,22842,22540,18372,15372,9991,3728,979,105420,778,1128,3444,3847,4845,5718,3264,1011,214,24255,1086,1540,4582,5692,8881,12022,11433,4509,1279,51016,339,242,544,686,913,1486,2131,1579,651,8569,101,91,225,302,426,704,1368,1770,1078,6057,17,30,94,99,127,139,171,141,108,929,1252,1661,4517,3943,3926,3903,3169,2023,1109,25493,6703,13163,36244,37104,37489,39334,31526,14751,5424,221730,6086,16649,42875,42794,35511,29161,20974,7701,1766,203527,2100,2939,8237,9094,10356,10298,5930,1914,378,51242,2789,3824,12074,14461,20823,27432,23072,8737,2052,115264,770,559,1446,1882,2472,3881,4990,3308,1127,20436
59799,0,37,164,325,243,122,47,6,0,942,0,3,33,72,81,43,8,0,0,246,6,7,31,96,118,83,22,3,0,366,0,0,5,5,8,10,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,6,28,190,414,378,198,35,4,0,1263,13,81,430,908,839,449,117,15,0,2854,7,19,53,29,29,38,22,7,0,198,0,0,3,0,0,7,3,0,0,22,0,6,0,0,4,7,12,3,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,29,20,23,24,12,5,0,124,8,36,89,49,60,77,61,17,0,392,5,59,216,349,273,156,75,7,0,1134,0,3,43,74,83,53,13,0,0,272,6,9,31,95,129,92,39,10,0,402,0,0,7,3,8,8,0,0,0,38
6GHOB,1429,5579,14690,10471,7418,5758,5060,2117,654,53168,453,595,1378,1327,1257,888,513,273,81,6769,603,872,2388,2462,4203,5448,3821,1723,472,21990,74,64,227,216,397,905,1234,979,200,4305,53,39,124,148,177,353,595,715,401,2594,3,13,90,58,75,92,91,46,19,485,276,327,986,745,634,653,685,546,258,5113,2890,7490,19879,15426,14155,14097,11987,6404,2093,94425,1527,5816,15459,11863,8923,6924,4957,2146,721,58338,345,526,1300,1255,1340,1207,778,372,106,7220,356,598,1803,2159,3999,5608,4839,2578,1027,22967,53,60,164,151,356,754,1496,1283,378,4702,28,36,130,109,158,278,517,729,767,2752,10,11,77,78,107,84,72,55,29,522,242,330,918,678,562,588,775,747,453,5295,2564,7364,19854,16292,15441,15445,13430,7910,3498,101792,2955,11391,30149,22332,16340,12679,10014,4268,1378,111505,801,1121,2673,2580,2599,2094,1287,643,190,13991,959,1463,4190,4624,8202,11054,8662,4302,1502,44954,129,122,398,371,751,1660,2729,2263,582,9010
6RTAS,1403,4803,9857,7939,6289,5780,5686,2490,564,44801,706,1007,1882,1861,1648,1291,1032,461,95,9986,1212,1709,4810,4778,8392,10370,6748,2841,547,41410,142,107,365,402,925,2050,3143,2055,359,9540,48,68,188,200,337,713,1381,1365,803,5102,14,18,88,101,114,107,84,62,40,631,476,529,1237,1030,1213,1357,1466,1111,500,8923,4005,8238,18427,16309,18918,21658,19550,10390,2906,120398,1604,5265,11471,10460,8552,7541,5537,2271,679,53380,587,861,2010,1907,2175,1951,1299,466,112,11386,678,1104,3495,3900,7606,9906,7542,3648,1028,38913,106,77,242,254,640,1645,3005,2169,551,8685,50,38,128,171,197,457,959,1148,1216,4360,4,24,83,91,117,92,74,64,38,586,396,466,1061,938,1016,1290,1433,1375,758,8738,3426,7843,18487,17721,20299,22891,19854,11139,4380,126045,3001,10061,21328,18397,14838,13315,11223,4763,1243,98177,1298,1876,3894,3770,3828,3242,2335,928,214,21375,1885,2810,8309,8678,15997,20282,14298,6487,1577,80320,245,185,605,654,1562,3694,6148,4225,907,18224
69799,0,9,24,30,14,9,8,0,0,100,0,0,3,4,8,7,0,0,0,20,0,3,7,11,23,22,6,0,0,68,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,24,22,20,3,0,0,95,5,9,58,65,70,62,25,4,0,286,0,0,9,9,9,7,3,0,0,34,0,0,0,0,4,3,0,0,0,9,0,0,0,0,3,4,4,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,0,6,13,12,18,11,9,0,0,71,6,7,30,40,25,19,14,0,0,131,0,4,0,4,10,8,0,0,0,25,0,0,7,11,28,27,10,0,0,78,0,0,0,0,0,3,4,6,0,6
7GDAR,851,3426,8680,7013,4865,3277,2454,787,111,31468,271,478,1167,1068,1352,1417,711,166,14,6640,319,512,1587,1638,1946,2221,1583,448,63,10314,89,58,223,280,335,454,459,191,35,2128,38,23,110,140,230,289,460,342,82,1728,7,22,61,46,70,58,70,46,24,401,326,586,1525,1226,1207,1122,875,311,76,7262,1898,5109,13360,11413,10009,8836,6626,2286,397,59934,908,3279,10458,8375,5664,3753,2185,651,110,35388,165,330,867,896,1147,1350,706,163,24,5653,179,283,1003,1096,1463,1823,1513,483,87,7928,65,50,189,216,242,339,371,161,37,1667,21,13,81,145,200,295,421,315,118,1606,4,12,33,62,72,103,109,60,24,471,351,482,1492,1206,1085,1002,743,283,94,6731,1696,4439,14128,11994,9874,8659,6047,2119,496,59452,1761,6705,19145,15387,10532,7027,4646,1437,219,66856,433,804,2034,1964,2502,2769,1417,328,35,12288,495,790,2593,2733,3411,4040,3098,929,146,18241,156,104,412,499,580,792,831,353,72,3800
7RNTE,439,1341,3955,3142,2165,1931,1495,347,13,14830,304,497,1049,838,854,924,527,82,6,5089,538,697,1528,1434,1413,1635,1180,261,34,8714,300,286,569,520,458,438,383,99,9,3057,270,239,491,503,488,415,458,175,31,3074,37,50,91,112,123,138,116,57,15,735,348,545,1500,1217,1257,1192,872,244,26,7206,2234,3657,9175,7762,6760,6672,5025,1270,143,42703,574,1616,4961,3450,2672,2523,1246,233,35,17311,263,466,1017,815,854,946,519,82,8,4965,386,553,1298,1171,1181,1399,1050,191,25,7270,231,240,507,492,458,371,285,76,14,2666,220,211,434,424,449,420,400,164,41,2764,28,39,66,91,117,133,170,84,42,770,326,423,1166,894,904,1010,724,153,40,5637,2027,3548,9450,7333,6635,6806,4393,979,213,41381,1015,2963,8913,6593,4835,4459,2737,580,48,32142,567,957,2070,1657,1706,1865,1047,169,17,10053,930,1247,2828,2604,2591,3039,2228,450,62,15982,524,523,1074,1013,911,807,665,174,24,5719
79799,5,4,22,32,43,28,8,4,0,151,0,3,4,9,11,8,0,0,0,35,0,0,10,14,16,25,5,0,0,78,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,15,41,40,33,7,0,0,138,10,17,51,101,111,97,19,4,0,414,0,12,7,0,0,3,11,0,0,33,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,17,0,15,12,3,7,12,21,5,0,64,0,18,25,37,46,31,16,6,0,185,0,3,4,9,13,8,4,0,0,40,0,0,10,18,23,28,7,0,0,86,0,0,0,4,0,8,0,0,0,5
8ACTE,4229,14616,32403,28799,21662,14915,10753,5022,1422,133813,329,550,1169,1149,1172,1078,667,301,103,6525,616,855,2407,2172,3171,3826,2645,1405,455,17557,131,92,314,324,406,467,675,507,184,3097,31,40,178,225,241,355,632,692,361,2758,12,27,169,145,133,106,105,90,34,824,585,1017,1972,1405,1020,809,725,562,302,8392,5935,17196,38616,34220,27808,21545,16201,8580,2860,172963,4566,15342,34191,30657,22775,15760,10492,4645,1416,139844,269,366,850,880,997,1129,822,476,187,5978,409,538,1736,1709,2881,4372,4434,2658,1049,19794,92,72,263,253,332,554,1021,765,404,3750,38,35,121,169,240,497,898,998,637,3640,10,26,106,90,133,185,159,191,117,1018,581,889,1693,1152,862,682,822,707,525,7914,5955,17263,38963,34916,28220,23176,18652,10442,4338,181928,8788,29961,66594,59456,44436,30675,21246,9668,2839,273657,600,918,2023,2030,2165,2205,1488,783,287,12504,1025,1393,4146,3882,6054,8197,7081,4069,1499,37355,221,162,576,578,736,1016,1699,1272,588,6847
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,38,81,201,191,132,142,112,36,7,937,0,10,13,16,33,34,15,4,0,135,8,4,32,24,88,143,85,29,16,433,4,3,4,3,15,16,19,16,3,73,0,0,6,5,9,12,45,16,3,85,0,0,0,0,0,8,16,11,6,50,13,44,194,118,105,95,74,34,0,680,65,149,444,364,384,452,362,148,30,2397,31,100,202,221,180,161,105,41,10,1048,4,0,13,13,28,34,12,7,0,113,7,3,6,27,76,114,88,28,9,355,0,0,4,0,8,8,22,7,0,51,0,0,3,5,12,17,21,5,0,56,0,0,0,0,0,14,18,18,7,59,13,24,63,63,73,90,49,29,3,405,47,123,290,332,377,438,303,142,34,2095,67,181,401,408,312,305,217,82,17,1990,8,10,26,34,61,68,26,16,0,248,15,8,39,56,170,252,171,58,26,795,6,5,5,11,16,26,35,20,4,128
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
