GCCSA_PEP_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
4RSAU,62,520,7,589,9107,1028,10,10733,422,364,9,798,7932,949,95,9774,6270,634,220,7129,12310,2582,429,22445,10478,458,416,11353,7838,2526,193,21906,6256,854,175,7286,15682,2544,58,25570,1177,2437,40,3653,24066,2449,26,30199,246,2632,13,2887,23338,1971,32,28227,46,487,0,532,13268,1287,11,15091,4,22,0,27,3944,490,9,4472,24959,8405,884,34248,117484,15819,861,168416,91,864,11,969,7784,868,5,9626,946,700,59,1705,6335,571,22,8622,8974,943,640,10560,8647,1430,68,20697,12336,735,855,13918,5801,1357,37,21112,5430,2111,259,7793,15405,1633,20,24856,478,5552,53,6082,21530,1716,41,29373,147,3910,20,4076,21622,1751,26,27473,40,581,3,621,13807,1336,19,15778,7,33,0,39,5737,762,4,6542,28449,15426,1887,45767,106666,11412,241,164081,153,1383,22,1556,16891,1898,13,20357,1370,1064,71,2500,14269,1518,117,18396,15246,1581,858,17686,20956,4012,494,43146,22813,1189,1267,25268,13645,3880,231,43018,11686,2962,436,15080,31088,4180,78,50426
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15
5GPER,200,2987,26,3206,57031,2854,63,63158,1407,2076,43,3529,58267,3984,250,66034,30383,3422,809,34616,97771,9707,588,142680,73583,2600,2100,78280,57906,8502,404,145095,43951,3113,1163,48221,74265,6400,375,129265,7972,8824,213,17011,89547,4748,410,111713,1409,13792,57,15260,68550,3636,345,87790,256,3557,21,3834,40211,3037,126,47208,35,182,0,223,13588,1940,28,15777,159197,40550,4431,204179,557134,44816,2590,808711,315,4845,48,5212,52293,2764,71,60338,3523,4056,204,7786,53469,3153,193,64599,52730,6530,2637,61900,82505,7732,492,152630,92430,4720,5297,102444,44869,6540,247,154105,42623,8535,1938,53098,78946,5073,264,137389,3579,25024,304,28907,87352,4020,517,120801,973,23877,136,24984,67732,3825,449,96990,228,4327,32,4584,45784,3980,141,54492,35,250,0,282,21263,3477,48,25072,196434,82166,10597,289196,534217,40565,2431,866413,521,7832,72,8421,109319,5621,134,123494,4926,6132,253,11314,111739,7138,447,130631,83113,9956,3448,96512,180277,17442,1078,295309,166013,7325,7396,180726,102773,15047,653,299200,86572,11641,3095,101318,153212,11474,644,266653
5RWAU,89,813,8,916,12779,1815,9,15521,719,550,47,1316,11270,2571,146,15308,9708,1018,392,11122,22047,8829,441,42438,18625,884,792,20292,15284,8832,228,44643,10508,1199,351,12063,24846,8369,121,45394,1886,2766,65,4716,32899,6686,110,44409,291,2748,13,3054,27614,3590,67,34331,60,493,0,549,12929,1608,28,15117,7,30,0,32,3291,573,5,3896,41883,10496,1688,54061,162966,42877,1156,261059,150,1399,36,1591,11079,1588,16,14265,1469,934,132,2535,8921,1717,126,13300,13378,1544,1132,16059,15613,4577,320,36567,20054,1391,1672,23112,10085,3934,73,37203,8360,2805,512,11673,21997,3827,52,37549,716,6465,74,7252,28461,3638,77,39430,157,4381,35,4572,24186,2779,72,31609,58,637,4,700,12446,1614,20,14779,8,50,4,58,4526,833,7,5429,44355,19605,3594,67553,137317,24503,753,230139,236,2215,47,2504,23856,3404,29,29787,2188,1488,176,3848,20189,4290,276,28607,23089,2563,1532,27180,37663,13407,763,79006,38673,2271,2466,43408,25374,12762,298,81843,18866,4005,866,23732,46841,12191,172,82943
59799,0,0,0,0,8,7,0,14,0,0,0,0,48,28,0,81,35,3,0,37,198,192,24,459,152,0,6,161,333,413,37,945,101,10,4,115,351,376,53,896,9,10,0,21,237,196,24,473,0,5,0,5,73,40,0,119,0,0,0,7,7,0,0,15,0,0,0,0,0,0,0,0,300,30,9,347,1254,1251,143,3002,0,0,0,0,5,3,0,8,0,0,0,0,23,15,0,37,4,3,0,8,52,28,3,94,8,0,0,4,23,20,7,55,0,0,0,3,34,23,0,57,0,0,0,0,55,29,3,86,0,11,0,11,36,11,0,61,0,4,0,4,6,5,0,17,0,0,0,0,0,0,4,3,5,21,0,26,233,123,16,405,0,0,0,0,8,10,0,19,0,4,0,4,75,43,0,121,39,10,0,52,246,224,33,549,154,0,6,165,359,429,37,999,104,9,4,110,387,391,61,951
6GHOB,20,301,3,323,6200,367,0,6889,226,227,8,455,6647,389,54,7551,3894,514,114,4523,14183,1188,149,20033,7724,302,315,8343,6228,860,44,15477,4580,431,168,5177,8326,661,22,14187,881,1138,25,2042,11454,610,19,14125,151,1876,4,2038,9402,556,22,12015,23,490,0,510,5487,404,6,6410,0,28,0,29,1884,188,4,2103,17503,5296,641,23431,69817,5225,314,98792,32,570,9,609,5496,332,6,6449,463,486,28,976,6044,349,9,7385,5789,873,341,7005,11896,956,33,19892,9184,578,681,10438,5154,704,15,16307,4553,1062,240,5851,9043,547,17,15460,401,3068,25,3497,11452,503,42,15488,88,3159,14,3261,9601,573,22,13454,24,585,0,604,6766,550,15,7935,0,30,0,26,3129,342,4,3504,20533,10407,1337,32278,68580,4862,161,105882,55,868,14,931,11702,702,6,13339,682,710,34,1435,12691,739,67,14931,9685,1385,457,11526,26078,2143,182,39927,16909,882,991,18776,11384,1567,51,31784,9129,1498,410,11029,17369,1206,41,29652
6RTAS,40,345,0,382,7510,686,10,8591,432,295,11,737,6949,571,67,8325,5068,506,174,5747,11437,1252,94,18526,8324,388,302,9015,6306,998,62,16380,4809,628,144,5579,12263,1091,24,18954,1070,1608,32,2710,17757,1206,19,21692,178,1743,11,1932,16413,1217,20,19580,42,345,0,391,9170,832,8,10403,0,12,0,12,2527,368,3,2910,19950,5868,675,26499,90334,8214,307,125355,73,674,7,758,6743,552,4,8055,872,562,47,1479,5892,481,12,7867,7428,818,528,8776,8673,1053,86,18583,10128,602,663,11397,5439,900,29,17764,4489,1733,222,6442,12909,946,17,20323,416,4030,43,4494,17313,1092,22,22917,100,2763,13,2878,15868,1122,17,19884,23,423,3,449,9726,975,10,11155,4,22,0,21,3830,524,10,4390,23545,11621,1527,36690,86403,7641,204,130938,111,1016,9,1143,14249,1239,13,16644,1302,853,59,2219,12843,1046,79,16193,12497,1320,703,14522,20109,2307,177,37116,18452,988,968,20402,11744,1900,90,34140,9294,2357,369,12023,25178,2038,40,39277
69799,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,4,3,0,5,22,25,3,58,10,0,0,10,28,24,3,67,12,0,0,9,33,22,0,71,0,4,0,0,33,27,0,63,0,0,0,0,24,0,0,25,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,29,4,0,36,157,102,8,296,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,0,3,0,5,8,0,0,13,0,0,0,0,7,3,0,16,3,0,0,3,12,4,0,18,0,0,0,0,9,3,0,11,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,48,13,0,75,0,0,0,0,6,0,0,5,0,0,0,0,9,0,0,15,3,3,0,9,34,25,3,69,12,0,0,9,33,30,4,78,13,0,0,18,42,31,0,90
7GDAR,11,203,0,214,3320,434,89,4057,148,163,7,313,4025,786,1098,6224,2415,293,74,2781,8668,1919,510,13877,4750,222,162,5137,4754,1532,158,11580,2626,282,58,2965,5689,1364,68,10083,519,539,12,1076,6622,1150,72,8915,131,632,4,772,5021,836,37,6668,14,133,3,146,1870,272,13,2294,0,11,0,8,336,53,0,399,10614,2475,325,13417,40293,8349,2046,64106,38,359,9,399,3051,406,12,3867,341,264,18,623,3308,514,126,4577,3988,529,226,4740,7812,1584,177,14305,5818,381,367,6562,4180,1261,46,12046,2309,615,129,3050,5738,1095,23,9906,212,1312,10,1539,6161,977,78,8744,57,1118,5,1180,4197,687,43,6102,8,188,4,197,1672,253,8,2136,0,7,0,13,404,81,8,504,12765,4770,768,18296,36515,6860,509,62191,44,559,9,613,6368,845,99,7921,481,426,30,942,7329,1304,1221,10795,6401,822,296,7520,16476,3500,688,28189,10567,603,533,11698,8929,2793,198,23627,4935,896,186,6017,11430,2460,87,19990
7RNTE,80,705,34,816,2162,455,6,3443,318,589,114,1019,2041,612,82,3752,1818,756,348,2921,4595,1671,135,9322,2526,545,308,3382,3004,1376,47,7812,1189,634,159,1978,3514,1274,19,6790,273,532,62,867,4616,1198,32,6706,82,374,21,471,3737,826,21,5052,12,63,4,79,972,218,4,1274,0,8,0,7,116,17,0,143,6287,4214,1050,11551,24762,7649,344,44302,151,747,67,957,1780,415,5,3163,568,661,192,1414,1743,407,19,3582,2684,941,595,4222,4110,1132,102,9563,2880,789,497,4154,2345,841,15,7360,1037,1071,226,2332,3448,852,11,6645,158,1049,97,1302,4554,947,37,6843,51,569,25,652,3098,646,16,4410,3,83,12,99,745,136,8,989,4,16,0,23,164,25,0,211,7529,5929,1709,15160,21986,5409,208,42763,226,1454,96,1773,3941,871,10,6598,882,1247,306,2436,3776,1019,98,7336,4502,1700,942,7144,8704,2803,231,18888,5403,1329,806,7541,5352,2216,63,15167,2221,1705,385,4306,6966,2129,33,13439
79799,0,0,0,0,10,0,0,10,0,0,0,0,14,5,0,17,5,0,0,5,28,16,0,54,12,0,0,14,51,41,0,106,12,0,0,9,62,43,0,117,4,0,0,4,58,33,0,96,0,0,0,0,13,7,0,22,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,26,7,0,27,245,138,12,429,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,15,0,0,0,0,6,5,7,16,0,0,0,0,6,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,11,0,0,12,0,0,0,0,12,5,0,21,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,5,43,17,7,67,0,0,0,0,10,0,0,11,0,0,0,3,24,3,0,27,5,0,0,5,34,18,9,65,12,0,0,14,53,43,0,112,12,4,0,9,69,43,0,124
8ACTE,36,614,4,652,12120,668,19,13461,192,401,10,599,15500,1121,50,17274,6357,795,138,7290,29132,2224,88,38737,17393,551,543,18487,14183,1564,100,34340,10226,581,295,11101,15637,1088,72,27903,1831,1641,53,3520,17236,797,60,21617,240,3123,16,3383,12211,611,65,16276,42,917,0,967,7161,457,22,8612,3,57,0,65,2531,270,5,2864,36325,8687,1047,46069,125712,8811,493,181082,43,927,7,982,11410,646,20,13059,495,789,24,1305,14979,997,43,17328,10078,1309,415,11806,25361,1807,88,39065,20367,901,1049,22315,11406,1208,75,35004,9287,1304,401,10996,16351,879,63,28290,812,4118,62,4982,17553,657,122,23317,176,5121,30,5331,12656,674,87,18755,45,1117,12,1172,8708,568,21,10468,9,45,0,54,3807,480,3,4342,41313,15636,1998,58953,122224,7925,520,189630,77,1542,7,1636,23529,1315,45,26526,690,1192,29,1910,30479,2122,92,34599,16436,2107,551,19099,54489,4032,177,77804,37756,1454,1591,40806,25591,2780,177,69342,19516,1887,697,22101,31989,1964,139,56195
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,6,0,7,87,19,0,110,0,5,0,5,96,45,5,148,49,5,3,57,202,186,4,453,108,12,5,128,120,115,0,365,79,11,5,96,190,98,3,389,24,31,0,52,313,86,3,457,8,23,0,32,264,61,0,361,0,9,0,9,107,32,0,148,0,0,0,0,25,0,0,30,272,89,18,379,1414,655,15,2464,0,6,0,6,84,15,0,113,9,12,0,23,79,20,7,130,70,16,4,92,138,63,0,290,146,13,14,172,95,62,0,332,78,18,6,102,208,69,0,379,12,52,0,69,298,69,0,442,0,30,0,33,226,47,0,309,0,8,0,8,105,32,0,142,0,0,0,0,25,3,0,34,319,163,28,509,1267,381,10,2163,0,14,0,14,168,37,0,220,9,16,0,28,172,71,4,273,121,18,9,145,338,255,8,745,256,21,24,298,218,179,0,701,160,33,13,198,401,165,3,767
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
