GCCSA_PEP_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
4RSAU,1659,7994,84,9735,45595,4161,64,59562,389,6541,31,6961,44961,3726,58,55704,86,1062,9,1155,27071,2615,25,30871,14,51,0,64,9683,1249,15,11011,53415,23824,2775,80013,224147,27237,1098,332496
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40
5GPER,11553,33848,516,45913,176899,8769,929,232513,2383,37670,195,40245,136285,7459,798,184787,480,7885,55,8424,85995,7012,268,101701,65,435,0,502,34850,5422,80,40849,355629,122715,15023,493374,1091352,85382,5020,1675126
5RWAU,2600,9228,139,11967,61368,10329,186,83843,454,7130,46,7631,51801,6371,134,65939,116,1130,11,1252,25375,3222,41,29890,16,76,5,94,7817,1405,15,9332,86241,30101,5280,121615,300284,67383,1906,491193
59799,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
6GHOB,1282,4202,52,5536,22906,1114,61,29621,242,5036,18,5296,19002,1131,40,25470,46,1072,5,1118,12255,955,22,14348,3,55,0,53,5006,529,7,5603,38030,15700,1977,55705,138398,10086,482,204671
6RTAS,1490,5637,73,7201,35077,2291,38,44606,282,4509,20,4804,32280,2336,42,39463,64,766,3,836,18898,1806,16,21554,6,27,0,34,6364,890,15,7305,43496,17484,2198,63187,176733,15858,511,256292
69799,0,6,0,3,42,30,0,77,0,0,0,0,33,0,0,33,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,35,10,0,47,211,110,13,374
7GDAR,733,1851,28,2614,12783,2116,150,17665,186,1756,12,1951,9215,1517,83,12766,20,321,4,342,3540,524,22,4433,9,17,0,22,738,138,6,904,23377,7248,1093,31711,76815,15212,2555,126296
7RNTE,435,1585,156,2167,9168,2146,65,13556,131,950,47,1124,6834,1475,33,9464,15,152,14,177,1718,358,13,2264,3,23,0,31,276,47,0,357,13818,10138,2757,26714,46744,13056,553,87063
79799,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
8ACTE,2642,5759,109,8509,34790,1454,179,44930,421,8245,50,8716,24868,1290,152,35030,88,2035,15,2139,15866,1028,49,19085,9,105,0,110,6337,753,7,7204,77645,24330,3050,105023,247937,16736,1020,370716
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,37,81,0,120,610,157,5,893,4,59,0,66,493,108,0,673,0,17,0,17,217,62,0,295,0,0,0,0,54,4,0,60,590,256,41,884,2683,1036,23,4630
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
