GCCSA_PEP_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
4RSAU,1924,1804,3726,1851,1810,3667,1987,1945,3934,2049,1967,4013,2047,2002,4049,9859,9528,19391,2156,2163,4320,2176,2065,4237,2291,2181,4476,2354,2173,4527,2388,2272,4655,11357,10855,22211,2418,2194,4617,2455,2308,4759,2469,2315,4782,2423,2344,4766,2430,2310,4740,12190,11472,23664,2355,2129,4490,2267,2084,4351,2161,1996,4163,2013,1709,3719,1924,1702,3628,10723,9628,20343,1844,1562,3404,1901,1605,3509,1916,1761,3678,1946,1788,3729,2073,1892,3968,9683,8602,18281,2147,1878,4025,2201,2061,4263,2131,2009,4140,2187,2099,4290,2047,2094,4139,10715,10138,20851,2329,2141,4467,2247,2080,4327,2339,2064,4403,2201,2093,4290,2197,2120,4319,11301,10497,21800,2187,2256,4444,2287,2164,4450,2203,2164,4361,2251,2141,4386,2186,2145,4327,11107,10867,21973,2168,2095,4264,2082,2045,4125,2062,1931,3999,2185,2044,4226,2113,2094,4201,10606,10210,20821,2208,2242,4449,2271,2188,4453,2350,2219,4567,2423,2410,4838,2548,2592,5139,11801,11645,23441,2849,2781,5624,2617,2687,5297,2803,2600,5404,2756,2566,5318,2692,2561,5252,13711,13194,26907,2644,2615
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,8,0,8,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,4,0,4,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0
5GPER,12756,12128,24884,13045,12385,25436,13266,12554,25823,13533,12748,26284,13991,13042,27034,66604,62861,129457,14318,13383,27698,14000,13101,27105,13791,13317,27111,13990,13350,27337,13716,13314,27032,69818,66468,136284,13901,13341,27238,13910,13149,27057,13922,12847,26764,14005,13341,27344,13968,13029,26997,69702,65703,135405,13324,12611,25935,12763,12007,24770,12603,11768,24372,12124,11966,24092,12273,11917,24192,63093,60270,123358,13014,12503,25519,13163,12968,26133,13336,12919,26253,13095,12850,25948,13165,13163,26336,65776,64401,130185,13498,13357,26861,13896,13910,27805,13737,14242,27979,13449,14599,28046,13842,14795,28641,68427,70898,139327,14216,15719,29939,14723,15941,30666,14604,16407,31009,14964,16490,31459,15154,16674,31825,73665,81235,154901,15385,16736,32115,15559,16704,32258,15366,16560,31925,15412,16365,31775,14959,15662,30622,76675,82025,158701,14640,15453,30094,13917,14598,28513,13404,14349,27754,13189,13767,26959,12863,13668,26532,68014,71835,139850,12970,13616,26590,12699,13747,26451,12767,13627,26393,12969,13871,26841,13671,14516,28185,65086,69376,134460,13824,14779,28604,12998,13724,26722,12873,13677,26552,12220,12914,25142,11893,12644,24537,63806,67745,131548,11714,12514
5RWAU,3081,2875,5951,3295,3114,6401,3391,3091,6484,3420,3242,6673,3500,3370,6870,16685,15685,32377,3722,3498,7219,3757,3523,7278,3827,3615,7445,3840,3580,7420,3873,3609,7480,19020,17826,36845,3886,3532,7418,3845,3724,7571,3627,3474,7100,3665,3475,7130,3630,3499,7130,18652,17699,36348,3432,3367,6793,3321,3028,6347,3214,2954,6164,2855,2526,5386,2695,2377,5074,15511,14250,29767,2697,2240,4942,2813,2410,5222,3034,2672,5703,3204,2822,6025,3415,3026,6446,15160,13177,28335,3748,3140,6885,3895,3384,7280,3975,3522,7502,3962,3551,7516,4146,3463,7611,19734,17061,36798,4437,3793,8229,4332,3891,8226,4511,3855,8368,4474,3788,8261,4509,3860,8374,22263,19187,41448,4742,3968,8708,4485,3940,8425,4613,3854,8466,4618,3881,8491,4519,3822,8343,22971,19467,42441,4557,3747,8299,4262,3586,7842,4274,3595,7870,4194,3384,7576,4160,3356,7515,21438,17665,39102,4224,3455,7676,4255,3615,7863,4294,3603,7896,4622,3576,8198,4740,3983,8723,22127,18230,40357,5016,4115,9133,4601,3807,8410,4622,3897,8518,4501,3841,8342,4408,3609,8014,23144,19266,42411,4455,3752
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,4,0,0,0,4,3,8,6,4,12,13,8,20,0,5,8,20,4,21,21,14,34,28,4,36,14,6,23,81,36,116,27,8,35,26,4,29,24,7,33,34,9,45,39,15,48,152,43,196,35,11,44,57,11,71,56,10,65,62,9,65,63,5,74,283,40,327,86,11,90,75,10,82,94,8,109,108,0,108,78,3,85,441,29,470,105,5,107,90,4,97,108,0,111,98,3,96,66,9,74,465,24,483,90,3,90,83,4,88,86,5,95,80,3,83,83,6,89,418,23,440,100,8,110,86,6,96,85,3,89,68,6,79,74,13,85,418,36,453,79,0
6GHOB,1293,1263,2559,1360,1249,2609,1329,1221,2548,1283,1218,2506,1362,1274,2641,6631,6227,12859,1447,1382,2837,1410,1326,2737,1440,1389,2830,1431,1399,2833,1377,1394,2772,7106,6896,14007,1581,1401,2984,1493,1363,2863,1470,1473,2945,1528,1437,2967,1512,1411,2924,7588,7087,14679,1431,1344,2776,1444,1340,2785,1346,1260,2609,1329,1246,2573,1347,1247,2591,6892,6445,13335,1413,1395,2808,1441,1309,2754,1451,1513,2960,1551,1526,3077,1638,1630,3271,7497,7372,14867,1778,1820,3595,2015,1926,3946,2114,2053,4162,2057,2030,4084,2068,2062,4131,10031,9891,19922,2089,2138,4229,2062,2131,4188,2022,1975,3998,1858,1906,3763,1825,1820,3649,9856,9971,19830,1815,1854,3668,1755,1817,3573,1602,1764,3368,1632,1652,3284,1591,1683,3283,8404,8773,17172,1472,1619,3094,1424,1575,3001,1430,1449,2873,1363,1466,2827,1347,1408,2761,7032,7523,14556,1352,1485,2838,1366,1465,2828,1450,1543,2991,1373,1547,2914,1493,1627,3128,7036,7660,14701,1572,1648,3220,1409,1594,3002,1492,1551,3042,1382,1489,2870,1279,1501,2782,7134,7781,14911,1231,1362
6RTAS,1529,1408,2935,1526,1515,3042,1599,1505,3106,1617,1502,3125,1610,1596,3209,7886,7530,15414,1739,1562,3304,1706,1645,3346,1729,1715,3442,1784,1718,3505,1788,1695,3488,8746,8339,17086,1808,1764,3571,1834,1709,3548,1994,1868,3864,1904,1797,3697,1959,1836,3791,9497,8974,18477,1921,1783,3704,1789,1669,3460,1700,1613,3311,1605,1535,3142,1567,1445,3010,8577,8048,16630,1589,1462,3055,1679,1554,3234,1639,1618,3252,1620,1534,3152,1726,1684,3411,8254,7854,16110,1774,1742,3520,1997,1855,3852,1966,1877,3843,1932,1922,3856,1866,1922,3784,9542,9317,18862,1862,1913,3772,1844,1831,3673,1752,1817,3571,1711,1841,3552,1725,1782,3510,8896,9183,18077,1702,1791,3489,1677,1873,3550,1728,1825,3560,1639,1743,3381,1691,1813,3502,8435,9051,17485,1605,1826,3426,1534,1662,3200,1614,1776,3391,1578,1731,3314,1546,1689,3234,7878,8685,16566,1718,1726,3446,1684,1803,3481,1747,1800,3544,1844,2027,3872,1964,2104,4070,8951,9461,18421,2033,2327,4361,2038,2106,4144,2003,2175,4173,1985,2114,4094,1920,2125,4040,9975,10840,20816,1913,2113
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,4,5,3,0,3,4,0,4,0,0,0,4,3,8,0,0,0,9,6,15,4,0,0,4,0,3,0,0,0,4,0,3,5,0,10,17,8,29,9,0,10,4,0,4,9,0,7,3,0,3,12,0,10,35,3,41,8,3,9,7,0,10,4,0,5,9,0,8,7,0,11,27,4,42,6,0,6,17,4,17,3,0,9,7,0,7,6,0,4,33,0,39,0,0,0,3,0,8,5,0,12,13,0,13,11,0,10,33,5,43,9,0,12,11,5,12,6,0,8,8,8,11,9,4,11,33,14,46,5,0
7GDAR,1001,1002,2006,1028,934,1965,1012,991,2010,1023,924,1947,1042,1018,2055,5104,4869,9978,978,1044,2014,1035,1003,2036,1042,1003,2047,1016,1027,2040,1012,997,2010,5087,5065,10153,961,915,1875,1024,897,1923,963,867,1818,964,939,1900,902,865,1767,4806,4484,9290,816,878,1697,829,821,1649,794,742,1532,804,740,1545,724,684,1407,3969,3858,7824,868,733,1603,890,765,1663,1060,871,1927,1163,975,2143,1136,1098,2238,5127,4452,9571,1252,1248,2502,1336,1331,2661,1306,1364,2669,1342,1476,2820,1300,1426,2729,6533,6849,13383,1430,1515,2952,1454,1492,2948,1328,1405,2730,1303,1479,2785,1309,1395,2709,6830,7287,14121,1339,1322,2659,1172,1392,2568,1249,1316,2561,1207,1233,2444,1155,1212,2367,6129,6472,12599,1130,1169,2306,1095,1160,2253,1064,1107,2164,978,1115,2094,1029,982,2009,5295,5536,10825,998,995,1997,990,946,1940,960,1006,1965,1025,993,2024,1046,1004,2046,5022,4944,9963,1104,1053,2160,1051,1043,2089,998,975,1977,901,963,1874,937,906,1838,4993,4940,9936,960,931
7RNTE,606,538,1143,785,680,1462,696,638,1332,750,653,1397,789,671,1457,3624,3171,6790,779,700,1479,845,705,1549,769,657,1426,710,708,1420,756,761,1515,3861,3537,7401,824,749,1572,755,706,1464,700,707,1404,676,566,1243,685,612,1294,3642,3333,6975,684,585,1271,648,557,1211,671,573,1248,679,686,1363,749,754,1501,3433,3159,6589,792,694,1484,703,683,1387,687,709,1403,719,736,1454,768,743,1508,3673,3562,7230,880,888,1768,866,933,1800,899,938,1839,910,975,1890,984,994,1984,4539,4730,9273,997,1061,2058,959,958,1916,957,946,1900,887,864,1747,854,904,1754,4646,4726,9379,927,927,1847,832,870,1705,867,811,1674,822,775,1601,737,710,1448,4187,4094,8274,912,831,1742,655,621,1277,756,638,1398,614,606,1217,640,555,1189,3579,3248,6826,686,645,1337,628,548,1172,661,626,1282,648,645,1291,673,636,1302,3292,3098,6390,782,786,1572,719,684,1402,671,676,1356,631,699,1327,672,688,1361,3475,3535,7008,685,662
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,3,10,0,11,3,3,7,3,0,3,0,4,3,5,0,3,4,0,7,17,15,27,3,0,3,0,3,8,4,0,4,8,0,8,0,0,0,18,6,24,5,0,5,3,0,8,10,0,17,4,0,4,13,0,13,31,4,42,7,0,7,10,0,11,6,0,6,6,0,6,13,3,11,39,4,45,14,0,14,5,0,5,18,0,20,14,0,14,16,0,16,64,0,63,6,0,8,7,0,7,8,0,10,24,0,30,20,0,20,62,6,66,11,0,11,14,0,14,10,0,10,8,0,8,10,0,8,51,5,49,13,0
8ACTE,2714,2388,5103,2706,2616,5324,2715,2569,5284,2683,2563,5255,2918,2726,5642,13734,12875,26603,2990,2801,5787,3048,2820,5867,3023,2812,5840,2962,2901,5865,2888,2754,5640,14911,14088,28998,2888,2718,5609,2937,2756,5694,2772,2572,5342,2667,2520,5187,2699,2485,5176,13958,13044,27005,2655,2418,5079,2456,2282,4741,2410,2300,4709,2900,2888,5794,3015,3148,6162,13445,13041,26482,3240,3166,6402,3424,3350,6773,3490,3433,6921,3528,3623,7148,3540,3713,7257,17225,17284,34507,3711,3655,7361,3976,3850,7828,4015,3969,7984,4063,4029,8090,3955,4006,7960,19716,19504,39221,3914,4002,7918,3937,3957,7895,3732,3886,7620,3637,3818,7452,3710,3803,7520,18929,19471,38400,3738,3804,7537,3638,3914,7556,3662,3821,7479,3655,3659,7312,3590,3703,7295,18276,18896,37177,3523,3519,7043,3168,3407,6576,3217,3189,6407,3073,2920,5996,2975,2990,5972,15956,16029,31995,2877,2820,5704,2973,2979,5952,2866,2911,5783,2860,3030,5889,2938,3017,5958,14523,14764,29285,3001,2991,5994,2743,2795,5538,2603,2735,5333,2548,2522,5073,2403,2425,4826,13302,13464,26765,2325,2526
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,24,23,39,25,18,42,23,24,53,26,27,53,24,26,48,129,112,236,21,34,57,21,30,54,37,31,67,27,15,45,38,31,64,151,141,292,39,21,62,24,32,52,48,19,62,24,31,59,30,26,53,164,130,297,27,22,49,23,21,44,16,23,39,21,23,46,23,19,39,110,109,220,17,26,47,28,12,38,22,25,45,38,35,71,44,28,70,149,123,272,45,26,67,43,21,62,54,24,78,43,29,71,44,37,81,217,140,357,44,20,66,38,28,69,31,44,72,66,30,95,51,31,84,228,158,384,37,32,72,35,31,65,41,47,88,52,31,84,29,40,74,198,187,381,36,34,70,39,25,68,38,36,70,29,36,58,29,21,51,169,147,320,31,22,58,25,31,60,42,34,80,44,30,75,38,43,84,178,169,354,48,42,88,38,44,82,38,43,81,33,36,70,45,44,85,208,210,413,47,41
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
