GCCSA_PEP_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
4RSAU,2147,10710,8618,135698,2218,159396,63,526,222,15746,368,16925,1627,56,129,414,20,2250,720,165,66,444,18,1414,3107,913,655,1931,56,6659,26222,10820,8926,117791,2351,166119,2744,58,484,139,40,3472,534,109,79,749,17,1480,3884,1822,1384,34402,438,41930,1412,285,133,1184,44,3056,376,119,35,203,10,747,1581,82,44,119,9,1835,3832,1646,1141,23783,312,30720,2918,1069,409,4530,99,9023,130,6,51,18,0,212,87,41,17,170,3,318,57,9,14,25,0,102,291,111,59,349,9,824,739,184,136,133,19,1207,673,345,246,199,15,1472,958,241,148,894,15,2258,324,41,37,146,8,551,89,5,4,0,0,103,5938,2382,1860,26030,370,36581,235,45,21,74,0,375,711,101,85,55,0,948,435,75,41,260,8,818,153,16,18,27,5,219,475,30,46,23,16,589,915,226,154,1028,11,2338,10462,1645,1300,4312,230,17960,622,148,103,3236,25849,29958,60859,19817,15393,269486,31112,396657
49799,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,8,7,13,0,0,8,6,34
5GPER,28998,94318,77703,379137,4505,584658,586,2835,1774,33057,733,38995,101584,2268,4295,2999,524,111666,9440,2683,1446,7693,149,21419,21063,5791,3944,10583,197,41579,298330,84419,67657,313564,5715,769695,34265,542,2699,597,132,38239,9665,1116,958,2506,71,14315,23895,5279,4423,24898,375,58870,5973,2034,1067,5256,78,14404,3084,562,364,860,34,4896,67024,2307,1616,1753,192,72894,69436,15412,11325,85433,1047,182644,45955,15070,7379,46099,643,115154,7497,119,412,119,16,8164,1909,437,245,520,9,3119,6376,1104,696,2295,60,10535,1993,700,382,1388,25,4491,18405,2585,1686,806,185,23676,13093,5135,3066,1487,116,22898,11833,1894,1577,4214,104,19620,4451,367,615,757,42,6232,2268,318,106,60,19,2774,70196,17597,13638,77433,972,179837,6414,571,357,645,39,8027,23636,2259,1962,594,100,28555,7679,642,562,1775,56,10719,5467,478,309,365,31,6654,20602,517,947,416,73,22546,11702,2049,1445,4233,70,19503,249785,19497,19465,21049,1980,311781,12275,1025,857,5393,81926,101481,970903,167006,132874,703936,96537,2071253
5RWAU,4436,22701,19680,158514,2290,207618,135,1564,752,38893,861,42198,3944,191,299,718,46,5194,862,357,195,1222,31,2666,5398,1680,1043,3199,87,11401,58443,21822,18173,132664,2696,233799,7417,98,752,205,57,8531,1800,200,207,802,19,3027,5863,1511,1400,11079,180,20034,570,256,120,824,11,1782,450,123,64,188,6,831,3658,228,169,320,20,4403,11826,3757,2856,32699,457,51590,6023,2597,1189,12245,182,22239,475,9,63,14,5,555,176,34,22,72,6,310,366,93,56,274,5,789,312,166,78,288,3,842,5574,764,614,295,112,7363,3575,1466,930,505,61,6534,1936,442,337,1265,29,4008,572,56,101,233,12,973,462,48,25,21,8,562,13976,4593,3778,30689,413,53448,363,61,37,87,0,549,3854,390,352,152,14,4758,1146,114,96,530,13,1900,341,44,50,40,3,478,982,33,75,24,12,1126,2071,497,346,1412,16,4337,23963,3345,3340,6996,439,38085,1443,312,264,2903,69768,74683,135210,40406,32905,310260,76068,594855
59799,20,58,69,409,3,557,0,0,0,41,0,45,21,0,6,0,0,25,3,0,0,11,0,14,27,11,4,13,0,54,334,60,75,381,3,853,47,0,0,0,0,46,8,0,0,0,0,11,24,11,0,56,0,97,0,3,0,5,0,10,3,0,0,0,0,5,17,0,0,0,0,17,97,8,6,142,0,259,32,12,6,36,0,73,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,5,31,0,0,0,0,36,18,0,4,0,0,29,9,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,132,15,11,106,0,266,3,0,0,0,0,0,9,0,0,0,0,6,6,0,0,0,0,6,5,0,0,0,0,5,5,0,0,0,0,5,7,3,0,7,0,16,139,9,6,16,0,176,17,0,0,7,1357,1376,803,107,119,850,1369,3250
6GHOB,1177,8399,5745,76358,864,92544,36,306,141,9498,121,10105,8252,136,271,349,32,9039,382,132,43,243,11,809,1863,760,487,1764,16,4886,14038,8171,5584,75586,1089,104475,1207,52,294,51,9,1609,505,112,84,403,9,1122,2232,820,531,5438,62,9087,887,247,88,690,14,1921,245,132,30,163,6,575,3518,102,98,132,4,3857,2663,1674,1042,20694,231,26300,1546,641,218,2167,35,4606,553,20,66,37,3,675,120,42,19,93,0,277,37,14,4,20,0,74,113,72,28,157,0,371,203,121,65,115,0,502,502,295,182,208,3,1190,1057,362,158,909,8,2497,341,51,44,147,3,586,40,23,13,5,0,82,3369,1995,1341,16262,136,23101,191,39,17,55,0,303,547,101,85,44,0,775,445,58,39,153,4,697,385,21,8,26,3,434,1003,18,21,22,3,1068,613,194,128,620,8,1557,17377,1959,1432,3513,171,24458,681,93,52,1542,9537,11910,55287,15364,10341,152955,11790,245742
6RTAS,1228,8625,6553,112965,1779,131152,43,410,229,15805,238,16725,2546,88,150,471,23,3276,194,92,21,166,3,489,2818,959,699,2292,31,6796,17640,8206,6098,102998,2053,136996,1258,33,388,82,16,1777,509,85,56,479,6,1139,2336,873,498,6846,108,10651,267,112,36,279,8,701,281,109,37,129,0,564,1731,85,70,111,12,2009,3158,1491,981,23978,290,29897,1064,604,147,2020,36,3867,242,6,29,15,0,293,81,32,10,55,0,185,32,8,3,18,0,63,176,71,37,187,5,479,375,143,101,131,4,755,674,322,214,237,7,1460,717,213,111,566,3,1612,288,37,28,114,4,470,77,21,10,20,0,131,4341,1996,1428,21075,252,29092,86,22,6,35,3,162,507,71,74,40,6,692,350,28,39,185,8,605,233,20,20,27,0,297,373,11,44,5,3,445,731,161,118,638,11,1657,11883,1544,1312,3467,185,18384,517,116,100,2657,14488,17863,46091,15281,11300,215503,18583,306757
69799,0,10,7,85,0,103,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,12,17,83,0,127,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,22,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,22,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,19,0,0,0,0,110,110,44,19,22,166,110,366
7GDAR,1559,4625,4688,32601,339,43817,73,699,384,11568,428,13152,4629,207,348,793,41,6021,121,51,27,116,5,320,824,339,223,665,14,2074,9286,3768,3479,26193,399,43131,5834,123,604,231,27,6824,472,69,74,244,0,864,1395,491,444,3928,39,6304,2054,643,301,1069,32,4100,168,39,23,61,3,288,3886,79,59,57,7,4099,2419,923,793,9095,87,13320,1173,433,192,1769,19,3589,337,5,35,8,3,381,77,14,8,50,3,162,35,10,3,19,0,69,109,60,28,205,4,409,645,125,143,112,4,1028,551,271,153,107,14,1096,373,103,61,273,3,816,171,24,32,86,0,313,145,29,6,34,6,221,2253,916,793,7624,65,11653,76,13,0,29,0,131,398,73,46,30,3,544,520,31,28,111,9,701,536,29,26,29,3,629,1300,35,102,26,5,1477,341,70,76,339,0,838,17566,1320,1683,3402,191,24164,714,57,53,618,15814,17260,50141,9018,8466,68296,17229,153156
7RNTE,489,1809,1632,16082,215,20232,26,336,183,42952,620,44111,762,35,57,235,9,1099,60,14,7,40,0,126,540,153,102,254,13,1057,4309,1703,1389,13290,231,20930,1194,17,164,38,10,1424,248,28,23,96,3,401,887,237,173,2080,24,3409,117,53,21,109,3,297,60,22,9,34,0,133,1236,21,15,25,5,1302,1129,431,317,4713,65,6652,511,179,84,679,19,1478,105,0,15,0,0,123,20,10,0,32,0,61,12,4,0,10,0,31,58,35,10,47,4,156,539,90,68,56,9,762,357,98,64,37,5,562,182,29,31,124,3,378,80,11,10,26,0,133,187,15,7,8,3,223,1121,430,318,3894,50,5809,33,0,0,7,0,46,214,21,30,15,0,279,188,11,13,42,0,245,125,7,0,9,0,144,247,10,7,12,8,277,131,40,24,163,3,362,5391,512,461,1350,111,7821,267,17,21,510,12280,13097,16729,3638,2982,70845,13483,107676
79799,0,18,13,83,0,111,0,0,3,4,0,14,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,4,39,14,13,77,3,147,5,0,0,0,0,5,0,0,0,0,0,5,4,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,3,3,27,0,48,0,5,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,16,5,5,25,0,57,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,22,3,0,3,0,27,0,0,0,0,149,149,99,35,21,172,155,482
8ACTE,4901,18068,15282,103805,619,142668,130,518,305,7583,68,8604,22770,669,1375,1176,108,26096,3165,554,284,1567,30,5598,2806,1277,833,2861,22,7793,25766,15554,12276,90310,638,144548,6064,192,785,231,28,7301,1479,360,281,983,11,3110,4967,1841,1434,10713,84,19030,2557,628,338,1991,21,5537,930,274,194,599,5,2004,19381,396,346,274,26,20438,5850,3961,3032,39303,202,52337,5394,1871,973,6931,67,15229,3094,57,257,59,3,3472,810,264,107,436,0,1625,907,171,81,288,8,1451,628,270,206,854,14,1966,758,248,183,200,9,1396,1252,700,527,378,11,2866,2530,523,481,1430,17,4984,1203,165,188,426,11,1990,762,169,70,39,10,1043,6982,4249,3398,30410,156,45191,1506,242,135,295,12,2197,1377,237,232,125,6,1978,2113,266,212,491,23,3096,1899,136,149,127,8,2328,5305,155,326,139,29,5949,1172,475,319,1648,11,3615,57698,5482,5430,7148,318,76081,2257,180,128,1335,16337,20229,167280,33677,27758,205280,18305,452305
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,44,158,131,898,8,1240,3,4,0,149,0,158,339,14,16,29,0,390,0,4,0,6,0,15,22,4,12,14,0,55,398,110,103,517,22,1147,66,0,8,0,4,73,12,4,4,10,0,24,36,9,7,60,0,110,0,0,0,3,0,8,6,0,0,0,0,3,26,0,4,0,0,33,84,28,18,148,8,285,19,4,6,12,0,44,8,0,0,0,0,8,3,0,0,3,0,6,3,0,0,0,0,3,5,4,0,0,0,12,40,10,6,5,0,54,86,23,33,5,0,150,9,5,0,0,0,15,6,4,3,0,0,11,8,0,0,0,0,7,109,20,22,165,4,328,5,0,0,0,0,5,24,0,0,0,0,26,15,0,0,3,0,17,0,0,0,0,0,0,10,0,0,0,0,10,7,3,0,7,0,21,448,236,220,698,23,1627,17,7,4,27,1068,1122,1478,412,392,2008,1125,5425
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
