GCCSA_PEP_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
4RSAU,929,1323,2332,2228,3058,5217,9546,7105,3426,35172,1266,1904,3211,3052,3463,4726,6366,3612,1411,29008,769,2398,3805,3532,3928,4551,4551,2475,672,26676,474,2707,5214,4563,5013,5357,3413,1399,376,28515,253,2012,5439,4999,5822,5940,2983,896,196,28544,78,1093,3763,3634,4288,3961,1738,421,98,19072,51,512,3038,3290,3602,3273,1242,452,116,15582,15,294,1947,2308,2716,2337,734,185,34,10567,14,307,2604,3672,4196,3301,942,259,51,15344,10,37,430,704,844,643,249,68,10,2996,12,71,469,930,1204,1227,541,227,65,4757,1920,1616,4188,4055,4519,4705,4287,3286,1738,30317,13,117,494,231,78,64,58,25,15,1098,20357,18396,43146,43018,50426,59562,55704,30871,11011,332496
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
5GPER,5031,10169,11331,10074,10007,12654,26654,21075,10005,117002,5170,13495,17303,14713,13320,13809,20223,12719,4772,115523,3286,13765,19932,17001,14403,13548,14007,7799,2636,106381,2214,15061,28601,22458,20070,16970,11811,4993,1687,123868,1146,13230,37360,30032,26158,22436,11155,3554,996,146068,448,7881,31582,26339,22345,17848,7239,1942,485,116110,224,4297,27821,25902,22150,17127,5695,1555,540,105312,94,1880,19206,21219,18590,12949,3811,805,231,78775,95,2121,29018,43428,38341,24981,6077,1214,367,145646,26,328,5729,11424,10324,6390,1688,408,125,36432,73,278,5328,18217,20819,12560,3700,1140,318,62435,5903,7736,17842,15429,12539,9946,9086,8777,7713,94967,134,447,1078,653,644,929,798,268,80,5020,123494,130631,295309,299200,266653,232513,184787,101701,40849,1675126
5RWAU,1293,1290,2614,2788,3064,4622,9215,5979,2206,33069,1761,2110,3719,3959,3906,4782,6918,3555,1066,31774,1296,2770,4321,4174,4320,4677,4850,2223,570,29205,929,3400,5837,5317,5529,5738,3921,1412,394,32478,563,3040,7271,6606,6984,7210,3819,1008,191,36701,253,2063,5962,5618,5780,5460,2223,516,105,27973,167,1431,5928,5753,6033,5281,1806,467,146,27017,88,923,4770,5114,5344,4416,1273,255,47,22221,95,1419,9354,11567,11697,8727,2037,324,66,45277,10,229,2592,3473,3355,2380,554,104,33,12735,34,177,2247,4467,4514,3244,1076,310,71,16151,3460,4387,13495,12896,12499,10860,6959,3752,1830,70138,29,276,763,298,172,186,134,41,15,1906,29787,28607,79006,81843,82943,83843,65939,29890,9332,491193
59799,0,5,4,3,4,3,6,0,0,20,0,0,3,0,7,3,7,5,0,28,0,0,7,4,3,5,5,0,0,31,0,3,11,9,4,8,16,4,0,44,4,13,22,15,16,17,8,3,0,92,0,10,22,13,18,12,16,0,0,99,0,12,27,21,25,16,16,0,0,119,3,10,19,25,29,16,3,0,0,105,0,17,78,141,116,79,9,0,0,449,0,0,26,84,65,33,6,0,0,211,0,0,76,185,196,102,13,0,0,578,8,45,221,433,403,220,56,8,0,1394,0,0,33,37,61,29,0,0,4,164,19,121,549,999,951,560,178,32,3,3410
6GHOB,492,1221,2155,1518,1614,2341,4143,3157,1472,18115,543,1649,3343,1978,1700,2191,3013,1814,705,16943,295,1702,3699,2374,1898,2010,2365,1269,473,16083,194,1779,4991,3142,2495,2559,1941,893,324,18311,89,1522,5900,4022,3374,3292,1880,685,190,20952,25,828,3997,3173,2849,2450,1089,318,82,14809,10,324,2902,2888,2813,2262,781,267,85,12335,10,111,1835,2210,2307,1566,465,120,29,8656,6,54,1970,3628,3801,2556,602,158,48,12826,3,10,239,562,687,484,142,56,14,2203,15,34,298,943,1256,908,352,134,40,3985,720,806,2142,1580,1314,1240,1318,1168,888,11181,6,67,182,51,41,61,40,22,7,482,13339,14931,39927,31784,29652,29621,25470,14348,5603,204671
6RTAS,747,1257,2200,2005,2699,4006,7443,5233,2348,27941,869,1806,3122,2635,3016,3671,4496,2567,961,23148,545,2109,3710,2879,3083,3392,3034,1648,443,20852,315,2416,4838,3616,3838,4001,2178,897,262,22350,130,1740,5310,4200,4667,4593,1980,572,129,23319,31,847,3470,3207,3323,2916,1013,284,44,15138,16,400,2606,2752,2937,2564,829,270,83,12462,13,165,1563,2033,2245,1926,493,91,12,8542,6,119,1666,2710,3246,2406,600,129,33,10925,0,18,205,441,551,441,163,50,16,1884,24,29,252,692,964,847,370,151,44,3376,1199,1122,2373,1971,2246,2549,2602,2083,1239,17377,13,79,177,90,40,38,42,16,15,511,16644,16193,37116,34140,39277,44606,39463,21554,7305,256292
69799,0,0,0,0,0,0,4,0,0,10,0,0,0,0,3,0,4,0,0,15,0,4,0,0,0,0,7,0,0,9,0,0,3,3,4,3,0,0,0,14,0,0,5,3,4,4,4,0,0,15,0,0,19,14,17,8,0,0,0,56,0,0,8,11,10,9,0,0,0,36,0,0,7,4,9,3,0,0,0,26,0,0,15,18,23,22,5,0,0,82,0,0,5,8,3,3,0,0,0,19,0,0,3,9,11,5,0,0,0,26,0,0,4,3,9,12,3,0,0,36,0,0,3,4,0,0,0,0,0,13,5,15,69,78,90,77,33,3,0,374
7GDAR,281,503,801,596,640,789,1485,772,211,6066,367,679,1265,809,663,813,1175,484,94,6342,274,830,1581,1024,739,786,837,323,66,6456,266,1143,2558,1547,1239,1142,933,276,38,9143,189,1383,3667,2382,1874,1645,857,234,21,12253,81,1147,3206,2250,1708,1292,579,115,13,10389,26,526,2982,2442,1892,1399,469,102,17,9862,5,218,2009,1944,1657,1134,336,59,4,7368,7,159,2585,3851,3479,2275,566,83,8,13025,0,17,344,712,734,536,155,19,0,2520,9,26,331,955,1145,824,303,56,14,3652,831,1254,3395,2674,2301,2040,1575,522,153,14741,99,1221,688,198,87,150,83,22,6,2555,7921,10795,28189,23627,19990,17665,12766,4433,904,126296
7RNTE,157,259,613,643,638,787,1141,401,92,4727,162,310,752,645,567,688,829,219,36,4213,185,401,734,606,459,589,584,145,21,3726,200,541,1172,711,619,690,521,127,30,4616,112,524,1630,994,908,1040,569,72,4,5849,49,388,1411,961,848,818,409,55,0,4944,12,219,1340,940,860,826,303,45,0,4556,10,96,903,784,744,644,248,20,0,3456,4,95,1179,1509,1481,1301,341,34,3,5940,0,12,208,314,294,287,107,12,0,1239,6,7,172,400,405,437,161,28,0,1602,1100,1103,2929,2329,2184,2194,1513,372,42,13774,10,98,231,63,33,65,33,13,0,553,6598,7336,18888,15167,13439,13556,9464,2264,357,87063
79799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,0,0,10,0,0,0,4,3,0,4,0,0,12,6,4,6,0,0,0,5,0,0,20,0,7,5,4,10,4,0,0,0,29,0,7,0,0,4,3,0,0,0,14,0,0,7,3,8,4,6,0,0,21,0,0,6,6,4,5,0,0,0,22,0,3,4,15,22,22,0,0,0,75,0,0,0,6,8,11,0,0,0,23,0,0,9,27,26,18,5,0,0,83,4,7,18,43,40,32,11,3,0,159,0,0,9,0,0,0,0,0,0,17,11,27,65,112,124,106,40,10,0,494
8ACTE,983,2497,2267,1508,1397,1813,3400,2718,1321,17905,1121,3312,3698,2123,1572,1929,2775,1940,770,19245,842,3290,4363,2364,1780,2042,2761,1743,615,19793,735,3945,6631,3793,2738,2767,3071,1727,599,26020,352,4222,9517,5660,4067,3859,3331,1566,467,33034,138,3521,9719,5838,3971,3530,2628,1069,337,30746,54,1853,10173,7030,5164,3932,2269,877,233,31581,16,569,6980,6917,5184,3530,1551,491,136,25377,19,431,10592,16771,14044,7768,2198,611,170,52602,9,54,1281,3365,3176,1855,549,138,45,10462,16,55,1379,5593,6372,3867,999,272,94,18651,1353,2172,3988,2849,2059,1592,1471,1224,1055,17749,45,92,177,177,139,179,152,49,7,1020,26526,34599,77804,69342,56195,44930,35030,19085,7204,370716
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,14,12,11,20,29,37,80,59,21,279,11,18,31,33,37,71,57,24,9,282,19,19,41,48,45,61,51,15,3,304,13,40,58,56,84,88,32,12,4,382,14,33,100,65,79,81,34,6,0,399,4,11,61,47,49,55,29,3,0,260,0,13,55,53,47,63,24,5,0,270,0,3,42,45,45,39,21,4,0,199,0,7,49,80,89,78,31,0,0,330,0,0,7,7,22,19,7,6,0,71,0,0,7,10,16,24,9,7,0,70,29,65,253,179,173,160,103,56,7,1041,0,4,8,0,3,5,0,0,0,23,220,273,745,701,767,893,673,295,60,4630
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
