GCCSA_PEP_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
4RSAU,3459,3182,2689,1513,453,121,14868,1021,2605,2641,3107,3191,1843,428,41,14878,164,406,378,305,271,178,77,26,1810,834,1557,1310,1159,789,580,200,57,6479,19,18,19,17,21,12,19,8,128,45,122,138,191,158,97,52,16,815,1549,1682,1690,1989,2222,2458,2092,1176,14876,6317,14736,15299,15636,15834,12217,5477,1999,87522,141,454,602,553,519,561,202,27,3050,133,400,398,290,262,183,27,0,1690,1581,4853,4627,5290,5867,5131,2440,583,30376,619,1781,1303,1298,1504,1261,652,144,8556,801,1523,1902,1863,1489,963,291,61,8901,971,2994,2793,3118,4421,3342,1211,354,19202,603,2477,2496,2448,2512,3181,1340,241,15303,1098,3779,4838,4756,4299,3016,998,213,22992,1346,3385,3433,3902,4137,2715,772,98,19781,309,642,578,489,473,355,142,40,3022,1166,2283,2041,1849,1351,944,329,85,10049,27,32,36,30,31,26,33,7,222,109,311,378,437,414,310,139,50,2149,3564,4128,4128,4749,5189,5044,3956,1916,32670,12473,29038,29546,31063
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,12,7
5GPER,31920,24970,16411,9026,3629,1130,121985,7513,18724,20185,16668,12695,7510,2339,485,86124,3703,6301,5541,3334,1975,1250,615,212,22923,5188,9915,7948,6144,3860,2515,993,239,36801,344,168,102,91,119,96,56,26,1002,577,1437,1679,1324,931,614,251,98,6914,6284,9107,8127,6442,5259,5525,5841,4943,51535,47594,121384,123683,97873,72274,46748,22563,9927,542054,3832,8865,9187,7435,5469,3660,1513,330,40280,2734,7621,10337,5663,3030,1122,224,20,30756,10126,35204,37135,31637,28556,21714,10123,2816,177313,3820,12367,10947,9018,7629,5588,2800,864,53041,1280,3361,3900,3156,2293,1377,645,182,16196,8842,28986,25352,20383,16990,11036,5324,1705,118610,4247,14482,16608,17002,15288,11682,5177,1373,85857,14899,42012,51950,41667,28503,17222,7126,1892,205275,11609,26780,27851,23436,17924,11593,4026,844,124066,6673,10475,8905,5306,3256,2235,955,295,38099,7162,14622,12711,9436,6197,3816,1607,360,55924,679,323,187,160,188,156,87,34,1822,1155,3006,3488,3010,2157,1400,698,240,15152,13390,19320,17704,14357,11444,10662,10239,7654,104763,90450,227430,236258,191656
5RWAU,5481,4648,3973,2290,701,165,24123,1406,3204,3769,3532,3300,2019,454,53,17743,409,952,858,674,541,380,175,41,4036,1147,2348,1941,1743,1083,691,224,33,9204,81,45,25,23,29,16,8,5,240,93,197,277,279,259,154,51,22,1335,3484,4977,4424,4362,4249,3492,2225,1182,28396,11770,26619,27354,24854,22875,15621,6185,2082,137355,403,1475,1589,1299,967,767,228,30,6768,356,688,778,488,398,262,50,5,3021,3373,11741,11670,10664,9737,6840,2483,501,57007,1006,3293,3001,2547,2602,2015,759,165,15382,981,1788,2380,2199,1856,1171,448,98,10928,1606,5046,4919,4688,5382,3758,1486,392,27288,949,3472,4670,5001,4892,3948,1273,249,24450,2654,6683,7881,7114,6268,4009,1281,263,36151,1943,4287,4911,4600,4371,2904,756,106,23883,661,1408,1266,984,790,626,268,52,6057,1554,3367,3130,2809,1910,1113,397,55,14332,151,90,42,38,58,32,21,8,440,232,509,760,768,693,431,158,44,3592,8013,13879,13525,13300,11608,7841,4365,1920,74460,23881,57740,60522,56501
59799,9,8,11,7,3,0,42,0,10,0,4,0,0,0,0,23,0,3,0,3,6,0,0,0,10,5,3,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,29,20,23,25,14,7,0,126,32,82,44,51,69,38,14,0,325,3,9,10,12,9,0,0,0,50,0,0,4,9,6,0,0,0,12,35,141,277,260,141,20,6,0,883,0,13,30,15,10,4,0,0,79,0,11,13,6,0,4,0,0,33,4,6,14,19,14,6,4,0,59,0,6,7,5,10,14,0,0,37,3,13,24,24,24,13,3,0,106,7,14,9,11,8,5,0,0,48,0,3,0,5,3,0,0,0,16,7,17,20,20,12,0,0,0,80,0,0,3,0,0,0,0,0,6,0,4,8,7,10,0,0,0,39,51,222,444,398,218,57,13,0,1405,112,476,858,801
6GHOB,3414,2345,1804,1006,335,138,14932,764,2684,2519,2364,2048,1324,402,81,12192,217,771,600,483,363,270,112,32,2857,442,1111,815,699,467,276,132,21,3960,34,19,8,15,12,13,5,0,112,68,213,228,201,147,90,43,14,1007,741,1114,895,730,734,871,879,541,6514,4630,16445,13148,10932,9578,7113,3360,1333,66537,368,1197,1086,1013,745,589,241,67,5307,384,2129,1204,560,354,171,35,4,4844,608,2832,2345,2367,2503,2055,1214,367,14290,510,1695,1357,1200,1155,749,433,113,7209,172,509,560,585,465,282,96,33,2697,923,3319,2531,2252,2311,1801,779,273,14199,223,1508,1836,1744,1986,2012,923,279,10513,1508,8925,5624,3955,3163,1985,752,235,26158,1093,3951,3572,3411,2950,2129,677,135,17923,405,1290,1042,820,607,466,195,58,4885,694,1851,1424,1141,785,465,199,38,6583,63,48,15,16,18,26,8,3,202,135,435,424,396,291,220,106,32,2046,1547,2372,1888,1593,1576,1665,1513,843,13004,8622,32065,24922,21054
6RTAS,2858,2663,2430,1377,403,101,13696,884,2333,2422,2683,2659,1565,318,55,12915,144,491,477,418,468,322,117,31,2474,717,1516,1166,999,651,441,146,34,5675,24,20,11,7,11,13,18,10,121,50,124,151,165,163,122,51,17,832,1186,1268,1160,1317,1495,1699,1535,727,10396,5215,13725,13117,13037,13126,9540,4431,1485,73684,121,510,579,552,603,463,199,43,3066,234,885,592,400,347,201,32,0,2701,1009,3534,3206,3729,4385,3518,1712,420,21520,696,1876,1297,1456,1675,1179,586,134,8906,410,1051,1157,1145,953,550,217,52,5534,831,3003,2567,2634,3183,2366,1017,268,15873,347,1568,2236,2265,2438,2396,1203,293,12742,1192,5041,4292,4073,3762,2432,792,186,21765,1152,3062,3134,3466,3451,2313,571,107,17247,280,832,789,666,723,572,222,47,4133,1000,2181,1774,1575,1180,742,248,52,8747,37,40,16,15,18,25,21,8,190,107,294,356,388,346,276,128,34,1924,2614,2804,2450,2836,3170,3403,2841,1241,21352,10040,26682,24440,25208
69799,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,5,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,6,8,12,14,13,8,0,0,59,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,4,15,19,29,18,6,0,0,91,0,0,4,0,4,0,0,0,11,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,3,0,4,0,6,4,0,0,0,16,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,5,4,3,6,4,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,25,25,29,25,0,0,0,115,10,58,67,71
7GDAR,2311,1678,1199,536,122,21,9197,435,1630,1522,1193,958,492,106,10,6352,100,395,306,179,108,74,13,5,1188,269,671,536,359,221,123,26,6,2214,12,13,13,9,3,3,0,0,45,34,149,128,113,74,41,11,0,549,961,1666,1386,1224,1091,775,312,98,7521,3350,11455,9709,7251,5716,3351,980,195,42012,121,477,489,380,286,202,48,9,2011,276,819,642,322,187,87,11,0,2344,861,2789,2406,2210,1952,1343,434,75,12070,232,824,737,584,550,369,144,22,3463,168,358,421,368,250,169,35,3,1776,538,2771,2032,1368,1173,711,206,46,8842,227,1169,1326,1145,1116,845,274,25,6138,958,4590,3686,2721,1933,993,250,28,15152,711,2422,2345,1828,1416,816,200,24,9751,177,596,486,292,201,127,39,3,1918,447,1103,922,603,385,222,50,6,3728,20,21,18,18,6,5,4,0,95,79,298,305,296,177,111,33,3,1293,2048,3406,2845,2621,2369,1728,639,174,15832,6868,21621,18661,14754
7RNTE,746,707,601,307,37,6,3450,171,868,686,595,557,285,49,3,3213,52,216,114,85,101,53,13,0,631,161,290,217,170,143,98,6,3,1077,0,5,9,6,6,0,0,0,25,16,54,45,29,28,20,0,0,201,1005,1374,1019,1030,1117,749,155,38,6480,2058,5742,4345,3997,4235,2504,419,71,23371,36,211,167,128,167,125,31,0,871,26,160,149,63,78,36,3,0,521,317,1199,1045,959,1094,895,197,19,5728,124,452,413,354,375,268,52,10,2040,254,349,332,290,248,145,39,0,1658,221,1409,990,788,1078,541,80,14,5131,122,685,646,709,848,658,117,8,3799,265,1385,1157,1044,990,617,74,6,5538,251,1291,1100,917,851,495,87,8,5002,88,330,227,148,161,94,25,0,1071,248,500,402,307,248,155,17,3,1884,7,14,14,12,8,0,0,0,53,38,116,127,85,68,46,11,0,495,2163,3093,2392,2410,2432,1671,389,71,14613,4175,11186,9163,8218
79799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,17,10,8,0,3,3,14,0,0,49,0,0,5,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,24,41,53,41,4,0,0,164,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,9,0,0,0,0,0,3,0,0,8,0,0,0,6,0,4,0,0,16,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,10,17,44,40,36,11,3,0,155,27,46,97,109
8ACTE,7732,5950,4008,2368,868,265,30391,2493,7983,7337,5461,4069,2813,1133,248,31538,669,1921,1731,1144,656,372,170,60,6718,825,1396,1134,844,463,269,150,45,5126,36,21,16,17,13,13,10,6,138,163,490,601,456,349,207,121,49,2434,1691,2072,1519,1131,850,893,786,569,9514,10684,33673,30803,23036,16895,11960,5717,2008,134768,1078,3384,2969,2550,2084,1678,833,229,14801,1629,5715,5842,3422,2251,889,153,11,19914,960,5099,4678,3824,3231,2549,1371,524,22232,899,2762,2091,1701,1291,884,545,178,10343,267,967,893,867,629,386,213,57,4272,1548,6249,4888,3558,2993,2146,1102,408,22893,656,3403,3677,3122,2731,2709,1546,390,18237,2768,13239,13378,10405,7001,4219,1575,438,53019,3911,12876,11761,9229,6873,5269,2310,546,52784,1181,3231,2914,1870,1081,651,269,76,11276,1224,2490,2076,1508,824,438,236,60,8846,78,48,25,28,24,28,15,7,256,323,946,1123,868,630,446,265,119,4719,3521,4542,3460,2494,1886,1668,1387,900,19855,20041,64961,59761,45434
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,52,40,43,30,7,0,226,14,35,36,39,30,17,5,0,176,0,6,5,8,16,6,0,0,40,21,21,15,18,10,3,3,5,98,0,0,0,0,0,0,0,0,0,0,5,4,5,3,0,0,0,14,47,65,68,74,81,56,35,4,437,121,238,260,257,262,172,77,14,1399,5,12,22,13,16,6,7,0,78,0,3,11,4,4,3,0,0,38,26,64,50,73,92,62,15,4,385,16,22,17,34,38,22,10,5,163,3,12,8,11,13,0,0,0,52,4,40,31,36,33,51,12,5,207,8,31,38,40,40,35,13,6,215,21,62,69,61,65,46,9,0,343,23,57,66,56,42,33,11,0,283,5,11,9,10,16,4,6,0,61,28,24,32,31,30,4,4,5,158,0,0,0,0,0,0,0,0,0,0,3,6,9,9,5,0,0,43,114,263,192,186,181,128,76,8,1140,253,613,561,554
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
