GCCSA_PEP_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
4RSAU,162557,158210,320768,230,82,311,44,40,82,139,190,333,348,471,818,190,121,314,52,31,85,84,82,165,867,929,1795,293,258,555,54,73,126,1131,881,2008,119,179,303,48,26,73,29,19,49,197,215,410,555,433,987,28,83,111,77,76,156,14,21,38,315,321,636,99,98,196,764,811,1582,1785,1565,3354,158,87,250,928,1801,2735,94,128,224,38,84,124,636,634,1270,179,144,326,48,127,181,195,441,632,9522,10383,19903,330,407,730,215,270,489,2750,2397,5154,15833,13560,29395,864,250,1113,201830,195942,397774
49799,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,0,8,7,0,7,40,0,40
5GPER,613113,627727,1240840,3080,2307,5391,1394,1261,2660,2270,2927,5194,11583,15503,27086,2075,2193,4264,1248,1116,2367,483,560,1040,3966,4884,8847,956,1041,2001,2896,3340,6236,29988,27927,57913,4904,8015,12923,3175,2988,6166,1844,1668,3517,8176,7722,15901,8409,7974,16379,1246,3107,4348,2653,3340,5990,617,541,1162,13955,17091,31046,2147,2054,4196,3387,3540,6927,29363,28025,57382,4400,2757,7161,12589,17846,30434,2158,2989,5150,6873,8353,15223,18399,19701,38097,4406,4171,8571,1155,2232,3393,2207,6093,8302,99533,100662,200193,4273,4442,8717,7330,9781,17111,55056,62662,117721,40940,40469,81408,2777,2614,5399,1015022,1061633,2076653
5RWAU,214810,199625,414433,237,99,339,95,63,156,427,662,1089,620,710,1331,142,90,237,101,55,160,270,174,449,1098,1453,2558,92,62,153,133,161,291,1814,1329,3142,394,747,1137,183,73,262,72,39,116,1245,960,2205,1025,782,1807,99,270,371,217,217,436,53,34,92,609,606,1213,146,107,254,999,968,1969,10276,8009,18290,267,166,437,3167,3889,7053,208,262,468,338,399,735,3457,3280,6733,360,236,596,186,430,617,366,1324,1695,18040,17547,35589,788,861,1648,424,528,955,7384,6436,13817,44096,27934,72035,1198,785,1988,315466,281377,596836
59799,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
6GHOB,91735,96751,188484,50,61,116,297,180,470,253,282,540,2404,3067,5473,81,83,165,55,45,107,60,89,144,484,553,1036,177,197,375,295,319,612,2341,1722,4066,142,218,356,137,131,270,32,41,70,177,200,375,270,225,502,83,217,303,250,282,532,43,27,73,361,514,872,2241,1871,4116,378,379,761,1019,1100,2115,583,263,845,391,779,1165,138,214,343,145,207,352,543,571,1106,454,390,847,166,222,390,139,350,485,4840,4731,9567,514,572,1087,440,580,1022,2824,3022,5846,5254,5495,10749,332,172,502,120136,126110,246246
6RTAS,122468,126540,249007,90,88,178,66,50,124,213,278,490,535,772,1305,42,24,60,55,44,94,56,63,118,510,530,1041,43,38,82,110,130,242,1255,819,2073,101,158,259,143,136,286,25,27,47,194,185,380,213,154,366,35,118,156,102,133,237,19,16,36,249,325,579,1116,1010,2119,644,667,1311,1694,1662,3360,477,152,632,277,997,1272,94,134,233,103,133,236,475,512,988,268,247,515,108,180,289,78,292,368,6533,6346,12883,466,505,975,154,224,374,2415,2477,4892,9751,9391,19147,323,207,529,151497,155786,307286
69799,224,61,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,4,5,5,36,0,35,8,0,13,299,76,378
7GDAR,49879,47412,97289,27,7,34,385,250,635,133,149,278,569,864,1425,17,11,25,43,20,66,140,163,308,296,380,674,642,508,1149,126,154,284,2135,1829,3960,409,872,1287,67,36,100,7,3,16,314,332,650,231,167,398,53,116,171,132,165,305,33,16,48,302,375,678,1368,1169,2531,147,161,305,1373,1229,2602,400,211,610,2136,3101,5233,46,64,115,118,178,292,361,329,691,562,520,1083,129,290,420,231,710,949,2714,2622,5332,219,241,462,463,679,1140,3068,3442,6508,7780,7320,15098,2077,552,2629,79131,76649,155778
7RNTE,41159,40358,81522,4,4,7,44,20,64,60,86,143,120,201,319,7,4,10,7,8,16,129,107,238,154,178,331,32,18,51,21,41,59,677,578,1259,70,96,163,11,11,21,17,7,23,116,86,205,98,76,172,12,42,57,35,42,84,3,4,9,70,71,134,260,198,459,92,109,197,945,888,1834,60,31,94,443,697,1139,24,33,59,22,23,44,199,204,405,131,91,221,37,59,93,45,124,173,1165,1119,2285,427,383,809,112,117,229,1295,1203,2501,6978,5276,12255,348,217,562,55428,52813,108242
79799,204,37,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,18,3,24,0,0,0,0,0,0,15,3,16,133,17,146,12,7,17,429,73,494
8ACTE,151910,153723,305634,448,294,739,1001,927,1928,639,740,1378,5366,6802,12165,637,710,1343,296,251,544,493,568,1063,991,1183,2174,456,546,1003,934,968,1902,9156,8094,17248,489,833,1321,583,532,1115,402,344,742,466,438,898,953,949,1903,235,609,844,1163,1385,2552,252,221,464,1279,1556,2841,3068,2635,5699,459,527,990,2643,2451,5095,1671,1235,2907,1990,3070,5062,423,571,995,545,634,1176,1124,1214,2344,1597,1684,3282,292,401,693,503,1109,1614,8124,7740,15862,1577,1767,3337,1704,2377,4073,10937,12111,23041,8393,7932,16327,553,597,1151,223743,229708,453453
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,1503,1437,2939,3,0,3,0,0,0,9,4,13,7,6,15,0,0,0,0,0,0,20,19,40,4,12,16,0,0,0,0,3,3,25,3,28,6,11,17,15,0,15,12,0,10,3,0,4,0,4,3,0,0,6,7,5,5,8,0,8,170,157,325,0,0,0,0,5,10,176,210,381,6,0,6,34,33,68,4,0,4,31,18,51,22,10,29,14,0,14,0,0,0,5,10,20,90,74,166,7,16,25,10,4,15,160,57,217,511,440,954,15,10,23,2900,2549,5446
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
