GCCSA_PEP_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
4RSAU,991,975,1965,8354,8060,16404,521,495,1012,9859,9528,19391,1015,965,1981,9655,9242,18900,686,647,1337,11357,10855,22211,999,1025,2024,10452,9712,20164,741,730,1472,12190,11472,23664,896,807,1706,9158,8216,17373,671,605,1269,10723,9628,20343,714,704,1413,8269,7409,15680,692,493,1185,9683,8602,18281,694,678,1369,9206,8832,18044,816,620,1438,10715,10138,20851,648,648,1297,9754,9214,18969,897,632,1534,11301,10497,21800,554,551,1104,9706,9669,19374,842,653,1498,11107,10867,21973,464,469,940,9304,9133,18440,837,605,1444,10606,10210,20821,456,506,963,10380,10383,20765,964,754,1714,11801,11645,23441,485,515,997,12172,11952,24119,1055,728,1781,13711,13194,26907,423,447,875,13129,12963,26094,1109,795,1909,14667,14205,28874,387,370,753,14090,13921,28011,1025,832,1856,15502,15120,30618,565,608,1171,44315,46218,90532,2868,2912,5780,47744,49739,97484,9300,9267,18563,177941,174921,352865,13727,11509,25226,200965,195697,396657
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,8,0,8,0,0,0,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,8,0,8,34,0,34
5GPER,2466,2291,4758,62018,58633,120650,2119,1937,4059,66604,62861,129457,2508,2270,4777,64948,61887,126833,2365,2313,4674,69818,66468,136284,2410,2373,4787,64932,61156,126090,2354,2168,4527,69702,65703,135405,2175,2029,4202,58905,56282,115182,2012,1964,3980,63093,60270,123358,2013,1828,3838,61187,60281,121462,2585,2300,4882,65776,64401,130185,1818,1776,3598,63666,66191,129859,2939,2928,5870,68427,70898,139327,1627,1556,3181,69007,76746,145754,3031,2938,5968,73665,81235,154901,1312,1271,2580,72524,77819,150343,2841,2935,5773,76675,82025,158701,1089,1063,2154,64296,68601,132893,2634,2176,4805,68014,71835,139850,1017,1039,2057,61753,66169,127919,2311,2168,4485,65086,69376,134460,866,1027,1893,60752,64799,125555,2187,1916,4105,63806,67745,131548,771,846,1615,55852,60006,115859,2003,1725,3725,58624,62569,121199,569,654,1225,50443,55512,105955,1657,1543,3203,52674,57704,110383,870,1119,1991,143832,168179,312012,5575,6621,12191,150276,175918,326191,21521,21143,42659,954106,1002243,1956355,36622,35624,72246,1012249,1059009,2071253
5RWAU,2389,2114,4500,13005,12384,25389,1300,1193,2485,16685,15685,32377,2487,2278,4765,14867,13939,28803,1671,1608,3272,19020,17826,36845,2413,2439,4846,14611,13731,28342,1634,1527,3156,18652,17699,36348,2181,2151,4330,11975,10952,22934,1356,1147,2499,15511,14250,29767,1856,1762,3620,11175,9908,21076,2130,1506,3633,15160,13177,28335,1775,1679,3456,14475,13368,27844,3480,2022,5496,19734,17061,36798,1730,1564,3292,16561,15540,32102,3974,2085,6058,22263,19187,41448,1510,1487,2995,17425,16078,33500,4037,1907,5943,22971,19467,42441,1379,1348,2727,16423,14663,31087,3641,1650,5287,21438,17665,39102,1305,1248,2553,17101,15281,32378,3718,1710,5431,22127,18230,40357,1167,1288,2458,18095,16159,34253,3891,1817,5704,23144,19266,42411,1003,1097,2100,18159,16690,34848,3375,1838,5213,22538,19624,42157,838,868,1712,18085,17249,35334,2841,1606,4446,21766,19731,41495,1224,1525,2746,47177,45974,93155,4843,4224,9067,53246,51724,104967,23256,22847,46107,249125,231917,481038,41881,25824,67707,314263,280595,594855
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,5,7,11,3,3,6,13,8,20,4,0,4,49,21,73,29,15,41,81,36,116,0,0,0,89,29,120,60,14,72,152,43,196,3,0,4,153,29,178,132,9,138,283,40,327,9,0,14,233,13,254,195,10,207,441,29,470,3,0,3,251,13,263,213,11,216,465,24,483,3,3,8,227,11,238,190,6,196,418,23,440,9,0,14,221,24,245,182,11,193,418,36,453,0,0,3,170,27,195,135,11,145,305,43,341,0,0,3,92,28,114,55,14,71,150,40,188,0,0,0,88,57,143,45,24,64,131,77,209,39,6,48,1574,267,1836,1241,121,1364,2856,395,3250
6GHOB,584,500,1080,5825,5512,11340,224,220,437,6631,6227,12859,597,580,1171,6214,6022,12235,297,301,604,7106,6896,14007,680,638,1313,6613,6187,12801,301,265,566,7588,7087,14679,579,518,1095,6040,5686,11725,275,243,514,6892,6445,13335,495,479,974,6729,6603,13334,274,290,559,7497,7372,14867,401,445,847,9280,9061,18339,348,391,743,10031,9891,19922,374,450,822,9093,9172,18264,398,341,741,9856,9971,19830,334,376,709,7754,8048,15803,311,344,666,8404,8773,17172,270,305,570,6511,6965,13475,254,255,507,7032,7523,14556,249,257,509,6525,7146,13669,258,254,518,7036,7660,14701,248,299,542,6608,7210,13817,280,269,548,7134,7781,14911,215,263,473,6558,7145,13700,267,254,519,7036,7655,14694,210,224,429,6607,7361,13967,257,210,466,7065,7792,14859,336,380,714,19337,23438,42774,830,1038,1865,20499,24856,45352,5552,5710,11265,109679,115550,225234,4573,4673,9245,119805,125935,245742
6RTAS,940,857,1796,6567,6295,12866,383,367,755,7886,7530,15414,1003,981,1991,7301,6955,14257,446,398,842,8746,8339,17086,1091,1068,2159,7916,7462,15380,486,451,937,9497,8974,18477,930,851,1786,7173,6808,13981,477,389,862,8577,8048,16630,735,731,1460,7043,6702,13743,480,431,908,8254,7854,16110,587,648,1238,8431,8211,16651,516,451,971,9542,9317,18862,526,591,1120,7876,8115,15999,492,469,963,8896,9183,18077,458,606,1066,7510,7998,15511,468,443,909,8435,9051,17485,392,524,914,7083,7758,14838,403,410,819,7878,8685,16566,433,525,964,8018,8550,16564,502,390,891,8951,9461,18421,491,585,1077,8965,9753,18720,521,506,1027,9975,10840,20816,382,490,878,9733,10249,19974,562,488,1053,10681,11226,21909,410,434,845,10061,10697,20762,525,535,1053,10993,11667,22659,761,776,1533,30359,32925,63287,1738,1690,3425,32856,35390,68251,9149,9674,18818,134031,138482,272517,7999,7417,15421,151181,155573,306757
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,4,5,0,0,0,9,6,15,0,0,0,9,6,15,0,0,0,7,6,16,4,0,10,17,8,29,0,0,0,19,5,23,16,0,14,35,3,41,0,0,5,12,5,23,16,5,17,27,4,42,0,0,0,23,0,27,14,0,13,33,0,39,0,0,0,27,5,29,8,4,14,33,5,43,0,0,0,22,9,27,16,0,17,33,14,46,0,0,0,22,5,23,15,0,18,40,9,43,0,0,0,17,4,24,7,0,10,24,9,28,4,0,4,24,7,34,0,0,0,30,7,39,3,0,5,193,60,250,94,13,107,294,72,366
7GDAR,782,733,1512,3957,3746,7700,367,392,761,5104,4869,9978,765,747,1516,3892,3845,7737,423,470,900,5087,5065,10153,789,792,1582,3612,3331,6943,400,359,767,4806,4484,9290,674,700,1377,2995,2833,5823,301,325,628,3969,3858,7824,726,593,1316,3896,3441,7336,508,417,922,5127,4452,9571,716,616,1339,5155,5578,10740,660,647,1308,6533,6849,13383,608,558,1169,5558,6076,11633,666,651,1315,6830,7287,14121,530,495,1030,5043,5408,10449,555,569,1116,6129,6472,12599,452,470,919,4351,4569,8922,491,496,990,5295,5536,10825,467,471,935,4041,4026,8063,517,454,972,5022,4944,9963,389,457,843,4112,4022,8132,494,467,957,4993,4940,9936,320,380,698,3865,3655,7520,515,431,951,4699,4467,9165,218,289,513,3477,3502,6981,448,402,855,4144,4201,8344,345,484,828,8025,7355,15379,950,839,1789,9319,8679,17993,7785,7786,15572,61969,61385,123358,7300,6920,14229,77059,76095,153156
7RNTE,2016,1833,3847,1376,1173,2552,231,162,394,3624,3171,6790,2252,2022,4279,1385,1280,2663,229,230,460,3861,3537,7401,2317,2124,4445,1100,1027,2128,225,184,404,3642,3333,6975,2373,2141,4512,840,802,1644,223,212,439,3433,3159,6589,2143,2099,4243,1122,1155,2276,405,307,709,3673,3562,7230,1955,2001,3958,1990,2257,4245,599,471,1069,4539,4730,9273,1816,1940,3751,2222,2379,4603,615,406,1016,4646,4726,9379,1559,1777,3340,2056,1955,4011,568,360,930,4187,4094,8274,1455,1458,2910,1666,1477,3142,462,316,776,3579,3248,6826,1230,1369,2604,1567,1425,2985,496,307,801,3292,3098,6390,1135,1366,2501,1777,1780,3559,569,382,953,3475,3535,7008,850,967,1821,1941,1954,3896,538,434,969,3324,3356,6679,639,833,1473,2202,2203,4404,511,419,934,3350,3451,6803,866,1203,2072,4629,3681,8306,957,709,1662,6450,5592,12041,22601,23152,45748,25866,24539,50406,6617,4905,11519,55083,52600,107676
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,0,11,0,0,0,14,12,24,5,0,3,17,15,27,3,0,3,11,7,13,0,4,4,18,6,24,4,0,4,21,3,24,13,0,13,31,4,42,0,0,0,29,5,28,13,0,16,39,4,45,0,0,0,35,0,35,28,0,28,64,0,63,6,0,6,37,6,42,21,0,21,62,6,66,0,0,0,37,5,39,17,0,17,51,5,49,0,0,0,38,4,41,20,0,20,55,3,63,0,0,0,26,4,30,8,0,13,37,3,42,0,0,0,17,11,30,5,3,13,26,24,48,11,0,15,265,50,317,134,18,150,414,65,482
8ACTE,463,426,886,12904,12075,24983,371,368,738,13734,12875,26603,490,445,937,14007,13226,27232,414,418,831,14911,14088,28998,481,372,844,13091,12308,25391,390,372,762,13958,13044,27005,437,446,886,12449,12013,24463,558,575,1127,13445,13041,26482,473,475,950,15890,16008,31898,857,798,1656,17225,17284,34507,445,388,832,18446,18381,36818,828,733,1566,19716,19504,39221,332,361,699,17836,18426,36260,759,683,1443,18929,19471,38400,280,275,554,17368,18003,35370,630,619,1248,18276,18896,37177,225,278,505,15178,15318,30495,557,442,990,15956,16029,31995,235,217,444,13801,14153,27958,486,400,886,14523,14764,29285,202,208,406,12683,12900,25581,418,352,776,13302,13464,26765,172,160,333,10954,11685,22642,412,306,718,11538,12148,23689,103,143,244,9614,10625,20239,305,276,576,10020,11043,21061,188,198,384,26513,32124,58637,961,1127,2090,27661,33452,61112,4521,4386,8908,210726,217250,427973,7942,7472,15415,223190,229114,452305
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,4,8,9,109,93,196,11,19,29,129,112,236,0,12,14,134,120,248,13,13,26,151,141,292,8,11,21,125,102,231,27,18,42,164,130,297,13,9,13,89,90,177,12,14,27,110,109,220,5,11,16,120,93,210,21,22,44,149,123,272,6,8,13,180,103,285,31,20,57,217,140,357,3,0,10,177,113,295,44,33,81,228,158,384,7,0,7,154,156,311,33,26,58,198,187,381,3,8,6,138,114,251,31,29,61,169,147,320,7,15,20,146,136,283,24,21,49,178,169,354,6,13,22,154,153,312,45,38,81,208,210,413,13,5,14,180,177,353,31,34,60,223,209,426,3,11,17,182,191,375,39,35,74,234,232,463,21,25,42,432,398,836,84,61,146,541,480,1023,106,121,228,2327,2038,4368,449,378,828,2883,2542,5425
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
