GCCSA_PEP_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
4RSAU,30,92,343,775,1854,4426,6120,4097,1359,19091,2855,1860,1975,1958,1988,2299,2072,1114,301,16429,31,32,80,154,398,1244,2607,2032,631,7210,0,3,3,7,32,87,291,666,534,1618,68,140,249,523,1541,3349,4855,3056,808,14585,64,66,104,195,825,2568,4574,3596,1333,13318,36,31,55,93,169,393,590,562,219,2162,59,39,66,129,395,1127,1762,1315,442,5326,719,1629,2074,2161,2694,3022,2331,934,305,15871,9,8,24,37,175,470,830,764,328,2645,1676,997,1029,1280,2148,3141,2802,1370,538,14965,25452,14055,14310,13271,14175,13619,9638,3794,806,109129,3118,2259,2937,2946,3093,3066,2283,1301,463,21458,33414,20402,22021,21717,25511,30165,28199,15081,4463,200965,47,162,462,1096,2864,6391,8534,6334,2801,28689,2029,2057,2593,2670,2926,3464,3353,1831,572,21493,27,34,101,286,732,1550,2154,1528,514,6926,0,3,0,13,20,81,292,793,1098,2303,72,131,309,616,1312,2574,3382,2401,919,11708,60,61,90,199,492,1302,2224,2354,1432,8218
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,147,498,1526,3270,6380,11673,15564,11222,4089,54369,13110,9431,9921,10090,8423,6564,5253,2859,894,66550,219,257,537,1063,2124,4909,8485,6702,2317,26618,4,18,21,44,100,295,975,2295,2015,5766,325,631,1281,3387,7029,11282,14155,8828,2433,49367,284,263,468,1117,3667,8927,14268,11414,4422,44825,218,154,247,488,725,1265,1946,2136,1072,8262,279,169,258,481,1158,2748,4616,4019,1496,15228,4243,9453,12297,11918,10877,8736,5736,2695,1007,66958,48,59,102,303,661,1442,2536,2692,1222,9058,9788,6098,6156,7641,9709,11063,10072,5501,2424,68441,166606,95897,103073,101730,81401,57932,32505,12233,2807,654180,14207,10104,11915,11342,10006,7601,5165,3212,1790,75329,206118,128872,142092,144688,128889,111304,87449,47087,15749,1012249,222,817,2334,5086,11627,20863,27717,20978,10239,99896,9083,10149,13557,13672,12305,11159,9480,5179,1867,86454,172,232,679,1934,4261,6611,8253,5618,2246,30007,12,21,16,25,59,264,893,2892,4188,8371,316,679,1344,2932,5433,8834,11116,7344,2969,40964,217,241,348,728,1829,4227,7517,7918,5267,28294
5RWAU,43,149,451,1042,2285,4829,6427,3651,1056,19926,3702,2127,2604,2839,2431,2426,2010,883,216,19238,42,55,130,255,621,1760,2984,1968,533,8346,0,0,11,15,27,95,253,597,424,1423,106,193,402,914,2195,3864,4658,2528,558,15414,90,77,151,316,1134,2967,4805,3269,1071,13892,62,38,102,127,272,460,674,587,239,2561,82,42,74,106,374,1109,1866,1265,324,5244,1023,1978,2620,2923,3189,3189,2210,810,238,18186,11,7,33,57,193,463,876,744,262,2645,2214,1251,1255,1784,2452,3341,3025,1440,482,17253,40952,20646,26034,26507,24802,20561,12421,3956,772,176648,6838,5026,9485,9631,9417,7685,4120,1718,467,54387,54363,30669,41996,44414,45271,44303,34267,15090,3896,314263,67,172,579,1410,3600,7112,8982,5416,2224,29567,2415,2288,3222,3453,3578,3651,3183,1361,427,23567,39,31,149,467,1059,1996,2466,1492,464,8173,4,4,5,12,35,98,286,681,930,2049,66,170,414,804,1684,2829,3348,1817,667,11802,77,84,114,235,619,1471,2325,1932,1128,7980
59799,0,0,5,10,26,25,13,4,0,83,0,0,17,34,19,17,5,0,0,96,0,0,0,0,5,12,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,4,4,0,34,0,0,0,0,5,13,13,3,0,40,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,13,0,0,9,21,9,6,0,3,0,57,0,0,0,0,0,0,0,0,0,5,0,0,3,9,21,11,0,3,0,48,0,58,202,419,365,180,32,0,0,1267,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,0,0,5,0,0,5,13,0,0,27,0,3,5,0,4,0,3,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
6GHOB,16,75,263,563,1164,2146,2928,1908,669,9729,1655,1244,1308,1274,1108,1001,854,450,144,9029,18,37,59,136,252,702,1278,919,327,3734,0,7,3,10,15,54,178,328,298,883,53,96,176,353,710,1343,1779,1110,317,5936,42,30,56,133,434,1137,1936,1534,632,5939,18,24,31,56,98,195,333,284,128,1163,26,24,39,86,197,454,648,544,193,2205,612,1561,1900,1897,1846,1562,1026,427,178,11018,4,9,11,29,100,219,408,399,174,1354,1213,803,801,1019,1340,1576,1389,744,352,9233,16499,10027,14660,10002,7966,6505,4027,1588,350,71622,1678,1178,1481,1210,1168,1001,733,422,168,9034,21332,14387,19889,15438,14164,14104,11990,6404,2096,119805,24,129,393,917,2016,3732,4965,3564,1713,17463,1195,1479,1826,1818,1730,1724,1618,877,302,12561,23,37,72,237,519,875,1191,873,373,4190,5,0,6,4,11,29,183,432,562,1224,40,89,228,334,657,1118,1395,970,385,5223,33,42,64,98,249,569,996,1164,792,4001
6RTAS,36,93,306,671,1760,3647,4929,3125,950,15519,2500,1607,1566,1488,1486,1623,1523,779,194,12771,18,29,76,148,348,1010,1829,1406,406,5272,4,3,3,11,27,75,181,409,326,1041,43,115,201,429,1046,2146,2974,1865,447,9269,62,66,73,184,654,1825,3073,2524,797,9260,35,33,43,70,167,276,512,524,191,1849,25,24,55,125,406,930,1446,1058,281,4361,841,1668,2046,1998,2433,2372,1652,653,195,13856,5,5,16,44,178,361,718,628,247,2207,1412,888,951,1093,1727,2472,2157,1041,390,12129,19499,11480,12693,10267,10512,9806,6471,2452,508,83689,2353,1648,1573,1443,1659,1703,1457,818,329,12969,26132,16835,18439,16316,18936,21670,19558,10392,2906,151181,47,141,463,1054,2855,5629,7178,4934,2034,24319,1745,1786,2301,2414,2540,2573,2482,1282,360,17478,24,31,83,234,688,1286,1721,1105,395,5567,5,5,5,4,25,59,134,430,572,1231,47,96,254,462,1038,1726,2191,1448,464,7714,50,39,67,127,380,892,1601,1536,909,5600
69799,0,0,0,0,0,8,6,0,0,18,0,0,0,0,7,6,4,0,0,16,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,3,0,0,9,0,10,28,35,29,20,8,0,0,131,0,0,25,24,26,23,0,0,0,97,0,12,58,65,70,62,25,4,0,294,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3,35,150,280,563,941,1136,483,78,3674,783,460,690,581,521,446,359,113,14,3971,14,9,36,75,164,381,605,299,33,1617,0,0,0,9,9,29,59,100,51,257,10,49,88,243,516,850,959,404,63,3172,34,29,49,94,292,626,950,463,102,2645,22,18,22,60,83,119,167,98,25,616,43,11,26,40,97,250,320,187,32,1014,216,414,606,654,652,546,332,105,18,3530,3,4,3,19,49,116,198,125,24,543,707,349,451,607,705,806,661,269,75,4622,11689,6628,9539,7634,5881,4160,2342,608,81,48564,1664,1270,2035,1686,1503,1282,885,260,58,10639,14995,9093,13365,11420,10017,8842,6629,2289,397,77059,11,51,153,355,780,1311,1516,719,208,5102,499,513,1017,898,767,767,544,199,43,5243,6,14,46,119,286,393,438,193,26,1519,0,3,3,4,11,20,56,95,79,265,11,46,143,269,425,699,686,283,69,2633,27,25,47,73,171,335,415,267,112,1472
7RNTE,5,13,53,135,200,539,754,207,28,1932,354,179,322,341,358,382,310,83,11,2356,7,7,18,24,74,200,343,124,14,808,0,0,3,5,4,27,44,53,17,154,26,48,101,269,482,642,588,191,28,2383,143,167,119,148,318,566,655,211,27,2364,26,19,32,50,115,137,115,54,10,561,32,10,14,49,66,151,208,79,12,627,107,216,356,352,327,305,229,46,5,1948,0,0,3,20,39,99,105,45,7,323,384,217,265,320,411,541,437,138,26,2736,8795,5292,6343,4875,3621,2990,1780,354,25,34079,1314,1019,1748,1448,1354,1280,889,227,20,9300,11131,7102,9190,7761,6767,6678,5037,1273,143,55083,3,30,81,147,393,798,845,252,80,2633,224,263,522,497,551,643,392,98,18,3207,0,6,18,38,109,290,246,79,13,799,0,0,5,0,3,25,58,48,47,196,24,78,203,445,697,757,530,159,43,2932,119,205,204,241,299,374,318,134,41,1935
79799,0,0,0,0,3,6,4,0,0,16,0,3,3,6,3,7,0,0,0,19,0,4,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,6,0,15,33,54,60,41,8,0,0,206,0,6,14,40,39,34,7,0,0,140,0,26,51,101,111,97,19,4,0,414,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,47,123,451,966,1728,2570,3086,2161,842,11965,3256,2688,3109,2919,2099,1614,1264,656,201,17808,31,65,144,273,516,1098,1690,1331,443,5590,4,4,0,12,19,57,182,419,426,1133,55,162,346,806,1485,2170,2485,1463,398,9356,72,93,130,300,768,1582,2573,2066,889,8483,47,46,82,143,232,327,543,454,229,2094,36,48,55,131,262,481,803,735,279,2834,1124,2928,3657,3205,2770,1921,1109,517,190,17407,8,14,24,68,147,268,463,475,247,1705,2304,1561,2066,2521,2879,2981,2485,1336,482,18608,34098,21769,27846,23394,16773,10458,5653,2100,480,142574,2411,2451,2636,2004,1674,1236,819,455,211,13902,42600,30668,38646,34238,27823,21556,16210,8589,2860,223190,42,253,725,1480,2975,4914,5969,4460,1945,22763,2222,2980,4238,3849,3149,2666,2262,1183,414,22949,29,63,194,479,937,1346,1774,1206,434,6459,0,5,0,9,12,43,160,541,733,1500,84,148,364,726,1213,1733,1943,1325,494,8022,49,78,116,201,377,782,1343,1561,1033,5527
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,3,12,14,32,46,22,11,136,19,14,11,21,17,20,21,11,3,138,0,0,0,4,6,4,18,13,0,53,0,0,0,0,0,0,0,3,0,14,0,0,4,3,19,23,42,20,0,111,0,0,0,0,9,24,43,21,5,105,0,0,0,0,3,8,5,10,0,25,0,0,0,3,0,13,15,4,0,35,0,10,10,20,14,16,9,4,0,86,0,0,0,0,0,0,8,0,0,17,10,11,5,19,25,28,28,15,7,138,336,168,220,186,207,245,147,43,14,1560,68,63,194,121,103,92,74,34,4,743,434,259,448,365,389,452,361,148,30,2883,0,0,0,4,18,43,52,33,8,160,13,20,14,23,26,21,23,15,3,169,0,0,0,3,7,19,18,12,4,65,0,0,0,0,0,0,4,3,6,14,0,0,7,3,10,25,17,13,4,85,0,3,0,0,6,3,27,13,7,55
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
