GCCSA_PEP_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
4RSAU,31,0,0,0,10693,10723,303,17,12,6,9344,9683,6082,351,288,18,15277,22021,11314,979,1186,66,8172,21717,13771,1372,3038,180,7153,25511,17523,1546,5173,522,5401,30165,18877,1261,4622,1327,2111,28199,10629,410,1613,1752,675,15081,2472,68,259,1507,152,4463,450,13,28,12,356,861,81455,6032,16215,5386,59331,168416,42,0,0,3,9583,9628,475,44,7,5,8076,8602,7250,597,428,40,12318,20632,11701,1197,1597,124,6459,21076,13930,1531,3643,534,5204,24835,17760,1441,5403,1518,3210,29327,17438,902,4207,3735,1159,27448,8036,254,1471,5631,372,15758,1241,38,293,4816,140,6534,81,12,19,17,109,241,77956,6004,17078,16433,46616,164081,68,4,0,0,20274,20343,782,59,16,12,17414,18281,13335,952,721,57,27590,42654,23015,2175,2781,186,14629,42794,27693,2904,6683,709,12356,50343,35282,2988,10580,2043,8613,59497,36312,2158,8835,5065,3272,55645,18669,662,3076,7383,1043,30842,3713,104,552,6329,291,10996,535,24,46,31,465,1098,159411,12034,33288,21819,105949,332496
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40
5GPER,70,14,16,18,62976,63093,1317,82,43,30,64304,65776,41238,1977,1998,118,96762,142092,87448,5326,7567,213,44138,144688,81835,6468,13342,727,26520,128889,72779,5031,16291,1672,15533,111304,61263,3365,12981,3464,6382,87449,33740,1351,5214,4761,2010,47087,9232,273,978,4775,487,15749,1273,82,183,72,980,2590,390184,23969,58613,15856,320087,808711,72,21,10,19,60152,60270,2941,212,82,34,61135,64401,59213,3738,3548,206,85438,152136,96575,7413,11326,856,37686,153858,84938,7904,19775,2234,22266,137117,73136,5874,23652,5788,11829,120283,56115,3377,18875,13209,4970,96546,24928,1058,7853,18807,1702,54350,4834,178,1791,17594,628,25027,1057,63,179,384,748,2431,403812,29834,87092,59125,286544,866413,139,32,27,39,123128,123358,4254,300,130,59,125438,130185,100452,5717,5545,319,182199,294228,184031,12741,18892,1070,81824,298545,166774,14374,33116,2962,48785,266007,145913,10907,39942,7463,27361,231578,117376,6743,31858,16674,11343,183993,58670,2407,13073,23569,3717,101432,14059,448,2771,22370,1118,40773,2330,146,361,460,1727,5020,793993,53809,145701,74986,606632,1675126
5RWAU,55,6,10,12,15429,15511,519,38,10,17,14574,15160,11199,632,637,48,29478,41996,23870,1883,2522,95,16039,44414,25734,2566,5143,288,11541,45271,27223,2323,6981,818,6955,44303,23242,1464,5457,1533,2562,34267,10548,477,1746,1656,667,15090,2231,67,254,1199,142,3896,436,30,64,13,609,1156,125049,9504,22824,5681,97996,261059,75,4,3,0,14164,14250,701,62,18,11,12377,13177,12026,854,788,91,22497,36252,20591,1916,2555,272,11789,37134,21063,2289,5231,710,8210,37497,23911,1935,7171,1841,4491,39352,20114,1044,5071,3874,1438,31540,7464,255,1717,4948,379,14763,1104,45,337,3829,117,5424,175,20,38,49,480,753,107229,8425,22920,15629,75943,230139,128,16,12,13,29598,29767,1218,107,26,33,26953,28335,23220,1488,1429,142,51971,78245,44462,3806,5079,368,27827,81548,46798,4855,10372,997,19750,82774,51137,4260,14151,2663,11448,83651,43363,2508,10525,5409,3997,65803,18012,731,3457,6602,1049,29846,3333,107,592,5024,256,9315,607,52,99,63,1090,1906,232278,17932,45740,21305,173939,491193
59799,0,0,0,0,13,13,0,0,0,0,81,81,116,6,0,0,301,430,528,48,48,3,285,908,565,42,76,3,153,842,314,24,65,3,37,449,91,6,12,4,0,117,8,0,0,0,0,15,0,0,0,0,0,0,95,4,12,0,33,143,1728,131,216,13,908,3002,0,0,0,0,8,8,3,0,0,0,33,36,9,0,0,0,68,89,15,4,5,0,30,49,15,5,11,0,18,60,45,7,19,0,9,77,48,0,6,4,0,61,14,0,0,0,0,17,0,0,0,0,0,0,9,0,3,4,5,16,163,19,40,13,173,405,0,0,0,0,20,20,3,0,0,0,115,116,128,8,3,0,370,518,546,44,48,3,311,957,575,49,87,5,173,896,360,32,84,3,50,533,139,9,18,7,0,176,23,0,0,4,0,32,0,0,0,0,0,0,104,4,16,4,39,164,1892,147,262,29,1085,3410
6GHOB,5,4,0,0,6881,6892,186,12,8,4,7291,7497,5889,242,262,18,13483,19889,8184,546,827,28,5843,15438,7677,708,1752,97,3934,14164,8202,698,2402,299,2506,14104,7903,410,1939,568,1173,11990,4356,175,788,788,298,6404,1138,28,112,746,76,2096,118,7,12,0,170,314,43653,2832,8097,2544,41655,98792,4,0,0,6,6433,6445,419,20,6,0,6923,7372,7065,411,387,19,11976,19858,8472,785,1266,84,5693,16294,8155,896,2447,259,3684,15444,8395,804,3409,744,2094,15448,7270,443,2870,1955,896,13434,3316,140,1203,2960,308,7923,561,20,249,2557,110,3498,68,6,14,23,53,161,43723,3520,11854,8611,38175,105882,6,4,0,7,13314,13335,603,35,12,6,14209,14867,12949,652,647,43,25458,39747,16657,1326,2099,112,11544,31729,15834,1598,4204,355,7619,29613,16599,1507,5813,1036,4602,29553,15174,852,4806,2522,2065,25431,7671,313,1983,3743,609,14326,1700,51,360,3296,185,5593,186,12,31,28,225,482,87385,6354,19953,11152,79831,204671
6RTAS,4,4,0,0,8565,8577,244,14,7,6,7981,8254,5250,280,271,15,12615,18439,8324,649,999,43,6299,16316,10056,1028,2469,143,5240,18936,12658,1099,3774,424,3715,21670,12679,865,3323,1020,1677,19558,7074,283,1198,1364,479,10392,1571,45,188,1000,113,2906,96,4,18,0,184,307,57948,4271,12245,4008,46874,125355,16,0,0,0,8033,8048,446,35,19,3,7355,7854,6526,519,456,28,10966,18500,9249,975,1476,126,5911,17736,10924,1226,3302,432,4416,20300,13247,1139,4514,1318,2676,22899,11511,688,3725,2885,1049,19864,5062,174,1330,4245,340,11144,793,24,276,3166,126,4382,58,7,21,24,94,204,57836,4787,15110,12230,40974,130938,17,9,3,0,16603,16630,689,47,30,10,15342,16110,11777,799,729,43,23584,36935,17572,1627,2474,166,12209,34049,20987,2253,5770,579,9655,39239,25902,2238,8285,1742,6399,44569,24189,1557,7043,3907,2727,39424,12127,456,2526,5605,819,21536,2366,67,459,4164,235,7288,157,15,38,26,278,511,115789,9056,27357,16244,87850,256292
69799,0,0,0,0,0,0,0,0,0,0,9,9,8,0,4,0,39,58,28,0,3,0,38,65,37,6,4,0,24,70,36,3,12,0,4,62,13,0,0,0,5,25,4,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,8,125,12,35,4,122,296,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,10,13,3,0,0,0,6,12,4,0,4,0,7,18,10,0,0,0,0,11,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,12,0,32,75,0,0,0,0,5,5,0,0,0,0,15,15,10,0,4,0,48,62,33,3,3,0,43,80,40,8,11,6,30,90,42,3,20,0,8,75,24,0,0,0,5,33,4,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,13,154,13,49,7,158,374
7GDAR,24,0,0,3,3944,3969,226,13,6,0,4880,5127,4218,147,181,14,8808,13365,6545,376,592,23,3889,11420,5683,483,1053,74,2719,10017,5104,457,1377,168,1736,8842,4122,332,1179,267,725,6629,1449,94,300,252,185,2289,194,14,37,123,36,397,679,9,65,6,1284,2046,28238,1934,4790,940,28203,64106,12,0,0,0,3839,3858,351,18,5,4,4066,4452,5309,293,321,20,8182,14133,6653,562,844,80,3866,12003,5427,519,1338,217,2392,9886,4850,462,1537,525,1302,8667,3306,246,1156,890,456,6060,824,51,366,799,84,2121,69,6,59,344,19,493,162,15,31,36,265,509,26970,2168,5653,2922,24478,62191,36,0,0,3,7785,7824,574,35,12,5,8951,9571,9527,448,504,35,16991,27502,13203,937,1434,108,7755,23427,11107,1003,2388,291,5115,19906,9956,919,2908,692,3035,17510,7425,580,2336,1157,1184,12685,2273,147,661,1056,267,4411,269,20,97,466,51,895,842,24,94,45,1548,2555,55207,4105,10447,3860,52679,126296
7RNTE,190,10,4,0,3227,3433,759,40,15,9,2849,3673,3226,145,127,25,5671,9190,4187,265,312,34,2966,7761,3611,359,677,104,2011,6767,4048,343,848,170,1265,6678,3408,217,694,250,475,5037,823,44,154,151,98,1273,65,3,16,45,21,143,116,0,16,6,206,344,20432,1434,2853,787,18789,44302,286,7,3,0,2855,3159,890,39,16,14,2607,3562,3544,226,156,82,5451,9463,3754,341,371,123,2759,7341,3277,349,700,279,2027,6634,3768,279,934,597,1229,6808,2628,144,561,650,415,4393,381,37,118,346,95,983,29,5,14,137,33,211,50,10,10,11,129,208,18612,1427,2889,2235,17605,42763,475,16,9,7,6080,6589,1652,80,27,14,5456,7230,6768,368,286,106,11125,18656,7942,605,680,155,5727,15108,6889,710,1379,384,4036,13401,7816,620,1780,764,2502,13484,6035,361,1259,892,885,9432,1201,85,274,493,199,2249,93,9,25,181,48,357,166,6,23,16,335,553,39040,2865,5741,3023,36404,87063
79799,0,0,0,0,10,10,0,0,0,0,17,17,14,5,0,0,32,51,47,6,10,0,42,101,70,6,15,0,29,111,48,0,21,0,23,97,20,0,0,0,0,19,3,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,12,204,18,53,4,151,429,0,0,0,0,0,0,3,0,0,0,9,15,0,0,0,0,12,12,0,0,3,0,0,3,4,0,6,0,0,7,0,0,4,0,3,12,17,0,4,0,0,21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,7,27,0,14,0,34,67,0,0,0,0,11,11,3,0,0,0,25,27,14,5,0,0,44,58,47,6,14,0,51,105,70,6,22,0,27,120,50,0,25,0,22,106,33,0,3,0,0,42,4,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,6,17,223,18,69,4,182,494
8ACTE,6,0,0,0,13429,13445,372,14,6,3,16827,17225,12096,408,540,23,25582,38646,21799,1002,1789,64,9592,34238,17880,1186,2871,118,5762,27823,14213,901,2960,280,3205,21556,11681,491,2115,646,1273,16210,6312,215,817,922,321,8589,1685,38,158,900,79,2860,267,9,36,11,169,493,86322,4259,11296,2965,76238,181082,11,0,6,4,13027,13041,890,35,31,4,16321,17284,15545,643,813,31,21938,38978,22177,1314,2466,147,8823,34928,17149,1436,3968,418,5259,28226,13690,976,4497,1076,2957,23191,10683,597,3714,2492,1182,18666,4703,185,1527,3658,376,10447,830,29,376,2971,126,4337,261,8,34,71,149,520,85943,5220,17440,10875,70152,189630,15,0,8,0,26453,26482,1268,46,39,8,33143,34507,27642,1053,1353,51,47526,77621,43972,2315,4261,212,18408,69171,35029,2621,6844,539,11020,56053,27906,1882,7451,1355,6160,44750,22369,1086,5830,3139,2456,34875,11013,397,2347,4577,703,19042,2516,69,537,3867,209,7200,532,19,69,90,314,1020,172259,9486,28733,13843,146392,370716
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,110,110,14,0,0,0,140,149,112,8,7,0,316,448,184,15,23,3,139,365,212,29,51,0,97,389,274,24,86,12,57,452,258,17,41,14,32,361,100,6,17,21,8,148,18,0,0,9,0,30,0,0,4,0,10,15,1172,100,230,53,908,2464,0,0,0,0,108,109,18,0,0,0,106,123,100,15,0,0,181,296,184,7,21,0,117,332,198,25,62,4,87,379,260,31,90,11,53,437,178,4,54,46,28,307,73,3,19,50,0,142,0,0,4,24,0,34,0,0,0,0,7,10,1009,77,252,131,689,2163,0,0,0,0,219,220,27,0,0,0,245,272,209,18,5,0,499,741,368,27,45,3,256,697,411,52,118,4,179,767,526,51,174,21,111,893,437,24,93,58,60,669,173,11,36,68,11,295,22,0,9,32,0,60,3,0,3,0,15,23,2180,182,484,191,1599,4630
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
