GCCSA_PEP_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
4RSAU,5265,2848,2708,5552,2932,2821,5748,3086,3045,6132,3161,3016,6181,14667,14205,28874,3253,3136,6394,3108,3069,6174,3065,3065,6123,3047,2922,5970,3032,2931,5959,15502,15120,30618,3007,2962,5971,2973,2877,5848,2971,2804,5775,3004,2882,5891,2794,2783,5578,14764,14305,29064,2789,2745,5533,2768,2658,5430,2698,2540,5240,2464,2488,4953,2714,2711,5424,13442,13141,26582,2188,2165,4353,2104,2097,4204,1878,1884,3766,1615,1693,3309,1532,1619,3154,9313,9464,18777,5768,6295,12065,2921,3726,6650,1231,2051,3281,276,659,932,29,93,120,864,250,1113,201830,195942,397774
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,40,0,40
5GPER,24233,11633,12501,24134,11877,12648,24523,11880,12637,24517,11520,12270,23797,58624,62569,121199,11289,12149,23437,10845,11935,22775,10482,11563,22044,10206,11159,21366,9857,10910,20760,52674,57704,110383,10076,10939,21010,9410,10656,20066,9014,10300,19320,8980,9963,18946,8748,9656,18400,46230,51513,97741,8631,9333,17963,8272,9089,17359,7942,8969,16913,8014,8607,16627,8362,9027,17390,41221,45028,86250,6496,6964,13462,6051,6616,12668,5827,6412,12241,4990,5668,10659,5020,5583,10604,28388,31244,59631,18697,23106,41802,10270,14638,24908,4373,7716,12085,1020,2318,3339,85,352,439,2777,2614,5399,1015022,1061633,2076653
5RWAU,8207,4411,3813,8227,4494,3924,8418,4653,4006,8657,4520,4128,8647,22538,19624,42157,4687,4136,8821,4400,3923,8325,4315,4060,8376,4137,3890,8028,4230,3721,7945,21766,19731,41495,4095,3799,7893,3791,3595,7386,3667,3405,7070,3499,3424,6920,3420,3268,6691,18479,17489,35963,3414,3064,6475,3266,2904,6173,3138,2753,5896,2972,2606,5573,3003,2724,5725,15788,14052,29840,2186,2115,4295,2132,1928,4059,1957,1839,3796,1598,1587,3186,1636,1577,3215,9505,9050,18558,5583,5708,11295,2630,3349,5978,1021,1567,2593,222,444,668,18,67,83,1198,785,1988,315466,281377,596836
59799,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
6GHOB,2597,1297,1507,2798,1547,1621,3161,1429,1590,3009,1543,1579,3121,7036,7655,14694,1505,1606,3106,1414,1579,2990,1422,1598,3025,1381,1491,2879,1345,1519,2864,7065,7792,14859,1326,1487,2812,1275,1404,2678,1163,1423,2581,1272,1376,2650,1238,1416,2650,6272,7110,13377,1144,1352,2500,1192,1251,2447,1065,1185,2252,1124,1212,2332,1202,1318,2522,5719,6325,12050,858,1082,1946,810,953,1756,779,954,1729,690,846,1532,669,767,1435,3803,4600,8402,2602,3326,5927,1361,2033,3399,606,1102,1704,119,317,441,12,42,56,332,172,502,120136,126110,246246
6RTAS,4025,2066,2117,4178,2110,2272,4384,2231,2311,4546,2358,2418,4778,10681,11226,21909,2290,2500,4786,2217,2420,4634,2223,2262,4483,2201,2210,4413,2065,2280,4346,10993,11667,22659,2207,2159,4366,2070,2098,4162,1948,2125,4075,2026,2034,4062,2038,1955,3994,10286,10376,20657,1952,1913,3867,1862,1974,3836,1779,1876,3654,1763,1821,3585,1921,1903,3825,9277,9492,18763,1492,1520,3010,1343,1482,2825,1342,1386,2722,1134,1139,2275,1107,1151,2256,6414,6674,13085,3978,4467,8450,1986,2674,4659,767,1302,2073,142,366,513,4,36,45,323,207,529,151497,155786,307286
69799,5,11,0,11,7,0,6,8,0,5,7,4,8,40,9,43,9,0,10,5,0,5,8,0,10,4,3,10,0,0,0,24,9,28,7,0,6,7,0,7,0,3,6,4,5,7,0,0,0,20,7,24,4,0,4,5,3,8,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,299,76,378
7GDAR,1894,918,880,1803,916,852,1763,968,933,1902,936,871,1811,4699,4467,9165,885,970,1859,833,852,1687,843,808,1652,824,773,1599,759,790,1551,4144,4201,8344,808,731,1543,761,750,1506,748,709,1458,704,678,1383,707,590,1298,3730,3458,7187,616,625,1238,633,556,1192,594,491,1081,535,460,994,529,467,993,2902,2601,5501,399,342,742,328,293,619,305,268,573,268,221,488,250,212,459,1550,1333,2884,739,790,1523,273,313,585,103,149,254,23,31,55,0,0,3,2077,552,2629,79131,76649,155778
7RNTE,1344,654,632,1286,678,674,1360,661,667,1325,652,719,1370,3324,3356,6679,738,698,1435,632,690,1320,653,698,1358,663,668,1331,663,704,1361,3350,3451,6803,676,651,1321,607,607,1211,598,546,1144,552,492,1052,558,466,1021,2990,2757,5747,501,423,921,478,385,867,396,302,691,343,267,604,337,264,597,2045,1637,3686,252,175,432,201,151,351,162,137,297,160,98,257,133,95,227,901,657,1563,368,326,694,102,130,238,39,63,100,3,11,22,0,4,5,348,217,562,55428,52813,108242
79799,13,11,0,15,12,0,18,8,3,11,12,0,12,55,3,63,8,3,9,5,0,5,13,0,13,6,0,7,5,0,5,37,3,42,0,3,4,0,3,3,8,3,12,0,5,9,0,5,0,15,17,31,0,4,3,4,0,4,0,0,0,0,0,0,3,0,3,9,6,7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,17,429,73,494
8ACTE,4851,2363,2400,4761,2274,2439,4715,2293,2324,4614,2281,2465,4742,11538,12148,23689,2161,2331,4492,2125,2241,4362,1956,2210,4169,1919,2159,4076,1859,2111,3969,10020,11043,21061,1797,2065,3862,1653,1919,3572,1705,1896,3598,1709,1901,3607,1566,1906,3467,8439,9669,18110,1560,1881,3447,1543,1814,3358,1530,1715,3243,1544,1750,3293,1594,1829,3424,7770,8990,16765,1328,1443,2769,1105,1323,2426,1055,1261,2316,893,1094,1987,919,1086,2006,5291,6212,11505,3296,4239,7535,1850,2596,4443,807,1265,2073,193,427,621,11,53,59,553,597,1151,223743,229708,453453
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,85,33,40,75,41,39,77,52,35,89,43,56,94,223,209,426,43,45,82,54,46,103,47,48,94,54,41,92,36,53,90,234,232,463,42,39,78,46,52,104,29,25,52,36,37,70,37,34,71,191,183,374,46,21,70,48,37,81,36,26,60,23,22,43,16,15,38,170,123,296,17,23,38,24,24,49,20,8,32,19,16,37,7,14,24,93,90,177,58,60,118,23,25,42,13,12,19,0,0,0,0,0,0,15,10,23,2900,2549,5446
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
