GCCSA_PEP_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
4RSAU,2628,123,20,20,7,2795,2064,180,14,4,7,2270,2130,180,13,6,9,2337,4287,292,40,22,4,4658,5515,294,24,14,10,5857,11066,307,32,28,30,11468,7581,105,6,28,17,7737,4937,65,7,24,8,5049,1457,23,9,10,3,1502,1078,9,0,9,3,1106,782,15,5,10,8,815,2353,94,10,17,12,2483,45870,1690,178,199,126,48066
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,12022,1355,481,9,12,13878,3970,461,173,3,0,4605,3563,451,220,0,0,4234,6289,935,400,15,3,7641,9223,1355,663,10,7,11257,33846,4936,2228,19,22,41044,50367,5873,2298,24,33,58588,71862,5877,1957,22,50,79766,33223,2341,785,12,26,36373,26663,1985,706,7,12,29371,20957,1281,503,10,17,22767,16203,1430,530,13,14,18190,288176,28270,10940,138,183,327717
5RWAU,2853,87,16,45,24,3023,1401,53,9,16,3,1483,1303,67,9,18,8,1403,2609,121,15,34,13,2792,3438,164,18,49,9,3676,10131,411,46,82,18,10682,11016,271,26,69,15,11405,11414,272,18,84,20,11819,4395,85,8,36,15,4533,3342,75,5,33,8,3466,2124,61,7,41,26,2252,3269,97,11,57,15,3448,57293,1756,187,565,180,59986
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,1563,55,49,0,3,1666,818,30,25,0,0,879,726,26,36,4,0,787,1411,52,59,3,0,1523,2057,64,91,0,3,2219,6233,208,246,9,4,6695,6395,154,159,8,0,6718,5832,114,91,4,8,6042,2090,49,17,4,6,2165,1551,35,27,3,0,1613,1045,24,17,4,0,1092,1356,34,44,0,4,1441,31083,834,857,44,26,32843
6RTAS,2015,59,22,9,10,2113,1454,34,15,4,0,1512,1445,35,13,9,0,1502,2874,93,53,8,5,3027,4113,89,46,7,0,4261,9984,170,101,16,9,10281,7090,103,33,17,8,7251,4621,79,15,14,5,4735,1361,20,8,0,3,1393,1011,16,6,3,4,1029,653,11,3,3,0,675,1908,32,17,5,3,1964,38527,741,342,89,49,39744
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,432,25,77,7,0,537,127,10,29,4,0,169,120,15,34,5,0,175,267,43,77,3,0,387,341,52,132,4,0,528,1263,201,383,15,0,1864,1846,223,438,10,0,2516,3648,220,402,10,3,4271,2230,93,164,9,0,2500,1807,51,116,3,0,1991,1099,35,72,0,0,1207,753,55,89,5,0,908,13928,1019,2016,70,9,17048
7RNTE,147,16,3,28,4,195,60,12,0,7,0,82,57,6,4,4,0,72,89,28,5,20,3,140,178,50,9,19,3,255,505,157,7,30,9,719,785,162,8,13,7,979,929,90,4,22,9,1057,408,23,0,17,3,444,265,23,0,13,6,303,169,7,0,8,5,189,217,26,4,19,8,269,3795,601,50,200,65,4705
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,2159,359,244,0,0,2757,611,96,71,0,0,781,527,118,96,0,0,734,897,222,228,0,0,1338,1196,314,397,0,0,1906,3761,1237,1954,0,3,6957,5694,2353,2401,0,6,10452,11809,2768,2002,0,0,16581,7991,955,610,0,5,9568,7248,696,510,0,4,8466,4990,407,309,0,4,5711,2120,367,288,0,0,2773,48997,9892,9102,7,31,68028
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,18,0,3,0,0,20,6,0,0,0,0,6,5,0,0,0,0,9,21,3,0,0,0,26,22,0,0,0,0,21,67,8,6,0,0,72,45,0,0,0,0,49,44,4,0,0,0,45,15,0,0,0,0,15,6,0,0,0,0,6,3,0,0,0,0,9,19,0,0,0,0,19,261,13,6,0,4,286
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
