GCCSA_PEP_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
4RSAU,167558,163844,331397,64833,32637,97467,19668,42307,61974,5952,6244,12188,5007,3627,8633,95458,84806,180271,59337,68414,127751,5.2,4.3,4.8,57,51.8,54.4,54,49.5,51.8,2557,3184,5739,1374,3352,4725,10071,18160,28233,9208,15029,24236,44546,24501,69043,2212,3316,5525,2647,3304,5947,49406,31116,80520,158481,156585,315065,22791,23635,46432,111937,108652,220589,60839,63438,124282
49799,34,0,34,19,0,19,0,0,0,0,0,0,0,0,0,22,0,22,6,0,6,4.3,0,4.3,67.6,0,67.6,64.7,0,64.7,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,7,0,7,22,0,22,5,0,5,16,0,16,13,0,13
5GPER,806125,863984,1670105,387601,229353,616959,117129,243744,360875,27228,30021,57245,30617,28337,58959,562577,531456,1094032,206996,295948,502944,5.4,5.3,5.4,69.8,61.5,65.5,66,58.2,62,49840,49509,99350,14351,27936,42286,131197,173059,304252,71617,92089,163701,181196,100614,281810,10503,15152,25655,10411,19450,29861,202105,135213,337325,816140,857737,1673884,136771,146878,283655,526890,552347,1079238,369936,399169,769105
5RWAU,259902,229384,489282,113186,56943,170135,24830,54301,79128,12878,10790,23666,6128,4950,11080,157018,126988,284005,63447,79039,142489,3.9,3.9,3.9,60.4,55.4,58,58.1,53.2,55.8,5237,5614,10846,2404,5664,8072,19327,30900,50222,16034,21615,37647,70717,31527,102243,3662,5658,9321,3191,4916,8102,77564,42098,119664,220723,206620,427345,43867,42881,86749,146198,134357,280552,104236,102032,206265
59799,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
6GHOB,98480,105720,204195,40143,25215,65356,16659,29827,46485,2913,3977,6895,4201,3643,7844,63920,62661,126585,30355,38660,69013,6.6,5.8,6.2,64.9,59.3,62,60.6,55.8,58.1,8390,9557,17943,2039,3846,5886,15714,19846,35561,7179,9469,16644,21095,12325,33415,1085,1804,2890,1221,1994,3215,23393,16121,39519,95012,100814,195823,17553,18200,35752,62617,66722,129338,44323,46985,91303
6RTAS,125043,130731,255779,48124,26419,74535,17001,34823,51825,4364,4743,9108,4590,3598,8186,74082,69570,143655,43512,54075,97586,6.2,5.2,5.7,59.2,53.2,56.2,55.6,50.5,53,4429,4785,9213,1416,2898,4318,11038,17399,28440,7918,11667,19581,32992,18915,51904,1601,3107,4714,1639,2828,4471,36233,24848,61089,121295,124774,246065,18909,20266,39181,82402,83416,165822,50996,55062,106062
69799,289,73,362,208,30,237,11,11,19,10,9,19,4,0,3,230,50,282,31,24,58,0.9,2,1.1,79,67.1,76.6,78.4,65.8,75.8,0,3,3,0,3,4,33,10,46,37,7,44,63,15,76,7,0,6,9,4,13,76,25,98,158,48,207,33,11,50,117,28,146,76,32,107
7GDAR,62064,61675,123737,29637,22582,52225,7160,12270,19434,3053,3405,6459,1772,1571,3346,41625,39832,81457,13617,15430,29045,4.3,3.9,4.1,67.1,64.6,65.8,64.2,62,63.1,3815,4536,8350,1074,2364,3442,7913,11952,19867,5070,5835,10900,14631,7230,21855,777,1068,1840,823,996,1818,16232,9290,25518,53317,53268,106581,13782,14228,28015,30800,30205,61008,32052,33366,65422
7RNTE,43957,42552,86513,13997,11051,25049,3168,4987,8154,2410,2514,4922,1772,1527,3307,21348,20078,41429,15985,17420,33403,8.3,7.6,8,48.6,47.2,47.9,44.5,43.6,44.1,1438,1903,3336,465,1151,1616,3458,5539,8991,2396,2876,5269,8161,3802,11965,600,804,1400,600,704,1304,9363,5307,14663,38770,38099,76871,7888,8449,16337,27231,26945,54184,16015,16574,32590
79799,414,64,482,215,21,235,12,3,16,18,4,27,4,0,4,253,35,285,29,15,47,1.6,0,1.4,60.7,48.4,59.1,59.8,48.4,58.2,0,0,0,4,8,11,38,8,42,58,6,63,88,8,96,10,0,10,21,0,23,115,9,131,230,46,276,47,6,52,164,28,193,112,20,129
8ACTE,180590,189109,369698,93307,70590,163899,26922,44490,71409,5437,7716,13156,5469,4548,10012,131129,127340,258467,41700,54548,96249,4.2,3.6,3.9,72.6,67.3,69.9,69.6,64.9,67.2,27304,25161,52463,6379,10267,16646,40364,49085,89454,15138,19074,34214,25168,14592,39763,1472,2023,3493,2003,3583,5587,28644,20198,48845,171211,177612,348821,40340,40907,81250,102980,108136,211108,97255,99704,196956
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,2445,2156,4603,998,649,1648,268,500,766,98,97,199,26,33,58,1397,1269,2670,620,511,1136,1.9,2.3,2.1,57,59,57.9,56,57.6,56.8,65,75,144,30,61,95,206,269,480,144,205,344,551,204,759,40,56,95,18,44,61,612,302,914,1783,1731,3510,387,362,746,1255,1221,2480,796,787,1577
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
