SED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SED10031,473,1478,31,1981,8981,794,11,11767,101,1278,8,1378,8495,679,11,10561,20,241,5,264,5057,498,4,5829,6,18,0,22,1687,258,0,1973,12415,4517,504,17440,45350,5154,78,68025
SED10032,535,521,16,1078,7728,716,42,9559,102,454,9,565,5538,427,60,6581,22,98,3,129,3203,276,18,3626,3,4,0,8,1286,110,9,1410,16884,2053,180,19116,55790,7632,228,82764
SED10033,430,1051,14,1498,8118,421,4,10043,63,825,3,892,6266,308,9,7473,6,154,3,168,3730,248,0,4148,0,12,0,12,1230,152,0,1395,13490,3224,320,17037,42818,3009,66,62931
SED10034,483,1006,10,1504,7616,198,10,9323,71,1237,5,1311,5862,166,15,7349,9,192,0,207,3811,253,8,4271,0,9,0,10,1315,453,0,1782,15429,3350,203,18984,40853,1927,54,61824
SED10035,536,390,9,938,7223,504,119,8787,93,534,11,636,4887,312,61,5895,26,124,0,147,2987,208,27,3372,0,9,0,13,1195,88,0,1301,15132,1963,147,17238,79963,6664,810,104673
SED10036,565,746,20,1326,8199,406,18,9947,86,579,9,673,5446,314,30,6462,7,92,0,102,3068,372,9,3555,3,5,0,7,1087,382,3,1481,16108,2456,207,18765,47234,4339,108,70449
SED10037,722,711,16,1447,8715,195,44,10399,135,1039,4,1186,6322,229,65,7808,23,226,4,248,4147,204,24,4623,0,9,0,7,1379,168,3,1565,16924,2735,191,19850,45462,1961,201,67473
SED10038,492,1205,14,1712,7944,268,9,9928,69,1225,6,1296,6421,251,8,7981,17,222,0,244,4491,336,3,5074,0,12,0,17,2015,342,3,2373,14877,3761,271,18909,44630,2850,60,66450
SED10039,359,1569,18,1937,8410,426,20,10799,84,1534,11,1632,7968,430,17,10038,21,221,0,242,4932,353,4,5536,5,3,0,7,1820,366,0,2202,12608,4692,552,17851,42976,3945,76,64843
SED10040,740,612,33,1380,8761,512,56,10708,210,801,15,1021,6648,482,52,8201,40,151,4,192,4148,456,19,4808,0,8,0,11,2027,492,0,2541,14762,2328,147,17239,57437,5018,246,79945
SED10041,960,669,19,1643,7997,238,56,9941,180,1199,13,1394,6019,217,69,7700,37,294,0,326,4923,254,28,5530,9,9,0,16,2920,333,3,3275,18146,2800,153,21093,46519,2254,258,70128
SED10042,343,1647,18,2008,8073,330,10,10426,74,1503,3,1581,7818,421,10,9833,16,289,0,305,5575,456,3,6341,6,17,0,20,2198,316,0,2536,12123,4884,508,17509,44541,3060,50,65158
SED10043,702,503,24,1233,8087,729,34,10093,114,432,9,557,6058,478,26,7118,25,81,4,106,3621,346,3,4084,10,7,0,10,1488,223,5,1728,15163,2009,180,17353,50851,6328,177,74707
SED10044,776,591,15,1383,7876,391,47,9703,120,1085,3,1212,5931,447,44,7637,17,242,7,260,3899,495,15,4663,0,8,0,12,1686,768,5,2472,16911,2656,170,19740,49739,4031,230,73740
SED10045,512,1321,22,1855,9505,984,21,12365,96,1168,9,1273,8627,890,0,10790,14,187,0,194,4320,561,8,5082,3,7,0,14,1660,431,5,2111,10536,4107,546,15188,43129,6117,269,64705
SED10046,567,600,19,1192,9354,868,32,11448,110,414,6,533,5687,574,29,6824,22,75,0,95,2841,377,10,3318,4,4,0,10,900,156,6,1069,14581,2254,205,17043,53345,6462,142,76991
SED10047,457,1009,22,1484,8403,716,61,10667,106,745,11,868,6537,538,60,7998,17,104,0,121,3463,339,5,3935,0,6,0,9,850,200,0,1062,23240,3804,467,27509,55443,7881,198,91027
SED10048,619,1016,28,1670,9525,477,65,11736,108,754,18,884,6931,336,66,8217,24,94,0,120,2971,352,15,3464,6,7,0,3,814,274,4,1097,21914,3501,353,25772,55432,4943,228,86368
SED10049,352,1710,24,2086,7369,316,16,9795,51,1418,8,1477,6260,282,10,8019,13,188,0,202,3858,270,4,4337,0,14,0,11,1275,209,4,1499,16677,5239,703,22619,44822,2985,72,70493
SED10050,912,574,15,1507,7680,252,28,9476,99,1025,3,1125,4874,183,20,6209,17,248,0,273,3321,141,6,3735,0,6,0,6,1451,105,3,1564,16453,2657,212,19321,44968,2290,213,66791
SED10051,702,633,14,1353,7939,581,34,9903,119,864,11,995,6125,475,36,7636,33,215,0,247,4225,454,19,4946,0,21,0,23,1635,401,0,2065,15255,2541,182,17977,48844,5144,194,72161
SED10052,501,890,9,1401,7854,290,17,9562,83,1116,6,1207,6319,293,18,7841,13,241,0,257,4737,342,7,5338,0,12,0,14,2219,417,7,2654,14751,3011,168,17932,44419,2805,95,65247
SED10053,510,1459,20,1992,9071,850,29,11933,85,1237,13,1333,6107,568,19,8025,17,212,6,226,3343,307,0,3884,0,18,0,20,1099,128,0,1252,15045,4626,563,20231,48164,5279,227,73903
SED10054,524,785,16,1327,8377,569,37,10313,91,528,15,636,5714,428,29,6806,9,72,0,83,2541,276,16,2918,0,3,0,3,930,245,0,1184,15770,2815,291,18878,48295,5583,162,72911
SED10055,470,1095,20,1577,8675,332,13,10604,71,750,6,830,5631,233,16,6703,11,86,0,93,2284,106,3,2488,0,7,0,7,679,25,4,713,16471,3261,286,20023,45465,2695,67,68250
SED10056,363,1564,22,1943,8872,1042,26,11887,90,1109,0,1200,7867,929,5,10003,14,238,0,260,4940,688,4,5885,6,22,0,23,1904,433,0,2354,11945,4552,521,17020,45909,7236,280,70438
SED10057,357,1317,15,1691,9418,691,10,11801,77,1115,9,1192,10983,846,9,13026,13,196,0,208,6973,706,6,7899,7,14,0,17,2549,521,3,3094,9030,3832,430,13285,46260,5004,60,64611
SED10058,398,1304,19,1724,7580,454,20,9770,79,1462,7,1550,5961,426,21,7956,25,236,0,257,3648,311,8,4226,3,17,0,19,1518,320,0,1858,11501,4381,377,16254,47027,3782,124,67188
SED10059,458,193,0,650,6126,590,27,7393,50,294,4,352,3869,524,20,4764,13,76,0,84,2065,406,8,2566,0,7,0,6,741,282,0,1033,8492,1241,110,9839,56589,5562,322,72309
SED10060,706,411,17,1138,7403,335,38,8905,117,1027,3,1143,6047,289,50,7527,16,289,0,308,4371,258,15,4958,0,12,0,11,1573,183,3,1772,11744,2332,121,14196,49984,2907,258,67347
SED10061,394,1156,8,1563,8186,1124,9,10878,71,934,8,1019,7332,881,9,9238,9,214,5,227,4843,678,4,5752,0,14,0,14,1610,336,0,1964,10354,3836,485,14674,42471,8206,125,65474
SED10062,628,727,18,1361,8509,296,25,10196,124,880,11,1019,6417,294,39,7757,20,162,4,189,4106,286,10,4591,7,12,0,9,1918,390,3,2327,13719,2444,147,16308,45728,2942,150,65122
SED10063,337,1434,21,1790,7510,632,19,9954,63,1176,14,1260,6751,503,7,8518,15,235,0,252,4470,438,5,5166,3,23,0,23,1780,276,0,2080,13009,4637,646,18291,41575,4582,89,64536
SED10064,402,1392,20,1816,9869,843,12,12542,88,1137,11,1241,10406,844,5,12500,21,206,0,233,5807,594,3,6635,5,9,0,14,2062,287,0,2362,9861,4185,566,14611,44916,5979,79,65584
SED10065,679,655,13,1349,8990,570,75,10977,185,690,13,885,6179,374,78,7517,24,114,5,147,3348,245,14,3753,0,7,0,7,1451,180,6,1646,20736,2281,152,23170,62253,5757,335,91511
SED10066,357,934,19,1313,7346,463,11,9125,67,806,10,884,6352,454,22,7711,12,114,0,125,3659,504,3,4298,5,10,0,11,1205,376,3,1595,14488,3163,317,17968,45672,4853,111,68603
SED10067,819,884,17,1719,8445,325,18,10505,89,1427,10,1531,6902,292,13,8739,19,292,0,314,5159,390,5,5870,3,10,0,13,2262,487,3,2761,13497,3360,227,17089,41730,2767,120,61696
SED10068,405,1298,23,1722,9390,545,17,11671,79,1248,8,1331,11142,607,11,13090,27,286,0,314,7569,614,7,8505,11,20,0,26,2711,510,0,3249,10842,4192,487,15523,49635,3936,102,69194
SED10069,347,1429,17,1792,8879,442,15,11134,73,1242,10,1319,9488,485,3,11297,11,216,5,229,6167,510,3,6906,4,7,0,9,1743,325,6,2078,10582,4271,439,15290,44359,3428,53,63137
SED10070,487,613,11,1108,8212,429,33,9789,111,626,8,743,7030,435,37,8248,25,134,3,161,4057,349,7,4577,3,9,0,15,1463,341,0,1814,15026,2196,154,17372,49136,4214,132,70853
SED10071,543,816,16,1375,7955,362,118,9802,167,818,15,1008,5117,233,129,6479,13,133,5,150,2254,123,25,2553,6,7,0,6,640,46,4,698,29220,3168,308,32690,54445,5029,330,92491
SED10072,619,580,11,1213,7968,520,46,9742,101,663,7,776,6304,408,42,7528,14,170,0,187,4375,438,13,5004,3,19,0,21,1809,442,4,2277,14123,2260,139,16520,57707,5528,246,80003
SED10073,710,628,21,1349,8911,468,85,10811,235,1001,14,1253,6661,308,91,8304,35,154,0,193,3982,253,11,4441,6,8,0,19,2057,215,0,2290,17528,2484,121,20138,59757,4148,350,84393
SED10074,449,577,4,1036,7417,441,48,8943,101,704,7,809,6205,418,53,7480,19,138,7,162,4035,421,14,4633,0,10,0,4,1504,316,5,1827,16389,2249,151,18787,46969,4394,175,70325
SED10075,393,1637,25,2051,8530,376,16,10972,68,1203,9,1279,7551,330,11,9170,15,174,4,197,5063,389,6,5658,3,3,0,9,1667,327,4,2001,15018,4554,424,19993,48016,3390,59,71466
SED10076,333,1315,15,1661,9144,622,4,11439,53,1210,3,1266,10401,574,3,12249,16,180,3,203,6389,530,9,7129,5,8,0,15,2242,271,0,2528,10232,4109,475,14815,45376,4293,66,64553
SED10077,706,581,14,1302,8524,440,66,10329,160,741,17,918,5910,303,55,7194,34,180,4,215,3777,303,21,4318,3,12,0,22,1945,285,4,2263,14867,2237,138,17242,65212,5278,356,88087
SED10078,690,371,10,1070,7371,361,36,8835,72,515,8,600,5402,273,23,6305,23,143,3,168,3563,248,0,3981,4,4,0,11,1885,163,0,2065,12199,1724,132,14056,51899,3321,144,69414
SED10079,346,1487,11,1847,8015,332,3,10195,66,1482,4,1560,7869,409,9,9841,11,219,0,242,5628,457,0,6328,3,15,0,14,1835,256,3,2112,11313,4391,375,16076,41897,2826,43,60841
SED10080,438,320,8,763,7619,820,162,9370,86,551,3,639,5476,528,94,6740,15,154,6,169,2937,406,21,3533,0,4,0,4,1017,310,4,1340,7886,1640,81,9611,71365,10404,1181,92551
SED10081,356,1395,16,1763,7491,683,7,9957,89,1117,6,1217,6877,602,6,8705,16,196,0,213,4713,605,0,5532,4,8,0,12,1709,348,4,2072,12364,4385,574,17324,42011,5483,95,64916
SED10082,507,1216,12,1736,8226,330,15,10309,88,1297,11,1402,7933,400,14,9748,19,197,4,222,5499,507,8,6232,4,8,0,12,1917,614,3,2541,13541,3634,264,17448,42694,3129,85,63356
SED10083,378,1042,17,1438,7792,375,17,9620,60,907,7,974,7216,385,10,8590,5,130,0,137,4524,401,6,5066,4,5,0,9,1936,438,0,2388,12782,3241,329,16351,41866,3463,53,61734
SED10084,480,1382,18,1884,8986,572,9,11451,88,1318,6,1408,9596,570,29,11608,21,234,0,256,6726,566,13,7558,0,15,0,13,2839,432,0,3286,11923,4183,507,16611,47279,4626,97,68614
SED10085,326,1476,21,1820,8399,697,10,10933,67,1001,7,1076,6997,614,6,8690,16,169,0,191,4011,407,3,4612,0,8,0,14,1421,188,0,1613,12552,4310,477,17339,41878,5070,72,64362
SED10086,889,564,13,1460,6176,326,45,8014,122,972,10,1095,5387,276,24,6791,23,277,0,297,3765,343,15,4414,3,12,0,18,1528,378,9,1929,12973,2544,148,15666,46483,3828,319,66291
SED10087,380,1431,14,1822,7229,558,9,9621,71,1195,10,1275,6042,449,5,7767,8,239,4,248,3947,380,5,4579,3,15,0,20,1707,256,3,1985,13050,4743,575,18371,43837,4490,125,66819
SED10088,780,658,19,1453,7938,295,24,9708,104,998,9,1119,5382,262,15,6778,13,225,0,241,4307,282,10,4836,0,28,0,26,1871,311,4,2217,16389,2641,219,19249,45242,2634,136,67262
SED10089,359,1352,13,1727,6953,431,25,9137,70,1316,15,1399,5894,484,23,7807,19,282,6,296,4166,595,6,5063,4,18,0,20,1966,568,0,2559,14081,4591,481,19161,47756,4809,98,71824
SED10090,869,428,12,1308,7772,250,68,9401,153,1012,7,1174,6174,217,63,7633,31,224,4,258,3734,172,22,4183,0,10,0,10,1924,155,7,2096,17284,2260,180,19728,47856,2426,362,70371
SED10091,459,1230,19,1705,7974,342,17,10031,72,997,7,1075,7714,374,14,9174,12,231,0,243,4985,399,4,5631,5,14,0,18,1600,377,0,1999,14676,3747,434,18859,44209,3283,88,66437
SED10092,382,1187,14,1577,8409,510,18,10502,66,1007,6,1082,6805,486,13,8394,24,185,0,212,4871,475,0,5560,4,17,0,19,2029,457,0,2501,11666,3626,262,15552,52065,4650,97,72367
SED10093,354,1039,24,1406,7853,449,18,9731,69,702,11,771,7109,516,17,8410,18,126,0,144,4667,624,0,5439,4,9,0,6,1691,563,0,2265,13648,3358,433,17435,44339,4536,65,66378
SED19797,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
SED20106,562,577,12,1149,6841,577,66,8635,84,935,8,1022,4531,349,36,5938,26,221,0,252,2637,240,16,3141,0,10,0,14,827,121,0,959,9299,2699,187,12190,54773,4845,370,72172
SED20207,603,986,21,1610,7519,406,74,9608,186,1096,13,1293,5126,243,117,6784,27,190,7,214,2676,144,21,3061,3,4,0,9,1022,65,0,1095,24050,3727,425,28198,50174,4225,297,82899
SED20302,515,1507,35,2055,9153,569,50,11821,108,1414,10,1535,8561,621,38,10759,27,192,0,218,5036,504,26,5776,5,9,0,13,1608,323,3,1947,22216,5132,643,27991,56260,5387,186,89829
SED20401,357,952,18,1324,5811,230,29,7394,85,1136,8,1227,4471,230,17,5947,20,195,0,216,3111,255,12,3591,0,12,0,13,1338,326,0,1682,11560,3258,288,15104,35207,2430,85,52827
SED20508,388,1422,32,1837,7700,383,4,9922,87,1885,8,1982,8158,491,4,10629,15,294,0,309,5005,490,0,5806,6,4,0,11,1657,385,0,2059,11093,4600,388,16079,39088,2934,48,58155
SED20604,365,1220,18,1608,7332,464,10,9414,69,1073,8,1143,6625,458,10,8234,11,180,4,193,3673,325,0,4197,0,12,0,8,1335,181,0,1525,11421,3829,457,15707,37867,3649,85,57310
SED20704,379,1326,9,1717,6578,414,4,8714,64,1242,5,1319,5717,325,13,7369,18,240,3,262,3387,287,0,3939,0,20,0,20,1448,185,5,1655,12277,4217,425,16919,37169,3033,60,57183
SED20804,338,1119,12,1481,6474,531,10,8491,74,1097,0,1169,6253,484,9,7916,15,205,0,218,3932,467,0,4623,0,10,0,14,1445,453,3,1912,9659,3628,379,13672,35021,4413,42,53148
SED20906,588,636,7,1229,6137,229,33,7621,90,995,7,1092,3992,179,38,5300,17,195,0,216,2855,195,7,3278,0,9,0,11,1679,131,0,1816,13442,2520,207,16172,35450,1940,138,53703
SED21001,606,628,26,1265,6753,255,61,8320,149,1270,7,1424,4742,269,41,6476,29,276,0,305,3636,286,8,4233,0,10,0,12,2238,326,3,2586,12106,2883,215,15205,43949,3043,274,62472
SED21106,770,550,18,1342,6577,241,21,8183,100,1316,4,1420,4360,222,19,6020,27,355,0,387,3160,229,5,3783,0,13,0,13,1674,223,0,1912,10619,2943,195,13753,34976,2240,126,51095
SED21203,418,542,19,986,6196,561,14,7756,68,442,7,514,4215,330,10,5072,7,85,6,99,3071,273,4,3455,3,7,0,6,1344,132,0,1489,10181,2184,185,12550,40985,5246,91,58875
SED21303,485,402,12,895,5305,207,26,6430,55,612,0,671,3548,207,15,4436,8,169,0,180,2513,178,4,2870,7,12,0,14,1349,137,8,1514,9955,2247,231,12431,49506,2536,132,64607
SED21401,537,827,17,1385,6683,212,53,8332,147,1441,3,1591,5143,189,49,6967,37,416,0,451,5179,254,19,5899,4,17,0,25,2532,217,0,2772,10845,3315,158,14319,40252,1983,216,56767
SED21503,354,746,12,1113,5486,237,4,6847,63,1016,7,1088,4309,208,24,5624,16,204,0,220,3193,162,4,3579,3,15,0,14,1354,118,0,1493,9932,2689,178,12795,36078,2293,112,51278
SED21608,335,1127,14,1482,6427,380,11,8300,66,1006,4,1080,5522,374,3,6984,16,144,3,163,2991,308,0,3456,0,9,0,9,1054,198,0,1261,11218,3604,424,15246,35241,3333,41,53866
SED21706,604,598,11,1217,6337,212,24,7789,98,1099,12,1210,4365,195,42,5817,31,267,0,297,3068,180,10,3553,4,7,0,10,1855,192,5,2063,12019,2582,194,14793,39714,2367,182,57050
SED21805,388,1029,15,1433,6897,315,13,8654,57,1048,3,1108,5059,222,15,6403,10,155,0,165,2987,275,6,3437,0,3,0,9,1157,160,8,1332,12673,3477,402,16551,37783,2669,64,57072
SED21906,581,660,14,1254,5247,239,24,6768,95,1375,7,1476,4585,263,20,6344,25,243,0,272,2690,212,6,3187,3,16,0,20,1561,193,0,1776,10880,3183,277,14341,38831,2792,139,56110
SED22005,428,663,18,1111,6359,333,30,7832,128,936,15,1076,5097,379,34,6584,26,199,3,234,3845,391,15,4487,9,17,0,26,1987,353,4,2365,11576,2570,184,14325,46323,3952,177,64776
SED22105,593,1334,34,1964,7587,456,82,10088,140,1040,21,1203,4989,281,75,6555,31,148,0,183,2829,160,21,3187,0,9,0,7,1024,103,5,1135,27310,4990,718,33013,56864,4858,251,94982
SED22201,327,1000,10,1338,5614,217,15,7182,77,1300,0,1382,4407,159,15,5960,11,238,0,245,3346,179,0,3771,3,11,0,11,1339,192,0,1548,10923,3485,323,14736,33369,1783,70,49963
SED22305,434,678,23,1128,6182,599,32,7943,94,653,8,758,5029,447,36,6266,19,164,0,179,3205,332,6,3721,3,9,0,13,1380,180,0,1569,11105,2522,210,13841,43344,5513,158,62847
SED22404,414,1164,11,1588,7535,703,5,9831,79,1198,8,1283,6446,590,5,8328,10,201,0,217,3578,353,8,4149,3,11,0,16,1184,104,0,1301,9530,3589,394,13515,34772,4322,70,52679
SED22501,423,1127,18,1569,6287,152,9,8019,65,1799,4,1864,4654,176,7,6703,10,310,0,319,2759,135,3,3220,5,10,0,10,894,111,4,1018,11509,3955,288,15751,30779,1243,48,47820
SED22607,515,702,13,1233,6348,315,11,7910,68,1102,8,1183,4252,212,12,5656,18,221,0,242,2427,157,3,2828,4,11,0,14,1292,105,0,1414,10999,2851,191,14037,41723,2681,113,58551
SED22704,350,1133,17,1500,8078,869,9,10463,81,1063,13,1159,7696,719,3,9580,20,165,0,180,4556,497,6,5246,0,6,0,12,1652,245,0,1912,9039,3567,365,12969,39205,5196,41,57414
SED22802,287,1153,11,1457,5574,203,11,7249,58,1167,10,1226,4293,152,8,5677,14,224,0,239,2875,129,5,3240,0,5,0,4,873,54,0,940,11076,3623,394,15086,31998,1568,43,48705
SED22901,328,1003,8,1343,5913,184,26,7469,100,1311,17,1427,4978,213,27,6642,25,204,0,229,3087,267,9,3598,0,3,0,5,1368,259,3,1643,10443,3329,259,14027,33772,1973,114,49890
SED23007,494,602,15,1109,6542,503,36,8189,76,722,8,807,4723,366,30,5930,21,149,0,167,2822,300,6,3300,3,9,0,11,1207,230,0,1450,12017,2606,225,14849,51119,5064,182,71217
