SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SED10011,0,0,0,0,0,0,0,35,0,0,0,3,0,12,0,4,0,0,0,0,0,0,0,22,0,12,51,47,68,45,42,15,0,3,0,0,0,0,5,287,7,39,44,4,7,3,10,6,4,0,0,0,0,0,13,143,0,3,3,6,31,23,34,11,0,0,0,0,0,0,0,117,0,0,0,4,20,17,29,3,9,0,0,0,0,0,5,80,0,3,18,9,8,8,0,3,0,0,0,0,0,0,0,63,0,6,16,37,39,29,16,6,5,6,0,3,0,0,0,161,0,0,0,0,0,3,3,4,7,15,12,7,0,0,0,48,15,123,40,27,35,15,23,13,0,0,0,0,5,0,9,300,8,21,122,229,282,219,134,52,3,6,9,6,3,9,24,1124,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,4,3,3,3,7,3,0,0,0,5,0,0,0,30
SED10012,3,0,3,3,3,0,9,317,0,0,70,155,164,1067,1427,1016,610,427,133,487,107,11,58,5736,0,0,5,9,13,3,0,0,0,0,0,0,0,0,0,33,37,304,367,119,31,21,11,10,5,0,0,0,0,0,49,947,0,6,0,0,4,4,10,6,0,0,0,0,0,0,0,24,0,0,0,0,3,6,12,3,0,5,0,0,0,0,0,35,4,8,57,171,107,82,109,40,19,15,10,28,6,0,29,669,0,0,6,22,75,44,57,59,42,41,32,39,3,0,24,433,0,0,0,0,0,0,12,6,0,3,18,8,0,0,0,38,0,11,6,0,0,0,0,3,0,0,0,0,0,0,0,27,0,0,16,43,87,234,252,170,45,19,25,14,8,3,28,952,0,0,79,113,37,29,3,10,0,3,0,0,0,0,16,294,0,0,0,0,14,11,14,19,7,6,5,3,8,0,0,88
SED10013,8,3,9,3,0,0,0,227,0,0,28,35,32,452,564,240,25,31,22,18,10,5,18,1477,0,12,28,55,82,24,80,97,11,14,13,4,0,0,11,424,38,300,398,111,62,22,14,28,9,5,0,3,0,0,133,1119,0,3,0,0,0,3,12,7,0,3,4,0,0,0,0,40,0,0,0,4,10,15,44,19,0,0,3,0,0,0,4,104,0,8,80,140,159,89,115,49,5,18,8,8,0,0,21,691,0,0,14,15,61,25,40,25,12,10,12,8,0,3,4,226,0,0,0,0,0,23,552,306,30,42,27,48,20,4,16,1077,4,69,24,17,17,17,6,5,0,0,0,0,0,0,9,163,5,4,45,173,294,403,431,275,46,68,55,42,20,9,62,1926,0,4,39,47,29,27,18,7,4,4,0,0,0,0,3,176,0,0,5,7,31,82,244,222,38,37,35,32,14,7,10,767
SED10014,0,7,0,12,0,5,0,171,0,0,7,5,4,153,176,148,19,8,7,4,0,4,9,549,0,7,27,32,35,11,14,19,4,0,0,0,0,0,3,150,9,45,81,31,11,7,7,8,3,0,0,0,0,0,10,217,0,4,0,0,9,17,12,7,3,10,0,0,0,0,0,48,0,0,0,3,13,16,25,16,4,6,0,4,5,0,5,91,0,9,74,120,133,74,116,53,3,7,9,13,5,0,39,648,0,4,9,34,43,31,42,20,3,17,7,5,5,0,16,227,0,0,0,0,0,22,299,139,23,33,37,43,13,0,12,621,0,56,15,9,12,3,4,7,0,0,0,0,0,0,4,106,5,12,31,154,335,486,501,250,45,49,25,37,19,18,100,2067,0,0,25,26,18,17,17,3,0,0,0,0,0,0,0,117,0,0,0,8,30,96,176,180,41,20,27,15,10,0,17,623
SED10015,0,0,5,3,0,0,0,115,0,0,0,0,4,33,26,16,0,0,6,0,0,0,3,94,0,4,22,22,26,36,41,43,0,5,6,3,0,0,3,208,24,364,553,116,41,29,61,72,11,6,4,6,0,0,56,1350,0,0,0,5,23,38,48,30,12,0,3,4,0,0,5,178,0,0,0,138,322,320,348,123,19,12,18,15,12,0,55,1385,16,116,632,904,481,314,223,87,15,27,23,24,13,4,87,2975,0,6,12,60,142,64,213,249,146,208,142,170,29,0,97,1527,0,0,0,3,5,39,547,361,232,436,628,540,107,9,54,2959,0,7,14,0,0,8,3,3,0,0,0,0,0,0,0,33,0,6,26,81,192,218,230,86,10,9,7,9,11,11,29,928,0,10,66,49,47,6,16,5,0,0,0,0,0,0,3,206,0,0,0,8,35,49,95,133,22,31,35,48,25,3,18,510
SED10016,57,62,34,54,16,13,20,1745,0,0,8,5,12,51,20,22,4,3,5,0,0,0,0,137,0,9,27,31,52,59,77,68,11,6,0,6,0,5,6,350,21,220,182,47,25,21,13,18,0,3,0,4,0,0,30,590,0,0,0,0,9,27,46,23,3,0,6,0,0,0,0,125,0,0,4,23,214,329,690,187,32,22,29,26,13,5,29,1589,0,25,108,99,104,70,33,8,3,3,3,3,3,4,6,469,0,7,43,101,270,111,239,162,31,33,18,14,7,0,9,1042,0,0,0,0,3,35,216,74,8,20,15,12,13,0,0,402,8,58,26,15,15,14,28,9,0,0,5,0,0,0,0,173,0,11,57,142,193,230,346,159,22,44,16,19,13,3,25,1281,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,34,75,140,255,290,97,98,70,51,23,23,10,1168
SED10017,3,0,0,0,0,0,3,33,0,0,0,0,0,0,3,12,0,0,0,0,0,0,4,30,0,4,12,11,13,4,15,17,0,0,0,0,0,0,0,88,0,23,24,16,0,0,8,0,0,0,0,0,0,0,8,74,4,0,5,4,0,0,6,5,0,0,0,0,0,0,0,17,0,0,0,0,8,4,32,12,0,0,0,0,3,0,8,67,0,0,0,5,0,0,3,0,0,0,0,0,0,0,16,38,0,0,10,16,19,8,14,8,4,0,3,0,0,0,5,94,0,0,0,0,0,4,35,21,5,14,12,15,0,0,0,105,12,78,17,7,3,7,9,0,4,0,0,0,0,0,0,141,5,11,49,162,181,120,134,63,0,10,23,10,4,5,50,821,0,0,5,0,5,0,4,0,0,0,0,0,0,0,5,12,0,0,0,0,6,4,39,17,3,5,11,0,0,0,3,86
SED10018,0,3,0,0,0,3,0,30,0,0,0,0,0,3,3,4,0,0,3,7,0,0,0,23,0,3,13,13,15,23,49,20,0,6,3,0,0,0,5,146,8,108,63,7,3,6,15,0,0,0,0,0,0,0,14,225,0,0,3,0,0,9,19,14,0,0,3,4,3,0,0,62,0,0,0,4,17,7,45,14,5,0,3,0,0,0,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,16,45,41,6,33,12,7,8,8,4,0,0,0,176,0,0,0,0,0,0,6,21,27,33,23,11,9,0,0,134,9,70,10,15,3,3,11,12,3,3,0,0,0,0,4,140,0,8,41,130,126,128,138,71,22,11,13,11,5,0,19,740,0,18,113,57,25,9,3,0,0,0,0,0,0,0,16,238,0,0,0,0,0,0,3,18,12,0,4,8,0,0,0,51
SED10019,0,0,0,0,0,3,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,13,9,11,6,12,7,0,0,0,0,0,0,4,76,7,27,11,5,0,0,10,0,4,0,0,0,0,0,3,83,0,3,0,0,0,9,13,9,0,0,0,0,0,0,0,34,0,0,0,0,0,5,5,0,5,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,14,11,6,5,0,4,0,0,9,3,3,0,9,60,0,0,0,0,0,0,0,0,4,10,9,13,3,0,0,34,19,98,25,22,14,8,19,6,0,0,0,0,0,0,8,211,4,14,69,231,219,113,86,41,4,5,9,9,4,0,85,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,14
SED10020,4,0,0,0,0,0,0,22,0,0,0,0,0,6,3,3,10,82,144,111,20,4,3,387,0,4,17,21,6,22,38,19,3,0,0,4,0,0,4,144,3,46,28,9,0,0,11,7,0,0,3,6,0,0,10,138,0,0,0,0,0,8,31,25,0,6,14,27,5,0,5,117,0,0,0,0,4,0,12,14,3,0,8,12,0,0,0,66,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,21,6,5,13,19,11,8,16,37,44,50,63,85,26,0,21,409,0,0,0,0,4,0,13,10,8,26,17,13,6,0,0,98,17,109,34,30,16,9,16,7,0,0,0,5,0,0,7,245,4,27,112,233,232,142,189,66,18,3,5,11,9,10,44,1108,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,11,9,0,0,5,0,0,0,33
SED10021,4,14,4,11,0,0,3,168,0,0,7,17,7,17,11,13,0,0,0,0,0,0,6,74,0,5,50,33,112,166,435,606,126,177,302,407,176,23,40,2672,11,110,107,45,22,20,97,182,23,35,28,42,8,0,29,756,0,3,10,19,45,51,83,40,4,5,13,0,6,3,8,306,0,0,0,15,33,30,64,26,11,12,6,9,10,0,4,209,12,8,36,46,31,14,9,8,5,0,0,0,0,0,4,168,0,3,32,89,104,65,49,38,24,8,23,21,17,3,8,490,0,0,0,0,0,0,10,19,4,11,23,20,6,0,0,91,5,13,13,9,11,9,35,25,10,5,12,28,12,0,3,203,9,18,89,220,305,305,392,240,49,49,50,66,32,36,60,1916,0,0,7,6,8,8,4,0,0,0,0,0,0,0,0,31,0,0,0,3,10,3,4,9,0,3,4,0,7,0,0,39
SED10022,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,8,3,4,0,0,0,0,3,22,6,5,5,9,14,3,8,7,0,4,0,8,4,0,0,60,7,25,10,0,8,0,0,5,0,0,0,0,0,0,3,57,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,18,0,0,5,18,14,6,21,9,0,0,0,0,0,0,13,92,0,0,4,8,4,0,5,9,0,6,22,7,0,0,5,76,0,0,0,0,0,3,5,14,12,14,6,0,0,0,0,53,7,74,22,4,5,11,0,0,0,3,0,0,0,0,4,136,3,6,39,89,126,70,68,52,10,5,12,3,0,6,58,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,14,0,5,0,7,0,0,0,37
SED10023,0,3,0,0,0,0,0,40,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,19,0,4,22,32,71,40,94,44,6,3,3,4,4,4,3,342,10,122,117,31,15,12,12,31,4,0,5,8,0,0,16,381,0,0,0,4,17,15,26,10,8,0,0,4,0,0,0,83,0,0,0,4,20,15,17,3,0,0,0,0,0,0,0,67,4,17,25,27,13,6,13,3,0,0,0,0,0,0,4,117,0,3,16,29,27,16,16,12,4,0,3,0,0,0,0,126,0,0,0,0,0,4,8,4,0,6,3,0,0,0,0,29,10,52,20,7,8,9,14,9,0,3,4,3,0,0,6,144,11,22,71,145,173,207,207,102,26,15,16,10,15,9,32,1064,0,3,28,36,16,15,0,3,3,0,0,0,0,0,8,104,0,0,0,0,8,5,6,0,0,0,0,4,0,0,0,21
