SED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SED10025,3114,872,908,888,1067,399,124,396,21888,10,0,0,0,0,0,0,0,0,109,118,17329,4133,4097,1064,1105,1101,1249,469,173,655,31372
SED10026,964,336,363,325,326,114,67,68,3904,12,0,0,0,0,0,0,0,4,106,112,2934,976,1254,392,407,401,403,148,91,330,7333
SED10027,2551,586,600,477,544,212,55,430,22679,13,6,0,0,0,0,0,0,0,59,78,17943,3890,3051,664,680,567,610,253,77,644,28382
SED10028,5314,1387,1535,1473,1641,681,250,444,35608,21,18,7,0,0,0,0,0,0,162,207,22438,7563,6163,1575,1735,1689,1869,821,286,778,44910
SED10029,6567,3587,2466,1623,2610,753,96,1123,48705,17,6,3,3,0,0,3,0,0,212,252,27113,5921,6893,3670,2536,1682,2657,777,105,1477,52836
SED10030,1217,315,297,306,280,130,14,112,6253,3,0,0,0,0,0,0,0,0,65,78,9367,2259,1942,450,416,402,383,204,34,469,15924
SED10031,573,125,131,154,241,69,54,77,3087,18,0,3,0,0,0,0,3,0,103,123,6494,1040,907,178,180,206,347,102,77,437,9961
SED10032,8202,2430,2934,3667,3469,1200,398,911,48485,17,11,12,6,6,17,6,0,0,66,144,21468,8039,8839,2642,3139,3923,3740,1290,432,1153,54666
SED10033,457,164,159,154,138,37,8,87,3899,6,0,0,0,0,0,0,0,0,36,39,7807,944,860,234,227,216,177,58,24,329,10887
SED10034,722,163,127,136,157,39,14,72,4943,22,0,0,0,0,0,0,0,0,82,107,8248,1759,1393,271,204,211,237,67,36,297,12736
SED10035,7004,2531,3035,3523,3989,1478,277,718,39916,7,0,7,8,6,6,3,0,0,216,250,20130,7327,10436,3571,4111,4745,5348,2020,439,1226,59354
SED10036,3215,907,650,604,691,206,62,432,26983,12,0,3,0,0,0,0,0,0,208,227,20547,5008,3687,1003,745,676,780,254,64,794,33561
SED10037,3362,840,766,792,850,269,97,205,19369,10,5,6,0,0,0,0,0,0,111,127,15760,5454,4347,1069,905,925,978,327,129,454,30343
SED10038,902,289,245,323,427,225,26,155,6975,17,4,0,0,0,3,0,0,0,116,134,9806,1525,1553,394,352,418,554,316,43,460,15417
SED10039,411,84,91,97,105,53,14,71,2597,10,0,0,0,0,0,0,0,0,161,171,7816,1017,883,170,162,162,183,99,22,475,10992
SED10040,5968,1803,2428,3246,3020,818,139,928,45116,17,0,6,3,7,5,8,0,0,653,699,24662,6833,6589,1941,2608,3456,3188,885,147,1718,52026
SED10041,4073,1001,1157,1139,1217,597,174,338,24814,15,6,0,0,0,5,0,0,0,56,84,18940,6585,5353,1251,1410,1398,1454,734,252,591,37969
SED10042,421,90,92,83,137,39,18,78,2562,7,0,0,0,0,0,0,0,0,46,61,6146,955,763,150,156,125,193,67,25,327,8918
SED10043,5945,1350,1622,1807,1866,581,215,987,42469,18,6,5,4,0,4,3,0,0,181,227,24925,6511,6375,1466,1753,1917,2005,630,232,1331,47140
SED10044,3375,890,959,968,1038,420,163,238,20388,9,0,0,4,0,0,3,0,0,554,573,17330,4696,4789,1185,1247,1251,1322,589,223,975,33605
SED10045,408,103,92,112,149,61,33,82,2273,11,0,0,0,0,0,0,0,0,42,54,5531,895,724,167,136,163,214,89,55,348,8316
SED10046,5512,1648,1542,1266,1643,515,126,740,40827,19,7,5,0,0,6,0,3,0,446,499,25590,6581,6067,1754,1652,1410,1737,547,138,1380,46856
SED10047,5739,1120,848,812,839,339,86,341,26655,23,12,10,3,0,5,3,0,0,314,368,15915,8480,6804,1346,1042,981,1014,407,122,951,37071
SED10048,6401,1263,1103,1055,1102,454,113,557,37421,22,6,8,4,5,6,0,0,0,124,172,22549,10365,7254,1441,1258,1232,1250,537,139,907,46940
SED10049,853,157,151,183,190,59,24,46,3468,0,0,0,0,0,0,0,0,0,20,20,4286,1428,1323,240,187,248,264,95,28,178,8271
SED10050,1583,549,593,603,792,310,65,107,9398,7,0,4,0,5,0,0,0,0,16,35,12742,4501,4419,1196,1234,1246,1460,678,176,380,28038
SED10051,2471,845,861,878,994,377,85,315,20216,26,0,3,0,0,0,0,0,0,412,444,18376,4246,4244,1181,1222,1252,1422,541,139,979,33609
SED10052,1292,256,273,220,258,103,45,152,10524,12,5,0,0,0,0,4,0,0,87,111,12590,2481,2162,422,383,382,373,168,78,394,19436
SED10053,1284,366,444,422,528,168,54,136,7364,11,0,0,0,0,0,0,0,0,28,47,8536,1993,1913,465,545,532,660,253,97,397,15381
SED10054,4876,1162,1052,1006,1243,432,84,661,33146,22,6,12,0,0,3,8,0,0,33,83,21443,7262,5592,1308,1198,1143,1348,472,94,937,40785
SED10055,1860,521,385,230,285,95,41,236,17576,7,0,6,0,4,0,0,0,0,23,38,17085,3192,2315,582,463,269,318,123,53,411,24814
SED10056,1141,414,511,703,890,305,101,249,7117,8,0,0,0,0,3,8,4,0,25,47,4382,1282,1501,495,586,772,1037,354,129,460,10989
SED10057,311,83,77,121,136,59,19,74,1899,11,0,0,0,0,0,0,0,0,26,47,5551,567,479,108,116,156,188,84,32,369,7646
SED10058,706,228,286,314,354,158,39,117,4507,8,0,0,0,0,0,0,0,0,12,21,5912,1256,1304,349,407,451,543,264,102,268,10858
SED10059,2237,907,1039,1209,1677,748,147,273,15299,11,0,0,0,0,0,0,3,0,106,136,12759,3151,4122,1365,1534,1757,2388,1129,319,649,29168
SED10060,2414,711,803,888,1028,499,189,171,13971,8,0,0,0,0,0,0,0,3,17,35,14880,4122,4626,1156,1389,1463,1605,855,323,415,30836
SED10061,525,166,247,519,805,204,69,79,3738,9,0,0,0,0,0,0,0,0,54,59,3328,896,815,219,333,583,886,251,86,285,7683
SED10062,2420,626,660,714,668,239,35,413,21953,3,0,4,0,0,0,4,0,0,141,151,17837,3655,2906,724,743,852,752,270,49,687,28477
SED10063,713,189,195,230,202,98,21,55,3029,10,0,0,0,0,0,0,0,0,6,18,3412,913,1026,249,275,277,257,143,33,215,6784
SED10064,206,67,70,76,113,35,10,51,1458,8,0,0,0,0,0,0,3,0,103,120,5300,523,471,124,102,119,144,68,22,441,7314
SED10065,8842,2952,3531,4111,4429,1616,421,723,52152,23,0,14,0,8,5,0,13,4,82,145,22503,9179,9895,3319,3894,4528,4871,1805,497,999,61485
SED10066,1508,317,310,350,394,157,34,138,8243,13,0,3,0,0,0,0,0,0,53,67,9948,2318,2035,412,425,442,490,204,49,359,16667
SED10067,574,173,167,138,170,102,20,71,4555,8,0,5,0,0,0,0,0,0,75,89,11720,2367,1753,406,316,305,374,237,60,403,17943
SED10068,423,106,141,128,141,51,21,61,2396,16,0,0,0,0,3,0,0,0,29,46,7126,1007,903,186,240,211,236,98,40,388,10437
SED10069,267,65,110,112,116,45,22,48,2144,10,0,0,0,0,0,0,0,0,25,41,6686,840,712,134,162,184,179,119,53,305,9381
SED10070,5246,2051,1611,1472,1941,557,101,631,37109,22,5,10,3,4,5,0,0,0,306,354,22271,6341,5659,2167,1728,1567,2030,605,120,1083,43574
SED10071,8935,2217,2197,2012,1971,792,199,465,45395,20,13,8,0,0,0,6,0,0,316,362,21894,12721,10384,2554,2509,2348,2237,916,230,944,56733
SED10072,4856,1687,1959,2303,2519,691,133,672,35064,12,3,12,0,0,4,5,4,4,274,319,21315,5139,5901,1954,2211,2596,2763,796,170,1183,44023
SED10073,7164,2135,2281,2388,2927,1253,276,647,43599,11,4,9,4,0,0,5,0,0,195,229,23583,7803,8169,2385,2554,2677,3318,1442,320,1002,53249
SED10074,4494,1252,1379,1599,1764,611,140,371,27664,18,4,0,3,0,3,0,0,0,41,71,16589,5814,5228,1421,1540,1803,1967,702,172,565,35799
SED10075,708,111,109,130,141,51,18,109,6002,17,0,0,0,0,0,0,0,0,62,80,11604,1170,1104,177,175,194,194,80,30,408,15126
SED10076,423,151,109,124,182,69,16,80,2866,24,0,0,0,0,0,0,0,0,11,26,7587,729,724,207,168,179,251,100,25,373,10354
SED10077,6842,2505,3390,4779,4502,1311,213,1074,49941,13,4,3,0,4,10,14,0,0,80,133,23892,7022,7641,2764,3630,5094,4856,1433,248,1358,57943
SED10078,2506,757,953,1041,1034,290,66,705,20662,8,3,3,0,0,0,0,0,0,39,60,17376,3393,3618,990,1144,1238,1242,369,97,928,30393
SED10079,223,64,76,64,79,15,9,32,1709,11,0,0,0,0,0,0,0,0,7,20,5634,651,549,108,109,98,129,38,24,184,7516
SED10080,5642,2003,2190,2359,3363,1256,507,612,28342,20,9,15,3,0,9,8,4,4,244,315,15948,5772,8100,2725,2923,3222,4471,1856,858,1168,47059
SED10081,723,253,327,378,447,144,59,72,3285,13,0,4,0,0,0,0,0,0,16,30,2574,685,986,298,403,420,512,177,75,214,6346
SED10082,502,105,112,87,132,47,30,60,3244,25,0,0,0,0,0,0,0,0,44,77,9070,1974,1457,265,227,187,253,121,68,321,13952
SED10083,582,130,93,134,143,41,23,78,3467,25,4,0,0,0,0,0,0,0,39,69,7289,1335,1093,236,171,174,216,79,32,316,10938
SED10084,589,189,150,155,164,69,12,54,2948,16,0,0,0,0,0,0,0,0,89,113,8375,1536,1279,305,251,263,314,150,49,520,13023
SED10085,349,96,94,147,244,73,55,47,1919,5,0,0,0,0,0,3,0,3,73,78,3456,857,718,174,137,205,325,108,72,264,6325
SED10086,1701,526,546,731,847,408,76,184,11071,16,3,0,0,0,5,0,0,0,162,191,15770,3412,4295,1210,1273,1563,1827,870,200,659,31070
SED10087,1307,410,449,487,690,248,95,66,5474,4,0,0,0,0,4,0,0,0,10,23,3176,1338,1625,458,527,541,764,295,118,206,9049
SED10088,1952,581,579,714,770,221,48,243,13284,14,0,5,0,0,0,0,0,0,130,149,14629,4016,3543,811,811,929,1012,340,83,570,26753
SED10089,1730,589,688,738,770,261,71,165,8475,6,0,0,0,0,0,0,0,0,188,193,5515,1882,2254,696,788,850,908,324,109,495,13822
SED10090,3708,1103,1212,1305,1550,735,261,355,24476,17,4,0,0,0,0,0,0,0,17,40,18932,5258,5136,1401,1552,1593,1873,923,354,562,37588
SED10091,439,117,110,135,147,59,5,92,3377,7,0,0,0,0,0,0,0,0,5,14,8568,1002,836,161,157,202,208,114,19,394,11658
SED10092,1768,634,557,720,853,343,51,327,14061,32,0,0,0,0,0,0,0,0,173,211,13576,1789,2320,720,669,862,1002,438,86,710,22182
SED10093,847,153,164,124,145,53,24,86,4224,12,0,0,0,0,0,0,0,0,71,88,7498,1381,1317,227,248,182,198,89,38,357,11549
SED19797,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED20106,3358,1210,1408,1698,2180,875,212,280,18571,10,0,0,6,0,3,5,0,0,19,37,11025,4476,5503,1791,2080,2462,3142,1252,340,503,32586
SED20207,7533,1878,1942,1925,2251,786,259,473,35574,7,7,16,4,9,0,9,0,0,30,83,16971,10127,10010,2327,2378,2372,2786,957,339,700,48971
SED20302,5399,1149,1089,984,1091,393,117,319,21434,20,9,5,0,0,0,0,0,0,22,59,11984,8364,6632,1389,1276,1151,1223,458,142,695,33328
SED20401,2032,426,422,410,466,181,52,226,10566,16,7,0,0,0,0,0,0,0,109,125,8745,3279,2479,516,498,499,555,215,60,485,17330
SED20508,302,75,53,64,85,44,7,59,2181,14,0,0,0,0,0,4,0,0,81,99,6598,956,786,158,119,127,148,74,25,411,9409
SED20604,544,154,193,260,265,73,44,60,2915,3,3,0,0,0,0,0,0,0,35,54,4246,941,867,203,232,328,309,109,56,247,7548
SED20704,843,248,213,278,217,99,18,68,3493,6,0,5,0,0,0,0,0,0,7,14,2859,1317,1084,299,275,333,256,121,37,185,6758
SED20804,643,194,209,243,205,69,15,41,2780,7,0,0,0,0,0,0,0,0,265,270,3381,988,873,253,250,278,252,87,31,438,6829
SED20906,2402,542,614,705,720,247,102,220,15073,10,0,6,0,3,0,0,0,0,16,32,12513,3768,3409,701,829,888,907,322,141,377,23859
SED21001,4286,1277,1667,1715,1808,629,158,472,23643,11,0,5,0,0,0,5,0,0,42,60,12477,4620,4857,1407,1811,1863,1988,702,176,660,30557
SED21106,956,272,365,387,440,253,42,149,7081,4,0,5,0,0,0,0,0,0,33,47,9336,2139,2126,523,635,626,781,397,94,367,17017
SED21203,4563,1688,1468,1512,1620,530,104,700,30131,20,6,3,0,3,0,5,0,0,289,323,16212,4485,4965,1746,1562,1606,1709,565,118,1108,34072
SED21303,1576,562,611,764,788,269,51,192,12791,5,0,0,0,0,0,3,0,0,19,29,11392,2559,2984,879,985,1133,1230,429,134,403,22133
SED21401,3639,823,811,791,898,420,138,404,24662,13,3,7,0,0,0,0,0,4,63,91,17383,4291,4201,924,896,884,1026,483,157,604,30849
SED21503,2175,536,649,789,908,291,35,270,14392,7,4,0,0,0,0,7,0,0,14,29,9944,2711,2646,629,768,913,1065,348,52,396,19480
SED21608,613,177,153,194,278,88,9,75,2872,5,0,0,0,0,0,0,0,0,27,34,4335,958,960,215,199,247,331,115,21,251,7634
SED21706,2784,794,928,1031,1272,491,90,308,17715,4,4,3,0,3,0,6,0,0,21,43,11882,3820,3530,935,1093,1195,1484,588,107,468,25109
SED21805,1028,234,173,203,208,99,20,98,7121,14,0,0,0,0,0,0,0,0,19,34,10212,2564,1999,382,294,339,274,142,45,339,16593
SED21906,1822,579,711,903,1119,369,134,268,12714,5,0,9,0,0,3,3,0,0,26,47,12492,2665,3040,891,1047,1291,1497,549,202,489,24161
SED22005,4806,1567,1786,2318,2532,784,155,888,33399,18,5,6,0,4,3,5,0,0,223,266,18346,5353,5513,1780,2006,2545,2797,865,191,1291,40700
SED22105,9331,1744,1798,1871,2013,734,271,492,40860,16,11,15,4,3,0,3,0,3,50,113,16747,15653,10832,1979,2022,2049,2202,796,314,827,53414
SED22201,1946,388,365,415,361,111,33,112,8124,3,0,0,0,0,0,6,0,0,7,20,7345,2641,2366,452,428,478,434,138,48,259,14572
SED22305,7602,1426,1597,1800,2157,682,316,672,35712,22,8,12,0,8,3,7,6,0,176,233,17606,6940,8113,1535,1746,1933,2279,730,336,1077,42298
SED22404,220,52,44,53,75,48,15,53,1573,9,0,0,0,0,0,0,0,0,4,18,5861,617,504,97,83,87,130,81,27,323,7817
SED22501,737,133,150,97,108,49,3,69,4530,5,0,0,0,0,0,0,0,0,12,17,6941,1722,1232,222,219,170,168,76,18,189,10961
SED22607,1717,564,586,767,773,263,50,247,12051,8,3,0,0,5,3,10,0,0,10,37,9922,2171,2550,733,789,1019,972,346,91,359,18954
SED22704,343,104,89,133,229,52,22,69,2222,11,0,0,0,0,0,0,0,0,39,48,4558,676,628,156,131,179,277,88,32,315,7045
SED22802,882,162,124,176,184,74,25,53,4335,3,0,3,0,0,0,0,0,0,5,15,6587,1549,1261,234,159,218,230,87,43,169,10537
SED22901,2640,442,439,458,565,164,53,153,15035,9,0,4,0,0,0,0,0,0,44,56,11559,4329,3106,528,510,519,617,192,61,330,21755
SED23007,4284,1088,1282,1680,1839,536,139,773,30044,28,6,10,4,3,6,3,0,0,58,119,18943,4605,5299,1316,1509,1924,2105,597,173,1012,37488
SED23101,3698,815,853,876,1009,364,93,362,21355,11,3,4,0,0,0,0,0,0,69,87,13613,4609,4179,907,932,981,1110,404,114,547,27386
SED23205,750,218,198,228,274,92,39,113,5154,8,0,4,0,0,0,0,0,0,71,82,8539,1855,1515,331,293,300,371,119,45,416,13802
SED23308,965,307,398,448,579,223,50,118,5178,12,0,4,0,0,3,4,0,0,54,79,5231,1250,1477,395,497,535,710,309,66,313,10793
SED23402,2549,520,505,440,496,163,59,139,11069,7,0,7,0,0,0,0,0,0,65,93,9901,4162,3480,661,609,534,616,197,74,410,20642
SED23502,370,116,102,90,124,50,26,59,1764,6,0,0,0,0,0,0,0,0,7,18,4866,542,585,157,157,134,181,70,28,299,7033
SED23602,324,59,72,84,99,57,28,55,1933,15,5,0,0,0,0,0,0,0,262,280,4908,708,529,102,122,141,149,92,32,517,7293
SED23702,343,69,60,63,82,26,11,40,2279,7,0,4,0,0,0,0,0,0,50,65,7971,1134,791,131,126,103,133,45,28,271,10737
SED23806,1891,586,611,735,818,351,111,132,10908,6,0,0,0,0,0,0,0,0,4,15,9267,2403,2719,777,849,946,998,457,145,285,18852
SED23901,1780,402,437,507,476,212,55,202,11614,7,0,5,0,0,0,0,0,0,16,36,10388,2637,2474,538,608,632,598,262,91,364,18585
SED24006,2574,709,660,677,848,467,96,278,16745,8,0,0,0,0,0,0,0,0,11,18,12633,3237,3201,814,768,811,968,541,130,431,23532
SED24105,4776,1308,1257,1707,1571,566,149,767,33330,18,9,7,0,0,0,5,0,0,28,65,20998,5997,5355,1422,1368,1802,1697,602,155,978,40372
SED24207,6401,1586,1312,1387,1796,575,175,757,40814,20,8,12,0,3,0,5,0,0,651,704,23326,9035,7295,1752,1443,1498,1950,624,212,1563,48701
SED24308,1897,515,440,484,564,179,46,215,9908,15,3,0,0,0,0,0,0,0,282,305,8418,1855,2287,589,502,535,637,205,50,686,15757
SED24408,376,75,134,140,141,60,7,35,1780,6,0,0,0,0,0,0,0,0,4,10,2335,731,575,111,168,186,189,80,15,189,4586
SED24504,249,51,58,67,108,39,6,71,1961,8,0,0,0,0,0,0,0,0,31,43,6176,959,697,134,129,123,154,65,25,320,8788
SED24606,1425,446,562,634,778,295,75,123,9599,10,0,0,0,0,0,3,0,0,36,46,9173,1898,2159,585,739,807,1013,409,117,304,17204
SED24703,9001,4045,5242,6125,8018,3403,805,712,49939,12,4,3,7,5,4,8,5,6,75,125,13851,7263,11362,4763,6088,7143,9417,4087,1144,1055,66176
SED24808,4183,943,819,796,921,265,115,306,18271,10,15,3,0,5,0,0,0,0,24,55,10292,6362,5151,1120,989,924,1034,318,142,564,26901
SED24904,1098,489,525,624,803,275,108,342,6839,7,3,0,8,0,0,0,0,0,28,45,3689,1049,1355,543,591,679,897,304,126,495,9725
SED25003,3320,689,608,711,781,224,57,326,19942,15,0,7,0,4,4,0,0,0,107,141,12724,4476,3846,783,712,792,827,239,69,540,25010
SED25102,413,91,61,73,64,31,8,42,2687,0,0,0,0,0,0,0,0,0,5,8,6901,1253,850,164,117,118,131,43,9,184,9772
SED25205,978,231,225,183,246,80,31,95,7473,6,3,0,3,0,0,0,0,0,9,24,9910,2301,2043,404,383,342,358,108,53,281,16176
SED25302,294,70,55,67,80,35,21,58,2390,15,0,0,0,0,0,0,0,0,21,37,9076,1908,1350,197,185,174,155,99,42,374,13558
SED25402,531,117,118,155,233,97,29,127,3380,17,0,0,0,0,0,0,0,0,16,31,5526,892,796,171,153,209,288,112,42,362,8546
SED25501,4908,1334,1351,1469,1825,739,231,409,29177,5,3,0,0,0,5,5,0,0,39,61,15595,6231,5557,1480,1477,1644,2000,834,255,561,35641
SED25605,3545,879,1042,1062,1208,453,73,531,25726,25,6,5,0,4,3,0,0,0,26,72,17097,5026,4031,969,1158,1160,1328,500,94,702,32074
SED25704,552,142,244,322,339,83,43,100,2739,5,0,0,0,0,0,0,0,0,15,29,2444,596,758,179,269,359,390,107,54,239,5395
SED25802,392,95,120,111,221,97,24,64,2747,22,0,0,0,0,0,0,0,0,3,29,6225,1018,731,142,174,159,285,123,45,310,9214
SED25905,3308,643,720,649,673,247,116,326,21127,15,3,3,0,0,0,0,0,0,24,47,16112,4521,3766,712,804,740,753,297,136,487,28337
SED26005,5560,1155,1290,1103,1330,514,169,350,28522,13,8,11,0,0,0,0,0,0,24,63,16365,8440,6488,1300,1440,1226,1446,578,189,558,38028
SED26102,202,65,57,80,93,37,12,119,2758,19,0,0,0,0,0,0,0,0,20,41,8019,811,621,139,132,132,166,80,19,493,10614
SED26207,984,253,235,269,296,74,36,271,12156,6,0,0,0,0,0,0,0,0,12,26,12496,1492,1366,337,317,317,357,93,49,414,17232
SED26303,893,249,283,300,284,116,16,358,9085,9,0,0,0,0,0,0,0,0,5,15,10172,1819,1994,465,501,545,473,182,59,514,16729
SED26406,3676,1243,1598,1968,2285,958,207,424,24240,5,0,5,0,0,6,3,0,0,38,65,13244,4214,4471,1458,1850,2302,2616,1110,243,629,32129
SED26504,401,167,160,185,199,60,24,82,2575,9,0,0,3,0,0,0,0,0,11,30,3863,649,615,232,194,230,251,98,34,258,6420
SED26603,2761,864,1152,1249,1359,422,104,377,19769,5,0,0,3,4,0,4,5,0,99,119,12979,3403,3688,1044,1384,1433,1536,476,121,645,26715
SED26708,320,95,117,207,209,61,42,43,1915,10,5,0,0,0,0,0,0,0,6,23,3662,673,638,163,151,261,262,80,53,233,6186
SED26806,2466,896,998,1074,1354,512,139,207,13650,8,4,0,0,0,3,0,0,0,99,116,10094,3141,4443,1431,1653,1844,2344,880,298,476,26607
SED26903,2322,656,884,1204,1127,307,64,386,18127,15,0,0,0,0,0,4,0,0,102,128,12514,2849,3101,835,1053,1390,1299,358,92,624,24109
SED27003,1474,458,443,525,596,223,79,231,10894,15,0,0,4,5,0,0,0,0,21,50,10658,2731,3182,934,984,1196,1332,556,255,439,22262
SED27101,3198,785,801,914,891,233,67,193,15240,5,4,4,0,0,0,0,0,0,17,33,9324,3915,3733,856,926,1010,1004,266,83,333,21440
SED27208,425,102,162,169,238,75,53,50,2303,13,0,0,0,0,0,0,0,0,252,269,3910,733,663,155,193,231,279,101,61,472,6791
SED27305,1714,294,350,265,359,117,21,111,12063,8,3,3,0,0,0,0,0,0,6,21,11127,3190,2089,376,419,313,416,134,27,217,18300
SED27406,1073,259,222,263,319,142,37,106,6712,12,0,0,0,0,0,0,0,0,7,14,9571,2516,2425,510,439,499,525,250,75,290,17103
SED27504,1762,503,536,648,803,248,96,222,8734,9,0,3,0,0,0,0,0,0,20,36,4510,2120,2102,573,595,718,858,296,114,391,12282
SED27608,1423,364,438,496,631,255,40,88,6851,4,0,0,0,0,3,3,0,0,27,40,6636,2735,2479,535,588,683,868,342,73,288,15228
SED27708,400,118,165,221,299,81,26,49,2126,4,0,0,0,0,0,0,0,0,23,32,3091,756,718,167,219,277,377,120,37,208,5962
SED27807,4909,1330,1380,1607,1912,613,118,1074,34881,23,9,13,0,0,6,0,0,0,56,116,20815,4884,5387,1453,1496,1727,2024,668,130,1285,39871
SED27907,1171,378,295,328,333,84,24,135,7884,8,0,3,0,0,0,0,0,0,11,30,8862,1807,1736,461,381,396,407,122,49,306,14520
