SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED10011,123,2025,90,0,2236,100,1507,50,0,1655,236,2908,141,8,3295,455,3619,170,6,4246,746,3927,161,10,4845,757,3923,143,4,4826,544,3926,155,6,4634,244,1802,107,0,2159,74,500,35,0,601,3278,24136,1053,32,28504,113,1815,82,0,2004,110,1295,38,0,1451,354,2922,125,3,3410,808,3679,146,7,4645,1210,3854,174,3,5253,1234,4102,146,4,5486,795,4198,151,10,5156,296,2255,148,6,2704,51,834,142,0,1035,4981,24960,1159,40,31141,235,3838,173,0,4244,208,2802,92,5,3102,596,5832,264,13,6703,1266,7302,315,14,8890,1960,7789,337,18,10096,1995,8028,292,4,10314,1344,8124,307,13,9788,537,4053,257,9,4861,128,1333,179,0,1639,8258,49095,2214,70,59644
SED10012,144,2632,235,5,3018,183,2743,198,4,3126,459,4715,421,18,5614,514,3734,360,11,4618,596,4273,367,6,5250,641,4768,368,6,5783,340,3400,227,11,3978,157,1393,147,5,1702,42,473,133,0,652,3079,28142,2455,63,33739,142,2531,208,0,2878,241,2625,179,3,3051,574,4445,384,12,5410,843,4170,355,7,5373,1093,4509,346,12,5960,1045,4478,315,24,5861,537,3500,215,14,4259,171,1517,225,0,1913,41,728,263,0,1029,4681,28508,2483,73,35740,290,5163,438,3,5896,423,5365,377,9,6177,1031,9159,811,28,11026,1360,7906,710,17,9991,1693,8785,712,13,11205,1678,9248,683,33,11647,878,6902,442,19,8242,331,2913,367,9,3616,79,1204,399,0,1677,7762,56648,4937,132,69476
SED10013,143,3867,175,0,4186,200,3470,147,0,3810,567,8901,435,5,9911,925,8753,443,6,10130,945,6608,286,15,7851,700,4579,206,15,5504,410,3289,170,16,3892,175,1514,174,10,1872,36,400,138,0,571,4098,41374,2181,69,47727,218,3698,184,0,4096,223,3484,171,0,3884,1054,9653,461,11,11185,1579,8358,417,8,10371,1522,6106,259,18,7901,1168,4633,200,32,6040,552,3544,169,18,4289,187,1720,164,8,2087,29,697,157,0,885,6544,41894,2193,96,50728,355,7565,357,5,8277,425,6947,317,7,7695,1620,18560,904,23,21098,2506,17113,861,14,20495,2466,12706,545,27,15752,1873,9214,409,45,11541,963,6834,339,32,8181,368,3231,345,13,3962,64,1094,301,3,1461,10642,83272,4376,164,98454
SED10014,135,2390,232,5,2766,164,2513,238,7,2922,444,4981,449,14,5880,656,4594,481,12,5745,573,3746,351,5,4673,483,3656,263,9,4401,384,2967,195,16,3565,197,1375,170,3,1746,38,253,51,4,350,3078,26476,2425,70,32056,156,2296,202,0,2657,194,2383,224,8,2806,778,5081,511,7,6377,1075,4356,456,3,5884,1034,3601,308,0,4948,888,3680,241,22,4840,569,3253,268,18,4105,197,1529,209,3,1939,23,461,127,3,620,4920,26646,2543,65,34172,291,4690,440,5,5427,360,4899,460,14,5730,1217,10061,951,20,12259,1732,8945,934,13,11621,1604,7345,659,9,9621,1374,7334,507,28,9243,957,6225,460,29,7670,395,2908,376,5,3687,66,722,185,5,974,8000,53122,4974,133,66224
SED10015,126,2258,130,4,2522,150,2902,269,11,3327,400,6636,714,24,7772,613,5644,540,18,6816,930,4969,400,18,6310,764,4316,317,11,5404,330,3024,220,11,3590,231,1896,216,9,2355,97,790,128,0,1014,3634,32427,2946,107,39115,122,2020,120,3,2267,188,2584,250,8,3026,482,6130,582,19,7221,911,5336,483,11,6746,1281,4846,382,14,6523,1032,4192,336,27,5588,575,3294,244,13,4131,294,2224,235,9,2764,63,1019,237,4,1326,4959,31651,2862,118,39593,251,4278,252,6,4785,339,5482,518,20,6358,882,12770,1295,42,14995,1524,10978,1023,33,13558,2211,9813,774,33,12839,1792,8513,651,40,10996,910,6319,468,20,7719,532,4120,455,14,5114,159,1810,365,3,2337,8595,64080,5810,222,78706
SED10016,140,3571,114,4,3828,184,2980,86,9,3258,271,4698,172,6,5145,723,7162,250,6,8142,848,6203,195,7,7250,676,4417,113,24,5226,409,3285,101,30,3831,191,1686,91,7,1974,52,417,102,5,570,3489,34419,1224,99,39231,158,3446,93,4,3707,182,2738,97,3,3017,448,5026,203,7,5683,1057,7587,269,18,8930,1301,6158,175,15,7647,1010,4311,124,42,5491,594,3531,102,45,4268,235,1812,81,9,2135,53,637,47,5,743,5047,35250,1196,131,41627,301,7019,208,9,7534,365,5720,184,8,6277,717,9726,373,18,10834,1787,14746,518,25,17079,2142,12365,373,20,14901,1686,8729,238,65,10714,1006,6819,204,73,8102,425,3501,168,13,4107,105,1053,151,7,1311,8536,69667,2416,232,80856
SED10017,138,2395,155,0,2686,122,2242,270,0,2640,422,5074,773,4,6268,551,4475,651,3,5688,679,4190,506,0,5376,775,3797,331,3,4916,572,3385,276,8,4250,200,1585,182,0,1969,54,437,74,0,559,3513,27586,3218,20,34341,160,2250,145,0,2557,221,2208,145,3,2573,774,5196,299,0,6280,1086,4321,258,3,5673,1229,3911,226,3,5370,1242,3672,184,11,5106,753,3386,188,7,4340,216,1750,182,0,2153,35,830,133,0,998,5719,27530,1764,34,35047,296,4650,300,4,5247,348,4448,418,3,5213,1195,10262,1076,8,12540,1635,8798,906,9,11360,1908,8103,731,7,10747,2021,7472,517,9,10019,1322,6781,469,13,8589,419,3337,364,5,4118,83,1265,205,0,1555,9232,55117,4982,58,69386
SED10018,81,2184,99,0,2363,117,2035,68,7,2225,277,3860,205,7,4348,457,4082,179,6,4725,689,3909,167,3,4770,784,3292,148,5,4228,514,2730,128,0,3379,286,1791,96,0,2172,85,635,95,0,809,3289,24512,1197,25,29021,97,1977,77,0,2156,140,1854,82,0,2084,464,3963,205,3,4642,807,4147,173,4,5138,1121,3760,146,3,5030,1243,3226,143,3,4616,728,3030,152,3,3908,354,2316,174,0,2843,76,1150,166,0,1392,5040,25431,1313,22,31801,182,4160,179,0,4522,260,3891,152,5,4303,741,7825,408,10,8988,1260,8234,350,14,9863,1809,7667,317,6,9798,2025,6522,287,10,8846,1243,5760,282,4,7287,638,4105,275,0,5014,156,1781,262,0,2197,8327,49940,2505,51,60822
SED10019,114,1827,261,0,2196,102,1462,303,9,1875,272,2800,694,29,3798,431,2766,640,13,3846,656,3396,530,13,4596,950,4386,486,0,5823,719,4973,419,5,6111,360,2670,286,0,3319,94,776,131,0,998,3696,25063,3742,72,32565,115,1587,217,0,1921,149,1434,166,3,1748,489,2920,398,7,3810,754,2752,416,0,3926,1048,3389,377,7,4821,1477,4167,386,0,6030,1047,4539,390,0,5980,438,2672,320,0,3437,83,1220,223,0,1527,5599,24681,2901,27,33205,228,3412,478,0,4115,251,2895,466,13,3628,764,5718,1088,37,7603,1183,5519,1059,18,7773,1705,6782,913,16,9420,2433,8556,873,3,11860,1762,9513,808,4,12091,797,5344,610,4,6753,169,2002,353,0,2524,9287,49744,6644,93,65774
SED10020,109,2010,178,0,2299,94,1653,134,28,1899,278,3645,365,49,4336,420,3665,342,19,4446,605,3770,321,18,4709,777,3904,326,8,5014,656,4109,267,10,5042,278,2199,246,9,2726,99,683,147,0,927,3313,25642,2316,139,31405,127,1996,161,0,2285,119,1565,125,28,1838,503,3763,349,42,4650,765,3822,328,19,4932,1090,3815,296,10,5213,1276,4023,288,21,5612,909,4165,275,6,5361,382,2440,322,0,3143,65,1060,281,0,1408,5239,26645,2425,129,34434,229,4010,339,0,4583,214,3216,252,54,3735,773,7409,716,90,8990,1185,7483,673,40,9378,1687,7586,620,29,9919,2054,7932,612,31,10626,1566,8280,543,16,10403,658,4635,563,4,5869,168,1741,425,0,2335,8548,52284,4741,262,65841
SED10021,89,1531,93,0,1716,96,1659,108,12,1872,275,7240,578,44,8141,427,5686,384,22,6519,627,4269,248,22,5168,649,3006,185,24,3861,290,2245,164,16,2710,153,1347,175,4,1683,65,483,197,0,744,2674,27456,2139,147,32414,68,1523,78,3,1673,118,1995,111,19,2238,381,8711,599,52,9739,655,5887,370,23,6937,984,4317,230,28,5556,960,2971,162,24,4106,507,2433,203,24,3165,232,1549,271,5,2057,50,765,422,3,1246,3951,30146,2444,184,36716,157,3051,173,9,3386,210,3653,221,26,4111,655,15949,1179,99,17880,1085,11570,758,43,13455,1618,8583,475,45,10724,1606,5978,345,45,7972,797,4677,363,44,5876,379,2900,445,10,3733,112,1249,616,3,1985,6615,57602,4580,330,69133
SED10022,100,1777,254,0,2134,96,1438,257,4,1794,265,2973,596,21,3852,403,2850,588,27,3870,597,3232,531,0,4368,759,3968,488,6,5218,583,3924,412,4,4918,307,2232,281,0,2822,72,714,90,0,878,3183,23117,3495,63,29855,127,1641,176,0,1945,150,1364,140,7,1661,450,2850,287,13,3601,675,2751,300,3,3733,995,3091,291,4,4376,1184,3595,337,3,5112,836,3650,372,5,4866,303,2366,327,0,2992,65,1167,141,0,1364,4779,22473,2363,33,29644,227,3417,434,0,4082,247,2797,397,7,3457,718,5821,878,37,7457,1078,5600,888,30,7597,1593,6330,818,4,8743,1939,7562,819,9,10329,1417,7578,786,9,9783,606,4599,601,6,5807,137,1875,227,0,2244,7965,45584,5853,97,59500
SED10023,112,2342,71,3,2531,106,2030,52,4,2187,205,3959,200,6,4375,380,4176,184,7,4744,672,4516,158,8,5357,919,3841,129,11,4893,531,3131,93,7,3770,219,1761,76,4,2057,101,650,53,3,807,3237,26413,1019,55,30725,98,2141,72,0,2314,142,2060,62,3,2263,325,4128,195,9,4662,603,4360,174,6,5151,1160,4274,173,10,5612,1296,3709,112,13,5127,692,3290,120,8,4116,255,1964,136,0,2356,87,1014,163,0,1261,4656,26941,1214,47,32860,207,4484,148,3,4847,246,4087,113,8,4457,532,8091,394,15,9035,987,8537,360,13,9898,1830,8789,334,14,10971,2212,7551,238,18,10025,1223,6423,216,14,7881,472,3728,211,3,4416,183,1664,213,6,2067,7896,53357,2233,103,63590
