SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED22802,11446,7461,8092,8017,8002,7238,5676,3236,937,60108
SED22901,10280,6868,7387,8611,7634,7438,6611,3590,1640,60057
SED23007,12388,9588,18871,13781,10001,8152,5899,3292,1450,83423
SED23101,10085,7449,6621,8138,8323,7024,6317,4936,2255,61140
SED23205,10879,6977,8695,8398,8290,7554,6296,3894,1816,62804
SED23308,11016,8008,10663,8737,8437,8075,6581,3852,1681,67052
SED23402,17900,10374,12186,12095,10866,8953,6463,3641,1316,83801
SED23502,10121,5804,6107,6239,7319,9777,10448,5661,1796,63273
SED23602,9987,5897,6128,6571,7627,9033,8615,4387,1562,59805
SED23702,13341,8887,9171,8940,9400,9272,7240,3979,1299,71532
SED23806,9339,9088,10586,8378,8227,6952,5649,3486,1545,63248
SED23901,11599,7725,9496,9769,8907,8021,6292,3947,2132,67891
SED24006,10420,9354,6709,7260,9286,8378,6051,3814,2016,63294
SED24105,13527,9915,11156,10886,9667,8406,6684,3794,1457,75493
SED24207,22768,12807,16109,17511,12960,9167,6757,2796,733,101600
SED24308,12397,8857,10683,8881,8921,8086,6722,3814,1624,69983
SED24408,9874,5957,6363,5972,7077,8712,7611,4630,2059,58245
SED24504,12021,6479,5461,8134,9892,9309,7913,3917,1187,64319
SED24606,8512,7673,9100,7528,7969,6693,5799,4003,1912,59186
SED24703,9030,28644,43474,18945,10195,7962,5526,2603,957,127337
SED24808,23723,11423,15305,14956,11113,8953,7472,3265,1010,97223
SED24904,12185,7358,8891,7885,8224,9009,7391,4114,1817,66883
SED25003,13678,9237,10416,10424,9553,8619,5493,2538,1124,71086
SED25102,10924,6665,6164,7746,8508,7750,6001,2771,898,57429
SED25205,12144,7217,7062,9515,10051,8068,5747,3549,1686,65033
SED25302,11652,7048,4222,7090,9628,8084,7992,5918,2517,64153
SED25402,12349,7844,8797,8038,8204,9168,7783,4317,1780,68279
SED25501,11121,8910,7882,9106,8787,7588,5723,4412,2220,65763
SED25605,10156,7234,8746,8541,7969,6982,6601,4857,2259,63348
SED25704,11313,6817,6988,6803,7867,9269,8158,5046,2194,64456
SED25802,14382,8271,9392,8686,9381,10104,9024,5034,1757,76030
SED25905,12740,8974,9699,8871,8707,8786,5805,2833,1241,67655
SED26005,19478,13110,11274,13051,12391,9022,5000,2166,576,86074
SED26102,9632,5802,5697,6609,8648,10053,11016,6979,2654,67079
SED26207,10424,6841,7011,8205,8597,7246,6212,4736,2071,61338
SED26303,9897,6630,13086,11125,9701,6938,4434,2796,1407,66013
SED26406,10341,11389,14633,10495,8717,6951,5000,3425,1794,72752
SED26504,10203,6103,6226,6570,7741,8573,8075,5011,1976,60480
SED26603,13421,8809,15084,13127,9894,7564,4918,3577,2534,78934
SED26708,11668,6695,7111,7368,8442,9613,8327,4345,1679,65255
SED26806,5765,7798,22939,12603,7866,6504,5125,3263,1452,73311
SED26903,10647,7118,13400,11291,8960,6976,4958,3561,2040,68960
SED27003,7682,7342,23010,12963,8492,6918,4940,2591,1050,74978
SED27101,11786,7191,9525,10473,8813,6922,5411,3528,1525,65179
SED27208,11064,6457,7059,7035,8668,10028,9678,5333,1985,67311
SED27305,9394,7631,6179,7071,8320,8094,4940,2651,772,55055
SED27406,10634,7120,6251,7984,9928,8376,6684,4080,1901,62954
SED27504,14343,8736,9625,8760,9221,9306,7729,4645,1925,74289
SED27608,18475,11921,13011,13023,10995,9100,7842,4552,2056,90978
SED27708,11461,7026,7457,7579,8535,9201,8083,4213,1845,65388
SED27807,12214,9264,13144,10078,8779,8603,7336,4136,1791,75343
SED27907,12140,7594,9960,9177,8605,7934,6362,3327,1098,66198
SED28007,16050,11484,10614,11650,11905,9336,5586,2445,816,79881
SED28107,35316,15834,25697,26962,12752,9210,5596,2140,520,134021
SED28203,17251,9310,13791,13628,8965,7446,6606,4256,1571,82825
SED28301,11184,8034,5679,8022,9089,8325,6324,4245,1751,62658
SED28408,11317,7852,8423,7572,7722,7476,6612,3939,1821,62737
SED28507,20542,10811,15933,15170,10100,8349,5897,2881,1115,90790
SED28607,14299,6960,10563,12406,10883,8133,5275,3225,1659,73405
SED28704,24584,12274,14638,16810,13156,9601,6598,2912,836,101409
SED28803,32942,17284,22972,22168,14696,11531,6482,2462,673,131214
SED29797,0,9,52,140,182,158,16,0,0,565
SED30001,13813,7558,10003,10137,7565,6304,4356,1878,679,62289
SED30002,10121,6445,6429,7744,7106,6091,4977,3365,1754,54031
SED30003,12804,7700,7282,8192,7832,5793,4867,3031,1080,58580
SED30004,10819,6018,5997,7809,8515,8055,6436,2910,731,57292
SED30005,7774,7471,8565,7081,7266,7149,6283,3936,1461,56993
SED30006,6615,4718,4028,5201,6961,7323,7651,4905,1531,48925
SED30007,10425,7630,6371,6903,7271,5814,5140,3626,1646,54829
SED30008,10600,7047,9410,9597,8164,5738,3647,1768,891,56865
SED30009,8906,5969,6171,5382,5711,6149,6120,4592,1829,50833
SED30010,18579,9963,12179,9978,7588,6128,4133,1899,545,70998
SED30011,10562,6736,10450,9982,10428,9871,6687,3089,916,68729
SED30012,8505,5295,7238,7142,6711,5831,5454,3082,1229,50492
SED30013,7787,4412,4188,4998,6756,9031,9716,4524,900,52302
SED30014,9835,7370,9763,8444,8868,8152,6369,3276,1245,63326
SED30015,10259,5388,6821,6633,7122,7616,6261,3311,959,54370
SED30016,9842,5860,6307,6681,7269,7474,7357,4385,1449,56619
SED30017,9748,5799,6344,6941,6610,6466,5483,2569,970,50924
SED30018,10369,6314,6080,7792,7383,5934,4420,2288,778,51357
SED30019,8333,7845,11491,8836,8041,6325,4154,2251,972,58242
SED30020,11707,6630,6212,6388,6968,7092,5624,2921,882,54425
SED30021,11580,6412,8327,6904,7691,8622,7114,2961,674,60289
SED30022,21944,11562,14392,13017,10297,6983,4723,1965,393,85282
SED30023,9677,7695,7146,7310,7968,5351,3781,2025,640,51588
SED30024,8231,4997,5612,6270,6511,6568,5892,3253,1451,48785
SED30025,10408,6841,6835,7541,7751,5866,4109,2238,726,52324
SED30026,10721,6706,6821,7952,7433,4748,3925,2237,1024,51557
SED30027,9390,5798,6279,6860,6824,5928,4665,2820,916,49479
SED30028,10923,6042,6611,6815,7202,6606,4300,1818,574,50890
SED30029,8407,5089,5244,5922,6893,7250,6560,3124,859,49342
SED30030,9002,7044,9931,8579,7156,5096,3469,2001,1081,53359
SED30031,8783,4837,6226,6224,6178,6547,4954,1871,453,46063
SED30032,8883,5274,4939,5527,6957,8777,8492,4237,1178,54266
SED30033,8210,5044,4738,5202,6283,8377,10475,6569,2011,56912
SED30034,10012,5566,6319,6325,7540,9576,9315,4511,1464,60624
SED30035,11144,5563,6808,6504,6124,6638,5935,2638,774,52128
SED30036,13462,9293,10605,9338,8196,6749,4358,2457,930,65402
SED30037,10376,6437,7446,6649,6190,5723,4144,2473,1117,50564
SED30038,11074,7285,7334,6847,6821,6211,4553,2504,748,53377
SED30039,17751,9113,10179,11655,9098,5789,3336,1271,247,68439
SED30040,9125,5960,5697,6387,6812,6263,5728,4211,1831,52012
SED30041,10456,6043,6011,6355,6414,7363,6536,3408,984,53573
SED30042,12630,7853,7707,7754,7707,5943,4373,2123,592,56679
SED30043,10356,6407,6369,6299,6828,6929,5474,2799,770,52240
SED30044,15002,8585,9910,8352,7721,6960,5250,2590,686,65052
SED30045,10271,5894,6060,7624,8015,6583,4946,2958,1293,53638
SED30046,12669,7775,9012,7892,7356,6351,5319,2866,879,60107
SED30047,10440,6729,7244,7091,7173,7135,5439,3177,1373,55795
SED30048,9064,14278,10624,8411,7050,5062,4224,2469,868,62046
SED30049,11357,8106,8035,8995,7633,5472,3931,2633,1127,57293
SED30050,6764,5316,6827,6127,6596,7891,7810,4462,1523,53323
SED30051,8288,5080,4596,5171,6417,8429,9053,4389,1193,52631
SED30052,5221,11871,22394,12146,8081,6479,4071,2064,759,73092
SED30053,8495,6895,8529,7532,7009,5776,5159,2972,1145,53504
SED30054,9032,6794,7219,7617,6960,5277,3588,2015,941,49443
SED30055,9891,5469,5747,6258,6528,7237,5641,2430,578,49777
SED30056,10475,6253,3635,6890,7985,5950,4724,2904,1170,49984
SED30057,12247,7786,8373,7079,6975,6420,5509,3170,1179,58735
SED30058,9963,5978,6255,7649,7004,5872,4865,2604,1126,51307
SED30059,11701,7110,6296,8293,8536,6927,5525,3207,1166,58759
SED30060,12633,7084,7388,7403,7297,6276,4875,2235,615,55801
SED30061,8691,9564,7235,6203,6293,5649,4228,2616,1040,51516
SED30062,15815,8487,11086,10417,7949,5910,4693,2646,1096,68097
SED30063,8923,5183,4911,5226,6613,8028,8243,4267,1139,52537
SED30064,8896,5257,5271,5961,6670,6728,5864,3408,1315,49380
SED30065,11210,5472,5361,7633,7801,7260,6826,3565,1091,56212
SED30066,7385,4425,3818,5372,7213,8219,8466,4851,1452,51184
SED30067,9646,6611,10209,9053,7125,5606,4067,2169,1064,55561
SED30068,7193,5376,3320,4931,6538,6592,5768,3630,1465,44810
SED30069,11520,6750,6406,7743,8111,6552,4982,2311,560,54942
SED30070,7723,4562,4466,4890,5780,7377,9555,5770,1462,51585
SED30071,7778,5162,4547,6141,7746,7903,7661,4331,1625,52896
SED30072,9340,6022,5323,6105,7065,7346,6758,3886,1332,53178
SED30073,11133,7197,7530,6623,6227,6166,4909,3012,1408,54216
SED30074,10412,5753,6660,7995,7425,6213,5026,3091,1292,53876
SED30075,10069,5778,5173,6539,7927,7977,6849,3436,1066,54821
SED30076,6600,12557,17738,10066,7742,5783,3985,2110,875,67469
SED30077,8944,5014,5078,5103,6252,7312,6987,3948,1310,49940
SED30078,8261,7854,8404,7185,7292,6422,5746,4037,1762,56958
SED30079,10900,6161,6434,8176,7117,5832,4958,2296,615,52483
SED30080,9830,7520,9951,8613,7494,5542,3876,2604,1436,56868
SED30081,12117,7479,8938,9437,6898,6338,4991,2426,892,59506
SED30082,6271,6421,9557,7276,7726,8406,8005,4696,1365,59722
SED30083,13192,7721,7389,8952,8404,5990,4301,2207,714,58867
SED30084,10981,7242,6759,6384,6522,5627,4544,2449,692,51203
SED30085,9304,7831,10920,8736,6538,5522,4545,2697,1083,57171
SED30086,10476,7302,6771,6368,6719,6585,5852,3759,1361,55188
SED30087,10889,7635,8158,6957,6227,5704,5554,4025,2004,57154
SED30088,8484,6636,7888,6664,6905,7189,5562,2454,774,52564
SED30089,9698,6288,7427,6668,6740,7499,6365,2348,485,53512
SED30090,8911,5064,5560,5369,6019,6439,5214,2387,805,45770
SED30091,13302,8039,9512,8218,6885,5772,5005,3018,1120,60874
SED30092,10883,6323,7715,7442,7461,7986,6116,2388,484,56806
SED30093,17872,10678,10338,9558,8206,6718,4641,2098,555,70669
SED39797,6,24,87,111,79,34,14,0,0,354
SED40001,4885,8819,9522,6289,5360,5345,4577,2459,1192,48451
SED40002,5949,5198,7792,5765,4523,4222,3391,2089,1358,40282
SED40003,6245,3857,3758,4794,4696,4926,4073,1759,625,34745
SED40004,6553,4728,3186,4643,5163,4555,4468,3016,1305,37616
SED40005,5848,3642,3968,3801,4764,5603,5469,2768,1124,36981
SED40006,6261,4729,6600,5421,4961,4818,3335,1870,1001,38995
SED40007,5802,4117,3764,4428,5181,5027,4109,2827,1335,36598
SED40008,6743,5554,8091,6128,5199,4621,3349,1844,1017,42552
SED40009,6206,4617,4316,4784,4666,4816,4185,2147,801,36542
SED40010,5477,4779,5756,4932,4718,4757,4001,2497,1115,38023
SED40011,6542,4746,5835,5463,4864,4405,3549,2253,1230,38866
SED40012,8902,5266,5871,5161,4733,4659,2941,1733,802,40067
SED40013,8088,5357,8327,7116,5050,4077,3080,1757,927,43780
SED40014,4218,2392,2217,2784,3504,5081,7103,4492,1579,33372
SED40015,6757,3379,4072,4114,4685,5405,4824,2347,923,36508
SED40016,6905,4937,5947,5465,4602,4131,3548,2115,728,38380
SED40017,6875,3972,3996,4136,4946,5821,4631,2405,846,37633
SED40018,5528,4464,4804,4672,4506,4522,4637,2909,1729,37765
SED40019,6823,4523,6592,5385,5812,5883,3955,2194,642,41802
SED40020,6171,3961,3992,3817,4684,5186,4785,2921,1007,36521
SED40021,6201,4607,5701,5385,4745,4212,3651,3066,1786,39346
SED40022,6272,3877,2760,4179,5296,5123,4417,1965,673,34553
SED40023,6047,4090,4195,4244,4442,4305,4008,2215,847,34397
SED40024,7459,4570,5503,5255,4970,4586,3926,2206,920,39392
SED40025,7444,4496,4802,4797,4958,4378,3792,2052,703,37420
SED40026,6560,4710,4022,4438,5082,5105,3492,1937,670,36022
SED40027,4834,3337,4450,3990,4051,4352,4165,2618,1344,33127
SED40028,6980,4508,4906,4276,4326,4398,3303,2125,895,35716
SED40029,6499,3754,4127,4352,4907,5745,5033,2816,1005,38238
SED40030,6435,3660,3362,4233,4875,5479,5199,2663,843,36759
SED40031,6332,4461,4282,4805,4969,4580,3873,2591,841,36740
SED40032,4756,3794,4867,4506,4040,4472,4219,2530,1387,34567
SED40033,6317,4052,4204,4170,4612,4647,3945,2221,928,35098
SED40034,4723,2448,2654,2874,3635,5517,6054,3411,1078,32389
SED40035,5917,3830,4626,4694,4353,3876,4064,3115,1450,35916
SED40036,8549,5537,6346,6003,4870,4534,3079,1452,431,40803
SED40037,5361,3823,4557,4610,4886,5587,4114,1892,856,35686
SED40038,9022,5490,6188,5962,5008,4861,3590,2006,926,43050
SED40039,5910,3980,4882,4595,4295,4113,4115,2259,804,34953
SED40040,6450,4004,3285,4251,5329,5580,4704,2362,852,36831
SED40041,6037,3846,4299,3944,4766,5696,4811,2690,934,37030
SED40042,9935,5580,7017,5329,4488,4176,2912,1570,579,41592
SED40043,7599,4812,7065,6745,5033,4336,3645,2297,938,42474
SED40044,5975,4342,4129,4742,4965,4493,4337,2715,1713,37412
SED40045,6628,4335,3188,4661,5235,4561,4087,2564,928,36187
SED40046,5345,4483,6605,5246,4633,4215,2929,1970,1036,36461
SED40047,6537,4216,4296,4872,4556,4627,4061,1862,541,35568
SED49797,0,0,0,16,10,0,0,0,0,34
SED50106,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
SED50202,11095,6201,7641,7013,5728,5271,4152,2166,760,50027
SED50304,6913,4410,8697,7312,5239,4593,3762,2451,1126,44493
SED50405,14727,6847,9165,8776,6426,4486,3015,1562,333,55335
SED50502,8102,4970,5862,6048,5435,5258,3942,1931,724,42268
SED50605,7569,5513,4415,5681,5700,5500,4964,2717,1166,43233
SED50702,7835,5567,9421,7581,5995,5328,3858,2079,937,48593
SED50805,6903,4502,4000,4860,5506,4766,3753,2363,1381,38031
SED50906,8130,5091,5419,5611,5852,5408,4365,2390,1015,43276
SED51004,8965,6325,5425,5791,6983,5664,3120,1427,434,44131
SED51104,13380,7014,8105,7821,7054,4785,3414,2046,750,54374
SED51205,9683,6587,10074,8141,5600,4901,4054,2124,768,51929
SED51304,8532,4495,3066,5538,5803,4876,5257,2782,848,41192
SED51401,6358,3376,4110,4381,5227,6029,5152,2633,895,38163
SED51504,8621,5294,4873,6190,6223,4729,3613,2393,1304,43222
SED51605,10059,6081,6764,7526,6738,4816,3113,1444,450,46997
SED51706,8706,4471,4710,5330,5559,5781,4841,2527,815,42744
SED51804,7248,5785,4270,4687,5994,5431,4638,3202,1488,42737
SED51902,10782,5425,6058,6414,6096,5324,3821,1757,461,46134
SED52006,6954,4115,3478,4105,4903,5515,6128,3725,1088,40011
SED52102,8580,4887,5577,6190,5189,4793,3676,1869,650,41406
SED52205,6385,4533,6404,6129,5955,5700,4628,2502,1206,43451
SED52301,7752,4517,4548,4730,5092,4986,4048,2152,836,38656
SED52404,8032,4665,4723,5712,5491,5165,4422,1873,554,40633
SED52505,13279,6485,8744,10279,6455,5312,3847,1363,355,56111
SED52604,6890,5500,4565,5031,5811,5973,4115,1827,735,40454
SED52702,7005,4371,2799,4294,5585,5328,4798,2925,980,38092
SED52803,7605,5062,8225,7407,6930,5888,2878,899,229,45130
SED52903,9446,4973,7651,6861,6349,7293,6318,1687,216,50796
SED53004,7781,4531,3936,5616,5290,5095,5105,2345,1002,40692
SED53105,11498,5815,7729,8422,5967,4322,2939,1423,502,48614
SED53204,10935,6330,6264,7709,6593,4842,3059,1423,476,47626
SED53306,8574,4974,5125,5123,5191,5293,5155,3566,1565,44569
SED53402,6882,4416,7507,7083,5559,4635,3562,1851,909,42395
SED53502,8462,5569,6628,6283,5951,5587,4280,2522,1061,46350
SED53602,9423,6308,7286,6520,5697,5228,4143,2153,726,47486
SED53701,6337,3237,3640,4381,5266,6648,6051,2766,678,39009
SED53802,7565,5097,7216,6499,5327,4952,4335,2686,962,44639
SED53902,6159,4639,6650,6018,5256,4711,3819,2733,1618,41604
SED54006,8156,4591,4133,4933,5433,5709,5146,2740,816,41660
SED54104,7559,7107,6839,6256,5766,5260,4872,3108,1264,48038
SED54203,5217,3311,7188,6589,6638,7092,5903,1879,226,44044
SED54304,6199,6266,14225,9769,6880,5717,3776,1692,783,55310
SED54403,11038,5872,13625,13524,11009,7991,3043,693,77,66879
SED54505,9193,5990,3462,6417,6352,4987,4865,2694,1066,45028
SED54605,6298,4444,4721,4498,4999,5657,4876,3100,1287,39875
SED54701,7188,3803,4437,4650,5018,5452,4157,2291,779,37766
SED54804,7507,4507,7890,7219,5572,4512,3586,2324,1251,44359
SED54905,6214,5908,6384,5600,5119,4993,4585,2457,1234,42493
SED55005,11621,6774,6350,8263,6710,4846,3539,1562,607,50268
SED55102,11108,6072,6444,7291,6666,5264,3553,1497,325,48219
SED55202,9675,5863,6485,6935,5777,5065,4404,2567,1028,47783
SED55306,8584,3901,4138,5658,5851,5748,5661,2981,1072,43594
SED55405,6859,7024,10545,7391,5090,4299,3253,1973,1219,47660
SED55504,11093,6098,6487,7271,6241,4806,3596,1922,636,48157
SED55605,11372,6661,5819,6359,6760,5256,2938,1529,465,47150
SED55706,7583,3582,3963,5211,5875,6815,6106,2869,913,42917
SED55802,11838,6670,8826,7841,6122,5231,3096,1607,560,51795
SED55905,6474,5032,5613,5128,5012,5046,4120,2741,1310,40478
SED59797,3,137,518,957,896,533,176,32,0,3250
SED60105,4026,2928,3775,2963,3048,2775,2542,1823,928,24816
SED60106,1217,664,776,756,924,1295,1162,624,238,7654
SED60113,6237,4109,4438,4289,4866,5236,4586,2486,792,37043
SED60115,6986,5205,6099,4654,4795,4946,4170,2304,788,39961
SED60207,6338,4027,4625,4013,4755,5073,4994,2965,1061,37845
SED60208,5296,3520,3578,3370,4123,4757,4037,2360,787,31825
SED60209,6783,4004,4513,4339,4970,5687,4811,2639,913,38656
SED60301,2922,1887,2630,2063,1908,1970,1436,1061,399,16276
SED60302,5805,4084,7645,4905,3986,4148,3431,2064,911,36985
SED60303,4934,4789,7482,5020,4868,4463,3708,1865,805,37934
SED60304,61,36,37,44,68,46,33,19,0,339
SED60310,3036,2799,3400,2403,2518,2412,2394,1321,587,20868
SED60404,6607,3480,3556,4482,4791,5341,4660,2168,602,35688
SED60410,2631,1754,2579,2095,1746,1601,1647,1072,390,15525
